Unique Reference Number,Date,Merchant Category Code,Location,Merchant Category Group,Amount,Supplier
FCOGPC161100026,11/01/2016,MISCELLANEOUS AND SPECIALTY RETAIL STORES,NGA,General Retail and Wholesale,745.55,FEMBS INVESTMENT LTD
FCOGPC161100027,11/01/2016,MISCELLANEOUS AND SPECIALTY RETAIL STORES,NGA,General Retail and Wholesale,771.35,FEMBS INVESTMENT LTD
FCOGPC161100028,11/01/2016,MISCELLANEOUS PUBLISHING AND PRINTING,NLD,Print and advertising,824.03,LIFOKA B.V.
FCOGPC161100029,11/01/2016,PROFESSIONAL SERVICES-NOT ELSEWHERE CLASSIFIED,ISR,Professional Services,892.1,ILAN VAPERACH
FCOGPC161100030,11/01/2016,ELECTRICAL AND SMALL APPLIANCE REPAIR SHOPS,ISR,General Retail and Wholesale,911.88,Y ROTEM AHZAKOT
FCOGPC161100031,11/01/2016,COMPUTER SOFTWARE STORES,KEN,Computer Equipment & Services,932.09,BYTECH ENGINEER
FCOGPC161100032,11/01/2016,"HEALTH PRACTITIONERS, MEDICAL SRVCS-NOT ELSEWHERE",KAZ,Medical Supplies and Services,944.86,FILIAL TOO SOS KZ ASTA
FCOGPC161100033,11/01/2016,"MISC FOOD STORE-CONVENIENCE,MRKT,SPLTY,VENDNG MACS",JPN,Catering and Catering Supplies,947.42,SQ BANGIT FLORDELIZA
FCOGPC161100034,11/01/2016,AUTOMOBILE PARKING LOTS AND GARAGES,MEX,General Retail and Wholesale,953.28,RANVER
FCOGPC161100035,11/01/2016,HOTELS/MOTELS/RESORTS ,SAU,Hotels,981.41,ACCOMMODATION PROVIDER
FCOGPC161100036,11/01/2016,CATERERS,DOM,Catering and Catering Supplies,1095.94,GORAN ERIL MALMSTEN DI
FCOGPC161100037,11/01/2016,"MISC FOOD STORE-CONVENIENCE,MRKT,SPLTY,VENDNG MACS",JPN,Catering and Catering Supplies,1117.7,SQ BANGIT FLORDELIZA
FCOGPC161100038,11/01/2016,HOTELS/MOTELS/RESORTS ,ISR,Hotels,1118.31,ACCOMMODATION PROVIDER
FCOGPC161100039,11/01/2016,CUSTOMER FINANCIAL INST - MERCHANDISE & SERVICES,ISL,Cash,1124.81,CASH-SKOTSILFUR      L
FCOGPC161100040,11/01/2016,TRAVEL,BRA,Airline,1156.3,AIRLINE
FCOGPC161100041,11/01/2016,"MISC FOOD STORE-CONVENIENCE,MRKT,SPLTY,VENDNG MACS",JPN,Catering and Catering Supplies,1178.82,SQ BANGIT FLORDELIZA
FCOGPC161100042,11/01/2016,"CONTRACTORS,SPECIAL TRADE-NOT ELSEWHERE CLASSIFIED",RUS,Building Services,1224.97,CITY-SERVICE
FCOGPC161100043,11/01/2016,"CONTRACTORS,SPECIAL TRADE-NOT ELSEWHERE CLASSIFIED",RUS,Building Services,1224.97,CITY-SERVICE
FCOGPC161100044,11/01/2016,MISCELLANEOUS AND SPECIALTY RETAIL STORES,USA,General Retail and Wholesale,1234.31,AUDIO ASSOCIATES DISTR
FCOGPC161100045,11/01/2016,"EATING PLACES, RESTAURANTS",USA,Restuarants and Bars,1261.43,ASHIANA RESTAURANT
FCOGPC161100046,11/01/2016,"EQUIP, FURNITURE, HOME FURNSHNGS STRS (EXCPT APPL)",GBR,General Retail and Wholesale,1262,DIPLOMATIC MISSION SUP
FCOGPC161100047,11/01/2016,INDUSTRIAL SUPPLIES NOT ELSEWHERE CLASSIFIED,GBR,Miscellaneous Industrial/Commercial Supplies,1281.07,ARCO LTD
FCOGPC161100048,11/01/2016,ELECTRICAL CONTRACTORS,BRA,Building Services,1297.83,PAGSEGUROUOL PLCPROJET
FCOGPC161100049,11/01/2016,PROFESSIONAL SERVICES-NOT ELSEWHERE CLASSIFIED,TUN,Professional Services,1309.26,TUNISIE TELECOM
FCOGPC161100050,11/01/2016,HOTELS/MOTELS/RESORTS ,GBR,Hotels,1596,ACCOMMODATION PROVIDER
FCOGPC161100051,11/01/2016,HOTELS/MOTELS/RESORTS ,PAK,Hotels,1777.37,ACCOMMODATION PROVIDER
FCOGPC161100052,11/02/2016,"FREIGHT CARRIER,TRUCKING-LCL/LNG DIST, MVG/STORAGE",IND,Freight and Storage,502.73,LEO PACKERS AND MOVERS
FCOGPC161100053,11/02/2016,ELECTRICAL PARTS AND EQUIPMENT,GBR,Building Materials,515.4,PREMIER FARNELL
FCOGPC161100054,11/02/2016,TRAVEL AGENCIES,CYP,Travel Agencies,529.06,FLEXI FLYERS
FCOGPC161100055,11/02/2016,TRAVEL,BEL,Airline,545.39,AIRLINE
FCOGPC161100056,11/02/2016,TRAVEL,BEL,Airline,545.39,AIRLINE
FCOGPC161100057,11/02/2016,FLOOR COVERING STORES,SRB,General Retail and Wholesale,551.4,GALERIJA TEPIHA DOO
FCOGPC161100058,11/02/2016,"UTLTS-ELCTRC, GAS, HEATING OIL, SANITARY, WATER",BHR,Utilities and Non Automotive Fuel,600.05,OCEAN WATER & ICE FACT
FCOGPC161100059,11/02/2016,"COMMERCIAL EQUIPMENT, NOT ELSEWHERE CLASSIFIED",USA,Miscellaneous Industrial/Commercial Supplies,622.95,FG WILSON
FCOGPC161100060,11/02/2016,"CONSULTING, MANAGEMENT, AND PUBLIC RELATIONS SVCS",KEN,Professional Services,631.73,PIUS KYALO MUTINDA
FCOGPC161100061,11/02/2016,STATIONERY/OFFICE SUPPLIES/PRINTING & WRITING PAP.,AUS,"Office Stationery, equipment and supplies",648.83,WWW.VIKINGDIRECT.NL/
FCOGPC161100062,11/02/2016,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED,GBR,Miscellaneous Industrial/Commercial Supplies,711.6,WWW.UBIQUS.CO.UK
FCOGPC161100063,11/02/2016,"EQUIP, FURNITURE, HOME FURNSHNGS STRS (EXCPT APPL)",JAM,General Retail and Wholesale,727.93,COURTS - CALL CENTRE
FCOGPC161100064,11/02/2016,MISCELLANEOUS PUBLISHING AND PRINTING,ZWE,Print and advertising,740.9,BRANDING CONCEPTS
FCOGPC161100065,11/02/2016,"GROCERY STORES, SUPERMARKETS",BRN,General Retail and Wholesale,748.49,SMART (B) SDN BHD
FCOGPC161100066,11/02/2016,SECURITIES-BROKERS/DEALERS,GBR,Financial Services,762.82,WWW.
FCOGPC161100067,11/02/2016,"EATING PLACES, RESTAURANTS",SWE,Restuarants and Bars,836.84,HOTEL DIPLOMAT RESTAUR
FCOGPC161100068,11/02/2016,MOTION PICTURE/VIDEO TAPE PRODUCTION/DISTRIBUTION,USA,"Office Stationery, equipment and supplies",837.91,IN  BREASIA PRODUCTION
FCOGPC161100069,11/02/2016,"CONTRACTORS,SPECIAL TRADE-NOT ELSEWHERE CLASSIFIED",USA,Building Services,840.95,FREEMAN  ORLANDO
FCOGPC161100070,11/02/2016,"COMPUTERS, COMPUTER PERIPHERAL EQUIPMENT, SOFTWARE",LKA,Computer Equipment & Services,848.8,SOFTLINE GROUP
FCOGPC161100071,11/02/2016,TRAVEL,CHL,Airline,854.18,AIRLINE
FCOGPC161100072,11/02/2016,TRAVEL AGENCIES,CZE,Travel Agencies,865.33,LESSER TRAVEL AGENCY
FCOGPC161100073,11/02/2016,HOTELS/MOTELS/RESORTS ,CHN,Hotels,895.59,ACCOMMODATION PROVIDER
FCOGPC161100074,11/02/2016,ELECTRICAL PARTS AND EQUIPMENT,PAK,Building Materials,915.03,RADIO CENTRE
FCOGPC161100075,11/02/2016,ELECTRONIC SALES,GBR,General Retail and Wholesale,952,SP  GADGETWEAR UK
FCOGPC161100076,11/02/2016,ELECTRONIC SALES,GBR,General Retail and Wholesale,952,SP  GADGETWEAR UK
FCOGPC161100077,11/02/2016,HOUSEHOLD APPLIANCE STORES,LBN,General Retail and Wholesale,976.8,KHOURY HOME - JNAH
FCOGPC161100078,11/02/2016,MISCELLANEOUS AND SPECIALTY RETAIL STORES,GBR,General Retail and Wholesale,1067.65,S & P EQUIPMENT
FCOGPC161100079,11/02/2016,"SANITATION, POLISHING & SPECIALITY CLEANING PREP",JAM,Cleaning Services and Supplies,1154.95,C & R ENTERPRISE
FCOGPC161100080,11/02/2016,TRAVEL AGENCIES,TWN,Travel Agencies,1197.44,MASTER MICE TRAVEL AGE
FCOGPC161100081,11/02/2016,SCHOOLS & EDUCATIONAL SVC-NOT ELSEWHERE CLASSIFIED,GBR,Training and Educational,1200,WWW.HOFFMANINSTITUTE.C
FCOGPC161100082,11/02/2016,SCHOOLS & EDUCATIONAL SVC-NOT ELSEWHERE CLASSIFIED,GBR,Training and Educational,1250,WWW.HOFFMANINSTITUTE.C
FCOGPC161100083,11/02/2016,POSTAL SERVICES-GOVERNMENT ONLY,FIN,Mail and Courier Services,1258.62,POSTI  OY
FCOGPC161100084,11/02/2016,STATIONERY/OFFICE SUPPLIES/PRINTING & WRITING PAP.,TTO,"Office Stationery, equipment and supplies",1268.68,THE BUSINESS SUPPLY GR
FCOGPC161100085,11/02/2016,PROFESSIONAL SERVICES-NOT ELSEWHERE CLASSIFIED,GBR,Professional Services,1285.2,CIVIL SERVICE LEARNING
FCOGPC161100086,11/02/2016,DIRECT MARKETING-CATALOG MERCHANTS,JPN,Mail Order / Direct Selling,1297.13,SIMUL
FCOGPC161100087,11/02/2016,HOTELS/MOTELS/RESORTS ,GBR,Hotels,1437.5,ACCOMMODATION PROVIDER
FCOGPC161100088,11/02/2016,HOTELS/MOTELS/RESORTS ,MNG,Hotels,1438.92,ACCOMMODATION PROVIDER
FCOGPC161100089,11/02/2016,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED,GBR,Miscellaneous Industrial/Commercial Supplies,1506.99,OPP LTD EURO VT
FCOGPC161100090,11/02/2016,"DETECTVE/PROTECTVE AGNCY,SECURITY SRVS, ARMOR CARS",GBR,Personal Services,1800,GENT BY HONEYWELL
FCOGPC161100091,11/02/2016,HOTELS/MOTELS/RESORTS ,GBR,Hotels,7882,ACCOMMODATION PROVIDER
FCOGPC161100092,11/03/2016,"INSURANCE SALES,UNDERWRITING,AND PREMIUMS",CAN,Financial Services,500.3,INTACT INSURANCE COMPA
FCOGPC161100093,11/03/2016,ELECTRICAL PARTS AND EQUIPMENT,GBR,Building Materials,510.1,WILTS ELECTRICAL
FCOGPC161100094,11/03/2016,VARIETY STORES,SLV,General Retail and Wholesale,531.01,FERRETERIAS FREUND MET
FCOGPC161100095,11/03/2016,PROFESSIONAL SERVICES-NOT ELSEWHERE CLASSIFIED,GBR,Professional Services,532.16,PAYPAL  TONYRICHARD
FCOGPC161100096,11/03/2016,AUTOMOTIVE SERVICE SHOPS,IRL,"Vehicles, servicing and spares",538.9,SPIRIT MOTOR GROUP
FCOGPC161100097,11/03/2016,TRAVEL,BEL,Airline,540.7,AIRLINE
FCOGPC161100098,11/03/2016,"CONTRACTORS,SPECIAL TRADE-NOT ELSEWHERE CLASSIFIED",NGA,Building Services,547.07,FINABOD ENTERPRISES
FCOGPC161100099,11/03/2016,MISCELLANEOUS AND SPECIALTY RETAIL STORES,LUX,General Retail and Wholesale,549.51,AMAZON MKTPLACE PMTS
FCOGPC161100100,11/03/2016,"HEATING, PLUMBING, AIR CONDITIONING CONTRACTORS",ZAF,Building Services,556.58,ROTO ROOTER AFRICA P-L
FCOGPC161100101,11/03/2016,DEPARTMENT STORES,BRA,General Retail and Wholesale,569.91,VIA VAREJO S A
FCOGPC161100102,11/03/2016,ACCESSORY AND APPAREL STORES-MISCELLANEOUS,TTO,General Retail and Wholesale,582.67,CARIBBEAN PRODIGY IN
FCOGPC161100103,11/03/2016,ELECTRONIC SALES,IND,General Retail and Wholesale,597.07,DEEPAK ELECTRICALS
FCOGPC161100104,11/03/2016,ELECTRICAL PARTS AND EQUIPMENT,KEN,Building Materials,607.28,FARNEL AGENCIES
FCOGPC161100105,11/03/2016,MISCELLANEOUS HOUSE FURNISHING SPECIALTY SHOPS,FRA,General Retail and Wholesale,607.88,REAUX PAPETERIE
FCOGPC161100106,11/03/2016,BOOK STORES,LBN,Books and Periodicals,612,CITY STATIONERY
FCOGPC161100107,11/03/2016,"GROCERY STORES, SUPERMARKETS",FJI,General Retail and Wholesale,614.81,JOES FARM PRODUCE LI
FCOGPC161100108,11/03/2016,CUSTOMER FINANCIAL INST - MERCHANDISE & SERVICES,ZAF,General Retail and Wholesale,629.42,RETAIL OUTLET
FCOGPC161100109,11/03/2016,TELECOMMUNICATION EQUIPMENT INCL TELEPHONE SALES,TUN,Telecommunication Services,646,ORANGE TUNISIE SA
FCOGPC161100110,11/03/2016,HOME SUPPLY WAREHOUSE STORES,JOR,General Retail and Wholesale,667.05,QANNAS ELECTRIC
FCOGPC161100111,11/03/2016,"AUTO & TRUCK DLRS-SALES,SVC, REPRS,PRTS, & LEASING",KEN,"Vehicles, servicing and spares",668.22,TOYOTA PARTS U HWAY
FCOGPC161100112,11/03/2016,"SANITATION, POLISHING & SPECIALITY CLEANING PREP",NGA,Cleaning Services and Supplies,672.9,GIMS MASTERS CONCEPT &
FCOGPC161100113,11/03/2016,DUTY FREE STORES,DNK,General Retail and Wholesale,721.78,PETER JUSTESEN COMPANY
FCOGPC161100114,11/03/2016,ELECTRICAL PARTS AND EQUIPMENT,KEN,Building Materials,748.97,FARNEL AGENCIES
FCOGPC161100115,11/03/2016,HOTELS/MOTELS/RESORTS ,GBR,Hotels,761.2,ACCOMMODATION PROVIDER
FCOGPC161100116,11/03/2016,"COLLEGES, UNIV, PRO SCHOOLS, JUNIOR COLLEGES",CAN,Training and Educational,765.34,THE CHEF'S HOUSE
FCOGPC161100117,11/03/2016,FAMILY CLOTHING STORES,COL,General Retail and Wholesale,811.66,MOTHERCARE BOGOTA
FCOGPC161100118,11/03/2016,MISCELLANEOUS GENERAL MERCHANDISE,TUR,General Retail and Wholesale,816.12,KARDESLER NALBUR
FCOGPC161100119,11/03/2016,MISCELLANEOUS GENERAL MERCHANDISE,TUR,General Retail and Wholesale,816.12,KARDESLER NALBUR
FCOGPC161100120,11/03/2016,HOTELS/MOTELS/RESORTS ,BRB,Hotels,832.66,ACCOMMODATION PROVIDER
FCOGPC161100121,11/03/2016,"CONTRACTORS,SPECIAL TRADE-NOT ELSEWHERE CLASSIFIED",USA,Building Services,837.91,FREEMAN  ORLANDO
FCOGPC161100122,11/03/2016,HOTELS/MOTELS/RESORTS ,IND,Hotels,838.83,ACCOMMODATION PROVIDER
FCOGPC161100123,11/03/2016,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED,ISR,Miscellaneous Industrial/Commercial Supplies,839.39,KFIR MALIOT
FCOGPC161100124,11/03/2016,AUTOMOTIVE SERVICE SHOPS,IRL,"Vehicles, servicing and spares",842.64,SPIRIT MOTOR GROUP
FCOGPC161100125,11/03/2016,"UTLTS-ELCTRC, GAS, HEATING OIL, SANITARY, WATER",HRV,Utilities and Non Automotive Fuel,857.86,FINA 30101 ZAGREB
FCOGPC161100126,11/03/2016,MISCELLANEOUS GENERAL MERCHANDISE,TUR,General Retail and Wholesale,860.17,KARDESLER NALBUR
FCOGPC161100127,11/03/2016,SCHOOLS & EDUCATIONAL SVC-NOT ELSEWHERE CLASSIFIED,TUR,Training and Educational,887.02,CL EGITIM DANISMANLIK
FCOGPC161100128,11/03/2016,SCHOOLS & EDUCATIONAL SVC-NOT ELSEWHERE CLASSIFIED,TUR,Training and Educational,887.02,CL EGITIM DANISMANLIK
FCOGPC161100129,11/03/2016,SCHOOLS & EDUCATIONAL SVC-NOT ELSEWHERE CLASSIFIED,TUR,Training and Educational,887.02,CL EGITIM DANISMANLIK
FCOGPC161100130,11/03/2016,HARDWARE STORES,ZAF,General Retail and Wholesale,887.68,MRS PAINT
FCOGPC161100131,11/03/2016,HARDWARE STORES,ZAF,General Retail and Wholesale,926.09,MRS PAINT
FCOGPC161100132,11/03/2016,MISCELLANEOUS GENERAL MERCHANDISE,MEX,General Retail and Wholesale,938.72,CLIP
FCOGPC161100133,11/03/2016,HOUSEHOLD APPLIANCE STORES,USA,General Retail and Wholesale,962.52,PC RICHARD AND SON #29
FCOGPC161100134,11/03/2016,FAMILY CLOTHING STORES,COL,General Retail and Wholesale,965.67,MOTHERCARE BOGOTA
FCOGPC161100135,11/03/2016,SCHOOLS & EDUCATIONAL SVC-NOT ELSEWHERE CLASSIFIED,TUR,Training and Educational,1007.97,CL EGITIM DANISMANLIK
FCOGPC161100136,11/03/2016,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED,GBR,Miscellaneous Industrial/Commercial Supplies,1009.8,PERSONAL STRENGTHS (UK
FCOGPC161100137,11/03/2016,TELECOMMUNICATION EQUIPMENT INCL TELEPHONE SALES,TUN,Telecommunication Services,1029.16,ORANGE TUNISIE SA
FCOGPC161100138,11/03/2016,TRAVEL AGENCIES,ZAR,Travel Agencies,1061.57,RWB
FCOGPC161100139,11/03/2016,"EATING PLACES, RESTAURANTS",BRA,Restuarants and Bars,1076.28,ESPETINHOS MIMI POMPEI
FCOGPC161100140,11/03/2016,TRAVEL,USA,Airline,1097.76,AIRLINE
FCOGPC161100141,11/03/2016,TRAVEL,USA,Airline,1097.76,AIRLINE
FCOGPC161100142,11/03/2016,TRAVEL,USA,Airline,1097.76,AIRLINE
FCOGPC161100143,11/03/2016,TRAVEL,USA,Airline,1097.76,AIRLINE
FCOGPC161100144,11/03/2016,TRAVEL,USA,Airline,1114.72,AIRLINE
FCOGPC161100145,11/03/2016,TRAVEL,USA,Airline,1114.72,AIRLINE
FCOGPC161100146,11/03/2016,TRAVEL,USA,Airline,1114.72,AIRLINE
FCOGPC161100147,11/03/2016,ELECTRICAL PARTS AND EQUIPMENT,KEN,Building Materials,1133.58,FARNEL AGENCIES
FCOGPC161100148,11/03/2016,BUSINESS SERVICES-NOT ELSEWHERE CLASSIFIED,GRC,Miscellaneous Industrial/Commercial Supplies,1135.12,ANDREADIS S.A.
FCOGPC161100149,11/03/2016,ELECTRICAL PARTS AND EQUIPMENT,IND,Building Materials,1159.78,SUPERIOR AIRCON
FCOGPC161100150,11/03/2016,HOME SUPPLY WAREHOUSE STORES,ISR,General Retail and Wholesale,1167.51,MULILOCK LTD
FCOGPC161100151,11/03/2016,"CONSULTING, MANAGEMENT, AND PUBLIC RELATIONS SVCS",BRN,Professional Services,1189.37,CATALYST SDN BHD
FCOGPC161100152,11/03/2016,CAR WASHES,RWA,"Vehicles, servicing and spares",1233.51,NEW LIFE NT MV LTD
FCOGPC161100153,11/03/2016,"EATING PLACES, RESTAURANTS",USA,Restuarants and Bars,1235.19,SHANGRI LA HOTEL
FCOGPC161100154,11/03/2016,LAWN AND GARDEN SUPPLY STORES,USA,Estate and garden Services,1242.59,VAN BLOEM GARDENS
FCOGPC161100155,11/03/2016,"EQUIP, FURNITURE, HOME FURNSHNGS STRS (EXCPT APPL)",BLZ,General Retail and Wholesale,1253.71,GENERAL EQUIPMENT CO L
FCOGPC161100156,11/03/2016,TRAVEL AGENCIES,ZAR,Travel Agencies,1262.96,RWB
FCOGPC161100157,11/03/2016,HOTELS/MOTELS/RESORTS ,GBR,Hotels,1321.92,ACCOMMODATION PROVIDER
FCOGPC161100158,11/03/2016,HOTELS/MOTELS/RESORTS ,GBR,Hotels,1321.92,ACCOMMODATION PROVIDER
FCOGPC161100159,11/03/2016,HOTELS/MOTELS/RESORTS ,GBR,Hotels,1321.92,ACCOMMODATION PROVIDER
FCOGPC161100160,11/03/2016,HOTELS/MOTELS/RESORTS ,IND,Hotels,1492.11,ACCOMMODATION PROVIDER
FCOGPC161100161,11/03/2016,BARBER AND BEAUTY SHOPS,GBR,General Retail and Wholesale,1500,FINISHING TOUCHES
FCOGPC161100162,11/03/2016,SCHOOLS & EDUCATIONAL SVC-NOT ELSEWHERE CLASSIFIED,ISR,Training and Educational,1528.13,LEAD OUT OF THE BOX
FCOGPC161100163,11/03/2016,MISCELLANEOUS PUBLISHING AND PRINTING,MEX,Print and advertising,1620.46,FACTOR DIGITAL
FCOGPC161100164,11/03/2016,CUSTOMER FINANCIAL INST - MERCHANDISE & SERVICES,ZAF,General Retail and Wholesale,1717.71,RETAIL OUTLET
FCOGPC161100165,11/03/2016,MISCELLANEOUS GENERAL MERCHANDISE,MEX,General Retail and Wholesale,1737.23,CLIP
FCOGPC161100166,11/03/2016,CUSTOMER FINANCIAL INST - MERCHANDISE & SERVICES,ZAF,General Retail and Wholesale,1779.06,RETAIL OUTLET
FCOGPC161100167,11/03/2016,OTHER SERVICES (NOT ELSEWHERE CLASSIFIED),MOZ,Professional Services,1797.59,"EMPREENDIMENTOS ML, LD"
FCOGPC161100168,11/03/2016,TRAVEL AGENCIES,ZAR,Travel Agencies,1856.9,RWB
FCOGPC161100169,11/03/2016,DIRECT MARKETING-CONTINUITY/SUBSCRIPTION MERCHANTS,GBR,Mail Order / Direct Selling,3060.74,EBSCO SUBSCRIPTION SRV
FCOGPC161100170,11/03/2016,TOURIST ATTRACTIONS AND EXHIBITS,USA,Leisure Activities,3990.51,PETERSEN AUTOMOTIVE MU
FCOGPC161100171,11/04/2016,"EATING PLACES, RESTAURANTS",KEN,Restuarants and Bars,502.15,TAMARIND VILLAGE MOMBA
FCOGPC161100172,11/04/2016,GOVERNMENT SERVICES-NOT ELSEWHERE CLASSIFIED,SGP,Statutory Bodies,505.48,MFA VIP COMPLEX CHANGI
FCOGPC161100173,11/04/2016,HOTELS/MOTELS/RESORTS ,COL,Hotels,512.62,ACCOMMODATION PROVIDER
FCOGPC161100174,11/04/2016,TRAVEL AGENCIES,LKA,Travel Agencies,537.11,HEMAS TRAVELS (PVT) LT
FCOGPC161100175,11/04/2016,TRAVEL AGENCIES,FRA,Travel Agencies,573.55,HOTEL 
FCOGPC161100176,11/04/2016,AUTOMOBILE RENTAL AGENCY-NOT ELSEWHERE CLASSIFIED,TUR,Auto rental,589.68,SELIM GUL TURIZM
FCOGPC161100177,11/04/2016,TRAVEL,BEL,Airline,593.14,AIRLINE
FCOGPC161100178,11/04/2016,COMPUTER SOFTWARE STORES,ZAF,Computer Equipment & Services,596,SACHER MOBILE HATFIELD
FCOGPC161100179,11/04/2016,COMPUTER NETWORK/INFORMATION SERVICES,KEN,Computer Equipment & Services,602.14,SMOOTHTEL & DATA SOLUT
FCOGPC161100180,11/04/2016,"CONSULTING, MANAGEMENT, AND PUBLIC RELATIONS SVCS",CAN,Professional Services,614.82,METRO WASTE PAPER RECO
FCOGPC161100181,11/04/2016,"GLASS, PAINT, WALLPAPER STORES",GBR,Building Materials,639.6,WWW.TINTFIT.COM
FCOGPC161100182,11/04/2016,TRAVEL,BRA,Airline,647.78,AIRLINE
FCOGPC161100183,11/04/2016,TRAVEL,BRA,Airline,647.78,AIRLINE
FCOGPC161100184,11/04/2016,"EQUIP, FURNITURE, HOME FURNSHNGS STRS (EXCPT APPL)",JAM,General Retail and Wholesale,670.75,COURTS - CALL CENTRE
FCOGPC161100185,11/04/2016,BOOK STORES,GBR,Books and Periodicals,681.5,BLACKWELL S
FCOGPC161100186,11/04/2016,DIRECT MARKETING-OUTBOUND TELEMARKETING MERCHANTS,COL,Mail Order / Direct Selling,704.36,MAPFRE SEGUROS GRALES
FCOGPC161100187,11/04/2016,ELECTRICAL PARTS AND EQUIPMENT,MAR,Building Materials,705.61,DORYLAB
FCOGPC161100188,11/04/2016,BOOK STORES,LUX,Books and Periodicals,721.99,AMAZON UK MARKETPLACE
FCOGPC161100189,11/04/2016,COMPUTER SOFTWARE STORES,ZAF,Computer Equipment & Services,729.79,SACHER MOBILE HATFIELD
FCOGPC161100190,11/04/2016,"EATING PLACES, RESTAURANTS",MAR,Restuarants and Bars,761.45,GROUPE RAHAL E-COM
FCOGPC161100191,11/04/2016,"ORGANIZATIONS, MEMBERSHIP-NOT ELSEWHERE CLASSIFIED",AUS,Clubs/Associations/Organisations,775.15,ASSOC SUPER FNDS AUST
