"Transactions over £25,000 Report to Treasury",Payment Date From:,01/05/2010,to,31/05/2010,,,,
Pharmacy Stock,Drugs,21/05/2010,Other Drugs - Non Proprietary,Pharmacy Stock,ROCHE PRODUCTS LTD,0020893997,"40,366.64",600358871
Pathology,Haematology,21/05/2010,Reagents And Chemicals,Diagnostics,SIEMENS HEALTHCARE DIAGNOSTICS LTD,0020894696,"224,844.31",636163443
Operations - Non Clinical,Pfi Management,21/05/2010,Op Costs for Temp Car Park,Head of Estates and FM,SUMMIT HEALTHCARE (DUDLEY) LTD,0020895536,"25,047.00",769790754
Capital,TIERED CAR PARK,21/05/2010,Capital - Building,Capital,SUMMIT HEALTHCARE (DUDLEY) LTD,0020896206,"698,775.55",769790754
Balance sheet,Creditors,25/05/2010,W.M. SUPPLIES CREDITOR,Balance Sheet,NHS SUPPLY CHAIN,0050007803,"84,204.60",000000
Finance & Information,Financial Management,25/05/2010,Clin Negligence Nhs Litigation,Finance & Information,70362 NHS LITIGATION AUTH - CNST,0050007816,"537,256.01",000000
Therapy Services,Therapy Services Slas,25/05/2010,Speech Therapy Dudley PCT,Clinical & Spec Support Serv,DUDLEY PRIMARY CARE TRUST,0050007831,"47,628.82",000000
Therapy Services,Therapy Services Slas,25/05/2010,Speech Therapy Dudley PCT,Clinical & Spec Support Serv,DUDLEY PRIMARY CARE TRUST,0050007832,"47,628.82",000000
Balance sheet,Creditors,25/05/2010,W.M. SUPPLIES CREDITOR,Balance Sheet,NHS SUPPLY CHAIN,0050007837,"75,757.94",000000
Balance sheet,Creditors,25/05/2010,W.M. SUPPLIES CREDITOR,Balance Sheet,NHS SUPPLY CHAIN,0050007869,"83,158.75",000000
Pharmacy Stock,Drugs,28/05/2010,Other Drugs - Non Proprietary,Pharmacy Stock,ROCHE PRODUCTS LTD,0020894880,"42,294.97",600358871
Pharmacy Stock,Drugs,28/05/2010,Other Drugs - Non Proprietary,Pharmacy Stock,GILEAD SCIENCES LTD,0020894881,"36,058.32",573015362
Pharmacy Stock,Drugs,28/05/2010,Other Drugs - Non Proprietary,Pharmacy Stock,HEALTHCARE AT HOME LTD,0020895787,"64,350.00",873342418
Pharmacy Stock,Drugs,28/05/2010,Other Drugs - Non Proprietary,Pharmacy Stock,HEALTHCARE AT HOME LTD,0020895788,"74,717.50",873342418
Renal,Home Capd Service-all patients,28/05/2010,Capd Home Delivery,Ambulatory Medicine,BAXTER HEALTHCARE LTD,0020895913,"25,650.62",000000
Capital,North Block External Works,28/05/2010,Capital - Building,Capital,SUMMIT HEALTHCARE (DUDLEY) LTD,0020896965,"228,734.50",769790754
Pharmacy Services,Pharmacy,28/05/2010,Computer Maint - Robot,Clinical & Spec Support Serv,ARX LTD,0020897030,"30,707.00",649/3997/69
,,,,,,,,
