Department Of Health,Entity,Date of Payment,Expense Type,Expense Area,Supplier ,Amount,Month
Department Of Health,United Lincolnshire Hospitals NHS Trust,13/04/2017,EQUIPMENT >5K,CAPITAL PROGRAMME,OLYMPUS KEYMED LTD,"43,516.44",Apr-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,13/04/2017,STRUCTURE,CAPITAL PROGRAMME,ORCA BUILDING PRODUCTS LTD,"185,864.11",Apr-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,13/04/2017,STRUCTURE,CAPITAL PROGRAMME,ORCA BUILDING PRODUCTS LTD,"55,105.75",Apr-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,13/04/2017,STRUCTURE,CAPITAL PROGRAMME,ORCA BUILDING PRODUCTS LTD,"129,863.47",Apr-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,06/04/2017,SERVICES FROM OTHER NHS,W&C SERVICES BOSTON,PETERBOROUGH & STAMFORD HOSPITALS,"120,708.33",Apr-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,06/04/2017,SERVICES FROM OTHER NHS,W&C SERVICES BOSTON,PETERBOROUGH & STAMFORD HOSPITALS,"52,397.04",Apr-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,06/04/2017,SERVICES FROM OTHER NHS,W&C SERVICES BOSTON,PETERBOROUGH & STAMFORD HOSPITALS,"110,201.54",Apr-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,06/04/2017,SERVICES FROM OTHER NHS,W&C SERVICES BOSTON,PETERBOROUGH & STAMFORD HOSPITALS,"71,229.03",Apr-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,06/04/2017,SERVICES FROM OTHER NHS,W&C SERVICES BOSTON,PETERBOROUGH & STAMFORD HOSPITALS,"63,478.96",Apr-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,06/04/2017,SERVICES FROM OTHER NHS,W&C SERVICES BOSTON,PETERBOROUGH & STAMFORD HOSPITALS,"59,114.87",Apr-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,06/04/2017,SERVICES FROM OTHER NHS,W&C SERVICES BOSTON,PETERBOROUGH & STAMFORD HOSPITALS,"52,348.32",Apr-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,06/04/2017,SERVICES FROM OTHER NHS,W&C SERVICES BOSTON,PETERBOROUGH & STAMFORD HOSPITALS,"46,176.61",Apr-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,06/04/2017,SERVICES FROM OTHER NHS,W&C SERVICES BOSTON,PETERBOROUGH & STAMFORD HOSPITALS,"28,576.36",Apr-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,06/04/2017,SERVICES FROM OTHER NHS,W&C SERVICES BOSTON,PETERBOROUGH & STAMFORD HOSPITALS,"30,829.89",Apr-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,06/04/2017,SERVICES FROM OTHER NHS,W&C SERVICES BOSTON,PETERBOROUGH & STAMFORD HOSPITALS,"28,629.32",Apr-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,06/04/2017,SERVICES FROM OTHER NHS,W&C SERVICES BOSTON,PETERBOROUGH & STAMFORD HOSPITALS,"25,109.91",Apr-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,06/04/2017,SERVICES FROM OTHER NHS,W&C SERVICES BOSTON,PETERBOROUGH & STAMFORD HOSPITALS,"26,435.28",Apr-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,27/04/2017,RENTS,CORPORATE ESTATES & FACIL,PROGRESS CARE HOUSING ASSOCIATION LTD,"97,270.89",Apr-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,20/04/2017,EQUIPMENT >5K,CAPITAL PROGRAMME,PROTEC FIRE DETECTION PLC,"62,645.58",Apr-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,06/04/2017,MEDICAL RECORD STORAGE,FINANCE,RESTORE PLC - (WAS MAGNUM),"40,560.72",Apr-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,13/04/2017,PHARMACY,DIAGNOSTICS,ROCHE PRODUCTS LTD,"26,553.48",Apr-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,20/04/2017,PHARMACY,DIAGNOSTICS,ROCHE PRODUCTS LTD,"80,266.02",Apr-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,20/04/2017,STRUCTURE,CAPITAL PROGRAMME,RON GALE & SONS lTD,"50,746.70",Apr-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,20/04/2017,EQUIPMENT >5K,CAPITAL PROGRAMME,SCC UK,"73,200.00",Apr-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,20/04/2017,EQUIPMENT >5K,CAPITAL PROGRAMME,SCC UK,"43,407.60",Apr-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,13/04/2017,ENGINEERING SERVICES,CAPITAL PROGRAMME,SLEAFORD BUILDING SERVICES LTD,"40,000.00",Apr-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,20/04/2017,SERVICES FROM NON-NHS BODIES,PROFESSIONAL STANDARDS,ST BARNABAS HOSPICE,"108,167.51",Apr-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,20/04/2017,SERVICES FROM NON-NHS BODIES,BOSTONIAN,THE SNORING DISORDERS CENTRE LTD,"69,163.00",Apr-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,13/04/2017,CPAP MACHINES,BOSTONIAN,THE SNORING DISORDERS CENTRE LTD,"52,038.56",Apr-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,20/04/2017,CPAP MACHINES,BOSTONIAN,THE SNORING DISORDERS CENTRE LTD,"44,294.24",Apr-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,20/04/2017,DESKTOP HARD/W,IMT,TRUSTMARQUE SOLUTIONS LTD,"27,986.44",Apr-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,20/04/2017,COURSE FEES,PAN TRUST,UNIVERSITY OF LINCOLN,"198,000.00",Apr-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,20/04/2017,COMPUTER SOFTWARE,CAPITAL PROGRAMME,VARIAN MEDICAL SYSTEMS UK LTD,"214,434.00",Apr-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,27/04/2017,FUEL - STEAM,SITE ESTATES & FACIL LINCOLN,VEOLIA ENERGY & UTILITY SERVICES UK PLC,"97,387.79",Apr-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,27/04/2017,FUEL - STEAM,SITE ESTATES & FACIL LINCOLN,VEOLIA ENERGY & UTILITY SERVICES UK PLC,"53,148.48",Apr-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,27/04/2017,FUEL - STEAM,SITE ESTATES & FACIL LINCOLN,VEOLIA ENERGY & UTILITY SERVICES UK PLC,"91,261.92",Apr-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,27/04/2017,FUEL - STEAM,SITE ESTATES & FACIL LINCOLN,VEOLIA ENERGY & UTILITY SERVICES UK PLC,"63,019.38",Apr-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,27/04/2017,FUEL - STEAM,SITE ESTATES & FACIL LINCOLN,VEOLIA ENERGY & UTILITY SERVICES UK PLC,"53,148.48",Apr-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,27/04/2017,FUEL - STEAM,SITE ESTATES & FACIL LINCOLN,VEOLIA ENERGY & UTILITY SERVICES UK PLC,"100,889.98",Apr-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,27/04/2017,FUEL - STEAM,SITE ESTATES & FACIL LINCOLN,VEOLIA ENERGY & UTILITY SERVICES UK PLC,"53,148.48",Apr-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,27/04/2017,FUEL - STEAM,SITE ESTATES & FACIL LINCOLN,VEOLIA ENERGY & UTILITY SERVICES UK PLC,"117,278.29",Apr-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,27/04/2017,FUEL - STEAM,SITE ESTATES & FACIL LINCOLN,VEOLIA ENERGY & UTILITY SERVICES UK PLC,"53,148.48",Apr-17
Department Of Health,United Lincolnshire Hospitals NHS Trust,27/04/2017,FUEL - STEAM,SITE ESTATES & FACIL LINCOLN,VEOLIA ENERGY & UTILITY SERVICES UK PLC,"97,508.86",Apr-17
,,,,,,"17,838,477.47",
