Department Of Health,Entity,Date of Payment,Expense Type,Expense Area,Supplier ,Amount,Month
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/09/2014,MEDICAL LOCUMS,DIRECTOR OF FINANCE & CORPORATE AFFAIRS,NL MANAGED SERVICES LTD,"40,053.85",Sep-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/09/2014,CPAP MACHINES,CAPITAL PROGRAM,THE SNORING DISORDERS CENTRE LTD,"37,000.64",Sep-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/09/2014,CNST CONTRIBUTIONS,MEDICAL DIRECTOR,NHS LITIGATION AUTHORITY,"36,770.90",Sep-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/09/2014,CNST CONTRIBUTIONS,MEDICAL DIRECTOR,NHS LITIGATION AUTHORITY,"685,041.00",Sep-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/09/2014,CNST CONTRIBUTIONS,WOMEN & CHILDRENS PAN TRUST,NHS LITIGATION AUTHORITY,"162,544.00",Sep-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/09/2014,CNST CONTRIBUTIONS,WOMEN & CHILDRENS PAN TRUST,NHS LITIGATION AUTHORITY,"265,200.40",Sep-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,17/09/2014,MEDICAL LOCUMS,DIRECTOR OF FINANCE & CORPORATE AFFAIRS,RIVERSIDE PROFESSIONALS LLP,"195,357.54",Sep-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,17/09/2014,MEDICAL LOCUMS,DIRECTOR OF FINANCE & CORPORATE AFFAIRS,RIVERSIDE PROFESSIONALS LLP,"303,080.97",Sep-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,17/09/2014,CARBON REDUCTION SCHEME,DIRECTOR OF ESTATES & FACILITIES,DEPARTMENT OF ENERGY & CLIMATE CHANGE,"60,672.00",Sep-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,17/09/2014,CARBON REDUCTION SCHEME,DIRECTOR OF ESTATES & FACILITIES,DEPARTMENT OF ENERGY & CLIMATE CHANGE,"53,304.00",Sep-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,17/09/2014,CARBON REDUCTION SCHEME,DIRECTOR OF ESTATES & FACILITIES,DEPARTMENT OF ENERGY & CLIMATE CHANGE,"93,516.00",Sep-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,18/09/2014,COMPUTER MAINTENANCE,DIRECTOR OF HUMAN RESOURCES & ORGANISATIONAL DEVT,SCC UK,"40,860.00",Sep-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,18/09/2014,PHARMACY,DIAGNOSTICS,AAH HOSPITAL SERVICE,"27,846.00",Sep-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,18/09/2014,PHARMACY,DIAGNOSTICS,ROCHE PRODUCTS LTD,"60,486.91",Sep-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,18/09/2014,SERVICES FROM OTHER NHS,WOMEN & CHILDRENS PAN TRUST,PETERBOROUGH & STAMFORD HOSPITALS,"61,439.52",Sep-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,18/09/2014,SERVICES FROM OTHER NHS,WOMEN & CHILDRENS PAN TRUST,NOTTINGHAM UNIVERSITY HOSPITALS NHS TRUS,"85,692.57",Sep-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,18/09/2014,SERVICES FROM OTHER NHS,WOMEN & CHILDRENS PAN TRUST,PETERBOROUGH & STAMFORD HOSPITALS,"48,153.00",Sep-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,18/09/2014,SERVICES FROM OTHER NHS,WOMEN & CHILDRENS PAN TRUST,PETERBOROUGH & STAMFORD HOSPITALS,"92,220.00",Sep-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,18/09/2014,VISITING CONSULTANTS,SURGICAL SERVICES LINCOLN,UNIVERSITY HOSPITALS OF LEICESTER NHS TR,"31,066.00",Sep-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,18/09/2014,VISITING CONSULTANTS,WOMEN & CHILDRENS PAN TRUST,UNIVERSITY HOSPITALS OF LEICESTER NHS TR,"1,499.00",Sep-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,18/09/2014,VISITING CONSULTANTS,WOMEN & CHILDRENS PAN TRUST,UNIVERSITY HOSPITALS OF LEICESTER NHS TR,"2,419.00",Sep-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,18/09/2014,SERVICES FROM OTHER NHS,WOMEN & CHILDRENS PAN TRUST,PETERBOROUGH & STAMFORD HOSPITALS,"41,518.00",Sep-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,18/09/2014,RESUS STOCK CONSUMABLES,PAN TRUST,NHS SUPPLY CHAIN (DERBY),"198,336.81",Sep-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,18/09/2014,RESUS STOCK CONSUMABLES,PAN TRUST,NHS SUPPLY CHAIN (DERBY),"201,210.55",Sep-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,18/09/2014,EXTERNAL LAUNDRY CONTRACT,DIRECTOR OF ESTATES & FACILITIES,BERENDSEN UK LTD (SUNLIGHT),"49,981.75",Sep-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,18/09/2014,STRUCTURE,CAPITAL PROGRAM,MODULECO HEALTHCATE LIMITED,"48,446.01",Sep-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,18/09/2014,EXTERNAL CONTRACTS,DIRECTOR OF FINANCE & CORPORATE AFFAIRS,LINCOLNSHIRE PARTNERSHIP NHS TRUST,"38,927.00",Sep-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,18/09/2014,EXTERNAL CONTRACTS,DIRECTOR OF HUMAN RESOURCES & ORGANISATIONAL DEVT,LINCOLNSHIRE PARTNERSHIP NHS TRUST,"1,093.50",Sep-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,18/09/2014,CHILDCARE VOUCHERS,PAN TRUST,KIDDIVOUCHERS LTD,"37,593.97",Sep-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,22/09/2014,RESUS STOCK CONSUMABLES,PAN TRUST,NHS SUPPLY CHAIN (DERBY),"201,866.55",Sep-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,25/09/2014,EXTERNAL CONTRACTS,DIRECTOR OF FINANCE & CORPORATE AFFAIRS,LINCOLNSHIRE PARTNERSHIP NHS TRUST,"38,927.00",Sep-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,25/09/2014,EXTERNAL CONTRACTS,DIRECTOR OF HUMAN RESOURCES & ORGANISATIONAL DEVT,LINCOLNSHIRE PARTNERSHIP NHS TRUST,"1,093.50",Sep-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,25/09/2014,BLOOD PRODUCTS,BLOOD & PATHLINKS,NORTHERN LINCOLNSHIRE & GOOLE HOSPITALS,"809,854.00",Sep-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,25/09/2014,ADMIN CLERICAL OTHER,DIRECTOR OF FINANCE & CORPORATE AFFAIRS,LINCOLNSHIRE COMMUNITY HEALTH SERVICES,"30,666.66",Sep-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,25/09/2014,OTHER NURSING,DIRECTOR OF FINANCE & CORPORATE AFFAIRS,LINCOLNSHIRE COMMUNITY HEALTH SERVICES,"62,696.15",Sep-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,26/09/2014,PHARMACY PILGRIM,DIAGNOSTICS,ROCHE PRODUCTS LTD,"29,427.38",Sep-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,26/09/2014,PHARMACY PILGRIM,DIAGNOSTICS,BRISTOL MYERS SQUIBB PHARMACEUTICALS LTD,"38,317.50",Sep-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,26/09/2014,PHARMACY PILGRIM,DIAGNOSTICS,NOVARTIS PHARMACEUTICALS,"26,718.00",Sep-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,26/09/2014,PHARMACY PILGRIM,DIAGNOSTICS,ROCHE PRODUCTS LTD,"48,999.96",Sep-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,26/09/2014,PHARMACY,DIAGNOSTICS,HEALTHCARE AT HOME,"39,325.00",Sep-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,26/09/2014,PHARMACY,DIAGNOSTICS,HEALTHCARE AT HOME,"26,455.00",Sep-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,26/09/2014,PHARMACY,DIAGNOSTICS,NOVARTIS PHARMACEUTICALS,"28,566.95",Sep-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,26/09/2014,PHARMACY,DIAGNOSTICS,NOVARTIS PHARMACEUTICALS,"31,676.88",Sep-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,26/09/2014,PATHOLOGY SERVICES,BLOOD & PATHLINKS,NORTHERN LINCOLNSHIRE & GOOLE HOSPITALS,"809,854.00",Sep-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,26/09/2014,CPAP MACHINES,CAPITAL PROGRAM,THE SNORING DISORDERS CENTRE LTD,"47,951.55",Sep-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,26/09/2014,EXTERNAL LAUNDRY CONTRACT,DIRECTOR OF ESTATES & FACILITIES,BERENDSEN UK LTD (SUNLIGHT),"37,214.47",Sep-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,26/09/2014,FUEL - STEAM,DIRECTOR OF ESTATES & FACILITIES,COFELY LTD,"27,196.45",Sep-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,26/09/2014,ENGIN AND MAINT EXT CONTRACTS,DIRECTOR OF ESTATES & FACILITIES,DALKIA UTILITIES SERVICES PLC,"25,634.00",Sep-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,26/09/2014,FUEL - STEAM,DIRECTOR OF ESTATES & FACILITIES,DALKIA UTILITIES SERVICES PLC,"51,813.90",Sep-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,26/09/2014,POSTAGE,DIRECTOR OF ESTATES & FACILITIES,NEOPOST (POSTAGE TOP UP ONLY) POSTROOM,"50,000.00",Sep-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,26/09/2014,MEDICAL LOCUMS,DIRECTOR OF FINANCE & CORPORATE AFFAIRS,RIVERSIDE PROFESSIONALS LLP,"230,158.38",Sep-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,26/09/2014,EQUIPMENT >5K,CAPITAL PROGRAM,BOURNVILLE CATERING EQUIPMENT LIMITED,"31,308.00",Sep-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,26/09/2014,WAN USAGE,DIRECTOR OF PERF IMPROVEMENT,BT GLOBAL SERVICES,"77,373.56",Sep-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,26/09/2014,CPAP MACHINES,CAPITAL PROGRAM,THE SNORING DISORDERS CENTRE LTD,"39,891.60",Sep-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,29/09/2014,RESUS STOCK CONSUMABLES,PAN TRUST,NHS SUPPLY CHAIN (DERBY),"210,684.23",Sep-14
