Organisation Name,Invoice ID,Invoice Date,Supplier Name,Proclass Category,Service Area,Cost Centre Name,Invoiced (£)
Rochdale,V000836097,29/09/2014,AGILISYS LIMITED,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,AGILISYS - ICT,"93,026.22 "
Rochdale,V000837836,03/10/2014,AGILISYS LIMITED,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,AGILISYS - ICT,"6,458.75 "
Rochdale,V000839617,09/10/2014,AGR CARE SERVICES,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,EXTERNAL RESIDENTIAL PLACEMENTS,"10,590.00 "
Rochdale,V000837369,30/09/2014,AKSA HOUSING ASSOCIATION,Housing Management,ECONOMY AND ENVIRONMENT,EMPTY PROPERTY GRANT,"4,652.27 "
Rochdale,V000839671,10/10/2014,ALKRINGTON COMMUNITY ASSOCIATION,Financial Services,CUSTOMERS & CORPORATE SERVICES,MIDDLETON SOUTH CAPITAL ALLOCATION,"1,500.00 "
Rochdale,V000841128,17/10/2014,ALLIANCE CARE AND EDUCATION,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,EXTERNAL RESIDENTIAL PLACEMENTS,"11,232.14 "
Rochdale,V000841051,17/10/2014,ALLIED HEALTHCARE GROUP LIMITED,Healthcare,LEARNING DIS & MENTAL HEALTH,LD FORUM - PERSONAL BUDGETS,"1,056.18 "
Rochdale,V000838041,03/10/2014,ALLIED HEALTHCARE GROUP LIMITED,Healthcare,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"13,008.85 "
Rochdale,V000838725,06/10/2014,ALLIED HEALTHCARE GROUP LIMITED,Healthcare,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"1,809.00 "
Rochdale,V000838726,06/10/2014,ALLIED HEALTHCARE GROUP LIMITED,Healthcare,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"1,809.00 "
Rochdale,V000839820,10/10/2014,ALLIED HEALTHCARE GROUP LIMITED,Healthcare,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"12,317.43 "
Rochdale,V000841098,17/10/2014,ALLIED HEALTHCARE GROUP LIMITED,Healthcare,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"12,352.55 "
Rochdale,V000844249,22/10/2014,ALLIED HEALTHCARE GROUP LIMITED,Healthcare,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"1,507.50 "
Rochdale,V000844341,23/10/2014,ALLIED HEALTHCARE GROUP LIMITED,Healthcare,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"1,658.25 "
Rochdale,V000844342,23/10/2014,ALLIED HEALTHCARE GROUP LIMITED,Healthcare,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"1,842.50 "
Rochdale,V000844343,23/10/2014,ALLIED HEALTHCARE GROUP LIMITED,Healthcare,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"1,742.00 "
Rochdale,V000844344,23/10/2014,ALLIED HEALTHCARE GROUP LIMITED,Healthcare,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"1,959.42 "
Rochdale,V000844458,24/10/2014,ALLIED HEALTHCARE GROUP LIMITED,Healthcare,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"12,098.16 "
Rochdale,V000845832,30/10/2014,ALLIED HEALTHCARE GROUP LIMITED,Healthcare,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"2,244.50 "
Rochdale,V000846475,31/10/2014,ALLIED HEALTHCARE GROUP LIMITED,Healthcare,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"13,956.41 "
Rochdale,V000845375,27/10/2014,ALPHA ELECTRONICS (NORTHERN) LTD,Environmental Services,ECONOMY AND ENVIRONMENT,1 RIVERSIDE,"1,198.00 "
Rochdale,V000840438,14/10/2014,AMTOLL LIMITED,Cleaning & Janitorial,ECONOMY AND ENVIRONMENT,NO 1 RIVERSIDE CLEANING,969.30 
Rochdale,V000840875,16/10/2014,AMTOLL LIMITED,Cleaning & Janitorial,ECONOMY AND ENVIRONMENT,NO 1 RIVERSIDE CLEANING,575.40 
Rochdale,V000838723,06/10/2014,ANDREW KELLY PROPERTY MANAGEMENT,Facilities & Management Services,ECONOMY AND ENVIRONMENT,RENT GUARANTEE SCHEME,"1,000.00 "
Rochdale,V000837374,30/09/2014,ANGLIA DNA SERVICES LTD,Environmental Services,CHILDREN’S SOCIAL CARE,CSC PUBLIC LAW PROCEEDINGS EXTERNAL FEES,665.00 
Rochdale,V000837407,30/09/2014,ANGLIA SIGN CASTING COMPANY LIMITED,Building Construction Materials,ECONOMY AND ENVIRONMENT,ALL CREMETORIA,"1,203.70 "
Rochdale,V000840843,16/10/2014,APPLE TRANSCRIPTION LTD,Legal Services,CHILDREN’S SOCIAL CARE,CSC PUBLIC LAW PROCEEDINGS EXTERNAL FEES,630.40 
Rochdale,V000832036,14/10/2014,ARVATO LTD,Consultancy,FINANCE SERVICES,TECHNICAL SUPPORT,650.00 
Rochdale,V000838724,06/10/2014,ASSOCIATION OF DIRECTORS OF PUBLIC HEALTH,Healthcare,PUBLIC HEALTH,SEXUAL HEALTH SERVICES,"2,200.00 "
Rochdale,V000839681,10/10/2014,ATG ACCESS LTD,Facilities & Management Services,PROPERTY AND HIGHWAYS,HEYWOOD RISING BOLLARD,"2,999.92 "
Rochdale,V000840304,14/10/2014,AVENTIS SOLUTIONS LIMITED,Consultancy,EARLY HELP AND SCHOOLS,ADVISORY SERVICE  GENERAL,"1,750.00 "
Rochdale,V000840305,14/10/2014,AVENTIS SOLUTIONS LIMITED,Consultancy,EARLY HELP AND SCHOOLS,ADVISORY SERVICE  GENERAL,"1,750.00 "
Rochdale,V000840306,14/10/2014,AVENTIS SOLUTIONS LIMITED,Consultancy,EARLY HELP AND SCHOOLS,ADVISORY SERVICE  GENERAL,"1,750.00 "
Rochdale,V000840307,14/10/2014,AVENTIS SOLUTIONS LIMITED,Consultancy,EARLY HELP AND SCHOOLS,ADVISORY SERVICE  GENERAL,"1,750.00 "
Rochdale,V000840308,14/10/2014,AVENTIS SOLUTIONS LIMITED,Consultancy,EARLY HELP AND SCHOOLS,ADVISORY SERVICE  GENERAL,"1,750.00 "
Rochdale,V000845828,28/10/2014,AVENTIS SOLUTIONS LIMITED,Consultancy,EARLY HELP AND SCHOOLS,ADVISORY SERVICE  GENERAL,"1,750.00 "
Rochdale,V000845829,28/10/2014,AVENTIS SOLUTIONS LIMITED,Consultancy,EARLY HELP AND SCHOOLS,ADVISORY SERVICE  GENERAL,"1,750.00 "
Rochdale,V000845839,28/10/2014,AVENTIS SOLUTIONS LIMITED,Consultancy,EARLY HELP AND SCHOOLS,ADVISORY SERVICE  GENERAL,"1,050.00 "
Rochdale,V000845840,28/10/2014,AVENTIS SOLUTIONS LIMITED,Consultancy,EARLY HELP AND SCHOOLS,ADVISORY SERVICE  GENERAL,700.00 
Rochdale,V000845841,28/10/2014,AVENTIS SOLUTIONS LIMITED,Consultancy,EARLY HELP AND SCHOOLS,ADVISORY SERVICE  GENERAL,"1,750.00 "
Rochdale,V000845842,28/10/2014,AVENTIS SOLUTIONS LIMITED,Consultancy,EARLY HELP AND SCHOOLS,ADVISORY SERVICE  GENERAL,"1,750.00 "
Rochdale,V000845843,28/10/2014,AVENTIS SOLUTIONS LIMITED,Consultancy,EARLY HELP AND SCHOOLS,ADVISORY SERVICE  GENERAL,"1,750.00 "
Rochdale,V000845844,28/10/2014,AVENTIS SOLUTIONS LIMITED,Consultancy,EARLY HELP AND SCHOOLS,ADVISORY SERVICE  GENERAL,"1,750.00 "
Rochdale,V000840251,14/10/2014,AXIOM EDUCATION (ROCHDALE) LIMITED,Education,EARLY HELP AND SCHOOLS,PFI CONTRACT GENERAL,"2,034.06 "
Rochdale,V000840252,14/10/2014,AXIOM EDUCATION (ROCHDALE) LIMITED,Education,EARLY HELP AND SCHOOLS,PFI CONTRACT GENERAL,"682,145.84 "
Rochdale,V000841074,17/10/2014,AXIOM EDUCATION (ROCHDALE) LIMITED,Education,EARLY HELP AND SCHOOLS,PFI CONTRACT GENERAL,"35,097.55 "
Rochdale,V000843463,21/10/2014,AXIOM EDUCATION (ROCHDALE) LIMITED,Education,EARLY HELP AND SCHOOLS,PFI CONTRACT GENERAL,"17,998.24 "
Rochdale,V000840253,14/10/2014,AXIOM EDUCATION (ROCHDALE) LIMITED,Education,EARLY HELP AND SCHOOLS,PFI VARIATIONS,"3,685.12 "
Rochdale,V000832877,01/10/2014,BACK OTH MOSS COMMUNITY CENTRE,Financial Services,CUSTOMERS & CORPORATE SERVICES,BACK O TH MOSS COMMUNITY CENTRE,"10,575.00 "
Rochdale,V000830466,20/10/2014,BALMERS GM LTD,Horticultural,ECONOMY AND ENVIRONMENT,GROUNDS MTCE EQUIPMENT,"3,200.00 "
Rochdale,V000844034,21/10/2014,BAMFORD ACADEMY,Financial Services,EARLY HELP AND SCHOOLS,SEN SUPPORT MAINSTREAM  LEA,"1,529.32 "
Rochdale,V000832860,01/10/2014,BANGLADESH ASSOCIATION AND COMMUNITY PROJECT,Social Community Care Supplies & Services,CUSTOMERS & CORPORATE SERVICES,BANGLADESH COMMUNITY PROJ,"8,375.00 "
Rochdale,V000846491,31/10/2014,BANGLADESH ASSOCIATION AND COMMUNITY PROJECT,Social Community Care Supplies & Services,CUSTOMERS & CORPORATE SERVICES,MEMBERS SMALL CAPITAL GRANTS,"1,716.00 "
Rochdale,V000840822,16/10/2014,BARKATH LIMITED,Healthcare,CUSTOMERS & CORPORATE SERVICES,CORONERS SERVICE GENERAL,"1,288.70 "
Rochdale,V000832884,01/10/2014,BARNARDOS,Financial Services,EARLY HELP AND SCHOOLS,SHORT BREAKS REVENUE,"5,832.17 "
Rochdale,V000832885,01/10/2014,BARNARDOS,Financial Services,EARLY HELP AND SCHOOLS,SHORT BREAKS REVENUE,"2,786.25 "
Rochdale,V000832886,01/10/2014,BARNARDOS,Financial Services,EARLY HELP AND SCHOOLS,SHORT BREAKS REVENUE,"1,738.67 "
Rochdale,V000844120,21/10/2014,BAUER RADIO LTD,Facilities & Management Services,PUBLIC HEALTH,HEALTH SMART,"6,750.00 "
Rochdale,V000840392,14/10/2014,BELMONT SCHOOL LIMITED,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,IND SCHOOLS  RESIDENTIAL,"9,810.12 "
Rochdale,V000840393,14/10/2014,BELMONT SCHOOL LIMITED,Social Community Care Supplies & Services,EARLY HELP AND SCHOOLS,IND SCHOOLS  RESIDENTIAL,"10,347.68 "
Rochdale,V000838520,06/10/2014,BERTRAM TRADING LIMITED,Education,CUSTOMERS & CORPORATE SERVICES,BIBS UNIT,718.16 
Rochdale,V000840090,13/10/2014,BERTRAM TRADING LIMITED,Education,CUSTOMERS & CORPORATE SERVICES,BIBS UNIT,782.21 
Rochdale,V000840108,13/10/2014,BERTRAM TRADING LIMITED,Education,CUSTOMERS & CORPORATE SERVICES,BIBS UNIT,624.68 
Rochdale,V000841559,20/10/2014,BERTRAM TRADING LIMITED,Education,CUSTOMERS & CORPORATE SERVICES,BIBS UNIT,956.75 
Rochdale,V000841565,20/10/2014,BERTRAM TRADING LIMITED,Education,CUSTOMERS & CORPORATE SERVICES,BIBS UNIT,500.84 
Rochdale,V000844826,27/10/2014,BERTRAM TRADING LIMITED,Education,CUSTOMERS & CORPORATE SERVICES,BIBS UNIT,723.13 
Rochdale,V000844827,27/10/2014,BERTRAM TRADING LIMITED,Education,CUSTOMERS & CORPORATE SERVICES,BIBS UNIT,"1,388.99 "
Rochdale,V000844829,27/10/2014,BERTRAM TRADING LIMITED,Education,CUSTOMERS & CORPORATE SERVICES,BIBS UNIT,732.70 
Rochdale,V000844830,27/10/2014,BERTRAM TRADING LIMITED,Education,CUSTOMERS & CORPORATE SERVICES,BIBS UNIT,709.34 
Rochdale,V000844835,27/10/2014,BERTRAM TRADING LIMITED,Education,CUSTOMERS & CORPORATE SERVICES,BIBS UNIT,781.79 
Rochdale,V000839674,10/10/2014,BETHELL CONSTRUCTION LTD,"Works - Construction, Repair & Maintenance",PROPERTY AND HIGHWAYS,ALKRINGTON POND - REMEDIAL WORKS 350,"2,160.85 "
Rochdale,V000837525,02/10/2014,BIG LIFE CENTRES,Social Community Care Supplies & Services,PUBLIC HEALTH,OTHER PUBLIC HEALTH COMMISSIONING,"3,806.55 "
Rochdale,V000843511,21/10/2014,BIG LIFE CENTRES,Social Community Care Supplies & Services,PUBLIC HEALTH,OTHER PUBLIC HEALTH COMMISSIONING,"3,806.55 "
Rochdale,V000844140,22/10/2014,BIG LIFE CENTRES,Social Community Care Supplies & Services,PUBLIC HEALTH,OTHER PUBLIC HEALTH COMMISSIONING,"130,189.00 "
Rochdale,V000837599,02/10/2014,BINDMONT PRINT SERVICES LTD,Facilities & Management Services,CUSTOMERS & CORPORATE SERVICES,BY-ELECTIONS,"5,985.00 "
Rochdale,V000845876,28/10/2014,BINDMONT PRINT SERVICES LTD,Facilities & Management Services,CUSTOMERS & CORPORATE SERVICES,BY-ELECTIONS,"5,595.00 "
Rochdale,V000845877,28/10/2014,BINDMONT PRINT SERVICES LTD,Facilities & Management Services,CUSTOMERS & CORPORATE SERVICES,BY-ELECTIONS,"1,650.00 "
Rochdale,V000837572,02/10/2014,BINDMONT PRINT SERVICES LTD,Facilities & Management Services,CUSTOMERS & CORPORATE SERVICES,GENERAL ELECTION,"4,264.00 "
Rochdale,V000846169,30/10/2014,BLACKBURN WITH DARWEN BC,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,ADOPTION PAYMENTS,"27,000.00 "
Rochdale,V000838663,06/10/2014,BLACKLEY BAND,Arts & Leisure Services,ECONOMY AND ENVIRONMENT,MAYORAL SUPPORT,700.00 
Rochdale,V000843456,21/10/2014,BLACKSTONE CHAMBERS,Legal Services,CUSTOMERS & CORPORATE SERVICES,LITIGATION SECTION,"1,500.00 "
Rochdale,V000837607,02/10/2014,BLACKWELL,Education,EARLY HELP AND SCHOOLS,AGMA EARLY YRS NEW DELIVERY MODEL,"2,547.45 "
Rochdale,V000839098,08/10/2014,BLUE & RED LTD,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,THIRD PARTY CONTRACTS,692.97 
Rochdale,V000839109,08/10/2014,BLUE & RED LTD,Information Communication Technology,CUSTOMERS & CORPORATE SERVICES,THIRD PARTY CONTRACTS,786.31 
Rochdale,V000840907,16/10/2014,BRAKE BROS FOOD SERVICE LTD,Catering,ECONOMY AND ENVIRONMENT,LITTLEBOROUGH,514.51 
Rochdale,V000844155,22/10/2014,BRAKE BROS FOOD SERVICE LTD,Catering,ECONOMY AND ENVIRONMENT,LITTLEBOROUGH,556.78 
Rochdale,V000840924,16/10/2014,BRAKE BROS FOOD SERVICE LTD,Catering,ECONOMY AND ENVIRONMENT,ROCHDALE TOWN HALL CROFTERS,710.03 
Rochdale,V000846158,30/10/2014,BRAKE BROS FOOD SERVICE LTD,Catering,ECONOMY AND ENVIRONMENT,ROCHDALE TOWN HALL CROFTERS,730.38 
Rochdale,V000840907,16/10/2014,BRAKE BROS FOOD SERVICE LTD,Catering,ECONOMY AND ENVIRONMENT,SANDBROOK PRIMARY SCHOOL,514.76 
Rochdale,V000836675,30/09/2014,BRAKE BROS FOOD SERVICE LTD,Catering,PHYSICAL DIS & OLDER PEOPLE,SPRINGHILL EMI UNIT,531.01 
Rochdale,V000840315,14/10/2014,BRAKE BROS FOOD SERVICE LTD,Catering,PHYSICAL DIS & OLDER PEOPLE,SPRINGHILL EMI UNIT,509.41 
Rochdale,V000841318,21/10/2014,BRAKE BROS FOOD SERVICE LTD,Catering,PHYSICAL DIS & OLDER PEOPLE,SPRINGHILL EMI UNIT,583.82 
Rochdale,V000844797,27/10/2014,BRAKE BROS FOOD SERVICE LTD,Catering,PHYSICAL DIS & OLDER PEOPLE,SPRINGHILL EMI UNIT,616.08 
Rochdale,V000840446,14/10/2014,BRIDGE JFC LTD,Financial Services,CUSTOMERS & CORPORATE SERVICES,TOWNSHIP 10/11 ALLOCATED FUNDS,691.00 
Rochdale,V000837895,03/10/2014,BRIERLEYS FUNERAL SERVICE LIMITED,Cemetery & Crematorium,ECONOMY AND ENVIRONMENT,DEATH IN THE COMMUNITY,"1,167.00 "
Rochdale,V000837896,03/10/2014,BRIERLEYS FUNERAL SERVICE LIMITED,Cemetery & Crematorium,ECONOMY AND ENVIRONMENT,DEATH IN THE COMMUNITY,"1,776.00 "
Rochdale,V000837897,03/10/2014,BRIERLEYS FUNERAL SERVICE LIMITED,Cemetery & Crematorium,ECONOMY AND ENVIRONMENT,DEATH IN THE COMMUNITY,"1,282.00 "
Rochdale,V000846294,30/10/2014,BSI STANDARDS,Financial Services,PROPERTY AND HIGHWAYS,BUSINESS SUPPORT TEAM,"1,589.00 "
Rochdale,V000839753,10/10/2014,BUILDING DESIGN PARTNERSHIP LTD,"Works - Construction, Repair & Maintenance",EARLY HELP AND SCHOOLS,MIDDLETON PARISH - PLACE PLANNING,772.50 
Rochdale,V000832849,01/10/2014,BURNSIDE CENTRE ACCOUNT,Financial Services,CUSTOMERS & CORPORATE SERVICES,BURNSIDE CENTRE,"6,550.00 "
Rochdale,V000845934,29/10/2014,BURY COLLEGE,Human Resources,ECONOMY AND ENVIRONMENT,1 RIVERSIDE,556.00 
Rochdale,V000839701,10/10/2014,BURY MBC,Facilities & Management Services,EARLY HELP AND SCHOOLS,IND SCHOOLS  RESIDENTIAL,"15,969.00 "
Rochdale,V000837432,30/09/2014,CALIBRATION ENGINEERING SERVICES LTD,Vehicle Management,ECONOMY AND ENVIRONMENT,VEHICLE REPLACEMENT PROGRAM,"7,875.00 "
Rochdale,V000838894,07/10/2014,CANAL & RIVER TRUST,Financial Services,ECONOMY AND ENVIRONMENT,ECONOMIC & COMMUNITY AFFAIRS,729.00 
Rochdale,V000844220,22/10/2014,CANAL & RIVER TRUST,Financial Services,ECONOMY AND ENVIRONMENT,ROCHDALE CANAL,"136,258.06 "
Rochdale,V000846284,30/10/2014,CANAL & RIVER TRUST,Financial Services,ECONOMY AND ENVIRONMENT,ROCHDALE CANAL,"136,258.06 "
Rochdale,V000840487,14/10/2014,CAPITA BUSINESS SERVICES LIMITED,Human Resources,FINANCE SERVICES,TECHNICAL SUPPORT,"4,500.00 "
Rochdale,V000838062,03/10/2014,CARE 4 U,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"7,091.60 "
Rochdale,V000839821,10/10/2014,CARE 4 U,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"7,198.18 "
Rochdale,V000841111,17/10/2014,CARE 4 U,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"7,125.91 "
Rochdale,V000844459,24/10/2014,CARE 4 U,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"7,664.76 "
Rochdale,V000846488,31/10/2014,CARE 4 U,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"8,021.81 "
Rochdale,V000839857,10/10/2014,CARE TODAY CHILDRENS SERVICES,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,EXTERNAL RESIDENTIAL PLACEMENTS,"11,978.70 "
Rochdale,V000839858,10/10/2014,CARE TODAY CHILDRENS SERVICES,Social Community Care Supplies & Services,CHILDREN’S SOCIAL CARE,EXTERNAL RESIDENTIAL PLACEMENTS,"12,000.00 "
Rochdale,V000846029,29/10/2014,CARERS FEDERATION,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"15,714.50 "
Rochdale,V000837652,02/10/2014,CAREWEST NORTHERN LIMITED,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"2,434.42 "
Rochdale,V000838044,03/10/2014,CAREWEST NORTHERN LIMITED,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"6,648.45 "
Rochdale,V000839823,10/10/2014,CAREWEST NORTHERN LIMITED,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"7,089.98 "
Rochdale,V000840323,14/10/2014,CAREWEST NORTHERN LIMITED,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"24,929.00 "
Rochdale,V000841101,17/10/2014,CAREWEST NORTHERN LIMITED,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"6,980.76 "
Rochdale,V000843957,21/10/2014,CAREWEST NORTHERN LIMITED,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"1,954.69 "
Rochdale,V000844463,24/10/2014,CAREWEST NORTHERN LIMITED,Social Community Care Supplies & Services,PHYSICAL DIS & OLDER PEOPLE,OLDER PEOPLES AGENCY PROVISION,"7,740.58 "
