Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Transaction Number,Amount in Sterling
Department of Health,The Pennine Acute Hospitals NHS Trust,17/08/2017,Records Scanning,Elective Access,KAINOS SOFTWARE LTD,0001694058,"64,825.95"
Department of Health,The Pennine Acute Hospitals NHS Trust,17/08/2017,Smart Licences,Corporate Services Other,KRONOS SYSTEMS LTD,0001695132,"51,517.36"
Department of Health,The Pennine Acute Hospitals NHS Trust,17/08/2017,Contract Management fees,Estates and Facilities,LLOYDS RETAIL CHEMISTS LTD,0001695490,"1,489.28"
Department of Health,The Pennine Acute Hospitals NHS Trust,17/08/2017,Contract Management fees,Estates and Facilities,LLOYDS RETAIL CHEMISTS LTD,0001695490,"2,377,596.75"
Department of Health,The Pennine Acute Hospitals NHS Trust,16/08/2017,General Suspense,General Suspense,MDDUS,0001696043,"119,479.46"
Department of Health,The Pennine Acute Hospitals NHS Trust,10/08/2017,Metro Moneywise,Metro Moneywise,METRO MONEYWISE,0001692813,"88,517.97"
Department of Health,The Pennine Acute Hospitals NHS Trust,31/08/2017,SLA Blood Transfusion,Estates and Facilities,NATIONAL BLOOD SERVICE,0001686351,"128,087.17"
Department of Health,The Pennine Acute Hospitals NHS Trust,31/08/2017,SLA Blood Transfusion,Estates and Facilities,NATIONAL BLOOD SERVICE,0001686350,"49,902.50"
Department of Health,The Pennine Acute Hospitals NHS Trust,04/08/2017,Permanent Injury Benefit,Permanent Injury Benefit,NHS BUSINESS SERVICES AUTHORITY,0001690978,"76,926.92"
Department of Health,The Pennine Acute Hospitals NHS Trust,15/08/2017,Pensions Other Staff,Pensions Other Staff,NHS PENSIONS,0001695427,"62,760.43"
Department of Health,The Pennine Acute Hospitals NHS Trust,15/08/2017,Restructuring,Restructuring,NHS PENSIONS,0001695427,"27,916.40"
Department of Health,The Pennine Acute Hospitals NHS Trust,10/08/2017,NHSP (NHS Professionals),NHSP (NHS Professionals),NHS PROFESSIONALS,0001684433,"206,819.96"
Department of Health,The Pennine Acute Hospitals NHS Trust,03/08/2017,NHSP (NHS Professionals),NHSP (NHS Professionals),NHS PROFESSIONALS,0001685985,"305,152.02"
Department of Health,The Pennine Acute Hospitals NHS Trust,10/08/2017,NHSP (NHS Professionals),NHSP (NHS Professionals),NHS PROFESSIONALS,0001690897,"202,313.10"
Department of Health,The Pennine Acute Hospitals NHS Trust,10/08/2017,NHSP (NHS Professionals),NHSP (NHS Professionals),NHS PROFESSIONALS,0001690899,"256,229.77"
Department of Health,The Pennine Acute Hospitals NHS Trust,03/08/2017,NHSP (NHS Professionals),NHSP (NHS Professionals),NHS PROFESSIONALS,0001690900,"235,417.85"
Department of Health,The Pennine Acute Hospitals NHS Trust,24/08/2017,NHSP (NHS Professionals),NHSP (NHS Professionals),NHS PROFESSIONALS,0001692128,"257,770.95"
Department of Health,The Pennine Acute Hospitals NHS Trust,17/08/2017,NHSP (NHS Professionals),NHSP (NHS Professionals),NHS PROFESSIONALS,0001696095,"282,152.74"
Department of Health,The Pennine Acute Hospitals NHS Trust,30/08/2017,NHSP (NHS Professionals),NHSP (NHS Professionals),NHS PROFESSIONALS,0001696099,"266,739.46"
Department of Health,The Pennine Acute Hospitals NHS Trust,30/08/2017,NHSP (NHS Professionals),NHSP (NHS Professionals),NHS PROFESSIONALS,0001696100,"286,392.68"
Department of Health,The Pennine Acute Hospitals NHS Trust,31/08/2017,NHSP (NHS Professionals),NHSP (NHS Professionals),NHS PROFESSIONALS,0001698802,"261,518.30"
Department of Health,The Pennine Acute Hospitals NHS Trust,04/08/2017,NHS Logistics Regional Store,NHS Logistics Regional Store,NHS SUPPLY CHAIN,0001684027,"430,765.52"
Department of Health,The Pennine Acute Hospitals NHS Trust,04/08/2017,NHS Logistics Regional Store,NHS Logistics Regional Store,NHS SUPPLY CHAIN,0001686257,"479,437.25"
Department of Health,The Pennine Acute Hospitals NHS Trust,11/08/2017,NHS Logistics Regional Store,NHS Logistics Regional Store,NHS SUPPLY CHAIN,0001686541,"420,523.56"
Department of Health,The Pennine Acute Hospitals NHS Trust,15/08/2017,NHS Logistics Regional Store,NHS Logistics Regional Store,NHS SUPPLY CHAIN,0001691631,"542,280.46"
Department of Health,The Pennine Acute Hospitals NHS Trust,25/08/2017,NHS Logistics Regional Store,NHS Logistics Regional Store,NHS SUPPLY CHAIN,0001691632,"491,650.61"
Department of Health,The Pennine Acute Hospitals NHS Trust,30/08/2017,NHS Logistics Regional Store,NHS Logistics Regional Store,NHS SUPPLY CHAIN,0001692904,"601,352.40"
Department of Health,The Pennine Acute Hospitals NHS Trust,11/08/2017,M & S Equipment,Capital,NHS SUPPLY CHAIN (CAPITAL 905),0001694896,"11,000.00"
Department of Health,The Pennine Acute Hospitals NHS Trust,11/08/2017,M & S Equipment,Capital,NHS SUPPLY CHAIN (CAPITAL 905),0001694896,"55,000.00"
Department of Health,The Pennine Acute Hospitals NHS Trust,04/08/2017,X-Ray Maintenance Contracts,Estates and Facilities,NHS SUPPLY CHAIN (CAPITAL 905),0001686904,"86,375.35"
Department of Health,The Pennine Acute Hospitals NHS Trust,03/08/2017,AfC AHPs Agency Staff,Estates and Facilities,NORTHERN MEDICAL ULTRASOUND LTD,0001689516,"32,292.00"
Department of Health,The Pennine Acute Hospitals NHS Trust,10/08/2017,M & S Equipment,Capital,OLYMPUS KEYMED,0001693616,"9,000.00"
Department of Health,The Pennine Acute Hospitals NHS Trust,10/08/2017,M & S Equipment,Capital,OLYMPUS KEYMED,0001693616,468.00
Department of Health,The Pennine Acute Hospitals NHS Trust,10/08/2017,M & S Equipment,Capital,OLYMPUS KEYMED,0001693616,"1,128.00"
Department of Health,The Pennine Acute Hospitals NHS Trust,10/08/2017,M & S Equipment,Capital,OLYMPUS KEYMED,0001693616,"2,256.00"
Department of Health,The Pennine Acute Hospitals NHS Trust,10/08/2017,M & S Equipment,Capital,OLYMPUS KEYMED,0001693616,835.92
Department of Health,The Pennine Acute Hospitals NHS Trust,10/08/2017,M & S Equipment,Capital,OLYMPUS KEYMED,0001693616,"30,480.00"
Department of Health,The Pennine Acute Hospitals NHS Trust,10/08/2017,M & S Equipment,Capital,OLYMPUS KEYMED,0001693616,"1,008.00"
Department of Health,The Pennine Acute Hospitals NHS Trust,10/08/2017,M & S Equipment,Capital,OLYMPUS KEYMED,0001693616,"1,752.00"
Department of Health,The Pennine Acute Hospitals NHS Trust,10/08/2017,M & S Equipment,Capital,OLYMPUS KEYMED,0001693616,91.37
Department of Health,The Pennine Acute Hospitals NHS Trust,10/08/2017,M & S Equipment,Capital,OLYMPUS KEYMED,0001693616,"10,886.40"
Department of Health,The Pennine Acute Hospitals NHS Trust,10/08/2017,M & S Equipment,Capital,OLYMPUS KEYMED,0001693616,602.64
Department of Health,The Pennine Acute Hospitals NHS Trust,10/08/2017,M & S Equipment,Capital,OLYMPUS KEYMED,0001693616,"2,468.88"
Department of Health,The Pennine Acute Hospitals NHS Trust,10/08/2017,M & S Equipment,Capital,OLYMPUS KEYMED,0001693616,"1,477.44"
Department of Health,The Pennine Acute Hospitals NHS Trust,10/08/2017,M & S Equipment,Capital,OLYMPUS KEYMED,0001693616,"5,772.00"
Department of Health,The Pennine Acute Hospitals NHS Trust,10/08/2017,M & S Equipment,Capital,OLYMPUS KEYMED,0001693616,27.00
Department of Health,The Pennine Acute Hospitals NHS Trust,10/08/2017,M & S Equipment,Capital,OLYMPUS KEYMED,0001693616,"14,976.00"
Department of Health,The Pennine Acute Hospitals NHS Trust,10/08/2017,M & S Equipment,Capital,OLYMPUS KEYMED,0001693616,"4,290.00"
Department of Health,The Pennine Acute Hospitals NHS Trust,10/08/2017,M & S Equipment,Capital,OLYMPUS KEYMED,0001693616,"60,660.00"
Department of Health,The Pennine Acute Hospitals NHS Trust,10/08/2017,M & S Equipment,Capital,OLYMPUS KEYMED,0001693616,806.76
Department of Health,The Pennine Acute Hospitals NHS Trust,30/08/2017,Reagent,Estates and Facilities,ORTHO-CLINICAL  DIAGNOSTICS,0001695418,"78,861.00"
Department of Health,The Pennine Acute Hospitals NHS Trust,10/08/2017,Atlas (P&H),Estates and Facilities,P&H CARE LTD,0001693786,"79,362.50"
Department of Health,The Pennine Acute Hospitals NHS Trust,10/08/2017,M & S Equipment,Capital,PHILIPS HEALTHCARE,0001666202,458.64
Department of Health,The Pennine Acute Hospitals NHS Trust,10/08/2017,M & S Equipment,Capital,PHILIPS HEALTHCARE,0001666202,458.64
Department of Health,The Pennine Acute Hospitals NHS Trust,10/08/2017,M & S Equipment,Capital,PHILIPS HEALTHCARE,0001666202,299.88
Department of Health,The Pennine Acute Hospitals NHS Trust,10/08/2017,M & S Equipment,Capital,PHILIPS HEALTHCARE,0001666202,764.40
Department of Health,The Pennine Acute Hospitals NHS Trust,10/08/2017,M & S Equipment,Capital,PHILIPS HEALTHCARE,0001666202,"1,234.80"
Department of Health,The Pennine Acute Hospitals NHS Trust,10/08/2017,M & S Equipment,Capital,PHILIPS HEALTHCARE,0001666202,"1,497.02"
Department of Health,The Pennine Acute Hospitals NHS Trust,10/08/2017,M & S Equipment,Capital,PHILIPS HEALTHCARE,0001666202,"1,392.70"
Department of Health,The Pennine Acute Hospitals NHS Trust,10/08/2017,M & S Equipment,Capital,PHILIPS HEALTHCARE,0001666202,415.10
Department of Health,The Pennine Acute Hospitals NHS Trust,10/08/2017,M & S Equipment,Capital,PHILIPS HEALTHCARE,0001666202,"3,283.30"
Department of Health,The Pennine Acute Hospitals NHS Trust,10/08/2017,M & S Equipment,Capital,PHILIPS HEALTHCARE,0001666202,360.00
Department of Health,The Pennine Acute Hospitals NHS Trust,10/08/2017,M & S Equipment,Capital,PHILIPS HEALTHCARE,0001666202,660.00
Department of Health,The Pennine Acute Hospitals NHS Trust,10/08/2017,M & S Equipment,Capital,PHILIPS HEALTHCARE,0001666202,"2,880.00"
Department of Health,The Pennine Acute Hospitals NHS Trust,10/08/2017,M & S Equipment,Capital,PHILIPS HEALTHCARE,0001666202,"48,192.36"
Department of Health,The Pennine Acute Hospitals NHS Trust,10/08/2017,M & S Equipment,Capital,PHILIPS HEALTHCARE,0001666202,"8,901.55"
Department of Health,The Pennine Acute Hospitals NHS Trust,10/08/2017,M & S Equipment,Capital,PHILIPS HEALTHCARE,0001666202,"12,732.43"
Department of Health,The Pennine Acute Hospitals NHS Trust,10/08/2017,M & S Equipment,Capital,PHILIPS HEALTHCARE,0001666202,902.16
Department of Health,The Pennine Acute Hospitals NHS Trust,10/08/2017,M & S Equipment,Capital,PHILIPS HEALTHCARE,0001666202,393.12
Department of Health,The Pennine Acute Hospitals NHS Trust,10/08/2017,M & S Equipment,Capital,PHILIPS HEALTHCARE,0001666202,393.12
Department of Health,The Pennine Acute Hospitals NHS Trust,10/08/2017,M & S Equipment,Capital,PHILIPS HEALTHCARE,0001666202,40.32
Department of Health,The Pennine Acute Hospitals NHS Trust,10/08/2017,M & S Equipment,Capital,PHILIPS HEALTHCARE,0001666202,43.68
Department of Health,The Pennine Acute Hospitals NHS Trust,10/08/2017,M & S Equipment,Capital,PHILIPS HEALTHCARE,0001666202,655.20
Department of Health,The Pennine Acute Hospitals NHS Trust,10/08/2017,M & S Equipment,Capital,PHILIPS HEALTHCARE,0001666202,257.04
Department of Health,The Pennine Acute Hospitals NHS Trust,10/08/2017,M & S Equipment,Capital,PHILIPS HEALTHCARE,0001666202,"1,058.40"
Department of Health,The Pennine Acute Hospitals NHS Trust,10/08/2017,M & S Equipment,Capital,PHILIPS HEALTHCARE,0001666202,164.64
Department of Health,The Pennine Acute Hospitals NHS Trust,10/08/2017,M & S Equipment,Capital,PHILIPS HEALTHCARE,0001666202,493.92
Department of Health,The Pennine Acute Hospitals NHS Trust,10/08/2017,M & S Equipment,Capital,PHILIPS HEALTHCARE,0001666202,448.56
Department of Health,The Pennine Acute Hospitals NHS Trust,10/08/2017,M & S Equipment,Capital,PHILIPS HEALTHCARE,0001666202,312.43
Department of Health,The Pennine Acute Hospitals NHS Trust,10/08/2017,M & S Equipment,Capital,PHILIPS HEALTHCARE,0001666202,"25,731.73"
Department of Health,The Pennine Acute Hospitals NHS Trust,10/08/2017,M & S Equipment,Capital,PHILIPS HEALTHCARE,0001666202,"7,779.71"
Department of Health,The Pennine Acute Hospitals NHS Trust,10/08/2017,M & S Equipment,Capital,PHILIPS HEALTHCARE,0001666202,781.50
Department of Health,The Pennine Acute Hospitals NHS Trust,10/08/2017,M & S Equipment,Capital,PHILIPS HEALTHCARE,0001666202,"1,511.90"
Department of Health,The Pennine Acute Hospitals NHS Trust,10/08/2017,M & S Equipment,Capital,PHILIPS HEALTHCARE,0001666202,300.00
Department of Health,The Pennine Acute Hospitals NHS Trust,10/08/2017,M & S Equipment,Capital,PHILIPS HEALTHCARE,0001666202,"16,313.12"
Department of Health,The Pennine Acute Hospitals NHS Trust,10/08/2017,M & S Equipment,Capital,PHILIPS HEALTHCARE,0001666202,"1,091.10"
Department of Health,The Pennine Acute Hospitals NHS Trust,10/08/2017,M & S Equipment,Capital,PHILIPS HEALTHCARE,0001666202,"1,415.72"
Department of Health,The Pennine Acute Hospitals NHS Trust,10/08/2017,M & S Equipment,Capital,PHILIPS HEALTHCARE,0001666202,"8,400.00"
Department of Health,The Pennine Acute Hospitals NHS Trust,10/08/2017,M & S Equipment,Capital,PHILIPS HEALTHCARE,0001666202,274.27
Department of Health,The Pennine Acute Hospitals NHS Trust,10/08/2017,M & S Equipment,Capital,PHILIPS HEALTHCARE,0001666202,812.66
Department of Health,The Pennine Acute Hospitals NHS Trust,10/08/2017,M & S Equipment,Capital,PHILIPS HEALTHCARE,0001666202,804.05
Department of Health,The Pennine Acute Hospitals NHS Trust,10/08/2017,M & S Equipment,Capital,PHILIPS HEALTHCARE,0001666202,"8,460.00"
Department of Health,The Pennine Acute Hospitals NHS Trust,10/08/2017,M & S Equipment,Capital,PHILIPS HEALTHCARE,0001666202,"1,920.00"
Department of Health,The Pennine Acute Hospitals NHS Trust,10/08/2017,M & S Equipment,Capital,PHILIPS HEALTHCARE,0001666202,480.03
Department of Health,The Pennine Acute Hospitals NHS Trust,10/08/2017,M & S Equipment,Capital,PHILIPS HEALTHCARE,0001666202,"13,509.11"
Department of Health,The Pennine Acute Hospitals NHS Trust,10/08/2017,M & S Equipment,Capital,PHILIPS HEALTHCARE,0001666202,"12,744.20"
Department of Health,The Pennine Acute Hospitals NHS Trust,10/08/2017,M & S Equipment,Capital,PHILIPS HEALTHCARE,0001666202,"50,722.73"
Department of Health,The Pennine Acute Hospitals NHS Trust,10/08/2017,M & S Equipment,Capital,PHILIPS HEALTHCARE,0001666202,"20,328.50"
Department of Health,The Pennine Acute Hospitals NHS Trust,10/08/2017,M & S Equipment,Capital,PHILIPS HEALTHCARE,0001666202,"1,052.52"
Department of Health,The Pennine Acute Hospitals NHS Trust,10/08/2017,M & S Equipment,Capital,PHILIPS HEALTHCARE,0001666207,"2,586.78"
Department of Health,The Pennine Acute Hospitals NHS Trust,10/08/2017,M & S Equipment,Capital,PHILIPS HEALTHCARE,0001666207,"1,156.49"
Department of Health,The Pennine Acute Hospitals NHS Trust,10/08/2017,M & S Equipment,Capital,PHILIPS HEALTHCARE,0001666207,"2,578.10"
Department of Health,The Pennine Acute Hospitals NHS Trust,10/08/2017,M & S Equipment,Capital,PHILIPS HEALTHCARE,0001666207,"1,589.16"
Department of Health,The Pennine Acute Hospitals NHS Trust,10/08/2017,M & S Equipment,Capital,PHILIPS HEALTHCARE,0001666207,"2,010.58"
Department of Health,The Pennine Acute Hospitals NHS Trust,10/08/2017,M & S Equipment,Capital,PHILIPS HEALTHCARE,0001666207,"13,027.91"
Department of Health,The Pennine Acute Hospitals NHS Trust,10/08/2017,M & S Equipment,Capital,PHILIPS HEALTHCARE,0001666207,"3,859.74"
Department of Health,The Pennine Acute Hospitals NHS Trust,10/08/2017,M & S Equipment,Capital,PHILIPS HEALTHCARE,0001666207,"2,761.49"
Department of Health,The Pennine Acute Hospitals NHS Trust,10/08/2017,M & S Equipment,Capital,PHILIPS HEALTHCARE,0001666207,"6,209.51"
Department of Health,The Pennine Acute Hospitals NHS Trust,10/08/2017,M & S Equipment,Capital,PHILIPS HEALTHCARE,0001666207,"9,649.36"
Department of Health,The Pennine Acute Hospitals NHS Trust,10/08/2017,M & S Equipment,Capital,PHILIPS HEALTHCARE,0001666207,"25,068.00"
Department of Health,The Pennine Acute Hospitals NHS Trust,10/08/2017,M & S Equipment,Capital,PHILIPS HEALTHCARE,0001666207,"1,609.08"
Department of Health,The Pennine Acute Hospitals NHS Trust,10/08/2017,M & S Equipment,Capital,PHILIPS HEALTHCARE,0001666207,996.09
Department of Health,The Pennine Acute Hospitals NHS Trust,10/08/2017,M & S Equipment,Capital,PHILIPS HEALTHCARE,0001666207,263.09
Department of Health,The Pennine Acute Hospitals NHS Trust,10/08/2017,M & S Equipment,Capital,PHILIPS HEALTHCARE,0001666207,"2,710.40"
Department of Health,The Pennine Acute Hospitals NHS Trust,10/08/2017,M & S Equipment,Capital,PHILIPS HEALTHCARE,0001666212,"51,561.83"
Department of Health,The Pennine Acute Hospitals NHS Trust,10/08/2017,M & S Equipment,Capital,PHILIPS HEALTHCARE,0001666212,597.66
Department of Health,The Pennine Acute Hospitals NHS Trust,10/08/2017,M & S Equipment,Capital,PHILIPS HEALTHCARE,0001666212,597.66
Department of Health,The Pennine Acute Hospitals NHS Trust,10/08/2017,M & S Equipment,Capital,PHILIPS HEALTHCARE,0001666212,"1,371.56"
Department of Health,The Pennine Acute Hospitals NHS Trust,10/08/2017,M & S Equipment,Capital,PHILIPS HEALTHCARE,0001666212,"23,308.64"
Department of Health,The Pennine Acute Hospitals NHS Trust,10/08/2017,M & S Equipment,Capital,PHILIPS HEALTHCARE,0001666212,"4,470.88"
Department of Health,The Pennine Acute Hospitals NHS Trust,10/08/2017,M & S Equipment,Capital,PHILIPS HEALTHCARE,0001666216,"78,888.94"
Department of Health,The Pennine Acute Hospitals NHS Trust,24/08/2017,North Manchester Pharmacy,North Manchester Pharmacy,PHOENIX HEALTHCARE DISTRIBUTION LTD,0001697165,"25,272.00"
Department of Health,The Pennine Acute Hospitals NHS Trust,03/08/2017,Bld Contract Pennine Acute,Capital,PROJECTS LTD,0001691423,"29,870.53"
Department of Health,The Pennine Acute Hospitals NHS Trust,03/08/2017,Bld Contract Pennine Acute,Capital,PROJECTS LTD,0001691423,"1,310.10"
Department of Health,The Pennine Acute Hospitals NHS Trust,30/08/2017,Bld Contract Pennine Acute,Capital,PROJECTS LTD,0001698678,"125,485.87"
Department of Health,The Pennine Acute Hospitals NHS Trust,30/08/2017,Bld Contract Pennine Acute,Capital,PROJECTS LTD,0001698678,"5,503.76"
Department of Health,The Pennine Acute Hospitals NHS Trust,10/08/2017,RRO,Estates and Facilities,RADIOLOGY REPORTING ONLINE LLP,0001694057,"59,766.20"
Department of Health,The Pennine Acute Hospitals NHS Trust,17/08/2017,Medica Adhoc,Estates and Facilities,RADIOLOGY REPORTING ONLINE LLP,0001694791,"77,262.20"
Department of Health,The Pennine Acute Hospitals NHS Trust,03/08/2017,Oldham Pharmacy,Oldham Pharmacy,ROCHE PRODUCTS LTD,0001690177,"35,624.52"
Department of Health,The Pennine Acute Hospitals NHS Trust,04/08/2017,Services from NHS bodies,Corporate Services Other,ROYAL LIVERPOOL & BROADGREEN UNIV HOSP,0001683460,"32,835.00"
Department of Health,The Pennine Acute Hospitals NHS Trust,30/08/2017,Other,Other,SALFORD ROYAL NHS FOUNDATION TRUST,0001697415,"38,944.20"
Department of Health,The Pennine Acute Hospitals NHS Trust,11/08/2017,Training & Education Courses,Corporate Services Other,SALFORD ROYAL NHS FOUNDATION TRUST,0001680739,"109,341.00"
Department of Health,The Pennine Acute Hospitals NHS Trust,04/08/2017,SLA FT Recharge,Corporate Services Other,SALFORD ROYAL NHS FOUNDATION TRUST,0001687185,"60,500.00"
Department of Health,The Pennine Acute Hospitals NHS Trust,30/08/2017,SLA FT Recharge,Corporate Services Other,SALFORD ROYAL NHS FOUNDATION TRUST,0001697413,"60,500.00"
Department of Health,The Pennine Acute Hospitals NHS Trust,17/08/2017,Energy Steam,Estates and Facilities,SRCL LTD,0001692101,"30,291.29"
