Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Reference,Amount
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,29/04/2010,Fp10s,General Medicine Ddh,Nhs Business Services Authority,14163,950.13
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,29/04/2010,Fp10s,General Medicine Pgh,Nhs Business Services Authority,14163,30.75
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,29/04/2010,Fp10s,General Medicine Pgi,Nhs Business Services Authority,14163,2.31
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,29/04/2010,Fp10s,General Surgery - Trustwide,Nhs Business Services Authority,14163,1740.17
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,29/04/2010,Fp10s,Neurology Pgh,Nhs Business Services Authority,14163,120.12
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,29/04/2010,Fp10s,Obstetrics Ddh,Nhs Business Services Authority,14163,111.99
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,29/04/2010,Fp10s,Ophthalmology Clay,Nhs Business Services Authority,14163,5284.7
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,29/04/2010,Fp10s,Rheumatology Pgh,Nhs Business Services Authority,14163,520.61
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,29/04/2010,Fp10s,Rheumatology Pgi,Nhs Business Services Authority,14163,784.32
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,29/04/2010,Fp10s,Urology Pgh,Nhs Business Services Authority,14163,3167.23
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,14/04/2010,Insurance Costs,Myht Losses And Comps,Nhs Litigation Authority,13963,795510.49
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,14/04/2010,Bank Nurse : Qualified,Nhsp Holding Account,Nhs Professionals,13992,108730.85
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,14/04/2010,Bank Nurse : Qualified,Nhsp Holding Account,Nhs Professionals,14017,117508
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,26/04/2010,Grade D - Bank,Nhsp Holding Account,Nhs Professionals,14076,117508
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,29/04/2010,Bank Nurse : Qualified,Nhsp Holding Account,Nhs Professionals,14090,115172.97
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,14/04/2010,Nhs Creditors < 1 Year,Balance Sheet,Nhs Supply Chain,13782,162233.28
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,14/04/2010,Nhs Creditors < 1 Year,Balance Sheet,Nhs Supply Chain,13783,62251.09
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,14/04/2010,Nhs Creditors < 1 Year,Balance Sheet,Nhs Supply Chain,13850,40496.91
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,14/04/2010,Nhs Creditors < 1 Year,Balance Sheet,Nhs Supply Chain,13851,89906.04
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,14/04/2010,Nhs Creditors < 1 Year,Balance Sheet,Nhs Supply Chain,13868,120965.64
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,14/04/2010,Nhs Creditors < 1 Year,Balance Sheet,Nhs Supply Chain,13878,31999.52
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,14/04/2010,Nhs Creditors < 1 Year,Balance Sheet,Nhs Supply Chain,13900,75433.38
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,26/04/2010,Nhs Creditors < 1 Year,Balance Sheet,Nhs Supply Chain,14049,95101.83
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,26/04/2010,X-Ray Equip Maint/Repair,Trust Medical Physics,Nhs Supply Chain,14116,141467.92
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,26/04/2010,X-Ray Equip Maint/Repair,Trust Medical Physics,Nhs Supply Chain,14117,70531.27
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,29/04/2010,Nhs Creditors < 1 Year,Balance Sheet,Nhs Supply Chain,14118,125921.2
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,09/04/2010,Stocks Finished Goods,Balance Sheet,Novartis Pharmaceuticals Uk Ltd,346967,38195.61
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,14/04/2010,Stocks Finished Goods,Balance Sheet,Novartis Pharmaceuticals Uk Ltd,348460,92137.63
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,09/04/2010,Medical Equip Additions Purch,Balance Sheet,Philips Medical Systems,344608,650505.76
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,09/04/2010,General Materials,Sleep Service,Philips Respironics,344317,31396
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,09/04/2010,Stocks Finished Goods,Balance Sheet,Roche Products Ltd,346953,47869.5
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,21/04/2010,Stocks Finished Goods,Balance Sheet,Roche Products Ltd,350850,47869.5
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,21/04/2010,Stocks Finished Goods,Balance Sheet,Roche Products Ltd,350851,51297.56
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,29/04/2010,Stocks Finished Goods,Balance Sheet,Roche Products Ltd,353435,71804.25
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,09/04/2010,Computer Software/License,Information Technology,Scc Specialist Computer Centres,346463,32730
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,26/04/2010,Medical Equip Additions Purch,Balance Sheet,Siemens Healthcare*****Invoices Start 101****,340507,328146.25
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,09/04/2010,Electricity,Estate Management Ddh,Southern Electric,339135,1310.85
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,09/04/2010,Electricity,Estate Management Ddh,Southern Electric,339135,49867.86
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,29/04/2010,Electricity,Pgh Utilities & Rates,Southern Electric,349362,78313.35
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,29/04/2010,Electricity,Pgi Utilities & Rates,Southern Electric,349647,38139.34
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,26/04/2010,Software Additions Purchased,Balance Sheet,Telephonetics Vip,345383,39715
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,26/04/2010,Ext Contr Laundry,Linen Services Pgh,The Sunlight Service Group Ltd,348828,63027.83
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,09/04/2010,Medical Equip Additions Purch,Balance Sheet,Thermo Shandon Ltd,345458,47470
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,09/04/2010,Gas,Estate Management Ddh,Total Gas & Power,340404,993.3
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,09/04/2010,Gas,Estate Management Ddh,Total Gas & Power,340404,39111.85
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,29/04/2010,Gas,Estate Management Ddh,Total Gas & Power,350212,884.52
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,29/04/2010,Gas,Estate Management Ddh,Total Gas & Power,350212,34794.23
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,29/04/2010,Gas,Pgh Utilities & Rates,Total Gas & Power,350186,51068.36
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,29/04/2010,Gas,Pgi Utilities & Rates,Total Gas & Power,341641,28857.57
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,14/04/2010,Healthcare Srv Rec Pcts,Therapies Sla,Wakefield District Pct,13860,59166
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,21/04/2010,Rent,Non Clinical Management Pgh,Wakefield Metropolitan District Council,348039,31031.75
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,29/04/2010,Water,Pgh Utilities & Rates,Yorkshire Water Services Ltd,347050,587.5
The Mid Yorkshire Hospitals NHS Trust,The Mid Yorkshire Hospitals NHS Trust,29/04/2010,Water,Pgh Utilities & Rates,Yorkshire Water Services Ltd,347050,24952.18
