Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Amount
Department of Health,Western Cheshire PCT,15/12/2010,Hcare Srv Rec NHS Trust,RBN ST HELENS & KNOWS,ST HELENS&KNOWSLEY HOSPITALS NHS TRUST,"30,742.00"
Department of Health,Western Cheshire PCT,15/12/2010,Healthcare Srv Rec PCTs,IS CONTRACTS,HALTON AND ST HELENS PCT,"409,250.00"
Department of Health,Western Cheshire PCT,15/12/2010,Services Received - PCTs,ICT,CENTRAL AND EASTERN CHESHIRE PCT,"121,833.33"
Department of Health,Western Cheshire PCT,15/12/2010,Hcare Srv Rec NHS Trust,RL1 R JONES A HUNT,ROBERT JONES&AGNES HUNT ORTHOPAEDIC&DISTRICT HOSPITAL NHS TRUST,"167,287.00"
Department of Health,Western Cheshire PCT,01/12/2010,Hlthcre-Foundation Trsts,REM AINTREE BLK,AINTREE UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,"129,296.00"
Department of Health,Western Cheshire PCT,23/12/2010,Healthcare Srv Rec PCTs,IS CONTRACTS,DEPARTMENT OF HEALTH,"187,463.31"
Department of Health,Western Cheshire PCT,23/12/2010,Disp of Clinical Waste,CHA OFFICE SERVICES,INTERCARE DISTRIBUTION SERVICES LTD,"30,864.00"
Department of Health,Western Cheshire PCT,15/12/2010,Hlthcre-Foundation Trsts,RBV-CHRISTIE HOSP NHSFT,CHRISTIE HOSPITAL NHS FOUNDATION TRUST,"43,453.00"
Department of Health,Western Cheshire PCT,16/12/2010,Voluntary Sector,DAAT,TTP COUNSELLING CENTRE LTD,"30,000.00"
Department of Health,Western Cheshire PCT,02/12/2010,Voluntary Sector,DAAT,ACORN TREATMENT & HOUSING,"37,500.00"
Department of Health,Western Cheshire PCT,01/12/2010,Services from Local Auth,DAAT,CHESHIRE WEST & CHESTER COUNCIL,"-26,514.00"
Department of Health,Western Cheshire PCT,20/12/2010,Services from Local Auth,POOLED BUDGETS ALD,CHESHIRE WEST & CHESTER COUNCIL,"1,835,001.00"
Department of Health,Western Cheshire PCT,15/12/2010,Hcare Srv Rec NHS Trust,RQ6 ROY LIV & BGREEN,ROYAL LIVERPOOL&BROADGREEN UNIVERSITY HOSPITALS NHS TRUST (THE),"317,614.00"
Department of Health,Western Cheshire PCT,22/12/2010,Hlthcre-Foundation Trsts,REN CLATTERBRIDGE ONC,CLATTERBRIDGE CENTRE FOR ONCOLOGY NHS FOUNDATION TRUST,"527,076.00"
Department of Health,Western Cheshire PCT,15/12/2010,Healthcare Srv Rec PCTs,NWSCT HOST ALLOCATIONS,NORTH WEST SPECIALISED COMMISSIONING TEAM,"50,000.00"
Department of Health,Western Cheshire PCT,15/12/2010,Hlthcre-Foundation Trsts,REP LIV WOMENS BLK,LIVERPOOL WOMENS HOSPITAL NHS FOUNDATION TRUST,"48,024.00"
Department of Health,Western Cheshire PCT,15/12/2010,Hcare Srv Rec NHS Trust,RX7 NW AMBULANCE,BLACKPOOL PCT,"508,099.00"
Department of Health,Western Cheshire PCT,23/12/2010,Computer Software/License,STRATEGY & PERFORM IMP,BUPA HEALTH DIALOG LTD,"102,812.50"
Department of Health,Western Cheshire PCT,15/12/2010,Hlthcre-Foundation Trsts,RJR COCH BLOCK CONTRACT,COUNTESS OF CHESTER HOSPITAL NHS FOUNDATION TRUST,"27,000.00"
Department of Health,Western Cheshire PCT,09/12/2010,GMS Rent Others,PMS DR A N HOY,PRIME PUBLIC PARTNERSHIPS LTD,"40,896.15"
Department of Health,Western Cheshire PCT,13/12/2010,Voluntary Sector,DAAT,ADDACTION,"80,490.00"
Department of Health,Western Cheshire PCT,29/12/2010,Hcare Srv Rec NHS Trust,NON CONTRACTED ACTIVITY,NUFFIELD HEALTH,"26,470.00"
Department of Health,Western Cheshire PCT,24/12/2010,Hcare Srv Rec NHS Trust,NON CONTRACTED ACTIVITY,NUFFIELD HOSPITALS,"37,832.00"
Department of Health,Western Cheshire PCT,02/12/2010,ADVANCES,General Practioner Payments,ROCK SURGERY,"25,000.00 "
Department of Health,Western Cheshire PCT,22/12/2010,CHILD VACC & IMMS SCHEME GENERAL,General Practioner Payments,ROCK SURGERY,"1,734.26 "
Department of Health,Western Cheshire PCT,22/12/2010,CHILD VACC & IMMS SCHEME GENERAL,General Practioner Payments,ROCK SURGERY,211.84 
Department of Health,Western Cheshire PCT,22/12/2010,SUPERANN ERS GENERAL,General Practioner Payments,ROCK SURGERY,"-3,115.82 "
Department of Health,Western Cheshire PCT,22/12/2010,SUPERANN EES GENERAL,General Practioner Payments,ROCK SURGERY,"-1,509.13 "
Department of Health,Western Cheshire PCT,22/12/2010,GLOBAL SUM,General Practioner Payments,ROCK SURGERY,"28,527.90 "
Department of Health,Western Cheshire PCT,22/12/2010,MPIG,General Practioner Payments,ROCK SURGERY,"2,718.95 "
Department of Health,Western Cheshire PCT,22/12/2010,QUALITY ASPIRATION PAYMENT GENERAL,General Practioner Payments,ROCK SURGERY,"5,288.23 "
Department of Health,Western Cheshire PCT,22/12/2010,PREMISES (RENT) GENERAL,General Practioner Payments,ROCK SURGERY,"1,283.33 "
Department of Health,Western Cheshire PCT,22/12/2010,SENIORITY PAYMENT GENERAL,General Practioner Payments,ROCK SURGERY,"3,977.55 "
Department of Health,Western Cheshire PCT,22/12/2010,ADVANCES,General Practioner Payments,ROCK SURGERY,"-31,806.36 "
Department of Health,Western Cheshire PCT,22/12/2010,COURIER,General Practioner Payments,ROCK SURGERY,-6.00 
Department of Health,Western Cheshire PCT,22/12/2010,ORANGE BADGE PAYMENTS GENERAL,General Practioner Payments,ROCK SURGERY,80.79 
Department of Health,Western Cheshire PCT,22/12/2010,PRESCR LEADS MEETING,General Practioner Payments,ROCK SURGERY,200.00 
Department of Health,Western Cheshire PCT,22/12/2010,RURAL GP NETWORK,General Practioner Payments,ROCK SURGERY,200.00 
Department of Health,Western Cheshire PCT,22/12/2010,LEVY (STAT),General Practioner Payments,ROCK SURGERY,-188.18 
Department of Health,Western Cheshire PCT,22/12/2010,ROLLING HALF DAY RECHARGE,General Practioner Payments,ROCK SURGERY,-226.22 
Department of Health,Western Cheshire PCT,02/12/2010,ADVANCES,General Practioner Payments,NESTON SURGERY,"38,100.00 "
Department of Health,Western Cheshire PCT,22/12/2010,CHILD VACC & IMMS SCHEME GENERAL,General Practioner Payments,NESTON SURGERY,"2,258.16 "
Department of Health,Western Cheshire PCT,22/12/2010,CHILD VACC & IMMS SCHEME GENERAL,General Practioner Payments,NESTON SURGERY,"1,043.20 "
Department of Health,Western Cheshire PCT,22/12/2010,TRAINING GRANT GENERAL,General Practioner Payments,NESTON SURGERY,633.17 
Department of Health,Western Cheshire PCT,22/12/2010,SUPERANN ERS GENERAL,General Practioner Payments,NESTON SURGERY,"-5,374.75 "
Department of Health,Western Cheshire PCT,22/12/2010,SUPERANN EES GENERAL,General Practioner Payments,NESTON SURGERY,"-2,771.67 "
Department of Health,Western Cheshire PCT,22/12/2010,GLOBAL SUM,General Practioner Payments,NESTON SURGERY,"45,290.90 "
Department of Health,Western Cheshire PCT,22/12/2010,MPIG,General Practioner Payments,NESTON SURGERY,"2,320.60 "
Department of Health,Western Cheshire PCT,22/12/2010,QUALITY ASPIRATION PAYMENT GENERAL,General Practioner Payments,NESTON SURGERY,"11,844.72 "
Department of Health,Western Cheshire PCT,22/12/2010,PREMISES (RENT) GENERAL,General Practioner Payments,NESTON SURGERY,"3,837.33 "
Department of Health,Western Cheshire PCT,22/12/2010,SENIORITY PAYMENT GENERAL,General Practioner Payments,NESTON SURGERY,"4,303.50 "
Department of Health,Western Cheshire PCT,22/12/2010,SUPERANN AVC GENERAL,General Practioner Payments,NESTON SURGERY,-211.58 
Department of Health,Western Cheshire PCT,22/12/2010,ADVANCES,General Practioner Payments,NESTON SURGERY,"-49,595.03 "
Department of Health,Western Cheshire PCT,22/12/2010,COURIER,General Practioner Payments,NESTON SURGERY,-12.00 
Department of Health,Western Cheshire PCT,22/12/2010,ORANGE BADGE PAYMENTS GENERAL,General Practioner Payments,NESTON SURGERY,323.16 
Department of Health,Western Cheshire PCT,22/12/2010,PRESCR LEADS MEETING,General Practioner Payments,NESTON SURGERY,200.00 
Department of Health,Western Cheshire PCT,22/12/2010,CPD TRAINER,General Practioner Payments,NESTON SURGERY,750.00 
Department of Health,Western Cheshire PCT,22/12/2010,LEVY (STAT),General Practioner Payments,NESTON SURGERY,-271.37 
Department of Health,Western Cheshire PCT,22/12/2010,ROLLING HALF DAY RECHARGE,General Practioner Payments,NESTON SURGERY,-326.57 
Department of Health,Western Cheshire PCT,02/12/2010,ADVANCES,General Practioner Payments,OLD HALL SURGERY,"25,800.00 "
Department of Health,Western Cheshire PCT,22/12/2010,CHILD VACC & IMMS SCHEME GENERAL,General Practioner Payments,OLD HALL SURGERY,"2,420.73 "
Department of Health,Western Cheshire PCT,22/12/2010,CHILD VACC & IMMS SCHEME GENERAL,General Practioner Payments,OLD HALL SURGERY,647.52 
Department of Health,Western Cheshire PCT,22/12/2010,TRAINING GRANT GENERAL,General Practioner Payments,OLD HALL SURGERY,"1,266.34 "
Department of Health,Western Cheshire PCT,22/12/2010,SUPERANN ERS GENERAL,General Practioner Payments,OLD HALL SURGERY,"-1,978.95 "
Department of Health,Western Cheshire PCT,22/12/2010,SUPERANN EES GENERAL,General Practioner Payments,OLD HALL SURGERY,"-1,047.41 "
Department of Health,Western Cheshire PCT,22/12/2010,GLOBAL SUM,General Practioner Payments,OLD HALL SURGERY,"27,933.28 "
Department of Health,Western Cheshire PCT,22/12/2010,MPIG,General Practioner Payments,OLD HALL SURGERY,"4,255.28 "
Department of Health,Western Cheshire PCT,22/12/2010,QUALITY ASPIRATION PAYMENT GENERAL,General Practioner Payments,OLD HALL SURGERY,"6,894.61 "
Department of Health,Western Cheshire PCT,22/12/2010,PREMISES (RENT) GENERAL,General Practioner Payments,OLD HALL SURGERY,"2,250.00 "
Department of Health,Western Cheshire PCT,22/12/2010,SENIORITY PAYMENT GENERAL,General Practioner Payments,OLD HALL SURGERY,"6,266.18 "
Department of Health,Western Cheshire PCT,22/12/2010,SUPERANN AVC GENERAL,General Practioner Payments,OLD HALL SURGERY,-124.30 
Department of Health,Western Cheshire PCT,22/12/2010,ADVANCES,General Practioner Payments,OLD HALL SURGERY,"-32,444.09 "
Department of Health,Western Cheshire PCT,22/12/2010,COURIER,General Practioner Payments,OLD HALL SURGERY,-9.00 
Department of Health,Western Cheshire PCT,22/12/2010,ORANGE BADGE PAYMENTS GENERAL,General Practioner Payments,OLD HALL SURGERY,107.72 
Department of Health,Western Cheshire PCT,22/12/2010,PRESCR LEADS MEETING,General Practioner Payments,OLD HALL SURGERY,200.00 
Department of Health,Western Cheshire PCT,22/12/2010,EP&N GP FORUM,General Practioner Payments,OLD HALL SURGERY,200.00 
Department of Health,Western Cheshire PCT,22/12/2010,CPD TRAINER,General Practioner Payments,OLD HALL SURGERY,"1,500.00 "
Department of Health,Western Cheshire PCT,22/12/2010,LEVY (STAT),General Practioner Payments,OLD HALL SURGERY,-169.61 
Department of Health,Western Cheshire PCT,22/12/2010,ROLLING HALF DAY RECHARGE,General Practioner Payments,OLD HALL SURGERY,-209.40 
Department of Health,Western Cheshire PCT,10/12/2010,TRAINING GRANT GENERAL,General Practioner Payments,BUNBURY MEDICAL CENTRE,633.17 
Department of Health,Western Cheshire PCT,10/12/2010,SUPERANN ERS GENERAL,General Practioner Payments,BUNBURY MEDICAL CENTRE,"-4,795.00 "
Department of Health,Western Cheshire PCT,10/12/2010,SUPERANN EES GENERAL,General Practioner Payments,BUNBURY MEDICAL CENTRE,"-2,826.25 "
Department of Health,Western Cheshire PCT,10/12/2010,BUDGET GENERAL,General Practioner Payments,BUNBURY MEDICAL CENTRE,"50,518.83 "
Department of Health,Western Cheshire PCT,10/12/2010,QUALITY ASPIRATION PYMT GENERAL,General Practioner Payments,BUNBURY MEDICAL CENTRE,"6,073.64 "
Department of Health,Western Cheshire PCT,10/12/2010,OOH DEDUCTION GENERAL,General Practioner Payments,BUNBURY MEDICAL CENTRE,"-1,387.75 "
Department of Health,Western Cheshire PCT,10/12/2010,COURIER,General Practioner Payments,BUNBURY MEDICAL CENTRE,-6.00 
Department of Health,Western Cheshire PCT,10/12/2010,RURAL GP NETWORK,General Practioner Payments,BUNBURY MEDICAL CENTRE,400.00 
Department of Health,Western Cheshire PCT,10/12/2010,CPD TRAINER,General Practioner Payments,BUNBURY MEDICAL CENTRE,750.00 
Department of Health,Western Cheshire PCT,10/12/2010,SENIORITY PAYMENT GENERAL,General Practioner Payments,BUNBURY MEDICAL CENTRE,121.33 
Department of Health,Western Cheshire PCT,10/12/2010,LEVY (STAT),General Practioner Payments,BUNBURY MEDICAL CENTRE,-162.87 
Department of Health,Western Cheshire PCT,10/12/2010,LEVY (VOL),General Practioner Payments,BUNBURY MEDICAL CENTRE,-18.57 
Department of Health,Western Cheshire PCT,10/12/2010,ADVANCES,General Practioner Payments,BUNBURY MEDICAL CENTRE,"-13,185.20 "
Department of Health,Western Cheshire PCT,10/12/2010,ROLLING HALF DAY RECHARGE,General Practioner Payments,BUNBURY MEDICAL CENTRE,-203.35 
Department of Health,Western Cheshire PCT,20/12/2010,DISP DRS - DRUGS GENERAL,General Practioner Payments,BUNBURY MEDICAL CENTRE,"26,068.20 "
Department of Health,Western Cheshire PCT,20/12/2010,DISP DRS - REMUNERATION GENERAL,General Practioner Payments,BUNBURY MEDICAL CENTRE,"14,007.89 "
Department of Health,Western Cheshire PCT,20/12/2010,ADV/REC DISPENSING DRS GENERAL,General Practioner Payments,BUNBURY MEDICAL CENTRE,"42,953.76 "
Department of Health,Western Cheshire PCT,20/12/2010,ADV/REC DISPENSING DRS GENERAL,General Practioner Payments,BUNBURY MEDICAL CENTRE,"-24,839.70 "
Department of Health,Western Cheshire PCT,20/12/2010,PRESC CHGS-DISP GP GENERAL,General Practioner Payments,BUNBURY MEDICAL CENTRE,"3,369.60 "
Department of Health,Western Cheshire PCT,20/12/2010,PRESC CHGS-DISP GP GENERAL,General Practioner Payments,BUNBURY MEDICAL CENTRE,"-3,369.60 "
Department of Health,Western Cheshire PCT,10/12/2010,SUPERANN ERS GENERAL,General Practioner Payments,HOOLE ROAD Surgery,"-2,261.42 "
Department of Health,Western Cheshire PCT,10/12/2010,SUPERANN EES GENERAL,General Practioner Payments,HOOLE ROAD Surgery,"-1,283.28 "
Department of Health,Western Cheshire PCT,10/12/2010,BUDGET GENERAL,General Practioner Payments,HOOLE ROAD Surgery,"21,384.00 "
Department of Health,Western Cheshire PCT,10/12/2010,QUALITY ASPIRATION PYMT GENERAL,General Practioner Payments,HOOLE ROAD Surgery,"3,432.39 "
Department of Health,Western Cheshire PCT,10/12/2010,PREMISES (RENT) GENERAL,General Practioner Payments,HOOLE ROAD Surgery,"1,083.33 "
Department of Health,Western Cheshire PCT,10/12/2010,OOH DEDUCTION GENERAL,General Practioner Payments,HOOLE ROAD Surgery,-616.25 
Department of Health,Western Cheshire PCT,10/12/2010,BUDGET GENERAL,General Practioner Payments,HOOLE ROAD Surgery,551.50 
Department of Health,Western Cheshire PCT,10/12/2010,CHOOSE AND BOOK GENERAL,General Practioner Payments,HOOLE ROAD Surgery,"-1,296.88 "
Department of Health,Western Cheshire PCT,10/12/2010,COURIER,General Practioner Payments,HOOLE ROAD Surgery,-3.00 
Department of Health,Western Cheshire PCT,10/12/2010,ORANGE BADGE PAYMENTS GENERAL,General Practioner Payments,HOOLE ROAD Surgery,134.65 
Department of Health,Western Cheshire PCT,10/12/2010,SENIORITY PAYMENT GENERAL,General Practioner Payments,HOOLE ROAD Surgery,462.50 
Department of Health,Western Cheshire PCT,10/12/2010,LEVY (STAT),General Practioner Payments,HOOLE ROAD Surgery,-73.33 
Department of Health,Western Cheshire PCT,10/12/2010,LEVY (VOL),General Practioner Payments,HOOLE ROAD Surgery,-8.36 
Department of Health,Western Cheshire PCT,10/12/2010,ADVANCES,General Practioner Payments,HOOLE ROAD Surgery,"-3,606.81 "
Department of Health,Western Cheshire PCT,10/12/2010,ROLLING HALF DAY RECHARGE,General Practioner Payments,HOOLE ROAD Surgery,-88.52 
Department of Health,Western Cheshire PCT,02/12/2010,ADVANCES,General Practioner Payments,NORTHGATE MEDICAL CENTRE,"29,500.00 "
Department of Health,Western Cheshire PCT,22/12/2010,CHILD VACC & IMMS SCHEME GENERAL,General Practioner Payments,NORTHGATE MEDICAL CENTRE,"2,230.05 "
Department of Health,Western Cheshire PCT,22/12/2010,CHILD VACC & IMMS SCHEME GENERAL,General Practioner Payments,NORTHGATE MEDICAL CENTRE,155.90 
Department of Health,Western Cheshire PCT,22/12/2010,TRAINING GRANT GENERAL,General Practioner Payments,NORTHGATE MEDICAL CENTRE,"1,266.34 "
Department of Health,Western Cheshire PCT,22/12/2010,SUPERANN ERS GENERAL,General Practioner Payments,NORTHGATE MEDICAL CENTRE,"-4,480.00 "
Department of Health,Western Cheshire PCT,22/12/2010,SUPERANN EES GENERAL,General Practioner Payments,NORTHGATE MEDICAL CENTRE,"-2,320.00 "
Department of Health,Western Cheshire PCT,22/12/2010,GLOBAL SUM,General Practioner Payments,NORTHGATE MEDICAL CENTRE,"35,439.81 "
Department of Health,Western Cheshire PCT,22/12/2010,MPIG,General Practioner Payments,NORTHGATE MEDICAL CENTRE,"1,410.27 "
Department of Health,Western Cheshire PCT,22/12/2010,QUALITY ASPIRATION PAYMENT GENERAL,General Practioner Payments,NORTHGATE MEDICAL CENTRE,"8,198.95 "
Department of Health,Western Cheshire PCT,22/12/2010,PREMISES (RENT) GENERAL,General Practioner Payments,NORTHGATE MEDICAL CENTRE,"4,406.25 "
Department of Health,Western Cheshire PCT,22/12/2010,SENIORITY PAYMENT GENERAL,General Practioner Payments,NORTHGATE MEDICAL CENTRE,"5,158.34 "
Department of Health,Western Cheshire PCT,22/12/2010,SUPERANN AVC GENERAL,General Practioner Payments,NORTHGATE MEDICAL CENTRE,"-1,575.60 "
Department of Health,Western Cheshire PCT,22/12/2010,ADVANCES,General Practioner Payments,NORTHGATE MEDICAL CENTRE,"-37,291.71 "
Department of Health,Western Cheshire PCT,22/12/2010,COURIER,General Practioner Payments,NORTHGATE MEDICAL CENTRE,-15.00 
Department of Health,Western Cheshire PCT,22/12/2010,ORANGE BADGE PAYMENTS GENERAL,General Practioner Payments,NORTHGATE MEDICAL CENTRE,134.65 
Department of Health,Western Cheshire PCT,22/12/2010,PRESCR LEADS MEETING,General Practioner Payments,NORTHGATE MEDICAL CENTRE,200.00 
Department of Health,Western Cheshire PCT,22/12/2010,CITY GP NETWORK,General Practioner Payments,NORTHGATE MEDICAL CENTRE,200.00 
Department of Health,Western Cheshire PCT,22/12/2010,CPD TRAINER,General Practioner Payments,NORTHGATE MEDICAL CENTRE,"1,500.00 "
Department of Health,Western Cheshire PCT,22/12/2010,LEVY (STAT),General Practioner Payments,NORTHGATE MEDICAL CENTRE,-208.91 
Department of Health,Western Cheshire PCT,22/12/2010,ROLLING HALF DAY RECHARGE,General Practioner Payments,NORTHGATE MEDICAL CENTRE,-216.58 
Department of Health,Western Cheshire PCT,02/12/2010,ADVANCES,General Practioner Payments,Whitby Group Practice,"22,300.00 "
Department of Health,Western Cheshire PCT,22/12/2010,CHILD VACC & IMMS SCHEME GENERAL,General Practioner Payments,Whitby Group Practice,"1,894.86 "
Department of Health,Western Cheshire PCT,22/12/2010,CHILD VACC & IMMS SCHEME GENERAL,General Practioner Payments,Whitby Group Practice,635.52 
Department of Health,Western Cheshire PCT,22/12/2010,SUPERANN ERS GENERAL,General Practioner Payments,Whitby Group Practice,"-3,539.65 "
Department of Health,Western Cheshire PCT,22/12/2010,SUPERANN EES GENERAL,General Practioner Payments,Whitby Group Practice,"-2,047.94 "
Department of Health,Western Cheshire PCT,22/12/2010,GLOBAL SUM,General Practioner Payments,Whitby Group Practice,"26,691.39 "
Department of Health,Western Cheshire PCT,22/12/2010,MPIG,General Practioner Payments,Whitby Group Practice,"1,151.60 "
Department of Health,Western Cheshire PCT,22/12/2010,QUALITY ASPIRATION PAYMENT GENERAL,General Practioner Payments,Whitby Group Practice,"6,752.04 "
Department of Health,Western Cheshire PCT,22/12/2010,SENIORITY PAYMENT GENERAL,General Practioner Payments,Whitby Group Practice,"2,922.00 "
Department of Health,Western Cheshire PCT,22/12/2010,SUPERANN AVC GENERAL,General Practioner Payments,Whitby Group Practice,-266.99 
Department of Health,Western Cheshire PCT,22/12/2010,ADVANCES,General Practioner Payments,Whitby Group Practice,"-27,654.74 "
Department of Health,Western Cheshire PCT,22/12/2010,COURIER,General Practioner Payments,Whitby Group Practice,-9.00 
Department of Health,Western Cheshire PCT,22/12/2010,ORANGE BADGE PAYMENTS GENERAL,General Practioner Payments,Whitby Group Practice,53.86 
Department of Health,Western Cheshire PCT,22/12/2010,EP&N GP FORUM,General Practioner Payments,Whitby Group Practice,200.00 
Department of Health,Western Cheshire PCT,22/12/2010,LEVY (STAT),General Practioner Payments,Whitby Group Practice,-170.82 
Department of Health,Western Cheshire PCT,22/12/2010,ROLLING HALF DAY RECHARGE,General Practioner Payments,Whitby Group Practice,-210.12 
Department of Health,Western Cheshire PCT,10/12/2010,SUPERANN ERS GENERAL,General Practioner Payments,CHESTER WALK IN CENTRE,"-1,225.00 "
Department of Health,Western Cheshire PCT,10/12/2010,SUPERANN EES GENERAL,General Practioner Payments,CHESTER WALK IN CENTRE,-743.75 
Department of Health,Western Cheshire PCT,10/12/2010,BUDGET GENERAL,General Practioner Payments,CHESTER WALK IN CENTRE,"133,479.50 "
Department of Health,Western Cheshire PCT,02/12/2010,ADVANCES,General Practioner Payments,UPTON VILLAGE SURGERY,"26,400.00 "
Department of Health,Western Cheshire PCT,22/12/2010,GSUM APR- JUN,General Practioner Payments,UPTON VILLAGE SURGERY,400.00 
Department of Health,Western Cheshire PCT,22/12/2010,CHILD VACC & IMMS SCHEME GENERAL,General Practioner Payments,UPTON VILLAGE SURGERY,"2,420.73 "
Department of Health,Western Cheshire PCT,22/12/2010,CHILD VACC & IMMS SCHEME GENERAL,General Practioner Payments,UPTON VILLAGE SURGERY,815.37 
Department of Health,Western Cheshire PCT,22/12/2010,TRAINING GRANT GENERAL,General Practioner Payments,UPTON VILLAGE SURGERY,633.17 
Department of Health,Western Cheshire PCT,22/12/2010,SUPERANN ERS GENERAL,General Practioner Payments,UPTON VILLAGE SURGERY,"-3,454.86 "
Department of Health,Western Cheshire PCT,22/12/2010,SUPERANN EES GENERAL,General Practioner Payments,UPTON VILLAGE SURGERY,"-1,761.01 "
Department of Health,Western Cheshire PCT,22/12/2010,GLOBAL SUM,General Practioner Payments,UPTON VILLAGE SURGERY,"29,291.82 "
Department of Health,Western Cheshire PCT,22/12/2010,MPIG,General Practioner Payments,UPTON VILLAGE SURGERY,"3,690.52 "
Department of Health,Western Cheshire PCT,22/12/2010,QUALITY ASPIRATION PAYMENT GENERAL,General Practioner Payments,UPTON VILLAGE SURGERY,"7,147.94 "
Department of Health,Western Cheshire PCT,22/12/2010,PREMISES (RENT) GENERAL,General Practioner Payments,UPTON VILLAGE SURGERY,"5,362.50 "
Department of Health,Western Cheshire PCT,22/12/2010,SENIORITY PAYMENT GENERAL,General Practioner Payments,UPTON VILLAGE SURGERY,"4,444.27 "
Department of Health,Western Cheshire PCT,22/12/2010,LOCUM ALLOW (PAT/MAT) GENERAL,General Practioner Payments,UPTON VILLAGE SURGERY,"4,000.08 "
Department of Health,Western Cheshire PCT,22/12/2010,SUPERANN AVC GENERAL,General Practioner Payments,UPTON VILLAGE SURGERY,-745.27 
Department of Health,Western Cheshire PCT,22/12/2010,ADVANCES,General Practioner Payments,UPTON VILLAGE SURGERY,"-33,141.09 "
Department of Health,Western Cheshire PCT,22/12/2010,COURIER,General Practioner Payments,UPTON VILLAGE SURGERY,-9.00 
Department of Health,Western Cheshire PCT,22/12/2010,ORANGE BADGE PAYMENTS GENERAL,General Practioner Payments,UPTON VILLAGE SURGERY,134.65 
Department of Health,Western Cheshire PCT,22/12/2010,PRESCR LEADS MEETING,General Practioner Payments,UPTON VILLAGE SURGERY,200.00 
Department of Health,Western Cheshire PCT,22/12/2010,CITY GP NETWORK,General Practioner Payments,UPTON VILLAGE SURGERY,200.00 
Department of Health,Western Cheshire PCT,22/12/2010,LEVY (STAT),General Practioner Payments,UPTON VILLAGE SURGERY,-194.40 
Department of Health,Western Cheshire PCT,22/12/2010,ROLLING HALF DAY RECHARGE,General Practioner Payments,UPTON VILLAGE SURGERY,-240.75 
Department of Health,Western Cheshire PCT,02/12/2010,ADVANCES,General Practioner Payments,YORK ROAD GROUP PRACTICE,"51,100.00 "
Department of Health,Western Cheshire PCT,22/12/2010,CHILD VACC & IMMS SCHEME GENERAL,General Practioner Payments,YORK ROAD GROUP PRACTICE,"5,817.00 "
Department of Health,Western Cheshire PCT,22/12/2010,CHILD VACC & IMMS SCHEME GENERAL,General Practioner Payments,YORK ROAD GROUP PRACTICE,559.56 
Department of Health,Western Cheshire PCT,22/12/2010,TRAINING GRANT GENERAL,General Practioner Payments,YORK ROAD GROUP PRACTICE,633.17 
Department of Health,Western Cheshire PCT,22/12/2010,SUPERANN ERS GENERAL,General Practioner Payments,YORK ROAD GROUP PRACTICE,"-7,279.97 "
Department of Health,Western Cheshire PCT,22/12/2010,SUPERANN EES GENERAL,General Practioner Payments,YORK ROAD GROUP PRACTICE,"-3,997.23 "
Department of Health,Western Cheshire PCT,22/12/2010,GLOBAL SUM,General Practioner Payments,YORK ROAD GROUP PRACTICE,"63,852.36 "
