Department Of Health,Entity,Date of Payment,Expense Type,Expense Area,Supplier ,Amount,Month
Department Of Health,United Lincolnshire Hospitals NHS Trust,21/08/2014,PHARMACY,DIAGNOSTICS,HEALTHCARE AT HOME,"44,330.00",Aug-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,28/08/2014,PHARMACY,DIAGNOSTICS,ROCHE PRODUCTS LTD,"43,840.32",Aug-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,28/08/2014,PHARMACY,DIAGNOSTICS,HEALTHCARE AT HOME,"32,175.00",Aug-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,28/08/2014,PHARMACY,DIAGNOSTICS,HEALTHCARE AT HOME,"41,470.00",Aug-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,28/08/2014,SW SUPPORT,DIAGNOSTICS,ACCENTURE UK LTD,"76,884.23",Aug-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,21/08/2014,LLOYDS PHARM DISPENSING COSTS,DIAGNOSTICS,LLOYDS PHARMACY,"418,314.64",Aug-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,21/08/2014,XRAY MAINTENANCE,DIAGNOSTICS,NHS SUPPLY CHAIN (MAIDSTONE),"28,177.76",Aug-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,28/08/2014,SW SUPPORT,DIAGNOSTICS,ACCENTURE UK LTD,"80,669.85",Aug-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,07/08/2014,BLOOD PRODUCTS,BLOOD & PATHLINKS,NHS BLOOD AND TRANSPLANT,"103,443.64",Aug-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,28/08/2014,PROPERTY LEASE,CORPORATE ESTATES & FACILITIES,NHS PROPERTY SERVICES LTD,"122,716.41",Aug-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,28/08/2014,PROPERTY LEASE,CORPORATE ESTATES & FACILITIES,NHS PROPERTY SERVICES LTD,"122,716.41",Aug-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,28/08/2014,SW SUPPORT,DIAGNOSTICS,ACCENTURE UK LTD,"78,777.04",Aug-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,28/08/2014,PROPERTY LEASE,CORPORATE ESTATES & FACILITIES,NHS PROPERTY SERVICES LTD,"122,716.41",Aug-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,07/08/2014,BLOOD PRODUCTS,BLOOD & PATHLINKS,NHS BLOOD AND TRANSPLANT,"103,443.64",Aug-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/08/2014,SERVICES FROM NON-NHS BODIES,OPERATIONAL MANAGEMENT SUPPORT,SYNERGY HEALTH (UK) LTD,"244,811.50",Aug-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/08/2014,ELECTRICITY,SITE ESTATES & FACILITIES LINCOLN,EDF ENERGY 1 LIMITED,"33,498.30",Aug-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,07/08/2014,EQUIPMENT >5K,CAPITAL PROGRAM,SIEMENS PLC,"182,602.80",Aug-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/08/2014,SW SUPPORT,DIAGNOSTICS,ACCENTURE UK LTD,"78,777.04",Aug-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,07/08/2014,POST MAR 95 RETIREMENTS,DIRECTORATE OF FINANCE & CORPORATE AFFAIRS,NHS PENSION SCHEME,"18,616.79",Aug-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,07/08/2014,PRE MARCH 1995 RETIREMENTS,DIRECTORATE OF FINANCE & CORPORATE AFFAIRS,NHS PENSION SCHEME,"8,168.60",Aug-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,07/08/2014,RESUS STOCK CONSUMABLES,PAN TRUST,NHS SUPPLY CHAIN (DERBY),"210,069.52",Aug-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,07/08/2014,ENGIN AND MAINT EXT CONTRACTS,SITE ESTATES & FACILITIES LINCOLN,SCHNEIDER ELECTRIC  LTD,"29,000.00",Aug-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,07/08/2014,FUEL - STEAM,SITE ESTATES & FACILITIES BOSTON,COFELY LTD,"67,814.69",Aug-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,28/08/2014,PROPERTY LEASE,CORPORATE ESTATES & FACILITIES,NHS PROPERTY SERVICES LTD,"207,666.21",Aug-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,28/08/2014,BLOOD PRODUCTS,BLOOD & PATHLINKS,NHS BLOOD AND TRANSPLANT,"103,443.64",Aug-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/08/2014,COMPUTER HARDWARE,CAPITAL PROGRAM,DELL COMPUTER CORPORATION,"19,351.20",Aug-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/08/2014,EQUIPMENT >5K,CAPITAL PROGRAM,DELL COMPUTER CORPORATION,"19,200.00",Aug-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/08/2014,COMPUTER HARDWARE,CAPITAL PROGRAM,DELL COMPUTER CORPORATION,"38,551.20",Aug-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,07/08/2014,MEDICAL LOCUMS,FINANCE,RIVERSIDE PROFESSIONALS LLP,"192,241.60",Aug-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,21/08/2014,RESUS STOCK CONSUMABLES,PAN TRUST,NHS SUPPLY CHAIN (DERBY),"236,648.92",Aug-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,28/08/2014,CPAP MACHINES,BOSTONIAN,THE SNORING DISORDERS CENTRE LTD,"49,787.12",Aug-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/08/2014,INTERNAL AUDIT,FINANCE,TIAA LTD,"24,400.00",Aug-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/08/2014,RESUS STOCK CONSUMABLES,PAN TRUST,NHS SUPPLY CHAIN (DERBY),"229,631.48",Aug-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,07/08/2014,STRUCTURE,CAPITAL PROGRAM,J TOMLINSON LTD,"112,173.86",Aug-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,21/08/2014,BIKE INITIATIVE,PAN TRUST,HALFORDS LTD,"59,520.83",Aug-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,07/08/2014,MEDICAL LOCUMS,FINANCE,RIVERSIDE PROFESSIONALS LLP,"272,240.25",Aug-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,28/08/2014,SW SUPPORT,DIAGNOSTICS,ACCENTURE UK LTD,"94,532.45",Aug-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/08/2014,CPAP MACHINES,BOSTONIAN,THE SNORING DISORDERS CENTRE LTD,"45,633.28",Aug-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,28/08/2014,RESUS STOCK CONSUMABLES,PAN TRUST,NHS SUPPLY CHAIN (DERBY),"215,701.01",Aug-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,28/08/2014,FUEL - STEAM,SITE ESTATES & FACILITIES BOSTON,COFELY LTD,"27,196.45",Aug-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/08/2014,MEDICAL LOCUMS,FINANCE,NL MANAGED SERVICES LTD,"35,661.39",Aug-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/08/2014,ELECTRICITY,SITE ESTATES & FACILITIES GRANTHAM,EDF ENERGY 1 LIMITED,"35,929.34",Aug-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,28/08/2014,EQUIPMENT >5K,CAPITAL PROGRAM,ALLERGY COSMOS LTD (COMM AIR FILTRATION,"29,225.08",Aug-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,28/08/2014,ADMIN CLERICAL OTHER,FINANCE,LINCOLNSHIRE COMMUNITY HEALTH SERVICES,"30,666.66",Aug-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,28/08/2014,OTHER NURSING,FINANCE,LINCOLNSHIRE COMMUNITY HEALTH SERVICES,"62,696.15",Aug-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,28/08/2014,EXTERNAL CONTRACTS,FINANCE,LINCOLNSHIRE PARTNERSHIP NHS TRUST,"38,927.00",Aug-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,28/08/2014,EXTERNAL CONTRACTS,RESOURCING & WORKFORCE INFO,LINCOLNSHIRE PARTNERSHIP NHS TRUST,"1,093.50",Aug-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,28/08/2014,MEDICAL LOCUMS,FINANCE,RIVERSIDE PROFESSIONALS LLP,"212,676.90",Aug-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,21/08/2014,CHILDCARE VOUCHERS,PAN TRUST,KIDDIVOUCHERS LTD,"38,739.19",Aug-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,28/08/2014,WAN USAGE,IMT,BT GLOBAL SERVICES,"77,373.56",Aug-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,28/08/2014,MEDICAL LOCUMS,FINANCE,RIVERSIDE PROFESSIONALS LLP,"248,226.12",Aug-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,28/08/2014,COURSE FEES,ORGANISATIONAL DEVELOPMENT & TRAINING,UNIVERSITY OF LINCOLN,"31,500.00",Aug-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/08/2014,CNST CONTRIBUTIONS,GOVERNANCE,NHS LITIGATION AUTHORITY,"685,041.00",Aug-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/08/2014,CNST CONTRIBUTIONS,WOMENS &CHILDRENS SERVICES BOSTON,NHS LITIGATION AUTHORITY,"162,544.00",Aug-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/08/2014,CNST CONTRIBUTIONS,WOMENS & CHILDRENS SERVICES LINCOLN,NHS LITIGATION AUTHORITY,"265,200.40",Aug-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,15/08/2014,CNST CONTRIBUTIONS,GOVERNANCE,NHS LITIGATION AUTHORITY,"36,770.90",Aug-14
Department Of Health,United Lincolnshire Hospitals NHS Trust,28/08/2014,MEDICAL LOCUMS,FINANCE,RIVERSIDE PROFESSIONALS LLP,"189,678.65",Aug-14
