Department Family,Entity,Date of Payment,,,Supplier,Transaction Number,Amount in Sterling,,,
Department of Health,The Pennine Acute Hospitals NHS Trust,05/11/2012,Leased Car Expenses,Corporate Services Other,N H C NHS FOUNDATION TRUST,0001188917,"36,182.74",,,
Department of Health,The Pennine Acute Hospitals NHS Trust,05/11/2012,Leased Car Insurance,Corporate Services Other,N H C NHS FOUNDATION TRUST,0001188917,"6,545.00",,,
Department of Health,The Pennine Acute Hospitals NHS Trust,05/11/2012,SLA Central Mcr Virology,Diagnostics & Clinical Support,CENTRAL M'CR UNIVERSITY HOSPITALS NHSFT,0001189203,"59,569.92",,,
Department of Health,The Pennine Acute Hospitals NHS Trust,12/11/2012,Energy Electricity,Estates and Facilities,NPOWER YORKSHIRE LTD,0001189333,"51,437.23",,,
Department of Health,The Pennine Acute Hospitals NHS Trust,12/11/2012,Energy Electricity,Estates and Facilities,NPOWER YORKSHIRE LTD,0001189333,"2,369.01",,,
Department of Health,The Pennine Acute Hospitals NHS Trust,12/11/2012,Energy Electricity,Estates and Facilities,NPOWER YORKSHIRE LTD,0001189336,"116,010.06",,,
Department of Health,The Pennine Acute Hospitals NHS Trust,12/11/2012,Energy Electricity,Estates and Facilities,NPOWER YORKSHIRE LTD,0001189336,"5,342.61",,,
Department of Health,The Pennine Acute Hospitals NHS Trust,12/11/2012,Energy Electricity,Estates and Facilities,NPOWER YORKSHIRE LTD,0001189338,"32,354.12",,,
Department of Health,The Pennine Acute Hospitals NHS Trust,12/11/2012,Energy Electricity,Estates and Facilities,NPOWER YORKSHIRE LTD,0001189338,"3,145.59",,,
Department of Health,The Pennine Acute Hospitals NHS Trust,05/11/2012,X-Ray Maintenance Contracts,Diagnostics & Clinical Support,NHS SUPPLY CHAIN,0001189564,"32,434.90",,,
Department of Health,The Pennine Acute Hospitals NHS Trust,05/11/2012,X-Ray Maintenance Contracts,Diagnostics & Clinical Support,NHS SUPPLY CHAIN,0001189564,"6,357.24",,,
Department of Health,The Pennine Acute Hospitals NHS Trust,12/11/2012,Specialty Registrar(ST1 & ST2),Corporate Services Other,NORTH LANCASHIRE PCT,0001190023,"311,678.10",,,
Department of Health,The Pennine Acute Hospitals NHS Trust,05/11/2012,Health Supplies,Health Supplies,NHS SUPPLY CHAIN,0001190267,"391,624.90",,,
Department of Health,The Pennine Acute Hospitals NHS Trust,01/11/2012,Non NHS Services General,Medicine and Community,ICL,0001190693,"37,774.93",,,
Department of Health,The Pennine Acute Hospitals NHS Trust,01/11/2012,Lab Equip Reagents,Diagnostics & Clinical Support,BIOMERIEUX UK LTD,0001190783,"82,970.12",,,
Department of Health,The Pennine Acute Hospitals NHS Trust,12/11/2012,SLA Blood Transfusion,Diagnostics & Clinical Support,NHSBT,0001191485,"34,479.79",,,
Department of Health,The Pennine Acute Hospitals NHS Trust,12/11/2012,SLA Blood Transfusion,Diagnostics & Clinical Support,NHSBT,0001191487,"82,973.42",,,
Department of Health,The Pennine Acute Hospitals NHS Trust,12/11/2012,SLA Blood Transfusion,Diagnostics & Clinical Support,NHSBT,0001191489,"143,901.62",,,
Department of Health,The Pennine Acute Hospitals NHS Trust,01/11/2012,Oldham Pharmacy,Oldham Pharmacy,ROCHE PRODUCTS LTD,0001192270,"26,194.50",,,
Department of Health,The Pennine Acute Hospitals NHS Trust,01/11/2012,Computer Hardware & Software,Capital,G E MEDICAL SYSTEMS,0001193769,"43,351.82",,,
Department of Health,The Pennine Acute Hospitals NHS Trust,01/11/2012,M & S Equipment,Capital,GENESYS MEDICAL SOLUTIONS UK LTD,0001193889,237.60,,,
Department of Health,The Pennine Acute Hospitals NHS Trust,01/11/2012,M & S Equipment,Capital,GENESYS MEDICAL SOLUTIONS UK LTD,0001193889,"4,184.40",,,
Department of Health,The Pennine Acute Hospitals NHS Trust,01/11/2012,M & S Equipment,Capital,GENESYS MEDICAL SOLUTIONS UK LTD,0001193889,"15,660.00",,,
Department of Health,The Pennine Acute Hospitals NHS Trust,01/11/2012,M & S Equipment,Capital,GENESYS MEDICAL SOLUTIONS UK LTD,0001193889,24.00,,,
Department of Health,The Pennine Acute Hospitals NHS Trust,01/11/2012,M & S Equipment,Capital,GENESYS MEDICAL SOLUTIONS UK LTD,0001193889,"30,888.00",,,
Department of Health,The Pennine Acute Hospitals NHS Trust,01/11/2012,Oldham Pharmacy,Oldham Pharmacy,IDIS LTD,0001194009,"25,508.20",,,
Department of Health,The Pennine Acute Hospitals NHS Trust,01/11/2012,Oldham Pharmacy,Oldham Pharmacy,ROCHE PRODUCTS LTD,0001194189,"26,194.50",,,
Department of Health,The Pennine Acute Hospitals NHS Trust,01/11/2012,Bld Contract Pennine Acute,Capital,CLADDING BY DESIGN LTD,0001194281,"36,400.00",,,
Department of Health,The Pennine Acute Hospitals NHS Trust,22/11/2012,Water & Sewerage,Estates and Facilities,UNITED UTILITIES WATER,0001195493,"38,031.58",,,
Department of Health,The Pennine Acute Hospitals NHS Trust,22/11/2012,Water & Sewerage,Estates and Facilities,UNITED UTILITIES WATER,0001195498,"40,105.70",,,
Department of Health,The Pennine Acute Hospitals NHS Trust,15/11/2012,Bld Contract Pennine Acute,Capital,THOMAS BARNES & SONS,0001195581,"114,079.74",,,
Department of Health,The Pennine Acute Hospitals NHS Trust,15/11/2012,Bld Contract Pennine Acute,Capital,THOMAS BARNES & SONS,0001195581,"223,356.11",,,
Department of Health,The Pennine Acute Hospitals NHS Trust,19/11/2012,Health Supplies,Health Supplies,NHS SUPPLY CHAIN,0001195632,"755,153.56",,,
Department of Health,The Pennine Acute Hospitals NHS Trust,12/11/2012,Health Supplies,Health Supplies,NHS SUPPLY CHAIN,0001195634,"313,475.40",,,
Department of Health,The Pennine Acute Hospitals NHS Trust,05/11/2012,Credit Union,Credit Union,METRO MONEYWISE,0001195923,"49,235.52",,,
Department of Health,The Pennine Acute Hospitals NHS Trust,08/11/2012,PACS Support & Maintenance,Corporate Services Other,CSC CHORLEY,0001196001,"101,278.91",,,
Department of Health,The Pennine Acute Hospitals NHS Trust,05/11/2012,Security Services,Estates and Facilities,MITIE SECURITY LTD,0001196226,"32,490.67",,,
Department of Health,The Pennine Acute Hospitals NHS Trust,05/11/2012,Rates,Estates and Facilities,ROCHDALE METROPOLITAN BOROUGH COUNCIL,0001196449,"45,113.00",,,
Department of Health,The Pennine Acute Hospitals NHS Trust,05/11/2012,Rates,Estates and Facilities,OLDHAM M B,0001196452,"88,877.00",,,
Department of Health,The Pennine Acute Hospitals NHS Trust,05/11/2012,Rates,Estates and Facilities,BURY MBC,0001196454,"77,402.00",,,
Department of Health,The Pennine Acute Hospitals NHS Trust,05/11/2012,Rates,Estates and Facilities,MANCHESTER CITY COUNCIL,0001196456,"98,928.00",,,
Department of Health,The Pennine Acute Hospitals NHS Trust,08/11/2012,Bld Contract Pennine Acute,Capital,IBBOTSON CONSTRUCTION LTD,0001196886,"2,205.91",,,
Department of Health,The Pennine Acute Hospitals NHS Trust,08/11/2012,Bld Contract Pennine Acute,Capital,IBBOTSON CONSTRUCTION LTD,0001196886,"50,294.76",,,
Department of Health,The Pennine Acute Hospitals NHS Trust,08/11/2012,Security Services,Estates and Facilities,MITIE SECURITY LTD,0001197070,"40,661.74",,,
Department of Health,The Pennine Acute Hospitals NHS Trust,19/11/2012,M & S Equipment,Capital,ALCON EYE CARE UK LTD,0001197369,"76,800.00",,,
Department of Health,The Pennine Acute Hospitals NHS Trust,26/11/2012,Health Supplies,Health Supplies,NHS SUPPLY CHAIN,0001197457,"351,147.06",,,
Department of Health,The Pennine Acute Hospitals NHS Trust,22/11/2012,Oldham Pharmacy,Oldham Pharmacy,ROCHE PRODUCTS LTD,0001197541,"26,194.50",,,
Department of Health,The Pennine Acute Hospitals NHS Trust,08/11/2012,Bury Pharmacy,Bury Pharmacy,AAH CUSTOMER SERVICE,0001197563,"63,425.03",,,
Department of Health,The Pennine Acute Hospitals NHS Trust,08/11/2012,Oldham Pharmacy,Oldham Pharmacy,AAH CUSTOMER SERVICE,0001197565,"159,058.34",,,
Department of Health,The Pennine Acute Hospitals NHS Trust,08/11/2012,North Manchester Pharmacy,North Manchester Pharmacy,AAH CUSTOMER SERVICE,0001197569,"98,162.19",,,
Department of Health,The Pennine Acute Hospitals NHS Trust,08/11/2012,UNISON,UNISON,UNISON,0001197969,"27,986.23",,,
Department of Health,The Pennine Acute Hospitals NHS Trust,29/11/2012,Clean Ext Contracts Tender,Estates and Facilities,ISS MEDICLEAN LIMITED,0001198106,"236,284.90",,,
Department of Health,The Pennine Acute Hospitals NHS Trust,29/11/2012,Clean Ext Contracts Tender,Estates and Facilities,ISS MEDICLEAN LIMITED,0001198111,"67,295.98",,,
Department of Health,The Pennine Acute Hospitals NHS Trust,29/11/2012,Clean Ext Contracts Tender,Estates and Facilities,ISS MEDICLEAN LIMITED,0001198112,"197,848.07",,,
Department of Health,The Pennine Acute Hospitals NHS Trust,29/11/2012,Clean Ext Contracts Tender,Estates and Facilities,ISS MEDICLEAN LIMITED,0001198113,"120,156.65",,,
Department of Health,The Pennine Acute Hospitals NHS Trust,12/11/2012,Hospital Saturday Fund,Hospital Saturday Fund,HEALTHSURE GROUP LTD,0001198283,"28,463.45",,,
Department of Health,The Pennine Acute Hospitals NHS Trust,19/11/2012,SLA Bury PCT,Diagnostics & Clinical Support,PENNINE CARE NHS TRUST,0001198487,"17,008.00",,,
Department of Health,The Pennine Acute Hospitals NHS Trust,19/11/2012,SLA Bury PCT,Diagnostics & Clinical Support,PENNINE CARE NHS TRUST,0001198487,"17,933.00",,,
Department of Health,The Pennine Acute Hospitals NHS Trust,19/11/2012,SLA Bury PCT,Diagnostics & Clinical Support,PENNINE CARE NHS TRUST,0001198487,494.00,,,
Department of Health,The Pennine Acute Hospitals NHS Trust,15/11/2012,Bld Contract Pennine Acute,Capital,J FLETCHER (ENGINEERS) LTD,0001198700,"56,385.92",,,
Department of Health,The Pennine Acute Hospitals NHS Trust,22/11/2012,Non NHS Services General,Medicine and Community,ICL,0001200282,"39,034.09",,,
Department of Health,The Pennine Acute Hospitals NHS Trust,22/11/2012,M & S Equipment,Capital,ANETIC AID LTD,0001200806,"46,170.00",,,
Department of Health,The Pennine Acute Hospitals NHS Trust,22/11/2012,Licences,Estates and Facilities,OLDHAM ATHLETIC (2004) A.F.C. LTD,0001202468,"36,434.30",,,
Department of Health,The Pennine Acute Hospitals NHS Trust,21/11/2012,Bld Contract Pennine Acute,Capital,THOMAS KERSHAW BUILDERS LTD,0001202580,"43,460.89",,,
Department of Health,The Pennine Acute Hospitals NHS Trust,21/11/2012,Bld Contract Pennine Acute,Capital,THOMAS KERSHAW BUILDERS LTD,0001202580,"24,144.94",,,
Department of Health,The Pennine Acute Hospitals NHS Trust,22/11/2012,Consultancy Services,Corporate Services Other,ERNST & YOUNG LLP,0001202601,"127,611.84",,,
Department of Health,The Pennine Acute Hospitals NHS Trust,26/11/2012,Lab Equip Reagents,Diagnostics & Clinical Support,ABBOTT LABORATORIES,0001202606,"26,218.98",,,
Department of Health,The Pennine Acute Hospitals NHS Trust,26/11/2012,Laboratory Consumables,Diagnostics & Clinical Support,ABBOTT LABORATORIES,0001202608,140.25,,,
Department of Health,The Pennine Acute Hospitals NHS Trust,26/11/2012,Laboratory Consumables,Diagnostics & Clinical Support,ABBOTT LABORATORIES,0001202608,"1,453.00",,,
Department of Health,The Pennine Acute Hospitals NHS Trust,26/11/2012,Lab Equip Reagents,Surgery,ABBOTT LABORATORIES,0001202608,75.00,,,
Department of Health,The Pennine Acute Hospitals NHS Trust,26/11/2012,Lab Equip Reagents,Diagnostics & Clinical Support,ABBOTT LABORATORIES,0001202608,"1,644.95",,,
Department of Health,The Pennine Acute Hospitals NHS Trust,26/11/2012,Lab Equip Reagents,Diagnostics & Clinical Support,ABBOTT LABORATORIES,0001202608,"28,265.10",,,
Department of Health,The Pennine Acute Hospitals NHS Trust,26/11/2012,Lab Equip Reagents,Diagnostics & Clinical Support,ABBOTT LABORATORIES,0001202608,"7,175.54",,,
Department of Health,The Pennine Acute Hospitals NHS Trust,26/11/2012,Lab Equip Reagents,Diagnostics & Clinical Support,ABBOTT LABORATORIES,0001202608,"6,800.07",,,
Department of Health,The Pennine Acute Hospitals NHS Trust,26/11/2012,Lab Equip Reagents,Diagnostics & Clinical Support,ABBOTT LABORATORIES,0001202608,"8,724.56",,,
Department of Health,The Pennine Acute Hospitals NHS Trust,26/11/2012,Lab Equip Reagents,Diagnostics & Clinical Support,ABBOTT LABORATORIES,0001202608,"5,640.00",,,
Department of Health,The Pennine Acute Hospitals NHS Trust,26/11/2012,Lab Equip Reagents,Diagnostics & Clinical Support,ABBOTT LABORATORIES,0001202608,72.00,,,
Department of Health,The Pennine Acute Hospitals NHS Trust,26/11/2012,Lab Equip Reagents,Diagnostics & Clinical Support,ABBOTT LABORATORIES,0001202608,"3,617.90",,,
Department of Health,The Pennine Acute Hospitals NHS Trust,26/11/2012,Sarstedt,Diagnostics & Clinical Support,ABBOTT LABORATORIES,0001202608,"1,149.55",,,
Department of Health,The Pennine Acute Hospitals NHS Trust,26/11/2012,Sarstedt,Diagnostics & Clinical Support,ABBOTT LABORATORIES,0001202608,"1,117.45",,,
Department of Health,The Pennine Acute Hospitals NHS Trust,26/11/2012,Oxoid,Diagnostics & Clinical Support,ABBOTT LABORATORIES,0001202608,247.91,,,
Department of Health,The Pennine Acute Hospitals NHS Trust,26/11/2012,Benson Viscometers,Diagnostics & Clinical Support,ABBOTT LABORATORIES,0001202608,805.11,,,
Department of Health,The Pennine Acute Hospitals NHS Trust,26/11/2012,ProLab,Diagnostics & Clinical Support,ABBOTT LABORATORIES,0001202608,"4,899.35",,,
Department of Health,The Pennine Acute Hospitals NHS Trust,26/11/2012,Lab Equip Reagents,Diagnostics & Clinical Support,ABBOTT LABORATORIES,0001202608,868.60,,,
Department of Health,The Pennine Acute Hospitals NHS Trust,26/11/2012,Lab Equip Reagents,Diagnostics & Clinical Support,ABBOTT LABORATORIES,0001202608,"3,121.87",,,
Department of Health,The Pennine Acute Hospitals NHS Trust,26/11/2012,Lab Equip Reagents,Diagnostics & Clinical Support,ABBOTT LABORATORIES,0001202608,211.80,,,
Department of Health,The Pennine Acute Hospitals NHS Trust,26/11/2012,Lab Equip Reagents,Diagnostics & Clinical Support,ABBOTT LABORATORIES,0001202608,"1,654.00",,,
Department of Health,The Pennine Acute Hospitals NHS Trust,26/11/2012,Lab Equip Reagents,Diagnostics & Clinical Support,ABBOTT LABORATORIES,0001202608,"4,278.15",,,
Department of Health,The Pennine Acute Hospitals NHS Trust,26/11/2012,Lab Equip Reagents,Diagnostics & Clinical Support,ABBOTT LABORATORIES,0001202608,"2,485.06",,,
Department of Health,The Pennine Acute Hospitals NHS Trust,26/11/2012,Lab Equip Reagents,Diagnostics & Clinical Support,ABBOTT LABORATORIES,0001202610,"1,331.68",,,
Department of Health,The Pennine Acute Hospitals NHS Trust,26/11/2012,Lab Equip Reagents,Diagnostics & Clinical Support,ABBOTT LABORATORIES,0001202610,"26,753.48",,,
Department of Health,The Pennine Acute Hospitals NHS Trust,26/11/2012,Lab Equip Reagents,Diagnostics & Clinical Support,ABBOTT LABORATORIES,0001202610,"61,195.00",,,
Department of Health,The Pennine Acute Hospitals NHS Trust,29/11/2012,SAN Support Computer Maint,Corporate Services Other,HEWLETT-PACKARD LTD,0001203284,"11,803.02",,,
Department of Health,The Pennine Acute Hospitals NHS Trust,29/11/2012,SAN Support Computer Maint,Corporate Services Other,HEWLETT-PACKARD LTD,0001203284,"22,819.67",,,
Department of Health,The Pennine Acute Hospitals NHS Trust,29/11/2012,SAN Support Computer Maint,Corporate Services Other,HEWLETT-PACKARD LTD,0001203284,321.00,,,
Department of Health,The Pennine Acute Hospitals NHS Trust,29/11/2012,SAN Support Computer Maint,Corporate Services Other,HEWLETT-PACKARD LTD,0001203284,541.20,,,
Department of Health,The Pennine Acute Hospitals NHS Trust,26/11/2012,M & S Equipment,Capital,SONOSITE LTD,0001203404,"45,043.20",,,
Department of Health,The Pennine Acute Hospitals NHS Trust,26/11/2012,X-Ray Maintenance Contracts,Diagnostics & Clinical Support,NHS SUPPLY CHAIN,0001203571,"-162,580.00",,,
Department of Health,The Pennine Acute Hospitals NHS Trust,26/11/2012,Child Care Vouchers,Child Care Vouchers,EDENRED LTD (CHILDCARE),0001203679,"2,097.65",,,
Department of Health,The Pennine Acute Hospitals NHS Trust,26/11/2012,Child Care Vouchers,Child Care Vouchers,EDENRED LTD (CHILDCARE),0001203679,"87,401.75",,,
Department of Health,The Pennine Acute Hospitals NHS Trust,29/11/2012,Energy Steam,Estates and Facilities,SRCL LTD,0001203959,"30,905.78",,,
Department of Health,The Pennine Acute Hospitals NHS Trust,29/11/2012,Professional Fees,Capital,INTEGRATED HEALTH PROJECTS (IHP),0001204106,"1,231,484.02",,,
Department of Health,The Pennine Acute Hospitals NHS Trust,29/11/2012,Professional Fees,Capital,INTEGRATED HEALTH PROJECTS (IHP),0001204106,"236,047.05",,,
Department of Health,The Pennine Acute Hospitals NHS Trust,29/11/2012,Energy Gas,Estates and Facilities,GAZPROM MARKETING & TRADING RETAIL LTD,0001204190,"2,212.65",,,
Department of Health,The Pennine Acute Hospitals NHS Trust,29/11/2012,Energy Gas,Estates and Facilities,GAZPROM MARKETING & TRADING RETAIL LTD,0001204190,"88,304.16",,,
Department of Health,The Pennine Acute Hospitals NHS Trust,29/11/2012,Energy Gas,Estates and Facilities,GAZPROM MARKETING & TRADING RETAIL LTD,0001204231,"51,034.86",,,
Department of Health,The Pennine Acute Hospitals NHS Trust,29/11/2012,Energy Gas,Estates and Facilities,GAZPROM MARKETING & TRADING RETAIL LTD,0001204231,846.93,,,
Department of Health,The Pennine Acute Hospitals NHS Trust,29/11/2012,M & S Equipment,Capital,SONOSITE LTD,0001205075,"34,176.46",,,
