Department family,Entity,Date of payment,Expense type,Expense area,Supplier,Amount in Sterling
Department of Health,United Lincolnshire Hospitals NHS Trust,24-Aug-10,ENERGY & UTILITIES OTHER NHS,FACILITIES / ESTATES,LINCOLNSHIRE PCT,"1,027.00"
Department of Health,United Lincolnshire Hospitals NHS Trust,24-Aug-10,PREMISES RENT OTHER NHS BODIES,FACILITIES / ESTATES,LINCOLNSHIRE PCT,"1,255.33"
Department of Health,United Lincolnshire Hospitals NHS Trust,24-Aug-10,STAFF COSTS OTHER NHS BODIES,EMERGENCY CARE - PILGRIM,LINCOLNSHIRE PCT,"19,508.63"
Department of Health,United Lincolnshire Hospitals NHS Trust,24-Aug-10,STAFF COSTS OTHER NHS BODIES,FACILITIES / ESTATES,LINCOLNSHIRE PCT,"5,559.51"
Department of Health,United Lincolnshire Hospitals NHS Trust,12-Aug-10,RESUS STOCK CONSUMABLES,PAN TRUST,NHS SUPPLY CHAIN (DERBY),"114,005.94"
Department of Health,United Lincolnshire Hospitals NHS Trust,12-Aug-10,RESUS STOCK CONSUMABLES,PAN TRUST,NHS SUPPLY CHAIN (DERBY),"77,827.69"
Department of Health,United Lincolnshire Hospitals NHS Trust,12-Aug-10,RESUS STOCK CONSUMABLES,PAN TRUST,NHS SUPPLY CHAIN (DERBY),"25,117.46"
Department of Health,United Lincolnshire Hospitals NHS Trust,24-Aug-10,STAFF COSTS OTHER NHS BODIES,FACILITIES / ESTATES,LINCOLNSHIRE PCT,"81,348.26"
Department of Health,United Lincolnshire Hospitals NHS Trust,24-Aug-10,STAFF COSTS OTHER NHS BODIES,FACILITIES / ESTATES,LINCOLNSHIRE PCT,"76,443.04"
Department of Health,United Lincolnshire Hospitals NHS Trust,05-Aug-10,ENGIN AND MAINT EXT CONTRACTS,FACILITIES / ESTATES,APOLLO LIFTS LTD,"71,968.75"
Department of Health,United Lincolnshire Hospitals NHS Trust,24-Aug-10,EXTERNAL LAUNDRY CONTRACT,FACILITIES / ESTATES,THE SUNLIGHT SERVICE GROUP LTD,"42,986.49"
Department of Health,United Lincolnshire Hospitals NHS Trust,12-Aug-10,FUEL - STEAM,FACILITIES / ESTATES,COFELY LTD,"41,976.19"
Department of Health,United Lincolnshire Hospitals NHS Trust,11-Aug-10,PHARMACY PILGRIM,DIAGNOSTICS PAN TRUST,HEALTHCARE PRODUCT SERVICES,"26,821.73"
Department of Health,United Lincolnshire Hospitals NHS Trust,24-Aug-10,RESUS STOCK CONSUMABLES,PAN TRUST,NHS SUPPLY CHAIN (DERBY),"73,130.57"
Department of Health,United Lincolnshire Hospitals NHS Trust,24-Aug-10,RESUS STOCK CONSUMABLES,PAN TRUST,NHS SUPPLY CHAIN (DERBY),"115,927.33"
Department of Health,United Lincolnshire Hospitals NHS Trust,25-Aug-10,BLOOD PRODUCTS,DIAGNOSTICS PAN TRUST,NHS BLOOD AND TRANSPLANT,"29,384.89"
Department of Health,United Lincolnshire Hospitals NHS Trust,31-Aug-10,FUEL - STEAM,FACILITIES / ESTATES,DALKIA UTILITIES SERVICES PLC,"42,686.37"
Department of Health,United Lincolnshire Hospitals NHS Trust,24-Aug-10,ELECTRICITY,FACILITIES / ESTATES,SOUTHERN ELECTRIC/GAS PLC,"25,936.57"
Department of Health,United Lincolnshire Hospitals NHS Trust,24-Aug-10,RESUS STOCK CONSUMABLES,PAN TRUST,NHS SUPPLY CHAIN (DERBY),"26,379.79"
Department of Health,United Lincolnshire Hospitals NHS Trust,31-Aug-10,CLINICAL SERVICE CONTRACT,DIAGNOSTICS PAN TRUST,MEDICA GROUP,"26,133.50"
Department of Health,United Lincolnshire Hospitals NHS Trust,31-Aug-10,HEALTHCARE AT HOME,DIAGNOSTICS PAN TRUST,HEALTHCARE AT HOME,"34,320.00"
Department of Health,United Lincolnshire Hospitals NHS Trust,31-Aug-10,HEALTHCARE AT HOME,DIAGNOSTICS PAN TRUST,HEALTHCARE AT HOME,"133,705.00"
Department of Health,United Lincolnshire Hospitals NHS Trust,31-Aug-10,HEALTHCARE AT HOME,DIAGNOSTICS PAN TRUST,HEALTHCARE AT HOME,"70,070.00"
Department of Health,United Lincolnshire Hospitals NHS Trust,24-Aug-10,PHARMACY,DIAGNOSTICS PAN TRUST,HEALTHCARE PRODUCT SERVICES,"30,538.25"
Department of Health,United Lincolnshire Hospitals NHS Trust,26-Aug-10,CHILDCARE VOUCHERS,PAN TRUST,COMPUTERSHARE VOUCHER SERVICES,"30,454.80"
Department of Health,United Lincolnshire Hospitals NHS Trust,24-Aug-10,STRUCTURE,CAPITAL PROGRAM,TAYLOR PEARSON LTD,"58,312.15"
Department of Health,United Lincolnshire Hospitals NHS Trust,02-Aug-10,PHARMACY PILGRIM,DIAGNOSTICS PAN TRUST,PHOENIX HEALTHCARE DISTRIBUTION,"27,966.77"
Department of Health,United Lincolnshire Hospitals NHS Trust,02-Aug-10,PHARMACY,DIAGNOSTICS PAN TRUST,NOVARTIS PHARMACEUTICALS,"46,975.33"
Department of Health,United Lincolnshire Hospitals NHS Trust,09-Aug-10,PHARMACY,DIAGNOSTICS PAN TRUST,NOVARTIS PHARMACEUTICALS,"35,861.59"
Department of Health,United Lincolnshire Hospitals NHS Trust,02-Aug-10,PHARMACY,DIAGNOSTICS PAN TRUST,ROCHE PRODUCTS LTD,"41,038.05"
Department of Health,United Lincolnshire Hospitals NHS Trust,09-Aug-10,PHARMACY,DIAGNOSTICS PAN TRUST,PHOENIX HEALTHCARE DISTRIBUTION,"35,121.72"
Department of Health,United Lincolnshire Hospitals NHS Trust,11-Aug-10,PHARMACY,DIAGNOSTICS PAN TRUST,NOVARTIS PHARMACEUTICALS,"29,451.38"
Department of Health,United Lincolnshire Hospitals NHS Trust,12-Aug-10,PHARMACY,DIAGNOSTICS PAN TRUST,NOVARTIS PHARMACEUTICALS,"45,938.04"
Department of Health,United Lincolnshire Hospitals NHS Trust,12-Aug-10,PHARMACY,DIAGNOSTICS PAN TRUST,NOVARTIS PHARMACEUTICALS,"47,547.69"
Department of Health,United Lincolnshire Hospitals NHS Trust,24-Aug-10,PHARMACY,DIAGNOSTICS PAN TRUST,NOVARTIS PHARMACEUTICALS,"44,720.50"
Department of Health,United Lincolnshire Hospitals NHS Trust,24-Aug-10,PHARMACY,DIAGNOSTICS PAN TRUST,NOVARTIS PHARMACEUTICALS,"38,701.09"
Department of Health,United Lincolnshire Hospitals NHS Trust,24-Aug-10,PHARMACY,DIAGNOSTICS PAN TRUST,ROCHE PRODUCTS LTD,"41,438.07"
Department of Health,United Lincolnshire Hospitals NHS Trust,31-Aug-10,PHARMACY,DIAGNOSTICS PAN TRUST,PHOENIX HEALTHCARE DISTRIBUTION,"25,133.25"
Department of Health,United Lincolnshire Hospitals NHS Trust,31-Aug-10,PHARMACY,DIAGNOSTICS PAN TRUST,NOVARTIS PHARMACEUTICALS,"46,913.05"
Department of Health,United Lincolnshire Hospitals NHS Trust,31-Aug-10,FUEL - STEAM,FACILITIES / ESTATES,DALKIA UTILITIES SERVICES PLC,"48,344.29"
Department of Health,United Lincolnshire Hospitals NHS Trust,31-Aug-10,ELECTRICITY,FACILITIES / ESTATES,SOUTHERN ELECTRIC/GAS PLC,"37,183.58"
Department of Health,United Lincolnshire Hospitals NHS Trust,24-Aug-10,BLOOD PRODUCTS,DIAGNOSTICS PAN TRUST,NHS BLOOD AND TRANSPLANT,"26,328.47"
