Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Voluntary & Community Sector,SME Class,Sole Trader,Transaction number,Purchasing Item Text,Postal Code,Amount in Sterling,Grant?
Communities & Local Government,PINS,11/05/2016,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,,Large,,5106221712,Stationery Order    ,S9 1XU,285.45,
Communities & Local Government,PINS,12/05/2016,Agency Staff,Planning Casework,BROOK STREET (UK) LTD,,Large,,2100040578,Casework Support Team ,AL1 4JB,-513.41,
Communities & Local Government,PINS,12/05/2016,Agency Staff,Planning Casework,BROOK STREET (UK) LTD,,Large,,5106221713,Casework Support Team ,AL1 4JB,513.41,
Communities & Local Government,PINS,12/05/2016,Travel and Subsistence Account,Inspector Costs,REDFERN TRAVEL LIMITED,,Small,,5106221739,Air Tickets   0% VAT,BD1 3AZ,877.47,
Communities & Local Government,PINS,12/05/2016,Travel and Subsistence Account,Inspector Costs,REDFERN TRAVEL LIMITED,,Small,,5106221739,Rail Fees   0% VAT,BD1 3AZ,362.18,
Communities & Local Government,PINS,12/05/2016,Travel and Subsistence Account,Inspector Costs,REDFERN TRAVEL LIMITED,,Small,,5106221739,Rail Ticet Disc Value   0% VAT,BD1 3AZ,69.30,
Communities & Local Government,PINS,12/05/2016,Travel and Subsistence Account,Inspector Costs,REDFERN TRAVEL LIMITED,,Small,,5106221739,Rail Tickets   0% VAT,BD1 3AZ,"27,911.05",
Communities & Local Government,PINS,12/05/2016,Travel and Subsistence Account,Inspector Costs,REDFERN TRAVEL LIMITED,,Small,,5106221739,Hotel Costs - Foreign   0% VAT,BD1 3AZ,282.00,
Communities & Local Government,PINS,12/05/2016,Travel and Subsistence Account,Inspector Costs,REDFERN TRAVEL LIMITED,,Small,,5106221739,Hotel Costs - UK   0% VAT,BD1 3AZ,"54,733.76",
Communities & Local Government,PINS,12/05/2016,Travel and Subsistence Account,Inspector Costs,REDFERN TRAVEL LIMITED,,Small,,5106221739,Hotel Fees   20% VAT,BD1 3AZ,129.85,
Communities & Local Government,PINS,12/05/2016,Travel and Subsistence Account,Inspector Costs,REDFERN TRAVEL LIMITED,,Small,,5106221739,Billback Fee   20% VAT,BD1 3AZ,222.60,
Communities & Local Government,PINS,12/05/2016,Travel and Subsistence Account,Inspector Costs,REDFERN TRAVEL LIMITED,,Small,,5106221739,Government Procurement Service  20% VAT,BD1 3AZ,504.75,
Communities & Local Government,PINS,13/05/2016,Advertising,Operations,TMP (UK) LIMITED,,Large,,5106221774,Statutory Advertising - NID,W1T 7RQ,"2,267.35",
Communities & Local Government,PINS,13/05/2016,Agency Staff,Planning Casework,BROOK STREET (UK) LTD,,Large,,5106221714,AO temporary worker ,AL1 4JB,520.50,
Communities & Local Government,PINS,13/05/2016,Agency Staff,Planning Casework,BROOK STREET (UK) LTD,,Large,,5106221715,AGENCY STAFF,AL1 4JB,453.24,
Communities & Local Government,PINS,13/05/2016,Courier Services,Estates,ROYAL MAIL,,Large,,5106221769,Postal Costs ( 7500 to Account),S49 1HQ,"9,000.00",
Communities & Local Government,PINS,13/05/2016,"Furniture, Fittings and carpets",Human Resources,AMARELLE LTD,,Small,,5106221339,2 x 950 x 14400 desk tops,BS4 5NJ,600.00,
Communities & Local Government,PINS,13/05/2016,"Furniture, Fittings and carpets",Human Resources,AMARELLE LTD,,Small,,5106221339,Height adjustable sit/stand desk,BS4 5NJ,745.80,
Communities & Local Government,PINS,13/05/2016,IT - Service Contracts,ICT Business Partner,DCLG,,Public Bodies,,5106221741,ADSL broadband,HP2 4XN,355.32,
Communities & Local Government,PINS,13/05/2016,IT - Service Contracts,ICT Business Partner,DCLG,,Public Bodies,,5106221741,Call charges,HP2 4XN,"5,394.80",
Communities & Local Government,PINS,13/05/2016,IT - Service Contracts,ICT Business Partner,DCLG,,Public Bodies,,5106221741,Headset single ear x 1,HP2 4XN,96.84,
Communities & Local Government,PINS,13/05/2016,IT - Service Contracts,ICT Business Partner,DCLG,,Public Bodies,,5106221741,TQH telephony services & support,HP2 4XN,"63,771.80",
Communities & Local Government,PINS,13/05/2016,IT - Service Contracts,ICT Business Partner,DCLG,,Public Bodies,,5106221741,Teleworker services & support x 196,HP2 4XN,"18,110.40",
Communities & Local Government,PINS,13/05/2016,Legal Fees,Knowledge & Information,GOVERNMENT LEGAL DEPT,,Public Bodies,,5106221740,Disbursements   0% VAT,WC2B 4TS,"1,013.60",
Communities & Local Government,PINS,13/05/2016,Legal Fees,Knowledge & Information,GOVERNMENT LEGAL DEPT,,Public Bodies,,5106221740,Disbursements   17.5% VAT,WC2B 4TS,0.47,
Communities & Local Government,PINS,13/05/2016,Legal Fees,Knowledge & Information,GOVERNMENT LEGAL DEPT,,Public Bodies,,5106221740,Disbursements   20% VAT,WC2B 4TS,"99,853.33",
Communities & Local Government,PINS,13/05/2016,Legal Fees,Knowledge & Information,GOVERNMENT LEGAL DEPT,,Public Bodies,,5106221740,Legal Fees   20% VAT,WC2B 4TS,"92,023.57",
Communities & Local Government,PINS,13/05/2016,Legal Fees,Legal,GOVERNMENT LEGAL DEPT,,Public Bodies,,5106221744,Legal fees   20% VAT,WC2B 4TS,"193,932.00",
Communities & Local Government,PINS,13/05/2016,Mobile phone costs,ICT Business Partner,VODAFONE UK,,Large,,5106221735,Service charges for a/c 670108871,NG24 2EG,"10,317.64",
Communities & Local Government,PINS,13/05/2016,Mobile phone costs,ICT Business Partner,VODAFONE UK,,Large,,5106221735,VAT exempt items,NG24 2EG,33.76,
Communities & Local Government,PINS,16/05/2016,Agency Staff,Planning Casework,BROOK STREET (UK) LTD,,Large,,5106221786,Casework Support Team ,AL1 4JB,513.41,
Communities & Local Government,PINS,16/05/2016,Agency Staff,Human Resources,CAPITA BUSINESS SERVICES LTD,,Large,,5106221783,HR Business Partner,SL6 1DP,"1,749.50",
Communities & Local Government,PINS,16/05/2016,Agency Staff,Governance,CAPITA BUSINESS SERVICES LTD,,Large,,5106221784,Project Delivery Manager,SL6 1DP,"2,269.10",
Communities & Local Government,PINS,16/05/2016,Agency Staff,ICT Application Support,CAPITA BUSINESS SERVICES LTD,,Large,,5106221790,Test contractor from 10 Aug 2015,SL6 1DP,"1,808.02",
Communities & Local Government,PINS,16/05/2016,Courier Services,Wales Director,ROYAL MAIL,,Large,,5106221778,Royal Mail Invoice 9052111201,S49 1HQ,449.64,
Communities & Local Government,PINS,16/05/2016,Physical Storage,Admin Support,TNT UK LTD,,Large,,5106221704,STORAGE,DE11 1EG,"4,897.15",
Communities & Local Government,PINS,16/05/2016,Vehicle hire,Admin Support,ENTERPRISE RENT-A-CAR,,Large,,5106221804,Repair damage to hire car,TW20 9FB,353.96,
Communities & Local Government,PINS,17/05/2016,Agency Staff,Planning Casework,BROOK STREET (UK) LTD,,Large,,5106221810,AO temporary worker ,AL1 4JB,437.88,
Communities & Local Government,PINS,17/05/2016,Agency Staff,Planning Casework,BROOK STREET (UK) LTD,,Large,,5106221814,Casework Support Team ,AL1 4JB,300.82,
Communities & Local Government,PINS,17/05/2016,Agency Staff,Planning Casework,REED SPECIALIST RECRUITMENT LTD,,Large,,5106221813,Agency Worker,SW20 0BA,544.24,
Communities & Local Government,PINS,17/05/2016,Office machinery consumables,Admin Support,X M A LTD,,Data Not Provided,,5106221817,"2016-17 Carts,Toners & Imaging Drums",NG11 7EP,"4,676.50",
Communities & Local Government,PINS,18/05/2016,Courier Services,Estates,ROYAL MAIL,,Large,,5106221825,Postage Costs   0% VAT,S49 1HQ,2.03,
Communities & Local Government,PINS,18/05/2016,Courier Services,Estates,ROYAL MAIL,,Large,,5106221825,Postage Costs   20% VAT,S49 1HQ,"1,795.34",
Communities & Local Government,PINS,18/05/2016,Office machinery consumables,Admin Support,X M A LTD,,Data Not Provided,,5106221830,"2016-17 Carts,Toners & Imaging Drums",NG11 7EP,"2,125.68",
Communities & Local Government,PINS,18/05/2016,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,,Large,,5106221829,Banner Paper Blanket Order 2016-17,S9 1XU,568.91,
Communities & Local Government,PINS,18/05/2016,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,,Large,,5106221829,Banner Stationery Blanket Order 2016-17,S9 1XU,210.26,
Communities & Local Government,PINS,18/05/2016,Translations,Wales Director,TROSOL CYFYNGEDIG,,Small,,2100040743,Welsh Translation Services - PINS Wales,CF14 5GH,"-2,304.66",
Communities & Local Government,PINS,18/05/2016,Translations,Wales Director,TROSOL CYFYNGEDIG,,Small,,5106221702,Welsh Translation Services - PINS Wales,CF14 5GH,"2,304.66",
Communities & Local Government,PINS,20/05/2016,Translations,Wales Director,TROSOL CYFYNGEDIG,,Small,,5106221858,Wales Translation Services 2016-2017,CF14 5GH,"2,304.66",
Communities & Local Government,PINS,23/05/2016,Agency Staff,ICT Application Support,CAPITA BUSINESS SERVICES LTD,,Large,,5106221871,Test contractor from 10 Aug 2015,SL6 1DP,"1,808.02",
Communities & Local Government,PINS,23/05/2016,Agency Staff,Human Resources,CAPITA BUSINESS SERVICES LTD,,Large,,5106221872,HR Business Partner,SL6 1DP,"1,749.50",
Communities & Local Government,PINS,24/05/2016,Advertising,ROW,TMP (UK) LIMITED,,Large,,5106221925,Statutory Advertising - ROW,W1T 7RQ,536.77,
Communities & Local Government,PINS,24/05/2016,Agency Staff,Planning Casework,REED SPECIALIST RECRUITMENT LTD,,Large,,5106221926,Agency Worker,SW20 0BA,553.02,
Communities & Local Government,PINS,24/05/2016,Courier Services,Estates,PARCELFORCE WORLDWIDE,,Large,,5106221894,Postage Costs   20% VAT,MK7 8LE,"10,160.40",
Communities & Local Government,PINS,25/05/2016,Advertising,Operations,TMP (UK) LIMITED,,Large,,5106221892,Statutory Advertising - NID,W1T 7RQ,"1,410.52",
Communities & Local Government,PINS,25/05/2016,Advertising,Operations,TMP (UK) LIMITED,,Large,,5106221893,Statutory Advertising - NID,W1T 7RQ,935.65,
Communities & Local Government,PINS,25/05/2016,Advertising,Operations,TMP (UK) LIMITED,,Large,,5106221934,Statutory Advertising - NID,W1T 7RQ,550.18,
Communities & Local Government,PINS,25/05/2016,Courier Services,Estates,ROYAL MAIL,,Large,,5106221933,Postage Costs   0% VAT,S49 1HQ,16.01,
Communities & Local Government,PINS,25/05/2016,Courier Services,Estates,ROYAL MAIL,,Large,,5106221933,Postage Costs   20% VAT,S49 1HQ,"3,138.23",
Communities & Local Government,PINS,25/05/2016,Courier Services,Estates,ROYAL MAIL,,Large,,5106221933,Postage Costs (Vat Exempt),S49 1HQ,6.90,
Communities & Local Government,PINS,25/05/2016,"Furniture, Fittings and carpets",Estates,AMARELLE LTD,,Small,,5106221932,4th Kite refurbishment (J-16455 rev A),BS4 5NJ,"52,961.40",
Communities & Local Government,PINS,25/05/2016,"Furniture, Fittings and carpets",Estates,AMARELLE LTD,,Small,,5106221932,LAA furniture (J-16455 rev A),BS4 5NJ,"12,580.20",
Communities & Local Government,PINS,25/05/2016,"Furniture, Fittings and carpets",Accomodation Project,AMARELLE LTD,,Small,,5106221932,LAA comms cabinet,BS4 5NJ,"1,012.80",
Communities & Local Government,PINS,25/05/2016,IT - Software Maintenance,ICT Business Partner,N T SECURITY LTD,,Not assigned,,5106221809,Interflex maintenance 1/4/16 - 31/3/17,ME2 4NZ,"16,914.50",
Communities & Local Government,PINS,25/05/2016,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,,Large,,5106221938,Banner Paper Blanket Order 2016-17,S9 1XU,283.00,
Communities & Local Government,PINS,25/05/2016,Office Supplies,Admin Support,BANNER BUSINESS SUPPLIES LTD,,Large,,5106221938,Banner Stationery Blanket Order 2016-17,S9 1XU,349.22,
Communities & Local Government,PINS,26/05/2016,Agency Staff,Planning Casework,BROOK STREET (UK) LTD,,Large,,5106221928,Casework Support Team ,AL1 4JB,593.63,
Communities & Local Government,PINS,26/05/2016,Agency Staff,Planning Casework,BROOK STREET (UK) LTD,,Large,,5106221948,AGENCY STAFF ,AL1 4JB,328.90,
Communities & Local Government,PINS,26/05/2016,Agency Staff,Planning Casework,BROOK STREET (UK) LTD,,Large,,5106221949,AO temporary worker ,AL1 4JB,570.07,
Communities & Local Government,PINS,26/05/2016,Facilities Management (ISD use only),Estates,DCLG,,Public Bodies,,5106221947,TQH 2014/15 Reconciliation,HP2 4XN,"101,156.48",
Communities & Local Government,PINS,26/05/2016,Mobile phone costs,Admin Support,VODAFONE UK,,Large,,5106221946,Lone Worker Phone Month Costs    7832.40,NG24 2EG,"1,958.10",
Communities & Local Government,PINS,26/05/2016,Vehicle hire,Admin Support,ENTERPRISE RENT-A-CAR,,Large,,5106221941,Repair damage to hire car,TW20 9FB,940.98,
Communities & Local Government,PINS,27/05/2016,Agency Staff,ICT Application Support,CAPITA BUSINESS SERVICES LTD,,Large,,5106221954,Test contractor from 10 Aug 2015,SL6 1DP,"2,260.02",
Communities & Local Government,PINS,27/05/2016,Agency Staff,Human Resources,CAPITA BUSINESS SERVICES LTD,,Large,,5106221955,HR Business Partner,SL6 1DP,"2,186.88",
Communities & Local Government,PINS,27/05/2016,Agency Staff,Governance,CAPITA BUSINESS SERVICES LTD,,Large,,5106221970,Project Delivery Manager,SL6 1DP,"2,836.38",
Communities & Local Government,PINS,27/05/2016,Mobile phone costs,ICT Business Partner,EE LIMITED,,Large,,5106221967,Service charges for LWP & MiFi SIM cards,NE27 0QJ,"1,389.73",
Communities & Local Government,PINS,31/05/2016,Agency Staff,Governance,CAPITA BUSINESS SERVICES LTD,,Large,,5106221995,Project Delivery Manager,SL6 1DP,"2,836.38",
Communities & Local Government,PINS,31/05/2016,Courier Services,Wales Director,ROYAL MAIL,,Large,,5106221972,Royal Mail Invoice Number 1109194382,S49 1HQ,642.23,
