Date,Device Category,Sessions,Avg. Session Duration,Bounce Rate,Users,New Users
20171124,mobile,28562,0.001006944,0.6184,25460,17595
20171124,desktop,22210,0.001365741,0.5427,20284,14406
20171124,tablet,6687,0.001435185,0.5574,6070,4171
20171125,mobile,23286,0.000949074,0.6326,21072,14992
20171125,desktop,10227,0.00125,0.5626,9425,7188
20171125,tablet,5654,0.00125,0.5638,5186,3654
20171126,mobile,23840,0.000949074,0.6364,21657,15694
20171126,desktop,11922,0.001296296,0.5721,10990,8405
20171126,tablet,6324,0.001354167,0.5533,5762,4017
20171127,mobile,36271,0.001064815,0.5974,32254,22893
20171127,desktop,30926,0.001400463,0.5351,28159,20316
20171127,tablet,9579,0.001481481,0.5209,8700,6169
20171128,mobile,35700,0.001053241,0.5972,31799,22195
20171128,desktop,30762,0.001400463,0.5274,28031,19979
20171128,tablet,8519,0.001435185,0.5342,7720,5291
20171129,mobile,33935,0.001041667,0.5973,30202,20671
20171129,desktop,28614,0.001423611,0.523,26023,18429
20171129,tablet,7880,0.001354167,0.5371,7156,4877
20171130,mobile,32417,0.001030093,0.5991,28765,19725
20171130,desktop,26808,0.001412037,0.5196,24279,16962
20171130,tablet,7563,0.001354167,0.529,6860,4637
20171201,mobile,28094,0.001030093,0.6095,25078,17279
20171201,desktop,21573,0.001412037,0.5294,19708,13870
20171201,tablet,6236,0.001215278,0.5491,5666,3737
20171202,mobile,21696,0.000914352,0.6361,19550,13812
20171202,desktop,9442,0.001215278,0.5658,8716,6517
20171202,tablet,5097,0.001273148,0.5686,4646,3206
20171203,mobile,23013,0.000949074,0.6301,20913,15095
20171203,desktop,10874,0.001423611,0.5553,10048,7581
20171203,tablet,5964,0.001354167,0.5475,5399,3718
20171204,mobile,34088,0.001076389,0.5992,30314,21123
20171204,desktop,28671,0.001423611,0.5268,25996,18453
20171204,tablet,7887,0.001446759,0.5329,7121,4881
20171205,mobile,32512,0.001030093,0.605,28956,20176
20171205,desktop,28369,0.001365741,0.5361,25783,18434
20171205,tablet,7318,0.001377315,0.5389,6663,4501
20171206,mobile,32677,0.001030093,0.6143,29094,20391
20171206,desktop,26627,0.001435185,0.5299,24200,17082
20171206,tablet,7520,0.00125,0.5719,6839,4709
20171207,mobile,31294,0.000972222,0.628,28046,19597
20171207,desktop,25480,0.001331019,0.5504,23160,16322
20171207,tablet,6831,0.001261574,0.5684,6244,4196
20171208,mobile,35090,0.00087963,0.6669,31292,20836
20171208,desktop,21406,0.001284722,0.5569,19681,14316
20171208,tablet,6757,0.001203704,0.584,6111,4030
20171209,mobile,21671,0.000891204,0.6326,19643,14143
20171209,desktop,9062,0.001342593,0.5462,8376,6415
20171209,tablet,4703,0.00119213,0.5705,4263,2863
20171210,mobile,27211,0.00087963,0.6405,24740,17697
20171210,desktop,10553,0.001342593,0.5596,9772,7459
20171210,tablet,5922,0.001331019,0.5559,5417,3767
20171211,mobile,37549,0.001018519,0.5941,33547,23242
20171211,desktop,27120,0.001388889,0.5222,24643,17465
20171211,tablet,7731,0.001469907,0.528,6970,4738
20171212,mobile,34875,0.001018519,0.5762,30972,21491
20171212,desktop,26225,0.001342593,0.5305,23905,16928
20171212,tablet,7021,0.001342593,0.5219,6391,4333
20171213,mobile,32073,0.001006944,0.6,28436,19703
20171213,desktop,25025,0.001331019,0.5347,22781,16206
20171213,tablet,6630,0.001400463,0.5321,5973,3978
20171214,mobile,30705,0.000972222,0.6099,27162,19017
20171214,desktop,23456,0.001400463,0.541,21330,15141
20171214,tablet,6132,0.001400463,0.5359,5529,3725
20171215,mobile,26849,0.000983796,0.6139,23777,16438
20171215,desktop,18637,0.001342593,0.5371,16998,11964
20171215,tablet,5433,0.001273148,0.5467,4881,3287
20171216,mobile,21096,0.00087963,0.6271,18924,13448
20171216,desktop,7889,0.001261574,0.5402,7284,5468
20171216,tablet,4534,0.001331019,0.556,4095,2757
20171217,mobile,21873,0.000925926,0.6258,19715,14364
20171217,desktop,9073,0.001273148,0.5495,8403,6476
20171217,tablet,5217,0.001319444,0.5505,4731,3262
20171218,mobile,30181,0.001018519,0.6074,26606,18344
20171218,desktop,23757,0.001388889,0.5132,21464,14971
20171218,tablet,6301,0.001331019,0.5372,5588,3724
20171219,mobile,28362,0.000972222,0.6092,25055,17111
20171219,desktop,21896,0.001365741,0.5162,19839,13712
20171219,tablet,5851,0.001400463,0.5269,5231,3439
20171220,mobile,27834,0.000914352,0.612,24653,17271
20171220,desktop,19924,0.001261574,0.5237,18078,12486
20171220,tablet,5588,0.001296296,0.5342,4990,3339
20171221,desktop,17287,0.001261574,0.524,15656,10608
20171221,mobile,25106,0.0009375,0.6176,22203,15312
20171221,tablet,5026,0.001157407,0.5456,4518,3021
20171222,desktop,11948,0.001296296,0.5261,10893,7611
20171222,mobile,21631,0.000868056,0.6281,19074,13259
20171222,tablet,4491,0.001134259,0.574,4025,2684
20171223,desktop,5765,0.001215278,0.5474,5313,3974
20171223,mobile,16902,0.000798611,0.6626,15147,10888
20171223,tablet,3595,0.001180556,0.6031,3263,2225
20171224,desktop,4422,0.001238426,0.5746,4074,3153
20171224,mobile,13289,0.000706019,0.7034,12013,8918
20171224,tablet,3118,0.000914352,0.643,2845,1962
20171225,desktop,3215,0.001134259,0.6072,2963,2346
20171225,mobile,11986,0.000706019,0.7166,10835,8123
20171225,tablet,2430,0.00099537,0.6798,2224,1557
20171226,desktop,5914,0.001284722,0.5578,5442,4238
20171226,mobile,17079,0.000833333,0.6536,15383,11264
20171226,tablet,3735,0.001157407,0.5826,3407,2425
20171227,desktop,11742,0.00130787,0.5225,10672,8023
20171227,mobile,25229,0.000925926,0.6112,22236,15864
20171227,tablet,5640,0.00130787,0.5179,5031,3466
20171228,desktop,14354,0.00150463,0.497,12896,9281
20171228,mobile,27904,0.00099537,0.597,24524,17317
20171228,tablet,6404,0.001226852,0.5158,5673,3886
20171229,desktop,14076,0.001493056,0.4901,12690,9051
20171229,mobile,29890,0.001018519,0.5912,26457,18622
20171229,tablet,6937,0.001388889,0.489,6185,4242
20171230,desktop,9453,0.001273148,0.5331,8716,6640
20171230,mobile,25888,0.000868056,0.6357,23212,16819
20171230,tablet,6264,0.001203704,0.5525,5669,3931
20171231,desktop,7108,0.001400463,0.5256,6584,4953
20171231,mobile,19766,0.000833333,0.6555,17657,12907
20171231,tablet,4808,0.001238426,0.5445,4364,3052
