Organisation,Service Area,Cost Centre,Expense Type,Payment Date,Transaction No.,Amount,"Capital
Revenue",Supplier Name,Supplier ID
Rushmoor Borough Council,Holding Accounts,9404,IT Service Improvement Work,11/05/2017,0000207322,500.00,Holding Accounts,Austin Fraser Ltd,09925
Rushmoor Borough Council,Community,6591,Contract Costs,11/05/2017,0000207323,10100.00,Capital,J K  Build Ltd,01239
Rushmoor Borough Council,Legal,1204,Books and Publications,11/05/2017,0000207328,370.00,Revenue,Thomson Reuters,00955
Rushmoor Borough Council,Community,2518,Refreshment Purchases,11/05/2017,0000207336,251.26,Revenue,Consort Frozen Foods Ltd,00260
Rushmoor Borough Council,Community,2517,General Repairs and Maintenance,11/05/2017,0000207337,380.00,Revenue,Portcullis Electric Gates Ltd,00741
Rushmoor Borough Council,Community,2518,Refreshment Purchases,11/05/2017,0000207338,560.29,Revenue,Bentons,12526
Rushmoor Borough Council,Information Technology,3305,Trade Refuse,04/05/2017,0000207341,361.00,Revenue,Chambers Waste Management Plc,00217
Rushmoor Borough Council,Environmental Health and Housing,2246,CCTV Transmission,11/05/2017,0000207342,1440.00,Revenue,Virgin Media Payments,09920
Rushmoor Borough Council,Community,2518,Snap Discos,11/05/2017,0000207343,735.50,Revenue,Tango Security Ltd,01412
Rushmoor Borough Council,Environmental Health and Housing,2246,CCTV Transmission,11/05/2017,0000207345,1680.00,Revenue,Virgin Media Payments,09920
Rushmoor Borough Council,Environmental Health and Housing,2402,Bed and Breakfast,11/05/2017,0000207347,455.00,Revenue,Rowvale Hotels Ltd,14541
Rushmoor Borough Council,Environmental Health and Housing,2212,Payment to Contractor,11/05/2017,0000207349,1594.00,Revenue,Sdk Environmental,12590
Rushmoor Borough Council,Legal,1210,Contract Staff,11/05/2017,0000207350,984.60,Revenue,Hays,02287
Rushmoor Borough Council,Legal,1210,Contract Staff,11/05/2017,0000207351,984.60,Revenue,Hays,02287
Rushmoor Borough Council,Legal,1210,Contract Staff,11/05/2017,0000207352,984.60,Revenue,Hays,02287
Rushmoor Borough Council,Democratic Services,1304,Hire of Transport,11/05/2017,0000207354,562.00,Revenue,Exclusive Cars (Guildford) Ltd,00353
Rushmoor Borough Council,Information Technology,3302,Temporary Staff,11/05/2017,0000207356,1500.00,Revenue,Profectus Group Ltd,14309
Rushmoor Borough Council,Control Accounts,9362,Local Enterprise Partnership,11/05/2017,0000207357,682.60,Control Accounts,Cyan Solutions Ltd,13258
Rushmoor Borough Council,Environmental Health and Housing,2402,Bed and Breakfast,11/05/2017,0000207358,455.00,Revenue,Rowvale Hotels Ltd,14541
Rushmoor Borough Council,Legal,1208,Routine Grounds Maintenance,18/05/2017,0000207359,2046.22,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2537,Grounds Maintenance Base,18/05/2017,0000207359,655.49,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2540,Amenity Base,18/05/2017,0000207359,15999.26,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2550,Grounds Maintenance Base,18/05/2017,0000207359,14710.92,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2551,Grounds Maintenance Base,18/05/2017,0000207359,9181.64,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2552,Prospect Estate Base,18/05/2017,0000207359,2450.53,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2552,Grounds Maintenance Base,18/05/2017,0000207359,29170.69,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2552,Amenity Base,18/05/2017,0000207359,7906.84,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Information Technology,3305,Routine Grounds Maintenance,18/05/2017,0000207359,1212.33,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2517,Tree Maintenance,11/05/2017,0000207361,6043.00,Revenue,Charterhouse Tree Care,11919
Rushmoor Borough Council,Community,2537,Farnborough Leisure Centre Parking Rebates,11/05/2017,0000207362,407.40,Revenue,Places For People Leisure,04797
Rushmoor Borough Council,Community,2537,Farnborough Leisure Centre Parking Rebates,11/05/2017,0000207363,7133.00,Revenue,Places For People Leisure,04797
Rushmoor Borough Council,Community,2517,General Repairs and Maintenance,11/05/2017,0000207364,380.00,Revenue,Poulsom Plant Hire,07240
Rushmoor Borough Council,Information Technology,3305,Cleaning Materials,11/05/2017,0000207365,588.24,Revenue,Source Office Supplies Ltd,14253
Rushmoor Borough Council,Information Technology,3306,Photocopiers,11/05/2017,0000207366,389.09,Revenue,Datasharp Independent Solutions,00281
Rushmoor Borough Council,Community,2517,Playground Apparatus,11/05/2017,0000207367,1053.00,Revenue,Hags-Smp Ltd,04499
Rushmoor Borough Council,Environmental Health and Housing,2204,Kennel/Feed Stray Dogs,11/05/2017,0000207369,920.00,Revenue,Bowenhurst Kennels,00167
Rushmoor Borough Council,Environmental Health and Housing,2246,CCTV Transmission,11/05/2017,0000207370,8448.00,Revenue,Virgin Media Payments,09920
Rushmoor Borough Council,Community,6573,Contract Costs,18/05/2017,0000207375,1200.00,Capital,Bernard Sims Associates,10558
Rushmoor Borough Council,Information Technology,3304,Telephone System Software/Call Out,18/05/2017,0000207376,21509.00,Revenue,Maintel Europe Ltd,05713
Rushmoor Borough Council,Legal,1211,Promotions,11/05/2017,0000207378,1525.00,Revenue,Green Leaves,14553
Rushmoor Borough Council,Community,6518,Contract Costs,11/05/2017,0000207379,9969.30,Capital,Craemer Uk Ltd,11508
Rushmoor Borough Council,Planning,2609,Local Plan Preparation,11/05/2017,0000207380,9952.00,Revenue,Stilwell Partnership,12427
Rushmoor Borough Council,Information Technology,3302,Temporary Staff,11/05/2017,0000207381,750.00,Revenue,Auron Media Limited,12877
Rushmoor Borough Council,Information Technology,7500,Web Developments,11/05/2017,0000207381,375.00,Capital,Auron Media Limited,12877
Rushmoor Borough Council,Holding Accounts,9404,IT Service Improvement Work,11/05/2017,0000207381,1125.00,Holding Accounts,Auron Media Limited,12877
Rushmoor Borough Council,Planning,2609,Local Plan Preparation,18/05/2017,0000207382,9023.27,Revenue,Hart District Council,14520
Rushmoor Borough Council,Environmental Health and Housing,2246,Equipment Maintenance,18/05/2017,0000207393,1960.95,Revenue,Baydale Control Systems,12558
Rushmoor Borough Council,Environmental Health and Housing,2247,Equipment Maintenance,18/05/2017,0000207393,1460.96,Revenue,Baydale Control Systems,12558
Rushmoor Borough Council,Environmental Health and Housing,2248,Direct Grants,11/05/2017,0000207395,7000.00,Revenue,Rushmoor Healthy Living,06349
Rushmoor Borough Council,Legal,1210,Contract Staff,18/05/2017,0000207396,810.00,Revenue,Hays,02287
Rushmoor Borough Council,Community,2517,General Repairs and Maintenance,11/05/2017,0000207403,528.50,Revenue,Pump Services Camberley Ltd,02866
Rushmoor Borough Council,Community,2517,General Repairs and Maintenance,11/05/2017,0000207404,1320.00,Revenue,Pump Services Camberley Ltd,02866
Rushmoor Borough Council,Financial Services,3404,External Audit Fee,11/05/2017,0000207408,12460.00,Revenue,Ernst And Young Llp,01838
Rushmoor Borough Council,Customer Services,3811,External Audit Fee,11/05/2017,0000207408,1878.00,Revenue,Ernst And Young Llp,01838
Rushmoor Borough Council,Community,2564,Secondment,18/05/2017,0000207414,1080.33,Revenue,Hampshire Constabulary,13997
Rushmoor Borough Council,Information Technology,3304,Temporary Staff,18/05/2017,0000207417,500.00,Revenue,Austin Fraser Ltd,09925
Rushmoor Borough Council,Holding Accounts,9404,IT Service Improvement Work,18/05/2017,0000207417,500.00,Holding Accounts,Austin Fraser Ltd,09925
Rushmoor Borough Council,Community,2518,Payment to Artistes,11/05/2017,0000207420,1250.77,Revenue,Morningside Management Limited,14572
Rushmoor Borough Council,Community,2550,General Repairs and Maintenance,11/05/2017,0000207421,325.00,Revenue,Sg Structures Ltd,09429
Rushmoor Borough Council,Community,2517,General Repairs and Maintenance,11/05/2017,0000207422,325.00,Revenue,Sg Structures Ltd,09429
Rushmoor Borough Council,Community,2526,Electricity,18/05/2017,0000207423,487.44,Revenue,Total Gas & Power Limited,13301
Rushmoor Borough Council,Director of Resources,3102,Conferences and Seminars,11/05/2017,0000207428,350.00,Revenue,Gate Associates Limited,13853
Rushmoor Borough Council,Information Technology,3305,Trade Refuse,11/05/2017,0000207430,639.38,Revenue,Veolia Environmental Services,09062
Rushmoor Borough Council,Community,2549,Materials,11/05/2017,0000207434,495.18,Revenue,Chambers Waste Management Plc,00217
Rushmoor Borough Council,Information Technology,3305,Trade Refuse,11/05/2017,0000207435,361.00,Revenue,Chambers Waste Management Plc,00217
Rushmoor Borough Council,Information Technology,3304,Disaster Recovery,18/05/2017,0000207436,1790.00,Revenue,Daisy It Business Continuity & Resilianc,09349
Rushmoor Borough Council,Information Technology,3305,Refreshments at Meetings,11/05/2017,0000207437,325.00,Revenue,Options Management,14093
Rushmoor Borough Council,Environmental Health and Housing,6242,Contract Costs,11/05/2017,0000207440,4426.00,Capital,J K  Build Ltd,01239
Rushmoor Borough Council,Community,2559,General Repairs and Maintenance,11/05/2017,0000207442,3537.00,Revenue,J K  Build Ltd,01239
Rushmoor Borough Council,Planning,2612,Microfilimg,18/05/2017,0000207444,295.00,Revenue,Response Technical Services Limited,13359
Rushmoor Borough Council,Environmental Health and Housing,6242,Contract Costs,11/05/2017,0000207446,2650.00,Capital,J K  Build Ltd,01239
Rushmoor Borough Council,Legal,1204,Admin Equipment,11/05/2017,0000207452,291.19,Revenue,Arco,06118
Rushmoor Borough Council,Community,2518,Refreshment Purchases,11/05/2017,0000207454,310.38,Revenue,Consort Frozen Foods Ltd,00260
Rushmoor Borough Council,Community,2517,General Repairs and Maintenance,18/05/2017,0000207457,437.44,Revenue,Complete Weed Control,09056
Rushmoor Borough Council,Community,2517,Cove Brook,18/05/2017,0000207458,654.90,Revenue,Complete Weed Control,09056
Rushmoor Borough Council,Community,2517,Playground Apparatus,18/05/2017,0000207460,1360.00,Revenue,Complete Weed Control,09056
Rushmoor Borough Council,Legal,1210,Contract Staff,18/05/2017,0000207462,935.37,Revenue,Hays,02287
Rushmoor Borough Council,Community,6593,Contract Costs,18/05/2017,0000207464,450.00,Capital,Sapling Arboriculture Limited,09448
Rushmoor Borough Council,Community,6593,Contract Costs,18/05/2017,0000207465,355.00,Capital,Farnborough Tool Hire,05971
Rushmoor Borough Council,Community,6593,Contract Costs,18/05/2017,0000207467,480.06,Capital,Farnborough Tool Hire,05971
Rushmoor Borough Council,Community,2515,Cleaning,18/05/2017,0000207471,324.65,Revenue,Ybc Cleaning Services Ltd,08389
Rushmoor Borough Council,Community,2547,Alcohol Awareness Programme,18/05/2017,0000207472,1000.00,Revenue,Graffiti Removal (South) Limited,07403
Rushmoor Borough Council,Community,2563,Promotions,18/05/2017,0000207472,1000.00,Revenue,Graffiti Removal (South) Limited,07403
Rushmoor Borough Council,Community,2518,Heating Contribution - HCC,18/05/2017,0000207474,20078.92,Revenue,Hampshire Constabulary,13997
Rushmoor Borough Council,Community,2517,General Repairs and Maintenance,18/05/2017,0000207475,270.00,Revenue,Brand Pest Control,03284
Rushmoor Borough Council,Community,2517,Playground Apparatus,18/05/2017,0000207478,475.00,Revenue,Active Risk Management Services Ltd,11386
Rushmoor Borough Council,Community,2518,Payment to Artistes,11/05/2017,0000207482,5500.00,Revenue,Derek Block Concert Promotions Ltd,02720
Rushmoor Borough Council,Information Technology,3304,Network Software,18/05/2017,0000207483,740.00,Revenue,Phoenix Software,00724
Rushmoor Borough Council,Environmental Health and Housing,6242,Contract Costs,18/05/2017,0000207486,4590.00,Capital,J K  Build Ltd,01239
Rushmoor Borough Council,Community,2538,Metric Machine Maintenance,18/05/2017,0000207487,2233.00,Revenue,Signway Supplies,00884
Rushmoor Borough Council,Holding Accounts,9404,Love Rushmoor App,18/05/2017,0000207488,1875.00,Holding Accounts,Blackburn It Services T/A Bbits,14365
Rushmoor Borough Council,Information Technology,3305,General Repairs and Maintenance,18/05/2017,0000207490,667.00,Revenue,John Grant Interiors Ltd,11743
Rushmoor Borough Council,Community,2534,Grant to Dial a Ride,18/05/2017,0000207491,17046.80,Revenue,Hampshire County Council,01206
Rushmoor Borough Council,Community,2518,Equipment Maintenance,18/05/2017,0000207492,1557.60,Revenue,Stage Electrics,07262
Rushmoor Borough Council,Community,2554,Glass Skip,18/05/2017,0000207494,641.43,Revenue,Fcc Recycling (Uk) Limited,11978
Rushmoor Borough Council,Community,2517,General Repairs and Maintenance,18/05/2017,0000207495,480.00,Revenue,Drain & Sewer Services,00310
Rushmoor Borough Council,Legal,1209,General Repairs and Maintenance,18/05/2017,0000207497,715.00,Revenue,John Grant Interiors Ltd,11743
Rushmoor Borough Council,Community,2518,Heating Contribution - HCC,18/05/2017,0000207503,16181.72,Revenue,Hampshire Constabulary,13997
Rushmoor Borough Council,Community,2518,Stationery,18/05/2017,0000207506,1150.00,Revenue,Farnborough Communications,02067
Rushmoor Borough Council,Community,2518,General Repairs and Maintenance,11/05/2017,0000207507,376.92,Revenue,Grundon Waste Management Ltd,09633
Rushmoor Borough Council,Environmental Health and Housing,2203,Subscriptions,18/05/2017,0000207508,480.00,Revenue,Cieh,00012
Rushmoor Borough Council,Strategy and Communiations,1413,Learning Partnership,18/05/2017,0000207510,1000.00,Revenue,The Sixth Form College Farnborough,13647
Rushmoor Borough Council,Holding Accounts,9436,Insurance,18/05/2017,0000207511,6664.16,Holding Accounts,Gallagher Bassett,13614
Rushmoor Borough Council,Information Technology,3305,General Repairs and Maintenance,25/05/2017,0000207512,795.00,Revenue,Andy Linke,14293
Rushmoor Borough Council,Information Technology,3305,General Repairs and Maintenance,18/05/2017,0000207515,644.95,Revenue,Hardcastle Electrical Limited,08301
Rushmoor Borough Council,Information Technology,3305,Electricity,18/05/2017,0000207516,4981.42,Revenue,Kent County Council (Kcs),14130
Rushmoor Borough Council,Information Technology,3304,Telephone Charges,18/05/2017,0000207517,578.09,Revenue,Vodafone Ltd,08758
Rushmoor Borough Council,Community,2551,Building and Monument Maintenance,18/05/2017,0000207518,834.84,Revenue,Bredy Plant & Machinery Sales Ltd,14421
Rushmoor Borough Council,Information Technology,3302,Temporary Staff,18/05/2017,0000207523,1200.00,Revenue,Profectus Group Ltd,14309
Rushmoor Borough Council,Community,2518,Refreshment Purchases,18/05/2017,0000207524,395.31,Revenue,Tchibo Coffee International Ltd,05547
Rushmoor Borough Council,Community,2518,Refreshment Purchases,18/05/2017,0000207526,572.26,Revenue,Bentons,12526
Rushmoor Borough Council,Democratic Services,1327,Postages,18/05/2017,0000207527,1584.94,Revenue,Royal Mail,00821
Rushmoor Borough Council,Legal,1202,Counsels Fees,18/05/2017,0000207529,1080.00,Revenue,Mr Robert Brown,14584
Rushmoor Borough Council,Community,6524,Contract Costs,18/05/2017,0000207530,7800.00,Capital,P A Gibbs Ltd,01246
Rushmoor Borough Council,Community,2518,General Repairs and Maintenance,18/05/2017,0000207531,1790.00,Revenue,Gilgen Door Systems,00445
Rushmoor Borough Council,Community,2555,General Repairs and Maintenance,18/05/2017,0000207532,256.91,Revenue,Sse Enterprise Contracting,02830
Rushmoor Borough Council,Community,2555,General Repairs and Maintenance,18/05/2017,0000207533,1574.94,Revenue,Sse Enterprise Contracting,02830
Rushmoor Borough Council,Information Technology,3304,Network Hardware,18/05/2017,0000207534,2707.20,Revenue,Hewlett Packard Limited,14457
Rushmoor Borough Council,Legal,1210,Contract Staff,18/05/2017,0000207536,576.00,Revenue,Hays,02287
Rushmoor Borough Council,Community,2537,Lighting Repairs,25/05/2017,0000207537,345.00,Revenue,City Electrical Factors (Aldershot),00236
Rushmoor Borough Council,Community,2551,Caskets and Urns,25/05/2017,0000207542,441.60,Revenue,Ashdown Supplies,00118
Rushmoor Borough Council,Information Technology,7500,Flexible Working Review,18/05/2017,0000207545,668.19,Capital,Misco Computer Products,00628
Rushmoor Borough Council,Information Technology,7500,Uniform/Confirm Upgrade,18/05/2017,0000207546,6000.00,Capital,Idox Software Ltd,00661
Rushmoor Borough Council,Customer Services,3811,Software Maintenance,18/05/2017,0000207560,3132.85,Revenue,Northgate Public Services (Uk) Ltd,09422
Rushmoor Borough Council,Environmental Health and Housing,2402,Bed and Breakfast,18/05/2017,0000207561,455.00,Revenue,Rowvale Hotels Ltd,14541
Rushmoor Borough Council,Community,2518,Payment to Artistes,18/05/2017,0000207562,3682.74,Revenue,Tangent Management Ltd,14585
Rushmoor Borough Council,Community,2535,Citizens Advice Bureau Grant,18/05/2017,0000207563,217370.00,Revenue,Rushmoor Citizens Advice Bureau,01780
Rushmoor Borough Council,Community,2551,Gas,25/05/2017,0000207566,2350.35,Revenue,Kent County Council (Kcs),14130
Rushmoor Borough Council,Holding Accounts,9404,IT Service Improvement Fund Work,18/05/2017,0000207574,750.00,Holding Accounts,Austin Fraser Ltd,09925
Rushmoor Borough Council,Community,2518,Payment to Artistes,18/05/2017,0000207576,3726.01,Revenue,Alan Field Associates,08698
Rushmoor Borough Council,Environmental Health and Housing,2246,CCTV Transmission,18/05/2017,0000207579,1296.00,Revenue,Virgin Media Business,14528
Rushmoor Borough Council,Community,2555,Water,18/05/2017,0000207582,408.82,Revenue,South East Water Plc,01850
Rushmoor Borough Council,Information Technology,3305,Gas,25/05/2017,0000207587,1472.39,Revenue,Kent County Council (Kcs),14130
Rushmoor Borough Council,Legal,1200,Hampshire County Council Searches,18/05/2017,0000207588,1271.00,Revenue,Hampshire County Council,01206
Rushmoor Borough Council,Community,2511,Water,18/05/2017,0000207592,333.17,Revenue,South East Water Plc,01850
Rushmoor Borough Council,Information Technology,3305,Refreshments at Meetings,18/05/2017,0000207594,302.95,Revenue,Coffee Select Ltd,12667
Rushmoor Borough Council,Community,6585,Contract Costs,25/05/2017,0000207600,32439.50,Capital,Dcm Surfaces,12041
Rushmoor Borough Council,Legal,1210,Contract Staff,25/05/2017,0000207601,984.60,Revenue,Hays,02287
Rushmoor Borough Council,Environmental Health and Housing,2402,Bed and Breakfast,18/05/2017,0000207602,455.00,Revenue,Rowvale Hotels Ltd,14541
Rushmoor Borough Council,Community,2518,Publicity and Advertising,18/05/2017,0000207603,370.00,Revenue,Sign-Fx,04242
Rushmoor Borough Council,Community,2551,General Repairs and Maintenance,25/05/2017,0000207621,740.60,Revenue,Accurate Mechanical Services Ltd,12623
Rushmoor Borough Council,Customer Services,3811,Software Maintenance,25/05/2017,0000207623,5641.12,Revenue,Northgate Public Services (Uk) Ltd,09422
Rushmoor Borough Council,Environmental Health and Housing,2213,Works in Default,25/05/2017,0000207624,550.00,Revenue,Tag Environmental Solutions Ltd,13259
Rushmoor Borough Council,Information Technology,7500,Web Developments,25/05/2017,0000207625,319.10,Capital,Phoenix Software,00724
Rushmoor Borough Council,Democratic Services,1327,Postages,19/05/2017,0000207635,8550.00,Revenue,Neopost Limited,11588
Rushmoor Borough Council,Community,2549,Fuel Costs,25/05/2017,0000207637,329.50,Revenue,Allstar Business Solutions Ltd,00721
Rushmoor Borough Council,Information Technology,3305,Electricity,25/05/2017,0000207660,1831.53,Revenue,South East Water Plc,01850
Rushmoor Borough Council,Information Technology,3305,General Repairs and Maintenance,25/05/2017,0000207665,975.00,Revenue,Andy Linke,14293
