Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,AP Amount,VAT Registration Number,Purchase Invoice Number
Department of Health,Wiltshire PCT,30/04/2012,Commissioning Gen/Acute,WINCH + EASTLEIGH (RN1),HAMPSHIRE HOSPITALS NHSFT,549186,166356,,40005298
Department of Health,Wiltshire PCT,30/04/2012,Commissioning Gen/Acute,RNHRD (RBB),ROYAL NATIONAL HOSPITAL FOR RHEUMATIC DISEASES NHS FOUNDATION TRUST,549193,412644.26,654939101,8741696
Department of Health,Wiltshire PCT,30/04/2012,Commissioning Gen/Acute,RNHRD (RBB),ROYAL NATIONAL HOSPITAL FOR RHEUMATIC DISEASES NHS FOUNDATION TRUST,549197,171814.8,654939101,8741697
Department of Health,Wiltshire PCT,30/04/2012,Commissioning CHC,Other - Non Community,DOROTHY HOUSE FOUNDATION LTD,549336,459872,,SIN003680
Department of Health,Wiltshire PCT,30/04/2012,Commissioning Gen/Acute,GWH FT (RN3),GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,549361,3299193,654945011,16930376
Department of Health,Wiltshire PCT,30/04/2012,Commissioning Gen/Acute,RUH (RD1),ROYAL UNITED HOSPITAL BATH NHS TRUST,549366,6178273,654939394,10306567
Department of Health,Wiltshire PCT,30/04/2012,Commissioning Gen/Acute,BANES PCT (5FL),SIRONA CARE & HEALTH CIC,549448,168140,,11320
Department of Health,Wiltshire PCT,30/04/2012,Ambulance Services,Great Western Amb (RX5),GREAT WESTERN AMBULANCE SERVICE NHS TRUST,549465,1246250,,A010897
Department of Health,Wiltshire PCT,30/04/2012,Legal / Prof Fees,Chief Exec,GREAT WESTERN HOSPITALS NHS FOUNDATION TRUST,551920,55696.3,654945011,16929758
Department of Health,Wiltshire PCT,30/04/2012,APMS OOH Dev Fund,WMS Out of Hours Service,WILTSHIRE MEDICAL SERVICES,553044,1740548,,100362-05-APR-2012
Department of Health,Wiltshire PCT,30/04/2012,Commissioning Gen/Acute,Salisbury FT (RNZ),SALISBURY NHS FOUNDATION TRUST,555304,-1500000,654939884,Z026953
Department of Health,Wiltshire PCT,30/04/2012,PCO Administered PMS,Services for Primary Care,WWYKD PBC CONSORTIUM,568026,70655.45,,CCGMONIES
Department of Health,Wiltshire PCT,30/04/2012,Local Enhanced Servs GMS,Services for Primary Care,EAST KENNET PBC CONSORTIUM,569665,73158.8,,100355-02-APR-2012
Department of Health,Wiltshire PCT,30/04/2012,Local Enhanced Servs GMS,Services for Primary Care,NORTH WILTSHIRE PBC CONSORTIUM,569666,286512.6,,100356-02-APR-2012
Department of Health,Wiltshire PCT,30/04/2012,Local Enhanced Servs GMS,Services for Primary Care,WWYKD PBC CONSORTIUM,569668,140837.35,,100357-02-APR-2012
Department of Health,Wiltshire PCT,30/04/2012,Commissioning M Health,Placements - Adult Mental Health,CYGNET HEALTHCARE LTD,571100,35966,,END0561
Department of Health,Wiltshire PCT,30/04/2012,Commissioning CHC,PH - Health Improvement,WILTSHIRE WILDLIFE TRUST,571342,100000,,SIN001192
Department of Health,Wiltshire PCT,30/04/2012,Computer Software/License,IM+T SYSTEMS,ASCRIBE LTD,577826,18504.88,,SINV000001786
Department of Health,Wiltshire PCT,30/04/2012,Commissioning Gen/Acute,Circle Health,CIRCLE HOSPITAL (BATH) LTD,586810,150000,,100373-23-APR-2012
Department of Health,Wiltshire PCT,30/04/2012,Commissioning Learn Diff,Oxfordshire LD (RHX),OXFORDSHIRE LEARNING DISABILITY NHS TRUST,598095,25336,,10362
Department of Health,Wiltshire PCT,30/04/2012,Commissioning CHC,Placements - Child,NATIONAL CENTRE FOR YOUNG PEOPLE WITH EPILEPSY,621502,39726,850403556-2,SPL2642
Department of Health,Wiltshire PCT,30/04/2012,Commissioning CHC,Placements - Child,WILTSHIRE COUNTY COUNCIL,621744,58956.28,,90131359
Department of Health,Wiltshire PCT,30/04/2012,External Consultancy Fees,Non Recurring IT Projects,GARTNER UK LTD,628292,27707,,20070081
Department of Health,Wiltshire PCT,30/04/2012,NHS Local Debtors Adj,BALANCE SHEET,SSC FHS PAYMENTS,FHSA BACS Payment - Dispensing,894840.99,NULL,
Department of Health,Wiltshire PCT,30/04/2012,NHS Local Debtors Adj,BALANCE SHEET,SSC FHS PAYMENTS,GBS BACSG3 DBT 1,3646162.56,NULL,
