Authority,Department,Spending Area,Expense Type,Posting Date,Reference,       Amount,Cap / Rev,Supplier Name
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,DAAT-NPS Strategy,Hire of Conference Facilities,04.09.2013,2209614902,657.50,R,WFC FACILITIES MANAGEMENT LTD
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,DAAT-Pharmaccy Services Needle Exchange,Payments to Health Authorities,10.09.2013,2209630406,17405.00,R,HAMPSHIRE PRIMARY CARE TRUST
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,DAAT-Pharmacy Svs Supervised Consumptn,Payments to Health Authorities,10.09.2013,2209630363,28364.00,R,HAMPSHIRE PRIMARY CARE TRUST
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,DAT-NTA Pooled Budget,Purch Care-Indep Sector,11.09.2013,9400036224,4688.64,R,INTUITIVE RECOVERY
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,DCMHN-Andover,Electricity,03.09.2013,1100207288,788.46,R,NPOWER
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,Directorate,Subscriptions,25.09.2013,2209670973,1200.00,R,OXFORDSHIRE COUNTY COUNCIL
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,HICES - Early Years,Disability Aids & Equipment,19.09.2013,2209658137,2343.89,R,JCM SEATING SOLUTIONS
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,HICES - Early Years,Disability Aids & Equipment,19.09.2013,2209656346,1608.00,R,JENX LIMITED
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,HICES - Education,Disability Aids & Equipment,30.09.2013,2209682622,687.63,R,ACTIVATE
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,HICES - Education,Disability Aids & Equipment,19.09.2013,2209658231,1205.00,R,CLH REHAB & CARE HOME SUPPLIES
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,HICES - Education,Disability Aids & Equipment,23.09.2013,2209663805,1026.00,R,DCS JONCARE LTD
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,HICES - Education,Disability Aids & Equipment,19.09.2013,2209658015,1486.50,R,FENLAND FURNITURE
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,HICES - Non-Contractural Referrals,Disability Aids & Equipment,19.09.2013,2209657125,729.25,R,QUEST 88 LTD
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,HICES - Non-Contractural Referrals,Disability Aids & Equipment,23.09.2013,2209663925,560.50,R,QUEST 88 LTD
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,HICES - Non-Contractural Referrals,Disability Aids & Equipment,19.09.2013,2209656409,1785.00,R,R82 UK LTD
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,HICES - Non-Contractural Referrals,Disability Aids & Equipment,19.09.2013,2209657856,615.00,R,THE HELPING HAND COMPANY (LEDBURY)
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,HICES - Non-Contractural Referrals,Disability Aids & Equipment,23.09.2013,2209663463,750.00,R,THE HELPING HAND COMPANY (LEDBURY)
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,HICES - Non-Contractural Referrals,Disability Aids & Equipment,23.09.2013,2209663531,779.00,R,THE HELPING HAND COMPANY (LEDBURY)
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,HICES - Non-Contractural Referrals,Disability Aids & Equipment,25.09.2013,2209670958,5511.60,R,THERAPOSTURE LTD
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,HICES - Non-Contractural Referrals,Disability Aids & Equipment,25.09.2013,2209670968,1671.00,R,THERAPOSTURE LTD
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,HICES - Non-Contractural Referrals,Disability Aids & Equipment,24.09.2013,2209667194,3578.26,R,WEALDEN REHAB
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,JF-Alton EMI DC RedX-EHCommN,Purch Care-Indep Sector-Block Purchase SP Only,11.09.2013,9400036236,8541.69,R,AGE CONCERN HAMPSHIRE
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,JF-BordonEMI DC RedX-EHCommN,Purch Care-Indep Sector-Block Purchase SP Only,11.09.2013,9400036237,4659.51,R,AGE CONCERN HAMPSHIRE
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,JF-Gore Grange DC-NFCommWest,Purch Care-Indep Sector-Block Purchase SP Only,11.09.2013,9400036245,9152.24,R,AGE CONCERN HAMPSHIRE
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,JF-KingfisherTrustDC-DeaneSupp,Purch Care-Indep Sector-Block Purchase SP Only,11.09.2013,9400036227,6533.97,R,THE KINGFISHER TRUST
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,JF-OP MI-DC Places-Test Valley NE Comm,Purch Care-Indep Sector-Block Purchase SP Only,11.09.2013,9400036350,961.97,R,ANDOVER NEIGHBOURCARE
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,JF-OP MI-DC Places-Test Valley NE Comm,Purch Care-Vol Sector,11.09.2013,9400036226,1026.41,R,ANDOVER MIND
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day  Services Cap Res Team HQ,External Works,18.09.2013,3400130827,592.25,R,OCS HORTICULTURE
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day Care-Rush/Hart,Payments to Other LocalAuthorities,04.09.2013,2209616047,2821.00,R,CRANSTOCK DAY SERVICES
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day Care-Rush/Hart,Payments to Other LocalAuthorities,04.09.2013,2209616061,2941.90,R,CRANSTOCK DAY SERVICES
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day Care-Rush/Hart,Purch Care-Indep Sector,02.09.2013,2209603981,826.06,R,GRANGE CENTRE
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day Care-Rush/Hart,Purch Care-Indep Sector,02.09.2013,2209603990,818.89,R,GRANGE CENTRE
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day Care-Rush/Hart,Purch Care-Indep Sector,30.09.2013,2209683623,799.41,R,GRANGE CENTRE
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day Care-Rush/Hart,Purch Care-Indep Sector,30.09.2013,2209683634,792.47,R,GRANGE CENTRE
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day Care-Rush/Hart,Purch Care-Indep Sector,03.09.2013,2209610807,669.27,R,HIGH HURLANDS NURSING HOME
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day Care-Rush/Hart,Purch Care-Indep Sector,03.09.2013,2209610812,665.91,R,HIGH HURLANDS NURSING HOME
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day Care-Rush/Hart,Purch Care-Indep Sector,11.09.2013,2209635592,1153.62,R,OAK FARM LEISURE & ACTIVITIES CLUB
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day Care-Rush/Hart,Purch Care-Indep Sector,11.09.2013,2209635603,1119.69,R,OAK FARM LEISURE & ACTIVITIES CLUB
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day Care-Rush/Hart,Purch Care-Indep Sector,11.09.2013,2209635619,1119.69,R,OAK FARM LEISURE & ACTIVITIES CLUB
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day Care-Rush/Hart,Purch Care-Indep Sector,11.09.2013,2209635628,1156.62,R,OAK FARM LEISURE & ACTIVITIES CLUB
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day Care-Rush/Hart,Purch Care-Indep Sector,11.09.2013,2209635688,1153.62,R,OAK FARM LEISURE & ACTIVITIES CLUB
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day Care-Rush/Hart,Purch Care-Indep Sector,11.09.2013,2209635750,1153.62,R,OAK FARM LEISURE & ACTIVITIES CLUB
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day Care-Rush/Hart,Purch Care-Indep Sector,11.09.2013,2209635781,1119.69,R,OAK FARM LEISURE & ACTIVITIES CLUB
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day Care-Rush/Hart,Purch Care-Indep Sector,11.09.2013,2209635790,1153.62,R,OAK FARM LEISURE & ACTIVITIES CLUB
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day Care-Rush/Hart,Purch Care-Indep Sector,12.09.2013,2209636800,1085.76,R,OAK FARM LEISURE & ACTIVITIES CLUB
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day Care-Rush/Hart,Purch Care-Indep Sector,12.09.2013,2209636804,1153.62,R,OAK FARM LEISURE & ACTIVITIES CLUB
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day Care-Rush/Hart,Purch Care-Indep Sector,12.09.2013,2209636816,1119.69,R,OAK FARM LEISURE & ACTIVITIES CLUB
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day Care-Rush/Hart,Purch Care-Indep Sector,12.09.2013,2209636824,1119.69,R,OAK FARM LEISURE & ACTIVITIES CLUB
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day Care-Rush/Hart,Purch Care-Indep Sector,12.09.2013,2209636833,1085.76,R,OAK FARM LEISURE & ACTIVITIES CLUB
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day Care-Rush/Hart,Purch Care-Indep Sector,12.09.2013,2209636840,1153.62,R,OAK FARM LEISURE & ACTIVITIES CLUB
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day Care-Rush/Hart,Purch Care-Indep Sector,12.09.2013,2209636859,508.95,R,OAK FARM LEISURE & ACTIVITIES CLUB
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day Care-Rush/Hart,Purch Care-Indep Sector,12.09.2013,2209636864,542.88,R,OAK FARM LEISURE & ACTIVITIES CLUB
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day Care-Rush/Hart,Purch Care-Indep Sector,12.09.2013,2209636868,576.81,R,OAK FARM LEISURE & ACTIVITIES CLUB
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day Care-Rush/Hart,Purch Care-Vol Sector,18.09.2013,2209652988,573.76,R,ENHAM
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day Care-Rush/Hart,Purch Care-Vol Sector,05.09.2013,2209618412,4836.72,R,OLD MILL DAY CENTRE
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day Care-Rush/Hart,Purch Care-Vol Sector,05.09.2013,2209620273,4836.72,R,OLD MILL DAY CENTRE
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day Service-New Forest,Contract Cleaning,03.09.2013,2209611266,1262.50,R,SUPERCLEAN SERVICES WOTHORPE LIMITE
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day Services-Aldershot,Electricity,02.09.2013,1100207161,555.60,R,NPOWER
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day Services-Aldershot,Hire Of Transport & Plant,10.09.2013,2209630232,1868.00,R,A1 RUSHMOOR RADIO TAXIS LTD
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day Services-Andover,Electricity,03.09.2013,1100207292,3202.17,R,NPOWER
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day Services-Andover,Hire Of Transport & Plant,10.09.2013,2209630134,2100.00,R,PIKE COACHES LIMITED
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day Services-Andover,Hire Of Transport & Plant,10.09.2013,2209630156,1449.00,R,PIKE COACHES LIMITED
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day Services-Andover-Non Del,Roof leak repairs,03.09.2013,3400130461,1539.64,R,SSE CONTRACTING LTD
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day Services-Basingstoke,Hire Of Transport & Plant,10.09.2013,2209630160,2250.00,R,BASINGSTOKE COMMUNITY TRANSPORT
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day Services-Basingstoke,Maint Of Grounds-Client,19.09.2013,3400130856,606.90,R,ISS FACILITY SERVICES LTD
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day Services-Basingstoke-Non Del,Payments to main contractor,17.09.2013,3400130814,46705.00,C,C G COMLEY & SONS LTD
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day Services-Basingstoke-Non Del,Payments to main contractor,16.09.2013,3400130781,1444.96,C,GREEN BUILDING MAINTENANCE LTD
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day Services-Bordon,Hire Of Transport & Plant,05.09.2013,2209619529,2709.00,R,AMK CHAUFFEUR DRIVE LTD
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day Services-Eastleigh Community Link,Electricity,25.09.2013,1100208092,617.87,R,NPOWER
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day Services-Eastleigh Community Link,Hire Of Transport & Plant,04.09.2013,2209615929,3150.00,R,A2B EXPRESS TRAVEL
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day Services-Eastleigh Community Link,Rent - General,10.09.2013,2209630812,845.00,R,THE PAVILION ON THE PARK
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day Services-Havant,Contract Cleaning,11.09.2013,2209634569,862.79,R,HAYWARD SERVICES LTD
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day Services-Havant,Hazardous/Chem Waste Disposal,03.09.2013,2209612436,698.21,R,PHS GROUP LIMITED
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day Services-Havant,Hire Of Transport & Plant,24.09.2013,2209669264,748.00,R,ANDICARS LTD
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day Services-Havant,Hire Of Transport & Plant,03.09.2013,2209611790,2462.38,R,HCCS COMMUNITY ACTION T/A COMMUNITY
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day Services-Havant,Hire Of Transport & Plant,03.09.2013,2209611804,2230.31,R,HCCS COMMUNITY ACTION T/A COMMUNITY
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day Services-Havant,Hire Of Transport & Plant,25.09.2013,2209672554,1745.46,R,HCCS COMMUNITY ACTION T/A COMMUNITY
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day Services-Havant,Hire Of Transport & Plant,25.09.2013,2209672587,1820.02,R,HCCS COMMUNITY ACTION T/A COMMUNITY
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day Services-Havant,Hire Of Transport & Plant,24.09.2013,2209669086,1514.70,R,PETE'S AIRLINK LTD
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day Services-Havant,Rent - General,03.09.2013,2209611870,1234.80,R,SPRINGWOOD COMMUNITY PARTNERSHIP
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day Services-Havant-Non Del,Additional Landlord Non-Schools Engineer Prog,30.09.2013,3400131014,45037.96,C,EDGAR & WOOD MECH SERVICES LTD
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day Services-Havant-Non Del,Major Building Repairs,19.09.2013,3400130851,3506.97,C,EMCOR FACILITIES SERVICES LTD
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day Services-Romsy & Watersde-Non Del,Mechanical Engineering Support,11.09.2013,3400130709,534.95,C,SSE CONTRACTING LTD
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day Services-Romsy & Watersde-Non Del,Mechanical Engineering Support,30.09.2013,3400131032,573.83,C,SSE CONTRACTING LTD
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Day Services-Romsy & Watersde-Non Del,Mechanical Engineering Support,30.09.2013,3400131032,573.83,C,SSE CONTRACTING LTD
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Dom Care-Rush/Hart,Payments to Health Authorities,12.09.2013,2209636904,3432.00,R,LODDON ALLIANCE
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Dom Care-Rush/Hart,Payments to Health Authorities,17.09.2013,2209649787,755.60,R,LODDON ALLIANCE
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Dom Care-Rush/Hart,Purch Care-Indep Sector,27.09.2013,2209680253,11088.00,R,ARK HOME HEALTHCARE LTD
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Dom Care-Rush/Hart,Purch Care-Indep Sector,05.09.2013,2209619820,1230.60,R,PERSONAL PAYMENTS
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Dom Care-Rush/Hart,Purch Care-Indep Sector,05.09.2013,2209620722,1029.30,R,PERSONAL PAYMENTS
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Dom Care-Rush/Hart,Purch Care-Indep Sector,05.09.2013,2209620131,1461.60,R,CARE UK (BASINGSTOKE)
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Dom Care-Rush/Hart,Purch Care-Indep Sector,05.09.2013,2209620170,1023.12,R,CARE UK (BASINGSTOKE)
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Dom Care-Rush/Hart,Purch Care-Indep Sector,06.09.2013,2209623256,509.76,R,CARE UK (BASINGSTOKE)
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Dom Care-Rush/Hart,Purch Care-Indep Sector,06.09.2013,2209623283,578.12,R,CARE UK (BASINGSTOKE)
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Dom Care-Rush/Hart,Purch Care-Indep Sector,06.09.2013,2209623311,3042.14,R,CARE UK (BASINGSTOKE)
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Dom Care-Rush/Hart,Purch Care-Indep Sector,06.09.2013,2209623318,1935.26,R,CARE UK (BASINGSTOKE)
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Dom Care-Rush/Hart,Purch Care-Indep Sector,06.09.2013,2209623325,1346.60,R,CARE UK (BASINGSTOKE)
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Dom Care-Rush/Hart,Purch Care-Indep Sector,06.09.2013,2209623332,2071.44,R,CARE UK (BASINGSTOKE)
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Dom Care-Rush/Hart,Purch Care-Indep Sector,06.09.2013,2209623332,839.44,R,CARE UK (BASINGSTOKE)
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Dom Care-Rush/Hart,Purch Care-Indep Sector,06.09.2013,2209624353,4212.55,R,CARE UK (BASINGSTOKE)
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Dom Care-Rush/Hart,Purch Care-Indep Sector,24.09.2013,2209667578,564.00,R,CARE UK (BASINGSTOKE)
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Dom Care-Rush/Hart,Purch Care-Indep Sector,24.09.2013,2209667605,669.94,R,CARE UK (BASINGSTOKE)
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Dom Care-Rush/Hart,Purch Care-Indep Sector,30.09.2013,2209680867,774.40,R,CARE UK (BASINGSTOKE)
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Dom Care-Rush/Hart,Purch Care-Indep Sector,30.09.2013,2209680874,563.20,R,CARE UK (BASINGSTOKE)
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Dom Care-Rush/Hart,Purch Care-Indep Sector,30.09.2013,2209680893,844.80,R,CARE UK (BASINGSTOKE)
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Dom Care-Rush/Hart,Purch Care-Indep Sector,30.09.2013,2209681845,662.89,R,CARE UK (BASINGSTOKE)
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Dom Care-Rush/Hart,Purch Care-Indep Sector,30.09.2013,2209681892,535.04,R,CARE UK (BASINGSTOKE)
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Dom Care-Rush/Hart,Purch Care-Indep Sector,05.09.2013,2209617317,1030.50,R,PERSONAL PAYMENTS
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Dom Care-Rush/Hart,Purch Care-Indep Sector,05.09.2013,2209619166,918.60,R,PERSONAL PAYMENTS
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Dom Care-Rush/Hart,Purch Care-Indep Sector,16.09.2013,2209645389,595.00,R,HILL VIEW CARE HOME
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Dom Care-Rush/Hart,Purch Care-Indep Sector,16.09.2013,2209645389,2557.50,R,HILL VIEW CARE HOME
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Dom Care-Rush/Hart,Purch Care-Indep Sector,16.09.2013,2209645421,2511.00,R,HILL VIEW CARE HOME
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Dom Care-Rush/Hart,Purch Care-Indep Sector,16.09.2013,2209645421,595.00,R,HILL VIEW CARE HOME
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Dom Care-Rush/Hart,Purch Care-Indep Sector,24.09.2013,2209669193,1426.00,R,HILL VIEW CARE HOME
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Dom Care-Rush/Hart,Purch Care-Indep Sector,24.09.2013,2209669207,2604.00,R,HILL VIEW CARE HOME
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Dom Care-Rush/Hart,Purch Care-Indep Sector,24.09.2013,2209669207,595.00,R,HILL VIEW CARE HOME
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Dom Care-Rush/Hart,Purch Care-Indep Sector,30.09.2013,2209681058,595.00,R,HILL VIEW CARE HOME
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Dom Care-Rush/Hart,Purch Care-Indep Sector,30.09.2013,2209681058,2557.50,R,HILL VIEW CARE HOME
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Dom Care-Rush/Hart,Purch Care-Indep Sector,30.09.2013,2209681081,1798.00,R,HILL VIEW CARE HOME
HAMPSHIRE COUNTY COUNCIL,ADULT SERVICES,LD Dom Care-Rush/Hart,Purch Care-Indep Sector,05.09.2013,2209618381,2863.46,R,IN CHORUS DOMICILIARY CARE SERVICES
