Department family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction number, AP Amount (£) ,VAT registration number,Purchase invoice number
Department of Health,NHS England,30/04/2014,Supplies and services – clinical,Public Health,NHS BEDFORDSHIRE CCG,3500839,"-985,366.00 ",,7020700165
Department of Health,NHS England,30/04/2014,Services from other NHS bodies,Specialised Commissioning,BIRMINGHAM & SOLIHULL MENTAL HEALTH NHS FOUNDATION TRUST,3379785,"-945,121.79 ",,1792
Department of Health,NHS England,30/04/2014,Services from other NHS bodies,Other Commissioning,ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST,3242817,"-872,495.00 ",,C0010681
Department of Health,NHS England,30/04/2014,Services from other NHS bodies,Primary Care & Secondary Dental,PENNINE ACUTE HOSPITALS NHS TRUST,3391825,"-724,697.00 ",,1000009363
Department of Health,NHS England,30/04/2014,Premises,Other (Including Central Programme),HEALTHCARE QUALITY IMPROVEMENT PARTNERSHIP,3284899,"-711,418.80 ",,C09076
Department of Health,NHS South West CSU,30/04/2014,Premises,CSUs,NHS BRISTOL CCG,3265690,"-645,805.09 ",,7029000194
Department of Health,NHS England,30/04/2014,Services from other NHS bodies,Specialised Commissioning,MEDWAY NHS FOUNDATION TRUST,3420682,"-622,598.08 ",,3128
Department of Health,NHS England,30/04/2014,Services from other NHS bodies,Specialised Commissioning,SOUTH STAFFORDSHIRE AND SHROPSHIRE HEALTHCARE NHS FOUNDATION TRUST,3256950,"-614,840.00 ",,C0005233
Department of Health,NHS England,30/04/2014,Services from other NHS bodies,Specialised Commissioning,SHEFFIELD TEACHING HOSPITALS NHS FOUNDATION TRUST,3329607,"-601,369.00 ",654400165,5000029701
Department of Health,NHS England,30/04/2014,Services from other NHS bodies,Primary Care & Secondary Dental,NHS NORTH HAMPSHIRE CCG,3363445,"-600,000.00 ",,7027400267
Department of Health,NHS England,30/04/2014,Services from other NHS bodies,Other Commissioning,BUCKINGHAMSHIRE HEALTHCARE NHS TRUST,3452350,"-577,333.00 ",,BZ014277
Department of Health,NHS England,30/04/2014,Services from other NHS bodies,Specialised Commissioning,ROYAL FREE LONDON NHS FOUNDATION TRUST,3301427,"-567,140.00 ",654946987,39701
Department of Health,NHS England,30/04/2014,Supplies and services – general,NHS England Running Costs,NHS OXFORDSHIRE CCG,3486016,"-559,452.00 ",,7027900104
Department of Health,NHS England,30/04/2014,Premises,Other,BARTS HEALTH NHS TRUST,3452021,"-550,000.00 ",,185059
Department of Health,NHS England,30/04/2014,Services from other NHS bodies,Specialised Commissioning,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,3420997,"-506,616.00 ",,19842
Department of Health,NHS England,30/04/2014,General Dental services and personal dental services,Primary Care & Secondary Dental,ROYAL SURREY COUNTY HOSPITAL NHS FOUNDATION TRUST,3378768,"-500,328.00 ",,13762818
Department of Health,NHS England,30/04/2014,Services from other NHS bodies,Specialised Commissioning,ST GEORGES HEALTHCARE NHS TRUST,3406241,"-469,922.00 ",,6332979
Department of Health,NHS England,30/04/2014,Services from other NHS bodies,Public Health,CORNWALL PARTNERSHIP NHS FOUNDATION TRUST,3243608,"-468,750.00 ",,2010008778
Department of Health,NHS England,30/04/2014,Services from other NHS bodies,Specialised Commissioning,WESTON AREA HEALTH NHS TRUST,3420634,"-464,200.00 ",,C0006597
Department of Health,NHS England,30/04/2014,GPMS/APMS and PCTMS,Public Health,NHS NOTTINGHAM CITY CCG,3283997,"-458,333.00 ",,7017700313
Department of Health,NHS England,30/04/2014,Supplies and services – general,Other,BARNET ENFIELD AND HARINGEY MENTAL HEALTH NHS TRUST,3257274,"-454,000.00 ",,41418180
Department of Health,NHS England,30/04/2014,Premises,Other (Including Central Programme),LONDON AMBULANCE SERVICE NHS TRUST,3451848,"-445,416.00 ",,C0000557
Department of Health,NHS England,30/04/2014,Supplies and services – general,NHS England Running Costs,BADGER SOFTWARE LTD,3284238,"-443,040.00 ",,BS1650C
Department of Health,NHS England,30/04/2014,Purchase of healthcare from non-NHS bodies,Specialised Commissioning,OAK TREE FOREST LTD,3392944,"-440,675.00 ",,1013
Department of Health,NHS England,30/04/2014,Services from other NHS bodies,Specialised Commissioning,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,3257052,"-433,916.00 ",,21674
Department of Health,NHS England,30/04/2014,Services from other NHS bodies,Specialised Commissioning,COUNTY DURHAM AND DARLINGTON NHS FOUNDATION TRUST,3520514,"-428,755.66 ",,3919000262
Department of Health,NHS England,30/04/2014,Services from other NHS bodies,Other Commissioning,LEEDS TEACHING HOSPITALS NHS TRUST,3256501,"-427,057.07 ",,924482
Department of Health,NHS England,30/04/2014,Services from other NHS bodies,Other Commissioning,SOUTHAMPTON UNIVERSITY HOSPITALS NHS FOUNDATION TRUST,3347042,"-409,000.00 ",,7241046
Department of Health,NHS England,30/04/2014,Supplies and services – general,Other,NORTH EAST LONDON NHS FOUNDATION TRUST,3268907,"-401,000.00 ",,NL0000003162
Department of Health,NHS Greater East Midlands CSU,30/04/2014,Premises,CSUs,NHS PROPERTY SERVICES LTD,3280811,"-387,000.00 ",,48325228
Department of Health,NHS England,30/04/2014,Services from other NHS bodies,Public Health,CROYDON HEALTH SERVICES NHS TRUST,3513326,"-379,769.00 ",,C0009738
Department of Health,NHS England,30/04/2014,GPMS/APMS and PCTMS,Primary Care,ASTON HEALTHCARE LTD,3394159,"-371,821.97 ",,STL000004983
Department of Health,NHS England,30/04/2014,Services from other NHS bodies,Specialised Commissioning,IMPERIAL COLLEGE HEALTHCARE NHS TRUST,3312800,"-366,219.00 ",654945990,H0099302
Department of Health,NHS England,30/04/2014,Purchase of healthcare from non-NHS bodies,Public Health,FIRST COMMUNITY HEALTH & CARE CIC,3406545,"-366,000.00 ",,CRFCHC198
Department of Health,NHS England,30/04/2014,Services from other NHS bodies,Public Health,COLCHESTER HOSPITAL UNIVERSITY NHS FOUNDATION TRUST,3392138,"-362,000.00 ",654921325,2000003728
Department of Health,NHS England,30/04/2014,GPMS/APMS and PCTMS,Primary Care,DR A B BOLTON & PARTNERS,3315671,"-355,558.28 ",,LDS000006860
Department of Health,NHS England,30/04/2014,Services from other NHS bodies,Public Health,CROYDON HEALTH SERVICES NHS TRUST,3513325,"-349,184.00 ",,C0009737
Department of Health,NHS England,30/04/2014,Services from other NHS bodies,Other Commissioning,WIRRAL UNIVERSITY TEACHING HOSPITAL NHS FOUNDATION TRUST,3242296,"-348,338.00 ",,711
Department of Health,NHS England,30/04/2014,Services from other NHS bodies,Specialised Commissioning,SHEFFIELD CHILDRENS NHS FOUNDATION TRUST,3420452,"-342,385.00 ",,2200010589
Department of Health,NHS England,30/04/2014,Services from other NHS bodies,Specialised Commissioning,NORTHUMBERLAND TYNE AND WEAR NHS FOUNDATION TRUST,3283168,"-340,319.00 ",,9890000194
Department of Health,NHS England,30/04/2014,Services from other NHS bodies,Specialised Commissioning,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,3257054,"-329,673.00 ",,23190
Department of Health,NHS England,30/04/2014,Services from other NHS bodies,Specialised Commissioning,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,3257051,"-328,176.00 ",,23192
Department of Health,NHS England,30/04/2014,Services from other NHS bodies,Public Health,CROYDON HEALTH SERVICES NHS TRUST,3520840,"-327,944.00 ",,C0009739
Department of Health,NHS England,30/04/2014,Services from other NHS bodies,Specialised Commissioning,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,3312924,"-327,409.00 ",,23191
Department of Health,NHS England,30/04/2014,General Dental services and personal dental services,Primary Care & Secondary Dental,ROYAL WOLVERHAMPTON HOSPITALS NHS TRUST (THE),3485848,"-324,949.00 ",,9638
Department of Health,NHS England,30/04/2014,GPMS/APMS and PCTMS,Primary Care,DR GREENWAY J & PARTNERS,3315681,"-318,513.39 ",,LDS000006878
Department of Health,NHS England,30/04/2014,Services from other NHS bodies,Primary Care & Secondary Dental,ROYAL DEVON AND EXETER NHS FOUNDATION TRUST,3363474,"-304,312.10 ",,26305213
Department of Health,NHS England,30/04/2014,Supplies and services – general,Other,NORTH MIDDLESEX UNIVERSITY HOSPITAL NHS TRUST,3346856,"-303,000.00 ",,23299
Department of Health,NHS England,30/04/2014,Supplies and services – general,Public Health,NHS NORTH SOMERSET CCG,3406579,"-300,790.95 ",,7029400392
Department of Health,NHS England,30/04/2014,Services from other NHS bodies,Specialised Commissioning,MILTON KEYNES HOSPITAL NHS FOUNDATION TRUST,3257019,"-298,442.00 ",,42907876
Department of Health,NHS England,30/04/2014,Services from other NHS bodies,Specialised Commissioning,GREATER MANCHESTER WEST MENTAL HEALTH NHS FOUNDATION TRUST,3501048,"-295,201.00 ",,3353
Department of Health,NHS England,30/04/2014,General Dental services and personal dental services,Primary Care & Secondary Dental,ROYAL WOLVERHAMPTON HOSPITALS NHS TRUST (THE),3363571,"-290,250.00 ",,9639
Department of Health,NHS England,30/04/2014,Services from other NHS bodies,Other Commissioning,ROYAL BOURNEMOUTH AND CHRISTCHURCH HOSPITALS NHS FOUNDATION TRUST,3242816,"-282,915.00 ",,C0010682
Department of Health,NHS England,30/04/2014,Services from other NHS bodies,Specialised Commissioning,NORTHERN LINCOLNSHIRE AND GOOLE HOSPITALS NHS FOUNDATION TRUST,3500162,"-273,472.00 ",,2500000496
Department of Health,NHS England,30/04/2014,Purchase of healthcare from non-NHS bodies,Health and Justice,YOUTH JUSTICE BOARD,3242665,"-270,000.00 ",,SC14041651
Department of Health,NHS England,30/04/2014,GPMS/APMS and PCTMS,Primary Care,DR R G S QUARTLEY & PARTNERS,3316711,"-257,173.59 ",,WAK000002475
Department of Health,NHS England,30/04/2014,Services from other NHS bodies,Specialised Commissioning,AVON AND WILTSHIRE MENTAL HEALTH PARTNERSHIP NHS TRUST,3420460,"-253,539.00 ",,500232
Department of Health,NHS England,30/04/2014,Services from other NHS bodies,Specialised Commissioning,WESTON AREA HEALTH NHS TRUST,3268318,"-252,660.64 ",,C0006588
Department of Health,NHS England,30/04/2014,GPMS/APMS and PCTMS,Primary Care,DR LEDGER & PARTNERS,3315694,"-242,680.53 ",,LDS000006902
Department of Health,NHS England,30/04/2014,GPMS/APMS and PCTMS,Primary Care & Secondary Dental,PORTSDOWN GROUP PRACTICE,3304049,"-239,347.91 ",,SO000014344
Department of Health,NHS Greater East Midlands CSU,30/04/2014,Supplies and services – general,CSUs,BERKSHIRE HEALTHCARE NHS FOUNDATION TRUST,3237895,"-232,176.00 ",,768261
Department of Health,NHS England,30/04/2014,Capital,Capital,NHS SOLIHULL CCG,3520589,"-230,212.74 ",,7019700049
Department of Health,NHS England,30/04/2014,Services from other NHS bodies,Specialised Commissioning,BIRMINGHAM & SOLIHULL MENTAL HEALTH NHS FOUNDATION TRUST,3379784,"-224,808.03 ",,1791
Department of Health,NHS England,30/04/2014,GPMS/APMS and PCTMS,Primary Care,DR RJ ADAMS & PARTNERS,3315704,"-223,073.12 ",,LDS000006920
Department of Health,NHS England,30/04/2014,Services from other NHS bodies,Specialised Commissioning,BIRMINGHAM & SOLIHULL MENTAL HEALTH NHS FOUNDATION TRUST,3379783,"-211,896.65 ",,1790
Department of Health,NHS England,30/04/2014,Services from other NHS bodies,Specialised Commissioning,LANCASHIRE CARE NHS FOUNDATION TRUST,3392317,"-210,755.31 ",,C0003560
Department of Health,NHS England,30/04/2014,Services from other NHS bodies,Public Health,ROYAL WOLVERHAMPTON HOSPITALS NHS TRUST (THE),3283402,"-210,464.00 ",,9572
Department of Health,NHS England,30/04/2014,Services from other NHS bodies,Specialised Commissioning,NORTHERN LINCOLNSHIRE AND GOOLE HOSPITALS NHS FOUNDATION TRUST,3499993,"-208,300.00 ",,2500000398
Department of Health,NHS England,30/04/2014,Services from other NHS bodies,Public Health,GATESHEAD HEALTH NHS FOUNDATION TRUST,3420868,"-207,633.00 ",,300409
Department of Health,NHS England,30/04/2014,Services from other NHS bodies,Specialised Commissioning,CALDERDALE & HUDDERSFIELD NHS FOUNDATION TRUST,3420771,"-205,894.00 ",,90527
Department of Health,NHS England,30/04/2014,Supplies and services – general,Other,ROYAL FREE LONDON NHS FOUNDATION TRUST,3346531,"-200,000.00 ",654946987,39852
Department of Health,NHS England,30/04/2014,GPMS/APMS and PCTMS,Primary Care,GOLDSTONE & PARTNERS,3394197,"-195,751.73 ",,STL000005029
Department of Health,NHS England,30/04/2014,General Dental services and personal dental services,Primary Care & Secondary Dental,DUDLEY GROUP HOSPITALS NHS FOUNDATION TRUST,3379704,"-195,000.00 ",,1000002831
Department of Health,NHS England,30/04/2014,GPMS/APMS and PCTMS,Primary Care,DR T B PATEL & PARTNERS,3315712,"-190,167.53 ",,LDS000006936
Department of Health,NHS England,30/04/2014,Other professional fees,NHS England Running Costs,DELOITTE LLP,3355632,"-190,068.00 ",819473600,1111036415CRCORR
Department of Health,NHS Greater East Midlands CSU,30/04/2014,Premises,CSUs,NHS PROPERTY SERVICES LTD,3280810,"-189,000.00 ",,48325227
Department of Health,NHS England,30/04/2014,Services from other NHS bodies,Specialised Commissioning,NORTHERN LINCOLNSHIRE AND GOOLE HOSPITALS NHS FOUNDATION TRUST,3501111,"-188,600.00 ",,2500000551
Department of Health,NHS England,30/04/2014,Services from other NHS bodies,Specialised Commissioning,HERTFORDSHIRE COMMUNITY NHS TRUST,3379536,"-188,196.25 ",,28008227
Department of Health,NHS England,30/04/2014,Services from other NHS bodies,Primary Care & Secondary Dental,KING`S COLLEGE HOSPITAL NHS FOUNDATION TRUST,3363181,"-186,311.00 ",,CR00015429
Department of Health,NHS England,30/04/2014,GPMS/APMS and PCTMS,Primary Care,DR BOONIN A S & PARTNERS,3315675,"-182,259.48 ",,LDS000006868
Department of Health,NHS England,30/04/2014,Supplies and services – general,NHS England Running Costs,NHS DARLINGTON CCG,3256855,"-180,000.00 ",,7010000016
Department of Health,NHS England,30/04/2014,GPMS/APMS and PCTMS,Primary Care,DR DOUGLAS & PARTNERS,3318303,"-178,998.32 ",,ROT000002148
Department of Health,NHS England,30/04/2014,Services from other NHS bodies,Specialised Commissioning,ROYAL BROMPTON & HAREFIELD NHS FOUNDATION TRUST,3329842,"-178,708.29 ",,C0011230
Department of Health,NHS England,30/04/2014,Services from other NHS bodies,Specialised Commissioning,PENNINE ACUTE HOSPITALS NHS TRUST,3268792,"-178,561.00 ",,1000009366
Department of Health,NHS England,30/04/2014,GPMS/APMS and PCTMS,Primary Care,LEIGH VIEW MEDICAL PRACTICE,3315733,"-176,926.33 ",,LDS000006970
Department of Health,NHS England,30/04/2014,GPMS/APMS and PCTMS,Primary Care,DR T P FOX & PARTNERS,3315720,"-176,818.51 ",,LDS000006952
Department of Health,NHS England,30/04/2014,GPMS/APMS and PCTMS,Primary Care,DR KAMAL L R M & PARTNERS,3316705,"-176,733.14 ",,WAK000002461
Department of Health,NHS England,30/04/2014,GPMS/APMS and PCTMS,Primary Care,DR BELDERSON L & PARTNERS,3315673,"-176,680.83 ",,LDS000006864
Department of Health,NHS England,30/04/2014,Services from other NHS bodies,Public Health,ST GEORGES HEALTHCARE NHS TRUST,3451946,"-175,000.97 ",,6332991
Department of Health,NHS England,30/04/2014,Services from other NHS bodies,Specialised Commissioning,NORTHERN DEVON HEALTHCARE NHS TRUST,3312910,"-175,000.00 ",654933903,CF201314
Department of Health,NHS England,30/04/2014,Services from other NHS bodies,Specialised Commissioning,AVON AND WILTSHIRE MENTAL HEALTH PARTNERSHIP NHS TRUST,3420458,"-174,464.00 ",,500231
Department of Health,NHS England,30/04/2014,GPMS/APMS and PCTMS,Primary Care,PORTER BROOK MEDICAL CENTRE,3318431,"-173,420.42 ",,SHE000004011
Department of Health,NHS England,30/04/2014,Services from other NHS bodies,Primary Care & Secondary Dental,AVON AND WILTSHIRE MENTAL HEALTH PARTNERSHIP NHS TRUST,3379553,"-171,650.00 ",,500246
Department of Health,NHS England,30/04/2014,GPMS/APMS and PCTMS,Primary Care,DR LEE AV & PARTNERS,3315695,"-171,571.66 ",,LDS000006904
Department of Health,NHS England,30/04/2014,Services from other NHS bodies,Specialised Commissioning,CROYDON HEALTH SERVICES NHS TRUST,3185419,"-169,103.00 ",,C0009593
Department of Health,NHS England,30/04/2014,GPMS/APMS and PCTMS,Primary Care,MERRIMAN & PARTNERS,3394228,"-167,034.02 ",,STL000005070
Department of Health,NHS England,30/04/2014,GPMS/APMS and PCTMS,Primary Care & Secondary Dental,CONSETT MEDICAL CENTRE,3317984,"-165,731.25 ",,DR000004594
Department of Health,NHS England,30/04/2014,Services from other NHS bodies,Specialised Commissioning,COVENTRY AND WARWICKSHIRE PARTNERSHIP NHS TRUST,3367187,"-164,610.00 ",654438521,501505
Department of Health,NHS England,30/04/2014,GPMS/APMS and PCTMS,Primary Care,DR J HUDSON & PARTNERS,3315690,"-164,106.90 ",,LDS000006894
Department of Health,NHS England,30/04/2014,GPMS/APMS and PCTMS,Primary Care,DR GALLAGHER & PARTNERS SHEFFIELD,3318325,"-163,140.39 ",,BAA000002481
Department of Health,NHS England,30/04/2014,Services from other NHS bodies,Other Commissioning,HEATHERWOOD & WEXHAM PARK HOSPITALS NHS FOUNDATION TRUST,3379694,"-162,569.00 ",,392
Department of Health,NHS England,30/04/2014,GPMS/APMS and PCTMS,Primary Care,HEDLEY & PTNRS,3407566,"-160,942.04 ",,SOP000003353
Department of Health,NHS England,30/04/2014,Services from other NHS bodies,Armed Forces,FRIMLEY PARK HOSPITAL NHS FOUNDATION TRUST,3406065,"-160,288.00 ",,N0064320
Department of Health,NHS England,30/04/2014,Establishment,NHS England Running Costs,METHODS CONSULTING LTD,3469351,"-160,260.00 ",859140314,SCR000277
Department of Health,NHS England,30/04/2014,GPMS/APMS and PCTMS,Primary Care,DR EDWARDS&PARTNERS WIDNES,3394183,"-155,967.74 ",,STL000005009
Department of Health,NHS England,30/04/2014,Services from other NHS bodies,Specialised Commissioning,AVON AND WILTSHIRE MENTAL HEALTH PARTNERSHIP NHS TRUST,3420828,"-155,856.74 ",,500245
Department of Health,NHS England,30/04/2014,GPMS/APMS and PCTMS,Primary Care,DR DUNPHY R H & PARTNERS,3316698,"-154,338.41 ",,WAK000002447
Department of Health,NHS England,30/04/2014,GPMS/APMS and PCTMS,Primary Care,DR OWEN & PARTNERS,3318309,"-154,243.45 ",,ROT000002154
Department of Health,NHS England,30/04/2014,GPMS/APMS and PCTMS,Primary Care & Secondary Dental,THORNABY & BARWICK MEDICAL GROUP,3350711,"-152,998.41 ",,MID000004484
Department of Health,NHS England,30/04/2014,GPMS/APMS and PCTMS,Primary Care,DR DARBYSHIRE & PARTNERS,3315677,"-151,287.73 ",,LDS000006872
Department of Health,NHS England,30/04/2014,Pharmaceutical services,Primary Care & Secondary Dental,NHS NOTTINGHAM CITY CCG,3283996,"-150,620.08 ",,7017700312
Department of Health,NHS England,30/04/2014,Services from other NHS bodies,Public Health,BARTS HEALTH NHS TRUST,3347202,"-150,494.95 ",,190676
Department of Health,NHS England,30/04/2014,GPMS/APMS and PCTMS,Primary Care & Secondary Dental,BUSH & PARTNERS,3394332,"-149,278.83 ",,BIK000002939
Department of Health,NHS England,30/04/2014,GPMS/APMS and PCTMS,Primary Care,DR L A NEWLAND & PARTNERS,3316707,"-148,957.34 ",,WAK000002465
Department of Health,NHS England,30/04/2014,GPMS/APMS and PCTMS,Primary Care,DR BURKILL A D & PARTNERS,3315676,"-147,532.37 ",,LDS000006870
Department of Health,NHS England,30/04/2014,Establishment,Primary Care & Secondary Dental,ROTHERHAM NHS FOUNDATION TRUST,3313085,"-147,365.00 ",,6039138
Department of Health,NHS England,30/04/2014,Establishment,Primary Care & Secondary Dental,ROTHERHAM NHS FOUNDATION TRUST,3313086,"-147,365.00 ",,6039139
Department of Health,NHS England,30/04/2014,Establishment,Primary Care & Secondary Dental,ROTHERHAM NHS FOUNDATION TRUST,3313087,"-147,365.00 ",,6039140
Department of Health,NHS England,30/04/2014,Services from other NHS bodies,Other Commissioning,STOCKPORT NHS FOUNDATION TRUST,3257127,"-146,129.00 ",,40047491
Department of Health,NHS England,30/04/2014,Services from other NHS bodies,Primary Care & Secondary Dental,ROYAL BOLTON HOSPITAL NHS FOUNDATION TRUST,3268419,"-145,804.00 ",,1018293
Department of Health,NHS England,30/04/2014,GPMS/APMS and PCTMS,Primary Care & Secondary Dental,ST MARYS SURGERY SOUTHAMPTON,3304065,"-143,118.42 ",,SO000014366
Department of Health,NHS England,30/04/2014,GPMS/APMS and PCTMS,Primary Care,DR WASTLING & PARTNERS,3318347,"-141,108.31 ",,BAA000002495
Department of Health,NHS England,30/04/2014,GPMS/APMS and PCTMS,Primary Care,ORPIN & PARTNERS,3394243,"-141,055.06 ",,STL000005086
Department of Health,NHS England,30/04/2014,GPMS/APMS and PCTMS,Primary Care,DR POWER & PARTNERS,3316710,"-141,019.49 ",,WAK000002473
Department of Health,NHS England,30/04/2014,GPMS/APMS and PCTMS,Primary Care & Secondary Dental,CROWN HEIGHTS MEDICAL CENTRE,3304012,"-140,384.16 ",,SO000014288
Department of Health,NHS England,30/04/2014,GPMS/APMS and PCTMS,Primary Care,DR J L SCHINDLER & PARTNERS,3316704,"-140,384.07 ",,WAK000002459
Department of Health,NHS England,30/04/2014,GPMS/APMS and PCTMS,Primary Care,DR D B WATSON & PARTNERS,3316700,"-139,972.97 ",,WAK000002451
Department of Health,NHS England,30/04/2014,GPMS/APMS and PCTMS,Primary Care,PRYCE & PARTNERS,3394253,"-138,395.83 ",,STL000005098
Department of Health,NHS England,30/04/2014,GPMS/APMS and PCTMS,Primary Care,WESTMORELAND G P CENTRE,3394058,"-137,773.39 ",,LIP000006131
Department of Health,NHS England,30/04/2014,Services from other NHS bodies,Other Commissioning,GLOUCESTERSHIRE HOSPITALS NHS FOUNDATION TRUST,3488546,"-137,500.00 ",,T017736
Department of Health,NHS England,30/04/2014,GPMS/APMS and PCTMS,Primary Care,DR DG ANDERSON & PARTNERS,3350064,"-137,456.42 ",,YW000005347
Department of Health,NHS England,30/04/2014,GPMS/APMS and PCTMS,Primary Care,OTIV & PARTNERS,3394244,"-137,202.60 ",,STL000005088
Department of Health,NHS England,30/04/2014,GPMS/APMS and PCTMS,Primary Care & Secondary Dental,MUKHERJEE & PARTNERS,3394380,"-137,190.79 ",,BIK000002989
Department of Health,NHS England,30/04/2014,GPMS/APMS and PCTMS,Primary Care & Secondary Dental,NORMANBY MEDICAL CENTRE,3350676,"-136,007.28 ",,MID000004438
Department of Health,NHS England,30/04/2014,GPMS/APMS and PCTMS,Primary Care,MARTIN & PARTNERS,3394220,"-133,749.57 ",,STL000005060
