Organisation Reference Number,Organisation Name,Areas Served,Address Line 1,Address Line 2,Town,Postcode,Phone Numbers,Website/Email,Befriending,Complementary Therapies,Personal & Professional Development,Social Support,Talking Therapies,Transgenerational Services,"Truth, Justice & Acknowledgement",Welfare Support
18,Families Moving On,"Cookstown, Derry/Londonderry, Dungannon & S. Tyrone, Fermanagh, Magherafelt, Omagh, Strabane",6/6A Dublin Road,,Omagh,BT78 1ES,028 82250369,www.familiesmovingon.com  ,1,1,1,1,,1,,
19,Family Research and Policy Unit,Armagh,3 Fairgreen Road,,Markethill,BT60 1PW,028 37552136,nifrpu@gmail.com,,,,,,,1,
20,Firinne,Fermanagh,67 Chanterhill Road,Drumclay,Enniskillen,BT74 6DF,028 66324497,www.firinne.ie ,1,1,1,1,,,1,1
21,Holy Trinity Centre,Belfast,26 Norglen Gardens,,Belfast,BT11 8EL,028 90200557; 028 90200396,btoner@holytrinitybelfast.org,,,,,1,1,,
22,Institute for Conflict Research,Belfast,Unit 12-14 North City Business Centre,2 Duncairn Gardens,Belfast,BT15 2GG,028 90742682 ,www.conflictresearch.org.uk,,,,1,,,,
23,Koram Centre,Strabane,3 Mourne Villas,,Strabane,BT82 8BG,028 71886181,www.koramcentre.com,,1,1,,1,1,,1
24,Larne  Voluntary Welfare Group,"Larne, Carrickfergus,  Newtownabbey ",,,,,028 90279100,Contact VSS: enquiries@vssni.org,,,1,1,,,,
25,Lenadoon Community Forum,"Belfast, Lisburn",124 Stewartstown Road,,Belfast,BT11 9JQ,028 90600641,lenadooncounselling@yahoo.co.uk,,,,,1,,,
26,MAST,"Down, Newry & Mourne",Reivers House,10 Newcastle Street,Kilkeel,BT34 4AF,028 41763280 ,www.mastni.co.uk ,1,,1,1,,1,,
27,Mid Ulster Victims' Empowerment (MUVE),"Cookstown, Magherafelt, Mid Ulster District Council Area",2c Park Avenue,,Cookstown,BT80 8AH,028 86763349,muveproject@yahoo.co.uk ,,,1,1,,1,1,1
28,Military and Police Support of West Tyrone (MAPS),"Omagh, Strabane, Dungannon & S.Tyrone",53 Market Street,,Omagh,BT78 1EL,028 82245459,mapsofwesttyrone@btinternet.com,1,1,1,1,,,,
29,New Life Counselling,Belfast,25 Ardoyne Road,,Belfast,BT14 7HX,028 90391630,www.newlifecounselling.net,,,,,1,1,,
30,Newry and Mourne Local Voluntary Welfare Group,"Armagh, Newry & Mourne",,,,,028 90279100,Contact VSS: enquiries@vssni.org,,,,1,,,,
31,Omagh Police Wives,Omagh,,,,,028 90279100,Contact VSS: enquiries@vssni.org,,,1,1,,,,
32,Omagh Support and Self Help Group (OSSHG),Omagh,Bridge Centre,5A Holmview Avenue,Omagh,BT79 0AQ,028 82259877,www.omaghbomb.co.uk,,1,1,1,,,1,1
33,Out of the Shadows,"Armagh, Craigavon","Units 1A and 2A, 163 Portadown Road",Richhill,Armagh,BT60 9LJ,028 38879679,outoftheshadows38@hotmail.co.uk,,,1,1,,,1,1
34,Paper Trail,Across Northern Ireland,"North Belfast Social Enterprise Hub, McSweeney Centre",31 Henry Place,Belfast,BT15 2BB,028 95215528,www.papertrail.pro,,,,,,,1,
35,Pat Finucane Centre,"Armagh, Derry/Londonderry",Unit 8B Rath Mor Centre,Bligh's Lane,Derry,BT48 0LZ,028 71268846,www.patfinucanecentre.org,,,,,,,1,
36,REACT,"Armagh, Cookstown, Newry & Mourne, Dungannon & S.Tyrone",2 Mallview Terrace,,Armagh,BT61 9AN,028 37526869,www.reactni.org  ,,1,1,1,1,1,,
37,Relatives for Justice (RFJ),Throughout Ireland,39 Glen Road,,Belfast,BT11 8BB,028 90627171 ,www.relativesforjustice.com,,1,1,1,1,,1,1
38,South and East Tyrone Welfare Support,Dungannon & S.Tyrone,51 Main Road,Moygashel,Dungannon,BT71 7QU,028 85557645,setw@btconnect.com,1,1,1,1,,,1,
39,South Armagh Rural Women's Network,"Armagh, Newry & Mourne",Crossmaglen Community Centre,Cardinal O’Fiaich Square,Crossmaglen,BT35 9AA,028 30868939,www.sarwn.co.uk,1,,1,1,,,1,
40,South East Fermanagh Foundation (SEFF),"Fermanagh, Omagh, Cookstown, Armagh, Banbridge, Dungannon & S.Tyrone",1 Manderwood Park,1 Nutfield Road,Lisnaskea,BT92 0FP,028 67723884; 028 67722242  ,www.seff.org.uk ,1,1,1,1,1,1,1,1
41,South Tyrone Voluntary Welfare Group,Dungannon & S.Tyrone,,,,,028 90279100,Contact VSS: enquiries@vssni.org,,,,1,,,,
42,Springhill Community House,Belfast,6-7 Springhill Close,,Belfast,BT12 7SE,028 90326722,www.sch.ie ,,1,1,1,,,1,
43,Survivors of Trauma,Belfast,151 Cliftonville Road,,Belfast,BT14 6JR,028 90749944 ,www.survivorsoftrauma.com ,,1,1,1,1,,1,
44,Tara Centre,"Fermanagh, Omagh",11 Holmview Terrace,,Omagh,BT79 0AH,028 82250024,www.taraomagh.com,,1,1,,1,1,,
45,The Ely Centre Ltd,"Fermanagh, Omagh, Craigavon, Dungannon & S.Tyrone",52-60 Forthill Street,,Enniskillen,BT74 6AJ,028 66320977,www.elycentre.com ,1,1,1,1,1,1,1,1
46,The Strule Association,"Omagh, Castlederg, Strabane, Artigarvan, Donemanagh",,,,,028 90279100,Contact VSS: enquiries@vssni.org,,,,1,,,,
47,Tullyvallen Family Support,Newtownhamilton,,,,,028 90279100,Contact VSS: enquiries@vssni.org,,,1,1,,1,1,
48,UDR Association Castlederg,"Omagh, Castlederg, Strabane",,,,,028 90279100,Contact VSS: enquiries@vssni.org,1,,1,1,,1,1,1
49,UDR Association Coleraine,"Coleraine, Ballymoney",29E New Row,,Coleraine,BT52 1AD,028 70321657,ecoycoleraineudr1970@outlook.com,,,,1,,,,
50,UDR Association Enniskillen,"Fermanagh, Omagh",,,,,028 90279100,Contact VSS: enquiries@vssni.org,1,,,1,,,,
51,UDR Association Lisnaskea,"Fermanagh, Omagh",,,,,028 90279100,Contact VSS: enquiries@vssni.org,,,,1,,,1,
52,Ulster Human Rights Watch,Across Northern Ireland,,,,,028 90279100,Contact VSS: enquiries@vssni.org,,,,,,,1,
53,Victims and Survivors Trust (VAST),Belfast,Unit 12 Social Economy Village,Hannahstown Hill,Belfast,BT17 0XS,028 90627501,www.victimsandsurvivorstrust.com ,,1,1,1,1,,,
54,WAVE Trauma Centre,Across Northern Ireland,5 Chichester Park South,,Belfast,BT15 5DW,028 90779922,www.wavetraumacentre.org.uk ,,1,1,1,1,1,1,1
55,Wounded Police and Families Association,Belfast,,,,,028 90279100,Contact VSS: enquiries@vssni.org,,,1,1,,,1,
,,,,,,,,,13,24,35,35,22,21,23,12
