Department,Entity,Date,Expense Type,Expense Area,Supplier ,Transaction Number,Amount,Description,Supplier Postcode,Supplier Type,Contract Number,Project Code,Expenditure Type,Vat Registration Num
DEFRA,APHA,07/04/2017,EXP - PURCHASE OF GOODS/SERVICES - ICT OUTSOURCING & MAINT/SUPPORT,PROJECT DELIVERY AND PORTFOLIO MANAGEMENT,IBM UNITED KINGDOM LTD,1021718,52667.53,Services provided by IBM for the design and system builds in financial year 16/17 to deliver the County Parish Holding (CPH) England project that are funded by Defra. Costs will continue until the middle of financial year 17/18 as the system is developed to meet business needs,GU1 2LD,SUPPLIER,,APP10147,Expense,
DEFRA,APHA,07/04/2017,EXP - PURCHASE OF GOODS/SERVICES - ICT OUTSOURCING & MAINT/SUPPORT,PROJECT DELIVERY AND PORTFOLIO MANAGEMENT,IBM UNITED KINGDOM LTD,1021718,61213.69,Services provided by IBM for the design and system builds in financial year 16/17 to deliver the County Parish Holding (CPH) England project that are funded by Defra. Costs will continue until the middle of financial year 17/18 as the system is developed to meet business needs,GU1 2LD,SUPPLIER,,APP10147,Expense,
DEFRA,APHA,07/04/2017,EXP - PURCHASE OF GOODS/SERVICES - LAB & TECHNICAL EQUIPMENT,NORTH FIELD OPERATIONS,XL FARMCARE MIDLANDS LTD~114213469,1021674,42965.43,Costs associated with disease outbreak,ST15 8NA,CUSTOMER,,APAVIE01,Expense,
DEFRA,APHA,07/04/2017,EXP - PURCHASE OF GOODS/SERVICES - LAB & TECHNICAL EQUIPMENT,SOUTH EAST FIELD OPERATIONS,XL FARMCARE SOUTH EAST LIMITED~178831566,1021676,27096.57,Costs associated with disease outbreak,BN7 2AH,CUSTOMER,,APAVIE01,Expense,
DEFRA,APHA,10/04/2017,EXP - PURCHASE OF GOODS/SERVICES - OTHER,SERVICE LEVEL AGREEMENTS,FOOD STANDARDS AGENCY,2007000139,51005.65,Sampling submission costs December 2016 - March 2017,YO1 2YX,SUPPLIER,,APFSATBS,Expense,888847046
DEFRA,APHA,10/04/2017,CA - OTHER RECEIVABLES - PURCHASING CARD CONTROL ACCOUNT,BALANCE SHEET,ROYAL BANK OF SCOTLAND,1021781,59540.74,Payment  for purchases made through Royal Bank of Scotland card in March 2017,EC2M 4BA,SUPPLIER,,0,Asset,"243852752	"
DEFRA,APHA,10/04/2017,EXP - PURCHASE OF GOODS/SERVICES - CONTRACTORS - VETERINARY SERVICES,SOUTH WEST FIELD OPERATIONS,XL FARMCARE WESSEX LTD,1021790,385124.4,Providing services for the Veterinary Delivery Partnership Project,ST15 8NA,SUPPLIER(1),,0,Expense,172798072
DEFRA,APHA,11/04/2017,Exp - Purchase Of Goods/Services - Other Professional Services,PLANT VARIETY AND SEEDS,AGRI-FOOD & BIOSCIENCES INSTITUTE,1021822,79949.47,"Grasses/herbage Distinct Uniform Stable and Value for 
Cultivation and Use authentication, regular Plant Breeder's 
Rights and National Listing Quarter 4,  1 Jan - 31 March",BT9 5PX,OGD,,APA2AN00,Expense,877233106
DEFRA,APHA,11/04/2017,EXP - PURCHASE OF GOODS/SERVICES - CONTRACTORS - VETERINARY SERVICES,WALES FIELD OPERATIONS,MENTER A BUSNES,1021923,296178,Providing services for the Veterinary Delivery Partnership Project,SY23 3AH,SUPPLIER(1),,0,Expense,752746904
DEFRA,APHA,11/04/2017,EXP - PURCHASE OF GOODS/SERVICES - CONTRACTORS - VETERINARY SERVICES,NORTH FIELD OPERATIONS,XL FARMCARE MIDLANDS LTD~114213469,1021922,515954.16,Providing services for the Veterinary Delivery Partnership Project,ST15 8NA,CUSTOMER,,0,Expense,
DEFRA,APHA,12/04/2017,EXP - PURCHASE OF GOODS/SERVICES - CONTRACTORS - VETERINARY SERVICES,WALES FIELD OPERATIONS,IECHYD DA (GWLEDIG) LTD,1021959,389765.44,Providing services for the Veterinary Delivery Partnership Project,SY23 2WD,SUPPLIER(1),,0,Expense,185 4883 60
DEFRA,APHA,12/04/2017,EXP - PURCHASE OF GOODS/SERVICES - WASTE MANAGEMENT SERVICES,NORTH FIELD OPERATIONS,JOHN POINTON & SONS LTD,1021990,58485.14,Costs associated with disease outbreak’ ,ST13 7BT,SUPPLIER(1),,APAVIE01,Expense,
DEFRA,APHA,12/04/2017,EXP - PURCHASE OF GOODS/SERVICES - WASTE MANAGEMENT SERVICES,NORTH FIELD OPERATIONS,JOHN POINTON & SONS LTD,1021990,114687.15,Costs associated with disease outbreak’ ,ST13 7BT,SUPPLIER(1),,APAVIE01,Expense,
DEFRA,APHA,12/04/2017,Exp - Purchase Of Goods/Services - Other Professional Services,PLANT VARIETY AND SEEDS,N I A B,1021946,44596.42,Contract Work Lots 6-8 March 2017,CB3 0LE,Public Body,,APA2AO00,Expense,100132207
DEFRA,APHA,12/04/2017,Exp - Purchase Of Goods/Services - Other Professional Services,PLANT VARIETY AND SEEDS,N I A B,1021946,25068.97,Contract Work Lot 9 March 2017,CB3 0LE,Public Body,,APA2AO00,Expense,100132207
DEFRA,APHA,12/04/2017,EXP - PURCHASE OF GOODS/SERVICES - CONTRACTORS - VETERINARY SERVICES,SOUTH WEST FIELD OPERATIONS,XL FARMCARE DEVON & CORNWALL LTD,1021950,488850.6,Providing services for the Veterinary Delivery Partnership Project,EX22 6HB,SUPPLIER(1),,0,Expense,179923008
DEFRA,APHA,12/04/2017,EXP - PURCHASE OF GOODS/SERVICES - CONTRACTORS - VETERINARY SERVICES,SOUTH EAST FIELD OPERATIONS,XL FARMCARE SOUTH EAST LIMITED~178831566,1021947,167348.42,Providing services for the Veterinary Delivery Partnership Project,BN7 2AH,CUSTOMER,,0,Expense,
DEFRA,APHA,13/04/2017,EXP - PURCHASE OF GOODS/SERVICES - OTHER,PHSI LEADERSHIP TEAM,DEFRA,2007000140,150000,Regulatory Fee Scientific Diagnostics,YO1 2YX,SUPPLIER,,0,Expense,888800181
DEFRA,APHA,18/04/2017,EXP - PURCHASE OF GOODS/SERVICES - LAB & TECHNICAL EQUIPMENT,NORTH FIELD OPERATIONS,A HUGHES & SON (SKELLINGTHORPE) LTD,1022131,40678.08,Costs associated with disease outbreak,LN6 4RL,SUPPLIER(1),,APAVIE01,Expense,
DEFRA,APHA,18/04/2017,EXP - PURCHASE OF GOODS/SERVICES - ICT OUTSOURCING & MAINT/SUPPORT,IMT,OPEN TEXT UK LTD,1022152,50585.34,Maintenance agreement renewal for the period 1/4/2017 to 31/3/2018,RG6 1PT,SUPPLIER,17567,0,Expense,
DEFRA,APHA,19/04/2017,Exp - Purchase Of Goods/Services - Other Professional Services,VIROLOGY,ST.GEORGES UNIVERSITY OF LONDON,1022190,25158.5,Support of  collaborative PhD work.,SW17 0RE,ACADEMIES,,0,Expense,
DEFRA,APHA,19/04/2017,Exp - Purchase Of Goods/Services - Other Professional Services,PLANT VARIETY AND SEEDS,THE SCOTTISH GOVERNMENT,2007000142,27992,"Variety testing of Vegetable, Potatoes and Agricultural crops Q4 January to March 2017",EH11 3XD,OGD,,APA2AN00,Expense,GB888842551
DEFRA,APHA,20/04/2017,EXP - PURCHASE OF GOODS/SERVICES - LAB & TECHNICAL EQUIPMENT,SOUTH EAST FIELD OPERATIONS,LIVETEC SYSTEMS LTD,1022407,208260.54,Costs associated with disease outbreak’ ,MK45 4HR,SUPPLIER(1),,APAVIE01,Expense,118204348
DEFRA,APHA,20/04/2017,EXP - PURCHASE OF GOODS/SERVICES - TRAVEL BOOKING,HARD & NOTIONAL CHARGES,REDFERN TRAVEL LTD,1022481,186219,"Payment of March 2017  APHA 
travel charges to Redfern Travel Ltd",,,,,,708374133
DEFRA,APHA,20/04/2017,EXP - PURCHASE OF GOODS/SERVICES - CONTRACTORS - VETERINARY SERVICES,NORTH FIELD OPERATIONS,XL FARMCARE NORTH LTD. ~175942866,1022417,311928.96,Providing services for the Veterinary Delivery Partnership Project,,,,,,
DEFRA,APHA,25/04/2017,EXP - PURCHASE OF GOODS/SERVICES - LAB & TECHNICAL EQUIPMENT,NORTH FIELD OPERATIONS,A HUGHES & SON (SKELLINGTHORPE) LTD,1022718,128662.56,Costs associated with disease outbreak,,,,,,
DEFRA,APHA,26/04/2017,EXP - PURCHASE OF GOODS/SERVICES - ICT OUTSOURCING & MAINT/SUPPORT,SAFETY,RIVO SOFTWARE LIMITED,1022779,71379,Software licence renewal for the period 25/02/2017 to 24/02/2018,,,,,,797680558
DEFRA,APHA,27/04/2017,EXP - PURCHASE OF GOODS/SERVICES - ICT OUTSOURCING & MAINT/SUPPORT,IMT,S F W LTD,1022967,32143.19,Managed services contract for the period 1 October 2016 to 30 September 2017,,,,,,591784202
DEFRA,APHA,28/04/2017,EXP - PURCHASE OF GOODS/SERVICES - OFFICE RELATED - COURIER COSTS,LAB SERVICES ,TOPSPEED COURIERS LIMITED,1023100,44861,"Collections from various laboratory locations during March 2017.
",,,,,,413638853
DEFRA,CCW,19/04/2017,Consultancy Services,Regulation,PRICEWATERHOUSECOOPERS LLP,1354739511,36000,Support for market reform ,SE1 2RD,LARGE,N/A,N/A,Programme,243823957
DEFRA,CEFAS,13/04/2017,Lab Consumables,Operations,Eastern Inshore Fisheries & Conservation Authority,20102572,300000,Grant funding for Vessel Monitoring System units,PE30 2JG,STAN,,MB002,Lab Consumables,
DEFRA,CEFAS,27/04/2017,Software (including licences),Corporate,Comparex UK Ltd,20103266,196264.08,Software subscriptions - Office 365,YO61 3FE,STANSME,,50601,Software (including licences),
DEFRA,JNCC,03/04/2017,Corporate card purchases,All Programmes,THE ROYAL BANK OF SCOTLAND                                  ,0024 March 2017,26592.41,Procurement card expenditure,SS1  9AJ,Large,,Various,Administration,
DEFRA,KEW,06/04/2017,Property Related,Comparative Plant & Fungal Biology,Bruker UK Limited,7024465,107796,NANOBAY CONSOLE,CV4 9GH,UK Supplier,RBGKEW/316,,Laboratory machinery & equipt,
DEFRA,KEW,06/04/2017,Property Related,Estates,Cofely Ltd,7024887,146049.1,monthly PPM at kew gardens technical maintenance,HP12 3TA,UK Supplier,RBGKEW/049,,Planned Maintenance,
DEFRA,KEW,06/04/2017,Property Related,Estates,Cofely Ltd,7024886,146049.1,monthly PPM at Kew Gardens technical maintenance for the period 11.01.17 to 10.02.17,HP12 3TA,UK Supplier,RBGKEW/049,,Planned Maintenance,
DEFRA,KEW,06/04/2017,ICT,Information Technology,MCSA Group Ltd,7024946,39516.06,"HPE DL560, HPE 64GB 4RX4 PC4 KIT, HPE DL560 GEN 9 CPU, HPE TRAINING CREDITS PROLIANT = CDI SVC",HP11 2BG,UK Supplier,RBGKEW/395,,"Computer EQPT £2,000 and over",GB333295266
DEFRA,KEW,06/04/2017,Consultancy & Professional Services,Capital Development Programme,Mott Macdonald Limited,7024551,43135,PROFESSIONAL SERVICES,CR0 2EE,UK Supplier,RBGKEW/247,,Consultancy - Proprty & Constr,GB523765636
DEFRA,KEW,06/04/2017,Capital/Equipment,Capital Development Programme,Mott Macdonald Limited,7024694,168776.52,RBGKEW/247 Professional services. Payment No. 003 for work done on task order 001,CR0 2EE,UK Supplier,RBGKEW/247,,Construction & Design Services,GB523765636
DEFRA,KEW,06/04/2017,Training,Information Technology,Q Associates Limited,7024948,161433.7,DESCRIPTION (SW-2CL-BASE AND VARIOUS ITEMS),W1U 6AG,UK Supplier,RBGKEW/267,,Training,GB36374153
DEFRA,KEW,06/04/2017,ICT,Information Technology,Q Associates Limited,7024941,42504.04,"X5526A-R6, DS212C-07-8.0-12B-QS, X800-42U-R6, OS-ONTAP1-CAP1 ADDON-QS,X66032A AND CS-S-SSP-NBR-VA",W1U 6AG,UK Supplier,RBGKEW/267,,"Computer EQPT £2,000 and over",GB36374153
DEFRA,KEW,06/04/2017,Consultancy & Professional Services,Information Technology,Q Associates Limited,7024948,161433.7,DESCRIPTION (SW-2CL-BASE AND VARIOUS ITEMS),W1U 6AG,UK Supplier,RBGKEW/267,,Professional Services - IT,GB36374153
DEFRA,KEW,10/04/2017,Cost of Sales,Commercial Activity,Raymond Gubbay Ltd,7025038,80192,FINAL AGREED PROFIT SHARE FOR CHRISTMAS AT KEW 2016,EC4A 1QH,UK Supplier,n/a,,Commission,
DEFRA,KEW,12/04/2017,Capital/Equipment,Temperate House,Turner & Townsend Project Management Ltd,7024437,30815.3,Kew Temperate House Precinct Project - ref lon01 ppm21165,WC2E 9HE,UK Supplier,n/a,,New Works - pt1 - prof fees,
DEFRA,KEW,12/04/2017,Capital/Equipment,Temperate House,ISG Construction Ltd,7025087,1167894.87,TEMP HOUSE PROJECT,EC3N 1AG,UK Supplier,n/a,,New works-Pt I-other costs,
DEFRA,KEW,12/04/2017,Consultancy & Professional Services,Estates,Montagu Evans LLP,7024704,130031,KEW GARDENS ESTATES 2025 PHASE 2,W1J 8BA,UK Supplier,RBGKEW/262,,Consultancy - Procurement,
DEFRA,KEW,12/04/2017,Consumables & Materials,Wakehurst Horticulture,Wise Worksafe Ltd,7025188,39678.23,VARIOUS ITEMS ON PO 504082,HA7 1PZ,UK Supplier,RBGKEW/454,,Uniforms and logo'd clothing,862594296
DEFRA,KEW,12/04/2017,Property Related,Estates,Radiocoms Systems Ltd,7025034,33425,MAINTENANCE CHARGE FOR RADIO EQUIPMENT ON CONTRACT FOR THE PERIOD 01/04/2017 - 31/03/2022,NW10 6QD,UK Supplier,RBGKEW/287,,Reactive Maintenance - Telecom,GB204597703
DEFRA,KEW,12/04/2017,Capital/Equipment,Estates,Secure I.T. Environments Ltd,7025078,74603.02,KEW MILLENIUM SEED BANK WAKEHURST PROJECT 11481 COLD ROOM EXT,SG18 0AP,UK Supplier,RBGKEW/301,,Construction & Design Services,822097831
DEFRA,KEW,19/04/2017,Property Related,Estates,Cofely Ltd,7024673,128741.4,LIFECYCLE RETROSPECTIVE FOR THE PERIOD JUNE 2015-DECEMBER 2016,HP12 3TA,UK Supplier,RBGKEW/049,,Maintenance-Reactive,
DEFRA,KEW,19/04/2017,ICT,Information Technology,Axis12,7025192,26400,48 DAYS SUPPORT TASKS 01/04/16 TO 31/03/17,N1 2HY,UK Supplier,RBGKEW/115,,IT 3rd party Cloud services,
DEFRA,KEW,19/04/2017,Property Related,Estates,Julius Rutherfoord Commercial Cleaning,7023732,32852.31,Invoice for January 2017 - daily cleaning at Kew,SW8 3NS,UK Supplier,n/a,,Office and window cleaning,
DEFRA,KEW,19/04/2017,Consumables & Materials,Wakehurst Horticulture,Gibsons Garden Machinery Ltd,7025472,26594,"RBGKEW/371, 3 KUBOTA RTV500 PETROL 4WD UTILITY VEHICLES AND DELIVERY & OPERATOR INSTALLATION TRAINING",BB8 8LJ,UK Supplier,RBGKEW/385,,Arboricultural equipment,748 7053 06
DEFRA,KEW,26/04/2017,Finance Charges,Legal,AON Limited,7025628,53672.58,INSURANCE PREMIUM  POLICY NO SRD00012998,G2 5NX,UK Supplier,RBGKEW/101,,Insurance,
DEFRA,KEW,26/04/2017,Consultancy & Professional Services,Commercial Activity,Curated Place Ltd,7025542,26015,"PLAN, INSTALL & DELIVER FESTIVAL CONTENT FOR EASTER 2017 COMPLETION PAYMENT & ADDITIONAL NEWSPAPER PRINT",M11 1GT,UK Supplier,n/a,,Prof Fees - Events & Conferncs,
DEFRA,KEW,26/04/2017,Capital/Equipment,Estates,JJL Consultancy,7024923,25600,INTERIM PROGRAME DIRECTOR FEBRUARY & MARCH 2017,TN7 4BH,UK Supplier,RBGKEW/254,,New Works Part 1 Consultancy,169232888
DEFRA,MMO,03/04/2017,PPE - POA & AUC (OWNED) - COST - SYSTEM CLEARING,BALANCE SHEET,ONESYS LTD,1005003567,27745,Supply of Time Recording and Reporting System for Marine Management Organisation,YO26 9TD,SUPPLIER,,0,Asset,
DEFRA,MMO,05/04/2017,EXP - PURCHASE OF GOODS/SERVICES - OTHER - FLEXIBLE SURVEILLANCE,MMO HEAD OF COASTAL OPS,THE SCOTTISH GOVERNMENT,2005000062,45000,UK Fisheries Monitoring Centre and UK Service Delivery Manager charges 01 January 2017 to 31st March 2017,EH6 6QQ,OGD,,0,Expense,
DEFRA,MMO,13/04/2017,CA - OTHER RECEIVABLES - TRAVEL PROVIDER CONTROL ACCOUNT,BALANCE SHEET,REDFERN TRAVEL LTD,1005003777,75261.09,Marine Management Organisation Redfern travel bill for March 2017,BD1 1PL,SUPPLIER,Government contract,0,Expense,
DEFRA,RPA,04/04/2017,IT Outsourced services,CAP DP,Atos ,5584229084,141587.33,"G-Cloud Services CAPD, PaaS & IaaS Prod B Hosting, Out of hours support & Additional Management Service - Feb 17",NW1 3HG.,Supplier,PO102623,n/a,Admin,GB232327983
DEFRA,RPA,04/04/2017,IT Hardware - In-year Clearing (requisitions),CAP DP,Insight,3299441,119878.71,Kit for move to CHS-,UB8 1PH,Supplier,PO102842,n/a,Admin,GB746075129
DEFRA,RPA,04/04/2017,Records Management & File Destruction Costs,Information Management & Architecture,TNT,9641664,32286.61,Provision of record management services,DE11 1EG,Supplier,PO102104,n/a,Admin,354 7150 57
DEFRA,RPA,05/04/2017,IT Application Support & Maintenance,Cyient Contracts,Bramble Hub,6840,72000,017 Draw Down Days LMS & Portal. Support minor enhancements-,SE1 7SP,Supplier,PO102857,n/a,Admin,190 6798 23
DEFRA,RPA,05/04/2017,Contractors - Implementation,Various,Capita Business Ltd,LO10189350,79661.18,Fees and Expenses for the period ending 25th March 2017 ,SW1P 1JB,Supplier,n/a,n/a,Admin,GB618184141
DEFRA,RPA,05/04/2017,IT Hardware - In-year Clearing (requisitions),Cyient Contracts,Insight,3274350,50295.62,LPIS LMS Scaling Kit-,UB8 1PH,Supplier,PO102828,n/a,Admin,GB746075129
DEFRA,RPA,05/04/2017,"Customer Related Printing - Forms, Booklets & Letters
Down Stream Access mailing services
Outsourced Scanning Costs",Managed Document Service (MDS),Williams Lea,DEFRA-RPA17030003,62128.31,"Production, post and scanning costs",EC1M 4NA,Supplier,PO102739,MDSBCMS1,Admin,GB662774703
DEFRA,RPA,06/04/2017,IT Application Support & Maintenance,Service Management (Programme),Sopra Steria,100106099,201547.12,CCN025 - Fixed Price Payment in advance for Core Support Services April - June 2017,HP2 7AH,Supplier,PO102167,CORS0150,Admin,GB 207 9508 55
DEFRA,RPA,10/04/2017,Variuos,Various,Barclaycard Business,47153206490/03Apr17,35705.31,GPC spend for March'17,LE18 9EN,Supplier,n/a,n/a,Admin,Blank
DEFRA,RPA,10/04/2017,"Down Stream Access mailing services
Outsourced Scanning Costs
Customer Related Printing - Forms, Booklets & Letters","CAP DP
Managed Document Service (MDS)",Williams Lea,DEFRA-RPA17030002,50984.93,"Production, post and scanning costs",EC1M 4NA,Supplier,"PO102740, PO102707
PO102835","MDSBPS01, MDSFIN01",Admin,GB662774703
DEFRA,RPA,11/04/2017,IT Stress Tests,Cyient Contracts,Bramble Hub,6869,26559.72,Extended UAT Support LPIS,SE1 7SP,Supplier,PO102827,n/a,Admin,190 6798 23
DEFRA,RPA,11/04/2017,IT Outsourced services,CAP DP,UKCloud,106501,66085.14,V Cloud Templates and Media Storage Charge.,GU14 0LX,Supplier,PO102498,n/a,Admin,Blank
DEFRA,RPA,13/04/2017,"IT Outsourced services
IT Consultancy – Implementation
IT Application Support & Maintenance","CAP DP
Service Management (Admin)
Service Management (Programme)",Accenture ,3003352787,525092.98,"Hot Service CCN 49, R317881 - Document Migration, Call Off Support #13, CCN92 HP2.5 LIDM & SDM Service Support April - May 17, CCN77/R298091 - Land Strategic Solution Phase 2 Operational Running, CCN92 HP2.5 LIDM & SDM SREPDB01 Env Support, CCN92 HP2.5 LIDM & SDM Service Support April - May 17, R317638 - Data Warehouse support post CDR & CCN90 Environment Support Services Jan - March 2017#",EC3M 3BD,Supplier,"65289, PO102798
PO102398, PO102711
PO102644, PO102695
",SPSS0110,Admin,GB888800184
DEFRA,RPA,13/04/2017,IT Outsourced services,CAP DP,Bramble Hub,6870,30458.49,DevOps and Release Manager resource for Jan - Mar 17-,SE1 7SP,Supplier,PO102838,n/a,Admin,190 6798 23
DEFRA,RPA,13/04/2017,Contractors - Implementation,Various,Capita Business Ltd,LO10190196,93645.19,Fees and Expenses for the period ending 1st April 2017,SW1P 1JB,Supplier,n/a,n/a,Admin,GB618184141
