,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Land use on agricultural holdings on 1 June (a),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thousand hectares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,revised,2010,2011,2012,2013,2014,2015,2016,% change,,,
         Woodland  ,  183,  187,  193,  198,  202,  207,  214,  219,  224,  233,  244,  247,  251,  252,  251,  257,  255,  254,  266,  267,  263,  274,  292,  296,  305,  319,  357,  304,  295,  305,  308,  325,  331,  348,  370,6.6%,,,
         Land used for outdoor pigs (g),n/c,n/c,n/c,n/c,n/c,n/c,n/c,n/c,n/c,n/c,n/c,n/c,n/c,n/c,n/c,n/c,n/c,n/c,n/c,n/c,n/c,n/c,n/c,n/c,n/c,n/c,n/c,n/c,  10,  9,  7,  9,  8,  9,  10,12.5%,,,
         All non-agricultural land,  139,  141,  144,  146,  147,  148,  184,  156,  157,  160,  184,  189,  194,  193,  196,  198,  202,  194,  199,  193,  177,  156,  186,  162,  190,  187,  172,  154,  146,  146,  150,  142,  138,  131,  143,9.0%,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
