,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
Essex,1,25.0%,3,75.0%,292,81.1%,68,18.9%,49,74.2%,17,25.8%,26,86.7%,4,13.3%,11,100.0%,0,0.0%,151,90.4%,16,9.6%,20,64.5%,11,35.5%,46,90.2%,5,9.8%,75,93.8%,5,6.3%,46,88.5%,6,11.5%,14,73.7%,5,26.3%,176,84.2%,33,15.8%,14,100.0%
Gloucestershire,0,-,0,-,66,77.6%,19,22.4%,5,100.0%,0,0.0%,6,100.0%,0,0.0%,0,0.0%,1,100.0%,55,90.2%,6,9.8%,7,77.8%,2,22.2%,15,93.8%,1,6.3%,18,100.0%,0,0.0%,13,76.5%,4,23.5%,4,100.0%,0,0.0%,67,91.8%,6,8.2%,7,100.0%
GreaterManchester,4,100.0%,0,0.0%,561,80.6%,135,19.4%,73,70.2%,31,29.8%,59,90.8%,6,9.2%,27,90.0%,3,10.0%,225,97.0%,7,3.0%,25,89.3%,3,10.7%,91,83.5%,18,16.5%,108,91.5%,10,8.5%,149,93.1%,11,6.9%,45,86.5%,7,13.5%,360,83.7%,70,16.3%,21,100.0%
Gwent,2,100.0%,0,0.0%,104,83.2%,21,16.8%,7,87.5%,1,12.5%,14,82.4%,3,17.6%,1,100.0%,0,0.0%,81,92.0%,7,8.0%,6,100.0%,0,0.0%,18,81.8%,4,18.2%,31,88.6%,4,11.4%,24,88.9%,3,11.1%,6,85.7%,1,14.3%,83,85.6%,14,14.4%,4,100.0%
Hampshire,3,75.0%,1,25.0%,289,86.0%,47,14.0%,39,75.0%,13,25.0%,27,93.1%,2,6.9%,4,80.0%,1,20.0%,191,96.5%,7,3.5%,31,86.1%,5,13.9%,32,84.2%,6,15.8%,63,98.4%,1,1.6%,58,80.6%,14,19.4%,21,91.3%,2,8.7%,178,92.2%,15,7.8%,18,100.0%
Hertfordshire,1,100.0%,0,0.0%,180,76.3%,56,23.7%,16,69.6%,7,30.4%,24,92.3%,2,7.7%,5,100.0%,0,0.0%,166,92.2%,14,7.8%,20,90.9%,2,9.1%,27,77.1%,8,22.9%,83,93.3%,6,6.7%,39,78.0%,11,22.0%,12,92.3%,1,7.7%,164,82.8%,34,17.2%,12,100.0%
Humberside,3,75.0%,1,25.0%,215,90.0%,24,10.0%,14,82.4%,3,17.6%,27,87.1%,4,12.9%,12,66.7%,6,33.3%,132,93.0%,10,7.0%,10,90.9%,1,9.1%,32,86.5%,5,13.5%,57,95.0%,3,5.0%,68,93.2%,5,6.8%,8,100.0%,0,0.0%,112,91.1%,11,8.9%,18,100.0%
Kent,8,100.0%,0,0.0%,273,75.6%,88,24.4%,20,69.0%,9,31.0%,26,86.7%,4,13.3%,11,84.6%,2,15.4%,162,92.0%,14,8.0%,26,89.7%,3,10.3%,53,81.5%,12,18.5%,89,98.9%,1,1.1%,54,77.1%,16,22.9%,30,90.9%,3,9.1%,160,93.0%,12,7.0%,15,100.0%
Lancashire,1,100.0%,0,0.0%,224,80.3%,55,19.7%,15,83.3%,3,16.7%,47,94.0%,3,6.0%,16,76.2%,5,23.8%,196,96.1%,8,3.9%,20,90.9%,2,9.1%,44,88.0%,6,12.0%,83,88.3%,11,11.7%,100,86.2%,16,13.8%,20,83.3%,4,16.7%,189,81.5%,43,18.5%,12,100.0%
Leicestershire,1,100.0%,0,0.0%,163,88.1%,22,11.9%,30,83.3%,6,16.7%,18,85.7%,3,14.3%,7,63.6%,4,36.4%,109,94.0%,7,6.0%,17,81.0%,4,19.0%,40,87.0%,6,13.0%,42,89.4%,5,10.6%,49,80.3%,12,19.7%,6,85.7%,1,14.3%,121,84.6%,22,15.4%,6,100.0%
Lincolnshire,0,0.0%,2,100.0%,130,81.3%,30,18.8%,6,100.0%,0,0.0%,21,100.0%,0,0.0%,1,100.0%,0,0.0%,77,92.8%,6,7.2%,10,90.9%,1,9.1%,17,94.4%,1,5.6%,28,96.6%,1,3.4%,32,80.0%,8,20.0%,12,80.0%,3,20.0%,107,74.3%,37,25.7%,7,100.0%
Merseyside,2,66.7%,1,33.3%,307,85.0%,54,15.0%,39,86.7%,6,13.3%,17,94.4%,1,5.6%,3,75.0%,1,25.0%,163,96.4%,6,3.6%,20,87.0%,3,13.0%,42,82.4%,9,17.6%,182,91.5%,17,8.5%,72,84.7%,13,15.3%,31,86.1%,5,13.9%,195,89.0%,24,11.0%,22,100.0%
Metropolitan and City,19,57.6%,14,42.4%,"1,703",69.3%,753,30.7%,170,73.0%,63,27.0%,187,82.4%,40,17.6%,88,72.1%,34,27.9%,880,85.5%,149,14.5%,265,83.3%,53,16.7%,239,78.4%,66,21.6%,"1,039",91.1%,101,8.9%,463,75.5%,150,24.5%,103,79.8%,26,20.2%,964,76.9%,290,23.1%,224,100.0%
Norfolk,1,100.0%,0,0.0%,195,82.3%,42,17.7%,13,68.4%,6,31.6%,12,100.0%,0,0.0%,3,75.0%,1,25.0%,144,96.0%,6,4.0%,11,68.8%,5,31.3%,55,90.2%,6,9.8%,63,95.5%,3,4.5%,89,95.7%,4,4.3%,10,83.3%,2,16.7%,118,96.7%,4,3.3%,9,100.0%
Northamptonshire,2,100.0%,0,0.0%,112,77.8%,32,22.2%,6,100.0%,0,0.0%,11,78.6%,3,21.4%,5,83.3%,1,16.7%,72,90.0%,8,10.0%,10,100.0%,0,0.0%,28,93.3%,2,6.7%,30,96.8%,1,3.2%,28,90.3%,3,9.7%,10,76.9%,3,23.1%,97,89.0%,12,11.0%,8,100.0%
Northumbria,3,100.0%,0,0.0%,251,73.0%,93,27.0%,52,75.4%,17,24.6%,41,85.4%,7,14.6%,6,54.5%,5,45.5%,239,91.2%,23,8.8%,14,93.3%,1,6.7%,74,83.1%,15,16.9%,79,91.9%,7,8.1%,146,81.1%,34,18.9%,14,82.4%,3,17.6%,225,85.6%,38,14.4%,19,100.0%
North Wales,1,50.0%,1,50.0%,145,78.8%,39,21.2%,16,72.7%,6,27.3%,20,90.9%,2,9.1%,1,100.0%,0,0.0%,124,94.7%,7,5.3%,16,80.0%,4,20.0%,28,87.5%,4,12.5%,44,100.0%,0,0.0%,60,90.9%,6,9.1%,10,90.9%,1,9.1%,113,88.3%,15,11.7%,10,100.0%
North Yorkshire,2,100.0%,0,0.0%,136,87.7%,19,12.3%,2,40.0%,3,60.0%,16,84.2%,3,15.8%,2,100.0%,0,0.0%,106,93.8%,7,6.2%,6,85.7%,1,14.3%,35,92.1%,3,7.9%,35,94.6%,2,5.4%,59,90.8%,6,9.2%,21,95.5%,1,4.5%,122,89.7%,14,10.3%,8,100.0%
Nottinghamshire,2,66.7%,1,33.3%,271,77.2%,80,22.8%,38,79.2%,10,20.8%,23,79.3%,6,20.7%,7,87.5%,1,12.5%,166,88.8%,21,11.2%,17,100.0%,0,0.0%,54,85.7%,9,14.3%,121,93.8%,8,6.2%,79,80.6%,19,19.4%,16,100.0%,0,0.0%,131,77.1%,39,22.9%,21,100.0%
South Wales,2,100.0%,0,0.0%,354,72.4%,135,27.6%,22,62.9%,13,37.1%,45,86.5%,7,13.5%,11,64.7%,6,35.3%,258,94.9%,14,5.1%,22,88.0%,3,12.0%,74,87.1%,11,12.9%,192,97.0%,6,3.0%,108,83.7%,21,16.3%,25,89.3%,3,10.7%,218,83.8%,42,16.2%,12,100.0%
South Yorkshire,2,100.0%,0,0.0%,183,78.5%,50,21.5%,2,100.0%,0,0.0%,31,83.8%,6,16.2%,12,80.0%,3,20.0%,220,91.7%,20,8.3%,11,78.6%,3,21.4%,60,83.3%,12,16.7%,83,94.3%,5,5.7%,88,91.7%,8,8.3%,8,88.9%,1,11.1%,182,89.2%,22,10.8%,27,100.0%
Staffordshire,3,100.0%,0,0.0%,208,75.4%,68,24.6%,23,74.2%,8,25.8%,17,85.0%,3,15.0%,1,50.0%,1,50.0%,146,96.7%,5,3.3%,12,75.0%,4,25.0%,62,87.3%,9,12.7%,56,93.3%,4,6.7%,62,91.2%,6,8.8%,14,93.3%,1,6.7%,132,81.0%,31,19.0%,16,100.0%
Suffolk,0,-,0,-,123,82.6%,26,17.4%,11,84.6%,2,15.4%,7,87.5%,1,12.5%,1,50.0%,1,50.0%,55,93.2%,4,6.8%,3,75.0%,1,25.0%,29,93.5%,2,6.5%,45,93.8%,3,6.3%,45,86.5%,7,13.5%,4,80.0%,1,20.0%,90,93.8%,6,6.3%,12,100.0%
Surrey,0,-,0,-,115,81.0%,27,19.0%,16,69.6%,7,30.4%,7,87.5%,1,12.5%,4,66.7%,2,33.3%,40,83.3%,8,16.7%,10,76.9%,3,23.1%,16,94.1%,1,5.9%,23,100.0%,0,0.0%,30,83.3%,6,16.7%,6,75.0%,2,25.0%,108,95.6%,5,4.4%,11,100.0%
Sussex,0,-,0,-,200,86.2%,32,13.8%,30,83.3%,6,16.7%,25,92.6%,2,7.4%,6,100.0%,0,0.0%,125,96.2%,5,3.8%,30,88.2%,4,11.8%,33,82.5%,7,17.5%,75,97.4%,2,2.6%,65,89.0%,8,11.0%,9,81.8%,2,18.2%,186,90.3%,20,9.7%,10,100.0%
Thames Valley,6,100.0%,0,0.0%,353,74.6%,120,25.4%,47,61.0%,30,39.0%,49,86.0%,8,14.0%,14,73.7%,5,26.3%,216,93.5%,15,6.5%,29,80.6%,7,19.4%,42,75.0%,14,25.0%,140,94.6%,8,5.4%,92,84.4%,17,15.6%,27,93.1%,2,6.9%,274,88.7%,35,11.3%,26,100.0%
Warwickshire,0,-,0,-,66,83.5%,13,16.5%,7,87.5%,1,12.5%,11,100.0%,0,0.0%,6,100.0%,0,0.0%,86,98.9%,1,1.1%,8,72.7%,3,27.3%,12,92.3%,1,7.7%,15,100.0%,0,0.0%,27,84.4%,5,15.6%,5,100.0%,0,0.0%,87,86.1%,14,13.9%,7,100.0%
West Mercia,2,100.0%,0,0.0%,228,85.4%,39,14.6%,30,83.3%,6,16.7%,25,86.2%,4,13.8%,7,63.6%,4,36.4%,137,95.1%,7,4.9%,7,70.0%,3,30.0%,50,92.6%,4,7.4%,59,98.3%,1,1.7%,67,88.2%,9,11.8%,11,100.0%,0,0.0%,200,87.7%,28,12.3%,11,100.0%
West Midlands,4,80.0%,1,20.0%,645,77.1%,192,22.9%,55,65.5%,29,34.5%,80,82.5%,17,17.5%,41,87.2%,6,12.8%,586,94.1%,37,5.9%,71,97.3%,2,2.7%,90,84.1%,17,15.9%,225,93.8%,15,6.3%,235,81.3%,54,18.7%,99,95.2%,5,4.8%,399,81.4%,91,18.6%,92,100.0%
West Yorkshire,2,66.7%,1,33.3%,449,77.0%,134,23.0%,56,72.7%,21,27.3%,69,87.3%,10,12.7%,15,88.2%,2,11.8%,300,94.3%,18,5.7%,47,97.9%,1,2.1%,91,84.3%,17,15.7%,134,97.8%,3,2.2%,116,87.2%,17,12.8%,23,88.5%,3,11.5%,255,82.8%,53,17.2%,40,100.0%
Wiltshire,0,-,0,-,93,86.1%,15,13.9%,7,77.8%,2,22.2%,6,100.0%,0,0.0%,0,0,0,0,57,95.0%,3,5.0%,10,100.0%,0,0.0%,12,66.7%,6,33.3%,29,93.5%,2,6.5%,30,93.8%,2,6.3%,7,100.0%,0,0.0%,64,92.8%,5,7.2%,6,100.0%
