Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,AP Amount,Purchase Invoice Number
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Contr Photocopier Rental,CHLAMYDIA SCREENING OFFICE SOUTH,CANON UK LTD,4202402,452.41,401360659
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Contr Photocopier Rental,CFD REDEVELOPMENT,CANON UK LTD,4202402,118.51,401360659
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Contr Photocopier Rental,CASH Wheatbridge,CANON UK LTD,4202402,95.58,401360659
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Contr Photocopier Rental,CASH MANAGEMENT,CANON UK LTD,4202402,184.05,401360659
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Contr Photocopier Rental,C'FIELD PODIATRIC SURGERY,CANON UK LTD,4202402,19.33,401360659
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Contr Photocopier Rental,BUXTON IP TC FENTON,CANON UK LTD,4202402,3.08,401360659
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Office Equipment,BUXTON   MIU,CANON UK LTD,4202402,98.03,401360659
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Contr Photocopier Rental,BUXTON   MIU,CANON UK LTD,4202402,98.03,401360659
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Contr Photocopier Rental,BELPER CLINIC ADMIN,CANON UK LTD,4202402,31.97,401360659
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Contr Photocopier Rental,BABINGTON HOSPITAL ADMIN,CANON UK LTD,4202402,221.88,401360659
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Contr Photocopier Rental,BABINGTON HOSP PHYSIO-OP,CANON UK LTD,4202402,48.73,401360659
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Contr Photocopier Rental,BABINGTON DAY UNIT,CANON UK LTD,4202402,83.4,401360659
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Contr Photocopier Rental,BABINGTON  BARON WARD,CANON UK LTD,4202402,47.5,401360659
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Contr Photocopier Rental,ASH GREEN HILLSIDE,CANON UK LTD,4202402,347.9,401360659
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Contr Photocopier Rental,ASH GREEN ADMINISTRATION,CANON UK LTD,4202402,542.56,401360659
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Contr Photocopier Rental,INTEGRATION,CANON UK LTD,4202402,510.71,401360659
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Contr Photocopier Rental,INHSE DISAB EQUIP - HW,CANON UK LTD,4202402,36.06,401360659
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Contr Photocopier Rental,INFECTION PREVENTION AND CONTROL,CANON UK LTD,4202402,501.51,401360659
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Contr Photocopier Rental,ILKESTON IP TC - HOPEWELL WARD,CANON UK LTD,4202402,226.46,401360659
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Contr Photocopier Rental,ILKESTON HOSP ADMIN,CANON UK LTD,4202402,2538.1,401360659
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Contr Photocopier Rental,ILK HOSP HEALTH RECORDS,CANON UK LTD,4202402,850.06,401360659
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Contr Photocopier Rental,ICH - RADIOLOGY,CANON UK LTD,4202402,30.19,401360659
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Contr Photocopier Rental,ICH - PHYSIO - OP,CANON UK LTD,4202402,255.4,401360659
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Contr Photocopier Rental,ICH - OT OUT PATIENT,CANON UK LTD,4202402,42.16,401360659
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Contr Photocopier Rental,ICH - MIU,CANON UK LTD,4202402,1392.09,401360659
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Contr Photocopier Rental,ICH - DTC,CANON UK LTD,4202402,77.8,401360659
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Contr Photocopier Rental,COMMUNICATIONS,CANON UK LTD,4202402,176.7,401360659
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Contr Photocopier Rental,DALES - PODIATRY,CANON UK LTD,4202402,61.27,401360659
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Contr Photocopier Rental,DCHS Board Cost,CANON UK LTD,4202402,820.17,401360659
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Contr Photocopier Rental,DISTRICT NURSING BELPER,CANON UK LTD,4202402,83.8,401360659
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Contr Photocopier Rental,ECKINGTON HC ADMIN,CANON UK LTD,4202402,106.04,401360659
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Contr Photocopier Rental,ESTATES ADMINISTRATION,CANON UK LTD,4202402,1068.29,401360659
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Contr Photocopier Rental,FERNILEA DAY UNIT - EMI,CANON UK LTD,4202402,171.83,401360659
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Contr Photocopier Rental,FINANCIAL ACCOUNTS,CANON UK LTD,4202402,145.14,401360659
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Contr Photocopier Rental,HEANOR HOSPITAL ADMIN,CANON UK LTD,4202402,156.18,401360659
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Contr Photocopier Rental,HOTEL MANAGEMENT NORTH,CANON UK LTD,4202402,20.81,401360659
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Contr Photocopier Rental,HOTEL MANAGEMENT SOUTH,CANON UK LTD,4202402,177.41,401360659
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Contr Photocopier Rental,HR SENIOR MGT TEAM,CANON UK LTD,4202402,421.84,401360659
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,SrvcsRecd-FoundationTrust,PROVIDER SLA,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,4594187,55743,4513106
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,SrvcsRecd-FoundationTrust,PROVIDER SLA,CHESTERFIELD ROYAL HOSPITAL NHS FOUNDATION TRUST,4900944,55743,4513381
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Wheelchairs,WHEELCHAIR SERVICES,CLARK & PARTNERS LTD,4721535,24819.25,18330010
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,SrvcsRecd-FoundationTrust,PROVIDER SLA,DERBY HOSPITALS NHS FOUNDATION TRUST,4630398,123923.98,307846
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,SrvcsRecd-FoundationTrust,PROVIDER SLA,DERBY HOSPITALS NHS FOUNDATION TRUST,4630425,116652.11,307847
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,SrvcsRecd-FoundationTrust,PROVIDER SLA,DERBY HOSPITALS NHS FOUNDATION TRUST,4698958,116652.11,307832
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,SrvcsRecd-FoundationTrust,PROVIDER SLA,DERBY HOSPITALS NHS FOUNDATION TRUST,4879319,123923.98,307831
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Rates,WHITWORTH - ESTATES,DERBYSHIRE DALES DISTRICT COUNCIL,4657911,30615,7.01E+18
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Rates,NEWHOLME ESTATES,DERBYSHIRE DALES DISTRICT COUNCIL,4800781,50397,7.01E+18
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Independent Sector,DHU PROV OF ENS & NNS SERVS,DERBYSHIRE HEALTH UNITED LTD,4719127,98664,7315
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Independent Sector,DHU PROV OF ENS & NNS SERVS,DERBYSHIRE HEALTH UNITED LTD,4719147,98664,7338
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Drugs,PROVIDER SLA,DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST,4594686,37660.02,12186866
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Clinical Assistant,ASH GREEN MEDICAL STAFF,DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST,4656018,2096,12186858
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Consultant,ASH GREEN MEDICAL STAFF,DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST,4656018,19358,12186858
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Staff Grade Practitioner,ASH GREEN MEDICAL STAFF,DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST,4656018,13423,12186858
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Travel & Subsistence,ASH GREEN MEDICAL STAFF,DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST,4656018,773,12186858
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Drugs,PROVIDER SLA,DERBYSHIRE HEALTHCARE NHS FOUNDATION TRUST,4867101,43031.23,12187005
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Contractual Clinical Srv,RADIOLOGY REPORTING,GLOBAL DIAGNOSTICS LTD,4595248,49340,510
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Contractual Clinical Srv,RADIOLOGY REPORTING,GLOBAL DIAGNOSTICS LTD,4630159,57726,509
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,External Consultancy Fees,SUPPLIES,LEEDS PARTNERSHIPS NHS FOUNDATION TRUST,4504775,40000,973562
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Contr Estate Management,ELECTIVE CARE MANAGEMENT,LEICESTERSHIRE COUNTY & RUTLAND PCT,4879262,-6449.56,17323345
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Contr Other External,ELECTIVE CARE MANAGEMENT,LEICESTERSHIRE COUNTY & RUTLAND PCT,4879262,-21748.55,17323345
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Service Charge,ELECTIVE CARE MANAGEMENT,LEICESTERSHIRE COUNTY & RUTLAND PCT,4879262,-14269.89,17323345
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Services Received - NHSTs,ELECTIVE CARE MANAGEMENT,LEICESTERSHIRE PARTNERSHIP NHS TRUST,4900881,200401,18346
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Services Received - NHSTs,ELECTIVE CARE MANAGEMENT,LEICESTERSHIRE PARTNERSHIP NHS TRUST,4901123,47871.75,18833
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,SrvcsRecd-Other NHS,ASST DIR INT GOVERNANCE,NHS LITIGATION AUTHORITY,4846200,32808,SICX00079807
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Med & Surg Equip Repair,ICH - DTC,NHS SUPPLY CHAIN,3279489,26529.03,2013003656
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Med & Surg Equip Repair,ICH - DTC,NHS SUPPLY CHAIN,4600886,26529.03,2013900508DRCORR
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Med & Surg Equip Repair,ICH - DTC,NHS SUPPLY CHAIN,4600887,-26529.03,2013900508CRCORR
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Med & Surg Equip Repair,LOUGH RADIOGRAPHY,NHS SUPPLY CHAIN,4853571,25930.73,2014000847
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Continence Products,CONTINENCE HOME DELIVERY SERVICE,ONTEX HEALTHCARE UK LTD,4149314,148193.48,2030113371
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Continence Products,CONTINENCE HOME DELIVERY SERVICE,ONTEX HEALTHCARE UK LTD,4779717,134554.17,2030114880
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Voluntary Sector,FAMILY NURSE PARTNERSHIP - FNP,RIPPLEZ CIC,4811287,45333,FNP0091
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Contr Other External,FINANCIAL ACCOUNTS,SHARED BUSINESS SERVICES,SSC SBS SLA.,55923.82,NULL
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Services Received - NHSTs,ELECTIVE CARE MANAGEMENT,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,4698588,35798.68,L0104214
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Services Received - NHSTs,ELECTIVE CARE MANAGEMENT,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,4699030,26529.1,L0105161
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Services Received - NHSTs,RUTLAND MEMORIAL OPD/CASUALTY,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,4787633,16465.5,L0104626
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Services Received - NHSTs,MKT HARB NURSING O P D,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,4787633,21574.09,L0104626
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Services Received - NHSTs,MELTON THEATRE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,4787633,14225.84,L0104626
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Services Received - NHSTs,MELTON OPD,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,4787633,29524.04,L0104626
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Services Received - NHSTs,LOUGH SURGICAL UNIT,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,4787633,25777.51,L0104626
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Services Received - NHSTs,LOUGH OPD,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,4787633,17943.84,L0104626
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Services Received - NHSTs,HINCKLEY  DISTRICT THEATRE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,4787633,16851.53,L0104626
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Services Received - NHSTs,HINCKLEY  DISTRICT OUTPATIENTS,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,4787633,38232.91,L0104626
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Services Received - NHSTs,FIELDING PALMER OP,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,4787633,2934.79,L0104626
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Services Received - NHSTs,ENDOSCOPY ALL SITES,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,4787633,1048.55,L0104626
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Services Received - NHSTs,COALVILLE OP,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,4787633,24285.09,L0104626
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Services Received - NHSTs,COAL/ASHBY CONTRACT MED STAFF,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,4787633,1136.31,L0104626
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Services Received - NHSTs,RADIOLOGY REPORTING,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,4787687,49683,L0105397
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Services Received - NHSTs,RUTLAND MEMORIAL OPD/CASUALTY,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,4798149,16465.5,L0105136
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Services Received - NHSTs,MKT HARB NURSING O P D,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,4798149,21574.09,L0105136
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Services Received - NHSTs,MELTON THEATRE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,4798149,14225.84,L0105136
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Services Received - NHSTs,MELTON OPD,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,4798149,29524.04,L0105136
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Services Received - NHSTs,LOUGH SURGICAL UNIT,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,4798149,25777.51,L0105136
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Services Received - NHSTs,LOUGH OPD,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,4798149,17943.84,L0105136
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Services Received - NHSTs,HINCKLEY  DISTRICT THEATRE,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,4798149,16851.53,L0105136
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Services Received - NHSTs,HINCKLEY  DISTRICT OUTPATIENTS,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,4798149,38232.91,L0105136
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Services Received - NHSTs,FIELDING PALMER OP,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,4798149,2934.79,L0105136
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Services Received - NHSTs,ENDOSCOPY ALL SITES,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,4798149,1048.55,L0105136
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Services Received - NHSTs,COALVILLE OP,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,4798149,24285.09,L0105136
Department of Health,Derbyshire Community Health Services NHS Trust,31/05/2013,Services Received - NHSTs,COAL/ASHBY CONTRACT MED STAFF,UNIVERSITY HOSPITALS OF LEICESTER NHS TRUST,4798149,1136.31,L0105136
