Department,Entity,Date,Expense Type,Expense Area,Supplier,Transaction number,Amount
Department of Health,Hull and East Yorkshire NHS Trust,08-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,BECKMAN COULTER UK,1205156 - 67,192.35
Department of Health,Hull and East Yorkshire NHS Trust,08-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,BECKMAN COULTER UK,1205156 - 66,0.00
Department of Health,Hull and East Yorkshire NHS Trust,08-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,BECKMAN COULTER UK,1205156 - 65,0.00
Department of Health,Hull and East Yorkshire NHS Trust,08-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,BECKMAN COULTER UK,1205156 - 64,16.43
Department of Health,Hull and East Yorkshire NHS Trust,08-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,BECKMAN COULTER UK,1205156 - 63,65.14
Department of Health,Hull and East Yorkshire NHS Trust,08-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,BECKMAN COULTER UK,1205156 - 62,16.43
Department of Health,Hull and East Yorkshire NHS Trust,08-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,BECKMAN COULTER UK,1205156 - 61,19.60
Department of Health,Hull and East Yorkshire NHS Trust,08-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,BECKMAN COULTER UK,1205156 - 60,222.52
Department of Health,Hull and East Yorkshire NHS Trust,08-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,BECKMAN COULTER UK,1205156 - 59,122.20
Department of Health,Hull and East Yorkshire NHS Trust,08-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,BECKMAN COULTER UK,1205156 - 58,79.45
Department of Health,Hull and East Yorkshire NHS Trust,08-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,BECKMAN COULTER UK,1205156 - 57,90.17
Department of Health,Hull and East Yorkshire NHS Trust,08-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,BECKMAN COULTER UK,1205156 - 56,192.15
Department of Health,Hull and East Yorkshire NHS Trust,08-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,BECKMAN COULTER UK,1205156 - 55,27.05
Department of Health,Hull and East Yorkshire NHS Trust,08-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,BECKMAN COULTER UK,1205156 - 54,4.74
Department of Health,Hull and East Yorkshire NHS Trust,08-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,BECKMAN COULTER UK,1205156 - 53,52.93
Department of Health,Hull and East Yorkshire NHS Trust,08-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,BECKMAN COULTER UK,1205156 - 52,11.81
Department of Health,Hull and East Yorkshire NHS Trust,08-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,BECKMAN COULTER UK,1205156 - 51,181.76
Department of Health,Hull and East Yorkshire NHS Trust,08-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,BECKMAN COULTER UK,1205156 - 50,26.25
Department of Health,Hull and East Yorkshire NHS Trust,08-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,BECKMAN COULTER UK,1205156 - 49,18.06
Department of Health,Hull and East Yorkshire NHS Trust,08-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,BECKMAN COULTER UK,1205156 - 48,1.86
Department of Health,Hull and East Yorkshire NHS Trust,08-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,BECKMAN COULTER UK,1205156 - 47,7.43
Department of Health,Hull and East Yorkshire NHS Trust,08-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,BECKMAN COULTER UK,1205156 - 46,7.81
Department of Health,Hull and East Yorkshire NHS Trust,08-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,BECKMAN COULTER UK,1205156 - 45,0.00
Department of Health,Hull and East Yorkshire NHS Trust,08-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,BECKMAN COULTER UK,1205156 - 44,5.73
Department of Health,Hull and East Yorkshire NHS Trust,08-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,BECKMAN COULTER UK,1205156 - 43,1068.56
Department of Health,Hull and East Yorkshire NHS Trust,08-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,BECKMAN COULTER UK,1205156 - 42,1241.28
Department of Health,Hull and East Yorkshire NHS Trust,08-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,BECKMAN COULTER UK,1205156 - 41,46.21
Department of Health,Hull and East Yorkshire NHS Trust,08-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,BECKMAN COULTER UK,1205156 - 40,1693.90
Department of Health,Hull and East Yorkshire NHS Trust,08-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,BECKMAN COULTER UK,1205156 - 39,1447.08
Department of Health,Hull and East Yorkshire NHS Trust,08-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,BECKMAN COULTER UK,1205156 - 38,23.75
Department of Health,Hull and East Yorkshire NHS Trust,08-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,BECKMAN COULTER UK,1205156 - 37,101.98
Department of Health,Hull and East Yorkshire NHS Trust,08-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,BECKMAN COULTER UK,1205156 - 36,49.87
Department of Health,Hull and East Yorkshire NHS Trust,08-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,BECKMAN COULTER UK,1205156 - 35,0.00
Department of Health,Hull and East Yorkshire NHS Trust,08-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,BECKMAN COULTER UK,1205156 - 34,2080.08
Department of Health,Hull and East Yorkshire NHS Trust,08-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,BECKMAN COULTER UK,1205156 - 33,275.60
Department of Health,Hull and East Yorkshire NHS Trust,08-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,BECKMAN COULTER UK,1205156 - 32,1496.48
Department of Health,Hull and East Yorkshire NHS Trust,08-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,BECKMAN COULTER UK,1205156 - 31,1362.13
Department of Health,Hull and East Yorkshire NHS Trust,08-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,BECKMAN COULTER UK,1205156 - 30,1317.47
Department of Health,Hull and East Yorkshire NHS Trust,08-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,BECKMAN COULTER UK,1205156 - 29,750.62
Department of Health,Hull and East Yorkshire NHS Trust,08-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,BECKMAN COULTER UK,1205156 - 28,1354.92
Department of Health,Hull and East Yorkshire NHS Trust,08-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,BECKMAN COULTER UK,1205156 - 27,114.18
Department of Health,Hull and East Yorkshire NHS Trust,08-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,BECKMAN COULTER UK,1205156 - 26,2037.62
Department of Health,Hull and East Yorkshire NHS Trust,08-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,BECKMAN COULTER UK,1205156 - 25,1099.14
Department of Health,Hull and East Yorkshire NHS Trust,08-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,BECKMAN COULTER UK,1205156 - 24,0.00
Department of Health,Hull and East Yorkshire NHS Trust,08-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,BECKMAN COULTER UK,1205156 - 23,0.00
Department of Health,Hull and East Yorkshire NHS Trust,08-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,BECKMAN COULTER UK,1205156 - 22,93.88
Department of Health,Hull and East Yorkshire NHS Trust,08-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,BECKMAN COULTER UK,1205156 - 21,372.24
Department of Health,Hull and East Yorkshire NHS Trust,08-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,BECKMAN COULTER UK,1205156 - 20,93.88
Department of Health,Hull and East Yorkshire NHS Trust,08-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,BECKMAN COULTER UK,1205156 - 19,112.00
Department of Health,Hull and East Yorkshire NHS Trust,08-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,BECKMAN COULTER UK,1205156 - 18,1271.52
Department of Health,Hull and East Yorkshire NHS Trust,08-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,BECKMAN COULTER UK,1205156 - 17,698.28
Department of Health,Hull and East Yorkshire NHS Trust,08-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,BECKMAN COULTER UK,1205156 - 16,454.00
Department of Health,Hull and East Yorkshire NHS Trust,08-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,BECKMAN COULTER UK,1205156 - 15,515.24
Department of Health,Hull and East Yorkshire NHS Trust,08-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,BECKMAN COULTER UK,1205156 - 14,1098.00
Department of Health,Hull and East Yorkshire NHS Trust,08-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,BECKMAN COULTER UK,1205156 - 13,154.57
Department of Health,Hull and East Yorkshire NHS Trust,08-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,BECKMAN COULTER UK,1205156 - 12,27.08
Department of Health,Hull and East Yorkshire NHS Trust,08-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,BECKMAN COULTER UK,1205156 - 11,302.48
Department of Health,Hull and East Yorkshire NHS Trust,08-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,BECKMAN COULTER UK,1205156 - 10,67.48
Department of Health,Hull and East Yorkshire NHS Trust,08-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,BECKMAN COULTER UK,1205156 - 9,1038.62
Department of Health,Hull and East Yorkshire NHS Trust,08-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,BECKMAN COULTER UK,1205156 - 8,150.00
Department of Health,Hull and East Yorkshire NHS Trust,08-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,BECKMAN COULTER UK,1205156 - 7,103.20
Department of Health,Hull and East Yorkshire NHS Trust,08-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,BECKMAN COULTER UK,1205156 - 6,10.61
Department of Health,Hull and East Yorkshire NHS Trust,08-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,BECKMAN COULTER UK,1205156 - 5,42.44
Department of Health,Hull and East Yorkshire NHS Trust,08-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,BECKMAN COULTER UK,1205156 - 4,44.64
Department of Health,Hull and East Yorkshire NHS Trust,08-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,BECKMAN COULTER UK,1205156 - 3,0.00
Department of Health,Hull and East Yorkshire NHS Trust,08-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,BECKMAN COULTER UK,1205156 - 2,32.76
Department of Health,Hull and East Yorkshire NHS Trust,08-Oct-2010,LABORATORY REAGENTS,CANCER AND CLINICAL SUPPORT,BECKMAN COULTER UK,1205156 - 1,6106.05
Department of Health,Hull and East Yorkshire NHS Trust,08-Oct-2010,NON-N.H.S. TRADE CREDITORS < ONE YEAR,BALANCE SHEET,NHS SUPPLY CHAIN,WNEI811182 - 2,0.00
Department of Health,Hull and East Yorkshire NHS Trust,08-Oct-2010,NON-N.H.S. TRADE CREDITORS < ONE YEAR,BALANCE SHEET,NHS SUPPLY CHAIN,WNEI811182 - 1,249603.33
Department of Health,Hull and East Yorkshire NHS Trust,08-Oct-2010,NON-N.H.S. TRADE CREDITORS < ONE YEAR,BALANCE SHEET,NHS SUPPLY CHAIN,WNEI814656 - 2,0.00
Department of Health,Hull and East Yorkshire NHS Trust,08-Oct-2010,NON-N.H.S. TRADE CREDITORS < ONE YEAR,BALANCE SHEET,NHS SUPPLY CHAIN,WNEI814656 - 1,286627.17
