Department Family,Entity,NewCldate,Expense Type,,,Supplier,Transaction Number,Amount in Sterling,,
Department of Health,The Pennine Acute Hospitals NHS Trust,14/05/2012,2053500,X-Ray Maintenance Contracts,Diagnostics & Clinical Support,NHS SUPPLY CHAIN,0001132213,"3,586.80",,
Department of Health,The Pennine Acute Hospitals NHS Trust,14/05/2012,2053500,X-Ray Maintenance Contracts,Diagnostics & Clinical Support,NHS SUPPLY CHAIN,0001132213,"3,586.80",,
Department of Health,The Pennine Acute Hospitals NHS Trust,21/05/2012,2054550,Reagent,Diagnostics & Clinical Support,BIOMERIEUX UK LTD,0001132341,"82,970.12",,
Department of Health,The Pennine Acute Hospitals NHS Trust,17/05/2012,2054586,Source Biosciences,Diagnostics & Clinical Support,SOURCE BIOSCIENCE UK LTD,0001132908,"192,513.60",,
Department of Health,The Pennine Acute Hospitals NHS Trust,21/05/2012,2153540,Leased Car Expenses,Corporate Services Other,N H C NHS FOUNDATION TRUST,0001133927,"56,959.25",,
Department of Health,The Pennine Acute Hospitals NHS Trust,21/05/2012,2153542,Leased Car Insurance,Corporate Services Other,N H C NHS FOUNDATION TRUST,0001133927,"8,550.00",,
Department of Health,The Pennine Acute Hospitals NHS Trust,10/05/2012,2203500,Systems Maintenance Other,Corporate Services Other,C H K S,0001133936,"83,246.00",,
Department of Health,The Pennine Acute Hospitals NHS Trust,17/05/2012,0000000,Oldham Pharmacy,Oldham Pharmacy,NOVARTIS PHARMACEUTICALS UK LTD,0001134456,"26,718.12",,
Department of Health,The Pennine Acute Hospitals NHS Trust,03/05/2012,2151540,On Site Bleeps Maintenance,Estates and Facilities,MULTITONE ELECTRONICS PLC,0001135005,"6,119.00",,
Department of Health,The Pennine Acute Hospitals NHS Trust,03/05/2012,2151540,On Site Bleeps Maintenance,Estates and Facilities,MULTITONE ELECTRONICS PLC,0001135005,"9,000.00",,
Department of Health,The Pennine Acute Hospitals NHS Trust,03/05/2012,2151540,On Site Bleeps Maintenance,Estates and Facilities,MULTITONE ELECTRONICS PLC,0001135005,"9,000.00",,
Department of Health,The Pennine Acute Hospitals NHS Trust,03/05/2012,2151540,On Site Bleeps Maintenance,Estates and Facilities,MULTITONE ELECTRONICS PLC,0001135005,"6,119.00",,
Department of Health,The Pennine Acute Hospitals NHS Trust,25/05/2012,2359016,Security Services,Estates and Facilities,SECURITAS SECURITY SERVICES,0001135093,"57,340.05",,
Department of Health,The Pennine Acute Hospitals NHS Trust,14/05/2012,2052000,M & S Equipment Maint Contract,Medicine and Community,NHS SUPPLY CHAIN,0001135112,"22,947.70",,
Department of Health,The Pennine Acute Hospitals NHS Trust,14/05/2012,2052000,M & S Equipment Maint Contract,Medicine and Community,NHS SUPPLY CHAIN,0001135112,"25,894.45",,
Department of Health,The Pennine Acute Hospitals NHS Trust,21/05/2012,2204500,Rent,Surgery,MANCHESTER PCT COMMISSIONING,0001135241,"33,126.74",,
Department of Health,The Pennine Acute Hospitals NHS Trust,21/05/2012,2051509,ICD's,Medicine and Community,MEDTRONIC LTD,0001135423,"34,440.00",,
Department of Health,The Pennine Acute Hospitals NHS Trust,21/05/2012,2051509,ICD's,Medicine and Community,MEDTRONIC LTD,0001135423,"33,240.00",,
Department of Health,The Pennine Acute Hospitals NHS Trust,21/05/2012,2051509,ICD's,Medicine and Community,MEDTRONIC LTD,0001135423,"10,800.00",,
Department of Health,The Pennine Acute Hospitals NHS Trust,21/05/2012,2051566,Pacemaker Singular/Dual Chambr,Medicine and Community,MEDTRONIC LTD,0001135423,"30,000.00",,
Department of Health,The Pennine Acute Hospitals NHS Trust,17/05/2012,2051509,ICD's,Medicine and Community,MEDTRONIC LTD,0001135440,"271,920.00",,
Department of Health,The Pennine Acute Hospitals NHS Trust,17/05/2012,2051567,Pacemaker - Biventricular,Medicine and Community,MEDTRONIC LTD,0001135440,"54,000.00",,
Department of Health,The Pennine Acute Hospitals NHS Trust,17/05/2012,2051566,Pacemaker Singular/Dual Chambr,Medicine and Community,MEDTRONIC LTD,0001135440,"30,000.00",,
Department of Health,The Pennine Acute Hospitals NHS Trust,17/05/2012,2051566,Pacemaker Singular/Dual Chambr,Medicine and Community,MEDTRONIC LTD,0001135440,"45,000.00",,
Department of Health,The Pennine Acute Hospitals NHS Trust,17/05/2012,2051566,Pacemaker Singular/Dual Chambr,Medicine and Community,MEDTRONIC LTD,0001135440,"105,600.00",,
Department of Health,The Pennine Acute Hospitals NHS Trust,21/05/2012,0000000,Health Supplies,Health Supplies,NHS SUPPLY CHAIN,0001135507,"839,026.25",,
Department of Health,The Pennine Acute Hospitals NHS Trust,03/05/2012,2204000,Rates,Estates and Facilities,ROCHDALE METROPOLITAN BOROUGH COUNCIL,0001135746,"45,113.00",,
Department of Health,The Pennine Acute Hospitals NHS Trust,03/05/2012,2204000,Rates,Estates and Facilities,OLDHAM M B,0001135748,"88,877.00",,
Department of Health,The Pennine Acute Hospitals NHS Trust,03/05/2012,2204000,Rates,Estates and Facilities,MANCHESTER CITY COUNCIL,0001135751,"98,928.00",,
Department of Health,The Pennine Acute Hospitals NHS Trust,03/05/2012,2204000,Rates,Estates and Facilities,BURY MBC,0001135752,"77,402.00",,
Department of Health,The Pennine Acute Hospitals NHS Trust,14/05/2012,2202000,Water & Sewerage,Estates and Facilities,UNITED UTILITIES WATER,0001135773,"37,233.30",,
Department of Health,The Pennine Acute Hospitals NHS Trust,02/05/2012,2359032,Professional Fees,Corporate Services Other,OPTIMISE LTD,0001136001,"70,000.00",,
Department of Health,The Pennine Acute Hospitals NHS Trust,08/05/2012,0000000,METRO MONEYWISE,METRO MONEYWISE,METRO MONEYWISE,0001136002,"45,517.19",,
Department of Health,The Pennine Acute Hospitals NHS Trust,17/05/2012,2051509,ICD's,Medicine and Community,MEDTRONIC LTD,0001136180,"-84,678.00",,
Department of Health,The Pennine Acute Hospitals NHS Trust,08/05/2012,2354500,Insurance Premiums,Corporate Services Other,BRIAN JOHNSTON & CO (INSURANCE BROKERS),0001136264,"114,740.23",,
Department of Health,The Pennine Acute Hospitals NHS Trust,21/05/2012,2427005,SLA Bury PCT,Diagnostics & Clinical Support,PENNINE CARE NHS TRUST,0001136352,"17,008.00",,
Department of Health,The Pennine Acute Hospitals NHS Trust,21/05/2012,2427005,SLA Bury PCT,Diagnostics & Clinical Support,PENNINE CARE NHS TRUST,0001136352,494.00,,
Department of Health,The Pennine Acute Hospitals NHS Trust,21/05/2012,2427005,SLA Bury PCT,Diagnostics & Clinical Support,PENNINE CARE NHS TRUST,0001136352,"17,933.00",,
Department of Health,The Pennine Acute Hospitals NHS Trust,17/05/2012,2202000,Water & Sewerage,Estates and Facilities,UNITED UTILITIES WATER,0001136469,"30,508.24",,
Department of Health,The Pennine Acute Hospitals NHS Trust,08/05/2012,0000000,UNISON,UNISON,UNISON,0001136494,"28,777.92",,
Department of Health,The Pennine Acute Hospitals NHS Trust,08/05/2012,0000000,HEALTHSURE GROUP LTD,HEALTHSURE GROUP LTD,HEALTHSURE GROUP LTD,0001136497,"27,770.72",,
Department of Health,The Pennine Acute Hospitals NHS Trust,21/05/2012,2271003,MRI Scans Alliance,Diagnostics & Clinical Support,ALLIANCE MEDICAL LTD,0001137163,"25,033.92",,
Department of Health,The Pennine Acute Hospitals NHS Trust,31/05/2012,2101040,Clean Ext Contracts Tender,Estates and Facilities,ISS MEDICLEAN LIMITED,0001137340,"117,688.03",,
Department of Health,The Pennine Acute Hospitals NHS Trust,31/05/2012,2101040,Clean Ext Contracts Tender,Estates and Facilities,ISS MEDICLEAN LIMITED,0001137341,"195,604.67",,
Department of Health,The Pennine Acute Hospitals NHS Trust,31/05/2012,2101040,Clean Ext Contracts Tender,Estates and Facilities,ISS MEDICLEAN LIMITED,0001137358,"235,297.40",,
Department of Health,The Pennine Acute Hospitals NHS Trust,31/05/2012,2205530,Bld Contract Pennine Acute,Capital,MACH-AIRE LTD,0001137598,"56,939.32",,
Department of Health,The Pennine Acute Hospitals NHS Trust,31/05/2012,2205530,Bld Contract Pennine Acute,Capital,MACH-AIRE LTD,0001137598,"31,632.96",,
Department of Health,The Pennine Acute Hospitals NHS Trust,21/05/2012,2359038,Miscellaneous Expenditure,Estates and Facilities,STERIS LTD,0001137788,"33,900.00",,
Department of Health,The Pennine Acute Hospitals NHS Trust,14/05/2012,2205530,Bld Contract Pennine Acute,Capital,THOMAS WINSTANLEY & SON LTD,0001137919,"115,457.26",,
Department of Health,The Pennine Acute Hospitals NHS Trust,24/05/2012,0000000,Oldham Pharmacy,Oldham Pharmacy,NOVARTIS PHARMACEUTICALS UK LTD,0001138560,"26,718.12",,
Department of Health,The Pennine Acute Hospitals NHS Trust,17/05/2012,2359038,Miscellaneous Expenditure,Capital,APCOA PARKING UK LTD,0001138853,"32,694.00",,
Department of Health,The Pennine Acute Hospitals NHS Trust,31/05/2012,2200500,Energy Electricity,Estates and Facilities,NPOWER YORKSHIRE LTD,0001138937,"2,351.16",,
Department of Health,The Pennine Acute Hospitals NHS Trust,31/05/2012,2200500,Energy Electricity,Estates and Facilities,NPOWER YORKSHIRE LTD,0001138937,"51,053.71",,
Department of Health,The Pennine Acute Hospitals NHS Trust,31/05/2012,2200500,Energy Electricity,Estates and Facilities,NPOWER YORKSHIRE LTD,0001138941,"5,441.31",,
Department of Health,The Pennine Acute Hospitals NHS Trust,31/05/2012,2200500,Energy Electricity,Estates and Facilities,NPOWER YORKSHIRE LTD,0001138941,"118,153.14",,
Department of Health,The Pennine Acute Hospitals NHS Trust,31/05/2012,2200500,Energy Electricity,Estates and Facilities,NPOWER YORKSHIRE LTD,0001138945,"10,018.26",,
Department of Health,The Pennine Acute Hospitals NHS Trust,31/05/2012,2200500,Energy Electricity,Estates and Facilities,NPOWER YORKSHIRE LTD,0001138945,"103,041.38",,
Department of Health,The Pennine Acute Hospitals NHS Trust,17/05/2012,2300000,Auditors Remuneration,Corporate Services Other,KPMG LLP,0001139083,"34,800.00",,
Department of Health,The Pennine Acute Hospitals NHS Trust,17/05/2012,0000000,North Manchester Pharmacy,North Manchester Pharmacy,AAH CUSTOMER SERVICE,0001139085,"104,798.12",,
Department of Health,The Pennine Acute Hospitals NHS Trust,17/05/2012,0000000,Bury Pharmacy,Bury Pharmacy,AAH CUSTOMER SERVICE,0001139088,"68,555.84",,
Department of Health,The Pennine Acute Hospitals NHS Trust,17/05/2012,0000000,Oldham Pharmacy,Oldham Pharmacy,AAH CUSTOMER SERVICE,0001139097,"148,238.09",,
Department of Health,The Pennine Acute Hospitals NHS Trust,17/05/2012,2054520,Lab Equip Reagents,Surgery,ABBOTT LABORATORIES,0001139138,30.00,,
Department of Health,The Pennine Acute Hospitals NHS Trust,17/05/2012,2054505,Laboratory Consumables,Surgery,ABBOTT LABORATORIES,0001139138,251.00,,
Department of Health,The Pennine Acute Hospitals NHS Trust,17/05/2012,2054505,Laboratory Consumables,Diagnostics & Clinical Support,ABBOTT LABORATORIES,0001139138,"1,004.92",,
Department of Health,The Pennine Acute Hospitals NHS Trust,17/05/2012,2054505,Laboratory Consumables,Diagnostics & Clinical Support,ABBOTT LABORATORIES,0001139138,"3,910.46",,
Department of Health,The Pennine Acute Hospitals NHS Trust,17/05/2012,2054505,Laboratory Consumables,Diagnostics & Clinical Support,ABBOTT LABORATORIES,0001139138,"1,891.27",,
Department of Health,The Pennine Acute Hospitals NHS Trust,17/05/2012,2054574,Oxoid,Diagnostics & Clinical Support,ABBOTT LABORATORIES,0001139138,291.66,,
Department of Health,The Pennine Acute Hospitals NHS Trust,17/05/2012,2054576,ProLab,Diagnostics & Clinical Support,ABBOTT LABORATORIES,0001139138,"4,840.35",,
Department of Health,The Pennine Acute Hospitals NHS Trust,17/05/2012,2054552,Reagent,Diagnostics & Clinical Support,ABBOTT LABORATORIES,0001139138,"1,229.00",,
Department of Health,The Pennine Acute Hospitals NHS Trust,17/05/2012,2054567,Reagent,Diagnostics & Clinical Support,ABBOTT LABORATORIES,0001139138,"4,896.99",,
Department of Health,The Pennine Acute Hospitals NHS Trust,17/05/2012,2054553,Reagent,Diagnostics & Clinical Support,ABBOTT LABORATORIES,0001139138,"17,577.85",,
Department of Health,The Pennine Acute Hospitals NHS Trust,17/05/2012,2054570,Reagent,Diagnostics & Clinical Support,ABBOTT LABORATORIES,0001139138,"1,865.10",,
