month,Tests on officially TB free herds (OTF),new herd incidents (NHI),NHI of which: officially TB free herd status withdrawn (OTFW),Number of OTFW incidents as a percentage of tests on officially TB free herds,New herd incidents where OTF status is withdrawn (OTFW) per 100 herd years at risk of infection during the year
Dec-03,"3,592",236,139,3.90%,2.3
Jan-04,"5,687",337,200,3.50%,
Feb-04,"5,315",312,183,3.40%,
Mar-04,"5,411",438,239,4.40%,2.5
Apr-04,"5,531",344,176,3.20%,
May-04,"3,872",265,139,3.60%,
Jun-04,"2,926",272,134,4.60%,2.5
Jul-04,"3,100",170,95,3.10%,
Aug-04,"2,391",196,117,4.90%,
Sep-04,"2,485",159,96,3.90%,2.6
Oct-04,"3,243",216,135,4.20%,
Nov-04,"4,639",369,246,5.30%,
Dec-04,"4,376",262,174,4.00%,2.7
Jan-05,"5,159",430,271,5.30%,
Feb-05,"5,558",461,290,5.20%,
Mar-05,"5,278",423,293,5.60%,3.5
Apr-05,"5,233",384,227,4.30%,
May-05,"3,198",256,162,5.10%,
Jun-05,"2,442",219,135,5.50%,4
Jul-05,"2,502",173,99,4.00%,
Aug-05,"2,075",194,117,5.60%,
Sep-05,"2,818",226,132,4.70%,4.3
Oct-05,"3,057",276,174,5.70%,
Nov-05,"4,345",340,212,4.90%,
Dec-05,"5,023",283,196,3.90%,4.4
Jan-06,"5,633",386,246,4.40%,
Feb-06,"6,067",315,219,3.60%,
Mar-06,"6,995",366,229,3.30%,3.6
Apr-06,"5,202",265,171,3.30%,
May-06,"4,423",282,183,4.20%,
Jun-06,"3,711",233,150,4.10%,3.2
Jul-06,"3,070",222,142,4.60%,
Aug-06,"2,703",183,109,4.10%,
Sep-06,"3,709",285,196,5.30%,3.2
Oct-06,"3,897",346,235,6.00%,
Nov-06,"5,488",357,236,4.30%,
Dec-06,"5,115",291,188,3.70%,3
Jan-07,"5,691",458,268,4.70%,
Feb-07,"6,160",384,211,3.40%,
Mar-07,"7,420",438,251,3.40%,3.1
Apr-07,"5,474",415,244,4.50%,
May-07,"4,512",298,178,4.00%,
Jun-07,"3,679",278,148,4.00%,3.2
Jul-07,"3,042",285,155,5.10%,
Aug-07,"2,297",175,96,4.20%,
Sep-07,"2,935",270,173,5.90%,3.3
Oct-07,"3,689",448,304,8.20%,
Nov-07,"5,662",402,282,5.00%,
Dec-07,"4,288",339,239,5.60%,3.7
Jan-08,"5,719",474,313,5.50%,
Feb-08,"6,353",473,322,5.10%,
Mar-08,"5,137",427,300,5.80%,4.1
Apr-08,"5,697",594,366,6.40%,
May-08,"4,901",390,240,4.90%,
Jun-08,"3,309",375,194,5.90%,4.5
Jul-08,"3,171",359,174,5.50%,
Aug-08,"2,934",305,178,6.10%,
Sep-08,"3,206",381,220,6.90%,4.7
Oct-08,"4,582",426,283,6.20%,
Nov-08,"5,156",448,275,5.30%,
Dec-08,"4,690",360,229,4.90%,4.8
Jan-09,"6,552",533,301,4.60%,
Feb-09,"6,058",438,252,4.20%,
Mar-09,"6,422",571,329,5.10%,4.7
Apr-09,"6,127",441,257,4.20%,
May-09,"4,822",359,207,4.30%,
Jun-09,"3,539",367,213,6.10%,4.6
Jul-09,"3,563",294,193,5.40%,
Aug-09,"3,048",214,139,4.60%,
Sep-09,"3,535",306,209,6.00%,4.6
Oct-09,"5,192",333,235,4.50%,
Nov-09,"5,135",454,308,6.00%,
Dec-09,"4,901",290,205,4.20%,4.5
Jan-10,"5,758",434,284,5.00%,
Feb-10,"6,916",440,277,4.00%,
Mar-10,"7,143",526,327,4.60%,4.6
Apr-10,"7,365",429,260,3.60%,
May-10,"4,764",388,218,4.60%,
Jun-10,"3,104",391,208,6.80%,4.4
Jul-10,"3,733",247,161,4.40%,
Aug-10,"3,033",288,181,6.00%,
Sep-10,"3,936",358,248,6.40%,4.4
Oct-10,"5,231",404,277,5.30%,
Nov-10,"5,687",525,378,6.70%,
Dec-10,"4,916",291,192,3.90%,4.4
Jan-11,"6,531",537,349,5.40%,
Feb-11,"6,653",464,302,4.60%,
Mar-11,"7,485",509,312,4.20%,4.4
Apr-11,"5,693",396,240,4.30%,
May-11,"4,897",466,270,5.70%,
Jun-11,"3,415",347,202,6.10%,4.7
Jul-11,"3,388",300,183,6.00%,
Aug-11,"3,209",294,189,6.80%,
Sep-11,"4,658",257,169,3.80%,4.9
Oct-11,"5,025",417,281,5.70%,
Nov-11,"5,571",489,331,6.10%,
Dec-11,"5,961",437,288,5.00%,5.3
Jan-12,"6,996",481,324,4.70%,
Feb-12,"7,699",453,310,4.10%,
Mar-12,"10,284",588,398,3.90%,5.7
Apr-12,"6,535",402,247,3.80%,
May-12,"5,993",445,258,4.40%,
Jun-12,"4,179",321,199,4.80%,5.8
Jul-12,"3,865",314,216,5.60%,
Aug-12,"4,243",353,244,5.80%,
Sep-12,"4,741",364,264,5.60%,6
Oct-12,"5,750",441,327,5.70%,
Nov-12,"7,682",555,391,5.10%,
Dec-12,"5,698",395,274,4.80%,6.2
Jan-13,"7,342",495,311,4.30%,
Feb-13,"7,562",401,282,3.70%,
Mar-13,"8,010",486,316,4.00%,6.7
Apr-13,"6,610",426,288,4.40%,
May-13,"5,974",402,266,4.50%,
Jun-13,"3,946",325,192,4.90%,6.7
Jul-13,"3,860",273,174,4.50%,
Aug-13,"4,413",327,224,5.10%,
Sep-13,"4,913",350,254,5.20%,6.5
Oct-13,"6,205",472,341,5.50%,
Nov-13,"7,444",504,363,4.90%,
Dec-13,"5,904",352,254,4.30%,6.2
Jan-14,"8,134",534,369,4.50%,
Feb-14,"7,897",430,290,3.70%,
Mar-14,"8,444",440,296,3.50%,5.8
Apr-14,"6,827",364,226,3.30%,
May-14,"6,943",372,229,3.30%,
Jun-14,"4,589",264,184,4.00%,5.6
Jul-14,"4,532",322,244,5.40%,
Aug-14,"4,411",297,222,5.00%,
Sep-14,"5,143",363,269,5.20%,5.7
Oct-14,"7,050",472,355,5.10%,
Nov-14,"7,583",501,363,4.80%,
Dec-14,"5,983",357,279,4.70%,5.7
Jan-15,"8,510",492,345,4.10%,
Feb-15,"8,145",441,312,3.80%,
Mar-15,"8,364",455,327,3.90%,5.8
Apr-15,"7,834",410,283,3.60%,
May-15,"5,590",330,213,3.80%,
Jun-15,"4,672",311,206,4.40%,6
Jul-15,"5,382",380,247,4.60%,
Aug-15,"4,765",318,222,4.70%,
Sep-15,"5,192",314,230,4.40%,5.9
###Any test carried out in an OTF herd during the period shown. Does not include Gamma tests###,,,,,
###Herds which were previously OTF but either had cattle that reacted to a tuberculin test or had a tuberculous animal disclosed by routine meat inspection at slaughter During the period shown###,,,,,
###New herd incidents where OTF status was withdrawn from the herd###,,,,,
###New herd incidents where OTF status was withdrawn from the herd divided by the number of tests on OTF herds###,,,,,
###For some new incidents testing is still underway and the incidents could become OTFW if such tests revealed one or more reactors with post-mortem evidence of TB or a positive culture result###,,,,,
###These are known as 'unclassified' (see footnote 9 in the datasets). The incidence rate presented here is the average of OTFW/tests on OTF herds and (OTFW+unclassifed)/tests on OTF herds###,,,,,
"###New herd incidents where OTF status was withdrawn from the herd, divided by the amount of time herds tested during that period were unrestricted and at risk of infection###",,,,,
###New incidents where OFT withdrawn is calculated for 12 month periods on a quarterly basis. The figure given for March 1996 refers to the 12 months ending March 1996. Figures are not calculated for the intervening months###,,,,,
