UK in Context CSVs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Global communications revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Data derived from  various sources: PwC Global Entertainment and Media Outlook 2015-2019 @ www.pwc.com/outlook for television and radio revenues (both include advertising, license fees and subscription services only), Wik Consult / Ofcom estimates for postal revenues, which refers to letter mail only. IHS / industry data / Ofcom for telecoms revenues, which refer to retail revenues for fixed voice, broadband and mobile services. Interpretation and manipulation of data are solely Ofcom's responsibility. All figures are nominal and are displayed at 2014 currency exchange ratesNote: Postal revenues are for our 18 comparator countries only.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
(£bn),2008,2009,2010,2011,2012,2013,2014,,YoY,CAGR,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Communications revenues per head adjusted for comparative price levels: 2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue (£),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Data derived from  various sources: PwC Global Entertainment and Media Outlook 2015-2019@ www.pwc.com/outlook for radio revenues (include advertising, license fees and satellite subscription services only), Wik Consult / Ofcom estimates for postal revenues. IHS / industry data / Ofcom for television and telecoms revenues (telecoms revenues refer to retail revenues). Interpretation and manipulation of data are solely Ofcom's responsibility. Figures adjusted using Purchasing Power Parity data for 2014 from http://stats.oecd.org (not all countries available)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Telecoms,Television,Post,Radio,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHN,,159,31,2,2,195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,,50,16,1,0,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUS,,313,59,9,5,386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,,241,93,17,3,355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOR,,575,161,48,4,788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POL,,325,112,34,20,491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWE,,388,164,94,26,672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NED,,430,156,129,17,732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,,380,86,29,9,504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,,541,147,44,22,753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,,737,177,97,7,1018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,,630,377,106,46,1159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,,299,116,49,7,470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,,332,275,93,40,740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,,324,138,110,18,590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,,447,216,66,19,748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Communications revenues per head adjusted for comparative price levels: 2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue (£bn),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: All data derived from PwC Global Entertainment and Media Outlook 2015-2019 @ www.pwc.com/outlook. Notes: Ofcom is responsible for all growth calculations displayed. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,Revenues,,, ,Revenues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Broadcast television advertising,98.6,,,Radio advertising,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Television public licence fee,21.1,,,Radio public licence fee,4.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Television subscriptions,124.5,,,Satellite Radio subscriptions,2.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Global advertising expenditure, by medium: 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Revenue (£bn),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Data derived from PwC Global Entertainment and Media Outlook: 2015-2019 @ www.pwc.com/outlook. Notes: Ofcom is responsible for all growth calculations displayed.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2010,2011,2012,2013,2014,,YOY,CAGR,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Newspapers,48.04,47,44.94,43.28,41.96,,-3.10%,-3.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Consumer Magazines,20.65,20.49,19.76,18.94,18.14,,-4.20%,-3.20%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Television,84.78,88.02,91.99,93.59,98.52,,5.30%,3.80%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Radio,18.69,19.11,19.36,19.78,20.48,,3.60%,2.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cinema,1.35,1.41,1.49,1.55,1.6,,3.30%,4.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Outdoor,18.5,19.35,19.98,20.89,22.04,,5.50%,4.50%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Internet,41.58,50.57,58.68,68.88,80.27,,16.50%,17.90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,233.6,245.9,256.2,266.9,283,,6.00%,4.90%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed voice and mobile connections per 100 population: 2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source:  IHS / industry data / Ofcom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Fixed voice
(inc. managed VoIP)",,,,,,,,,,,Mobile,,,,,,,,,,,,,,,,,,,,,,,,
,UK,FRA,GER,ITA,USA,JPN,AUS,ESP,NED,SWE,,UK,FRA,GER,ITA,USA,JPN,AUS,ESP,NED,SWE,,,,,,,,,,,,,,,
2009,59,66,48,41,50,46,48,43,44,54,,129,98,132,150,93,91,116,109,126,125,,,,,,,,,,,,,,,
2014,61,60,45,37,41,45,38,40,42,39,,130,125,137,154,111,122,131,108,151,134,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2,-5,-3,-4,-9,-1,-10,-2,-2,-14,,0,26,5,4,19,31,16,-2,25,9,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed broadband connections per 100 population: 2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Connections per 100 population,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source:  IHS / industry data / Ofcom. Note: Broadband connections include business connections,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,UK,FRA,GER,ITA,USA,JPN,AUS,ESP,NED,SWE,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,36.8,40.5,35.3,22.9,30.1,38.6,29.2,27.7,40.9,33.6,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,29.5,31.4,30.4,21.2,25.7,25.3,23.8,20.7,37.1,31.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Difference,7,9,5,2,4,13,5,7,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fixed broadband connections, by headline speeds: 2009 and 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: IHS / Ofcom / operator data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fixed broadband connections by headline speed: 2008 and 2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,<= 2Mbit/s,>2Mbit/s and <=8Mbit/s,>8Mbits and <30Mbit/s,>=30Mbit/s and <100Mbit/s,>= 100Mbit/s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGA,2009,100,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2014,93,4,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHN,2009,14,67,19,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2014,3,47,35,14,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IND,2009,81,17,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2014,46,35,16,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUS,2009,9,55,36,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2014,1,17,33,46,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRA,2009,68,27,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2014,33,40,16,9,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KOR,2009,1,71,29,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2014,0,0,11,27,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SGP,2009,0,70,30,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2014,0,1,16,42,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POL,2009,66,29,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2014,5,43,25,22,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWE,2009,14,43,43,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2014,1,23,34,8,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NED,2009,27,42,31,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2014,1,16,37,30,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,2009,30,46,25,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2014,1,26,54,18,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,2009,2,74,25,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2014,0,2,17,22,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,2009,34,27,40,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2014,3,6,29,59,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,2009,10,73,17,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2014,1,8,68,13,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,2009,28,61,10,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2014,1,75,20,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,2009,14,66,20,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2014,4,39,35,16,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,2009,23,21,57,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2014,1,6,81,5,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,2009,0,55,44,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2014,0,9,56,30,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Digital TV homes per 100 TV households: 2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DTV homes per 100 TV households,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source:  IHS / industry data / Ofcom. ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2009,2014,% change since 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UK,89.1,100,11%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRA,82.3,95,12%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GER,47.1,72,25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITA,86,100,14%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
USA,84.7,96,11%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPN,92.1,100,8%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AUS,82.5,100,17%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESP,89.3,99,10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NED,59.9,87,27%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWE,68.1,74,6%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHN,65,84,19%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ownership and personal use of devices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion of respondents (%) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Ofcom consumer research September - October 2015Base: All respondents, UK=1006, FRA=1003, GER=1007, ITA=1003, USA=1009, JPN=1006, AUS=1000, ESP=1002, SWE=1004 Q3a. Which of the following devices do you have in your home? (Tablet, Laptop, Desktop, Digital radio, DVR, HDTV, Smart TV, 3D TV) Q.4a Which of the following devices do you personally use? (Smartphone) ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,UK,FRA,GER,ITA,USA,JPN,AUS,ESP,SWE,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smartphone,67,66,70,79,57,77,69,83,74,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tablet,54,48,43,63,42,31,52,65,50,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laptop / Netbook,81,78,78,81,71,63,78,79,74,,,,,,,,,,,,,,,,,,,,,,,,,,,
Desktop,53,64,65,67,66,54,63,72,56,,,,,,,,,,,,,,,,,,,,,,,,,,,
Digital radio,37,8,12,15,6,4,18,12,6,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figure 1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Claimed ownership of audio visual devices (DVR, HDTV and connected TV)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Proportion of respondents (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
