Department,Entity,Payment Date,Expense Type,Expense Area,Supplier Name,Transaction Number,Amount
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,25/10/2010,Deferred Asset re PFI Lifecycle,Corporate,CATALYST HEALTHCARE ( LEEDS ) LTD,140,199712.37
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,25/10/2010,PFI Creditor Bexley Wing,Corporate,CATALYST HEALTHCARE ( LEEDS ) LTD,140,264750
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,28/10/2010,Reagent Kits - Other,Pathology Directorate,CEPHEID UK LTD,2010/IC000001172,4914.89
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,28/10/2010,Reagent Kits - Other,Pathology Directorate,CEPHEID UK LTD,2010/IC000001172,28085.11
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,19/10/2010,CAP-Medical & Surgical Equip,Corporate,COOK (UK) LTD,7018231,324.45
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,19/10/2010,CAP-Medical & Surgical Equip,Corporate,COOK (UK) LTD,7018231,216.3
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,19/10/2010,CAP-Medical & Surgical Equip,Corporate,COOK (UK) LTD,7018231,1854
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,19/10/2010,CAP-Medical & Surgical Equip,Corporate,COOK (UK) LTD,7018231,25000
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,19/10/2010,CAP-Medical & Surgical Equip,Corporate,COOK (UK) LTD,7018231,1236
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,19/10/2010,CAP-Medical & Surgical Equip,Corporate,COOK (UK) LTD,7018231,4375
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,25/10/2010,Oil,Estates - Capital Investment,DALKIA UTILITIES SERVICES PLC,310042660,101.85
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,25/10/2010,Electricity,Estates - Capital Investment,DALKIA UTILITIES SERVICES PLC,310042660,17373.33
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,25/10/2010,Oil,Estates - Capital Investment,DALKIA UTILITIES SERVICES PLC,310042660,582.01
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,25/10/2010,Steam,Estates - Capital Investment,DALKIA UTILITIES SERVICES PLC,310042660,7306.57
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,25/10/2010,Utility Services Fee,Estates - Capital Investment,DALKIA UTILITIES SERVICES PLC,310042660,4893.46
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,25/10/2010,Ops & Maintenance,Estates - Capital Investment,DALKIA UTILITIES SERVICES PLC,310042660,17922.14
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,25/10/2010,Contract Compressed Air,Estates - Capital Investment,DALKIA UTILITIES SERVICES PLC,310042660,367.17
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,25/10/2010,Water & Sewerage,Estates - Capital Investment,DALKIA UTILITIES SERVICES PLC,310042660,-2747.74
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,25/10/2010,Plant-Chilled Water,Estates - Capital Investment,DALKIA UTILITIES SERVICES PLC,310042660,14425.6
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,25/10/2010,Plant-Chilled Water,Estates - Capital Investment,DALKIA UTILITIES SERVICES PLC,310042660,2524.48
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,25/10/2010,Climate Levy,Estates - Capital Investment,DALKIA UTILITIES SERVICES PLC,310042660,2152.66
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,25/10/2010,Climate Levy,Estates - Capital Investment,DALKIA UTILITIES SERVICES PLC,310042660,376.72
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,25/10/2010,Contract Variations,Estates - Capital Investment,DALKIA UTILITIES SERVICES PLC,310042660,1643.23
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,25/10/2010,Contract Variations,Estates - Capital Investment,DALKIA UTILITIES SERVICES PLC,310042660,287.57
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,25/10/2010,Contract LPHW,Estates - Capital Investment,DALKIA UTILITIES SERVICES PLC,310042660,7064.82
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,25/10/2010,Contract LPHW,Estates - Capital Investment,DALKIA UTILITIES SERVICES PLC,310042660,1236.34
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,25/10/2010,Water & Sewerage,Estates - Capital Investment,DALKIA UTILITIES SERVICES PLC,310042660,-15701.37
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,25/10/2010,Contract Compressed Air,Estates - Capital Investment,DALKIA UTILITIES SERVICES PLC,310042660,2098.1
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,25/10/2010,Ops & Maintenance,Estates - Capital Investment,DALKIA UTILITIES SERVICES PLC,310042660,102412.21
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,25/10/2010,Utility Services Fee,Estates - Capital Investment,DALKIA UTILITIES SERVICES PLC,310042660,27962.61
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,25/10/2010,Steam,Estates - Capital Investment,DALKIA UTILITIES SERVICES PLC,310042660,41751.83
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,25/10/2010,Electricity,Estates - Capital Investment,DALKIA UTILITIES SERVICES PLC,310042660,99276.15
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,11/10/2010,Drugs,Medicines Mgmt & Pharmacy Directorate,ELI LILLY AND COMPANY LTD,8011321723,37600
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,14/10/2010,Patient Transport (provided by Non NHS Org's),Facilities - Contracts Management,EVENT MEDICAL SERVICES,10098,23409
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,25/10/2010,Drugs,Medicines Mgmt & Pharmacy Directorate,FRESENIUS MEDICAL CARE (UK) LTD,1000082695,29667.61
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,07/10/2010,Drugs,Medicines Mgmt & Pharmacy Directorate,GILEAD SCIENCES,10083850,51641.25
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,11/10/2010,Drugs,Medicines Mgmt & Pharmacy Directorate,GILEAD SCIENCES,10083971,25521
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,14/10/2010,Drugs,Medicines Mgmt & Pharmacy Directorate,GILEAD SCIENCES,10084096,25870.21
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,25/10/2010,Drugs,Medicines Mgmt & Pharmacy Directorate,GILEAD SCIENCES,10084443,42535
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,25/10/2010,Statutory Audit Fees,Finance Directorate,GRANT THORNTON UK LLP,6438993,10211.25
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,25/10/2010,Statutory Audit Fees,Finance Directorate,GRANT THORNTON UK LLP,6438993,58350
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,25/10/2010,Drugs,Medicines Mgmt & Pharmacy Directorate,GRIFOLS UK,5810003277,26883.5
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,25/10/2010,Drugs,Medicines Mgmt & Pharmacy Directorate,HEALTHCARE AT HOME LTD,OP/2169671,44330
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,11/10/2010,Drugs,Medicines Mgmt & Pharmacy Directorate,HEALTHCARE AT HOME LTD,OP/2169769,60545.71
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,25/10/2010,Drugs,Medicines Mgmt & Pharmacy Directorate,HEALTHCARE AT HOME LTD,OP/2170458,47905
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,14/10/2010,Drugs,Medicines Mgmt & Pharmacy Directorate,HEALTHCARE AT HOME LTD,OP/2181564,25200
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,19/10/2010,Blood - Commercial,Oncology and Physics Directorate,HEALTHCARE AT HOME LTD,OP/2185678,57680
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,25/10/2010,Blood - Commercial,Oncology and Physics Directorate,HEALTHCARE AT HOME LTD,OP/2198153,36480
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,25/10/2010,Blood - Commercial,Oncology and Physics Directorate,HEALTHCARE AT HOME LTD,OP/2198160,94160
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,28/10/2010,Drugs,Medicines Mgmt & Pharmacy Directorate,HEALTHCARE AT HOME LTD,OP/2203185,25200
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,28/10/2010,Drugs,Medicines Mgmt & Pharmacy Directorate,HEALTHCARE AT HOME LTD,OP/2204937,108674.86
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,28/10/2010,Drugs,Medicines Mgmt & Pharmacy Directorate,HEALTHCARE AT HOME LTD,OP/2205030,169476
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,25/10/2010,CAP-Building Contracts,Corporate,ILLINGWORTH & GREGORY,6253,18471.36
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,25/10/2010,CAP-Building Contracts,Corporate,ILLINGWORTH & GREGORY,6253,105550.63
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,25/10/2010,CAP-Building Contracts,Corporate,ILLINGWORTH & GREGORY,6265,6986.63
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,25/10/2010,CAP-Building Contracts,Corporate,ILLINGWORTH & GREGORY,6265,39923.58
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,25/10/2010,CAP-Fees-Clerks of Works,Corporate,J A RICHARDSON ELECTRICAL LTD,38833,31246.69
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,25/10/2010,CAP-Fees-Clerks of Works,Corporate,J A RICHARDSON ELECTRICAL LTD,38833,178552.49
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,13/10/2010,Rates,Estates - Capital Investment,J PULLAN & SONS LTD,SETTLEMENT/LEASEAE/JOSEPHSWELL,120000
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,25/10/2010,Consultancy Services,Human Resources Directorate,KM&T LTD,1568,31515
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,25/10/2010,Consultancy Services,Human Resources Directorate,KM&T LTD,1568,17625
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,25/10/2010,Consultancy Services,Human Resources Directorate,KM&T LTD,1568,11760
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,25/10/2010,Consultancy Services,Human Resources Directorate,KM&T LTD,1568,9776.35
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,25/10/2010,Consultancy Services,Human Resources Directorate,KM&T LTD,1568,63180
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,14/10/2010,CAP - Fees - P21,Corporate,LAING O'ROURKE CONSTRUCTION NORTH LTD,N2238/28,23387.9
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,14/10/2010,CAP - Fees - P21,Corporate,LAING O'ROURKE CONSTRUCTION NORTH LTD,N2238/28,133645.14
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,07/10/2010,CAP - Fees - P21,Corporate,LAING O'ROURKE CONSTRUCTION NORTH LTD,N2390/28,223910.98
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,07/10/2010,CAP - Fees - P21,Corporate,LAING O'ROURKE CONSTRUCTION NORTH LTD,N2390/28,1279491.31
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,28/10/2010,CAP - Fees - P21,Corporate,LAING O'ROURKE CONSTRUCTION NORTH LTD,N2443/28,5880.72
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,28/10/2010,CAP - Fees - P21,Corporate,LAING O'ROURKE CONSTRUCTION NORTH LTD,N2443/28,33604.1
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,14/10/2010,CAP - Fees - P21,Corporate,LAING O'ROURKE CONSTRUCTION NORTH LTD,N2543/17,14264.39
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,14/10/2010,CAP - Fees - P21,Corporate,LAING O'ROURKE CONSTRUCTION NORTH LTD,N2543/17,81510.8
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,07/10/2010,CAP - Fees - P21,Corporate,LAING O'ROURKE CONSTRUCTION NORTH LTD,N2931/TASK2/2,5875.91
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,07/10/2010,CAP - Fees - P21,Corporate,LAING O'ROURKE CONSTRUCTION NORTH LTD,N2931/TASK2/2,33576.66
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,25/10/2010,Drugs,Medicines Mgmt & Pharmacy Directorate,MEDICINES COMPANY UK LTD,440000214,43710
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,25/10/2010,Consumables Intervention,Cardio-Respiratory Directorate,MEDTRONIC UK LTD,1050534529,189
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,25/10/2010,Consumables Intervention,Cardio-Respiratory Directorate,MEDTRONIC UK LTD,1050534529,1890
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,25/10/2010,Consumables Intervention,Cardio-Respiratory Directorate,MEDTRONIC UK LTD,1050534529,1080
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,25/10/2010,Consumables Intervention,Cardio-Respiratory Directorate,MEDTRONIC UK LTD,1050534529,10800
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,25/10/2010,Consumables Intervention,Cardio-Respiratory Directorate,MEDTRONIC UK LTD,1050534529,21600
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,25/10/2010,Consumables Intervention,Cardio-Respiratory Directorate,MEDTRONIC UK LTD,1050534529,3780
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,19/10/2010,Research Network (WY CLRN),Hosted Research & Development,MID-YORKSHIRE HOSPITALS NHS TRUST,M112121,65436.5
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,19/10/2010,Research Network (WY CLRN),Hosted Research & Development,MID-YORKSHIRE HOSPITALS NHS TRUST,M112122,65436.5
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,07/10/2010,Drugs,Medicines Mgmt & Pharmacy Directorate,MOVIANTO UK,9770018095,45830.03
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,28/10/2010,Drugs,Medicines Mgmt & Pharmacy Directorate,MOVIANTO UK,9770018810,41059.2
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,11/10/2010,Bone Marrow Related Services,Oncology and Physics Directorate,NHS BLOOD AND TRANSPLANT,446668,47168.49
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,11/10/2010,Blood - Local,Pathology Directorate,NHS BLOOD AND TRANSPLANT,797491,-26819.86
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,11/10/2010,Blood - Local,Pathology Directorate,NHS BLOOD AND TRANSPLANT,797584,156378.88
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,11/10/2010,Blood - Local,Pathology Directorate,NHS BLOOD AND TRANSPLANT,797585,316246.29
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,06/10/2010,NHSLA CNST,Finance Directorate,NHS LITIGATION AUTHORITY,SICX/00049631,1496379.87
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,06/10/2010,NHSLA LTPS,Finance Directorate,NHS LITIGATION AUTHORITY,SICX/00049632,52426.99
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,07/10/2010,Bank Nurses- Corporate,Corporate,NHS PROFESSIONALS LTD,1199_124778_6,152207.74
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,11/10/2010,Bank Nurses- Corporate,Corporate,NHS PROFESSIONALS LTD,1199_126053_6,162580.04
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,19/10/2010,Bank Nurses- Corporate,Corporate,NHS PROFESSIONALS LTD,1199_126959_6,167753.61
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,25/10/2010,Bank Nurses- Corporate,Corporate,NHS PROFESSIONALS LTD,1199_127525_16,168887.55
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,28/10/2010,Bank Nurses- Corporate,Corporate,NHS PROFESSIONALS LTD,1199_128287_6,152104.98
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,06/10/2010,X-Ray Equip Maint Cont,Radiology Directorate,NHS SUPPLY CHAIN,SMC106592,-35496.23
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,06/10/2010,RSC Creditors - LGI,Corporate,NHS SUPPLY CHAIN,WNEI814693,173493.09
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,06/10/2010,RSC Creditors - SJH,Corporate,NHS SUPPLY CHAIN,WNEI814694,142262.99
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,06/10/2010,RSC Creditors - LGI,Corporate,NHS SUPPLY CHAIN,WNEI817632,162273.75
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,06/10/2010,RSC Creditors - SJH,Corporate,NHS SUPPLY CHAIN,WNEI817633,92531.72
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,19/10/2010,RSC Creditors - LGI,Corporate,NHS SUPPLY CHAIN,WNEI821722,196438.48
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,19/10/2010,RSC Creditors - SJH,Corporate,NHS SUPPLY CHAIN,WNEI821723,146203.49
DEPARTMENT OF HEALTH,LEEDS TEACHING HOSPITALS NHS TRUST,19/10/2010,Drugs - FP10,Medicines Mgmt & Pharmacy Directorate,NHSBSA PRESCRIPTION PRICING DIVISION,PHS1000024983,77224.97
