June 2015 - Spend Above £25k,,,,,,,,,,,
,,,,,,,,,,,
Department,Entity,Date,Expense Type,Expense Area,Supplier,Transaction No,Total Gross Value,Description,Supplier Postcode,Expenditure Type,Document
Department of Education,OFSTED,18/06/2015,Corporate Contracts,Corporate Transactions,Enterprise Rent-a-Car,815820,"£46,749.50",Vehicle Hire,TW20 9JY,Admin Class,IMPINMAN
Department of Education,OFSTED,11/06/2015,Accommodation Service Charge,Finance and Resources,F And C Property Asset Mgmt,815733,"£54,756.28",Accomodation Rent and Service Charge,RH4 1QP,Programme Class,IMPINMAN
Department of Education,OFSTED,11/06/2015,Accommodation Service Charge,Finance and Resources,F And C Property Asset Mgmt,815732,"£41,843.83",Accomodation Rent and Service Charge,RH4 1QP,Programme Class,IMPINMAN
Department of Education,OFSTED,22/06/2015,Accommodation Service Charge,Finance and Resources,Food Standards Agency,815834,"£260,415.64",Accomodation Rent and Service Charge,YO1 7PX,Programme Class,IMPINMAN
Department of Education,OFSTED,12/06/2015,Accommodation Service Charge,Finance and Resources,Food Standards Agency,815749,"£66,705.18",Accomodation Rent and Service Charge,YO1 7PX,Programme Class,IMPINMAN
Department of Education,OFSTED,16/06/2015,Accommodation Service Charge,Finance and Resources,Gva Grimley,815777,"£106,822.30",Accomodation Rent and Service Charge,B1 2JJ,Admin Class,IMPINMAN
Department of Education,OFSTED,16/06/2015,Accommodation Service Charge,Finance and Resources,Gva Grimley,815776,"£106,336.72",Accomodation Rent and Service Charge,B1 2JJ,Admin Class,IMPINMAN
Department of Education,OFSTED,02/06/2015,Contracted Inspection Costs,Inspection Costs,Prospects Learning Services Lt,815606,"£984,560.00",Inspection Service Provider,BR1 1LT,Programme Class,IMPINMAN
Department of Education,OFSTED,18/06/2015,Travel,Corporate Transactions,Redfern Travel Ltd,815822,"£356,524.50",Travel and Overnight Accommodation,BD1 3AZ,Admin Class,IMPINMAN
Department of Education,OFSTED,01/06/2015,Managed Services,Inspection Data & Insight,RM Education,815582,"£33,307.64",ICT Support,OX14 4SB,Programme Class,IMPINMAN
Department of Education,OFSTED,29/06/2015,Corporate Transactions,Corporate Transactions,Royal Bank of Scotland,88,"£51,865.30",Corporate Purchasing Card,EC2M 4RB,Admin Class,PINCARD
Department of Education,OFSTED,01/06/2015,Corporate Transactions,Corporate Transactions,Royal Bank of Scotland,87,"£46,552.92",Corporate Purchasing Card,EC2M 4RB,Programme Class,PINCARD
Department of Education,OFSTED,11/06/2015,Contracted Inspection Costs,Inspection Costs,Serco Limited,815736,"£589,751.30",Inspection Service Provider,RG27 7FR,Programme Class,IMPINMAN
Department of Education,OFSTED,16/06/2015,Contracted Inspection Costs,Inspection Costs,Serco Limited,160018,"£458,447.00",Inspection Service Provider,RG27 7FR,Programme Class,PINMAN
Department of Education,OFSTED,11/06/2015,Contracted Inspection Costs,Inspection Costs,Tribal Education Ltd,815734,"£2,819,845.66",Inspection Service Provider,S2 4AN,Programme Class,IMPINMAN
Department of Education,OFSTED,11/06/2015,Contracted Inspection Costs,Inspection Costs,Tribal Education Ltd,160011,"£1,301,272.48",Inspection Service Provider,S2 4AN,Programme Class,PINMAN
Department of Education,OFSTED,11/06/2015,Contracted Inspection Costs,Inspection Costs,Tribal Education Ltd,815735,"£1,020,757.49",Inspection Service Provider,S2 4AN,Programme Class,IMPINMAN
Department of Education,OFSTED,15/06/2015,Contracted Inspection Costs,Inspection Costs,Tribal Education Ltd,160015,"£76,600.00",Inspection Service Provider,S2 4AN,Programme Class,PINMAN
Department of Education,OFSTED,11/06/2015,Contracted Inspection Costs,Inspection Costs,Tribal Education Ltd,702321,"-£297,473.81",Inspection Service Provider,S2 4AN,Programme Class,PCRMAN
