objectid,lau214cd,lau214nm,st_areashape,st_lengthshape
375,UKI1205027,Bellingham,3089491.325,8927.6973936653
376,UKI1205028,Blackheath,2484704.62,7665.9029972651
377,UKI1205029,Brockley,1726766.01,5224.53378900273
378,UKI1205030,Catford South,1826074.005,6168.73444796159
379,UKI1205031,Crofton Park,1749329.485,5935.45956426635
380,UKI1205032,Downham,2630457.08,7796.46827661081
381,UKI1205033,Evelyn,1733114.051435,5692.98739730235
382,UKI1205034,Forest Hill,1891522.07,6622.7758341928
383,UKI1205035,Grove Park,2518964.44,9294.76939159824
384,UKI1205036,Ladywell,1563267.005,5539.40236349283
385,UKI1205037,Lee Green,1732359.205,6062.69794711057
386,UKI1205038,Lewisham Central,2044478.115,8766.83377682642
387,UKI1205039,New Cross,1919969.285,7136.90935263717
388,UKI1205040,Perry Vale,1536685.14,4933.53890474948
389,UKI1205041,Rushey Green,1810721.33,6684.52650556703
390,UKI1205042,Sydenham,1761025.89,6539.64502333477
391,UKI1205043,Telegraph Hill,1422423.005,6046.53073002069
392,UKI1205044,Whitefoot,2085061.995,8312.8425730744
393,UKI2204021,Abbey,1416400.596,4973.55353898842
394,UKI2204022,Cannon Hill,2012698.025,5787.15250679094
395,UKI2204023,Colliers Wood,1235922.836,4717.39531259829
396,UKI2204024,Cricket Green,2760657.105,10275.0889673023
397,UKI2204025,Dundonald,1015673.39,5444.7816583137
398,UKI2204026,Figge's Marsh,1129870.315,5105.24111303476
399,UKI2204027,Graveney,961043.16,4582.31998562304
400,UKI2204028,Hillside,1105713.4,5644.9809394816
401,UKI2204029,Lavender Fields,1185408.558,4488.28881983857
402,UKI2204030,Longthornton,1592347.61,6576.549202501
403,UKI2204031,Lower Morden,1665410.24,5414.65642783196
404,UKI2204032,Merton Park,1928064.02,6058.41890540983
405,UKI2204033,Pollards Hill,2004903.125,6435.44795315627
406,UKI2204034,Ravensbury,1919120.15,6751.56364887443
407,UKI2204035,Raynes Park,2054132.57,6346.03914418143
408,UKI2204036,St Helier,1910113.05,6977.08170106081
409,UKI2204037,Trinity,990388.67,4508.70936561215
410,UKI2204038,Village,6118729.495,10819.0249244799
411,UKI2204039,West Barnes,1957856.84,5940.76091220598
412,UKI2204040,Wimbledon Park,2413989.785,7706.27788284697
413,UKI1206025,Beckton,5726672.88430662,10646.3576759766
414,UKI1206026,Boleyn,902361.295,3989.41887486236
415,UKI1206027,Canning Town North,2501772.185,6491.6364263769
416,UKI1206028,Canning Town South,1849754.54938884,8151.05795326407
417,UKI1206029,Custom House,2051989.5,6021.19990996797
418,UKI1206030,East Ham Central,961006.635,4085.97069560217
419,UKI1206031,East Ham North,934420.265,4793.16121687244
420,UKI1206032,East Ham South,1870961.25066295,6626.15802685959
421,UKI1206033,Forest Gate North,1267337.195,5334.36659223018
422,UKI1206034,Forest Gate South,1141974.94,5017.97375840844
423,UKI1206035,Green Street East,643034.575,3869.44144915382
424,UKI1206036,Green Street West,825506.845,4201.33306964643
425,UKI1206037,Little Ilford,1836398.005,6779.26338495911
426,UKI1206038,Manor Park,1459829.62,5620.0527999892
427,UKI1206039,Plaistow North,920823.615,5180.70391426139
428,UKI1206040,Plaistow South,1352514.04,4695.397172143
429,UKI1206041,Royal Docks,3229491.36395331,9611.48504442909
430,UKI1206042,Stratford and New Town,4202183.265,9108.60507641022
431,UKI1206043,Wall End,1410340.745,4982.00717326771
432,UKI1206044,West Ham,1379849.955,4904.03826404596
433,UKI2106022,Aldborough,8367824.125,14103.1499325079
434,UKI2106023,Barkingside,1619217.96,5428.62262038863
435,UKI2106024,Bridge,2435465.03,7091.67088349389
436,UKI2106025,Chadwell,1451612.77,5552.34777456095
437,UKI2106026,Church End,1503354.63,5603.80889763975
438,UKI2106027,Clayhall,2573906.165,7465.06156184797
439,UKI2106028,Clementswood,1199354.3,5197.4076413626
440,UKI2106008,Cranbrook,2464598.115,7115.28606822391
441,UKI2106029,Fairlop,3406488.385,11627.9880046602
442,UKI2106030,Fullwell,2390013.38,7129.39515717477
443,UKI2106031,Goodmayes,1612733.465,8052.67003451056
444,UKI2106032,Hainault,5785876.905,13159.6461304378
445,UKI2106033,Loxford,1277657.135,6101.8068213829
446,UKI2106034,Mayfield,1944451.47,5937.95570895086
447,UKI2106035,Monkhams,3079552.155,8131.75999374527
448,UKI2106036,Newbury,2230195.71,8863.78143983197
449,UKI2106037,Roding,2319401.97,7555.15175247299
450,UKI2106038,Seven Kings,2000937.72,7323.1486900321
451,UKI2106039,Snaresbrook,1904444.85,7220.50107502725
452,UKI2106040,Valentines,1602786.21,6304.1168006874
453,UKI2106041,Wanstead,4997889.515,11112.6638759153
454,UKI2307020,Barnes,3025025.77,6748.14580747568
455,UKI2307021,East Sheen,5678556.185,10756.7886093928
456,UKI2307022,Fulwell and Hampton Hill,1995168.42,6592.63864786242
457,UKI2307023,"Ham, Petersham and Richmond Riverside",9256427.1,15367.1788758975
458,UKI2307024,Hampton,6684962.68556,16648.3504775635
459,UKI2307025,Hampton North,2051560.585,5690.52745249411
460,UKI2307026,Hampton Wick,2560261.80944,8929.36173785599
461,UKI2307027,Heathfield,1752859.48,7727.32217721681
462,UKI2307028,Kew,3539790.65,8180.13720188739
463,UKI2307029,Mortlake and Barnes Common,2053850.29,7090.79366710684
464,UKI2307030,North Richmond,2892591.71,9287.33375923358
465,UKI2307031,St Margarets and North Twickenham,1872372.6,7514.55360549997
466,UKI2307032,South Richmond,2726805,7357.21451379605
467,UKI2307033,South Twickenham,1695652.965,5704.71308547195
468,UKI2307034,Teddington,4210936,10223.4662615488
