H:  Central Programmes,"-13,128","-13,290","5,675", - 
,,,,
I:  Joint Conflict Pool,"21,570","18,892","34,500", - 
,,,,
J:  Independent Commission for Aid Impact (NDPB) (net),"2,116","2,914","4,256","5,760"
,,,,
K:  CSC (NDPB) (net) scholarship relating to developed countries,588, - , - , - 
,,,,
No Specific Pillar, - , - ,"208,871","210,418"
,,,,
Departmental  Unallocated Provision, - , - ,"98,456","867,205"
,,,,
Non-Voted,,,,
L:  European Union Attributed Aid,"934,125","757,245","910,000","750,000"
,,,,
Spending in Annually Managed Expenditure,"43,960","138,590","291,600","102,471"
Voted,,,,
M:  Wealth Creation,"-2,723","-2,084","-1,492", - 
,,,,
N:  Direct Delivery of Millenium Development Goals,"41,052","156,067","269,035","96,566"
,,,,
O:  Total Operating Costs,"-3,927","-3,748","-3,743", - 
,,,,
P:  Central Programmes,"9,558","-11,645","27,800","6,837"
,,,,
No Specific Pillar, - , - , - ,-932
,,,,
Total,"6,227,492","6,268,252","8,868,100","8,396,471"
,,,,
,,,,
,,,,£0
CAPITAL,2007-08,2008-09,2009-10,2010-11
Basis for 2007-08 to 2010-11,Outturn,Outturn,Outturn,Outturn
,,,,
Resources (including capital grants),,,,
RfR1:  Eliminating poverty in poorer countries,"739,254","876,174","1,352,642","1,758,696"
Of which:,,,,
Spending in Departmental Expenditure Limits,"739,254","876,174","1,352,642","1,758,696"
,,,,
A:  Bilateral aid to Africa,"16,357","2,323","110,313","168,110"
,,,,
B:  Bilateral Aid to South Asia,"4,538","1,058","55,796","85,470"
,,,,
C:  Bilateral Aid to the Rest of the World,"9,662","21,165","13,631","21,234"
,,,,
D:  Improve the Effectiveness of Multilateral Aid,"691,123","822,327","1,060,382","1,303,643"
,,,,
E:  Develop a Global Partnership for Development, - ,"50,000","124,564","191,114"
,,,,
F:  Central Departments,"17,574","-20,699","-12,044","-10,875"
,,,,
G:  Environment Transformation Fund, - , - , - , - 
,,,,
Multiple Objectives, - , - , - , - 
,,,,
Gibralter Social Insurance Fund, - , - , - , - 
,,,,
Spending in Annually Managed Expenditure, - , - , - , - 
,,,,
H:  Programmes Contributing to Multiple Objectives, - , - , - , - 
,,,,
I:  Grants to the International Finance Facility for Immunisation, - , - , - , - 
,,,,
J:  Provision for Advance Market Commitment, - , - , - , - 
,,,,
Central departments, - , - , - , - 
,,,,
EU Research Grants, - , - , - , - 
,,,,
RfR2:  Conflict Prevention, - , - , - , - 
,,,,
A:  Conflict Prevention and Stabilisation, - , - , - ,
,,,,
Total,"739,254","876,174","1,352,642","1,758,696"
,,,,
,,,,
CAPITAL,,,,
New basis from 2011-12,,,,£0
,2011-12,2012-13,2013-14,2014-15
,Outturn,Outturn,Plans,Plans
,,,,
Resources (including capital grants),,,,
of which:,,,,
Spending in Departmental Expenditure Limits,"1,645,907","1,653,213","1,925,000","2,044,000"
,,,,
A:  CSC (NDPB) (net) scholarship relating to developing countires, - , - , - , - 
,,,,
B:  Wealth Creation,"127,995","194,279","274,417","289,500"
,,,,
C:  Climate Change ,"67,084","54,295","76,550","12,931"
,,,,
D: Governance and Security,"18,508","13,808","1,094",209
,,,,
E:  Direct Delivery of Millenium Development Goals,"117,353","70,115","93,388","89,936"
,,,,
F:  Global Partnerships,"1,323,535","1,315,993","1,471,160","1,371,404"
,,,,
G:  Total Operating Costs, - , - , - , - 
,,,,
H:  Central Programmes,"-8,568","4,723","1,000", - 
,,,,
I:  Joint Conflict Pool, - , - , - , - 
,,,,
J:  Independent Commission for Aid Impact (NDPB) (net), - , - , - , - 
,,,,
K:  CSC (NDPB) (net) scholarship relating to developing countires, - , - , - , - 
,,,,
No Specific Pillar, - , - ,"7,391","74,315"
,,,,
Departmental  Unallocated Provision, - , - , - ,"205,705"
,,,,
Non-Voted,,,,
L:  European Union Attributed Aid, - , - , - , - 
,,,,
Spending in Annually Managed Expenditure, - , - , - , - 
Voted,,,,
M:  Wealth Creation, - , - , - , - 
,,,,
N:  Direct Delivery of Millenium Development Goals, - , - , - , - 
,,,,
O:  Total Operating Costs, - , - , - , - 
,,,,
P:  Central Programmes, - , - , - , - 
,,,,
Total,"1,645,907","1,653,213","1,925,000","2,044,000"
