Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),VAT registration number,Purchase invoice number
Department of Health,NHS Oldham CCG,31/05/2014,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,MEDISCAN DIAGNOSTIC SERVICES LTD,3767989,"32,956.00",,INV001188
Department of Health,NHS Oldham CCG,31/05/2014,Clinical&Medical-Independent Sector,OUT OF HOURS,GO TO DOC LTD,3787910,"21,666.67",,6517
Department of Health,NHS Oldham CCG,31/05/2014,Clinical&Medical-Othe Public Sector,COMMISSIONING SCHEMES,PENNINE MSK PARTNERSHIP,3787966,"20,910.24",,668
Department of Health,NHS Oldham CCG,31/05/2014,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,BMI HEALTHCARE LTD,3788035,"56,888.39",,26420
Department of Health,NHS Oldham CCG,31/05/2014,Clinical&Medical-Independent Sector,NHS 111,GO TO DOC LTD,3788107,"21,666.67",,6866
Department of Health,NHS Oldham CCG,31/05/2014,Charges from CSU,PROGRAMME PROJECTS,NHS GREATER MANCHESTER CSU,3788172,"8,412.00",,7300001056
Department of Health,NHS Oldham CCG,31/05/2014,Charges from CSU,PROCUREMENT,NHS GREATER MANCHESTER CSU,3788172,"5,648.00",,7300001056
Department of Health,NHS Oldham CCG,31/05/2014,Charges from CSU,PATIENT AND PUBLIC INVOLVEMENT,NHS GREATER MANCHESTER CSU,3788172,"6,711.00",,7300001056
Department of Health,NHS Oldham CCG,31/05/2014,Charges from CSU,NON RECURRENT PROGRAMMES,NHS GREATER MANCHESTER CSU,3788172,"43,861.00",,7300001056
Department of Health,NHS Oldham CCG,31/05/2014,Charges from CSU,MEDICINES MANAGEMENT - CLINICAL,NHS GREATER MANCHESTER CSU,3788172,"43,050.00",,7300001056
Department of Health,NHS Oldham CCG,31/05/2014,Charges from CSU,MEDICINES MANAGEMENT,NHS GREATER MANCHESTER CSU,3788172,"5,834.00",,7300001056
Department of Health,NHS Oldham CCG,31/05/2014,Charges from CSU,IM&T,NHS GREATER MANCHESTER CSU,3788172,"50,907.00",,7300001056
Department of Health,NHS Oldham CCG,31/05/2014,Charges from CSU,HUMAN RESOURCES,NHS GREATER MANCHESTER CSU,3788172,"7,296.00",,7300001056
Department of Health,NHS Oldham CCG,31/05/2014,Charges from CSU,FINANCE,NHS GREATER MANCHESTER CSU,3788172,"51,915.00",,7300001056
Department of Health,NHS Oldham CCG,31/05/2014,Charges from CSU,EQUALITY AND DIVERSITY,NHS GREATER MANCHESTER CSU,3788172,"2,230.00",,7300001056
Department of Health,NHS Oldham CCG,31/05/2014,Charges from CSU,CORPORATE GOVERNANCE,NHS GREATER MANCHESTER CSU,3788172,"2,225.00",,7300001056
Department of Health,NHS Oldham CCG,31/05/2014,Charges from CSU,CONTRACT MANAGEMENT,NHS GREATER MANCHESTER CSU,3788172,"43,856.00",,7300001056
Department of Health,NHS Oldham CCG,31/05/2014,Charges from CSU,CONTINUING HEALTHCARE ASSESSMENT & SUPPORT,NHS GREATER MANCHESTER CSU,3788172,"8,694.00",,7300001056
Department of Health,NHS Oldham CCG,31/05/2014,Charges from CSU,COMMUNICATIONS & PR,NHS GREATER MANCHESTER CSU,3788172,"12,140.00",,7300001056
Department of Health,NHS Oldham CCG,31/05/2014,Charges from CSU,COMMISSIONING,NHS GREATER MANCHESTER CSU,3788172,"51,727.00",,7300001056
Department of Health,NHS Oldham CCG,31/05/2014,Clinical&Medical-Independent Sector,HIGH COST DRUGS,BUPA HOME HEALTHCARE LTD,3788212,"34,213.25",,SINV1377553
,,,,,,,,,
