Department,Entity,Transaction Date,Expense Type,Expense Area,PES Category,Supplier,Transaction No.,Amount
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/07/2013,FARES - PUBLIC TRANSPORT,CORPORATE AFFAIRS,TRAVEL&EVENTS-TAXI,STAFF EXPENSES CONTROL,0000202480,20.50
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/07/2013,INCIDENTALS,CORPORATE AFFAIRS,VEHICLES-FLEET MANAGEMENT,STAFF EXPENSES CONTROL,0000202480,2.10
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,29/07/2013,MILEAGE PAYMENTS,CORPORATE AFFAIRS,FUELS/LUBRCNT/GAS-FUELS,STAFF EXPENSES CONTROL,0000202480,273.70
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,09/07/2013,PAYMENTS TO AGENCIES FOR TEMPS,CORPORATE PROJECT OFFICE,PROF SER TMP STFF-SPCLST CNTRT,COMPUTER PEOPLE,0000202085,793.10
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,05/07/2013,PAYMENTS TO AGENCIES FOR TEMPS,CORPORATE PROJECT OFFICE,PROF SER TMP STFF-SPCLST CNTRT,COMPUTER PEOPLE,0000202135,555.17
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,08/07/2013,PUBLICATIONS,CORPORATE PROJECT OFFICE,OPRTNL GOODS&SERV-DEVLPNG MTRL,COMPANY BARCLAYCARD,0000202234,218.11
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,16/07/2013,PAYMENTS TO AGENCIES FOR TEMPS,CORPORATE PROJECT OFFICE,PROF SER TMP STFF-SPCLST CNTRT,COMPUTER PEOPLE,0000202266,725.12
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,23/07/2013,PAYMENTS TO AGENCIES FOR TEMPS,CORPORATE PROJECT OFFICE,PROF SER TMP STFF-SPCLST CNTRT,COMPUTER PEOPLE,0000202423,895.07
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,23/07/2013,PAYMENTS TO AGENCIES FOR TEMPS,CORPORATE PROJECT OFFICE,PROF SER TMP STFF-SPCLST CNTRT,COMPUTER PEOPLE,0000202424,192.61
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/07/2013,M/W SLUDGE DISPOSAL,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,INTEGRATED WATER SERVICES,0000199260,36951.28
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,25/03/2013,CURR YR ADDNS MINEWATER SCHEME,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,INTEGRATED WATER SERVICES,0000199267,42609.38
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/03/2013,M/W REMEDIATION,ENVIRONMENT,PROF SER-ENVIRONMENTAL SRVICES,INTEGRATED WATER SERVICES,0000199508,35438.84
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/03/2013,M/W CNTRCTR-OPRTNL MNTLY TSKS,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,INTEGRATED WATER SERVICES,0000199512,1114.71
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/03/2013,M/W CNTRCTR-OPRTNL MNTLY TSKS,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,INTEGRATED WATER SERVICES,0000199512,1702.80
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/03/2013,M/W CNTRCTR-OPRTNL MNTLY TSKS,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,INTEGRATED WATER SERVICES,0000199512,1115.44
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/03/2013,M/W SLUDGE DISPOSAL,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,INTEGRATED WATER SERVICES,0000199512,15315.46
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/03/2013,CURR YR ADDNS MINEWATER SCHEME,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,INTEGRATED WATER SERVICES,0000199514,146705.66
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,28/02/2013,MONITORING & FLOW MEASUREMENT,ENVIRONMENT,PROF SER CNSLTNCY-PPM CNSLTNCY,INTEGRATED WATER SERVICES,0000199942,4718.40
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,26/04/2013,M/W SLUDGE DISPOSAL,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,INTEGRATED WATER SERVICES,0000200312,9498.75
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/05/2013,M/W CONTRCTR OPRNTL MTHLY MAIN,ENVIRONMENT,PROF SER CNSLTNCY-PPM CNSLTNCY,INTEGRATED WATER SERVICES,0000201217,3932.10
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/05/2013,M/W CONTRCTR OPRNTL MTHLY MAIN,ENVIRONMENT,PROF SER CNSLTNCY-PPM CNSLTNCY,INTEGRATED WATER SERVICES,0000201217,104.86
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/05/2013,M/W CONTRCTR OPRNTL MTHLY MAIN,ENVIRONMENT,PROF SER CNSLTNCY-PPM CNSLTNCY,INTEGRATED WATER SERVICES,0000201217,1048.60
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/05/2013,M/W CONTRCTR OPRNTL MTHLY MAIN,ENVIRONMENT,PROF SER CNSLTNCY-PPM CNSLTNCY,INTEGRATED WATER SERVICES,0000201217,524.30
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/05/2013,M/W CONTRCTR OPRNTL MTHLY MAIN,ENVIRONMENT,PROF SER CNSLTNCY-PPM CNSLTNCY,INTEGRATED WATER SERVICES,0000201217,629.16
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/05/2013,M/W CONTRCTR OPRNTL MTHLY MAIN,ENVIRONMENT,PROF SER CNSLTNCY-PPM CNSLTNCY,INTEGRATED WATER SERVICES,0000201217,104.86
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/05/2013,M/W CONTRCTR OPRNTL MTHLY MAIN,ENVIRONMENT,PROF SER CNSLTNCY-PPM CNSLTNCY,INTEGRATED WATER SERVICES,0000201217,104.86
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/05/2013,M/W CONTRCTR OPRNTL MTHLY MAIN,ENVIRONMENT,PROF SER CNSLTNCY-PPM CNSLTNCY,INTEGRATED WATER SERVICES,0000201217,209.72
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/05/2013,M/W CONTRCTR OPRNTL MTHLY MAIN,ENVIRONMENT,PROF SER CNSLTNCY-PPM CNSLTNCY,INTEGRATED WATER SERVICES,0000201217,104.86
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/05/2013,M/W CONTRCTR OPRNTL MTHLY MAIN,ENVIRONMENT,PROF SER CNSLTNCY-PPM CNSLTNCY,INTEGRATED WATER SERVICES,0000201217,104.86
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/05/2013,M/W CONTRCTR OPRNTL MTHLY MAIN,ENVIRONMENT,PROF SER CNSLTNCY-PPM CNSLTNCY,INTEGRATED WATER SERVICES,0000201217,209.72
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/05/2013,M/W CONTRCTR OPRNTL MTHLY MAIN,ENVIRONMENT,PROF SER CNSLTNCY-PPM CNSLTNCY,INTEGRATED WATER SERVICES,0000201218,1730.08
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/05/2013,M/W CONTRCTR OPRNTL MTHLY MAIN,ENVIRONMENT,PROF SER CNSLTNCY-PPM CNSLTNCY,INTEGRATED WATER SERVICES,0000201223,786.40
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/05/2013,M/W CONTRCTR OPRNTL MTHLY MAIN,ENVIRONMENT,PROF SER CNSLTNCY-PPM CNSLTNCY,INTEGRATED WATER SERVICES,0000201223,524.30
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/05/2013,M/W CONTRCTR OPRNTL MTHLY MAIN,ENVIRONMENT,PROF SER CNSLTNCY-PPM CNSLTNCY,INTEGRATED WATER SERVICES,0000201223,1102.60
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/05/2013,M/W CONTRCTR OPRNTL MTHLY MAIN,ENVIRONMENT,PROF SER CNSLTNCY-PPM CNSLTNCY,INTEGRATED WATER SERVICES,0000201223,786.40
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/05/2013,M/W CONTRCTR OPRNTL MTHLY MAIN,ENVIRONMENT,PROF SER CNSLTNCY-PPM CNSLTNCY,INTEGRATED WATER SERVICES,0000201223,1715.41
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/05/2013,M/W CONTRCTR OPRNTL MTHLY MAIN,ENVIRONMENT,PROF SER CNSLTNCY-PPM CNSLTNCY,INTEGRATED WATER SERVICES,0000201223,786.40
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/05/2013,M/W CONTRCTR OPRNTL MTHLY MAIN,ENVIRONMENT,PROF SER CNSLTNCY-PPM CNSLTNCY,INTEGRATED WATER SERVICES,0000201223,209.72
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/05/2013,M/W CONTRCTR OPRNTL MTHLY MAIN,ENVIRONMENT,PROF SER CNSLTNCY-PPM CNSLTNCY,INTEGRATED WATER SERVICES,0000201223,786.40
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/05/2013,M/W CONTRCTR OPRNTL MTHLY MAIN,ENVIRONMENT,PROF SER CNSLTNCY-PPM CNSLTNCY,INTEGRATED WATER SERVICES,0000201223,1184.55
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/05/2013,M/W CONTRCTR OPRNTL MTHLY MAIN,ENVIRONMENT,PROF SER CNSLTNCY-PPM CNSLTNCY,INTEGRATED WATER SERVICES,0000201223,786.40
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/05/2013,M/W CONTRCTR OPRNTL MTHLY MAIN,ENVIRONMENT,PROF SER CNSLTNCY-PPM CNSLTNCY,INTEGRATED WATER SERVICES,0000201223,524.30
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/05/2013,M/W CONTRCTR OPRNTL MTHLY MAIN,ENVIRONMENT,PROF SER CNSLTNCY-PPM CNSLTNCY,INTEGRATED WATER SERVICES,0000201223,524.30
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/05/2013,M/W CONTRCTR OPRNTL MTHLY MAIN,ENVIRONMENT,PROF SER CNSLTNCY-PPM CNSLTNCY,INTEGRATED WATER SERVICES,0000201223,524.30
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/05/2013,M/W CONTRCTR OPRNTL MTHLY MAIN,ENVIRONMENT,PROF SER CNSLTNCY-PPM CNSLTNCY,INTEGRATED WATER SERVICES,0000201223,786.40
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/05/2013,M/W CONTRCTR OPRNTL MTHLY MAIN,ENVIRONMENT,PROF SER CNSLTNCY-PPM CNSLTNCY,INTEGRATED WATER SERVICES,0000201223,1102.60
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/05/2013,M/W CONTRCTR OPRNTL MTHLY MAIN,ENVIRONMENT,PROF SER CNSLTNCY-PPM CNSLTNCY,INTEGRATED WATER SERVICES,0000201223,924.10
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/05/2013,M/W CONTRCTR OPRNTL MTHLY MAIN,ENVIRONMENT,PROF SER CNSLTNCY-PPM CNSLTNCY,INTEGRATED WATER SERVICES,0000201223,786.40
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/05/2013,M/W CONTRCTR OPRNTL MTHLY MAIN,ENVIRONMENT,PROF SER CNSLTNCY-PPM CNSLTNCY,INTEGRATED WATER SERVICES,0000201223,104.86
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/05/2013,M/W CONTRCTR OPRNTL MTHLY MAIN,ENVIRONMENT,PROF SER CNSLTNCY-PPM CNSLTNCY,INTEGRATED WATER SERVICES,0000201223,157.28
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/05/2013,M/W CONTRCTR OPRNTL MTHLY MAIN,ENVIRONMENT,PROF SER CNSLTNCY-PPM CNSLTNCY,INTEGRATED WATER SERVICES,0000201223,104.86
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,07/06/2013,MONITORING & FLOW MEASUREMENT,ENVIRONMENT,PROF SER CNSLTNCY-PPM CNSLTNCY,INTEGRATED WATER SERVICES,0000201276,1769.40
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/05/2013,M/W SCOPING/FEASIBILITY/CONCEP,ENVIRONMENT,PROF SER TECH-ENGINEERING SER,ATKINS LIMITED,0000201294,648.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,02/06/2013,CURR YR ADDNS MINEWATER SCHEME,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,J N BENTLEY LIMITED,0000201361,-476.51
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,02/06/2013,CURR YR ADDNS MINEWATER SCHEME,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,J N BENTLEY LIMITED,0000201362,85.88
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,17/06/2013,M/W TELECOMS & TELEMETRY,ENVIRONMENT,ICT-TELECOMS,WYLESS PLC,0000201484,50.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/05/2013,M/W SLUDGE DISPOSAL,ENVIRONMENT,WASTE MANAGEMENT-WSTE MNGT SER,NATIONAL COAL MINING MUSE,0000201486,28695.02
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,31/05/2013,M/W SLUDGE DISPOSAL,ENVIRONMENT,WASTE MANAGEMENT-WSTE MNGT SER,NATIONAL COAL MINING MUSE,0000201487,3840.16
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,20/06/2013,M/W LANDSCAPING,ENVIRONMENT,PROF SER-ENVIRONMENTAL SRVICES,LOWTHER FORESTRY GROUP LI,0000201491,300.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,20/06/2013,M/W LANDSCAPING,ENVIRONMENT,PROF SER-ENVIRONMENTAL SRVICES,LOWTHER FORESTRY GROUP LI,0000201491,310.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,20/06/2013,M/W LANDSCAPING,ENVIRONMENT,PROF SER-ENVIRONMENTAL SRVICES,LOWTHER FORESTRY GROUP LI,0000201491,1285.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,20/06/2013,M/W LANDSCAPING,ENVIRONMENT,PROF SER-ENVIRONMENTAL SRVICES,LOWTHER FORESTRY GROUP LI,0000201491,514.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,20/06/2013,M/W LANDSCAPING,ENVIRONMENT,PROF SER-ENVIRONMENTAL SRVICES,LOWTHER FORESTRY GROUP LI,0000201491,2225.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,20/06/2013,M/W LANDSCAPING,ENVIRONMENT,PROF SER-ENVIRONMENTAL SRVICES,LOWTHER FORESTRY GROUP LI,0000201491,1066.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,20/06/2013,M/W LANDSCAPING,ENVIRONMENT,PROF SER-ENVIRONMENTAL SRVICES,LOWTHER FORESTRY GROUP LI,0000201491,2650.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,20/06/2013,M/W LANDSCAPING,ENVIRONMENT,PROF SER-ENVIRONMENTAL SRVICES,LOWTHER FORESTRY GROUP LI,0000201491,460.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,20/06/2013,M/W LANDSCAPING,ENVIRONMENT,PROF SER-ENVIRONMENTAL SRVICES,LOWTHER FORESTRY GROUP LI,0000201491,1045.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,20/06/2013,M/W LANDSCAPING,ENVIRONMENT,PROF SER-ENVIRONMENTAL SRVICES,LOWTHER FORESTRY GROUP LI,0000201491,177.00
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,19/06/2013,CONTRACTORS - BOREHOLES,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,DRILCORP LIMITED,0000201560,32492.47
DEPARTMENT OF ENERGY AND CLIMATE CHANGE,THE COAL AUTHORITY,19/06/2013,CURR YR ADDNS MINEWATER SCHEME,ENVIRONMENT,CONSTRUCTION-MAIN CONTRACTORS,INTEGRATED WATER SERVICES,0000201561,31344.38
