Local Authority Collected Waste Recycling,April - June 06,July - Sept 06,Oct - Dec 06,Jan - Mar 07,2006/07,April - June 07,July - Sept 07,Oct - Dec 07,Jan - Mar 08,2007/08,April - June 08,July - Sept 08,Oct - Dec 08,Jan - Mar 09,2008/09,April - June 09,July - Sept 09,Oct - Dec 09,Jan - Mar 10,2009/10
Local authority collected waste (excl. recycling/comp/reuse),"304,884","284,277","271,762","268,235","1,129,157","281,975","265,772","266,936","254,926","1,069,610","266,307","255,710","236,649","233,253","991,919","236,974","236,895","218,272","214,614","906,755"
Household recycling/comp/reuse,"97,739","95,360","75,769","73,679","342,547","104,906","103,498","77,705","74,661","360,771","111,275","114,862","79,381","80,007","385,525","120,303","119,467","90,385","85,851","416,004"
Non household recycling/comp/reuse,"21,046","20,351","15,704","20,664","77,764","26,685","24,061","15,123","15,890","81,759","23,839","21,135","14,422","15,852","75,248","25,800","27,021","18,538","17,940","89,301"
Local authority collected recycling/comp/reuse,"118,786","115,710","91,473","94,343","420,311","131,591","127,559","92,828","90,551","442,530","135,113","135,997","93,803","95,860","460,773","146,103","146,488","108,923","103,790","505,305"
Total local authority collected waste (incl. recycling/comp/reuse),"423,669","399,987","363,234","362,578","1,549,468","413,567","393,332","359,764","345,477","1,512,140","401,420","391,707","330,452","329,113","1,452,692","383,077","383,382","327,195","318,405","1,412,059"
Local authority collected recycling/comp/reuse rate,28.04%,28.93%,25.18%,26.02%,27.13%,31.82%,32.43%,25.80%,26.21%,29.27%,33.66%,34.72%,28.39%,29.13%,31.72%,38.14%,38.21%,33.29%,32.60%,35.78%
,,,,,,,,,,,,,,,,,,,,
Local Authority Collected Waste Recovery,April - June 06,July - Sept 06,Oct - Dec 06,Jan - Mar 07,2006/07,April - June 07,July - Sept 07,Oct - Dec 07,Jan - Mar 08,2007/08,April - June 08,July - Sept 08,Oct - Dec 08,Jan - Mar 09,2008/09,April - June 09,July - Sept 09,Oct - Dec 09,Jan - Mar 10,2009/10
Local authority collected waste (excl. recycling/comp/reuse),"304,884","284,277","271,762","268,235","1,129,157","281,975","265,772","266,936","254,926","1,069,610","266,307","255,710","236,649","233,253","991,919","236,974","236,895","218,272","214,614","906,755"
Local authority collected recycling/comp/reuse,"118,786","115,710","91,473","94,343","420,311","131,591","127,559","92,828","90,551","442,530","135,113","135,997","93,803","95,860","460,773","146,103","146,488","108,923","103,790","505,305"
Incineration with EfW and RDF,"60,907","52,383","53,856","50,843","217,988","57,650","52,890","47,674","39,987","198,201","61,451","54,452","50,831","46,384","213,118","71,150","59,198","65,997","69,696","266,041"
Local authority collected waste recovery,"179,692","168,093","145,328","145,186","638,299","189,242","180,450","140,502","130,538","640,731","196,564","190,449","144,634","142,244","673,891","217,253","205,686","174,920","173,486","771,345"
Total local authority collected waste (incl. recycling/comp/reuse),"423,669","399,987","363,234","362,578","1,549,468","413,567","393,332","359,764","345,477","1,512,140","401,420","391,707","330,452","329,113","1,452,692","383,077","383,382","327,195","318,405","1,412,059"
Local authority collected recycling/comp/reuse rate,42.41%,42.02%,40.01%,40.04%,41.19%,45.76%,45.88%,39.05%,37.78%,42.37%,48.97%,48.62%,43.77%,43.22%,46.39%,56.71%,53.65%,53.46%,54.49%,54.63%
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Table 4: Household waste and recycling per person by quarter (North East),,,,,,,,,,,,,,,,,,,Kilograms per person,
,April - June 06,July - Sept 06,Oct - Dec 06,Jan - Mar 07,2006/07,April - June 07,July - Sept 07,Oct - Dec 07,Jan - Mar 08,2007/08,April - June 08,July - Sept 08,Oct - Dec 08,Jan - Mar 09,2008/09,April - June 09,July - Sept 09,Oct - Dec 09,Jan - Mar 10,2009/10
Household waste not recycled/composted/reused,102,94,89,88,374,94,88,90,83,355,88,86,79,78,331,79,80,72,72,303
Household waste recycled/composted/reused,38,37,30,29,134,41,40,30,29,141,43,45,31,31,150,47,46,35,33,161
Total household waste,140,132,119,117,508,135,129,120,112,496,131,130,110,109,481,126,126,107,105,464
