Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,AP Amount,Purchase Invoice Number,
Department of Health,Sussex Community NHS Foundation Trust,12/31/2016,Home Loans,Community Equipment WS,WEST SUSSEX COUNTY COUNCIL,21245202,"129,367.00",8001190858,
Department of Health,Sussex Community NHS Foundation Trust,12/31/2016,NonNHS Trade Pybls Curr,Balance Sheet,NHS SUPPLY CHAIN,21245237,"38,125.14",1017169156,
Department of Health,Sussex Community NHS Foundation Trust,12/31/2016,External Consultancy Fees,Finance Admin,CAPITA PROPERTY & INFRASTRUCTURE LTD,21268734,"143,797.57",6017068642,
Department of Health,Sussex Community NHS Foundation Trust,12/31/2016,Commercial Sector,HR Central,SOFTCAT LTD,21299657,"58,434.00",INV01512721,
Department of Health,Sussex Community NHS Foundation Trust,12/31/2016,Commercial Sector,MSK - PCIS (Vale) WS,HERE,21303026,"170,065.56",BICS551,
Department of Health,Sussex Community NHS Foundation Trust,12/31/2016,Commercial Sector,MSK - PCIS (W) WS,MEDICAL IMAGING PARTNERSHIP LTD,21303187,"52,708.95",5041,
Department of Health,Sussex Community NHS Foundation Trust,12/31/2016,Commercial Sector,MSK - PCIS (W) WS,MEDICAL IMAGING PARTNERSHIP LTD,21303193,"54,633.40",5053,
Department of Health,Sussex Community NHS Foundation Trust,12/31/2016,Continence Products,Continence Home Delivery,PAUL HARTMANN LTD,21317501,"48,166.74",71414264OR,
Department of Health,Sussex Community NHS Foundation Trust,12/31/2016,Continence Products,Continence Home Delivery,PAUL HARTMANN LTD,21317502,"44,775.30",71414701OR,
Department of Health,Sussex Community NHS Foundation Trust,12/31/2016,Continence Products,Continence Home Delivery,PAUL HARTMANN LTD,21317520,"41,483.29",71416168OR,
Department of Health,Sussex Community NHS Foundation Trust,12/31/2016,Computer Software/License,IT Management,KHIPU NETWORKS LTD,21320384,"30,670.53",16763,
Department of Health,Sussex Community NHS Foundation Trust,12/31/2016,NonNHS Trade Pybls Curr,Balance Sheet,NHS SUPPLY CHAIN,21352100,"45,944.14",1017165220,
Department of Health,Sussex Community NHS Foundation Trust,12/31/2016,NonNHS Trade Pybls Curr,Balance Sheet,NHS SUPPLY CHAIN,21352129,"63,163.87",1017175749,
Department of Health,Sussex Community NHS Foundation Trust,12/31/2016,NonNHS Trade Pybls Curr,Balance Sheet,NHS SUPPLY CHAIN,21352159,"61,593.02",1017179157,
Department of Health,Sussex Community NHS Foundation Trust,12/31/2016,AUC Additions,Balance Sheet,TASKER CATCHPOLE LTD,21352367,"36,188.69",3150,
Department of Health,Sussex Community NHS Foundation Trust,12/31/2016,Computer Network Costs,IT Management,NHS SOUTH EAST COMMISSIONING SUPPORT UNIT,21386374,"155,299.87",7311610382,
Department of Health,Sussex Community NHS Foundation Trust,12/31/2016,Commercial Sector,Mgt and Adm Adults East,HERE,21400691,"32,020.08",BICS619,
Department of Health,Sussex Community NHS Foundation Trust,12/31/2016,NonNHS Trade Pybls Curr,Balance Sheet,,SSC DD4715051135 NAT WEST PURG,"26,967.08 ",,
Department of Health,Sussex Community NHS Foundation Trust,12/31/2016,Payroll Ded'ns N/S Curr,Balance Sheet,,CHILCARE VOUCHERS,"37,382.29 ",,
Department of Health,Sussex Community NHS Foundation Trust,12/31/2016,Commercial Sector,Deputy Director of Finance,,SSC SBS SLA,"60,817.87 ",,
Department of Health,Sussex Community NHS Foundation Trust,12/31/2016,CNST contributions,Governance,,SSC DD/NHSLA,"32,683.00 ",,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,A3131,"5,298,103.39",,
,,,,,,A3132," 157,850.24 ",,
,,,,,,,,,
,,,,,,,"5,455,953.63",,
,,,,,,,,,
,,,,,,,,,
,,,,,,Check, 0.00 ,,
