Name,Title,DateFrom,DateTo,Destination,Purpose,TravelAirGBP,TravelRailGBP,TravelCarTaxiGBP,AccommodationMealsGBP,OtherInclHospitalityGivenGBP,TotalGBP,Notes
NINA PURCELL,Director of Regulatory Delivery ,2017-04-24,2017-04-24,London,Stakeholder Engagement,,48.7,13.44,124.91,,187.05,
NINA PURCELL,Director of Regulatory Delivery ,2017-04-25,2017-04-26,London - York,Executive Management Team Meeting,,173.5,12.76,131.45,,317.71,
NINA PURCELL,Director of Regulatory Delivery ,2017-05-08,2017-05-08,London,Stakeholder Engagement,,159.7,,6.1,,165.8,
NINA PURCELL,Director of Regulatory Delivery ,2017-05-09,2017-05-11,Belfast,Executive Management Team Meeting,138.06,,,195.55,,333.61,
NINA PURCELL,Director of Regulatory Delivery ,2017-05-16,2017-05-17,London,Stakeholder Engagement,,108.93,,173.93,,282.86,
NINA PURCELL,Director of Regulatory Delivery ,2017-05-31,2017-05-31,London,Stakeholder Engagement,,98.9,,13.19,,112.09,
NINA PURCELL,Director of Regulatory Delivery ,2017-06-05,2017-06-07,London,Stakeholder Engagement,,97.4,,297.91,,395.31,
NINA PURCELL,Director of Regulatory Delivery ,2017-06-13,2017-06-14,London,Stakeholder Engagement,,97.4,,171.7,,269.1,
NINA PURCELL,Director of Regulatory Delivery ,2017-06-20,2017-06-22,Liverpool / Preston,Stakeholder Engagement,,168,,89,,257,
NINA PURCELL,Director of Regulatory Delivery ,2017-06-26,2017-06-27,York,Stakeholder Engagement,,172.6,,114.33,,286.93,
NINA PURCELL,Director of Regulatory Delivery ,2017-06-28,2017-06-28,York-Nottingham,Stakeholder Engagement,,,218.32,,,218.32,
STEVE WEARNE,Director of Policy,2017-04-25,2017-04-26,London/York,Executive Management Team Meeting,,172.6,,121,,293.6,
STEVE WEARNE,Director of Policy,2017-05-10,2017-05-11,Belfast,Executive Management Team Meeting,120.53,,,180,,300.53,
STEVE WEARNE,Director of Policy,2017-05-11,2017-05-12,Rome,Departmental Business,307.4,21.86,42.37,85.4,,457.03,
STEVE WEARNE,Director of Policy,2017-06-05,2017-06-06,London,Executive Management Team Meeting,,,,121.25,,121.25,
STEVE WEARNE,Director of Policy,2017-06-08,2017-06-08,Oxford,Stakeholder Engagement,,57.6,,,,57.6,
STEVE WEARNE,Director of Policy,2017-06-12,2017-06-12,London ,Stakeholder Engagement,,,13,100.68,,113.68,
STEVE WEARNE,Director of Policy,2017-06-14,2017-06-15,Brussels,Stakeholder Engagement,242,152.59,,130.08,,524.67,
STEVE WEARNE,Director of Policy,2017-06-19,2017-06-21,Liverpool,FSA Board Meeting,,153.95,,178,100.05,432,
STEVE WEARNE,Director of Policy,2017-06-26,2017-06-27,London,Executive Management Team Meeting,,,,137.25,,137.25,
STEVE WEARNE,Director of Policy,2017-06-28,2017-06-29,Guildford,External Conference,,26,11.8,,,37.8,
