Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction No,Sum of Amount,Text,Postcode,
Department for Transport,Department for Transport,04/02/2013,Support Services,Aviation,CIVIL AVIATION AUTHORITY,2000022234,50000,#,RH10 0YR,
Department for Transport,Department for Transport,04/02/2013,Taxis,Air Accident Investigation Branch,,2000022194,12,*Trip from 08.10.12 To  19.10.12 to   Antigua,,
Department for Transport,Department for Transport,04/02/2013,Taxis,Aviation Security ,,2000022170,63.9,*Trip from 07.01.13 To  11.01.13 to   Montreal,,
Department for Transport,Department for Transport,04/02/2013,Telephone charges,Air Accident Investigation Branch,ALTERNATIVE NETWORKS PLC,2000022252,986.77,#,SW11 3UL,
Department for Transport,Department for Transport,04/02/2013,Traffic Survey & Cou,Roads,HIGHWAYS AGENCY (14272),2000022259,4125.86,#,HP2 4XW,
Department for Transport,Department for Transport,04/02/2013,Training,Marine Accident Investigation Branch,ECDIS LTD,2000022256,1500,#,PO15 7AN,
Department for Transport,Department for Transport,04/02/2013,Transport  Consult,DASH,ENVIRONMENTAL SCIENTIFICS GROUP LTD,2000022229,1413.6,#,DE15 0YZ,
Department for Transport,Department for Transport,05/02/2013,Agency Staff Costs,Business Transformation,LA INTERNATIONAL COMPUTER,2000022358,1977.12,#,ST1 5UB,
Department for Transport,Department for Transport,05/02/2013,Agency Staff Costs,Local,SPRING TECHNOLOGY LTD  ALSO T/A,2000022372,765.9,#,B37 7YE,
Department for Transport,Department for Transport,05/02/2013,Agency Staff Costs,Refran Prog Off,BADENOCH & CLARK,2000022352,3650.4,#,EC4V 4BG,
Department for Transport,Department for Transport,05/02/2013,Agency Staff Costs,Group Finance,LA INTERNATIONAL COMPUTER,2000022358,10768.44,#,ST1 5UB,
Department for Transport,Department for Transport,05/02/2013,Computer Consumables,Analysis/Science,EQUANET,2000022357,194.4,HP CP4525  Transfer Kit,BL9 7BJ,
Department for Transport,Department for Transport,05/02/2013,Computer Consumables,Analysis/Science,EQUANET,2000022357,192,HP CP4525 Black Toner cartridge,BL9 7BJ,
Department for Transport,Department for Transport,05/02/2013,Computer Consumables,Analysis/Science,EQUANET,2000022357,235.2,HP CP4525 Cyan and Yellow Cartridges,BL9 7BJ,
Department for Transport,Department for Transport,05/02/2013,Contract Cleaning,Rail Accident Investigation Branch,OFFICE CARE LTD,2000022376,1279.75,#,DE24 8AN,
Department for Transport,Department for Transport,05/02/2013,Courier Charges,Business Transformation,DX SECURE LIMITED,2000022350,677,#,NN3 6YG,
Department for Transport,Department for Transport,05/02/2013,CurrGrt Las in AEF/A,London and Olympics,GREATER LONDON AUTHORITY,2000022378,108807000,#,SE1 2UT,
Department for Transport,Department for Transport,05/02/2013,CurrGrtOth to NDPBs,DASH,FIRST GREAT WESTERN LIMITED,2000022370,25000,Payment for Power Surveys on FGW,SN1 1HL,
Department for Transport,Department for Transport,05/02/2013,Data Supply - TD,Transport Direct and Travel information,INRIX MEDIA LTD,2000022371,18499.2,#,WA14 1EP,
Department for Transport,Department for Transport,05/02/2013,Eurotunnel Admin Pay,Rail Commercial Contracts,EUROTUNNEL,2000022275,4117981.6,Eurotunnel GBP Payment Jan 13,CT18 8XY,
Department for Transport,Department for Transport,05/02/2013,Eurotunnel Admin Pay,Rail Commercial Contracts,EUROTUNNEL (EURO PAYMENTS),2000022276,4833861.61,Eurotunnel EUR Payment Jan 13,CT18 8X,
Department for Transport,Department for Transport,05/02/2013,IT Consultancy,Rail,IWEB LTD,2000022368,4320,#,RH13 6AA,
Department for Transport,Department for Transport,05/02/2013,IT Ser Running Costs,Local,KENDA ELECTRONIC SYSTEMS LTD,2000022375,4140,#,SO40 3NB,
Department for Transport,Department for Transport,05/02/2013,Management Consultan,Group Finance,VEHICLE CERTIFICATION AGENCY,2000022366,-9145,#,BS5 6XX,
Department for Transport,Department for Transport,05/02/2013,Other Advertising,Local,PENNA COMMUNICATIONS,2000022374,911.76,#,EC4M 7RD,
Department for Transport,Department for Transport,05/02/2013,Other Travel Costs,Rail,,2000022308,32,*Trip from 02.01.13 To  02.01.13 to   London,,
Department for Transport,Department for Transport,05/02/2013,Prog&ProjMgmt Consul,Local,STEER DAVIES & GLEAVE LTD,2000022363,33468.74,#,SE1 9PD,
Department for Transport,Department for Transport,05/02/2013,Property Maintenance,Air Accident Investigation Branch,INTERSERVE,2000022377,590.59,#,BS32 4NH,
Department for Transport,Department for Transport,05/02/2013,Publications for Res,Marine Accident Investigation Branch,,2000022373,1375,#,,
Department for Transport,Department for Transport,05/02/2013,Rail Travel,Rail,,2000022308,562.6,*Trip from 02.01.13 To  02.01.13 to   London,,
Department for Transport,Department for Transport,05/02/2013,Rent - L&B (non-PFI),Business Transformation,HOME OFFICE,2000022347,190000,Accommodation Charges @ Marsham St 11/12-01/13,NP20 9BB,
Department for Transport,Department for Transport,05/02/2013,Research,Transport Security Strategy,HOME OFFICE,2000022347,46227.32,#,NP20 9BB,
Department for Transport,Department for Transport,05/02/2013,Research,Analysis/Science,TRANSPORT RESEARCH LABORATORY,2000022364,1654.6,#,RG40 3GA,
Department for Transport,Department for Transport,05/02/2013,Security,Air Accident Investigation Branch,INTERSERVE,2000022377,428.92,#,BS32 4NH,
Department for Transport,Department for Transport,05/02/2013,Storage & Distributi,General Counsel's Office,COMMUNITIES AND LOCAL GOVERNMENT,2000022346,82477.97,#,HP2 4XN,
Department for Transport,Department for Transport,05/02/2013,Subscriptions to Pro,Business Transformation,PROFILE GROUP (UK) LTD,2000022362,2142.05,#,EC1N 8JS,
Department for Transport,Department for Transport,05/02/2013,Support Services,Aviation,CIVIL AVIATION AUTHORITY,2000022354,32485,#,RH10 0YR,
Department for Transport,Department for Transport,05/02/2013,Support Services,Aviation,CIVIL AVIATION AUTHORITY,2000022354,32500,#,RH10 0YR,
Department for Transport,Department for Transport,05/02/2013,Support Services,Group Finance,RAILWAYS PENSION MANAGEMENT LT,2000022369,1160000,#,DL3 6EH,
Department for Transport,Department for Transport,05/02/2013,Support Services,Group Finance,RAILWAYS PENSION MANAGEMENT LT,2000022369,-90000,#,DL3 6EH,
Department for Transport,Department for Transport,05/02/2013,Telephone Line Rent,Business Transformation,CABLE & WIRELESS,2000022353,6120,c&w message labs jan-mar 13,MK3 5JP,
Department for Transport,Department for Transport,05/02/2013,Training,Air Accident Investigation Branch,MONARCH AIRLINES LTD,2000022360,7600,#,LU2 9NU,
Department for Transport,Department for Transport,06/02/2013,Agency Staff Costs,Group Internal Audit,REED SPECIALIST RECRUITMENT LTD,2000022456,2341.2,#,SW20 0BA,
Department for Transport,Department for Transport,06/02/2013,Agency Staff Costs,Commercial & Technical Services,,2000022451,5625,#,,
Department for Transport,Department for Transport,06/02/2013,Agency Staff Costs,Business Transformation,NETWORKERS INTERNATIONAL (UK) PLC,2000022468,6698.18,#,BR1 1HP,
Department for Transport,Department for Transport,06/02/2013,Agency Staff Costs,Permanent Secretary,NETWORKERS INTERNATIONAL (UK) PLC,2000022468,994.42,#,BR1 1HP,
Department for Transport,Department for Transport,06/02/2013,Agency Staff Costs,Local,CAPITA RESOURCING LTD,2000022462,5405.4,#,DL1 9HN,
Department for Transport,Department for Transport,06/02/2013,Agency Staff Costs,Group HR,HAYS PERSONNEL SERVICE LTD,2000022434,3303.24,#,KT3 4JQ,
Department for Transport,Department for Transport,06/02/2013,Agency Staff Costs,Group HR,HAYS PERSONNEL SERVICE LTD,2000022434,4154.1,#,KT3 4JQ,
Department for Transport,Department for Transport,06/02/2013,Agency Staff Costs,Group HR,HAYS PERSONNEL SERVICE LTD,2000022434,1661.64,#,KT3 4JQ,
Department for Transport,Department for Transport,06/02/2013,Agency Staff Costs,Group HR,HAYS PERSONNEL SERVICE LTD,2000022434,-3303.24,#,KT3 4JQ,
Department for Transport,Department for Transport,06/02/2013,Agency Staff Costs,Group HR,HAYS PERSONNEL SERVICE LTD,2000022434,4154.1,#,KT3 4JQ,
Department for Transport,Department for Transport,06/02/2013,Agency Staff Costs,Group Finance,ALLEN LANE FINANCIAL RECRUITMENT,2000022438,4036.38,#,BN11 2BW,
Department for Transport,Department for Transport,06/02/2013,Agency Staff Costs,Group Finance,ALLEN LANE FINANCIAL RECRUITMENT,2000022438,2719.38,#,BN11 2BW,
Department for Transport,Department for Transport,06/02/2013,Agency Staff Costs,Group Finance,BADENOCH & CLARK,2000022440,4843.66,#,EC4V 4BG,
Department for Transport,Department for Transport,06/02/2013,Agency Staff Costs,Group Finance,MICHAEL PAGE INTERNATIONAL,2000022461,3210.06,#,SL1 3SA,
Department for Transport,Department for Transport,06/02/2013,Agency Staff Costs,Group Finance,NETWORKERS INTERNATIONAL (UK) PLC,2000022468,3408.78,#,BR1 1HP,
Department for Transport,Department for Transport,06/02/2013,Agency Staff Costs,Rail and Road Projects,EXPERIS LTD,2000022444,11671.56,#,EC1R 3DR,
Department for Transport,Department for Transport,06/02/2013,Agency Staff Costs,Rail Commercial Contracts,MORGAN HUNT UK LTD,2000022450,4056,#,EC4M 7EG,
Department for Transport,Department for Transport,06/02/2013,Agency Staff Costs,Rail Commercial Contracts,MORGAN HUNT UK LTD,2000022450,3650.4,#,EC4M 7EG,
Department for Transport,Department for Transport,06/02/2013,Agency Staff Costs,Rail Commercial Contracts,EXPERIS LTD,2000022444,4766.76,#,EC1R 3DR,
Department for Transport,Department for Transport,06/02/2013,Agency Staff Costs,Rail Commercial Contracts,EXPERIS LTD,2000022444,2383.38,#,EC1R 3DR,
Department for Transport,Department for Transport,06/02/2013,Agency Staff Costs,Rail Commercial Contracts,MICHAEL PAGE INTERNATIONAL,2000022461,3540.24,#,SL1 3SA,
Department for Transport,Department for Transport,06/02/2013,Agency Staff Costs,Local,EXPERIS LTD,2000022444,894.12,#,EC1R 3DR,
Department for Transport,Department for Transport,06/02/2013,Agency Staff Costs,Commercial & Technical Services,TRANSPORT RESEARCH LABORATORY,2000022460,19054.8,#,RG40 3GA,
Department for Transport,Department for Transport,06/02/2013,Agency Staff Costs,Refran Prog Off,ADVANTAGE TECHNICAL RESOURCING LTD,2000022480,1054.44,#,RG21 4FF,
Department for Transport,Department for Transport,06/02/2013,Agency Staff Costs,Refran Prog Off,MICHAEL PAGE INTERNATIONAL,2000022461,2808,#,SL1 3SA,
Department for Transport,Department for Transport,06/02/2013,Agency Staff Costs,Group Finance,MICHAEL PAGE INTERNATIONAL,2000022461,3942.84,#,SL1 3SA,
Department for Transport,Department for Transport,06/02/2013,Agency Staff Costs,Refran Prog Off,NETWORKERS INTERNATIONAL (UK) PLC,2000022468,887.94,#,BR1 1HP,
Department for Transport,Department for Transport,06/02/2013,Cap Grt Loc Auth,Local,BLACKPOOL COUNCIL,2000022478,1701357.11,Blackpool Tram & GM Retaining Walls Final Claims,FY3 7HW,
Department for Transport,Department for Transport,06/02/2013,Cap Grt Loc Auth,Local,STOCKPORT MBC,2000022432,5061561.26,Blackpool Tram & GM Retaining Walls Final Claims,SK1 3XE,
Department for Transport,Department for Transport,06/02/2013,Cap Grt Pri Sec-Cos.,Rail and Road Projects,LONDON UNDERGROUND,2000022471,45160.5,KX SSq Q3 -2012/13,NW1 2AH,
Department for Transport,Department for Transport,06/02/2013,Data Supply - TD,Transport Direct and Travel information,BASEMAP LIMITED,2000022477,2110.8,#,GU2 7YG,
Department for Transport,Department for Transport,06/02/2013,Data Supply - TD,Transport Direct and Travel information,RAIL SETTLEMENT PLAN,2000022454,1755.6,#,WC1N 1BY,
Department for Transport,Department for Transport,06/02/2013,Data Supply - TD,Transport Direct and Travel information,RAIL SETTLEMENT PLAN,2000022454,1755.6,#,WC1N 1BY,
Department for Transport,Department for Transport,06/02/2013,Electricity,Air Accident Investigation Branch,MINISTRY OF DEFENCE,2000022463,2969.69,#,L2 3YL,
Department for Transport,Department for Transport,06/02/2013,IT Equip Cap Cost,Commercial & Technical Services Research,SPECIALIST COMPUTER CENTRES PLC,2000022469,4723.68,#,B11 2LE,
Department for Transport,Department for Transport,06/02/2013,Legal Consultancy,Refran Prog Off,EVERSHEDS LLP,2000022445,5641.62,#,LS11 5DR,
Department for Transport,Department for Transport,06/02/2013,Legal Consultancy,Refran Prog Off,EVERSHEDS LLP,2000022445,5248.85,#,LS11 5DR,
Department for Transport,Department for Transport,06/02/2013,Machinery Rental,Maritime,DANWOOD GROUP LTD,2000022443,1276.11,#,LN6 3DG,
Department for Transport,Department for Transport,06/02/2013,Management Consultan,Rail and Road Projects,PRICEWATERHOUSECOOPERS LLP,2000022453,129247.52,#,E14 9SQ,
Department for Transport,Department for Transport,06/02/2013,Medical Advisory Ser,Group HR,HEALTH MANAGEMENT LTD,2000022446,2104.5,#,BN8 5NN,
Department for Transport,Department for Transport,06/02/2013,Medical Advisory Ser,Group HR,HEALTH MANAGEMENT LTD,2000022446,3517,#,BN8 5NN,
Department for Transport,Department for Transport,06/02/2013,Medical Advisory Ser,Group HR,HEALTH MANAGEMENT LTD,2000022446,595,#,BN8 5NN,
Department for Transport,Department for Transport,06/02/2013,Medical Advisory Ser,Group HR,HEALTH MANAGEMENT LTD,2000022446,6515.54,#,BN8 5NN,
Department for Transport,Department for Transport,06/02/2013,Non Stock Machine Co,Permanent Secretary,SUPPLIES TEAM,2000022437,554.64,1014003 HP LASERJET 4700 FUSER,S9 1XU,
Department for Transport,Department for Transport,06/02/2013,Non Stock Machine Co,Business Transformation,SUPPLIES TEAM,2000022437,234.98,9004078 OKI B6300 LASER TONER/DRUM 11K Y,S9 1XU,
Department for Transport,Department for Transport,06/02/2013,Non Stock Machine Co,Business Transformation,SUPPLIES TEAM,2000022437,137.7,C9731A HP CLJ5500 SRS LASER TONER CART C,S9 1XU,
Department for Transport,Department for Transport,06/02/2013,Non Stock Machine Co,Business Transformation,SUPPLIES TEAM,2000022437,275.4,C9733A HP CLJ5500 SRS LASER TONER CART M,S9 1XU,
Department for Transport,Department for Transport,06/02/2013,Other Professional F,Managing Director Motoring Services,GOVERNMENT ACTUARY'S DEPARTMENT,2000022426,1580.05,#,EC4A 1AB,
Department for Transport,Department for Transport,06/02/2013,Other Sprs - Ptoc,Rail Commercial Contracts,LONDON & SOUTH EASTERN RAILWAY,2000022465,113389,1311 Wk4 Efficiency Benefit Share Mechanism - Refu,SE1 8PG,
Department for Transport,Department for Transport,06/02/2013,Other Sprs - Rtoc,Rail and Road Projects,WEST COAST TRAINS LTD.,2000022464,85532.4,1311 Wk4 Alstom charges for upgrade to simulator -,B5 4HA,
Department for Transport,Department for Transport,06/02/2013,Other Sprs - Rtoc,Rail Commercial Contracts,FIRST CAPITAL CONNECT,2000022466,81661,1311 Wk4 Efficiency Benefit Share Mechanism 09/10,EC1V 9QS,
Department for Transport,Department for Transport,06/02/2013,Other Sprs - Rtoc,Rail Commercial Contracts,FIRST GREATER WESTERN,2000022467,244812,1311 Wk4 Efficiency Benefit Share Mechanism - refu,SN1 1HL,
Department for Transport,Department for Transport,06/02/2013,Printing,DASH,WILLIAMS LEA LIMITED,2000022476,2451.44,#,NR3 1PD,
Department for Transport,Department for Transport,06/02/2013,Publications for Res,Business Transformation,CREATIVE CHOICE CIC,2000022475,624,#,SW1H 0DJ,
Department for Transport,Department for Transport,06/02/2013,Publications for Res,DASH,CREATIVE CHOICE CIC,2000022475,1326,#,SW1H 0DJ,
Department for Transport,Department for Transport,06/02/2013,Publications for Res,DASH,CREATIVE CHOICE CIC,2000022475,543.92,#,SW1H 0DJ,
Department for Transport,Department for Transport,06/02/2013,Publicity,Roads,LEO BURNETT LTD,2000022447,7278,#,W14 8HQ,
Department for Transport,Department for Transport,06/02/2013,Publicity,Roads,LEO BURNETT LTD,2000022447,10278.5,#,W14 8HQ,
Department for Transport,Department for Transport,06/02/2013,Purchasing Card Char,Centrally held prog,BARCLAYS BANK PLC,2000022441,52681.61,Barclays - DFT ISE - Feb 2013,NN4 7SG,
Department for Transport,Department for Transport,06/02/2013,Purchasing Card Char,Group Finance,BARCLAYS BANK PLC,2000022441,2028.17,Barclays - DFT Corporate - Feb 2013,NN4 7SG,
Department for Transport,Department for Transport,06/02/2013,Purchasing Card Char,Group Finance,BARCLAYS BANK PLC,2000022441,27358.96,Barclays - DFT Corporate - Feb 2013,NN4 7SG,
Department for Transport,Department for Transport,06/02/2013,Purchasing Card Char,Group Finance,BARCLAYS BANK PLC,2000022441,5777.89,Barclays - DFT MPL - Feb 2013,NN4 7SG,
Department for Transport,Department for Transport,06/02/2013,Research,Greener Transport & International,NETFUNDI LTD,2000022452,586,#,LA1 1SQ,
Department for Transport,Department for Transport,06/02/2013,Research,Greener Transport & International,NETFUNDI LTD,2000022452,586,#,LA1 1SQ,
Department for Transport,Department for Transport,06/02/2013,Research,Greener Transport & International,TRANSPORT RESEARCH LABORATORY,2000022460,894.19,#,RG40 3GA,
Department for Transport,Department for Transport,06/02/2013,Research,Greener Transport & International,TRANSPORT RESEARCH LABORATORY,2000022460,3322.33,#,RG40 3GA,
Department for Transport,Department for Transport,06/02/2013,Research,Marine Accident Investigation Branch,BRAEMAR TECHNICAL SERVICES LTD,2000022479,25000,#,EC3N 3AA,
Department for Transport,Department for Transport,06/02/2013,Security,General Counsel's Office,FCO SERVICES,2000022425,5181.6,#,MK19 7BH,
Department for Transport,Department for Transport,06/02/2013,Security,General Counsel's Office,FCO SERVICES,2000022425,2846.4,#,MK19 7BH,
Department for Transport,Department for Transport,06/02/2013,Services prov by OGD,Group HR,DWP SHARED SERVICES,2000022422,28128,#,CF14 3UW,
