Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),Description,VAT registration number
Department of Health,03F,31/10/2017,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,NORTHPOINT,KHU000026343,"£46,023.43",CONTRACT PAYMENTS MONTH 7,
Department of Health,03F,31/10/2017,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,ST ANDREWS SURGERY,KHU000026356,"£116,814.19",CONTRACT PAYMENTS MONTH 7,
Department of Health,03F,31/10/2017,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,EAST HULL FAMILY PRACTICE,KHU000026358,"£250,328.79",CONTRACT PAYMENTS MONTH 7,
Department of Health,03F,31/10/2017,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR NAYAR J K,KHU000026515,"£46,101.04",LOCAL ENHANCED SERVICES,
Department of Health,03F,31/10/2017,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,DR WEIR J A D & PARTNERS,KHU000026523,"£144,661.68",LOCAL ENHANCED SERVICES,
Department of Health,03F,31/10/2017,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,WILBERFORCE SURGERY,KHU000026539,"£45,692.85",LOCAL ENHANCED SERVICES,
Department of Health,03F,31/10/2017,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,SOUTHCOATES MEDICAL CENTRE,KHU000026549,"£27,278.59",CONTRACT PAYMENTS MONTH 7,
Department of Health,03F,31/10/2017,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,JAMES ALEXANDER FAMILY PRACTICE,KHU000026552,"£78,664.64",LOCAL ENHANCED SERVICES,
Department of Health,03F,31/10/2017,PrePayments 1 yr,BALANCE SHEET,SUE RYDER CARE,PPNOINV6083,"£34,004.80",CONTINUING HEALTHCARE VARIOUS,
Department of Health,03F,31/10/2017,Clinical&Medical-Independent Sector,PATIENT TRANSPORT,SRCL LTD,1142752,"£29,324.29",NON PTS SERVICES,
Department of Health,03F,31/10/2017,Non-PFI Oprtng Lease-Bldgs-Lease Rent,RECHARGES NHS PROPERTY SERVICES LTD,COMMUNITY HEALTH PARTNERSHIPS LTD,60044916,"£232,876.19",VOID SPACE CHARGES SEP 2017,
Department of Health,03F,31/10/2017,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,SPIRE HEALTHCARE LTD,03FHULPF171807,"£704,028.00",1/12 ESTIMATED ANNUAL CONTRACT VALUE OCT 2017,
Department of Health,03F,31/10/2017,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,SPIRE HEALTHCARE LTD,03FHULREC171804,"£158,075.33",SAC ACTIVITY JULY 2017/18,
Department of Health,03F,31/10/2017,Clinical&Medical-Independent Sector,NCAS/OATS,CITIZENS ADVICE BUREAU,4,"£41,736.25",HULL GP PROJECT - OCT SERVICE,
Department of Health,03F,31/10/2017,Training Expenses,HUMAN RESOURCES,PAUL FOR BRAIN RECOVERY,60,"£25,000.00",EQUALITY AND DIVERSITY SUPPORT JANUARY 2017,
Department of Health,03F,31/10/2017,Telecoms-Data lines,PRIMARY CARE IT,BT GLOBAL SERVICES,790222916,"£38,289.16",TELEPHONIC CHARGES AUG 17,
Department of Health,03F,31/10/2017,Telecoms-Data lines,PRIMARY CARE IT,BT GLOBAL SERVICES,790225545,"£38,447.39",RENTAL CHARGES SEPT 2017,
Department of Health,03F,31/10/2017,Cont Care- Palliative Care,CHC ADULT FULLY FUNDED,HULL CITY COUNCIL,1000244370,"£68,525.72",FNC RECHARGE 27/02/2017 - 31/03/2017,
Department of Health,03F,31/10/2017,Clinical&Medical-Othe Public Sector,COMMUNITY SERVICES,HULL CITY COUNCIL,1000251013,"£110,137.77",CHC RECHARGE AUG 17,
Department of Health,03F,31/10/2017,Clinical&Medical-Othe Public Sector,COMMUNITY SERVICES,HULL CITY COUNCIL,1000253096,"£110,137.77",CARE IN THE COMMUNITY RECHARGES SEPT 2017,
Department of Health,03F,31/10/2017,Services From Local Authorities,NON RECURRENT PROGRAMMES,HULL CITY COUNCIL,1000253172,"£90,015.00",REPAYMENT OF KPMG INVOICES,
Department of Health,03F,31/10/2017,Other Gen Supplies & Srv,INTERPRETING SERVICES,AA GLOBAL LANGUAGE SERVICES LTD,1045,"£30,860.75",FACE TO FACE INTERPRETING SERVICES ,
Department of Health,03F,31/10/2017,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,HULL IVF,124309,"£55,112.91",IVF ACTIVITY AUG 17,
Department of Health,03F,31/10/2017,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,HULL IVF,124462,"£53,818.23",ACTIVITY FOR SEPTEMBER 2017,
Department of Health,03F,31/10/2017,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,NOTTINGHAM REHAB LTD,1800100209,"£283,959.59",ICON ACTIVITY SEPT 2017,
Department of Health,03F,31/10/2017,Clinical&Medical-Independent Sector,PATIENT TRANSPORT,THAMES AMBULANCE SERVICE LTD,19547,"£58,333.33",BLOCK CONTRACT OCTOBER 2017,
Department of Health,03F,31/10/2017,Cont Care-Physical Disab (65+),CHC ADULT FULLY FUNDED,BLUE MOUNTAIN HOMES LTD,2943,"£25,774.29",CHC RM OCTOBER 2016,
Department of Health,03F,31/10/2017,Other professional fees,NON RECURRENT PROGRAMMES,YORK HEALTH ECONOMICS CONSORTIUM,3996,"£25,140.00",PROFESSIONAL CONSULTING FEES,
Department of Health,03F,31/10/2017,C&M-GMS Practice Transformational Support,PRIMARY CARE INVESTMENTS,CITY HEALTH CARE PARTNERSHIP CIC,7410021635,"£53,358.00",TRANSFORMATIONAL SUPPORT FOR PRIMARY CARE 50% APRIL TO SEPT 2017,
Department of Health,03F,31/10/2017,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410022608,"£37,906.52",LONGHILL HC RENT CHARGE JULY 2017,
Department of Health,03F,31/10/2017,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410022609,"£37,943.88",LONGHILL HC RENT CHARGE AUGUST 2017,
Department of Health,03F,31/10/2017,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410023000,"£26,642.46",RECHARGE AUGUST ROOM SESSIONS,
Department of Health,03F,31/10/2017,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410023010,"£37,837.84",LONGHILL HC RENT CHARGE JUNE 2017,
Department of Health,03F,31/10/2017,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410023112,"£300,300.00",OCT 17 URGENT CARE ,
Department of Health,03F,31/10/2017,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410023114,"£1,626,625.00",OCT 17 INTERGRATED COMMUNITY SERVICES,
Department of Health,03F,31/10/2017,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410023115,"£233,559.92",OCT 17 INTEGRATED COMMUNITY SERVICES AMMENDMENT,
Department of Health,03F,31/10/2017,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410023118,"£54,220.83",OCT 17 SEXUAL HEALTH SERVICES  ,
Department of Health,03F,31/10/2017,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410023120,"£183,108.58",OCT 17 OUT OF SCOPE ,
Department of Health,03F,31/10/2017,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410023123,"£204,006.33",OCT 17 COMMUNITY PAEDIATRICS OOS,
Department of Health,03F,31/10/2017,Clinical&Medical-Independent Sector,MENTAL HEALTH CONTRACTS,CITY HEALTH CARE PARTNERSHIP CIC,7410023127,"£292,740.96",OCT 2017 DEPRESSION & ANXIETY SERVICE,
Department of Health,03F,31/10/2017,LPF Management Fees,PROGRAMME PROJECTS,KIER BUSINESS SERVICES LTD,90230800,"£112,336.80",PROFESSIONAL SERVICES OCTOBER 2017,
Department of Health,03F,31/10/2017,Clinical&Medical-Voluntary Sector,HOSPICES,DOVE HOUSE HOSPICE,FR299,"£42,716.67",CONTRACT FUNDING 17/18,
Department of Health,03F,31/10/2017,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,WOLSELEY MEDICAL CENTRE,KHU000026352,"£63,517.54",CONTRACT PAYMENTS MONTH 7,
Department of Health,03F,31/10/2017,C&M-APMS Contract Value,PRC DELEGATED CO-COMMISSIONING,CITY HEALTH CARE PARTNERSHIP CIC,KHU000026354,"£95,376.37",CONTRACT PAYMENTS MONTH 7,
Department of Health,03F,31/10/2017,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,BURNBRAE MEDICAL PRACTICE,KHU000026545,"£43,399.59",LOCAL ENHANCED SERVICES,
Department of Health,03F,31/10/2017,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,GOODHEART SURGERY,KHU000026555,42764.36,CONTRACT PAYMENTS MONTH 7,
Department of Health,03F,31/10/2017,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,CITY HEALTH PRACTICE LTD,KHU000026557,28820.22,CONTRACT PAYMENTS MONTH 7,
Department of Health,03F,31/10/2017,C&M-GMS Cost of Drugs -Prescribing,LOCAL ENHANCED SERVICES,LAURBEL SURGERY,KHU000026558,31239.56,LOCAL ENHANCED SERVICES,
Department of Health,03F,31/10/2017,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,HEALTHSHARE LTD,OCT17HCCGHS0057,136924.91,FIXED PAYMENT MNTH 7 17/18,
Department of Health,03F,31/10/2017,Clinical&Medical-Othe Public Sector,REABLEMENT,HULL CITY COUNCIL,1000252597,1613788.17,17/18 BETTER CARE FUND ,
Department of Health,03F,31/10/2017,Other Gen Supplies & Srv,INTERPRETING SERVICES,AA GLOBAL LANGUAGE SERVICES LTD,1334,28756.7,FACE TO FACE INTERPRETING,
Department of Health,03F,31/10/2017,Clinical&Medical-Voluntary Sector,COMMUNITY SERVICES,HOME-START (HULL),Q320172018,27245.25,QTR 3 ,
Department of Health,03F,31/10/2017,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,HEALTHSHARE LTD,SEPT17HCCGHS0056SPA,32166.67,HEALTHSHARE HULL SEP 17,
