Department family,Entity,Date of payment,Expense area,Expense type,Supplier,"Transaction 
number",Amount in Sterling
Department of Health,Mersey Care NHS Trust,19/01/2012,General Estates,Integral/Mitie Unplanned,Mitie Technical Facilities Management Ltd,444592,"85,251"
Department of Health,Mersey Care NHS Trust,19/01/2012,General Estates,Minor Works,Mitie Technical Facilities Management Ltd,444592,"58,367"
Department of Health,Mersey Care NHS Trust,12/01/2012,Hss - Security Entrance Design,Building Works,Melwood Construction Ltd,446360,"28,704"
Department of Health,Mersey Care NHS Trust,19/01/2012,Energy,Electricity,Southern Electric Plc,446760,"42,961"
Department of Health,Mersey Care NHS Trust,02/02/2012,General Estates,Integral/Mitie Unplanned,Mitie Technical Facilities Management Ltd,446963,"146,836"
Department of Health,Mersey Care NHS Trust,19/01/2012,Bal Sheet Control,Salary Sacrifice - Computers,Lets Connect It Solutions Limited,447355,"559,597"
Department of Health,Mersey Care NHS Trust,20/01/2012,Rates And Rents,General Rates,Liverpool City Council,447682,"43,655"
Department of Health,Mersey Care NHS Trust,26/01/2012,Energy,Gas,Total Gas & Power,447938,"59,607"
Department of Health,Mersey Care NHS Trust,19/01/2012,Bal Sheet Control,Smp,Hmrc,1061907,"-51,855"
Department of Health,Mersey Care NHS Trust,19/01/2012,Bal Sheet Control,Superannuation (Er),Nhs Pensions,1061907,"1,178,974"
Department of Health,Mersey Care NHS Trust,19/01/2012,Bal Sheet Control,Ni (Er),Hmrc,1061907,"802,859"
Department of Health,Mersey Care NHS Trust,19/01/2012,Bal Sheet Control,Student Loan Deductions,Hmrc,1061907,"19,657"
Department of Health,Mersey Care NHS Trust,16/01/2012,Mct Legal Services,Clinical Negligence,NHSLA,1062011,"42,659"
Department of Health,Mersey Care NHS Trust,17/01/2012,Bal Sheet Control,Income Tax,Hmrc,1061907,653
Department of Health,Mersey Care NHS Trust,19/01/2012,Bal Sheet Control,Income Tax,Hmrc,1061907,"1,542,585"
Department of Health,Mersey Care NHS Trust,19/01/2012,Bal Sheet Control,Ni (Ee) Lesscont Out,Hmrc,1061907,"692,601"
Department of Health,Mersey Care NHS Trust,20/01/2012,Bal Sheet Control,Income Tax,Hmrc,1061907,4
Department of Health,Mersey Care NHS Trust,19/01/2012,Bal Sheet Control,Superannuation (Ee),Nhs Pensions,1061907,"547,698"
