IATI-Number,Project-Number,Project name,Project Description ,Benefiting Country,Country Code,Benefitting Region,Region Code,Input Sector,Input Sector text,Delivery Channel,Delivery channel text,Aid Type,Nature of Submission,Activity Start Date,Commitment Date,Activity End Date,Activity Status,Activity Scope,Climate Change - Adaptation,Climate Change - Mitigation,Climate Change - Biodiversity,Climate Change - Desertification,Gender Equality,Aid to Environment,Good Governance,Trade Development,RMNCH,Document 1 - Type,2015 Q 4,Full Year Actuals
GB-GOV-3-PAF-ERA-140001,PAF-ERA-140001,Promoting development through irrigation schemes for agriculture,"This project aims to support economic development in the communities of Gheshi -Nashim by providing an electrical water pump and water pipes for irrigation activities that can create income generating capacity,",Eritrea,ER,,,31140,Agricultural water resources,23000,Developing country-based NGO,C01,3,01/04/2014,01/04/2014,31/03/2015,3,4,0,0,0,0,0,0,0,0,0,https://www.gov.uk/government/collections/official-development-assistance-oda--2#programme-strategies,"9,982.00","9,982.00"
GB-GOV-3-PAF-ERA-140002,PAF-ERA-140002,Support development through agricultural productivity,A project aiming to support economic development and resilience to climate change impacts by improving household and national food security through field trials of high yield potato varieties and their distribution to rural farmers.,Eritrea,ER,,,31120,Agricultural development,51000,"University, college or other teaching institution, research institute or thinkâ€‘tank",C01,3,01/04/2014,01/04/2014,31/03/2015,3,4,0,0,0,0,0,0,0,0,0,https://www.gov.uk/government/collections/official-development-assistance-oda--2#programme-strategies,"9,760.00","9,760.00"
GB-GOV-3-PAF-ETA-140001,PAF-ETA-140001,Administrative Costs of ODA Projects  in Ethiopia,"Project facilitation costs covering planning, implementation and resources in Ethiopia",Ethiopia,ET,,,91010,Administrative costs,11000,Donor Government,G01,3,01/04/2014,01/04/2014,31/03/2015,3,4,0,0,0,0,0,0,0,0,0,https://www.gov.uk/government/collections/official-development-assistance-oda--2#programme-strategies,"2,261.00","2,261.00"
GB-GOV-3-PAF-ETA-140002,PAF-ETA-140002,Women's Empowerment and Development ,Support dissemination of development messages (on the theme of women's empowerment) at a major international event,Ethiopia,ET,,,15170,Womenâ€™s equality organisations and institutions,51000,"University, college or other teaching institution, research institute or thinkâ€‘tank",C01,3,01/04/2014,01/04/2014,31/03/2015,3,4,0,0,0,0,2,0,0,0,0,https://www.gov.uk/government/collections/official-development-assistance-oda--2#programme-strategies,158,158
GB-GOV-3-PAF-ETA-140003,PAF-ETA-140003,UK-Ethiopia project to promote shared knowledge of bilateral issues,Promotion of UK and Ethiopia bilateral relations including development and trade and investment issues in a national televised programme.,Ethiopia,ET,,,25010,Business support services and institutions,51000,"University, college or other teaching institution, research institute or thinkâ€‘tank",C01,3,01/04/2014,01/04/2014,31/03/2015,3,4,0,0,0,0,0,0,0,0,0,https://www.gov.uk/government/collections/official-development-assistance-oda--2#programme-strategies,"6,186.00","6,186.00"
GB-GOV-3-PAF-ETA-140004,PAF-ETA-140004,Improving public services in Ethiopia,This project aims to strengthen governance and effective public service delivery by establishing a series of evidence- and research-based policy debates for stakeholders from government and civil society.,Ethiopia,ET,,,15110,Public sector policy and administrative management,51000,"University, college or other teaching institution, research institute or thinkâ€‘tank",C01,3,01/04/2014,01/04/2014,31/03/2015,3,4,0,0,0,0,0,0,0,0,0,https://www.gov.uk/government/collections/official-development-assistance-oda--2#programme-strategies,"7,451.00","7,451.00"
GB-GOV-3-PAF-ETA-140005,PAF-ETA-140005,Young Women's University Leadership Programme,A project that aims to promote the participation of women in democratic and civic activity by supporting the debate and leadership clubs for women at 9 universities.,Ethiopia,ET,,,15170,Womenâ€™s equality organisations and institutions,51000,"University, college or other teaching institution, research institute or thinkâ€‘tank",C01,3,01/04/2014,01/04/2014,31/03/2015,3,4,0,0,0,0,2,0,0,0,0,https://www.gov.uk/government/collections/official-development-assistance-oda--2#programme-strategies,"10,508.00","10,508.00"
GB-GOV-3-PAF-ETA-140007,PAF-ETA-140007,Helping Dijbouti support stability in the Horn of Africa,"This project will help Djibouti support stability in the Horn of Africa, including as the host of the regional governmental body, IGAD, and as a troop contributor to the AMISOM peace-keeping force in Somalia by training senior officials to speak English.   As a French speaking country its  officials often do not have the requisite English skills to communicate effectively with their neighbours, which hampers their ability to work with each other and with Western partners to solve regional conflicts.",Ethiopia,ET,,,15220,"Civilian peace-building, conflict prevention and resolution",11000,Donor Government,C01,1,01/04/2015,01/04/2015,31/03/2016,3,4,0,0,0,0,0,0,0,0,0,https://www.gov.uk/government/collections/official-development-assistance-oda--2#programme-strategies,"4,946.00","4,946.00"
GB-GOV-3-PAF-GHA-140002,PAF-GHA-140002,Strengthening women's' participation in local government.,This project will organize community events and training in order to help traditional /community leaders understand the importance of female candidates and support their participation in local government elections.,Ghana,GH,,,15160,Human rights,20000,Non-governmental Organisations (NGOs) And Civil Society,C01,1,01/04/2015,01/04/2015,31/03/2016,3,4,0,0,0,0,0,0,0,0,0,https://www.gov.uk/government/collections/official-development-assistance-oda--2#programme-strategies,"4,117.00","4,117.00"
GB-GOV-3-PAF-GHA-140003,PAF-GHA-140003,Supporting the role of women in elections in Ghana,This project promoted and increased women's involvement in the 2014 District level elections in the East Akim Municipal Assembly in the eastern region of Ghana by monitoring best practice and empowering civil society to hold authorities to account.,Ghana,GH,,,15170,Womenâ€™s equality organisations and institutions,12000,Recipient Government,C01,3,01/04/2014,01/04/2014,31/03/2015,3,4,0,0,0,0,2,0,0,0,0,https://www.gov.uk/government/collections/official-development-assistance-oda--2#programme-strategies,"6,348.00","6,348.00"
GB-GOV-3-PAF-GHA-140006,PAF-GHA-140006,Supporting education in Ghana,A project supporting the Turing Trust’s donation of recycled computers to Ghanaian schools to support improvements in the quality of education.,,,"Africa, regional",298,11120,Education facilities and training,11000,Donor Government,C01,3,01/04/2014,01/04/2014,31/03/2015,3,2,0,0,0,0,0,0,0,0,0,https://www.gov.uk/government/collections/official-development-assistance-oda--2#programme-strategies,"3,620.00","3,620.00"
GB-GOV-3-PAF-GHA-140007,PAF-GHA-140007,"Promoting UK culture, higher education and  creative industries","This project facilitated Shakespeare’s Globe’s performance of Hamlet in Ghana; promoting English literature, UK universities and the UK’s creative industry.",,,"Africa, regional",298,16061,Culture and recreation,11000,Donor Government,C01,3,01/04/2014,01/04/2014,31/03/2015,3,2,0,0,0,0,0,0,0,0,0,https://www.gov.uk/government/collections/official-development-assistance-oda--2#programme-strategies,279,279
GB-GOV-3-PAF-GHA-140008,PAF-GHA-140008,Regeneration of UNESCO world heritage site:  Jamestown Fort,"A project aimed at improving education and supporting economic development, by helping to convert Jamestown Fort  into an IT training facility for young people as part of a wider regeneration strategy for the area.",,,"Africa, regional",298,11120,Education facilities and training,11000,Donor Government,C01,3,01/04/2014,01/04/2014,31/03/2015,3,2,0,0,0,0,0,0,0,0,0,https://www.gov.uk/government/collections/official-development-assistance-oda--2#programme-strategies,"10,026.00","10,026.00"
GB-GOV-3-PAF-GMB-140004,PAF-GMB-140004,Supporting healthcare in Gambia,A project to improve healthcare for women by funding the construction of a maternity ward at the Nyofelleh Health Clinic.,Gambia,GM,,,12191,Medical services,51000,"University, college or other teaching institution, research institute or thinkâ€‘tank",C01,3,01/04/2014,01/04/2014,31/03/2015,3,4,0,0,0,0,0,0,0,0,0,https://www.gov.uk/government/collections/official-development-assistance-oda--2#programme-strategies,"1,000.00","1,000.00"
GB-GOV-3-PAF-GMB-140005,PAF-GMB-140005,Creation of an Ebola Isolation & Treatment Unit,This project aims to increase resilience to Ebola virus pandemics by supporting the establishment of a National Ebola Isolation/Treatment Centre.,Gambia,GM,,,12191,Medical services,10000,Public Sector Institutions,C01,3,01/04/2014,01/04/2014,31/03/2015,3,4,0,0,0,0,0,0,0,0,0,https://www.gov.uk/government/collections/official-development-assistance-oda--2#programme-strategies,145,145
GB-GOV-3-PAF-GMB-140006,PAF-GMB-140006,Promoting women's rights in Gambia,A project that aims to promote gender equality and improve the protection of the rights of women by building capacity of women community paralegals .,Gambia,GM,,,15170,Womenâ€™s equality organisations and institutions,11000,Donor Government,C01,3,01/04/2014,01/04/2014,31/03/2015,3,4,0,0,0,0,2,0,0,0,0,https://www.gov.uk/government/collections/official-development-assistance-oda--2#programme-strategies,"5,000.00","5,000.00"
GB-GOV-3-PAF-GMB-140007,PAF-GMB-140007,Supporting Women's Livelihoods,A project aiming to promote economic development and increase the income-generating capacity of women by developing skills and providing basic materials for small businesses.,Gambia,GM,,,15170,Womenâ€™s equality organisations and institutions,11000,Donor Government,C01,3,01/04/2014,01/04/2014,31/03/2015,3,4,0,0,0,0,2,0,0,0,0,https://www.gov.uk/government/collections/official-development-assistance-oda--2#programme-strategies,"2,941.00","2,941.00"
GB-GOV-3-PAF-ICA-140002,PAF-ICA-140002,Preventing sexual violence in schools,This project will help to reduce the level of sexual violence in schools on Cote d'Ivoire by raising awareness of the issue in schools and encouraging students to oppose it within their schools and communities.,Cote d'Ivoire,CI,,,11110,Education policy and administrative management,11000,Donor Government,C01,1,01/04/2015,01/04/2015,31/03/2016,3,4,0,0,0,0,0,0,0,0,0,https://www.gov.uk/government/collections/official-development-assistance-oda--2#programme-strategies,"2,500.00","2,500.00"
GB-GOV-3-PAF-KEN-140002,PAF-KEN-140002,Supporting conflict resolution in Kenya.,This project contributed to a Mau Mau memorial which will help victims of past violations participate in efforts to increase community healing in Kenya.,Kenya,KE,,,15220,"Civilian peace-building, conflict prevention and resolution",12000,Recipient Government,C01,3,01/04/2014,01/04/2014,31/03/2015,3,4,0,0,0,0,0,0,0,0,0,https://www.gov.uk/government/collections/official-development-assistance-oda--2#programme-strategies,"70,027.00","70,027.00"
GB-GOV-3-PAF-KEN-140003,PAF-KEN-140003,Promoting human rights of children,A project to promote the protection of human rights of children by enhancing the capacity of national law enforcers to safeguard children from sexual abuse and exploitation.,Kenya,KE,,,15160,Human rights,10000,Public Sector Institutions,C01,3,01/04/2014,01/04/2014,31/03/2015,3,4,0,0,0,0,0,0,0,0,0,https://www.gov.uk/government/collections/official-development-assistance-oda--2#programme-strategies,"5,897.00","5,897.00"
GB-GOV-3-PAF-KEN-140004,PAF-KEN-140004,Economic empowerment for vulnerable women ,"A project aiming to promote economic development and the empowerment of vulnerable women, especially survivors of violence, through skills development and small business support.",Kenya,KE,,,15170,Womenâ€™s equality organisations and institutions,10000,Public Sector Institutions,C01,3,01/04/2014,01/04/2014,31/03/2015,3,4,0,0,0,0,2,0,0,0,0,https://www.gov.uk/government/collections/official-development-assistance-oda--2#programme-strategies,"9,999.00","9,999.00"
GB-GOV-3-PAF-KEN-140005,PAF-KEN-140005,Supporting development through improved health services,This project aims to support education and economic development by ensuring access to affordable eye health services in Kwale County. ,Kenya,KE,,,12250,Infectious disease control,10000,Public Sector Institutions,C01,3,01/04/2014,01/04/2014,31/03/2015,3,4,1,1,1,1,0,0,0,0,0,https://www.gov.uk/government/collections/official-development-assistance-oda--2#programme-strategies,"9,924.00","9,924.00"
GB-GOV-3-PAF-KEN-140006,PAF-KEN-140006,Supporting access to education ,A project aiming to improve access to and effectiveness of education at Swani Secondary School by providing a sustainable source of clean drinking water. ,Kenya,KE,,,14020,Water supply and sanitation - large systems,10000,Public Sector Institutions,C01,3,01/04/2014,01/04/2014,31/03/2015,3,4,0,0,0,0,0,0,0,0,0,https://www.gov.uk/government/collections/official-development-assistance-oda--2#programme-strategies,"3,261.00","3,261.00"
GB-GOV-3-PAF-KEN-140007,PAF-KEN-140007,Climate change adaptation and environmental protection,This project aims to help the Lamu County Government  adapt to climate change and protect the environment by harnessing alternative sources of power.,Kenya,KE,,,41010,Environmental policy and administrative management,10000,Public Sector Institutions,C01,3,01/04/2014,01/04/2014,31/03/2015,3,4,2,2,2,2,0,0,0,0,0,https://www.gov.uk/government/collections/official-development-assistance-oda--2#programme-strategies,"3,131.00","3,131.00"
GB-GOV-3-PAF-KEN-140008,PAF-KEN-140008,Tackling corruption to promote economic development ,"A project that aims to promote economic development and prosperity by strengthening ethical values in business and addressing areas of corruption, making doing business in Kenya easier for all.",Kenya,KE,,,15110,Public sector policy and administrative management,10000,Public Sector Institutions,C01,3,01/04/2014,01/04/2014,31/03/2015,3,4,0,0,0,0,0,0,0,0,0,https://www.gov.uk/government/collections/official-development-assistance-oda--2#programme-strategies,"6,050.00","6,050.00"
GB-GOV-3-PAF-MDT-140001,PAF-MDT-140001,Addressing corruption in Madagascar's public services ,"This project aims to strengthen governance and effective delivery of public services in Madagascar’s capital city by identifying corruption-related constraints to investment and growth faced by private firms (both local and foreign) and promoting a more transparent and open rules-based economic system, contributing to the fight against corruption and reinforcing the governance framework for the delivery of public services .",Madagascar,MG,,,15130,Legal and judicial development,52000,Other,C01,3,01/04/2014,01/04/2014,31/03/2015,3,4,0,0,0,0,0,0,0,0,0,https://www.gov.uk/government/collections/official-development-assistance-oda--2#programme-strategies,"7,830.00","7,830.00"
GB-GOV-3-PAF-MDT-140003,PAF-MDT-140003,Economic and social empowerment of women,This project aims to promote economic development and empowerment of women by contributing to the establishment of a skills development facility focused on helping women diversify their livelihoods and increase  income.  ,Madagascar,MG,,,15170,Womenâ€™s equality organisations and institutions,21005,Consumer Unity and Trust Society International,C01,3,01/04/2014,01/04/2014,31/03/2015,3,4,0,0,0,0,2,0,0,0,0,https://www.gov.uk/government/collections/official-development-assistance-oda--2#programme-strategies,"2,928.00","2,928.00"
GB-GOV-3-PAF-MDT-140005,PAF-MDT-140005,Promoting development through education,"This project aims to improve access to and the quality of education in Antoby school by helping to improve the learning environment and available materials. 
",Madagascar,MG,,,15110,Public sector policy and administrative management,52000,Other,C01,3,01/04/2014,01/04/2014,31/03/2015,3,4,0,0,0,0,0,0,0,0,0,https://www.gov.uk/government/collections/official-development-assistance-oda--2#programme-strategies,"1,350.00","1,350.00"
GB-GOV-3-PAF-MUP-140001,PAF-MUP-140001,Assistance to the Mauritian government for developing the tertiary education sector in Mauritius,This project aims to improve access to and quality of tertiary education by supporting the Mauritian government to audit and review the relatively new sector of tertiary education. ,Mauritius,MU,,,11420,Higher education,51000,"University, college or other teaching institution, research institute or thinkâ€‘tank",C01,3,01/04/2014,01/04/2014,31/03/2015,3,4,0,0,0,0,0,0,0,0,0,https://www.gov.uk/government/collections/official-development-assistance-oda--2#programme-strategies,363,363
GB-GOV-3-PAF-MUP-140003,PAF-MUP-140003,Assistance on education to the Chagossian community in Mauritius,The project aims to provide access to English language education for the Chagossian community living in Mauritius.   ,Mauritius,MU,,,11110,Education policy and administrative management,52000,Other,C01,3,01/04/2014,01/04/2014,31/03/2015,3,4,0,0,0,0,0,0,0,0,0,https://www.gov.uk/government/collections/official-development-assistance-oda--2#programme-strategies,"2,431.00","2,431.00"
GB-GOV-3-PAF-MUP-140004,PAF-MUP-140004,Improving employment prospects in the Chagossian community,This project aims to promote economic development and empowerment of members of the Chagossian community by building skills required for entering employment. ,Mauritius,MU,,,15110,Public sector policy and administrative management,52000,Other,c01,3,01/04/2014,01/04/2014,31/03/2015,3,4,0,0,0,0,0,0,0,0,0,https://www.gov.uk/government/collections/official-development-assistance-oda--2#programme-strategies,"1,599.00","1,599.00"
GB-GOV-3-PAF-MUP-140005,PAF-MUP-140005,Supporting professional development in Mauritius,A project aiming to help improve professional education options in Mauritius through an assessment of the current needs for  professional development opportunities and options for ways forward.,Mauritius,MU,,,15110,Public sector policy and administrative management,52000,Other,C01,3,01/04/2014,01/04/2014,31/03/2015,3,4,0,0,0,0,0,0,0,0,0,https://www.gov.uk/government/collections/official-development-assistance-oda--2#programme-strategies,"2,971.00","2,971.00"
GB-GOV-3-PAF-MUP-140006,PAF-MUP-140006,Tackling gender-based violence issues in Mauritius,This project aims to promote respect for human rights and gender equality by raising awareness of the work of NGOs involved in tackling gender based violence.,Mauritius,MU,,,15170,Womenâ€™s equality organisations and institutions,11000,Donor Government,C01,3,01/04/2014,01/04/2014,31/03/2015,3,4,0,0,0,0,2,0,0,0,0,https://www.gov.uk/government/collections/official-development-assistance-oda--2#programme-strategies,"1,501.00","1,501.00"
GB-GOV-3-PAF-MUP-140007,PAF-MUP-140007,Development of nursing capabilities in Mauritius,The project aims to support improvement to provision of healthcare by improving links between the UK and the Ministry of Health to foster cooperation on improving nursing capabilities in Mauritius.,Mauritius,MU,,,12281,Health personnel development,50000,Other,C01,3,01/04/2014,01/04/2014,31/03/2015,3,4,0,0,0,0,0,0,0,0,0,https://www.gov.uk/government/collections/official-development-assistance-oda--2#programme-strategies,583,583
GB-GOV-3-PAF-MWL-140002,PAF-MWL-140002,Support for Malawi representation to the Illegal Wildlife Trade conference in Botswana,Providing two economy airfares and hotel accommodation to enable a Malawi delegation to attend in Botswana the follow-up to the London conference on the illegal wildlife trade and push for further implementation of the London Declaration.,Malawi,MW,,,41030,Bio-diversity,11000,Donor Government,C01,3,01/04/2015,01/04/2015,31/03/2016,3,4,0,0,0,0,0,0,0,0,0,https://www.gov.uk/government/collections/official-development-assistance-oda--2#programme-strategies,"2,164.00","2,164.00"
GB-GOV-3-PAF-NIA-140004,PAF-NIA-140004,Encouraging Abolition of the Death Penalty,"A project to encourage abolition of the death penalty by publicising the cases of those on death row, and supporting advocacy with the Federal government and State governments to have their sentences commuted or cases reviewed. ",Nigeria,NG,,,15130,Legal and judicial development,23000,Developing country-based NGO,C01,3,01/04/2014,01/04/2014,31/03/2015,3,4,0,0,1,0,0,0,0,0,0,https://www.gov.uk/government/collections/official-development-assistance-oda--2#programme-strategies,"8,437.00","8,437.00"
GB-GOV-3-PAF-NIA-140007,PAF-NIA-140007,Support democracy through media capacity building,"A project to enhance democratic accountability in Nigeria by improving the investigative reporting role of the media and strengthening its ability to expose misconduct and corruption, through capacity building in media organisations in Lagos and Abuja.",Nigeria,NG,,,15153,Media and free flow of information,20000,Non-governmental Organisations (NGOs) And Civil Society,C01,3,01/04/2014,01/04/2014,31/03/2015,3,4,0,0,1,0,0,0,0,0,0,https://www.gov.uk/government/collections/official-development-assistance-oda--2#programme-strategies,"18,320.00","18,320.00"
GB-GOV-3-PAF-NMW-140002,PAF-NMW-140002,Reducing gender-based violence through school-based awareness raising Projects ,"This programme is intended to tackle gender-based violence by increasing awareness amongst young people, teachers and parents about the different forms of gender-based violence, and its causes and the effects.",NAMIBIA,NA,,,15170,Womenâ€™s equality organisations and institutions,22000,Donor country-based NGO,C01,3,01/04/2014,01/04/2014,31/03/2015,3,4,0,0,1,0,2,0,0,0,0,https://www.gov.uk/government/collections/official-development-assistance-oda--2#programme-strategies,"1,666.00","1,666.00"
GB-GOV-3-PAF-NMW-140003,PAF-NMW-140003,Strengthening the rule of law in Namibia ,"This project will tackle gender based violence in the community through providing training to the Namibian police which helps them understand the issues and leads to improvements in the prevention, detection and prosecution rates for offenders.",Namibia,NA,,,15170,Womenâ€™s equality organisations and institutions,20000,Non-governmental Organisations (NGOs) And Civil Society,C01,3,01/04/2015,01/04/2015,31/03/2016,3,4,0,0,0,0,2,0,0,0,0,https://www.gov.uk/government/collections/official-development-assistance-oda--2#programme-strategies,"10,183.00","10,183.00"
GB-GOV-3-PAF-RWK-140008,PAF-RWK-140008,Promoting accountability and the rule of law in Burundi,Enabling Burundian people to seek accountability from public servants including those in positions of power such as parliamentarians.,Burundi,BI,,,15130,Legal and judicial development,10000,Public Sector Institutions,C01,3,01/04/2014,01/04/2014,31/03/2015,3,4,0,0,0,0,0,0,0,0,0,https://www.gov.uk/government/collections/official-development-assistance-oda--2#programme-strategies,"6,332.00","6,332.00"
GB-GOV-3-PAF-RWK-140009,PAF-RWK-140009,Promoting rights for women,Building a peaceful culture involved in the crossborder trade between Rwanda and the DR Congo,Rwanda,RW,,,15170,Womenâ€™s equality organisations and institutions,21000,International NGO,C01,3,01/04/2014,01/04/2014,31/03/2015,3,4,0,0,0,0,2,0,0,0,0,https://www.gov.uk/government/collections/official-development-assistance-oda--2#programme-strategies,"15,494.00","15,494.00"
GB-GOV-3-PAF-RWK-140010,PAF-RWK-140010,Promoting human rights through empowering women's groups ,"This project aims to increase civil society's resilience to defend human rights and reduce gender-based violence through training for local leaders and women's groups in the law and their rights, producing an analysis of the legal provisions on certain human rights issues, and supporting the formation of anti-gender-based violence groups in two districts.",Rwanda,RW,,,15160,Human rights,20000,Non-governmental Organisations (NGOs) And Civil Society,C01,3,01/04/2015,01/04/2015,31/03/2016,3,4,0,0,0,0,0,0,0,0,0,https://www.gov.uk/government/collections/official-development-assistance-oda--2#programme-strategies,"5,115.00","5,115.00"
GB-GOV-3-PAF-RWK-140011,PAF-RWK-140011,Supporting Human rights defenders (2),A project to enhance effective defence of human rights by supporting human rights defenders to develop further understanding of their roles and to build their skills.,Rwanda,RW,,,15160,Human rights,20000,Non-governmental Organisations (NGOs) And Civil Society,C01,3,01/04/2014,01/04/2014,31/03/2015,3,4,0,0,0,0,0,0,0,0,0,https://www.gov.uk/government/collections/official-development-assistance-oda--2#programme-strategies,"10,216.00","10,216.00"
GB-GOV-3-PAF-RWK-140012,PAF-RWK-140012,Elections in Burundi,Promoting accountability and rule of law in Burundi.,Burundi,BI,,,15151,Elections,11000,Donor Government,C01,3,01/04/2014,01/04/2014,31/03/2015,3,4,0,0,0,0,0,0,0,0,0,https://www.gov.uk/government/collections/official-development-assistance-oda--2#programme-strategies,"5,159.00","5,159.00"
GB-GOV-3-PAF-RWK-140013,PAF-RWK-140013,Promoting a human rights-based approach to development,"A project aiming to support and increase participation in development in Rwanda by raising awareness of the use of a human rights based approach amongst local authorities, community actors and opinion leaders.",Rwanda,RW,,,15130,Legal and judicial development,20000,Non-governmental Organisations (NGOs) And Civil Society,C01,3,01/04/2014,01/04/2014,31/03/2015,3,4,0,0,0,0,0,0,0,0,0,https://www.gov.uk/government/collections/official-development-assistance-oda--2#programme-strategies,"5,603.00","5,603.00"
GB-GOV-3-PAF-SAP-140002,PAF-SAP-140002,Supporting transparency and open debate in South Africa,"This project - through an international conference in partnership with the University of Witswaterstrand - supports the growth of quality, educational programming by bringing together professionals from public, commercial and community radio stations across South Africa.  British industry experts share best practice from the UK, to help rural, public affairs radio stations increasing their reach and impact.  This helps to educate and inform local communities for whom radio remains the foremost communication medium.",South Africa,ZA,,,15130,Legal and judicial development,51000,"University, college or other teaching institution, research institute or thinkâ€‘tank",C01,3,01/04/2014,01/04/2014,31/03/2015,3,4,0,0,0,0,0,0,0,0,0,https://www.gov.uk/government/collections/official-development-assistance-oda--2#programme-strategies,17,17
