Department Family,Entity,Date of Payment,Expense Type,Expense Area,Supplier,Voluntary & Community Sector,SME Class,Sole Trader,Transaction number,PSPES Level 2,Narrative,Postal Code,Amount in Sterling,Grant?
Communities & Local Government,DCLG,01/08/2013,Current (non AEF) Grants to Local Authorities,Localism,SHROPSHIRE COUNTY COUNCIL,,Large,,2100232990,,Payment to LAs to Tackle Problem Drinking,SY2 6ND,"45,000.00",Yes
Communities & Local Government,DCLG,01/08/2013,Current (non AEF) Grants to Local Authorities,Localism,WAKEFIELD MDC,,Public Bodies,,2100232987,,Payment to LAs to Tackle Problem Drinking,WF1 2HQ,"45,000.00",Yes
Communities & Local Government,DCLG,01/08/2013,Fixed Maintenance,Neighbourhoods,E C HARRIS LLP,,Large,,5106195748,Construction Service Providers,ERDF Y&H LDU QS Services to Feb 14,N1 9AB,"1,826.00",
Communities & Local Government,DCLG,01/08/2013,Grant in Aid to NDPBs (non budget),Neighbourhoods,HOMES & COMMUNITIES AGENCY,,Public Bodies,,2100233078,,HCA Claim for 1 August 2013,NE11 0NA,"83,487,777.00",Yes
Communities & Local Government,DCLG,01/08/2013,"IT - PC, Network & Hardware",Neighbourhoods,REED SPECIALIST RECRUITMENT LTD,,Large,,5106195787,Contingent Labour,Help to Buy Temp,NN1 1UE,728.06,
Communities & Local Government,DCLG,01/08/2013,IT - Service Contracts,Finance & Corporate Services,STERIA LIMITED,,Large,,5106195777,Managed / Outsourced Services,SQ146 # Nottingham Power Down 11th and 1,M14 0WN,"1,060.10",
Communities & Local Government,DCLG,01/08/2013,IT - Service Contracts,Finance & Corporate Services,STERIA LIMITED,,Large,,5106195778,Managed / Outsourced Services,AC - Rivergatte Patching SQ151/ NR451,M14 0WN,"1,211.54",
Communities & Local Government,DCLG,01/08/2013,IT - Service Contracts,Neighbourhoods,PHILIP M HALE LTD,,Micro,,5106195816,Managed / Outsourced Services,Aggregate Working Parties secretariat costs April 2013 to March 2014,BS29 6PD,"8,662.50",
Communities & Local Government,DCLG,01/08/2013,IT - Service Contracts,Neighbourhoods,PHILIP M HALE LTD,,Micro,,5106195816,Managed / Outsourced Services,Aggregate Working Parties secretariat costs April 2013 to March 2014,BS29 6PD,110.90,
Communities & Local Government,DCLG,01/08/2013,Printing,Finance & Corporate Services,STATIONERY OFFICE LTD,,Large,,5106195786,Printing Services,Non-Vatable printing services,NR3 1PD,196.00,
Communities & Local Government,DCLG,01/08/2013,Printing,Finance & Corporate Services,STATIONERY OFFICE LTD,,Large,,5106195786,Printing Services,VAT chargeable printing services,NR3 1PD,130.00,
Communities & Local Government,DCLG,01/08/2013,Printing,Finance & Corporate Services,STATIONERY OFFICE LTD,,Large,,5106195788,Printing Services,Non-Vatable printing services,NR3 1PD,211.75,
Communities & Local Government,DCLG,01/08/2013,Printing,Finance & Corporate Services,STATIONERY OFFICE LTD,,Large,,5106195788,Printing Services,VAT chargeable printing services,NR3 1PD,130.00,
Communities & Local Government,DCLG,01/08/2013,Printing,Finance & Corporate Services,STATIONERY OFFICE LTD,,Large,,5106195798,Printing Services,Non-Vatable printing services,NR3 1PD,803.00,
Communities & Local Government,DCLG,01/08/2013,Publicity,Finance & Corporate Services,NEWS INTERNATIONAL ASSOC SERVICES L,,Large,,5106195783,Advertising,Times online corp subsciption_20 users,PE7 8YT,"1,872.00",
Communities & Local Government,DCLG,01/08/2013,Training,Finance & Corporate Services,CAPITA BUSINESS SERVICES LTD,,Large,,5106195742,Development and Training,Communicating with Ministers course,DL1 9HB,683.00,
Communities & Local Government,DCLG,01/08/2013,Training,Finance & Corporate Services,CAPITA BUSINESS SERVICES LTD,,Large,,5106195764,Development and Training,Fast Stream Training (First year FS),DL1 9HB,"-3,097.20",
Communities & Local Government,DCLG,01/08/2013,Training,Finance & Corporate Services,CAPITA BUSINESS SERVICES LTD,,Large,,5106195801,Development and Training,Fast Stream Training - Mid Term courses,DL1 9HB,527.00,
Communities & Local Government,DCLG,01/08/2013,Training,Finance & Corporate Services,CAPITA BUSINESS SERVICES LTD,,Large,,5106195802,Development and Training,Fast Stream Training (First year FS),DL1 9HB,"1,353.00",
Communities & Local Government,DCLG,01/08/2013,Training,Finance & Corporate Services,CAPITA BUSINESS SERVICES LTD,,Large,,5106195817,Development and Training,Fast Stream Training (First year FS),DL1 9HB,"3,214.19",
Communities & Local Government,DCLG,01/08/2013,Training,Finance & Corporate Services,CAPITA BUSINESS SERVICES LTD,,Large,,5106195817,Development and Training,Fast Stream training (New entry courses),DL1 9HB,128.00,
Communities & Local Government,DCLG,01/08/2013,Training,Finance & Corporate Services,CAPITA BUSINESS SERVICES LTD,,Large,,5106195821,Development and Training,CS Training - Leadership and Management,DL1 9HB,-977.00,
Communities & Local Government,DCLG,01/08/2013,Training,Finance & Corporate Services,INSTITUTE OF INTERNAL AUDITORS,,Small,,5106195800,Development and Training,P3 Internal Audit Practice Module,SW4 7BX,"1,622.00",
Communities & Local Government,DCLG,01/08/2013,Training,Finance & Corporate Services,INSTITUTE OF INTERNAL AUDITORS,,Small,,5106195822,Development and Training,M2 Financial Management Tuition + Revisi,SW4 7BX,"1,500.00",
Communities & Local Government,DCLG,01/08/2013,Vehicle hire,Finance & Corporate Services,GOVERNMENT CAR & DESPATCH AGENCY,,Public Bodies,,5106195780,Vehicle Hire and Lease,Car of SOS -Duty Car 1- LT206,SW8 5AX,"7,258.66",
Communities & Local Government,DCLG,01/08/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,CHESHIRE EAST BOROUGH COUNCIL,,Large,,7600005788,,Revenue Grant To Be Paid,CH1 1SE,"14,941.17",Yes
Communities & Local Government,DCLG,01/08/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,CHESHIRE EAST BOROUGH COUNCIL,,Large,,7600005789,,Revenue Grant To Be Paid,CH1 1SE,"6,471.02",Yes
Communities & Local Government,DCLG,01/08/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,CHESHIRE EAST BOROUGH COUNCIL,,Large,,7600005791,,Revenue Grant To Be Paid,CH1 1SE,"6,007.93",Yes
Communities & Local Government,DCLG,01/08/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,CUMBRIA COUNTY COUNCIL,,,,7600005787,,Revenue Grant To Be Paid,CA3 8NA,"1,562.32",Yes
Communities & Local Government,DCLG,01/08/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,CUMBRIA COUNTY COUNCIL,,,,7600005792,,Revenue Grant To Be Paid,CA3 8NA,625.21,Yes
Communities & Local Government,DCLG,01/08/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,CUMBRIA COUNTY COUNCIL,,,,7600005793,,Revenue Grant To Be Paid,CA3 8NA,"1,000.14",Yes
Communities & Local Government,DCLG,01/08/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,CUMBRIA COUNTY COUNCIL,,,,7600005794,,Revenue Grant To Be Paid,CA3 8NA,548.16,Yes
Communities & Local Government,DCLG,01/08/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,CUMBRIA COUNTY COUNCIL,,,,7600005795,,Revenue Grant To Be Paid,CA3 8NA,519.89,Yes
Communities & Local Government,DCLG,01/08/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,CUMBRIA COUNTY COUNCIL,,,,7600005796,,Revenue Grant To Be Paid,CA3 8NA,736.04,Yes
Communities & Local Government,DCLG,01/08/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,CUMBRIA COUNTY COUNCIL,,,,7600005797,,Revenue Grant To Be Paid,CA3 8NA,"1,951.79",Yes
Communities & Local Government,DCLG,01/08/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,CUMBRIA COUNTY COUNCIL,,,,7600005798,,Revenue Grant To Be Paid,CA3 8NA,"2,568.02",Yes
Communities & Local Government,DCLG,01/08/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,CUMBRIA COUNTY COUNCIL,,,,7600005801,,Revenue Grant To Be Paid,CA3 8NA,"1,995.63",Yes
Communities & Local Government,DCLG,01/08/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,LIVERPOOL CITY REG LOCAL ENT PARTNE,,,,7600005799,,Revenue Grant Clawback Offset,L3 1BG,"-20,140.93",Yes
Communities & Local Government,DCLG,01/08/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,LIVERPOOL CITY REG LOCAL ENT PARTNE,,,,7600005799,,Revenue Grant To Be Paid,L3 1BG,"108,217.44",Yes
Communities & Local Government,DCLG,01/08/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,UNIVERSITY COLLEGE FALMOUTH,,,,7600005790,,Revenue Grant To Be Paid,TR11 4RH,"135,571.58",Yes
Communities & Local Government,DCLG,01/08/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,UNIVERSITY COLLEGE FALMOUTH,,,,7600005804,,Revenue Grant To Be Paid,TR11 4RH,"42,972.38",Yes
Communities & Local Government,DCLG,01/08/2013,Work In Progress Pre-Cert 40373 Spend,Neighbourhoods,VEDAS SERVICES LTD,,Small,,7600005803,,Revenue Grant To Be Paid,BB11 1DR,"30,841.91",Yes
Communities & Local Government,DCLG,01/08/2013,Work In Progress Pre-Cert 40467 Spend,Neighbourhoods,CNTRL MANCHESTER UNIVERSITY HOSPITA,,,,7600005802,,Capital Grant To Be Paid,M13 0JR,"13,351.56",Yes
Communities & Local Government,DCLG,01/08/2013,Work In Progress Pre-Cert 40467 Spend,Neighbourhoods,CUMBRIA COUNTY COUNCIL,,,,7600005787,,Capital Grant To Be Paid,CA3 8NA,"3,338.82",Yes
Communities & Local Government,DCLG,01/08/2013,Work In Progress Pre-Cert 40467 Spend,Neighbourhoods,CUMBRIA COUNTY COUNCIL,,,,7600005792,,Capital Grant To Be Paid,CA3 8NA,"77,473.75",Yes
Communities & Local Government,DCLG,01/08/2013,Work In Progress Pre-Cert 40467 Spend,Neighbourhoods,CUMBRIA COUNTY COUNCIL,,,,7600005793,,Capital Grant To Be Paid,CA3 8NA,"5,218.66",Yes
Communities & Local Government,DCLG,01/08/2013,Work In Progress Pre-Cert 40467 Spend,Neighbourhoods,CUMBRIA COUNTY COUNCIL,,,,7600005794,,Capital Grant To Be Paid,CA3 8NA,"1,763.89",Yes
Communities & Local Government,DCLG,01/08/2013,Work In Progress Pre-Cert 40467 Spend,Neighbourhoods,CUMBRIA COUNTY COUNCIL,,,,7600005795,,Capital Grant To Be Paid,CA3 8NA,"35,035.00",Yes
Communities & Local Government,DCLG,01/08/2013,Work In Progress Pre-Cert 40467 Spend,Neighbourhoods,CUMBRIA COUNTY COUNCIL,,,,7600005796,,Capital Grant To Be Paid,CA3 8NA,"213,701.45",Yes
Communities & Local Government,DCLG,01/08/2013,Work In Progress Pre-Cert 40467 Spend,Neighbourhoods,CUMBRIA COUNTY COUNCIL,,,,7600005797,,Capital Grant To Be Paid,CA3 8NA,"200,964.61",Yes
Communities & Local Government,DCLG,01/08/2013,Work In Progress Pre-Cert 40467 Spend,Neighbourhoods,CUMBRIA COUNTY COUNCIL,,,,7600005798,,Capital Grant To Be Paid,CA3 8NA,"381,666.74",Yes
Communities & Local Government,DCLG,01/08/2013,Work In Progress Pre-Cert 40467 Spend,Neighbourhoods,CUMBRIA COUNTY COUNCIL,,,,7600005800,,Capital Grant To Be Paid,CA3 8NA,382.31,Yes
Communities & Local Government,DCLG,01/08/2013,Work In Progress Pre-Cert 40467 Spend,Neighbourhoods,CUMBRIA COUNTY COUNCIL,,,,7600005801,,Capital Grant To Be Paid,CA3 8NA,"560,882.53",Yes
Communities & Local Government,DCLG,01/08/2013,Work In Progress Pre-Cert 40467 Spend,Neighbourhoods,SUB10 SYSTEMS LTD,,Small,,7600005805,,Capital Grant To Be Paid,TQ10 3RZ,"11,457.95",Yes
Communities & Local Government,DCLG,01/08/2013,Work In Progress Pre-Cert 40467 Spend,Neighbourhoods,UNIVERSITY COLLEGE FALMOUTH,,,,7600005790,,Capital Grant To Be Paid,TR11 4RH,"60,884.82",Yes
Communities & Local Government,DCLG,02/08/2013,Agency Staff,Finance & Corporate Services,CAFCASS,,,,5106195865,Contingent Labour,Extension to IT Security Service,RG24 9NW,"8,100.00",
Communities & Local Government,DCLG,02/08/2013,Agency Staff,Finance & Corporate Services,CAFCASS,,,,5106195869,Contingent Labour,Extension to IT Security Service,RG24 9NW,"7,695.00",
Communities & Local Government,DCLG,02/08/2013,Agency Staff,Neighbourhoods,REED EMPLOYMENT SERVICES,,Large,,5106195848,Contingent Labour,Policy support,SW20 0BA,959.72,
Communities & Local Government,DCLG,02/08/2013,Courier Services,Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,5106195841,Post & Courier,Eland House Mail 13-14,BS32 4NH,"7,886.12",
Communities & Local Government,DCLG,02/08/2013,Courier Services,Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,5106195841,Post & Courier,Rivergate Mail 13-14,BS32 4NH,"1,519.43",
Communities & Local Government,DCLG,02/08/2013,Current (non AEF) Grants to Local Authorities,Finance & Corporate Services,DURHAM & DARLINGTON FIRE RESCUE,,Public Bodies,,2100233111,,Regional Control Centre Grant for August 2013,DH1 5UE,"149,608.75",Yes
Communities & Local Government,DCLG,02/08/2013,Current (non AEF) Grants to Local Authorities,Finance & Corporate Services,GREATER LONDON AUTHORITY,,Large,,2100233110,,Regional Control Centre Grant for August 2013,SE10 1AP,"142,073.90",Yes
Communities & Local Government,DCLG,02/08/2013,Current (non AEF) Grants to Local Authorities,Finance & Corporate Services,GREATER MANCHESTER FIRE & RESCUE,,Public Bodies,,2100233109,,Regional Control Centre Grant for August 2013,M27 8US,"158,883.00",Yes
Communities & Local Government,DCLG,02/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,CORNWALL COUNTY COUNCIL,,Large,,2100232519,,Resources Grant for Housing Development,TR1 3AY,"554,260.00",Yes
Communities & Local Government,DCLG,02/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,SOUTH OXFORDSHIRE DC,,Large,,2100232711,,Resources Grant for Housing Development,OX10 8HQ,"1,025,000.00",Yes
Communities & Local Government,DCLG,02/08/2013,Current (non AEF) Grants to Local Authorities,Neighbourhoods,WOKINGHAM DC,,Public Bodies,,2100232710,,Resources Grant for Housing Development,RG40 1JW,"1,423,500.00",Yes
Communities & Local Government,DCLG,02/08/2013,Domestic Services,Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,5106195841,Cleaning,Eland House Cleaning 13-14,BS32 4NH,"27,469.95",
Communities & Local Government,DCLG,02/08/2013,Domestic Services,Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,5106195841,Cleaning,TQH Cleaning 13-14,BS32 4NH,"9,032.52",
Communities & Local Government,DCLG,02/08/2013,Domestic Services,Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,5106195841,Cleaning,Hemel Hemp Cleaning 13-14,BS32 4NH,"2,185.31",
Communities & Local Government,DCLG,02/08/2013,Domestic Services,Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,5106195841,Cleaning,Rivergate Cleaning 13-14,BS32 4NH,"5,167.99",
Communities & Local Government,DCLG,02/08/2013,Domestic Services,Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,5106195841,Cleaning,Bridge House Cleaning 13-14,BS32 4NH,"3,029.46",
Communities & Local Government,DCLG,02/08/2013,Domestic Services,Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,5106195841,Cleaning,Citygate Cleaning 13-14,BS32 4NH,"3,046.41",
Communities & Local Government,DCLG,02/08/2013,Domestic Services,Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,5106195841,Cleaning,Queen Street Cleaning 13-14,BS32 4NH,"2,566.06",
Communities & Local Government,DCLG,02/08/2013,Domestic Services,Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,5106195841,Cleaning,5SPP Cleaning 13-14,BS32 4NH,"6,808.15",
Communities & Local Government,DCLG,02/08/2013,Domestic Services,Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,5106195841,Cleaning,Paradise Cleaning 13-14,BS32 4NH,"3,114.09",
Communities & Local Government,DCLG,02/08/2013,Electronic Data Storage,Finance & Corporate Services,TNT UK LIMITED,,Large,,5106195856,Warehousing and Storage,Visions electronic storage,BL10 9GR,"3,750.44",
Communities & Local Government,DCLG,02/08/2013,Facilities Management (ISD use only),Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,5106195841,Building Management,Eland House Off Site Management 13-14,BS32 4NH,"11,118.18",
Communities & Local Government,DCLG,02/08/2013,Facilities Management (ISD use only),Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,5106195841,Building Management,Eland House Reception 13-14,BS32 4NH,"4,902.61",
Communities & Local Government,DCLG,02/08/2013,Facilities Management (ISD use only),Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,5106195841,Building Management,TQH Off Site Management 13-14,BS32 4NH,"7,874.37",
Communities & Local Government,DCLG,02/08/2013,Facilities Management (ISD use only),Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,5106195841,Building Management,TQH On Site Management 13-14,BS32 4NH,"3,181.32",
Communities & Local Government,DCLG,02/08/2013,Facilities Management (ISD use only),Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,5106195841,Building Management,TQH Reception 13-14,BS32 4NH,"1,663.29",
Communities & Local Government,DCLG,02/08/2013,Facilities Management (ISD use only),Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,5106195841,Building Management,Hemel Hemp Off Site Management 13-14,BS32 4NH,877.78,
Communities & Local Government,DCLG,02/08/2013,Facilities Management (ISD use only),Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,5106195841,Building Management,Rivergate Off Site Management 13-14,BS32 4NH,"3,589.89",
Communities & Local Government,DCLG,02/08/2013,Facilities Management (ISD use only),Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,5106195841,Building Management,Rivergate Reception 13-14,BS32 4NH,"1,653.74",
Communities & Local Government,DCLG,02/08/2013,Facilities Management (ISD use only),Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,5106195841,Building Management,Bridge House Off Site Management 13-14,BS32 4NH,"1,733.80",
Communities & Local Government,DCLG,02/08/2013,Facilities Management (ISD use only),Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,5106195841,Building Management,Bridge House On Site Management 13-14,BS32 4NH,"3,611.43",
Communities & Local Government,DCLG,02/08/2013,Facilities Management (ISD use only),Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,5106195841,Building Management,Citygate Off Site Management 13-14,BS32 4NH,"2,946.06",
Communities & Local Government,DCLG,02/08/2013,Facilities Management (ISD use only),Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,5106195841,Building Management,Citygate On Site Management 13-14,BS32 4NH,"2,493.40",
Communities & Local Government,DCLG,02/08/2013,Facilities Management (ISD use only),Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,5106195841,Building Management,Citygate Reception 13-14,BS32 4NH,"1,589.29",
Communities & Local Government,DCLG,02/08/2013,Facilities Management (ISD use only),Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,5106195841,Building Management,Queen Street Off Site Management 13-14,BS32 4NH,"1,596.05",
Communities & Local Government,DCLG,02/08/2013,Facilities Management (ISD use only),Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,5106195841,Building Management,5SPP Off Site Management 13-14,BS32 4NH,"2,911.74",
Communities & Local Government,DCLG,02/08/2013,Facilities Management (ISD use only),Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,5106195841,Building Management,5SPP On Site Management 13-14,BS32 4NH,"2,989.01",
Communities & Local Government,DCLG,02/08/2013,Facilities Management (ISD use only),Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,5106195841,Building Management,5SPP Reception 13-14,BS32 4NH,"2,813.24",
Communities & Local Government,DCLG,02/08/2013,Facilities Management (ISD use only),Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,5106195841,Building Management,Pardise Off Site Management 13-14,BS32 4NH,"1,673.87",
Communities & Local Government,DCLG,02/08/2013,Fixed Maintenance,Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,5106195841,Environmental Services,Bridge House Grounds Maintenance 13-14,BS32 4NH,259.21,
Communities & Local Government,DCLG,02/08/2013,Fixed Maintenance,Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,5106195841,Environmental Services,Queen Street Grounds Maintenance 13-14,BS32 4NH,13.16,
Communities & Local Government,DCLG,02/08/2013,Fixed Maintenance,Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,5106195841,Construction Service Providers,Eland House Maintenance 13-14,BS32 4NH,"39,360.08",
Communities & Local Government,DCLG,02/08/2013,Fixed Maintenance,Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,5106195841,Construction Service Providers,TQH Maintenance 13-14,BS32 4NH,"6,027.81",
Communities & Local Government,DCLG,02/08/2013,Fixed Maintenance,Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,5106195841,Construction Service Providers,Hemel Hemp Maintenance 13-14,BS32 4NH,"5,359.95",
Communities & Local Government,DCLG,02/08/2013,Fixed Maintenance,Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,5106195841,Construction Service Providers,Rivergate Maintenance 13-14,BS32 4NH,"3,840.85",
Communities & Local Government,DCLG,02/08/2013,Fixed Maintenance,Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,5106195841,Construction Service Providers,Bridge House Maintenance 13-14,BS32 4NH,"4,987.45",
Communities & Local Government,DCLG,02/08/2013,Fixed Maintenance,Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,5106195841,Construction Service Providers,Citygate Maintenance 13-14,BS32 4NH,"3,585.11",
Communities & Local Government,DCLG,02/08/2013,Fixed Maintenance,Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,5106195841,Construction Service Providers,Queen Street Maintenance 13-14,BS32 4NH,"6,538.37",
Communities & Local Government,DCLG,02/08/2013,Fixed Maintenance,Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,5106195841,Construction Service Providers,5SPP Maintenance 13-14,BS32 4NH,"10,796.00",
Communities & Local Government,DCLG,02/08/2013,Fixed Maintenance,Finance & Corporate Services,INTERSERVE (FACILITIES MANAGEMENT),,Large,,5106195841,Construction Service Providers,Paradise Maintenance 13-14,BS32 4NH,"7,797.99",
Communities & Local Government,DCLG,02/08/2013,Grant in Aid to NDPBs (non budget),Localism,VALUATION TRIBUNAL SERVICE,,,,2100233117,,,E1 1DU,"560,235.00",Yes
Communities & Local Government,DCLG,02/08/2013,IT - Service Contracts,Finance & Corporate Services,ARCH CONSULTING LTD,,Small,,5106195919,Managed / Outsourced Services,Software Maintenance Development,W4 1PF,"-4,000.00",
Communities & Local Government,DCLG,02/08/2013,IT - Service Contracts,Finance & Corporate Services,KAIZEN ASSOCIATES LTD,,Micro,,5106195920,Managed / Outsourced Services,SAP Application Support,SE1 6SW,"-16,887.05",
Communities & Local Government,DCLG,02/08/2013,IT - Service Contracts,Finance & Corporate Services,STERIA LIMITED,,Large,,5106195013,Managed / Outsourced Services,Audit Commission - CAN073,M14 0WN,"10,873.53",
Communities & Local Government,DCLG,02/08/2013,IT - Service Contracts,Finance & Corporate Services,STERIA LTD,,Large,,5106195846,Managed / Outsourced Services,Quote SQ159 - Eland HSE Black Building,M14 0WN,"7,630.41",
