,Number of Homicide Convictions,Percentage of Homicide Convictions,Number of Homicide Unsuccessful,Percentage of Homicide Unsuccessful,Number of Offences Against The Person Convictions,Percentage of Offences Against The Person Convictions,Number of Offences Against The Person Unsuccessful,Percentage of Offences Against The Person Unsuccessful,Number of Sexual Offences Convictions,Percentage of Sexual Offences Convictions,Number of Sexual Offences Unsuccessful,Percentage of Sexual Offences Unsuccessful,Number of Burglary Convictions,Percentage of Burglary Convictions,Number of Burglary Unsuccessful,Percentage of Burglary Unsuccessful,Number of Robbery Convictions,Percentage of Robbery Convictions,Number of Robbery Unsuccessful,Percentage of Robbery Unsuccessful,Number of Theft And Handling Convictions,Percentage of Theft And Handling Convictions,Number of Theft And Handling Unsuccessful,Percentage of Theft And Handling Unsuccessful,Number of Fraud And Forgery Convictions,Percentage of Fraud And Forgery Convictions,Number of Fraud And Forgery Unsuccessful,Percentage of Fraud And Forgery Unsuccessful,Number of Criminal Damage Convictions,Percentage of Criminal Damage Convictions,Number of Criminal Damage Unsuccessful,Percentage of Criminal Damage Unsuccessful,Number of Drugs Offences Convictions,Percentage of Drugs Offences Convictions,Number of Drugs Offences Unsuccessful,Percentage of Drugs Offences Unsuccessful,Number of Public Order Offences Convictions,Percentage of Public Order Offences Convictions,Number of Public Order Offences Unsuccessful,Percentage of Public Order Offences Unsuccessful,Number of All Other Offences (excluding Motoring) Convictions,Percentage of All Other Offences (excluding Motoring) Convictions,Number of All Other Offences (excluding Motoring) Unsuccessful,Percentage of All Other Offences (excluding Motoring) Unsuccessful,Number of Motoring Offences Convictions,Percentage of Motoring Offences Convictions,Number of Motoring Offences Unsuccessful,Percentage of Motoring Offences Unsuccessful,Number of Admin Finalised Unsuccessful,Percentage of L Motoring Offences Unsuccessful
Gwent,0,-,0,-,79,82.3%,17,17.7%,6,54.5%,5,45.5%,10,83.3%,2,16.7%,3,100.0%,0,0.0%,80,95.2%,4,4.8%,5,62.5%,3,37.5%,24,82.8%,5,17.2%,46,92.0%,4,8.0%,29,80.6%,7,19.4%,6,85.7%,1,14.3%,83,88.3%,11,11.7%,6,100.0%
Hampshire,2,100.0%,0,0.0%,260,88.1%,35,11.9%,42,87.5%,6,12.5%,20,87.0%,3,13.0%,6,85.7%,1,14.3%,179,92.3%,15,7.7%,17,85.0%,3,15.0%,40,83.3%,8,16.7%,69,90.8%,7,9.2%,84,90.3%,9,9.7%,26,92.9%,2,7.1%,204,91.9%,18,8.1%,4,100.0%
Hertfordshire,1,50.0%,1,50.0%,176,79.3%,46,20.7%,10,100.0%,0,0.0%,23,85.2%,4,14.8%,6,100.0%,0,0.0%,145,90.1%,16,9.9%,24,85.7%,4,14.3%,30,78.9%,8,21.1%,83,96.5%,3,3.5%,30,78.9%,8,21.1%,17,94.4%,1,5.6%,124,83.2%,25,16.8%,14,100.0%
Humberside,0,-,0,-,215,88.1%,29,11.9%,29,64.4%,16,35.6%,28,84.8%,5,15.2%,10,83.3%,2,16.7%,167,94.4%,10,5.6%,13,100.0%,0,0.0%,56,93.3%,4,6.7%,54,93.1%,4,6.9%,76,95.0%,4,5.0%,6,75.0%,2,25.0%,114,80.3%,28,19.7%,10,100.0%
Kent,8,80.0%,2,20.0%,261,79.3%,68,20.7%,17,58.6%,12,41.4%,24,80.0%,6,20.0%,13,100.0%,0,0.0%,140,94.0%,9,6.0%,45,93.8%,3,6.3%,50,87.7%,7,12.3%,89,94.7%,5,5.3%,90,84.9%,16,15.1%,29,87.9%,4,12.1%,163,85.8%,27,14.2%,21,100.0%
Lancashire,4,100.0%,0,0.0%,234,79.3%,61,20.7%,24,96.0%,1,4.0%,57,87.7%,8,12.3%,5,83.3%,1,16.7%,206,94.9%,11,5.1%,25,96.2%,1,3.8%,65,75.6%,21,24.4%,70,87.5%,10,12.5%,93,94.9%,5,5.1%,28,90.3%,3,9.7%,193,82.8%,40,17.2%,12,100.0%
Leicestershire,4,100.0%,0,0.0%,165,83.3%,33,16.7%,32,86.5%,5,13.5%,14,82.4%,3,17.6%,11,100.0%,0,0.0%,112,94.1%,7,5.9%,11,84.6%,2,15.4%,36,81.8%,8,18.2%,22,88.0%,3,12.0%,51,91.1%,5,8.9%,8,66.7%,4,33.3%,102,83.6%,20,16.4%,11,100.0%
Lincolnshire,0,-,0,-,160,83.8%,31,16.2%,1,100.0%,0,0.0%,22,95.7%,1,4.3%,0,0,0,0,62,92.5%,5,7.5%,6,75.0%,2,25.0%,27,79.4%,7,20.6%,31,100.0%,0,0.0%,59,92.2%,5,7.8%,16,69.6%,7,30.4%,138,86.8%,21,13.2%,8,100.0%
Merseyside,1,100.0%,0,0.0%,359,79.2%,94,20.8%,30,90.9%,3,9.1%,23,85.2%,4,14.8%,13,92.9%,1,7.1%,188,91.7%,17,8.3%,16,76.2%,5,23.8%,49,86.0%,8,14.0%,179,91.3%,17,8.7%,99,90.0%,11,10.0%,25,83.3%,5,16.7%,261,91.9%,23,8.1%,14,100.0%
Metropolitan and City,9,69.2%,4,30.8%,"1,732",67.5%,834,32.5%,181,68.3%,84,31.7%,217,82.2%,47,17.8%,100,74.1%,35,25.9%,924,80.8%,220,19.2%,255,83.6%,50,16.4%,265,79.6%,68,20.4%,"1,155",91.2%,111,8.8%,520,75.9%,165,24.1%,145,82.9%,30,17.1%,992,75.8%,317,24.2%,227,100.0%
Norfolk,3,100.0%,0,0.0%,152,82.6%,32,17.4%,10,83.3%,2,16.7%,12,85.7%,2,14.3%,1,100.0%,0,0.0%,101,95.3%,5,4.7%,10,90.9%,1,9.1%,37,92.5%,3,7.5%,65,98.5%,1,1.5%,88,93.6%,6,6.4%,15,65.2%,8,34.8%,105,97.2%,3,2.8%,4,100.0%
Northamptonshire,0,-,0,-,95,76.0%,30,24.0%,5,100.0%,0,0.0%,11,100.0%,0,0.0%,6,60.0%,4,40.0%,55,96.5%,2,3.5%,4,66.7%,2,33.3%,28,80.0%,7,20.0%,20,100.0%,0,0.0%,27,84.4%,5,15.6%,6,85.7%,1,14.3%,96,86.5%,15,13.5%,13,100.0%
Northumbria,1,100.0%,0,0.0%,279,70.6%,116,29.4%,34,54.0%,29,46.0%,65,92.9%,5,7.1%,8,88.9%,1,11.1%,226,88.6%,29,11.4%,19,86.4%,3,13.6%,82,87.2%,12,12.8%,57,90.5%,6,9.5%,131,80.9%,31,19.1%,12,75.0%,4,25.0%,251,86.3%,40,13.7%,25,100.0%
North Wales,0,-,0,-,184,82.9%,38,17.1%,19,90.5%,2,9.5%,14,93.3%,1,6.7%,4,80.0%,1,20.0%,113,93.4%,8,6.6%,14,93.3%,1,6.7%,38,88.4%,5,11.6%,51,98.1%,1,1.9%,61,93.8%,4,6.2%,14,93.3%,1,6.7%,115,87.1%,17,12.9%,4,100.0%
North Yorkshire,1,100.0%,0,0.0%,134,79.3%,35,20.7%,4,66.7%,2,33.3%,18,90.0%,2,10.0%,1,100.0%,0,0.0%,111,88.8%,14,11.2%,15,83.3%,3,16.7%,18,90.0%,2,10.0%,48,94.1%,3,5.9%,66,91.7%,6,8.3%,14,87.5%,2,12.5%,123,93.9%,8,6.1%,8,100.0%
Nottinghamshire,2,100.0%,0,0.0%,249,77.1%,74,22.9%,42,75.0%,14,25.0%,22,84.6%,4,15.4%,3,75.0%,1,25.0%,166,91.7%,15,8.3%,10,76.9%,3,23.1%,51,85.0%,9,15.0%,97,89.8%,11,10.2%,71,84.5%,13,15.5%,6,60.0%,4,40.0%,164,86.3%,26,13.7%,27,100.0%
South Wales,4,100.0%,0,0.0%,390,74.0%,137,26.0%,27,65.9%,14,34.1%,54,90.0%,6,10.0%,9,69.2%,4,30.8%,221,90.9%,22,9.1%,20,95.2%,1,4.8%,59,85.5%,10,14.5%,143,94.7%,8,5.3%,108,92.3%,9,7.7%,22,81.5%,5,18.5%,228,78.1%,64,21.9%,21,100.0%
South Yorkshire,0,-,0,-,218,81.0%,51,19.0%,5,71.4%,2,28.6%,27,93.1%,2,6.9%,9,75.0%,3,25.0%,241,94.5%,14,5.5%,9,75.0%,3,25.0%,60,87.0%,9,13.0%,75,97.4%,2,2.6%,95,91.3%,9,8.7%,11,84.6%,2,15.4%,187,88.6%,24,11.4%,22,100.0%
Staffordshire,1,100.0%,0,0.0%,233,77.7%,67,22.3%,23,76.7%,7,23.3%,23,88.5%,3,11.5%,4,100.0%,0,0.0%,169,95.5%,8,4.5%,15,100.0%,0,0.0%,51,85.0%,9,15.0%,57,98.3%,1,1.7%,68,87.2%,10,12.8%,17,89.5%,2,10.5%,134,85.9%,22,14.1%,25,100.0%
Suffolk,0,-,0,-,115,82.1%,25,17.9%,6,85.7%,1,14.3%,7,100.0%,0,0.0%,2,50.0%,2,50.0%,80,97.6%,2,2.4%,16,100.0%,0,0.0%,25,96.2%,1,3.8%,38,95.0%,2,5.0%,32,91.4%,3,8.6%,8,100.0%,0,0.0%,100,95.2%,5,4.8%,14,100.0%
Surrey,0,-,0,-,132,75.9%,42,24.1%,15,68.2%,7,31.8%,17,94.4%,1,5.6%,1,100.0%,0,0.0%,39,88.6%,5,11.4%,23,82.1%,5,17.9%,21,91.3%,2,8.7%,54,93.1%,4,6.9%,34,87.2%,5,12.8%,4,100.0%,0,0.0%,109,93.2%,8,6.8%,12,100.0%
Sussex,1,100.0%,0,0.0%,246,80.9%,58,19.1%,28,66.7%,14,33.3%,16,72.7%,6,27.3%,7,100.0%,0,0.0%,152,91.6%,14,8.4%,14,87.5%,2,12.5%,40,85.1%,7,14.9%,86,97.7%,2,2.3%,65,85.5%,11,14.5%,11,84.6%,2,15.4%,186,93.0%,14,7.0%,12,100.0%
Thames Valley,1,50.0%,1,50.0%,351,77.3%,103,22.7%,42,54.5%,35,45.5%,30,83.3%,6,16.7%,17,81.0%,4,19.0%,263,94.3%,16,5.7%,29,85.3%,5,14.7%,51,85.0%,9,15.0%,125,96.2%,5,3.8%,100,90.1%,11,9.9%,18,81.8%,4,18.2%,286,86.1%,46,13.9%,32,100.0%
Warwickshire,0,-,0,-,76,87.4%,11,12.6%,12,75.0%,4,25.0%,8,80.0%,2,20.0%,4,100.0%,0,0.0%,58,95.1%,3,4.9%,8,80.0%,2,20.0%,11,84.6%,2,15.4%,14,93.3%,1,6.7%,29,87.9%,4,12.1%,6,100.0%,0,0.0%,84,89.4%,10,10.6%,5,100.0%
West Mercia,1,100.0%,0,0.0%,218,78.1%,61,21.9%,29,76.3%,9,23.7%,14,77.8%,4,22.2%,5,100.0%,0,0.0%,177,95.7%,8,4.3%,15,100.0%,0,0.0%,38,88.4%,5,11.6%,73,98.6%,1,1.4%,100,93.5%,7,6.5%,20,100.0%,0,0.0%,207,78.1%,58,21.9%,16,100.0%
West Midlands,8,100.0%,0,0.0%,730,79.5%,188,20.5%,60,63.8%,34,36.2%,88,85.4%,15,14.6%,41,70.7%,17,29.3%,628,93.6%,43,6.4%,61,88.4%,8,11.6%,121,87.7%,17,12.3%,217,94.8%,12,5.2%,252,82.6%,53,17.4%,77,87.5%,11,12.5%,353,81.0%,83,19.0%,76,100.0%
West Yorkshire,3,100.0%,0,0.0%,459,77.1%,136,22.9%,69,81.2%,16,18.8%,76,85.4%,13,14.6%,18,85.7%,3,14.3%,300,94.0%,19,6.0%,32,74.4%,11,25.6%,96,80.7%,23,19.3%,142,89.3%,17,10.7%,152,88.4%,20,11.6%,39,95.1%,2,4.9%,306,86.0%,50,14.0%,35,100.0%
Wiltshire,1,100.0%,0,0.0%,111,84.7%,20,15.3%,13,100.0%,0,0.0%,14,70.0%,6,30.0%,3,100.0%,0,0.0%,84,95.5%,4,4.5%,7,100.0%,0,0.0%,25,100.0%,0,0.0%,33,100.0%,0,0.0%,41,91.1%,4,8.9%,10,100.0%,0,0.0%,58,89.2%,7,10.8%,1,100.0%
