HMRC,HMRC,05/07/2013,Valuation Services,CTISA,VALUATION OFFICE AGENCY,5100026994,"£33,334.00",Valuation for Annual Tax on Enveloped Dwellings,W1D 5BU
HMRC,HMRC,05/07/2013,Next Day Del. Open,PT Operations,TNT UK LTD,5100027020,"£16,865.08",Courier Services,BL10 9AR
HMRC,HMRC,05/07/2013,Next Day Del. Open,Local Compliance,TNT UK LTD,5100027020,"£7,584.68",Courier Services,BL10 9AR
HMRC,HMRC,05/07/2013,Next Day Del. Open,Debt Management & Banking,TNT UK LTD,5100027020,"£4,469.32",Courier Services,BL10 9AR
HMRC,HMRC,05/07/2013,Next Day Del. Open,Benefits & Credits Delivery,TNT UK LTD,5100027020,"£3,575.45",Courier Services,BL10 9AR
HMRC,HMRC,05/07/2013,Next Day Del. Open,Risk & Intelligence,TNT UK LTD,5100027020,"£1,660.66",Courier Services,BL10 9AR
HMRC,HMRC,05/07/2013,Next Day Del. Open,Criminal Investigations,TNT UK LTD,5100027020,"£1,327.64",Courier Services,BL10 9AR
HMRC,HMRC,05/07/2013,Next Day Del. Open,Specialist PT,TNT UK LTD,5100027020,"£1,086.66",Courier Services,BL10 9AR
HMRC,HMRC,05/07/2013,Next Day Del. Open,Specialist Investigations (SI),TNT UK LTD,5100027020,£819.37,Courier Services,BL10 9AR
HMRC,HMRC,05/07/2013,Next Day Del. Open,Large Business Service,TNT UK LTD,5100027020,£775.56,Courier Services,BL10 9AR
HMRC,HMRC,05/07/2013,Next Day Del. Open,Estates & Support Services,TNT UK LTD,5100027020,£718.60,Courier Services,BL10 9AR
HMRC,HMRC,05/07/2013,Next Day Del. Open,HR,TNT UK LTD,5100027020,£696.68,Courier Services,BL10 9AR
HMRC,HMRC,05/07/2013,Next Day Del. Open,Customs Directorate,TNT UK LTD,5100027020,£679.16,Courier Services,BL10 9AR
HMRC,HMRC,05/07/2013,Next Day Del. Open,Information Management Services,TNT UK LTD,5100027020,£595.91,Courier Services,BL10 9AR
HMRC,HMRC,05/07/2013,Next Day Del. Open,Indirect Tax Directorate,TNT UK LTD,5100027020,£416.26,Courier Services,BL10 9AR
HMRC,HMRC,05/07/2013,Next Day Del. Open,Central Tax & Strategy Directorate,TNT UK LTD,5100027020,£389.96,Courier Services,BL10 9AR
HMRC,HMRC,05/07/2013,Next Day Del. Open,Finance & Internal Audit,TNT UK LTD,5100027020,£376.82,Courier Services,BL10 9AR
HMRC,HMRC,05/07/2013,Next Day Del. Open,E&C Central Services,TNT UK LTD,5100027020,£359.29,Courier Services,BL10 9AR
HMRC,HMRC,05/07/2013,Next Day Del. Open,PT Customer Product & Process,TNT UK LTD,5100027020,£276.05,Courier Services,BL10 9AR
HMRC,HMRC,05/07/2013,Next Day Del. Open,Business Customer & Strategy,TNT UK LTD,5100027020,£227.84,Courier Services,BL10 9AR
HMRC,HMRC,05/07/2013,Next Day Del. Open,Solicitors Office,TNT UK LTD,5100027020,£219.08,Courier Services,BL10 9AR
HMRC,HMRC,05/07/2013,Next Day Del. Open,CTISA,TNT UK LTD,5100027020,£166.50,Courier Services,BL10 9AR
HMRC,HMRC,05/07/2013,Next Day Del. Open,HMRC Change Programme,TNT UK LTD,5100027020,£166.50,Courier Services,BL10 9AR
HMRC,HMRC,05/07/2013,Next Day Del. Open,Corporate Communications,TNT UK LTD,5100027020,£131.45,Courier Services,BL10 9AR
HMRC,HMRC,05/07/2013,Next Day Del. Open,BT Corporate Centre,TNT UK LTD,5100027020,£87.64,Courier Services,BL10 9AR
HMRC,HMRC,05/07/2013,Next Day Del. Open,Anti-Money Laundering Supervision,TNT UK LTD,5100027020,£65.72,Courier Services,BL10 9AR
HMRC,HMRC,05/07/2013,Next Day Del. Open,Commercial Directorate,TNT UK LTD,5100027020,£56.96,Courier Services,BL10 9AR
HMRC,HMRC,05/07/2013,Next Day Del. Open,PT Customer & Strategy,TNT UK LTD,5100027020,£21.91,Courier Services,BL10 9AR
HMRC,HMRC,05/07/2013,Samplng & Analytical,Specialist Investigations (SI),LGC LTD,5100027051,"£101,791.68",Forensic Services,TW11 0LY
HMRC,HMRC,05/07/2013,Grant in Aid Funding,PT Customer & Strategy,TAXAID,5100027052,"£80,000.00",Programme to provide support to HMRCs vulnerable customers who need help when interacting with HMRC. ,SE1 0LH
HMRC,HMRC,05/07/2013,Electricity,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100027070,"£1,313,508.93",Utility payment,SE1 0TA
HMRC,HMRC,05/07/2013,Gas,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100027070,"£305,810.99",Utility payment,SE1 0TA
HMRC,HMRC,05/07/2013,Water,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100027070,"£145,421.35",Utility payment,SE1 0TA
HMRC,HMRC,05/07/2013,Electricity,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100027070,"£133,930.53",Utility payment,SE1 0TA
HMRC,HMRC,05/07/2013,Gas,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100027070,"£116,378.75",Utility payment,SE1 0TA
HMRC,HMRC,05/07/2013,Oil,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100027070,"£62,687.27",Utility payment,SE1 0TA
HMRC,HMRC,05/07/2013,Water,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100027070,"£19,258.54",Utility payment,SE1 0TA
HMRC,HMRC,05/07/2013,Electricity,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100027070,"£3,736.51",Utility payment,SE1 0TA
HMRC,HMRC,05/07/2013,Oil,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100027070,"£3,246.27",Utility payment,SE1 0TA
HMRC,HMRC,05/07/2013,Gas,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100027070,"£2,138.93",Utility payment,SE1 0TA
HMRC,HMRC,05/07/2013,Oil,Estates & Support Services,MAPELEY STEPS CONTRACTOR LTD,5100027070,£703.91,Utility payment,SE1 0TA
HMRC,HMRC,05/07/2013,Court Fees,Debt Management & Banking,THE INSOLVENCY SERVICE,5100027073,"£203,645.00",Court Fees,B4 6FD
HMRC,HMRC,08/07/2013,Oth PFI unitary chrg,Estates & Support Services,LR (MANCHESTER) LTD,5100027097,"£844,980.41",Charges for accommodation provided under the Stockport Private Finance Initiative contract,W1U 8EW
HMRC,HMRC,08/07/2013,Oth PFI unitary chrg,Estates & Support Services,LR STOCKPORT LTD,5100027098,"£167,228.00",Charges for accommodation provided under the Stockport Private Finance Initiative contract,W1U 8EW
HMRC,HMRC,08/07/2013,GovDept Serv(VAT Ex),Risk & Intelligence,FOREIGN AND COMMONWEALTH OFFICE,5100027141,"£125,166.91",Payment for costs of HMRC officers stationed abroad,MK10 1PX
HMRC,HMRC,08/07/2013,Next Day Del. Closed,PT Operations,TNT UK LTD,5100027300,"£154,569.54",Courier Services,BL10 9AR
HMRC,HMRC,08/07/2013,Next Day Del. Closed,Local Compliance,TNT UK LTD,5100027300,"£69,514.13",Courier Services,BL10 9AR
HMRC,HMRC,08/07/2013,Next Day Del. Closed,Debt Management & Banking,TNT UK LTD,5100027300,"£40,961.53",Courier Services,BL10 9AR
HMRC,HMRC,08/07/2013,Next Day Del. Closed,Benefits & Credits Delivery,TNT UK LTD,5100027300,"£32,769.23",Courier Services,BL10 9AR
HMRC,HMRC,08/07/2013,Next Day Del. Closed,Risk & Intelligence,TNT UK LTD,5100027300,"£15,220.02",Courier Services,BL10 9AR
HMRC,HMRC,08/07/2013,Next Day Del. Closed,Criminal Investigations,TNT UK LTD,5100027300,"£12,167.99",Courier Services,BL10 9AR
HMRC,HMRC,08/07/2013,Next Day Del. Closed,Specialist PT,TNT UK LTD,5100027300,"£9,959.28",Courier Services,BL10 9AR
HMRC,HMRC,08/07/2013,Next Day Del. Closed,Specialist Investigations (SI),TNT UK LTD,5100027300,"£7,509.61",Courier Services,BL10 9AR
HMRC,HMRC,08/07/2013,Next Day Del. Closed,Large Business Service,TNT UK LTD,5100027300,"£7,108.03",Courier Services,BL10 9AR
HMRC,HMRC,08/07/2013,Next Day Del. Closed,Estates & Support Services,TNT UK LTD,5100027300,"£6,585.97",Courier Services,BL10 9AR
HMRC,HMRC,08/07/2013,Next Day Del. Closed,HR,TNT UK LTD,5100027300,"£6,385.18",Courier Services,BL10 9AR
HMRC,HMRC,08/07/2013,Next Day Del. Closed,Customs Directorate,TNT UK LTD,5100027300,"£6,224.54",Courier Services,BL10 9AR
HMRC,HMRC,08/07/2013,Next Day Del. Closed,Information Management Services,TNT UK LTD,5100027300,"£5,461.54",Courier Services,BL10 9AR
HMRC,HMRC,08/07/2013,Next Day Del. Closed,Indirect Tax Directorate,TNT UK LTD,5100027300,"£3,815.04",Courier Services,BL10 9AR
HMRC,HMRC,08/07/2013,Next Day Del. Closed,Finance & Internal Audit,TNT UK LTD,5100027300,"£3,453.62",Courier Services,BL10 9AR
HMRC,HMRC,08/07/2013,Next Day Del. Closed,E&C Central Services,TNT UK LTD,5100027300,"£3,292.98",Courier Services,BL10 9AR
HMRC,HMRC,08/07/2013,Next Day Del. Closed,Central Tax & Strategy Directorate,TNT UK LTD,5100027300,"£2,971.73",Courier Services,BL10 9AR
HMRC,HMRC,08/07/2013,Next Day Del. Closed,PT Customer Product & Process,TNT UK LTD,5100027300,"£2,730.77",Courier Services,BL10 9AR
HMRC,HMRC,08/07/2013,Next Day Del. Closed,Business Customer & Strategy,TNT UK LTD,5100027300,"£2,088.24",Courier Services,BL10 9AR
HMRC,HMRC,08/07/2013,Next Day Del. Closed,Solicitors Office,TNT UK LTD,5100027300,"£2,007.92",Courier Services,BL10 9AR
HMRC,HMRC,08/07/2013,Next Day Del. Closed,CTISA,TNT UK LTD,5100027300,"£1,526.02",Courier Services,BL10 9AR
HMRC,HMRC,08/07/2013,Next Day Del. Closed,HMRC Change Programme,TNT UK LTD,5100027300,"£1,526.02",Courier Services,BL10 9AR
HMRC,HMRC,08/07/2013,Next Day Del. Closed,Corporate Communications,TNT UK LTD,5100027300,"£1,204.75",Courier Services,BL10 9AR
HMRC,HMRC,08/07/2013,Next Day Del. Closed,BT Corporate Centre,TNT UK LTD,5100027300,£803.17,Courier Services,BL10 9AR
HMRC,HMRC,08/07/2013,Next Day Del. Closed,Anti-Money Laundering Supervision,TNT UK LTD,5100027300,£602.38,Courier Services,BL10 9AR
HMRC,HMRC,08/07/2013,Next Day Del. Closed,S&ID,TNT UK LTD,5100027300,£602.38,Courier Services,BL10 9AR
HMRC,HMRC,08/07/2013,Next Day Del. Closed,Commercial Directorate,TNT UK LTD,5100027300,£522.06,Courier Services,BL10 9AR
HMRC,HMRC,08/07/2013,Gov Sec Framework,Information Management Services,VODAFONE,5100027383,"£215,043.66",Charges to provide other circuits to HMRC data centres,RG12 1XL
HMRC,HMRC,08/07/2013,Oth PFI unitary chrg,Estates & Support Services,NEWCASTLE ESTATE PARTNERSHIP,5100027467,"£3,180,539.53",Charges for accommodation provided under the Newcastle Private Finance Initiative contract,BA2 3RH
HMRC,HMRC,08/07/2013,Oth PFI unitary chrg,Estates & Support Services,NEWCASTLE ESTATE PARTNERSHIP,5100027467,"£605,817.06",Charges for accommodation provided under the Newcastle Private Finance Initiative contract,BA2 3RH
HMRC,HMRC,08/07/2013,Next Day Del. Closed,PT Operations,TNT UK LTD,5100027468,"£154,569.54",Courier Services,BL10 9AR
HMRC,HMRC,08/07/2013,Next Day Del. Closed,Local Compliance,TNT UK LTD,5100027468,"£69,514.13",Courier Services,BL10 9AR
HMRC,HMRC,08/07/2013,Next Day Del. Closed,Debt Management & Banking,TNT UK LTD,5100027468,"£40,961.53",Courier Services,BL10 9AR
HMRC,HMRC,08/07/2013,Next Day Del. Closed,Benefits & Credits Delivery,TNT UK LTD,5100027468,"£32,769.23",Courier Services,BL10 9AR
HMRC,HMRC,08/07/2013,Next Day Del. Closed,Risk & Intelligence,TNT UK LTD,5100027468,"£15,220.02",Courier Services,BL10 9AR
HMRC,HMRC,08/07/2013,Next Day Del. Closed,Criminal Investigations,TNT UK LTD,5100027468,"£12,167.99",Courier Services,BL10 9AR
HMRC,HMRC,08/07/2013,Next Day Del. Closed,Specialist PT,TNT UK LTD,5100027468,"£9,959.28",Courier Services,BL10 9AR
HMRC,HMRC,08/07/2013,Next Day Del. Closed,Specialist Investigations (SI),TNT UK LTD,5100027468,"£7,509.61",Courier Services,BL10 9AR
HMRC,HMRC,08/07/2013,Next Day Del. Closed,Large Business Service,TNT UK LTD,5100027468,"£7,108.03",Courier Services,BL10 9AR
HMRC,HMRC,08/07/2013,Next Day Del. Closed,Estates & Support Services,TNT UK LTD,5100027468,"£6,585.97",Courier Services,BL10 9AR
HMRC,HMRC,08/07/2013,Next Day Del. Closed,HR,TNT UK LTD,5100027468,"£6,385.18",Courier Services,BL10 9AR
HMRC,HMRC,08/07/2013,Next Day Del. Closed,Customs Directorate,TNT UK LTD,5100027468,"£6,224.54",Courier Services,BL10 9AR
HMRC,HMRC,08/07/2013,Next Day Del. Closed,Information Management Services,TNT UK LTD,5100027468,"£5,461.54",Courier Services,BL10 9AR
HMRC,HMRC,08/07/2013,Next Day Del. Closed,Indirect Tax Directorate,TNT UK LTD,5100027468,"£3,815.04",Courier Services,BL10 9AR
HMRC,HMRC,08/07/2013,Next Day Del. Closed,Finance & Internal Audit,TNT UK LTD,5100027468,"£3,453.62",Courier Services,BL10 9AR
HMRC,HMRC,08/07/2013,Next Day Del. Closed,E&C Central Services,TNT UK LTD,5100027468,"£3,292.98",Courier Services,BL10 9AR
HMRC,HMRC,08/07/2013,Next Day Del. Closed,Central Tax & Strategy Directorate,TNT UK LTD,5100027468,"£2,971.72",Courier Services,BL10 9AR
HMRC,HMRC,08/07/2013,Next Day Del. Closed,PT Customer Product & Process,TNT UK LTD,5100027468,"£2,730.77",Courier Services,BL10 9AR
HMRC,HMRC,08/07/2013,Next Day Del. Closed,Business Customer & Strategy,TNT UK LTD,5100027468,"£2,088.24",Courier Services,BL10 9AR
HMRC,HMRC,08/07/2013,Next Day Del. Closed,Solicitors Office,TNT UK LTD,5100027468,"£2,007.92",Courier Services,BL10 9AR
HMRC,HMRC,08/07/2013,Next Day Del. Closed,CTISA,TNT UK LTD,5100027468,"£1,526.02",Courier Services,BL10 9AR
HMRC,HMRC,08/07/2013,Next Day Del. Closed,HMRC Change Programme,TNT UK LTD,5100027468,"£1,526.02",Courier Services,BL10 9AR
HMRC,HMRC,08/07/2013,Next Day Del. Closed,Corporate Communications,TNT UK LTD,5100027468,"£1,204.75",Courier Services,BL10 9AR
HMRC,HMRC,08/07/2013,Next Day Del. Closed,BT Corporate Centre,TNT UK LTD,5100027468,£803.17,Courier Services,BL10 9AR
HMRC,HMRC,08/07/2013,Next Day Del. Closed,Anti-Money Laundering Supervision,TNT UK LTD,5100027468,£602.38,Courier Services,BL10 9AR
HMRC,HMRC,08/07/2013,Next Day Del. Closed,S&ID,TNT UK LTD,5100027468,£602.38,Courier Services,BL10 9AR
HMRC,HMRC,08/07/2013,Next Day Del. Closed,Commercial Directorate,TNT UK LTD,5100027468,£522.06,Courier Services,BL10 9AR
HMRC,HMRC,09/07/2013,Interpreters,PT Operations,THEBIGWORD INTERPRETING,5100027590,"£42,581.03",Translation costs to assist staff dealing with calls from non english speaking customers,LS12 6AB
HMRC,HMRC,09/07/2013,Interpreters,PT Operations,THEBIGWORD INTERPRETING,5100027592,"£66,975.90",Translation costs to assist staff dealing with calls from non english speaking customers,LS12 6AB
HMRC,HMRC,09/07/2013,Grant in Aid Funding,PT Customer Product & Process,CITIZENS ADVICE BUREAU,5100027633,"£41,250.00",Programme to provide support to HMRCs vulnerable customers who need help when interacting with HMRC. ,N1 9LZ
HMRC,HMRC,09/07/2013,Stamps,Commercial Directorate,NEOPOST CREDIFON PAYMENTS,5100027797,"£27,084.00",Payment for HMRC mail costs incurred via franking machines,RM1 2AR
HMRC,HMRC,09/07/2013,Min AW non-struc VAT,Estates & Support Services,NEWCASTLE ESTATE PARTNERSHIP,5100027814,"£229,045.32",Costs for improvement works carried out across the Newcastle Estates,BA2 3RH
HMRC,HMRC,09/07/2013,OGD costs,Estates & Support Services,HM LAND REGISTRY,5100027822,"£58,024.00",Monthly invoice charge for the properties HMRC occupy on the HM Land Registry,CR0 2AQ
HMRC,HMRC,09/07/2013,OGD costs,Estates & Support Services,HM LAND REGISTRY,5100027822,"£8,747.00",Monthly invoice charge for the properties HMRC occupy on the HM Land Registry,CR0 2AQ
HMRC,HMRC,09/07/2013,Non PFI serv VAT,Estates & Support Services,MacLELLAN INTERNATIONAL LTD,5100027825,"£426,595.08",Monthly charge for provision of services on the Newcastle estate,B70 1EN
HMRC,HMRC,10/07/2013,Marketing Promotion,Corporate Communications,M4C,5100027848,"£217,797.03",Tax Credits 2013 June Radio Media,WC1X 8RX
HMRC,HMRC,10/07/2013,Marketing Promotion,Corporate Communications,M4C,5100027848,£181.50,Tax Credits 2013 June Radio Media,WC1X 8RX
HMRC,HMRC,10/07/2013,Legal Service Sol's,Solicitors Office,HOWES PERCIVAL SOLICITORS,5100027858,"£48,188.92",Costs incurred by Solicitors working on behalf of HMRC,NR3 1DD
HMRC,HMRC,10/07/2013,Legal Service Sol's,Solicitors Office,HOWES PERCIVAL SOLICITORS,5100027881,"£65,688.03",Costs incurred by Solicitors working on behalf of HMRC,NR3 1DD
HMRC,HMRC,10/07/2013,OHS,HR,RIGHT CORECARE,5100028015,"£110,523.78",Outsourced contract for Welfare and help-line services,PO15 7AL
HMRC,HMRC,10/07/2013,Storage (non enfmnt),Benefits & Credits Delivery,IRON MOUNTAIN (UK) LTD,5100028027,"£38,131.73",Secure storage of Tax Credit Claims/Papers,EH54 7DF
HMRC,HMRC,10/07/2013,Court Fees,Solicitors Office,HM COURTS SERVICE (LIBERATA UK LTD),5100028030,"£41,400.00",Payment for Tribunal Service,NP20 9FN
HMRC,HMRC,10/07/2013,Valuation Services,Risk & Intelligence,VALUATION OFFICE AGENCY,5100028128,"£766,092.75",Property valuations in respect of Inheritance Tax and other Tax cases - July Payment,W1D 5BU
HMRC,HMRC,10/07/2013,Legal Service Sol's,Estates & Support Services,NORTON ROSE LLP,5100028170,"£99,417.02",This cost relates to work carried out by Norton Rose for financial assurance of one of our suppliers,SE1 2AQ
HMRC,HMRC,10/07/2013,Nat Pst Del Ser(VAT),Commercial Directorate,ROYAL MAIL,5100028197,"£655,185.13",Payment for mail delivery services,PE4 5BR
HMRC,HMRC,10/07/2013,Nat Pst Del Ser NVAT,Commercial Directorate,ROYAL MAIL,5100028197,"£21,466.54",Payment for mail collection and sorting service before final delivery to customers,PE4 5BR
HMRC,HMRC,11/07/2013,Staff transfer - Rep,Indirect Tax Directorate,HOME OFFICE SHARED SERVICE CENTRE (,1900109062,"£100,000.00",Engineering services provided by UKBF,NP20 9BB
HMRC,HMRC,11/07/2013,Disposal Seized Gds,Specialist Investigations (SI),ENVA NORTHERN IRELAND LTD,5100028261,"£222,383.28",Storing / disposing of seized goods,BT24 8LS
HMRC,HMRC,11/07/2013,Marketing Promotion,Corporate Communications,M4C,5100028363,"£28,697.30",Regional media campaign for Enquiry Centre closures,WC1X 8RX
HMRC,HMRC,11/07/2013,Marketing Promotion,Corporate Communications,M4C,5100028363,£23.91,Regional media campaign for Enquiry Centre closures,WC1X 8RX
HMRC,HMRC,11/07/2013,Employee education,BT Change,CAPITA BUSINESS SERVICES LTD,5100028469,"£1,186,718.70","Delivery of learning at an external venue  as part of the Compliance Skills Development Development Programme(CSDP) ""48"" ",DL1 9HN
HMRC,HMRC,11/07/2013,Employee education,BT Change,CAPITA BUSINESS SERVICES LTD,5100028481,"-£1,186,718.70","Delivery of learning at an external venue  as part of the Compliance Skills Development Development Programme(CSDP) ""48"" ",DL1 9HN
HMRC,HMRC,11/07/2013,OHS,HR,RIGHT CORECARE,5100028483,"£110,523.78",Outsourced contract for Welfare and help-line services,PO15 7AL
HMRC,HMRC,11/07/2013,Water,Estates & Support Services,NORTHUMBRIAN WATER,5100028640,"£26,227.87",Utility payment,DH1 5WQ
HMRC,HMRC,12/07/2013,Debt collection serv,Debt Management & Banking,HILLESDEN SECURITIES LTD,5100028674,"£34,754.23",Debt Collection Services,NN13 7DN
HMRC,HMRC,12/07/2013,Debt collection serv,Debt Management & Banking,COMMERCIAL CREDIT SERVICES GROUP,5100028677,"£34,752.20",Debt Collection Services,B61 7DL
HMRC,HMRC,12/07/2013,Debt collection serv,Debt Management & Banking,ADVANTIS CREDIT LTD,5100028681,"£91,948.22",Debt Collection Services,ST4 7RY
HMRC,HMRC,12/07/2013,Debt collection serv,Debt Management & Banking,FREDRICKSON INTERNATIONAL LTD,5100028735,"£81,932.54",Debt Collection Services,KT13 0NT
HMRC,HMRC,12/07/2013,Nat Pst Del Ser NVAT,Commercial Directorate,TNT POST UK LTD,5100028792,"£92,609.10",Payment for mail collection and sorting service before final delivery to customers,SL7 1HY
HMRC,HMRC,12/07/2013,Cross Government Ser,Commercial Directorate,IBM UNITED KINGDOM LTD,5100028851,"£29,423.06",Payment for HMRC's Emptoris application,PO6 3AU
HMRC,HMRC,12/07/2013,Non-IMS IT for CSR,HR,SPECIALIST COMPUTER CTR,5100028856,"£85,816.72",Specialist Computer Centre (SCC) is the main contractor for IT of the 2013 Civil Service Fast Stream intake managed by Civil Service Resourcing for the CS as a whole not just HMRC. This invoice is for the candidate website review in accordance with the terms and conditions of the contract.,B11 2LE
