DEPARTMENT FOR TRANSPORT - INFORMATION ASSET REGISTER ,,,,,,,,
Asset Title,Data collection activity,Asset Description,Business Area,Personal,No. of records,Data processor,In public domain,Published where
Cycling City and Towns (CCT)  Evaluation respondent identifiers.,Ongoing,Sample information on approx. 7000 households which have agreed to be recontacted as part of this research project. Can be linked to Senior Research and Evaluation (SRE) 3B but is stored separately and will be deleted after post-implementation survey. The data is stored electronically and in paper form by the contractor (AECOM) and is shared with supply chain members Office of National Statistics (ONS) and University of the West England (UWE) under the terms of the Data Protection Act.,Department for Transport,Yes,"10,001 - 100,000",AECOM,No,
Cycling City and Towns (CCT) Evaluation survey data.,Ongoing,"Anonymised survey returns including demographic data, data on travel behaviours and data on attitudes. The data will be stored electronically on the Department for Transport system and on the contractor's (AECOM's) system, and published on the Department for Transport website.",Department for Transport,No,"10,001 - 100,000",AECOM,No,
Ceased Officers Database,Ceased,Old Payroll Data contains preserved awards and queries etc.,Department for Transport,Yes,"1,001 - 10,000",,No,
Chapter,Ongoing,"Chapter - Correspondence and PQ handling system - storing records of correspondence and emails addressed to Ministers from MPs and members of the public and PQs addressed to Ministers by Members of Parliament. 34,500 records currently stored.",Department for Transport,Yes,"10,001 - 100,000",,No,
Computer-held summary of WPL IA 1,Ceased,"Electronic record of representations contained in Work Parking Levy (WPL) IA 1, with first half of postcode or area of home address and work location where given, and summary of whether representation was a pro-forma response or other, and whether acknowledged by Nottingham City Council.",Department for Transport,No,"1,001 - 10,000",,No,
Railway Standards Consultation Database,Ongoing,Data consisting primarily of names and addresses from members of the public with an interest in particular transport issues and who have agreed to be included in correspondence regarding consultations within their area of interest.,Department for Transport,Yes,"1,001 - 10,000",,Yes,A certain amount of information is available on the Department for Transport website.
Continuing Survey of Road Goods Transport (CSRGT),Ongoing,"Domestic data for GB registered Heavy Goods Vehicles, input data includes names and addresses of individuals and companies together with Vehicle Registration Mark (VRM). (120,000 vehicle records, approximately 1 million associated trip details)",Department for Transport,Yes,"100,001 - 1,000,000",,Yes,Aggregated data (but not personal information) at: http://www.dft.gov.uk/pgr/statistics/datatablespublications/freight/goodsbyroad/roadfreightstatistics2009
Continuing Survey of Road Goods Transport NI,Ongoing,"Domestic data for Northern Ireland registered Heavy Goods Vehicles (HGVs), input data includes names and addresses of individuals and companies together with Vehicle Registration Mark. (10,000 vehicle records and approximately 80,000 trips)",Department for Transport,Yes,"10,001 - 100,000",,Yes,Aggregated data (but not personal information) at: http://www.dft.gov.uk/pgr/statistics/datatablespublications/freight/goodsbyroad/roadfreightstatistics2009
Cooperative Crash Injury Study (CCIS),Ceased,"Data concerning the damage to vehicles involved in ""tow-away"" accidents is compared with personal injury data collected from hospitals in order to understand the injury causation and therefore improve vehicle safety design.",Department for Transport,Yes,"10,001 - 100,000","Transport Research Laboratory (TRL), Loughborough University & Birmingham University.",No,
Correspondence casework,Ongoing,All external correspondence and internal briefing requests are recorded and performance in responding is monitored.,Department for Transport,Yes,"1,001 - 10,000",,No,
Country and Regional Analysis,Ongoing,Spreadsheet detailing programme expenditure by region,Department for Transport,No,51 - 500,,No,
Crossrail Act - Register of Undertakings,Ceased,Summary of all the individual undertakings and assurances given to petitioners and to Parliament during the passage of the Crossrail Bill.,Department for Transport,No,"501 - 1,000",Winckworth Sherwood (Lawyers - Parliamentary Agents to the Crossrail Project),Yes,http://www.crossrail.co.uk/railway/getting-approval/crossrail-act-register-undertakings-assurances then follow link from that page.
Crossrail Act - Agreements,Ceased,Individual Agreements associated with the Crossrail Bill.,Department for Transport,No,51 - 500,(1) Winckworth Sherwood (Lawyers - Parliamentary Agents to the Crossrail Project) who hold the origin,No,
Customer relationship management,Ongoing,"Personal information captured within the CRM system, relating to people contacting the Public Enquiries Team.",Department for Transport,Yes,"10,001 - 100,000",,No,www.dft.gov.uk
Crossrail Act - Petition Response Documents,Ceased,"A collection of several hundred CDs containing petition response documents, given to those who petitioned the Crossrail Bill prior to its Royal Assent as the Crossrail Act 2008.",Department for Transport,Yes,51 - 500,Winckworth Sherwood (Parliamentary lawyers) have the original paper documents in their records.,No,"Not believed in public domain although possible that some of the documents have been published, as the petitions to which these are responses are available on the UK Parliament website. Some are held electronically on the Commitments Delivery Tracker."
Cycle Data,Ongoing,"Data depicting the off-road and on-road cycle-friendly infrastructure, Local Authority recommended routes and other attributes including lighting, surface type, width, traffic volume and whether the route is part of the National Cycle Network. This data complements and references the Ordnance Survey Integrated Transport Network (ITN).",Department for Transport,No,51 - 500,Landmark Information Group,No,
Cycling Instructor Database,Ongoing,Details of instructors trained to deliver training to the National Standard for cycle training.,Department for Transport,Yes,"1,001 - 10,000",Steer Davies Gleave on behalf of DfT,No,
Data on EU new car van sales purchased from POLK,Ongoing,Commercial data on EU new car and van sales,Department for Transport,No,"over 1,000,000",,No,
Data on GB new van sales from JATO,Ceased,Commercial data on GB new van sales.,Department for Transport,No,"1,001 - 10,000",,No,
Data on used car residual values,Ceased,"Commercial data on used car residual values, and forecast residual values",Department for Transport,No,"over 1,000,000",,No,
Database of BAC levels in road fatalities,Ongoing,Coroners data. The existing database provides information on the blood alcohol concentrations (BACs) of road traffic accident fatalities.,Department for Transport,No,"1,001 - 10,000",Transport Research Laboratory ,No,
Database of registered users,Ongoing,Dataset of e-mail addresses for all registered users of the Transport Direct portal,Department for Transport,Yes,"10,001 - 100,000",Atos Origin,No,
Database of traffic signs casework,Ongoing,All applications for non-prescribed traffic signs are booked on to the database. Progress and performance is managed through the database,Department for Transport,No,"1,001 - 10,000",,No,
Deep Port Mapping Database,Ongoing,Emergency Planning Tool,Department for Transport,Yes,"1,001 - 10,000",,No,
Department for Transport Procurement Data Site,Ongoing,Holds information for external advisers.,Department for Transport,No,"1,001 - 10,000",Connect Internet Solutions Ltd,No,
Department for Transport central Staff Directory,Ongoing,"Staff Directory includes details of name, payband, unit, building, location and contact details (phone, fax, email), job title and function. Plus additional (optional) fields to record normal working pattern or add a suitable photograph.",Department for Transport,Yes,"1,001 - 10,000",,Yes,"Some relating to senior grades is in Civil Service Yearbook, Dods Civil Service Companion, Dods Vachers, Westminster and Whitehall World"
"Diversity Data, SAP Reports and Downloads",Ongoing,"Diversity data for all Department for Transport central staff available - Age, ethnicity, gender, sexual orientation, name, location, directorate, etc. Data from System Applications & Products or People Information Management System.",Department for Transport,Yes,"1,001 - 10,000",,No,
DVLA Vehicles Database,Ongoing,Driver Vehicle Licensing Agency (DVLA) vehicles database. List of all licensed and unlicensed vehicles registered in GB. More than 80 million records. Includes the vehicle registration number plate.,Department for Transport,Yes,"over 1,000,000",,No,
Essex Thameside Data site,Future,"Holds information, in lieu of a physical data room for accredited bidders.",Department for Transport,No,1-50,Connect Internet Solutions Ltd,No,
ETHOS Remote Access Service (RAS) User database,Ongoing,"Contains details of all Department for Transport central staff who have been issued with a laptop to enable them to use the ETHOS Remote Access Service. The database contains the following details: user's name; user-id; division; location; make, model; Tag number of laptop; primary/secondary machine; connection mode (wireless or 3G) and IT Focal Point.",Department for Transport,Yes,"1,001 - 10,000",,No,
Exceptional Hardship Scheme,Ongoing,"Name, address, property details, personal circumstances, finances, medical information",Department for Transport,Yes,51 - 500,,No,
External Publications,Ongoing,"The external publications contain DfT(C) Staff organisation information on senior staff only. The data includes: - name, payband, unit, contact details (phone, fax, email), job function",Department for Transport,Yes,51 - 500,,Yes,- Civil Service Yearbook - Dods Civil Service Companion - Dods Vachers - Westminster and Whitehall World
Faststream and Talent Management Spreadsheet,Ongoing,"Details of individuals currently in the Fast Stream programme: Personal Details include: Names, Job Titles Allowance Information and Salary",Department for Transport,Yes,51 - 500,,No,
Freight Insurance and Licensing stakeholder database,Ceased,Names and business addresses of Freight Insurance and Licensing (FIL) stakeholders,Department for Transport,No,51 - 500,,No,
Financial information for Franchise Agreements,Ongoing,Financial information and other supporting information for TOC Franchise Agreements,Department for Transport,No,1 - 50,,No,
Flexible Deployment Tool,Ongoing,"Timesheet allocation of hours on variety of projects. Competency Self-Assessments. Only name, position and time allocations & self-assessments held within.",Department for Transport,Yes,"1,001 - 10,000",,No,
Forecast of Vehicle Costs ,Ceased,A model which provides detailed forecasts of vehicle costs to 2050. ,Department for Transport,No,"10,001 - 100,000",,No,
Framework Agreements (FWA) contracts,Ongoing,Contracts and Framework Agreements to October 12,Department for Transport,No,1 - 50,"Various framework contracts (including Interfleet, Atkins Rail, Kilbourn, Tata Rail Services and Se",No,"Procurement mandated to publish certain contract info, redaction as needed of info on live investigation (using similar exemptions as for Freedom of Information (FOI)"
Freedom of Information Tracking System,Ongoing,FITS manages the Department's Freedom of Information requests and responses. It is an access database that is accessed only via the ETHOS infrastructure by DfTc staff.,Department for Transport,Yes,"1,001 - 10,000",,No,
Government Shared Services (Swansea) data site,Ongoing,"Collection and dissemination of information about current Shared Service Centre (Swansea) operations (including but not limited to staff, business processes, contracts, property and IT) as well as draft contract for the new service provider.",Department for Transport,Yes,51 - 500,,No,
Government Shared Services Data Site,Ceased,Web-based data room for the Shared Services procurement competition.,Department for Transport,No,51 - 500,Connect Internet Solutions,No,
Great Western Data Site,Ongoing,Web-based data room used for the Great Western franchise letting competition 2012,Department for Transport,No,"1,001 - 10,000",Connect Internet Solutions,No,
Greater Anglia Data Site,Future,"Web-based. Holds information, in lieu of a physical data room, for accredited bidders. Competition for the franchise has ended. The data site is archived by the data site provider on to DVD. Will be copied to DfT shared drive, and a copy given to the winning bidder. Update July 20112: The data site has been closed and the contents archived to DVD. Copied to team drive.",Department for Transport,No,51 - 500,Connect Internet Solutions Ltd,No,
High Speed Rail consultation (electronic),Ongoing,"Responses received to the 2011 High Speed Rail consultation (web, e-mail, scanned version of hard copy responses). Dataset contain personal information including name, address, postcode, email (optional) and response to consultation questions.",Department for Transport,Yes,"10,001 - 100,000",Dialogue by Design (consultation response analysis) Precedent (web agency),No,
HEAT Help Desk database,Ongoing,Database containing all call records logged by ETHOS users.,Department for Transport,Yes,"1,001 - 10,000",,No,
Historic Rail Passenger Demand and Revenue Data,Ongoing,"Rail Service Analysis (RSA) Historic Rail Passenger Demand and Revenue Data derived from LENNON/CAPRI matched with socio-economic, car-cost/journey time and rail related variables",Department for Transport,No,1 - 50,,No,
Historical rail passenger demand data,Ceased,Rail Service Analysis - Historic Rail Passenger Demand Data derived from LENNON/CAPRI,Department for Transport,No,1 - 50,,No,
HMRC/UKBA Freight Tracking System,Ongoing,"Number and weight of goods vehicles entering UK on Roro services, by UK port, country of loading and cargo description.",Department for Transport,No,"over 1,000,000",,No,
Honours data,Ongoing,"Nomination and citation for an Honour: includes name, dob, service info, previous honours + submissions, nationality, address, postcode, telephone. Nomination and citation for Gallantry and Long Service awards. Names + addresses for Royal Garden Parties.",Department for Transport,Yes,"501 - 1,000",Department for Communities and Local Government Honours team,No,
HR Salary Spreadsheet,Ongoing,Human Resource (HR) Staff and Salary spreadsheet,Department for Transport,Yes,51 - 500,,No,
Human Resource (HR) Personnel,Ongoing,"HR info from recruitment, and for staff",Department for Transport,Yes,51 - 500,Occasional use of HR recruitment contract through DVLA,No,
Information Asset Register,Ongoing,Department for Transport (DfT) Information Asset Register,Department for Transport,Yes,51 - 500,,Yes,www.dft.gov.uk
Information material purchases,Ongoing,Information material purchases - customer details. Business addresses held.,Department for Transport,Yes,"501 - 1,000",Barclaycard,No,
InterCity West Coast Data Site,Ongoing,Web-based data room providing information to parties prequalified to receive an Invitation to Tender.,Department for Transport,No,"1,001 - 10,000",Connect Internet Solutions Limited,No,
Internal audit files,Ongoing,Internal audit files (paper and electronic) supporting audit reports.,Department for Transport,Yes,51 - 500,,No,
International Road Haulage Survey (IRHS),Ongoing,"International data for GB-registered HGVs, input data includes names and addresses of individuals and companies together with vehicle registration mark. (50000 records)",Department for Transport,Yes,"10,001 - 100,000",,Yes,Aggregated data (but not personal information) at: http://www.dft.gov.uk/pgr/statistics/datatablespublications/freight/goodsbyroad/roadfreightstatistics2009
ITIS journey time data,Ceased,Integrated Transport Information Service (ITIS) congestion data - Data purchased from ITIS containing GPS-derived journey times of vehicles,Department for Transport,No,"over 1,000,000",ITIS Holdings (processed by Mott McDonald),No,
KCW E-Communities database,Ongoing,"Known Consignor Website (KCW) E-Communities database contains addresses and contact information of companies who export goods by air, contact details of Validators who inspect sites. Certain contact and site information is transferred to the EU.",Department for Transport,Yes,"1,001 - 10,000",EDUSERV,No,
Legal SI Mailmerge Database,Ongoing,Statutory Instrument production with Highways Agency (HA) contacts details attached. The nature of the asset is 30 or so HA administrators and their office locations.,Department for Transport,No,"1,001 - 10,000",,No,
Linked police and hospital road casualty database,Ongoing,The database links record level data collected by the police(STATS19) and processed by DfT with Hospital Admissions (HES) data. The linking is undertaken by the NHS Information Centre and an anonymised data set provided.,Department for Transport,No,"100,001 - 1,000,000",NHS Information Centre,No,
List of representors on TWA Order applications,Ongoing,"List of names and addresses of each person who has made representations on an application for an Order under the Transport Works Act (TWA), together with a reference number. Each application has its own list.",Department for Transport,Yes,"1,001 - 10,000",,No,
Locard - Evidence,Ongoing,Locard - adapted from police evidence capture system. Plans to use in house Rail Accident Investigation Branch (RAIB) system in preparation.,Department for Transport,No,"1,001 - 10,000",Rail Accident Investigation Branch/ Atkins,No,RAIB ultimately only release investigation info pre-publication with a court injunction
London Area Travel Survey (LATS),Ceased,"The London Area Travel Survey (LATS) collected data on a sample of rail journeys in 2001. Data items include origin & destination addresses, rail stations used, reason for journey, ticket type, sex and age.",Department for Transport,Yes,"100,001 - 1,000,000",,No,
Longer Semi-trailer Trial database,Ongoing,"Relational database of trial participants, allocations, Vehicle Special Orders (VSO), trailers and other data",Department for Transport,No,"1,001 - 10,000",,No,
Losses and Special Payments Register,Ongoing,List of losses and special payments,Department for Transport,No,51 - 500,,No,
Low Carbon Vans Survey,Ceased,Survey of 400 van owners,Department for Transport,Yes,51 - 500,,Yes,Aggregated data (but not personal information) at: http://www.dft.gov.uk/pgr/statistics/datatablespublications/freight/lowcarbonvan
Marine Accident Investigation Branch Contacts address book,Ongoing,Marine Accident Investigation Branch (MAIB) Outlook-based list of contacts,Department for Transport,Yes,"501 - 1,000",,No,
Marine Accident Investigation Branch Forensically copied evidence,Ongoing,"Marine Accident Investigation Branch (MAIB) - Any sort of electronic data gathered in the course of an investigation including: hard drives, e-mail streams, electronic chart/GPS downloads",Department for Transport,Yes,"1,001 - 10,000",,No,
Marine Accident investigation Branch Incoming Post Log,Ongoing,Record of correspondence received by the Marine Accident Investigation Branch (MAIB).,Department for Transport,Yes,"1,001 - 10,000",,No,
"Marine Accident Investigation Branch,  Incident Database System (MIDS)",Ongoing,"Information collected about marine accidents, and Marine Accident Investigation Branch's (MAIB) analysis in the course of its investigations.",Department for Transport,Yes,"10,001 - 100,000",,No,
Marine Accident Investigation Branch primary Voyage Data Recorders evidence,Ongoing,"Marine Accident Investigation Branch (MAIB) - Downloads from Voyage Data Recorders (VDRs) containing information about vessel's speed, heading, radar images, engine and steering settings, and audio/video recordings.",Department for Transport,No,"501 - 1,000",,No,
Marine Accident Investigation Branch Publications data,Ongoing,"Marine Accident Investigation Branch (MAIB) Draft reports, diagrams and images.",Department for Transport,No,"501 - 1,000",,No,
Marine Accident Investigation Branch published evidence,Ongoing,Marine Accident Investigation Branch (MAIB). Information that was gathered under Primary Voyage Data Recorders and Forensically copied evidence which was subsequently included in published reports,Department for Transport,No,"501 - 1,000",,Yes,Marine Accident Investigation Branch website
Marine Accident Investigation Branch Ship database,Ongoing,"The database contains details of ships that may have been the subject of a Marine Accident Investigation Branch (MAIB) investigation, or which were third parties in an incident but supplied, for example, Voyage Data Recorders downloads to assist with an investigation.",Department for Transport,No,"501 - 1,000",,Yes,Subscription websites such as SeaWeb
Marine Accident Investigation Branch (MAIB)  e-mail,Ongoing,"MAIB Inspectors have access to an e-mail system that is separate from, but which complements their ETHOS accounts. This allows them to access their e-mail in the field, and has fewer restrictions on attachments.",Department for Transport,Yes,"501 - 1,000",,No,
Medical Referrals,Ongoing,Anonymous list sent to our medical provider.,Department for Transport,No,"1,001 - 10,000",,No,
MINCOM/IMPReS,Ceased,"Correspondence and emails containing names/addresses/postcodes/email addressed to Ministers from MPs and members of the public. 310,000+ records since 1999",Department for Transport,Yes,"100,001 - 1,000,000",,No,
National Public Transport Access Nodes (NaPTAN),Ongoing,"Dataset of every public transport node in Great Britain e.g. bus stop, railway station etc",Department for Transport,No,"100,001 - 1,000,000",Landmark,Yes,Via Data.gov
National Public Transport Data Repository,Ongoing,A weekly snapshot of all public transport services in Great Britain that is gathered each October,Department for Transport,No,"over 1,000,000",Thales,Yes,Via Data.gov
National Public Transport Gazetteer,Ongoing,"Dataset of every discreet location in Great Britain e.g. town, village, suburb",Department for Transport,No,"10,001 - 100,000",Landmark,Yes,Via Data.gov
National Rail Travel Survey (NRTS),Ceased,"Rail Service Analysis (RSA). The National Rail Travel Survey (NRTS) collected data on a sample of rail journeys. Data items include origin & destination addresses, rail stations used, reason for journey, ticket type, and selected demographic variables.",Department for Transport,Yes,"100,001 - 1,000,000",,No,
National Rail Trends (NRT) data,Ongoing,Office of Rail Regulation (ORR) supply privileged pre-release access to statistics for National Rail trends (NRT) publications,Department for Transport,No,1 - 50,,Yes,http://www.rail-reg.gov.uk/server/show/nav.2026
National Road Condition Database,Ongoing,National Road Condition Database. Measurements of road surface condition of roads taken from local authority SCANNER (Surface Condition Assessment for the Nationals Network of Roads). These machine surveys are carried our carried out using accredited SCANNER vehicles. The data is gathered from contractors by TRL (Transport Research Laboratory).,Department for Transport,No,"over 1,000,000",Data purchased from Transport Research Laboratory (TRL) and processed in house.,No,
National Security Vetting Database,Ongoing,"Extensive and detailed personal information and personal history including those of family, other relationships, financial details, criminal records of Departmental Staff for the purpose of gaining National Security Vetting clearance.",Department for Transport,Yes,"10,001 - 100,000",FCO Vetting Services - clauses in a draft SLA that recognise protection of data whilst in their owner,No,
National Travel Survey (NTS),Ongoing,"National Travel Survey (NTS). A continuous household survey of personal travel in GB. Data collected from approx 20,000 individuals per year.",Department for Transport,No,"100,001 - 1,000,000",National Centre for Social Research,Yes,Cut down extract available to researchers from University of Essex data archive
NDPB membership application papers (BTPA only),Ongoing,"Non Departmental Public Bodies (NDPB) applications and associated material relating to public appointments to the division's NDPB, including personal information needing protection",Department for Transport,Yes,51 - 500,,No,
Notes to Resource Accounts,Ongoing,Data prepared by HR from SAP payroll system giving remuneration details of Board members; Ministers etc as required for resource account disclosure,Department for Transport,Yes,1 - 50,,Yes,Departmental resource accounts (we receive fresh data in advance of producing each year's accounts)
On The Spot (OTS) database,Ceased,"Details of accident investigations including gender, age, group, vehicle damage, road layout, injust mechanism.",Department for Transport,Yes,"1,001 - 10,000",Transport Research Laboratory and Loughborough University,No,The asset itself is not in the public domain only the research work from the data is in the public domain. These reports are either on the Department website or on the TRL and Loughborough University website.
Online DSE Risk Assessments,Ongoing,A bought in online package where staff can do a Display Screen Equipment (DSE) risk assessment on line and any difficulties are highlighted for a trained assessor to visit them to go through and resolve the problems.,Department for Transport,Yes,1 - 50,,No,
Online Vetting Application Spreadsheet,Ongoing,This excel spreadsheet records details of security clearance applications which have been made online by the Department and National Security Vetting sponsors. It contains the names and dates of birth of the applicants. It is updated by the Transport Security Strategy vetting team staff.,Department for Transport,Yes,"1,001 - 10,000",,No,
Penna 360,Ongoing,"360 data on Senior Managers. Penna invite colleagues of the requestor to complete a 15 online questionnaire on the requestor. The 360 Partnership, compile and release analysis to DfT.",Department for Transport,Yes,"1,001 - 10,000",Penna,No,
Performance Management,Ongoing,"Process of liaison with DG's to establish Performance Review marking for staff across the department. Linked to diversity data including age, gender, disability, ethnicity.",Department for Transport,Yes,"1,001 - 10,000",,No,
Personnel Information Management System (PIMS) Leg,Ceased,HR legacy data system. Stores Department for Transport central legacy data prior to the transfer of HR function to the DVLA Shared Services Centre Swansea in April 2008,Department for Transport,Yes,"1,001 - 10,000",,No,
Personnel Information Management System (PIMS) SD,Ongoing,"Legacy HR system, now phased out/migrated to Shared Services/Systems Applications and Products (SAP). Data stored - Name, Staff No., Pay Band, Work Hours, Org Unit and Cost centre",Department for Transport,Yes,"1,001 - 10,000",,No,
Plug-in Car and Van Grant Recipients,Ongoing,"The asset is a web application logging orders and sales of cars eligible for the DfT Office for Low Emission Vehicles' Plug-in Car and Van Grants, which provides 25% or 20% off the cost of an eligible ultra low emission vehicle up to a maximum of 5000 or 8000 pounds respectively. The order details contain some personal data of recipients, such as names and addresses and car registration numbers.",Department for Transport,Yes,51 - 500,,No,
Police breath alcohol screening test results,Ongoing,"Results of breath alcohol screening tests collected by police using new digital meters funded by DfT. Data includes information about breath alcohol levels, reason for test, age, gender and time of day.",Department for Transport,No,"over 1,000,000",,No,
Police fatal accident files,Ongoing,"This asset contains police fatal road traffic accident files. The detailed information contained in these files relates to road accidents in participating police force areas where someone has been killed in a road traffic accident. The files provides an archive that may be used as a tool for in-depth accident investigation by researchers, engineers and policy makers.",Department for Transport,Yes,"10,001 - 100,000",Transport Research Laboratory Ltd,Yes,"Data from the archive have been used to inform a number of DfT-commissioned research projects (which contain aggregate, anonymised results only relating to a subset of cases). Reports published on DfT or contractor website"
Port traffic data,Ongoing,"Port traffic data - total tonnage broken down by port, broad cargo type, quarter, direction of flow, origin/destination port, shipper.",Department for Transport,Yes,"1,001 - 10,000",BMT Reliability plc,Yes,Aggregated data published as National Statistics. http://www.dft.gov.uk/pgr/statistics/datatablespublications/maritime/
Press Notice Distribution Data,Ongoing,"Press Notice Distribution data. Name, email address, postal address, telephone number. Organisation, subject interest.",Department for Transport,Yes,"501 - 1,000",Central Office of Information,No,
Promotional material distribution lists,Ongoing,"Promotion material distribution lists - Name, email address, postal address, telephone number, subject interest.",Department for Transport,Yes,"1,001 - 10,000",Camber Town,No,
Rail Commercial Emergency Manual,Ongoing,Emergency Manual for Rail Commercial,Department for Transport,Yes,1 - 50,,No,
Rail freight forecasts for 2019,Ceased,Rail freight forecasts for 2019,Department for Transport,No,"10,001 - 100,000",,No,
Rail passenger count data,Ongoing,"Rail Analysis. Train operators collect passenger count data on periodic cycles (at least biannually), to facilitate capacity planning and rolling stock allocation within individual Train Operating Company (TOC).",Department for Transport,No,"1,001 - 10,000",,No,
Rail Service Analysis: Train Operating Company (TOC) modelled data,Ongoing,Modelling of interventions including estimates and forecasts of revenue and demand and impact of interventions on TOC revenue and costs,Department for Transport,No,51 - 500,,No,
Rail stakeholder database,Ongoing,Names and addresses of approx 1400 bodies connected with the rail industry.,Department for Transport,Yes,"1,001 - 10,000",,Yes,On web sites of the identified stakeholders.
Rail Technical Contract Information,Ongoing,"Contract information (e.g. employment of consultants/contractors, temps and other non-permanent staff) in support of DfT's rail research programme.",Department for Transport,Yes,1 - 50,,No,
Rail Technical tender documents,Ongoing,"Tender documents, in particular, those for research projects",Department for Transport,Yes,1 - 50,,No,
Reasonable Adjustments,Ongoing,"Contains details of equipment provided to employees for non standard adjustments to work stations such as voice recognition software, monitors and non IT items such as orthopaedic chairs and names of employees to whom the equipment has been assigned.",Department for Transport,Yes,"1,001 - 10,000",,No,
Redfern Travel Contract,Ongoing,"Information to allow staff of the central Department for Transport to book UK business travel including: names. official address, e-mail address and telephone number.",Department for Transport,No,"1,001 - 10,000",Redfern Travel Ltd,No,
Representations on TWA Order applications,Ongoing,Letters and e-mails expressing views on applications for Transport and Works Act (TWA) Orders. These include names and addresses and sometimes phone nos.,Department for Transport,Yes,"1,001 - 10,000",,No,
Responses to consultations carried out externally,Ongoing,Reponses to public consultations which are carried out by external bodies on behalf of the Department for Transport,Department for Transport,Yes,"501 - 1,000",,No,
Responses to public consultations by Department for Transport,Ongoing,Responses to public consultations which are carried out by the Department for Transport,Department for Transport,Yes,"501 - 1,000",,No,
