Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£),Description,VAT registration number
Department of Health,03F,31/10/2015,Clinical&Medical-Voluntary Sector,COMMUNITY SERVICES,HOME-STAR (HULL),320152016," 26,895.00 ",CONTRACT FOR SUPPLY OF SERVICES,
Department of Health,03F,31/10/2015,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,SPIRE HEALTHCARE LTD,03FHULPF201507," 523,796.00 ",1/12 ESTIMATED ANNUAL CONTRACT VALUE - OCTOBER 2015,
Department of Health,03F,31/10/2015,Cont Care-Funded Nursing Care Allow,FUNDED NURSING CARE,HULL CITY COUNCIL,1000217118," 47,266.24 ",FNC RECHARGES 14/09/2015 - 11/10/2015,
Department of Health,03F,31/10/2015,Health Promotion,NON RECURRENT PROGRAMMES,CATZERO LTD,1166," 74,525.00 ",SERVICES JULY 2015 - DECEMBER 2015,
Department of Health,03F,31/10/2015,Clinical&Medical-Independent Sector,ACUTE COMMISSIONING,EAST RIDING FERTILITY SERVICES LTD,119991," 37,976.27 ",NHS ACTIVITY AUGUST 2015,
Department of Health,03F,31/10/2015,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,NOTTINGHAM REHAB LTD,1800092214," 177,237.79 ",EQUIPMENT PURCHASES AND ACTIVITY AS PER THE ICON SPLIT,
Department of Health,03F,31/10/2015,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,NOTTINGHAM REHAB LTD,1800092221," 104,528.20 ",EQUIPMENT COSTS FOR WHEELCHAIR SERVICE ADULTS SEPTEMBER 2015,
Department of Health,03F,31/10/2015,Clinical&Medical-Independent Sector,WHEELCHAIR SERVICE,NOTTINGHAM REHAB LTD,18000922222," 26,823.18 ",EQUIPMENT COSTS FOR WHEELCHAIR SERVICE CHILDRENS SEPTEMBER 2015,
Department of Health,03F,31/10/2015,Clinical&Medical-Independent Sector,INTERMEDIATE CARE,ROSSMORE NURSING HOME,2.02526E+11," 25,817.45 ",STROKE BEDS 01/11/2015 - 30/11/2015,
Department of Health,03F,31/10/2015,Computer Software/License,COMMISSIONING SCHEMES,FIRST DATABANK EUROPE LTD,475,"-97,921.19 ",ANNUAL END USER FEE 01/10/2015 - 30/09/2016,
Department of Health,03F,31/10/2015,Computer Software/License,COMMISSIONING SCHEMES,FIRST DATABANK EUROPE LTD,6097," 97,921.19 ",ANNUAL END USER FEE 01/10/2015 - 30/09/2016,
Department of Health,03F,31/10/2015,Computer Software/License,COMMISSIONING SCHEMES,FIRST DATABANK EUROPE LTD,6112," 96,368.93 ",ANNUAL END USER FEE TTP 01/10/2015 - 30/09/2016 EMIS 01/11/2015 - 30/09/2016,
Department of Health,03F,31/10/2015,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410009599," 44,536.52 ",RUNNING COSTS FOR UNIT 2 PRIORY PARK MARCH TO JUNE 2015,
Department of Health,03F,31/10/2015,Clinical&Medical-Independent Sector,COMMISSIONING SCHEMES,CITY HEALTH CARE PARTNERSHIP CIC,7410010266," 43,228.88 ",PAIN MANAGEMENT JULY 2015,
Department of Health,03F,31/10/2015,Clinical&Medical-Independent Sector,CHC AD FULL FUND PERS HLTH BUD,CITY HEALTH CARE PARTNERSHIP CIC,7410010598," 79,861.45 ",CHC FUNDED PERSONAL HEALTH BUDGET AUGUST 2015,
Department of Health,03F,31/10/2015,Clinical&Medical-Independent Sector,COMMISSIONING SCHEMES,CITY HEALTH CARE PARTNERSHIP CIC,7410010913," 36,124.61 ",PAIN MANAGEMENT AUGUST 2015,
Department of Health,03F,31/10/2015,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410010968," 1,957,981.25 ",OCTOBER 2015 CONTRACTUAL INCOME RECURRENT STANDARD CONTRACT,
Department of Health,03F,31/10/2015,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410010970," 70,781.87 ",2015 CONTRACTUAL INCOME NON RECURRENT STANDARD CONTRACT CQUINN ACHIEVED QTR 1 2015/16,
Department of Health,03F,31/10/2015,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,CITY HEALTH CARE PARTNERSHIP CIC,7410010971," 45,386.50 ",OCTOBER 2015 CONTRACTUAL INCOME COMMUNITY PAEDIATRICS,
Department of Health,03F,31/10/2015,Clinical&Medical-Independent Sector,MENTAL HEALTH CONTRACTS,CITY HEALTH CARE PARTNERSHIP CIC,7410010978," 289,266.49 ",OCTOBER 2015 CONTRACTUAL INCOME SEPRESSION AND ANXIETY SERVICE COMPLETED TREATMENT ,
Department of Health,03F,31/10/2015,Cont Care- Palliative Care,CHC ADULT FULLY FUNDED,CITY HEALTH CARE PARTNERSHIP CIC,7410011102," 39,631.86 ",CONTINUING CARE NIGHT SITS SEPTEMBER 2015,
Department of Health,03F,31/10/2015,C&M-APMS Contract Value,LOCAL ENHANCED SERVICES,VIRGIN CARE EAST RIDING LLP,803Z446," 69,075.00 ",UNREGISTERED PATIENTS REVENUE OCTOBER 2015,
Department of Health,03F,31/10/2015,Clinical&Medical-Independent Sector,INTERPRETING SERVICES,AA GLOBAL LANGUAGE SERVICES LTD,813HC06," 44,208.66 ",INTERPRETING SERVICES ,
Department of Health,03F,31/10/2015,Clinical&Medical-Voluntary Sector,HOSPICES,DOVE HOUSE HOSPICE,FR102," 46,600.00 ",CONTRACT FUNDING 2015/16,
Department of Health,03F,31/10/2015,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,HEALTHSHARE LTD,HCCGHS007018," 135,299.83 ",MSK PAYEMTN APRIL 2015 - FEB 2016,
Department of Health,03F,31/10/2015,Cont Care-Learning Disab(<65),CHC ADULT JOIN FUNDED,EAST RIDING OF YORKSHIRE COUNCIL,36330775," 149,158.29 ",CHC RECHARGE JUNE TO AUGUST 2015,
Department of Health,03F,31/10/2015,Non-PFI Oprtng Lease-Bldgs-Lease Rent,RECHARGES NHS PROPERTY SERVICES LTD,COMMUNITY HEALTH PARTNERSHIPS LTD,50389027," 327,843.00 ",2015/16 Q3 CHARGES,
Department of Health,03F,31/10/2015,Clinical&Medical-Independent Sector,COMMUNITY SERVICES,HEALTHSHARE LTD,HSHCCGHS021," 327,359.60 ",HEALTHSHARE HULL MSK SERVICE,
Department of Health,03F,31/10/2015,Cont Care- Palliative Care,CHC ADULT FULLY FUNDED,SUTTON HOUSE CARE HOME,SH1000915," 37,456.21 ",CARE FEES 01/09/2015 - 30/09/2015,
