Published,Body Name,Body                   (ONS SNAC code),One Legal              Register             Reference,Service Area                       (SeRCOP Category),Dept. responsible for budget  (if different from service area),Title of Contract,Scope,"Description of works, goods or services and to whom",Start date       (DD/MM/YYYY),End Date (DD/MM/YYYY),Extention Period (included any criteria), Contract Value (per annum or Total) ,Suppliers Name,Contact Point for Queries,Procurement Category
,Cheltenham Borough Council,UKK 1301,SEH/17255,Central Services,Urban Design,Consultant - Pedestrian Wayfinder Project,CBC only,"Analysis, concept and detail design and project management of implemenetation of the design for predestrial wayfinding strategy",18/09/2012,09/03/2013,12 months,"£31,400",Place Marque Limited,Commissioning Division,Services
,Cheltenham Borough Council,UKK 1301,SEH/17384,Central Services,Cheltenham Borough Council,Contract for KMS Upgrades,CBC only,installation of new or replacement door entry systems at Council owned residential properties,03/12/2012,02/12/2013,none,"£135,189.04",Allhands Limited trading as Harold Jones Services,CBH,Services
,Cheltenham Borough Council,UKK 1301,SEH/17400,Central Services,Cheltenham Borough Council,Internal Decent Homes Work,CBC only,Internal Decent Homes works on residential properties owned by Cheltenham Borough Council,03/01/2013,02/01/2016,up to 2 years,call off contract of agreed schedule of rates,Snape Construction,CBH,Works
,Chetlenham Borough Council,UKK 1301,SEH/17424,Central Services,Cheltenham Borough Council,Internal Decent Homes Work,CBC only,Internal Decent Homes works on residential properties owned by Cheltenham Borough Council,03/01/2013,02/01/2016,up to 2 years,call off contract of agreed schedule of rates,NKS Contracts (Central) Ltd,CBH,Works
,Cheltenham Borough Council,UKK 1301,SEH/17439,Central Services,Cheltenham Borough Council,Reactive Drainage Contract,CBC only,"Call off contract for drainage repairs, maintenance and surveying servcies on residential properties owned by Cheltenham Borough Council",10/01/2013,31/03/2016,up to 24 months,call off contract on a schedule of rates,UKDN Waterflow Limited,CBH,Services
,Cheltenham Borough Council,UKK 1301,SEH/17494,Central Services,Cheltenham Borough Council,Safety Matta - Montellier Gardens,CBC only,Replacement of safety ground covering at play areas in various council owned parks,11/02/2013,31/03/2013,none,"£45,905.40",PHS Limitd,Ubico,Works
,Cheltenham Borough Council,UKK 1301,SEH/17497,Central Services,Cheltenham Borough Council,Refurbishment of Town Centre East Car Park,CBC only,"Refurbishment of Town Centre East Car Park, Cheltenham",28/01/2013,05/04/2013,None,"£208,309.04",Matrix Solutions,Property Services,Works
,Cheltenham Borough Council,UKK 1301,SEH/17518,Central Services,Cheltenham Borough Council,Construction of a New Cycle Path at King George V Playing fields,CBC only,Construction of cycle path,04/02/2013,18/03/2013,None,"£52,945.71",Colin Richardson Contractors,Ubico,Works
,Cheltenham Borough Council,UKK 1301,SEH/17524,Central Services,Cheltenham Borough Council,Feasibility study for Town Hall ,CBC only,Consultancy services for a feasiblity study for the town hall,08/02/2013,30/04/2013,extension allowed for a professional costing if required.,"£15,910.00",Charcoal Blue LLP,Wellbeing & Culture,Services
,Cheltenham Borough Council,UKK 1301,SEH/17574,Central Services,Cheltenham Borough Council,Consultancy Services for Provision of Asset Condition Surveys,CBC only,Contract for the provision of property conditions surveys for Council owned properties,11/03/2013,31/05/2013,6 months,"£33,750.00",Michael Dyson Associates,Property Services,Services
,Cheltenham Borough Council,UKK 1301,DR/16387,Central Services,Policy & Performance,Single Advice Contract ,CBC only,Provision of Advice Services to residents of Cheltenham,01/04/2012,31/03/2015,2 years,"£324,557",County Community Projects,Commissioning Division,Services
,,,,,,,,,,,,,,,
