Department,Entity,Date,Month,Expense Type,Expense Area,Supplier,Inv Number,Amount
Department of Health,South West SHA,15/06/2010,3,Training Support,Education & Training,SOUTH CENTRAL STRATEGIC HEALTH AUTHORITY,6515252,"144,850.00"
Department of Health,South West SHA,15/06/2010,3,Training Support,Education & Training,SOUTH DEVON HEALTHCARE NHS FOUNDATION TRUST,6515268,"523,479.00"
Department of Health,South West SHA,15/06/2010,3,Training Support,Education & Training,SWINDON PRIMARY CARE TRUST,6515249,"72,231.00"
Department of Health,South West SHA,15/06/2010,3,Training Support,Education & Training,TAUNTON & SOMERSET NHS FOUNDATION TRUST,6515275,"604,250.00"
Department of Health,South West SHA,15/06/2010,3,Training Support,Education & Training,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,6515277,"2,000,000.00"
Department of Health,South West SHA,15/06/2010,3,Training Support,Education & Training,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,6515278,"1,254,745.00"
Department of Health,South West SHA,15/06/2010,3,Training Support,Education & Training,WESTON AREA HEALTH NHS TRUST,6515230,"242,919.00"
Department of Health,South West SHA,15/06/2010,3,Training Support,Education & Training,WILTSHIRE PRIMARY CARE TRUST,6515254,"168,151.00"
Department of Health,South West SHA,15/06/2010,3,Training Support,Education & Training,YEOVIL DISTRICT HOSPITAL FOUNDATION TRUST,6515239,"371,764.00"
Department of Health,South West SHA,01/06/2010,3,Training Expenses,Leadership Development,DEVON PCT,6371210,"25,470.00"
Department of Health,South West SHA,15/06/2010,3,Training Expenses,Leadership Development,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,6438901,"25,535.00"
Department of Health,South West SHA,14/06/2010,3,VAT Contr out Srv Input,BALANCE SHEET,OXFORD BROOKES SERVICES LTD,6515185,"26,324.90"
