Newcastle City Council Invoices over £500 paid in November 2011,,,,,,,,,
,,,,,,,,,
Directorate,Service Area,Expenditure Category,Payment Date,Supplier Name,Internal Ref,Capital/ Revenue,Cost Centre,Cost Centre Description,Grand Total
Environment & Regeneration,NS: Asset Man              ,Premises,15 November 2011,ABACUS LIGHTING LTD,5303342,Revenue,1KL4A,Centre For Sport             K,"1,001.63"
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",08 November 2011,ABBEYFIELD CASTLE FARM,5296888,Revenue,1MG20,Ind Res Care Elderly         M,"-1,682.68"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,08 November 2011,ABBEYFIELD CASTLE FARM,5296888,Revenue,1MG20,Ind Res Care Elderly         M,"5,232.00"
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",08 November 2011,ABBEYFIELD THE GROVE,5296877,Revenue,1MG20,Ind Res Care Elderly         M,"-2,903.88"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,08 November 2011,ABBEYFIELD THE GROVE,5296877,Revenue,1MG20,Ind Res Care Elderly         M,"4,546.98"
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",08 November 2011,ABBEYMOOR,5296889,Revenue,1MG10,Ind Nursing Care Elderly     M,-459.00
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",08 November 2011,ABBEYMOOR,5296889,Revenue,1MM10,Ind Nursing Care MH          M,-284.60
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,08 November 2011,ABBEYMOOR,5296889,Revenue,1MG10,Ind Nursing Care Elderly     M,"3,462.52"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,08 November 2011,ABBEYMOOR,5296889,Revenue,1MH10,Ind Nursing Care PD          M,"1,912.80"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,08 November 2011,ABBEYMOOR,5296889,Revenue,1MM10,Ind Nursing Care MH          M,"2,010.56"
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",08 November 2011,ABIGAIL HOUSE,5296890,Revenue,1MG20,Ind Res Care Elderly         M,"-9,077.72"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,08 November 2011,ABIGAIL HOUSE,5296890,Revenue,1MG20,Ind Res Care Elderly         M,"30,868.00"
Adult and Culture,Social Services - Social Care Payments ,Third Party Payments,30 November 2011,ACCEPT CARE,5322140,Revenue,1MK50,Ind Supported Living LD      M,"6,488.64"
Environment & Regeneration,E&R Housing Dev & Prtnr Mgt   ,Capital Expenditure,11 November 2011,ACCESS CONSTRUCTION,5301819,Capital,2N101,Capital Grants               K,"3,306.00"
Environment & Regeneration,E&R Housing Dev & Prtnr Mgt   ,Capital Expenditure,11 November 2011,ACCESS CONSTRUCTION,5301820,Capital,2N101,Capital Grants               K,"7,345.00"
Environment & Regeneration,E&R Housing Dev & Prtnr Mgt   ,Capital Expenditure,11 November 2011,ACCESS CONSTRUCTION,5301821,Capital,2N101,Capital Grants               K,"1,445.00"
Environment & Regeneration,E&R Housing Dev & Prtnr Mgt   ,Capital Expenditure,11 November 2011,ACCESS CONSTRUCTION,5301822,Capital,2N101,Capital Grants               K,"2,558.00"
Environment & Regeneration,E&R Housing Dev & Prtnr Mgt   ,Capital Expenditure,11 November 2011,ACCESS CONSTRUCTION,5301823,Capital,2N101,Capital Grants               K,"4,619.99"
Environment & Regeneration,E&R Housing Dev & Prtnr Mgt   ,Capital Expenditure,11 November 2011,ACCESS CONSTRUCTION,5301824,Capital,2N101,Capital Grants               K,"3,625.00"
Environment & Regeneration,E&R Housing Dev & Prtnr Mgt   ,Capital Expenditure,14 November 2011,ACCESS CONSTRUCTION,5302624,Capital,2N101,Capital Grants               K,"3,460.00"
Environment & Regeneration,E&R Housing Dev & Prtnr Mgt   ,Capital Expenditure,30 November 2011,ACCESS CONSTRUCTION,5322485,Capital,2N101,Capital Grants               K,"4,602.00"
Environment & Regeneration,E&R Housing Dev & Prtnr Mgt   ,Capital Expenditure,30 November 2011,ACCESS CONSTRUCTION,5323244,Capital,2N101,Capital Grants               K,"3,395.00"
Environment & Regeneration,CW Civic Serv Build Mngmt        ,Premises,30 November 2011,ACME,5320975,Revenue,1KKX1,CIVIC CENTRE DIRECT COSTS    K,"1,639.60"
Adult and Culture,Learning City              ,Supplies & Services,17 November 2011,ACORN CURTAINS AND BLINDS,5306436,Revenue,1EA15,Newcastle City Learning      M,695.16
Environment & Regeneration,NS: Strategy               ,Supplies & Services,11 November 2011,ACP,5299286,Revenue,1KSCD,Ecternal Vehicle Tracking    K,"3,432.15"
Chief Executive's,City Service Benefit Centre      ,Supplies & Services,28 November 2011,ACS LTD,5318911,Revenue,1CS10,SYSTEMS & ADMIN SUPPORT      C,695.00
Children's Services,C/Services Support         ,Third Party Payments,09 November 2011,ACTION FOR CHILDREN,5298814,Revenue,1MB04,Childrens Standards Unit     E,"19,930.00"
Children's Services,Carefirst - Independant Foster payments,Third Party Payments,22 November 2011,ACTION FOR CHILDREN,5311582,Revenue,1MC22,IND Sector Foster Carer CostsE,"9,480.00"
Children's Services,Educ Newbiggin S/Start     ,Third Party Payments,03 November 2011,ACTION FOR CHILDREN,5291707,Revenue,1EEJ7,Newburn Childrens Centre     E,"5,097.15"
Children's Services,Educ Newbiggin S/Start     ,Third Party Payments,03 November 2011,ACTION FOR CHILDREN,5291707,Revenue,1EEK6,Denton Childrens Centre      E,"5,097.15"
Children's Services,Educ Newbiggin S/Start     ,Third Party Payments,03 November 2011,ACTION FOR CHILDREN,5291707,Revenue,1EEH1,NBH CC Central Costs         E,"5,097.15"
Children's Services,Educ Newbiggin S/Start     ,Third Party Payments,03 November 2011,ACTION FOR CHILDREN,5291707,Revenue,1EEK5,Westerhope Childrens Centre  E,"5,097.15"
Children's Services,Educ Newbiggin S/Start     ,Third Party Payments,03 November 2011,ACTION FOR CHILDREN,5291707,Revenue,1EEL1,Lemington Childrens Centre   E,"5,097.15"
Children's Services,Educ Perf Mon              ,Supplies & Services,02 November 2011,ACTION FOR CHILDREN,5290664,Revenue,1MF27,EIG - Family & Parent SupportE,"13,983.75"
Children's Services,Int Childhood Services     ,Third Party Payments,01 November 2011,ACTION FOR CHILDREN,5287983,Revenue,1EEB1,C&B CC Central Costs         E,"22,740.00"
Children's Services,Int Childhood Services     ,Third Party Payments,01 November 2011,ACTION FOR CHILDREN,5287983,Revenue,1EEM1,North Fenham Children's CentrE,"6,052.00"
Children's Services,Int Childhood Services     ,Third Party Payments,01 November 2011,ACTION FOR CHILDREN,5287983,Revenue,1EEK1,Fenham Childrens Centre      E,"10,903.00"
Children's Services,Int Childhood Services     ,Third Party Payments,01 November 2011,ACTION FOR CHILDREN,5287983,Revenue,1EEM6,Woodlands Children's Centre  E,"4,805.00"
Children's Services,Int Childhood Services     ,Third Party Payments,01 November 2011,ACTION FOR CHILDREN,5287984,Revenue,1EEB1,C&B CC Central Costs         E,"99,893.75"
Children's Services,Int Childhood Services     ,Third Party Payments,01 November 2011,ACTION FOR CHILDREN,5287984,Revenue,1EEM6,Woodlands Children's Centre  E,"9,067.75"
Children's Services,West Riverside S/Start           ,Third Party Payments,09 November 2011,ACTION FOR CHILDREN,5299521,Revenue,1EEG1,W River CC Central Costs     E,"30,127.50"
Adult and Culture,Adult Serv Sens Supp       ,Supplies & Services,02 November 2011,ACTION ON HEARING LOSS,5290219,Revenue,1MH70,Sensory Support PD           M,636.63
Adult and Culture,Adult Serv Sens Supp       ,Supplies & Services,03 November 2011,ACTION ON HEARING LOSS,5291716,Revenue,1MH70,Sensory Support PD           M,529.07
Environment & Regeneration,NS: District Heating       ,Supplies & Services,02 November 2011,ADC ELECTRICAL CO LTD(F),5290130,Revenue,1KR8E,CW Build Surv Team           K,496.01
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",08 November 2011,ADMORRE LTD,5296941,Revenue,1MG10,Ind Nursing Care Elderly     M,-459.00
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,08 November 2011,ADMORRE LTD,5296941,Revenue,1MG10,Ind Nursing Care Elderly     M,"1,802.60"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,08 November 2011,ADMORRE LTD,5296941,Revenue,1MG20,Ind Res Care Elderly         M,"1,822.92"
Environment & Regeneration,Newcastle Warm Zone                    ,Third Party Payments,14 November 2011,ADVANCE INSTALLATIONS,5302660,Revenue,3KS04,Newcastle Warm Zone          K,955.34
Environment & Regeneration,Newcastle Warm Zone                    ,Third Party Payments,14 November 2011,ADVANCE INSTALLATIONS,5302661,Revenue,3KS04,Newcastle Warm Zone          K,918.00
Environment & Regeneration,Newcastle Warm Zone                    ,Third Party Payments,14 November 2011,ADVANCE INSTALLATIONS,5302662,Revenue,3KS04,Newcastle Warm Zone          K,907.33
Environment & Regeneration,Newcastle Warm Zone                    ,Third Party Payments,14 November 2011,ADVANCE INSTALLATIONS,5302663,Revenue,3KS04,Newcastle Warm Zone          K,812.67
Environment & Regeneration,Newcastle Warm Zone                    ,Third Party Payments,14 November 2011,ADVANCE INSTALLATIONS,5302852,Revenue,3KS04,Newcastle Warm Zone          K,"1,123.71"
Environment & Regeneration,Newcastle Warm Zone                    ,Third Party Payments,14 November 2011,ADVANCE INSTALLATIONS,5302853,Revenue,3KS04,Newcastle Warm Zone          K,826.67
Environment & Regeneration,Newcastle Warm Zone                    ,Third Party Payments,14 November 2011,ADVANCE INSTALLATIONS,5302854,Revenue,3KS04,Newcastle Warm Zone          K,801.00
Environment & Regeneration,Newcastle Warm Zone                    ,Third Party Payments,22 November 2011,ADVANCE INSTALLATIONS,5310879,Revenue,3KS04,Newcastle Warm Zone          K,"1,103.67"
Environment & Regeneration,Newcastle Warm Zone                    ,Third Party Payments,22 November 2011,ADVANCE INSTALLATIONS,5310880,Revenue,3KS04,Newcastle Warm Zone          K,"1,083.38"
HRA,HRA Tenancy Svs            ,Premises,17 November 2011,ADVANCED CLEANING & MAINTENANCE LTD,5306331,Revenue,1HE01,HRA NHD Mngmnt - Citywide    H,600.00
Environment & Regeneration,NS: District Heating       ,Premises,03 November 2011,ADVANCED WATER TECHNOLOGIES,5291811,Revenue,1KR8L,CW District Heating          K,"1,365.00"
Environment & Regeneration,NS: District Heating       ,Premises,29 November 2011,ADVANCED WATER TECHNOLOGIES,5320740,Revenue,1KR8L,CW District Heating          K,"1,425.00"
Environment & Regeneration,Fleet Management System                ,Supplies & Services,28 November 2011,AEBI SCHMIDT UK LTD,5297039,Revenue,1KESJ,Hort Workshops Routine RepairK,530.22
Environment & Regeneration,Fleet Management System                ,Supplies & Services,28 November 2011,AEBI SCHMIDT UK LTD,5297193,Revenue,3KES1,FLEETMASTER STORES ACCOUNT   K,868.73
Environment & Regeneration,Fleet Management System                ,Supplies & Services,21 November 2011,AEBI SCHMIDT UK LTD,5297197,Revenue,3KES1,FLEETMASTER STORES ACCOUNT   K,453.28
Environment & Regeneration,E&R - Technical Consultancy    ,Supplies & Services,04 November 2011,AECOM,5274532,Revenue,1V046,Freight Partnership          K,"7,360.50"
Children's Services,C/Services Support         ,Supplies & Services,01 November 2011,AFTER ADOPTION,5286348,Revenue,1MF11,Adoption Unit                E,"12,357.00"
Environment & Regeneration,Highways                               ,Supplies & Services,17 November 2011,AGD SYSTEMS LTD,5306423,Revenue,1KELA,Traffic Sig General Oh       K,105.00
Environment & Regeneration,Highways                               ,Supplies & Services,17 November 2011,AGD SYSTEMS LTD,5306423,Revenue,3KIMF,Highways Stock Account       K,"8,175.00"
Environment & Regeneration,Highways                               ,Supplies & Services,04 November 2011,AGD SYSTEMS LTD,5292801,Revenue,1KELA,Traffic Sig General Oh       K,135.00
Environment & Regeneration,Highways                               ,Supplies & Services,04 November 2011,AGD SYSTEMS LTD,5292801,Revenue,3KIMF,Highways Stock Account       K,"12,255.00"
Adult and Culture,Adult Serv Finance         ,Third Party Payments,11 November 2011,AGE UK NEWCASTLE,5302030,Revenue,1MH50,Ind Home Spot Pur PD         M,"1,369.20"
Adult and Culture,Adult Serv Finance         ,Third Party Payments,14 November 2011,AGE UK NEWCASTLE,5303274,Revenue,1MG50,Ind Home Spot Pur Elderly    M,570.50
Adult and Culture,Adult Serv Finance         ,Third Party Payments,14 November 2011,AGE UK NEWCASTLE,5303281,Revenue,1MG50,Ind Home Spot Pur Elderly    M,"1,180.96"
Adult and Culture,Adult Serv Finance         ,Third Party Payments,14 November 2011,AGE UK NEWCASTLE,5303221,Revenue,1MH50,Ind Home Spot Pur PD         M,"6,295.47"
Adult and Culture,Adult Serv Finance         ,Third Party Payments,14 November 2011,AGE UK NEWCASTLE,5303261,Revenue,1MH50,Ind Home Spot Pur PD         M,"1,095.36"
Adult and Culture,Adult Serv Finance         ,Third Party Payments,10 November 2011,AGE UK NEWCASTLE,5300773,Revenue,1MG50,Ind Home Spot Pur Elderly    M,524.86
Adult and Culture,Adult Serv Finance         ,Third Party Payments,10 November 2011,AGE UK NEWCASTLE,5299996,Revenue,1MH50,Ind Home Spot Pur PD         M,547.68
Adult and Culture,Adult Serv Finance         ,Third Party Payments,10 November 2011,AGE UK NEWCASTLE,5300759,Revenue,1MH50,Ind Home Spot Pur PD         M,"1,146.73"
Adult and Culture,Adult Serv Finance         ,Third Party Payments,10 November 2011,AGE UK NEWCASTLE,5300772,Revenue,1MH50,Ind Home Spot Pur PD         M,"6,846.00"
Adult and Culture,PTA                                    ,Third Party Payments,10 November 2011,AGE UK NEWCASTLE,5300442,Revenue,1MG60,IND Day Care Elderly         M,"18,846.67"
Adult and Culture,Social Services - Social Care Payments ,Third Party Payments,10 November 2011,AGE UK NEWCASTLE,5300443,Revenue,1MG60,IND Day Care Elderly         M,"8,100.00"
Adult and Culture,Social Services - Social Care Payments ,Third Party Payments,10 November 2011,AGE UK NEWCASTLE,5300444,Revenue,1MG60,IND Day Care Elderly         M,"18,846.67"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,01 November 2011,AGE UK NEWCASTLE,5288723,Revenue,1MG50,Ind Home Spot Pur Elderly    M,"2,041.40"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,01 November 2011,AGE UK NEWCASTLE,5288723,Revenue,1MH50,Ind Home Spot Pur PD         M,"10,596.40"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,01 November 2011,AGE UK NEWCASTLE,5288723,Revenue,1MM50,Ind Home - Spot Pur MH       M,236.00
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,01 November 2011,AGE UK NEWCASTLE,5288756,Revenue,1MG51,Ind Home Per Care Elderly    M,"53,718.62"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,01 November 2011,AGE UK NEWCASTLE,5288756,Revenue,1MH51,Ind Home Per Care PD         M,"4,160.60"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,01 November 2011,AGE UK NEWCASTLE,5288756,Revenue,1MK51,Ind Home-Per Care LD         M,392.62
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,01 November 2011,AGE UK NEWCASTLE,5288756,Revenue,1MM51,Ind Home-Per Care MH         M,691.48
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,29 November 2011,AGE UK NEWCASTLE,5321094,Revenue,1MG50,Ind Home Spot Pur Elderly    M,"2,076.80"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,29 November 2011,AGE UK NEWCASTLE,5321094,Revenue,1MH50,Ind Home Spot Pur PD         M,"10,897.30"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,29 November 2011,AGE UK NEWCASTLE,5321094,Revenue,1MM50,Ind Home - Spot Pur MH       M,236.00
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,29 November 2011,AGE UK NEWCASTLE,5321097,Revenue,1MG51,Ind Home Per Care Elderly    M,"53,469.57"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,29 November 2011,AGE UK NEWCASTLE,5321097,Revenue,1MH51,Ind Home Per Care PD         M,"4,125.44"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,29 November 2011,AGE UK NEWCASTLE,5321097,Revenue,1MK51,Ind Home-Per Care LD         M,398.48
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,29 November 2011,AGE UK NEWCASTLE,5321097,Revenue,1MM51,Ind Home-Per Care MH         M,691.48
Chief Executive's,Exchequer Accounts Payable             ,Transport,17 November 2011,AGGREKO UK LTD,5305951,Revenue,1KBAA,Building Contracts           K,"1,154.80"
Environment & Regeneration,NS: Capital Works          ,Transport,15 November 2011,AGGREKO UK LTD,5268600,Revenue,1KBAA,Building Contracts           K,"1,154.80"
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,25 November 2011,AKW MEDI-CARE LTD,5316867,Revenue,1KBAA,Building Contracts           K,467.07
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,25 November 2011,AKW MEDI-CARE LTD,5316868,Revenue,1KBAA,Building Contracts           K,443.08
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,25 November 2011,AKW MEDI-CARE LTD,5316894,Revenue,1KBAA,Building Contracts           K,424.55
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,03 November 2011,AKW MEDI-CARE LTD,5289949,Revenue,1KBAA,Building Contracts           K,467.07
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,14 November 2011,AKW MEDI-CARE LTD,5303383,Revenue,3KIMD,Other Stores Stock Account   K,477.40
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,30 November 2011,AKW MEDI-CARE LTD,5323594,Revenue,1KBAA,Building Contracts           K,525.19
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,10 November 2011,AKW MEDI-CARE LTD,5294501,Revenue,1KBAA,Building Contracts           K,485.97
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,10 November 2011,AKW MEDI-CARE LTD,5294748,Revenue,1KBAA,Building Contracts           K,467.07
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,10 November 2011,AKW MEDI-CARE LTD,5294749,Revenue,1KBAA,Building Contracts           K,472.14
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,08 November 2011,ALBANY HOUSE  (WHITLEY BAY),5296891,Revenue,1MM20,Ind Res Care MH              M,"6,204.08"
Environment & Regeneration,Cityworks Rangers          ,Premises,28 November 2011,ALBANY OFFICE FURNITURE SOLUTIONS,5318973,Revenue,1KL6M,Ouseburn Park                K,775.00
Environment & Regeneration,Fleet Management System                ,Supplies & Services,09 November 2011,ALEXANDER DENNIS LTD,5298607,Revenue,1KESA,Heavy Workshop Routine RepairK,531.14
Environment & Regeneration,NS: D&CS Support Services  ,Employees,02 November 2011,ALISTAIR BROMHEAD LTD,5253692,Revenue,1KEAR,Cleansing Overhead           K,514.54
Environment & Regeneration,NS: D&CS Support Services  ,Employees,02 November 2011,ALISTAIR BROMHEAD LTD,5253692,Revenue,1KEMC,HIGHWAYS OVERHEADS           K,"1,286.36"
Environment & Regeneration,NS: D&CS Support Services  ,Employees,02 November 2011,ALISTAIR BROMHEAD LTD,5253692,Revenue,1KR01,R & M Trading                K,"1,029.10"
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",08 November 2011,ALLAN COURT RESIDENTIAL HOME,5296966,Revenue,1MG10,Ind Nursing Care Elderly     M,"-10,867.91"
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",08 November 2011,ALLAN COURT RESIDENTIAL HOME,5296966,Revenue,1MG20,Ind Res Care Elderly         M,"-5,144.38"
Adult and Culture,Social Services-Carefirst              ,"Sales, Fees & Charges",08 November 2011,ALLAN COURT RESIDENTIAL HOME,5296967,Revenue,1MG10,Ind Nursing Care Elderly     M,"-2,269.08"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,08 November 2011,ALLAN COURT RESIDENTIAL HOME,5296966,Revenue,1MG10,Ind Nursing Care Elderly     M,"45,401.23"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,08 November 2011,ALLAN COURT RESIDENTIAL HOME,5296966,Revenue,1MG20,Ind Res Care Elderly         M,"22,354.04"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,08 November 2011,ALLAN COURT RESIDENTIAL HOME,5296966,Revenue,3WH71,Free Nursing Care Self FunderM,683.26
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,08 November 2011,ALLAN COURT RESIDENTIAL HOME,5296966,Revenue,3WH77,Free Nursing Care Com Care   M,"10,932.16"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,08 November 2011,ALLAN COURT RESIDENTIAL HOME,5296966,Revenue,3WH93,Continuing Care              M,"8,837.09"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,08 November 2011,ALLAN COURT RESIDENTIAL HOME,5296967,Revenue,1MG10,Ind Nursing Care Elderly     M,"3,157.44"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,08 November 2011,ALLAN COURT RESIDENTIAL HOME,5296967,Revenue,3WH77,Free Nursing Care Com Care   M,683.26
Environment & Regeneration,Cityworks Training         ,Employees,29 November 2011,ALLARB LTD,5289915,Revenue,1KS62,Cati Gardening               K,585.00
Environment & Regeneration,CW Civic Services Catering       ,Supplies & Services,28 November 2011,ALLIANCE DISPOSABLES LTD,5318750,Revenue,1KF07,BANQUETING SUITE             K,445.32
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,01 November 2011,ALLIED HEALTHCARE GROUP,5288766,Revenue,1MG51,Ind Home Per Care Elderly    M,"44,099.43"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,01 November 2011,ALLIED HEALTHCARE GROUP,5288766,Revenue,1MG52,Ind Home Dom Supp Elderly    M,"2,490.43"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,01 November 2011,ALLIED HEALTHCARE GROUP,5288766,Revenue,1MH51,Ind Home Per Care PD         M,"4,682.14"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,01 November 2011,ALLIED HEALTHCARE GROUP,5288766,Revenue,1MH52,Ind Home Dom Supp PD         M,828.54
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,01 November 2011,ALLIED HEALTHCARE GROUP,5288766,Revenue,1MK51,Ind Home-Per Care LD         M,"2,760.06"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,01 November 2011,ALLIED HEALTHCARE GROUP,5288766,Revenue,1MM51,Ind Home-Per Care MH         M,433.64
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,01 November 2011,ALLIED HEALTHCARE GROUP,5288766,Revenue,1MM52,Ind Home-Dom Supp MH         M,19.38
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,29 November 2011,ALLIED HEALTHCARE GROUP,5321107,Revenue,1MG51,Ind Home Per Care Elderly    M,"43,973.44"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,29 November 2011,ALLIED HEALTHCARE GROUP,5321107,Revenue,1MG52,Ind Home Dom Supp Elderly    M,"2,379.01"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,29 November 2011,ALLIED HEALTHCARE GROUP,5321107,Revenue,1MH51,Ind Home Per Care PD         M,"4,705.58"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,29 November 2011,ALLIED HEALTHCARE GROUP,5321107,Revenue,1MH52,Ind Home Dom Supp PD         M,775.20
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,29 November 2011,ALLIED HEALTHCARE GROUP,5321107,Revenue,1MK51,Ind Home-Per Care LD         M,"2,900.70"
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,29 November 2011,ALLIED HEALTHCARE GROUP,5321107,Revenue,1MM51,Ind Home-Per Care MH         M,726.64
