Depart-ment Family ,Entity, Date,Expense Type,Expense Area,Supplier,Trans-action Number,Amount,Distrib-ution Line Number
DCMS,ODA,03-Sep-12,Grant Payable,DLR Gamestimes Operations - OPEX,Transport For London,75576,483657.71,1
DCMS,ODA,03-Sep-12,Grant Payable,LUL Gamestime Operations Opex,Transport For London,75576,747543.54,2
DCMS,ODA,03-Sep-12,Grant Payable,TFL Gamestime Operations,Transport For London,75576,100000,3
DCMS,ODA,03-Sep-12,Tier 1 Contractors,PMS Security Operations Costs,Portakabin Ltd,75579,4016.73,1
DCMS,ODA,03-Sep-12,Tier 1 Contractors,Logistics Costs OPEX,Portakabin Ltd,75579,69978.27,2
DCMS,ODA,03-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Portakabin Ltd,75579,14799,3
DCMS,ODA,03-Sep-12,Tier 1 Contractors,Logistics Costs OPEX,Portakabin Ltd,75580,40046.72,1
DCMS,ODA,03-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Portakabin Ltd,75580,8009.34,2
DCMS,ODA,03-Sep-12,Delivery Partner Performance Payments,Delivery Partner Performance Payments,CLM Delivery Partner Ltd,75610,100328.87,1
DCMS,ODA,03-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,CLM Delivery Partner Ltd,75610,20065.77,2
DCMS,ODA,03-Sep-12,Delivery Partner Performance Payments,Delivery Partner Performance Payments,CLM Delivery Partner Ltd,75611,501644.33,1
DCMS,ODA,03-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,CLM Delivery Partner Ltd,75611,100328.87,2
DCMS,ODA,03-Sep-12,Consultants,Repairs for un-attributable damage - Athletes Village,Ove Arup & Partners Limited,75617,17302.5,1
DCMS,ODA,03-Sep-12,Consultants,Olympic Village Z2-7 ODA Assurance Costs,Ove Arup & Partners Limited,75617,24951.5,2
DCMS,ODA,03-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Ove Arup & Partners Limited,75617,8450.8,3
DCMS,ODA,03-Sep-12,Legal - Contract Negotiations,Utilities ODA Costs,Berwin Leighton Paisner LLP,75704,71600,1
DCMS,ODA,03-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Berwin Leighton Paisner LLP,75704,14320,2
DCMS,ODA,03-Sep-12,Printing and reprographic,Venue Transport Operations,EC Group,75751,21405.68,1
DCMS,ODA,03-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,EC Group,75751,4281.14,2
DCMS,ODA,03-Sep-12,Delivery partner CLM,CLM Delivery Partner,CLM Delivery Partner Ltd,75777,6848.86,1
DCMS,ODA,03-Sep-12,Delivery partner CLM,CLM Delivery Partner,CLM Delivery Partner Ltd,75777,24756.08,2
DCMS,ODA,03-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,CLM Delivery Partner Ltd,75777,6320.99,3
DCMS,ODA,03-Sep-12,Delivery partner CLM,CLM Delivery Partner,CLM Delivery Partner Ltd,75779,19196.76,1
DCMS,ODA,03-Sep-12,Delivery partner CLM,CLM Delivery Partner,CLM Delivery Partner Ltd,75779,2068.98,2
DCMS,ODA,03-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,CLM Delivery Partner Ltd,75779,4253.15,3
DCMS,ODA,03-Sep-12,Tier 1 Contractors,LPR Maintenance works Skanska,Skanska Construction UK Ltd t/a Skanska Infrastructure Services,75807,296071.17,1
DCMS,ODA,03-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Skanska Construction UK Ltd t/a Skanska Infrastructure Services,75807,59214.23,2
DCMS,ODA,03-Sep-12,Tier 1 Contractors,Temporary Utilities,Wingate Electrical Plc,75808,455054.34,1
DCMS,ODA,03-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Wingate Electrical Plc,75808,91010.87,2
DCMS,ODA,03-Sep-12,Site security,AC Production Design / Construction / Commissioning - Reliance High-Tech,Reliance High-Tech Ltd,75835,20608.84,2
DCMS,ODA,03-Sep-12,Site security,AC Production Design / Construction / Commissioning - Reliance High-Tech,Reliance High-Tech Ltd,75835,27802.51,3
DCMS,ODA,03-Sep-12,Site security,AC Production Design / Construction / Commissioning - Reliance High-Tech,Reliance High-Tech Ltd,75835,2785,5
DCMS,ODA,03-Sep-12,Site security,AC Production Design / Construction / Commissioning - Reliance High-Tech,Reliance High-Tech Ltd,75835,29887.36,6
DCMS,ODA,03-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Reliance High-Tech Ltd,75835,16216.74,7
DCMS,ODA,03-Sep-12,Consultants,Risk & Audit,Ernst & Young LLP,75901,33385,1
DCMS,ODA,03-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Ernst & Young LLP,75901,6677,2
DCMS,ODA,03-Sep-12,Consultants,Risk & Audit,Ernst & Young LLP,75902,54272,1
DCMS,ODA,03-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Ernst & Young LLP,75902,10854.4,2
DCMS,ODA,03-Sep-12,Consultants,Risk & Audit,Ernst & Young LLP,75903,24727,1
DCMS,ODA,03-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Ernst & Young LLP,75903,4945.4,2
DCMS,ODA,03-Sep-12,Consultants,Risk & Audit,Ernst & Young LLP,75906,42072,1
DCMS,ODA,03-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Ernst & Young LLP,75906,8414.4,2
DCMS,ODA,03-Sep-12,Delivery Partner Performance Payments,Delivery Partner Performance Payments,CLM Delivery Partner Ltd,75975,57353.46,1
DCMS,ODA,03-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,CLM Delivery Partner Ltd,75975,11470.69,2
DCMS,ODA,03-Sep-12,Delivery Partner Performance Payments,Park Operations - CLM Performance Payments Security Capital Works Time Milestones,CLM Delivery Partner Ltd,75984,31707.83,1
DCMS,ODA,03-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,CLM Delivery Partner Ltd,75984,6341.56,2
DCMS,ODA,03-Sep-12,Delivery Partner Performance Payments,Delivery Partner Performance Payments,CLM Delivery Partner Ltd,75987,343984.68,1
DCMS,ODA,03-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,CLM Delivery Partner Ltd,75987,68796.94,2
DCMS,ODA,03-Sep-12,Delivery Partner Performance Payments,Delivery Partner Performance Payments,CLM Delivery Partner Ltd,75989,57353.46,1
DCMS,ODA,03-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,CLM Delivery Partner Ltd,75989,11470.69,2
DCMS,ODA,03-Sep-12,Construction contractor,West Ham Station,Barhale Construction Plc,76016,76448.56,1
DCMS,ODA,03-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Barhale Construction Plc,76016,15289.71,2
DCMS,ODA,03-Sep-12,Consultants,Construction tech Support - SBH South Park,Ove Arup & Partners Limited,76026,58403.18,1
DCMS,ODA,03-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Ove Arup & Partners Limited,76026,11680.64,2
DCMS,ODA,03-Sep-12,Tier 1 Contractors,Infrastructure Maintenance,Fitzpatrick Contractors Ltd,76054,2844692.92,1
DCMS,ODA,03-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Fitzpatrick Contractors Ltd,76054,568938.58,2
DCMS,ODA,03-Sep-12,Consultants,CPSS Technical Assurance,Ove Arup & Partners Limited,76073,173606.32,1
DCMS,ODA,03-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Ove Arup & Partners Limited,76073,34721.26,2
DCMS,ODA,03-Sep-12,Consultants,ODA systems Integration staff,Ove Arup & Partners Limited,76074,68763.29,1
DCMS,ODA,03-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Ove Arup & Partners Limited,76074,13752.66,2
DCMS,ODA,03-Sep-12,Holding Cost Payments,Triathlon Holding Costs Payment,Triathlon Homes LLP,76129,1353048.6,1
DCMS,ODA,03-Sep-12,Construction contractor,Eton Dorney Construction- Phase 2,Jackson Civil Engineering Group Limited,76184,49988.15,1
DCMS,ODA,03-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Jackson Civil Engineering Group Limited,76184,9997.63,2
DCMS,ODA,05-Sep-12,Construction contractor,ES Global Overlay Ltd Contracted Work,ES Global Overlay Limited,2723,-221366.7,1
DCMS,ODA,05-Sep-12,Construction contractor,ES Global Overlay Ltd Contracted Work,ES Global Overlay Limited,2723,-29572.23,2
DCMS,ODA,05-Sep-12,Construction contractor,ES Global Overlay Ltd Contracted Work,ES Global Overlay Limited,2723,-0.3,3
DCMS,ODA,05-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,ES Global Overlay Limited,2723,-50187.85,4
DCMS,ODA,05-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,ES Global Overlay Limited,2723,-0.02,5
DCMS,ODA,05-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,ES Global Overlay Limited,76304,50187.85,2
DCMS,ODA,05-Sep-12,Construction contractor,ES Global Overlay Ltd Contracted Work,ES Global Overlay Limited,76304,221366.72,13
DCMS,ODA,05-Sep-12,Construction contractor,ES Global Overlay Ltd Contracted Work,ES Global Overlay Limited,76304,29572.23,14
DCMS,ODA,05-Sep-12,Construction contractor,ES Global Overlay Ltd Contracted Work,ES Global Overlay Limited,76304,0.3,17
DCMS,ODA,05-Sep-12,Construction contractor,ES Global Overlay Ltd Contracted Work,ES Global Overlay Limited,76399,221366.72,1
DCMS,ODA,05-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,ES Global Overlay Limited,76399,44273.34,2
DCMS,ODA,05-Sep-12,Construction contractor,ES Global Overlay Ltd Contracted Work,ES Global Overlay Limited,76399,28060.8,3
DCMS,ODA,05-Sep-12,Construction contractor,ES Global Overlay Ltd Contracted Work,ES Global Overlay Limited,76399,1511.43,4
DCMS,ODA,05-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,ES Global Overlay Limited,76399,5914.45,5
DCMS,ODA,05-Sep-12,Construction contractor,ES Global Overlay Ltd Contracted Work,ES Global Overlay Limited,76399,0.36,6
DCMS,ODA,10-Sep-12,Site occupational health,Occupational Health and training - PMS Managed,Health Management Ltd,71949,29984,1
DCMS,ODA,10-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Health Management Ltd,71949,5996.8,2
DCMS,ODA,10-Sep-12,Site occupational health,Village Vertical Build OH Delivery Transfer,Health Management Ltd,71950,39698,1
DCMS,ODA,10-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Health Management Ltd,71950,7939.6,2
DCMS,ODA,10-Sep-12,Consultants,Venue Transport Operations,Halcrow Group Ltd,75027,27780,1
DCMS,ODA,10-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Halcrow Group Ltd,75027,5556,2
DCMS,ODA,10-Sep-12,Venue Hire,Transport Test Events,Windsor Racing Ltd,75242,27203.65,1
DCMS,ODA,10-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Windsor Racing Ltd,75242,5440.73,2
DCMS,ODA,10-Sep-12,Other Professional Fees,Venue Transport Operations,Halcrow Group Ltd,75416,28291,1
DCMS,ODA,10-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Halcrow Group Ltd,75416,5658.2,2
DCMS,ODA,10-Sep-12,Other Professional Fees,Venue Shuttle/Park & Ride Opex,Jackson Civil Engineering Group Limited,75606,467216.41,1
DCMS,ODA,10-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Jackson Civil Engineering Group Limited,75606,93443.28,2
DCMS,ODA,10-Sep-12,Consultants,Venue Shuttle/Park & Ride Opex,FRS Ltd c/o First Group Plc,75614,1294651.19,1
DCMS,ODA,10-Sep-12,Consultants,Venue Shuttle/Park & Ride Opex,FRS Ltd c/o First Group Plc,75614,86186.64,2
DCMS,ODA,10-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,FRS Ltd c/o First Group Plc,75614,17237.33,4
DCMS,ODA,10-Sep-12,Other Professional Fees,Strategic Park & Ride Opex,Mott MacDonald Ltd,75735,26592.75,1
DCMS,ODA,10-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Mott MacDonald Ltd,75735,5318.55,2
DCMS,ODA,10-Sep-12,Grant Payable,ORN Outside London Opex,Highways Agency,75743,289936.67,1
DCMS,ODA,10-Sep-12,Consultants,Protective Monitoring,Detica Ltd,75845,22782,1
DCMS,ODA,10-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Detica Ltd,75845,4556.4,2
DCMS,ODA,10-Sep-12,Other Professional Fees,Venue Shuttle/Park & Ride Opex,Mott MacDonald Ltd,75846,27573.9,1
DCMS,ODA,10-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Mott MacDonald Ltd,75846,5514.78,2
DCMS,ODA,10-Sep-12,Other Professional Fees,Venue Shuttle/Park & Ride Opex,Mott MacDonald Ltd,75847,27155.35,1
DCMS,ODA,10-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Mott MacDonald Ltd,75847,5431.07,2
DCMS,ODA,10-Sep-12,Other Professional Fees,Venue Shuttle/Park & Ride Opex,Mott MacDonald Ltd,75848,28414.93,1
DCMS,ODA,10-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Mott MacDonald Ltd,75848,5682.99,2
DCMS,ODA,10-Sep-12,Consultants,Venue Transport Operations,Mott MacDonald Ltd,75850,30145,1
DCMS,ODA,10-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Mott MacDonald Ltd,75850,6029,2
DCMS,ODA,10-Sep-12,Tier 1 Contractors,LOCOG Re-charged costs,BT Global Services,75868,6738.54,1
DCMS,ODA,10-Sep-12,Tier 1 Contractors,LOCOG Re-charged costs,BT Global Services,75868,26217.6,2
DCMS,ODA,10-Sep-12,Tier 1 Contractors,Volker works funded by LOCOG Income,BT Global Services,75868,27084.92,3
DCMS,ODA,10-Sep-12,Tier 1 Contractors,LOCOG Re-charged costs,BT Global Services,75868,30704.65,4
DCMS,ODA,10-Sep-12,Tier 1 Contractors,LOCOG Re-charged costs,BT Global Services,75868,48550.28,5
DCMS,ODA,10-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,BT Global Services,75868,36298.28,8
DCMS,ODA,10-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,BT Global Services,75868,-4072.57,12
DCMS,ODA,10-Sep-12,Tier 1 Contractors,LOCOG Re-charged costs,BT Global Services,75868,18832.6,14
DCMS,ODA,10-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,BT Global Services,75868,-600,15
DCMS,ODA,10-Sep-12,Consultants,Risk & Audit,Ernst & Young LLP,75899,32620,1
DCMS,ODA,10-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Ernst & Young LLP,75899,6524,2
DCMS,ODA,10-Sep-12,Consultants,Risk & Audit,Ernst & Young LLP,75900,117171,1
DCMS,ODA,10-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Ernst & Young LLP,75900,23434.2,2
DCMS,ODA,10-Sep-12,Consultants,Risk & Audit,Ernst & Young LLP,75905,45399,1
DCMS,ODA,10-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Ernst & Young LLP,75905,9079.8,2
DCMS,ODA,10-Sep-12,Delivery partner - Transport,Venue Shuttle/Park & Ride Opex,FRS Ltd c/o First Group Plc,76033,64541.17,1
DCMS,ODA,10-Sep-12,Other Professional Fees,Waterborne Passenger Transport Capex,Collins River Enterprises Ltd T/A Thames Clippers,76069,65000,1
DCMS,ODA,10-Sep-12,Tier 1 Contractors,Athletes' Village Operate and Maintain Base Service,Lend Lease Europe Ltd,76079,3446219,1
DCMS,ODA,10-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Lend Lease Europe Ltd,76079,689243.8,2
DCMS,ODA,10-Sep-12,Seconded Staff,Venue Transport Operations,LeighFisher Ltd,76080,58218.75,1
DCMS,ODA,10-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,LeighFisher Ltd,76080,11643.75,2
DCMS,ODA,10-Sep-12,Consultants,Supervisor South Park,Atkins Limited,76149,33385.25,1
DCMS,ODA,10-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Atkins Limited,76149,6677.05,2
DCMS,ODA,10-Sep-12,Legal - Other,Venue Transport Operations,London Borough Of Hackney,76186,225000,1
DCMS,ODA,10-Sep-12,Consultants,Legacy Project Management,Evolve Business Consultancy Limited,76314,28395,1
DCMS,ODA,10-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Evolve Business Consultancy Limited,76314,5679,2
DCMS,ODA,10-Sep-12,Other Professional Fees,Heavy Rail Performance & Industry Costs,Ove Arup & Partners Limited,76316,34688,1
DCMS,ODA,10-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Ove Arup & Partners Limited,76316,6937.6,2
DCMS,ODA,10-Sep-12,Tier 1 Contractors,E&HCT works funded by LOCOG,E and HCT Ltd,76354,240039,1
DCMS,ODA,10-Sep-12,Tier 1 Contractors,Zones 2-7 Infrastructure,Lend Lease Europe Ltd,76391,58265.85,1
DCMS,ODA,10-Sep-12,Tier 1 Contractors,Zones 2-7 Infrastructure,Lend Lease Europe Ltd,76391,4184.15,2
DCMS,ODA,10-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Lend Lease Europe Ltd,76391,836.83,4
DCMS,ODA,10-Sep-12,Tier 1 Contractors,Zones 2-7 Infrastructure,Lend Lease Europe Ltd,76392,39464.03,1
DCMS,ODA,10-Sep-12,Tier 1 Contractors,Zones 2-7 Infrastructure,Lend Lease Europe Ltd,76392,2833.97,2
DCMS,ODA,10-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Lend Lease Europe Ltd,76392,566.79,4
DCMS,ODA,10-Sep-12,Tier 1 Contractors,Olympic Village Sales and Marketing,Lend Lease Europe Ltd,76393,98000,1
DCMS,ODA,10-Sep-12,Tier 1 Contractors,Olympic Village Sales and Marketing,Lend Lease Europe Ltd,76393,2000,2
DCMS,ODA,10-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Lend Lease Europe Ltd,76393,400,4
DCMS,ODA,10-Sep-12,Consultants,ATKINS LPR Project,Atkins Limited,76441,21125.16,1
DCMS,ODA,10-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Atkins Limited,76441,4225.03,2
DCMS,ODA,10-Sep-12,Grant Payable,Accessible Transport OPEX,Ealing Community Transport,76515,134312.6,1
DCMS,ODA,10-Sep-12,Tier 1 Contractors,Office FM,Taylor Woodrow Construction,76590,3607.59,1
DCMS,ODA,10-Sep-12,Tier 1 Contractors,Office FM,Taylor Woodrow Construction,76590,132103.99,2
DCMS,ODA,10-Sep-12,Tier 1 Contractors,Office FM,Taylor Woodrow Construction,76590,21776.62,3
DCMS,ODA,10-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Taylor Woodrow Construction,76590,31497.64,4
DCMS,ODA,17-Sep-12,Other Professional Fees,ORN Inside London Opex,AECOM Ltd,2712,-41829.72,1
DCMS,ODA,17-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,AECOM Ltd,2712,-8365.94,2
DCMS,ODA,17-Sep-12,Delivery partner CLM,Programme Management & Integration,CLM Delivery Partner Ltd,2722,-271380.8,1
DCMS,ODA,17-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,CLM Delivery Partner Ltd,2722,-54276.17,2
DCMS,ODA,17-Sep-12,Consultants,Direct Coach Opex,FRS Ltd c/o First Group Plc,2733,-703239.92,1
DCMS,ODA,17-Sep-12,Delivery partner - Transport,Venue Shuttle/Park & Ride Opex,FRS Ltd c/o First Group Plc,2734,-508801.48,1
DCMS,ODA,17-Sep-12,Delivery partner - Transport,Venue Shuttle/Park & Ride Opex,FRS Ltd c/o First Group Plc,2735,-383584.76,1
DCMS,ODA,17-Sep-12,Consultants,Venue Shuttle/Park & Ride Opex,FRS Ltd c/o First Group Plc,2736,-372236.76,1
DCMS,ODA,17-Sep-12,Site occupational health,Occupational Health and training - PMS Managed,Health Management Ltd,71285,29984,1
DCMS,ODA,17-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Health Management Ltd,71285,5996.8,2
DCMS,ODA,17-Sep-12,Legal - Other,Accessible Transport OPEX,City of London,73545,92800,1
DCMS,ODA,17-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,City of London,73545,18560,2
DCMS,ODA,17-Sep-12,Site occupational health,Occupational Health and training - PMS Managed,Health Management Ltd,73549,29984,1
DCMS,ODA,17-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Health Management Ltd,73549,5996.8,2
DCMS,ODA,17-Sep-12,Construction contractor,Common Domain LV Network - Construction,Lea Valley Utilities Limited,75413,188509,1
DCMS,ODA,17-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Lea Valley Utilities Limited,75413,37701.8,2
DCMS,ODA,17-Sep-12,Tier 1 Contractors,CWOA works by London Concrete at Bow West,London Concrete,75798,684725,1
DCMS,ODA,17-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,London Concrete,75798,136945,2
DCMS,ODA,17-Sep-12,Consultants,RAD Detection,AWE plc,75851,84490.5,1
DCMS,ODA,17-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,AWE plc,75851,16898.1,2
DCMS,ODA,17-Sep-12,Designers,Engineering Office Management,Atkins Limited,75857,96560.34,1
DCMS,ODA,17-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Atkins Limited,75857,19312.07,2
DCMS,ODA,17-Sep-12,Designers,Engineering Office Management,Atkins Limited,75858,84400.99,1
DCMS,ODA,17-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Atkins Limited,75858,16880.2,2
DCMS,ODA,17-Sep-12,Designers,Engineering Office Management,Atkins Limited,75860,120361.26,1
DCMS,ODA,17-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Atkins Limited,75860,24072.25,2
DCMS,ODA,17-Sep-12,Consultants,GTTV PM costs,Ove Arup & Partners Limited,75912,48380,1
DCMS,ODA,17-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,Ove Arup & Partners Limited,75912,9676,2
DCMS,ODA,17-Sep-12,Grant Payable,Enhanced local Bus Services Opex,Transport For London,75995,55000,1
DCMS,ODA,17-Sep-12,Grant Payable,DLR Gamestimes Operations - OPEX,Transport For London,75995,38177.8,2
DCMS,ODA,17-Sep-12,Grant Payable,LUL Gamestime Operations Opex,Transport For London,75995,656686.81,3
DCMS,ODA,17-Sep-12,Grant Payable,TFL Gamestime Operations,Transport For London,75995,1523818.7,4
DCMS,ODA,17-Sep-12,Printing and reprographic,Heavy Rail Station Operating,ATOC Ltd,76014,22484,1
DCMS,ODA,17-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,ATOC Ltd,76014,4496.8,2
DCMS,ODA,17-Sep-12,Other Professional Fees,ORN Inside London Opex,AECOM Ltd,76015,41829.72,1
DCMS,ODA,17-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,AECOM Ltd,76015,8365.94,2
DCMS,ODA,17-Sep-12,Delivery partner - Transport,Venue Shuttle/Park & Ride Opex,FRS Ltd c/o First Group Plc,76029,508801.48,1
DCMS,ODA,17-Sep-12,Delivery partner - Transport,Venue Shuttle/Park & Ride Opex,FRS Ltd c/o First Group Plc,76030,2102932.91,1
DCMS,ODA,17-Sep-12,Consultants,Venue Shuttle/Park & Ride Opex,FRS Ltd c/o First Group Plc,76031,2586474.86,1
DCMS,ODA,17-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,FRS Ltd c/o First Group Plc,76031,517294.97,2
DCMS,ODA,17-Sep-12,Delivery partner - Transport,Venue Shuttle/Park & Ride Opex,FRS Ltd c/o First Group Plc,76032,383584.76,4
DCMS,ODA,17-Sep-12,Consultants,Venue Shuttle/Park & Ride Opex,FRS Ltd c/o First Group Plc,76034,372236.76,1
DCMS,ODA,17-Sep-12,Consultants,Direct Coach Opex,FRS Ltd c/o First Group Plc,76035,703239.92,1
DCMS,ODA,17-Sep-12,Consultants,Direct Coach Opex,FRS Ltd c/o First Group Plc,76036,2918078.58,1
DCMS,ODA,17-Sep-12,VAT - Irrecoverable,Current Liabilities under 1 Year - VAT Control,FRS Ltd c/o First Group Plc,76036,583615.72,2
