,Long term change (1970-2014),,,Short term change (2009-2014),,
Species,Long term percentage change,Annual percentage change,Trend,Short term percentage change,Annual percentage change,Trend
Blackbird (Turdus merula),-16,-0.38,no change,-2,-0.36,no change
Blue Tit (Cyanistes caeruleus),24,0.48,no change,-2,-0.43,no change
Bullfinch (Pyrrhula pyrrhula),-39,-1.13,no change,12,2.38,weak increase
Chaffinch (Fringilla coelebs),27,0.55,no change,-7,-1.49,weak decline
Dunnock (Prunella modularis),-30,-0.8,no change,0,0.01,no change
Great Tit (Parus major),85,1.41,weak increase,-4,-0.8,no change
Lesser Whitethroat (Sylvia curruca),19,0.4,no change,0,0.01,no change
Long-tailed Tit (Aegithalos caudatus),89,1.46,weak increase,-10,-2.13,weak decline
Robin (Erithacus rubecula),45,0.86,no change,0,-0.06,no change
Song Thrush (Turdus philomelos),-53,-1.71,weak decline,-4,-0.88,no change
Tawny Owl (Strix aluco),-31,-0.83,no change,3,0.64,no change
Wren (Troglodytes troglodytes),53,0.97,no change,10,1.84,weak increase
Specialists (25),,,,,,
,Long term change (1970-2014),,,Short term change (2009-2014),,
Species,Long term percentage change,Annual percentage change,Trend,Short term percentage change,Annual percentage change,Trend
Blackcap (Sylvia atricapilla),297,3.18,strong increase,40,6.93,strong increase
Chiffchaff (Phylloscopus collybita),93,1.51,weak increase,22,4.13,strong increase
Coal Tit (Periparus ater),19,0.4,no change,-10,-2.14,weak decline
Garden Warbler (Sylvia borin),-5,-0.12,no change,-9,-1.94,weak decline
Goldcrest (Regulus regulus),-21,-0.53,no change,0,0.09,no change
Great Spotted Woodpecker (Dendrocopos major),361,3.53,strong increase,-1,-0.27,no change
Green Woodpecker (Picus viridis),101,1.6,weak increase,-8,-1.7,weak decline
Jay (Garrulus glandarius),14,0.29,no change,9,1.78,weak increase
Lesser Spotted Woodpecker (Dendrocopos minor),-83,-3.98,strong decline,-44,-11.08,strong decline
Marsh Tit (Poecile palustris),-72,-2.83,strong decline,-12,-2.5,weak decline
Nightingale (Luscinia megarhynchos),(1995-2014) -40,-2.62,weak decline,28,5.04,strong increase
Nuthatch (Sitta europaea),257,2.94,strong increase,15,2.91,strong increase
Lesser Redpoll (Carduelis cabaret),-86,-4.33,strong decline,14,2.58,weak increase
Redstart (Phoenicurus phoenicurus),70,1.21,weak increase,35,6.2,strong increase
Sparrowhawk (Accipiter nisus),93,1.51,weak increase,-5,-1.11,no change
Spotted Flycatcher (Muscicapa striata),-87,-4.45,strong decline,6,1.15,weak increase
Tree Pipit (Anthus trivialis),-67,-2.5,weak decline,28,4.98,strong increase
Treecreeper (Certhia familiaris),-12,-0.29,no change,11,2.03,weak increase
Willow Tit (Poecile montana),-93,-5.73,strong decline,-7,-1.46,weak decline
Willow Warbler (Phylloscopus trochilus),-42,-1.22,weak decline,-7,-1.41,weak decline
Pied Flycatcher (Ficedula hypoleuca),(1995-2014) -46,-3.15,strong decline,15,2.77,weak increase
Wood Warbler (Phylloscopus sibilatrix),(1995-2014) -55,-4.07,strong decline,13,2.43,weak increase
Common Crossbill (Loxia curvirostra),(1995-2014) 8,0.38,no change,-22,-4.94,strong decline
Siskin (Carduelis spinus),(1995-2014) 53,2.26,weak increase,-2,-0.49,no change
Capercaillie (Tetrao urogallus),-89,-4.94,strong decline,-11,-2.38,weak decline
Seabirds (13),,,,,,
,Long term change (1986-2014),,,Short term change (2009-2014),,
Species,Long term percentage change,Annual percentage change,Trend,Short term percentage change,Annual percentage change,Trend
Arctic Skua (Stercorarius parasiticus),-80,-5.58,strong decline,-56,-15.16,strong decline
Black-legged kittiwake (Rissa tridactyla),-62,-3.37,strong decline,-13,-2.66,weak decline
Common guillemot (Uria aalge),57,1.61,weak increase,17,3.15,strong increase
European shag (Phalacrocorax artistotelis),-48,-2.31,weak decline,-20,-4.39,strong decline
Great Black-backed Gull (Larus marinus),7,0.24,no change,28,5.07,strong increase
Great cormorant (Phalacrocorax carbo),-7,-0.26,no change,-9,-1.78,weak decline
Herring Gull (Larus argentatus),-16,-0.62,no change,47,7.96,strong increase
Northern fulmar (Fulmarus glacialis),-22,-0.9,no change,-12,-2.54,weak decline
Common Tern (Sterna hirundo),-30,-1.27,weak decline,-24,-5.28,strong decline
Sandwich Tern (Sterna sandvicensis),5,0.16,no change,-18,-3.96,strong decline
Little Tern (Sternula albifrons),-12,-0.46,no change,4,0.75,no change
Arctic Tern (Sterna paradisaea),39,1.17,weak increase,15,2.88,strong increase
Razorbill (Alca torda),58,1.64,weak increase,15,2.82,strong increase
water and wetland birds,,,,,,
Birds of fast flowing water (4),,,,,,
,Long term change (1975-2014),,,Short term change (2009-2014),,
Species,Long term percentage change,Annual percentage change,Trend,Short term percentage change,Annual percentage change,Trend
Common Sandpiper (Actitis hypoleucos),-47,-1.61,weak decline,-10,-2.04,weak decline
Dipper (Cinclus cinclus),-28,-0.84,no change,0,-0.08,no change
Goosander (Mergus merganser),(1981-2015) 121,2.43,weak increase,17,3.1,strong increase
Grey Wagtail (Motacilla cinerea),-46,-1.55,weak decline,-14,-3.04,strong decline
Reedbed Birds (4),,,,,,
,Long term change (1975-2014),,,Short term change (2009-2014),,
Species,Long term percentage change,Annual percentage change,Trend,Short term percentage change,Annual percentage change,Trend
Cetti's Warbler (Cettia cetti),(1989-2015) 498,7.42,strong increase,10,1.91,weak increase
Reed Bunting (Emberiza schoeniclus),-64,-2.6,weak decline,-11,-2.4,weak decline
Reed Warbler (Acrocephalus scirpaceus),(1981-2015) 75,1.72,weak increase,-7,-1.52,weak decline
Sedge Warbler (Acrocephalus schoenobaenus),-40,-1.31,weak decline,-21,-4.52,strong decline
Birds of slow and standing water (6),,,,,,
,Long term change (1975-2014),,,Short term change (2009-2014),,
Species,Long term percentage change,Annual percentage change,Trend,Short term percentage change,Annual percentage change,Trend
Coot (Fulica atra),72,1.39,weak increase,-18,-3.87,strong decline
Great Crested Grebe (Podiceps cristatus),(1995-2015) -7,-0.36,no change,-13,-2.82,strong decline
Little Grebe (Tachybaptus ruficollis),-31,-0.95,no change,1,0.11,no change
Mallard (Anas platyrhynchos),212,2.96,strong increase,-5,-0.98,no change
Moorhen (Gallinula chloropus),-30,-0.92,no change,-18,-3.81,strong decline
Tufted Duck (Aythya fuligula),98,1.76,weak increase,-6,-1.21,weak decline
Wetland Birds (8),,,,,,
,Long term change (1975-2014),,,Short term change (2009-2014),,
Species,Long term percentage change,Annual percentage change,Trend,Short term percentage change,Annual percentage change,Trend
Curlew (Numenius arquata),(1980-2015) -19,-0.61,no change,-4,-0.78,no change
Lapwing (Vanellus vanellus),(1980-2015) -50,-2.03,weak decline,-16,-3.42,strong decline
Little Egret (Egretta garzetta),N/A,N/A,N/A,26,4.76,strong increase
Mute Swan (Cygnus olor),89,1.65,weak increase,-1,-0.27,no change
Redshank (Tringa totanus),-54,-1.98,weak decline,1,0.12,no change
Snipe (Gallinago gallinago),-82,-4.3,strong decline,-3,-0.64,no change
Teal (Anas crecca),(1995-2015) 65,2.66,weak increase,33,5.85,strong increase
Yellow Wagtail (Motacilla flava),-97,-8.81,strong decline,-50,-12.79,strong decline
Other (4),,,,,,
,Long term change (1975-2014),,,Short term change (2009-2014),,
Species,Long term percentage change,Annual percentage change,Trend,Short term percentage change,Annual percentage change,Trend
Grey Heron (Ardea cinerea),-18,1.41,no change,-16,-1.47,strong decline
Kingfisher (Alcedo atthis),-20,0.06,no change,-10,-2.12,weak decline
Oystercatcher (Haematopus ostralegus),73,0,weak increase,-7,0,weak decline
Sand Martin (Riparia riparia),(1978-2014) 2,0,no change,-10,0,weak decline
Other species included in the all species indicator (38),,,,,,
,Long term change (1970-2014),,,Short term change (2007-2014),,
Species,Long term percentage change,Annual percentage change,Trend,Short term percentage change,Annual percentage change,Trend
Avocet (Recurvirostra avosetta),(1990-2014) 269,5.6,strong increase,5,0.93,no change
Bearded Tit (Panurus biarmicus),(1977-2014) 33,0.78,no change,29,5.22,strong increase
Black-headed Gull (Chroicocephalus ridibundus),28,0.56,no change,4,0.85,no change
Buzzard (Buteo buteo),453,3.96,strong increase,4,0.69,no change
Carrion Crow (Corvus corone),99,1.58,weak increase,4,0.79,no change
Cirl Bunting (Emberiza cirlus),(2001-2014) 78,4.52,strong increase,21,3.81,strong increase
Collared Dove (Streptopelia decaocto),831,5.2,strong increase,-13,-2.81,strong decline
Corncrake (Crex crex),-53,-1.71,weak decline,-4,-0.82,no change
Cuckoo (Cuculus canorus),-56,-1.86,weak decline,13,2.53,weak increase
Dartford Warbler (Sylvia undata),(1975-2014) 56,1.15,weak increase,-42,-10.24,strong decline
Firecrest (Regulus ignicapilla),N/A,N/A,N/A,168,21.77,strong increase
Gadwall (Anas strepera),(1995-2014) 98,3.66,strong increase,20,3.66,strong increase
Golden Plover (Pluvialis apricaria),(1995-2014) -16,-0.92,no change,-3,-0.69,no change
Greylag Goose (Anser anser),(1993-2014) 316,7.03,strong increase,16,3.05,strong increase
Hen Harrier (Circus cyaneus),(1991-2014) 1,0.05,no change,-15,-3.23,strong decline
Hobby (Falco subbuteo),(1995-2014) -10,-0.53,no change,-22,-4.82,strong decline
Hooded Crow (Corvus cornix),(1995-2014) 19,0.93,no change,17,3.17,strong increase
House Martin (Delichon urbicum),(1995-2014) -9,-0.52,no change,-8,-1.62,weak decline
House Sparrow (Passer domesticus),-72,-2.83,strong decline,2,0.37,no change
Magpie (Pica pica),100,1.59,weak increase,3,0.51,no change
Meadow Pipit (Anthus pratensis),-35,-0.98,no change,15,2.92,strong increase
Mediterranean Gull (Larus melanocephalus),N/A,N/A,N/A,20,3.72,strong increase
Mistle Thrush (Turdus viscivorus),-57,-1.9,weak decline,-9,-1.79,weak decline
Peregrine (Falco peregrinus),202,2.54,weak increase,2,0.44,no change
Pied/White Wagtail (Motacilla alba),36,0.69,no change,5,1.06,no change
Pochard (Aythya ferina),(1993-2014) 67,2.48,weak increase,21,3.87,strong increase
Quail (Coturnix coturnix),(1990-2014) -25,-1.21,weak decline,-39,-9.4,strong decline
Raven (Corvus corax),(1995-2014) 38,1.71,weak increase,8,1.61,weak increase
Red Grouse (Lagopus lagopus scotica),(1995-2014) 19,0.91,no change,30,5.44,strong increase
Red Kite (Milvus milvus),(2004-2014) 285,14.43,strong increase,85,13.15,strong increase
Red-breasted Merganser (Mergus serrator),630,4.62,strong increase,-12,-2.63,weak decline
Shelduck (Tadorna tadorna),(1995-2014) -9,-0.52,no change,-7,-1.46,weak decline
Shoveler (Anas clypeata),N/A,N/A,N/A,5,1.01,no change
Stonechat (Saxicola rubicola),(1995-2014) 27,1.27,weak increase,-35,-8.24,strong decline
Swallow (Hirundo rustica),15,0.32,no change,-7,-1.38,weak decline
Swift (Apus apus),(1995-2014) -47,-3.26,strong decline,-22,-4.83,strong decline
Whinchat (Saxicola rubetra),(1995-2014) -54,-3.96,strong decline,-2,-0.34,no change
Woodlark (Lullula arborea),(1993-2014) 99,3.32,strong increase,26,4.67,strong increase
