"16.3 Total UK Bilateral, DAC Bilateral and Multilateral Net ODA (Americas) 2005-2009",,,,,
,,,,,
,,,,,£ thousands
,2006,  7 870 ,  5 680 ,- 266 ,  20 812 
,2007,  1 064 ,  2 714 ,-8 425 ,  23 211 
,2008,  3 326 , - ,-2 305 ,  46 604 
,2009, 5 310 , - ,.., .. 
,,   ,   ,,
Montserrat,2005,  13 841 , - ,  14 825 ,   468 
,2006,  13 510 , - ,  13 547 ,  4 043 
,2007,  14 981 , - ,  16 225 ,  1 929 
,2008,  17 827 , - ,  17 836 ,  1 365 
,2009, 23 858 , - ,.., .. 
,,   ,   ,,
St Kitts-Nevis,2005, - , - ,   968 ,   968 
,2006, - , - ,  1 951 ,  1 744 
,2007,   5 , - ,  1 819 ,   455 
,2008,   1 , - ,  18 405 ,  7 837 
,2009,  1 , - ,.., .. 
,,   ,   ,,
St. Lucia,2005,   88 , - ,  3 631 ,  2 453 
,2006, - ,   170 ,  1 326 ,  7 738 
,2007,   20 , - ,  3 788 ,  4 567 
,2008,   38 , - ,- 177 ,  10 982 
,2009,  8 , - ,.., .. 
,,   ,   ,,
St. Vincent & ,2005,   88 , - ,  3 191 , 1 309
Grenadines,2006, - ,   260 ,  1 261 ,  1 641 
,2007, - ,   263 ,  23 991 ,  9 219 
,2008,   10 , - ,  5 499 ,  9 893 
,2009, - , - ,.., .. 
,,   ,   ,,
Surinam,2005, - , - ,  18 467 ,  5 826 
,2006, - , - ,  30 246 ,  4 652 
,2007, - , - ,  61 893 ,  13 477 
,2008, - , - ,  40 872 ,  15 216 
,2009, - , - ,.., .. 
,,,,,
Trinidad and Tobago,2005,   61 , - ,  3 367 ,- 4 456
,2006,   50 , - ,  2 228 ,  5 282 
,2007,   65 , - ,  3 503 ,  6 886 
,2008,   467 , - ,  2 139 ,  4 510 
,2009,  280 , - ,.., .. 
,,   ,   ,,
Turks and Caicos Islands,2005,  1 040 , - ,  1 700 ,1 161 
,2006,   30 ,   110 ,   43 ,- 272 
,2007,   240 ,   107 ,  1 319 ,6 371 
,2008, - , - , - , - 
,2009, - , - ,.., .. 
,,   ,   ,,
Caribbean regional,2005,  5 061 , - ,  29 562 , 2 795
,2006,  5 150 , - ,  25 197 ,  4 173 
,2007,  7 381 , - ,  17 465 ,  16 730 
,2008,  10 108 , - ,  39 308 ,  11 767 
,2009, 12 144 , - ,.., .. 
,,   ,   ,,
Total Caribbean,2005, 50 210,  8 904 ,  165 355 ,  116 302 
,2006,- 8 130,  8 050 ,  116 999 ,  165 819 
,2007, 8 800,  4 327 ,  169 463 ,  208 640 
,2008, 35 503, - ,  200 779 ,  257 033 
,2009,  43 523 ,   47 ,.., .. 
,,   ,   ,,
South America,,   ,   ,,
Argentine Republic,2005, - , - ,  42 869 ,  10 314 
,2006, - , - ,  44 113 ,  18 927 
,2007,   480 , - ,  31 876 ,  19 228 
,2008,   541 , - ,  48 289 ,  23 877 
,2009, 637, - ,.., .. 
,,   ,   ,,
Bolivia,2005,- 13 362, - ,  242 935 ,  110 708 
,2006, 4 720,  1 760 ,  312 020 ,  149 756 
,2007,- 52 563, - ,  180 587 ,  57 011 
,2008,  566, - ,  276 654 ,  70 138 
,2009, 340, - ,.., .. 
,,   ,   ,,
Brazil,2005,  3 598 , - ,  96 003 ,  37 099 
,2006,   860 , - ,  40 728 ,  20 323 
,2007,  1 524 , - ,  134 929 ,  24 920 
,2008,  7 461 , - ,  209 446 ,  44 161 
,2009,8 366, - ,.., .. 
,,   ,   ,,
Chile,2005,   578 , - ,  41 852 ,  41 296 
,2006,   470 , - ,  35 104 ,  11 928 
,2007,   260 , - ,  49 076 ,  10 993 
,2008,   264 , - ,  28 818 ,  10 872 
,2009, 380, - ,.., .. 
,,   ,   ,,
Colombia,2005,   688 , - ,  314 701 ,  26 229 
,2006,   350 , - ,  498 461 ,  47 238 
,2007,   750 , - ,  314 246 ,  46 352 
,2008,  1 836 , - ,  497 214 ,  39 579 
,2009,4 963, - ,.., .. 
,,   ,   ,,
Ecuador,2005,  171, - ,  105 702 ,  18 346 
,2006,- 1 070, - ,  92 786 ,  9 010 
,2007,-  665, - ,  91 855 ,  16 495 
,2008,-  303, - ,  108 318 ,  18 836 
,2009,- 103, - ,.., .. 
,, ,   ,,
Paraguay,2005,-  121, - ,  31 526 ,- 3 746
,2006,-  230, - ,  34 805 ,- 4 532
,2007,-  115, - ,  44 278 ,  9 539 
,2008,   36 , - ,  56 624 ,  17 056 
,2009, 27, - ,.., .. 
,,   ,   ,,
Peru,2005,  1 832 , - ,  215 370 ,  31 372 
,2006,  12 030 , - ,  206 133 ,  44 901 
,2007,- 125 410, - ,  90 676 ,  37 338 
,2008,- 6 418 , - ,  217 405 ,  38 833 
,2009, 684, - ,.., .. 
,,   ,   ,,
Uruguay,2005, - , - ,  1 634 ,  6 068 
,2006, - , - ,  5 880 ,  5 396 
,2007,   55 , - ,  9 959 ,  8 310 
,2008,   80 , - ,  7 097 ,  10 739 
,2009, 26, - ,.., .. 
,,   ,   ,,
Venezuela,2005,   83 , - ,  11 569 ,  15 865 
,2006, - , - ,  17 938 ,  15 949 
,2007,   60 , - ,  22 362 ,  16 210 
,2008,   285 , - ,  25 761 ,  6 754 
,2009,1 380, - ,.., .. 
,,   ,   ,,
South America Regional,2005, - , - ,  38 023 ,  16 437 
,2006, - , - ,  39 299 ,  18 883 
,2007, - , - ,  64 496 ,  29 632 
,2008, - , - ,  88 399 ,  59 741 
,2009, - , - ,.., .. 
,,,,,
Total South America,2005,- 6 533, - , 1 142 184 ,  309 987 
,2006, 17 130,  1 760 , 1 327 265 ,  337 777 
,2007,- 175 624, - , 1 034 339 ,  276 029 
,2008,  4 349 , - , 1 564 025 ,  340 585 
,2009,  16 700 , - ,.., .. 
,,   ,   ,,
Americas Regional,2005,  5 292 , - ,  195 918 ,  119 009 
,2006,  7 800 , - ,  217 882 ,  65 360 
,2007,   750 , - ,  209 349 ,  70 118 
,2008,  5 746 , - ,  623 241 ,  52 882 
,2009, - , - ,.., .. 
,,   ,   ,,
TOTAL AMERICAS,2005,  72 702 ,  24 767 , 2 662 060 , 1 005 390 
,2006,  19 450 ,  10 940 , 2 859 273 , 1 113 975 
,2007,- 304 237,  4 327 , 2 398 015 , 1 053 752 
,2008,  61 918 , - , 3 855 375 , 1 251 014 
,2009,  80 988 ,   47 ,.., .. 
,,,,,
1.   Low Income Country.   Income groups are classified using 2007 GNI per capita thresholds.  See glossary for details.,,,,,
2.   Data for 2009 is not yet available.,,,,,
3.  DAC Countries and DAC Multilaterals data sourced from the OECD DAC Online Database. DAC annual exchange rates were used to convert from USD.,,,,,
,,,,,
