Minister,Date,Name of External Organisation,Purpose of meeting
Secretary of State for Transport - The Rt Hon Patrick McLoughlin MP,Dec-12,"RNIB, Muscular Dystrophy Campaign, Trailblazers, Mencap",Access for disabled people to public transport
Secretary of State for Transport - The Rt Hon Patrick McLoughlin MP,Dec-12,Virgin Group,West Coast
Secretary of State for Transport - The Rt Hon Patrick McLoughlin MP,Dec-12,Siemens,Introductory meeting
Secretary of State for Transport - The Rt Hon Patrick McLoughlin MP,Dec-12,First Group ,West Coast
Secretary of State for Transport - The Rt Hon Patrick McLoughlin MP,Dec-12,Local Government Association,Introductory meeting
Secretary of State for Transport - The Rt Hon Patrick McLoughlin MP,Dec-12,International Maritime Organization,Introductory meeting
Secretary of State for Transport - The Rt Hon Patrick McLoughlin MP,Dec-12,The AA,Introductory meeting
Secretary of State for Transport - The Rt Hon Patrick McLoughlin MP,Dec-12,The Chamber of Shipping,Introductory meeting
Secretary of State for Transport - The Rt Hon Patrick McLoughlin MP,Dec-12,Shell,Introductory meeting
Secretary of State for Transport - The Rt Hon Patrick McLoughlin MP,Dec-12,Network Rail,Regular update meeting
Minister of State for Transport - The Rt Hon Simon Burns MP,Oct-12,Qatar Airways,Aviation issues
Minister of State for Transport - The Rt Hon Simon Burns MP,Oct-12,BAR-UK,Aviation issues
Minister of State for Transport - The Rt Hon Simon Burns MP,Oct-12,Association of Train Operating Companies,Rail issues
Minister of State for Transport - The Rt Hon Simon Burns MP,Oct-12,BAA & CAA,Aviation issues
Minister of State for Transport - The Rt Hon Simon Burns MP,Oct-12,John Stephenson MP and Direct Rail Services,Rail issues
Minister of State for Transport - The Rt Hon Simon Burns MP,Oct-12,Rail Delivery Group,Rail issues
Minister of State for Transport - The Rt Hon Simon Burns MP,Nov-12,HS2 Stakeholder meeting,Rail issues
Minister of State for Transport - The Rt Hon Simon Burns MP,Nov-12,British Airline Pilots Association,Aviation issues
Minister of State for Transport - The Rt Hon Simon Burns MP,Nov-12,"Alison McGovern MP, Cllr John Salter, Merseytravel",Rail issues
Minister of State for Transport - The Rt Hon Simon Burns MP,Nov-12,Rail Delivery Group,Rail issues
Minister of State for Transport - The Rt Hon Simon Burns MP,Nov-12,ABTA,Aviation issues
Minister of State for Transport - The Rt Hon Simon Burns MP,Dec-12,Airport Operators Trade Association,Aviation issues
Minister of State for Transport - The Rt Hon Simon Burns MP,Dec-12,TUI Travel,Aviation issues
Minister of State for Transport - The Rt Hon Simon Burns MP,Dec-12,City of York Council,Rail issues
Minister of State for Transport - The Rt Hon Simon Burns MP,Dec-12,DB Schenker Rail UK,Rail Freight
Minister of State for Transport - The Rt Hon Simon Burns MP,Dec-12,British Transport Police,Rail issues
Minister of State for Transport - The Rt Hon Simon Burns MP,Dec-12,Gatwick Airport,Aviation issues
Minister of State for Transport - The Rt Hon Simon Burns MP,Dec-12,SITA,Aviation issues
Minister of State for Transport - The Rt Hon Simon Burns MP,Dec-12,UPS,Aviation issues
Parliamentary Under Secretary of State for Transport - Norman Baker MP,Oct-12,Network Rail,Rail performance
Parliamentary Under Secretary of State for Transport - Norman Baker MP,Oct-12,Association of Train Operating Companies,Train passenger information
Parliamentary Under Secretary of State for Transport - Norman Baker MP,Nov-12,Friends of Isles of Scilly Transport,Isles of Scilly transport
Parliamentary Under Secretary of State for Transport - Norman Baker MP,Nov-12,Electric Motorcycle Industry Association,Electric powered motorcycles
Parliamentary Under Secretary of State for Transport - Norman Baker MP,Nov-12,Cycle Training Alliance,Bikeability
Parliamentary Under Secretary of State for Transport - Norman Baker MP,Nov-12,"PLUSBUS, Passenger Transport Executive Group, Network Rail, go-Ahead, Stagecoach, Living Streets, Association of Train Operating Companies, Campaign for Better Transport, Confederation of Passenger Transport, Transport for London",Sustainable Transport
Parliamentary Under Secretary of State for Transport - Norman Baker MP,Nov-12,Carbon Recycling International,Renewable transport fuel
Parliamentary Under Secretary of State for Transport - Norman Baker MP,Nov-12,"Network Rail, National Taskforce",Rail performance
Parliamentary Under Secretary of State for Transport - Norman Baker MP,Nov-12,National Express,Buses
Parliamentary Under Secretary of State for Transport - Norman Baker MP,Nov-12,TomTom,Sat Navs
Parliamentary Under Secretary of State for Transport - Norman Baker MP,Nov-12,Association of Train Operating Companies,Fares and ticketing
Parliamentary Under Secretary of State for Transport - Norman Baker MP,Nov-12,Mark Simmonds MP and Duncan Hames MP with constituents,Electric vehicles
Parliamentary Under Secretary of State for Transport - Norman Baker MP,Nov-12,Lord Kennedy of Southwark and Uptown Oil,Biodiesel
Parliamentary Under Secretary of State for Transport - Norman Baker MP,Nov-12,Greenpeace,Transport and the environment
Parliamentary Under Secretary of State for Transport - Norman Baker MP,Nov-12,"Renewable Energy Association, UK Petroleum Industry Association, National Farmers Union, Downstream Fuels Association",Indirect land usage charge
Parliamentary Under Secretary of State for Transport - Norman Baker MP,Dec-12,The Trainline.com,Ticketing
Parliamentary Under Secretary of State for Transport - Norman Baker MP,Dec-12,Energy Saving Trust,Low carbon transport
Parliamentary Under Secretary of State for Transport - Norman Baker MP,Dec-12,Association of Community Rail Partnerships,Community Rail
Parliamentary Under Secretary of State for Transport - Norman Baker MP,Dec-12,Dame Anne Begg MP and New Life Charity,Mobility scooters
Parliamentary Under Secretary of State for Transport - Norman Baker MP,Dec-12,"Network Rail, National Taskforce",Rail performance
Parliamentary Under Secretary of State for Transport - Norman Baker MP,Dec-12,Guide Dogs for the Blind,Accessibility and transport
Parliamentary Under Secretary of State for Transport - Norman Baker MP,Sep-12,Campaign for Better Transport,
Parliamentary Under Secretary of State for Transport - Stephen Hammond MP,Oct-12,Society of Motor Manufacturers and Traders,Introductory meeting
Parliamentary Under Secretary of State for Transport - Stephen Hammond MP,Oct-12,Jackie McCord,Cassie's law
Parliamentary Under Secretary of State for Transport - Stephen Hammond MP,Oct-12,Rothschild & Sons Limited,Introductory meeting
Parliamentary Under Secretary of State for Transport - Stephen Hammond MP,Oct-12,Transport for London,Introductory meeting
Parliamentary Under Secretary of State for Transport - Stephen Hammond MP,Nov-12,Promethion Logo RGB,Skills for logistics
Parliamentary Under Secretary of State for Transport - Stephen Hammond MP,Nov-12,"Autologic, Unite",UK freight issues
Parliamentary Under Secretary of State for Transport - Stephen Hammond MP,Nov-12,Rail Manager,Freight on rail
Parliamentary Under Secretary of State for Transport - Stephen Hammond MP,Nov-12,"South East Local Enterprise Partnership, Ministerial champion for the Thames Gateway",Transport in the South East
Parliamentary Under Secretary of State for Transport - Stephen Hammond MP,Nov-12,Association of British Insurers,Motor insurance
Parliamentary Under Secretary of State for Transport - Stephen Hammond MP,Nov-12,City of London,Transport issues
Parliamentary Under Secretary of State for Transport - Stephen Hammond MP,Nov-12,"Russell, Jones & Walker",Motor insurance
,,,
Note:,,,
"Does not normally include meetings with Government bodies such as other Government Departments and Agencies, non-departmental public bodies, Government reviewers, and representatives of devolved or foreign governments.",,,
