Title:,Estimated abstractions from all surface and groundwaters by purpose and source: 2000 - 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,all surface and groundwaters,152,108,120,132,122,60,48,72,38,43,68,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electricity supply industry,tidal waters,17628,16901,20301,19204,18996,20023,21796,22181,18281,18700,17879,,,,,,,,,,,,,,,,,,,,,,,,
,non-tidal surface waters,13892,15312,15124,12149,11556,9967,10326,10267,12278,11355,11871,,,,,,,,,,,,,,,,,,,,,,,,
,groundwaters,26,50,21,24,17,30,39,37,28,21,21,,,,,,,,,,,,,,,,,,,,,,,,
,all sources except tidal ,13918,15361,15146,12173,11573,9998,10364,10304,12307,11376,11893,,,,,,,,,,,,,,,,,,,,,,,,
,all surface and groundwaters,31546,32263,35447,31378,30568,30021,32160,32485,30588,30076,29771,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other industry,tidal waters,993,1178,1440,1992,2027,2145,2790,2431,1958,2253,2538,,,,,,,,,,,,,,,,,,,,,,,,
,non-tidal surface waters,3582,2744,2562,3827,3833,3440,3052,2067,2423,2879,1907,,,,,,,,,,,,,,,,,,,,,,,,
,groundwaters,858,850,882,804,725,754,677,669,572,524,530,,,,,,,,,,,,,,,,,,,,,,,,
,all sources except tidal ,4440,3594,3443,4631,4558,4194,3729,2736,2995,3404,2437,,,,,,,,,,,,,,,,,,,,,,,,
,all surface and groundwaters,5433,4772,4883,6623,6585,6339,6519,5167,4954,5656,4975,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fish farming, cress growing, amenity ponds",tidal waters,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
,non-tidal surface waters,4360,4298,2838,2767,3686,3268,3207,2999,2486,2219,2529,,,,,,,,,,,,,,,,,,,,,,,,
,groundwaters,348,359,378,311,383,386,415,413,365,385,371,,,,,,,,,,,,,,,,,,,,,,,,
,all sources except tidal ,4709,4657,3215,3077,4068,3654,3622,3412,2850,2610,2899,,,,,,,,,,,,,,,,,,,,,,,,
,all surface and groundwaters,4709,4657,3215,3077,4068,3654,3622,3412,2850,2610,2900,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Private water supply,tidal waters,0,0,0,1,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
,non-tidal surface waters,47,53,27,33,4,3,9,3,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,
,groundwaters,55,38,26,27,26,24,28,27,22,25,23,,,,,,,,,,,,,,,,,,,,,,,,
,all sources except tidal ,102,92,54,60,30,26,37,29,24,27,24,,,,,,,,,,,,,,,,,,,,,,,,
,all surface and groundwaters,102,92,54,61,30,26,37,29,24,27,24,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Other,tidal waters,3,6,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,
,non-tidal surface waters,492,44,37,36,36,22,37,69,35,32,28,,,,,,,,,,,,,,,,,,,,,,,,
,groundwaters,64,58,39,50,40,38,50,44,39,42,28,,,,,,,,,,,,,,,,,,,,,,,,
,all sources except tidal ,556,103,77,86,77,60,86,113,74,74,56,,,,,,,,,,,,,,,,,,,,,,,,
,all surface and groundwaters,559,108,77,86,77,60,86,113,74,74,56,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source:  Environment Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
