OrganisationNameLabel,OrganisationURI,EffectiveDate,PaymentDate,Directorate/ServiceWhereExpenditureIncurred,ServiceCategoryLabel,ServiceCategoryURI,Supplier,NetAmount,IrrecoverableVAT,PurposeOfExpenditure,ProcurementClassification:ProclassLabel,ProcrementClassification:ProClassCode
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,01/12/2016,14/10/2016,Homelessness,Housing Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/108,Gatestravel ,44.10,0.00,Travel Permit to Chester ,Travel & Subsistence,261600
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,01/12/2016,04/10/2016,Members,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,ICO,35.00,0.00,ICO Subcription Renewal ,Subscriptions,202100
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,01/12/2016,05/10/2016,Partnerships and Communities,Cultural Environmental Regulatory & Planning Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/104, E H Booths,1.47,0.00,Refreshments ,Food & Beverages,111200
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,01/12/2016,05/10/2016,Partnerships and Communities,Cultural Environmental Regulatory & Planning Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/104, E H Booths,0.92,0.00,Refreshments ,Food & Beverages,111200
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,01/12/2016,05/10/2016,Members,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,Premier Inn ,93.00,0.00,Accomodation ,Accommodation,261000
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,01/12/2016,05/10/2016,Members,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,Trainline ,10.76,0.00,Train Tickets,Travel & Subsistence,261600
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,01/12/2016,05/10/2016,Members,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,Trainline ,79.56,0.00,Train Tickets,Travel & Subsistence,261600
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,01/12/2016,05/10/2016,Members,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,Trainline ,39.27,0.00,Train Tickets,Travel & Subsistence,261600
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,01/12/2016,06/10/2016,Research and Intelligence,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,Trainline ,97.70,0.00,Train Tickets,Travel & Subsistence,261600
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,01/12/2016,06/10/2016,Research and Intelligence,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,Travel Lodge ,111.95,0.00,Accomodation ,Accommodation,261000
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,01/12/2016,12/10/2016,Partnerships and Communities,Cultural Environmental Regulatory & Planning Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/104,E H Booths,1.47,0.00,Refreshments ,Food & Beverages,111200
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,01/12/2016,12/10/2016,Partnerships and Communities,Cultural Environmental Regulatory & Planning Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/104,E H Booths,1.45,0.00,Refreshments ,Food & Beverages,111200
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,01/12/2016,14/10/2016,Research and Intelligence,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,Gates Travel,20.50,0.00,Transport,Travel & Subsistence,261600
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,01/12/2016,18/10/2016,Research and Intelligence,Central Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/102,CIPD,99.50,0.00,CIPD Subsciption Renewal ,Subscriptions,202100
South Lakeland District Council,http://opendatacommunities.org/id/district-council/south-lakeland,01/12/2016,19/10/2016,Partnerships and Communities,Cultural Environmental Regulatory & Planning Services,http://opendatacommunities.org/def/concept/finance/sercop/objective/104,E H Booths ,1.97,0.00,Refreshments ,Food & Beverages,111200
