Department family,Entity,Date,Expense Type,Expense area,Supplier,Transaction number,AP Amount (£)
Department of Health,NHS Isle Of Wight CCG,31/10/2017,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,MEDINA HEALTHCARE,19137161,4175.25
Department of Health,NHS Isle Of Wight CCG,31/10/2017,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,MEDINA HEALTHCARE,19137161,5693
Department of Health,NHS Isle Of Wight CCG,31/10/2017,C&M-PMS LES Minor Surgery,LOCAL ENHANCED SERVICES,MEDINA HEALTHCARE,19137161,650
Department of Health,NHS Isle Of Wight CCG,31/10/2017,C&M-PMS Out of Hours Opt Outs,PRC DELEGATED CO-COMMISSIONING,MEDINA HEALTHCARE,19137161,118.12
Department of Health,NHS Isle Of Wight CCG,31/10/2017,C&M-PMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,MEDINA HEALTHCARE,19137161,2551.67
Department of Health,NHS Isle Of Wight CCG,31/10/2017,C&M-PMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,MEDINA HEALTHCARE,19137161,1724.02
Department of Health,NHS Isle Of Wight CCG,31/10/2017,C&M-PMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,MEDINA HEALTHCARE,19137161,75.27
Department of Health,NHS Isle Of Wight CCG,31/10/2017,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,MEDINA HEALTHCARE,19137161,8642.11
Department of Health,NHS Isle Of Wight CCG,31/10/2017,C&M-PMS Contract Value,PRC DELEGATED CO-COMMISSIONING,TOWER HOUSE SURGERY RYDE,19137163,87029.08
Department of Health,NHS Isle Of Wight CCG,31/10/2017,C&M-PMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,TOWER HOUSE SURGERY RYDE,19137163,5602.63
Department of Health,NHS Isle Of Wight CCG,31/10/2017,C&M-PMS Funding Differential Review,PRC DELEGATED CO-COMMISSIONING,TOWER HOUSE SURGERY RYDE,19137163,3780.58
Department of Health,NHS Isle Of Wight CCG,31/10/2017,C&M-PMS LES Minor Surgery,LOCAL ENHANCED SERVICES,TOWER HOUSE SURGERY RYDE,19137163,900
Department of Health,NHS Isle Of Wight CCG,31/10/2017,C&M-PMS Out of Hours Opt Outs,PRC DELEGATED CO-COMMISSIONING,TOWER HOUSE SURGERY RYDE,19137163,5.95
Department of Health,NHS Isle Of Wight CCG,31/10/2017,C&M-PMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,TOWER HOUSE SURGERY RYDE,19137163,9298.12
Department of Health,NHS Isle Of Wight CCG,31/10/2017,Accruals <1Yr-Non-NHS PeriodEndAccrual,BALANCE SHEET,SLY CONSULTING LTD,19150891,27300
Department of Health,NHS Isle Of Wight CCG,31/10/2017,Apprenticeship Levy Payable,BALANCE SHEET,HMRC,19188760,208
Department of Health,NHS Isle Of Wight CCG,31/10/2017,Income tax <1Yr,BALANCE SHEET,HMRC,19188760,40662.71
Department of Health,NHS Isle Of Wight CCG,31/10/2017,Income tax <1Yr-Student Loans,BALANCE SHEET,HMRC,19188760,409
Department of Health,NHS Isle Of Wight CCG,31/10/2017,National Insurance < 1 yr-NI- ERS,BALANCE SHEET,HMRC,19188760,28764.18
Department of Health,NHS Isle Of Wight CCG,31/10/2017,National Insurance < 1 yr-NI-EES,BALANCE SHEET,HMRC,19188760,20659.19
Department of Health,NHS Isle Of Wight CCG,31/10/2017,Statutory Mat Pay < 1 yr,BALANCE SHEET,HMRC,19188760,-648.5
Department of Health,NHS Isle Of Wight CCG,31/10/2017,Clinical&Medical-Independent Sector,MENTAL HEALTH SERVICES - ADULTS,ABERTAWE BRO MORGANNWG UNIVERSITY LOCAL HEALTH BOARD,19209961,53650
Department of Health,NHS Isle Of Wight CCG,31/10/2017,Clinical&Medical-Independent Sector,INTERMEDIATE CARE,COLVILLE CARE LTD,19210013,32379.23
Department of Health,NHS Isle Of Wight CCG,31/10/2017,Hcare Srv Rec NHS Trust-Contract Baseline,OUT OF HOURS,ISLE OF WIGHT NHS TRUST,19210072,125000
Department of Health,NHS Isle Of Wight CCG,31/10/2017,Clinical&Medical-Independent Sector,COMMISSIONING - NON ACUTE,TICCS,19210088,51535
Department of Health,NHS Isle Of Wight CCG,31/10/2017,Oth Pybls <1Yr-Other,BALANCE SHEET,MILLBROOK HEALTHCARE LTD,19210148,60000
Department of Health,NHS Isle Of Wight CCG,31/10/2017,Sterile Products,PRESCRIBING,AMCARE LTD,19210231,71655.48
Department of Health,NHS Isle Of Wight CCG,31/10/2017,Clinical&Medical-Independent Sector,HOSPICES,EARL MOUNTBATTEN HOSPICE,19210266,693572
Department of Health,NHS Isle Of Wight CCG,31/10/2017,FHSPayables,BALANCE SHEET,BROOKSIDE HEALTH CENTRE,19235754,44668.75
Department of Health,NHS Isle Of Wight CCG,31/10/2017,FHSPayables,BALANCE SHEET,DOWER HOUSE SURGERY,19236756,41066.88
Department of Health,NHS Isle Of Wight CCG,31/10/2017,FHSPayables,BALANCE SHEET,ESPLANADE SURGERY,19236758,31845.37
Department of Health,NHS Isle Of Wight CCG,31/10/2017,FHSPayables,BALANCE SHEET,MEDINA HEALTHCARE,19236759,29243.79
Department of Health,NHS Isle Of Wight CCG,31/10/2017,FHSPayables,BALANCE SHEET,SANDOWN HEALTH CENTRE,19236761,50256.18
Department of Health,NHS Isle Of Wight CCG,31/10/2017,FHSPayables,BALANCE SHEET,ST HELENS MEDICAL CENTRE,19236762,33275.99
Department of Health,NHS Isle Of Wight CCG,31/10/2017,FHSPayables,BALANCE SHEET,COWES MEDICAL CENTRE,19236764,38901.6
Department of Health,NHS Isle Of Wight CCG,31/10/2017,FHSPayables,BALANCE SHEET,EAST COWES MEDICAL CENTRE,19236767,38927.15
Department of Health,NHS Isle Of Wight CCG,31/10/2017,FHSPayables,BALANCE SHEET,SHANKLIN MEDICAL CENTRE,19236768,37824.68
Department of Health,NHS Isle Of Wight CCG,31/10/2017,FHSPayables,BALANCE SHEET,TOWER HOUSE SURGERY RYDE,19236770,25990.6
Department of Health,NHS Isle Of Wight CCG,31/10/2017,External Consultancy Fees,NON RECURRENT PROGRAMMES,MCKINSEY & CO INC,19281266,117600
Department of Health,NHS Isle Of Wight CCG,31/10/2017,C&M-GMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,BEECH GROVE SURGERY,19309028,2347.45
Department of Health,NHS Isle Of Wight CCG,31/10/2017,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,BEECH GROVE SURGERY,19309028,666.67
Department of Health,NHS Isle Of Wight CCG,31/10/2017,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,BEECH GROVE SURGERY,19309028,37162.08
Department of Health,NHS Isle Of Wight CCG,31/10/2017,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,BEECH GROVE SURGERY,19309028,3066.67
Department of Health,NHS Isle Of Wight CCG,31/10/2017,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BEECH GROVE SURGERY,19309028,4068.08
Department of Health,NHS Isle Of Wight CCG,31/10/2017,C&M-GMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,ARGYLL HOUSE SURGERY,19309030,2551.7
Department of Health,NHS Isle Of Wight CCG,31/10/2017,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,ARGYLL HOUSE SURGERY,19309030,458.33
Department of Health,NHS Isle Of Wight CCG,31/10/2017,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,ARGYLL HOUSE SURGERY,19309030,39633.28
Department of Health,NHS Isle Of Wight CCG,31/10/2017,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,ARGYLL HOUSE SURGERY,19309030,272
Department of Health,NHS Isle Of Wight CCG,31/10/2017,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,ARGYLL HOUSE SURGERY,19309030,1916.67
Department of Health,NHS Isle Of Wight CCG,31/10/2017,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,ARGYLL HOUSE SURGERY,19309030,854.33
Department of Health,NHS Isle Of Wight CCG,31/10/2017,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ARGYLL HOUSE SURGERY,19309030,4446.12
Department of Health,NHS Isle Of Wight CCG,31/10/2017,C&M-GMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,CARISBROOKE HEALTH CENTRE,19309032,5282.48
Department of Health,NHS Isle Of Wight CCG,31/10/2017,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,CARISBROOKE HEALTH CENTRE,19309032,2000
Department of Health,NHS Isle Of Wight CCG,31/10/2017,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,CARISBROOKE HEALTH CENTRE,19309032,74926.69
Department of Health,NHS Isle Of Wight CCG,31/10/2017,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,CARISBROOKE HEALTH CENTRE,19309032,760.07
Department of Health,NHS Isle Of Wight CCG,31/10/2017,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,CARISBROOKE HEALTH CENTRE,19309032,3891.67
Department of Health,NHS Isle Of Wight CCG,31/10/2017,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,CARISBROOKE HEALTH CENTRE,19309032,1553.33
Department of Health,NHS Isle Of Wight CCG,31/10/2017,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,CARISBROOKE HEALTH CENTRE,19309032,7930.12
Department of Health,NHS Isle Of Wight CCG,31/10/2017,C&M-GMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,BROOKSIDE HEALTH CENTRE,19309034,5065.4
Department of Health,NHS Isle Of Wight CCG,31/10/2017,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,BROOKSIDE HEALTH CENTRE,19309034,1000
Department of Health,NHS Isle Of Wight CCG,31/10/2017,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,BROOKSIDE HEALTH CENTRE,19309034,91962.3
Department of Health,NHS Isle Of Wight CCG,31/10/2017,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,BROOKSIDE HEALTH CENTRE,19309034,6944.5
Department of Health,NHS Isle Of Wight CCG,31/10/2017,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,BROOKSIDE HEALTH CENTRE,19309034,996.28
Department of Health,NHS Isle Of Wight CCG,31/10/2017,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,BROOKSIDE HEALTH CENTRE,19309034,11034.47
Department of Health,NHS Isle Of Wight CCG,31/10/2017,C&M-GMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,COWES MEDICAL CENTRE,19309036,7175.83
Department of Health,NHS Isle Of Wight CCG,31/10/2017,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,COWES MEDICAL CENTRE,19309036,1666.67
Department of Health,NHS Isle Of Wight CCG,31/10/2017,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,COWES MEDICAL CENTRE,19309036,99306.57
Department of Health,NHS Isle Of Wight CCG,31/10/2017,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,COWES MEDICAL CENTRE,19309036,1910.43
Department of Health,NHS Isle Of Wight CCG,31/10/2017,C&M-GMS PCO Other,PRC DELEGATED CO-COMMISSIONING,COWES MEDICAL CENTRE,19309036,493.17
Department of Health,NHS Isle Of Wight CCG,31/10/2017,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,COWES MEDICAL CENTRE,19309036,2048.8
Department of Health,NHS Isle Of Wight CCG,31/10/2017,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,COWES MEDICAL CENTRE,19309036,877.77
Department of Health,NHS Isle Of Wight CCG,31/10/2017,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,COWES MEDICAL CENTRE,19309036,12438.48
Department of Health,NHS Isle Of Wight CCG,31/10/2017,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,DOWER HOUSE SURGERY,19309038,1166.67
Department of Health,NHS Isle Of Wight CCG,31/10/2017,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DOWER HOUSE SURGERY,19309038,84877.98
Department of Health,NHS Isle Of Wight CCG,31/10/2017,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,DOWER HOUSE SURGERY,19309038,215.45
Department of Health,NHS Isle Of Wight CCG,31/10/2017,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,DOWER HOUSE SURGERY,19309038,6333.33
Department of Health,NHS Isle Of Wight CCG,31/10/2017,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DOWER HOUSE SURGERY,19309038,2760.76
Department of Health,NHS Isle Of Wight CCG,31/10/2017,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DOWER HOUSE SURGERY,19309038,12169.92
Department of Health,NHS Isle Of Wight CCG,31/10/2017,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,DR ROBERT HEWETSON & PARTNERS,19309040,458.33
Department of Health,NHS Isle Of Wight CCG,31/10/2017,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,DR ROBERT HEWETSON & PARTNERS,19309040,28342.24
Department of Health,NHS Isle Of Wight CCG,31/10/2017,C&M-GMS Prem Cost Rent,PRC DELEGATED CO-COMMISSIONING,DR ROBERT HEWETSON & PARTNERS,19309040,2186.83
Department of Health,NHS Isle Of Wight CCG,31/10/2017,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,DR ROBERT HEWETSON & PARTNERS,19309040,532.25
Department of Health,NHS Isle Of Wight CCG,31/10/2017,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,DR ROBERT HEWETSON & PARTNERS,19309040,4600.11
Department of Health,NHS Isle Of Wight CCG,31/10/2017,C&M-GMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,ESPLANADE SURGERY,19309042,4805.58
Department of Health,NHS Isle Of Wight CCG,31/10/2017,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,ESPLANADE SURGERY,19309042,1000
Department of Health,NHS Isle Of Wight CCG,31/10/2017,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,ESPLANADE SURGERY,19309042,75850.7
Department of Health,NHS Isle Of Wight CCG,31/10/2017,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,ESPLANADE SURGERY,19309042,766.1
Department of Health,NHS Isle Of Wight CCG,31/10/2017,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,ESPLANADE SURGERY,19309042,2575
Department of Health,NHS Isle Of Wight CCG,31/10/2017,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ESPLANADE SURGERY,19309042,8755.89
Department of Health,NHS Isle Of Wight CCG,31/10/2017,C&M-GMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,EAST COWES MEDICAL CENTRE,19309044,4132.03
Department of Health,NHS Isle Of Wight CCG,31/10/2017,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,EAST COWES MEDICAL CENTRE,19309044,1166.67
Department of Health,NHS Isle Of Wight CCG,31/10/2017,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,EAST COWES MEDICAL CENTRE,19309044,60094.47
Department of Health,NHS Isle Of Wight CCG,31/10/2017,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,EAST COWES MEDICAL CENTRE,19309044,277.28
Department of Health,NHS Isle Of Wight CCG,31/10/2017,C&M-GMS PCO Doctors Ret Scheme,PRC DELEGATED CO-COMMISSIONING,EAST COWES MEDICAL CENTRE,19309044,2076.84
Department of Health,NHS Isle Of Wight CCG,31/10/2017,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,EAST COWES MEDICAL CENTRE,19309044,1835.85
Department of Health,NHS Isle Of Wight CCG,31/10/2017,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,EAST COWES MEDICAL CENTRE,19309044,6951.17
Department of Health,NHS Isle Of Wight CCG,31/10/2017,C&M-GMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,SANDOWN HEALTH CENTRE,19309046,5776.48
Department of Health,NHS Isle Of Wight CCG,31/10/2017,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,SANDOWN HEALTH CENTRE,19309046,4000
Department of Health,NHS Isle Of Wight CCG,31/10/2017,C&M-GMS DES Violent Patients,PRC DELEGATED CO-COMMISSIONING,SANDOWN HEALTH CENTRE,19309046,853
Department of Health,NHS Isle Of Wight CCG,31/10/2017,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,SANDOWN HEALTH CENTRE,19309046,97308.26
Department of Health,NHS Isle Of Wight CCG,31/10/2017,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,SANDOWN HEALTH CENTRE,19309046,15377.9
Department of Health,NHS Isle Of Wight CCG,31/10/2017,C&M-GMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,SHANKLIN MEDICAL CENTRE,19309048,5500.98
Department of Health,NHS Isle Of Wight CCG,31/10/2017,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,SHANKLIN MEDICAL CENTRE,19309048,2166.67
Department of Health,NHS Isle Of Wight CCG,31/10/2017,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,SHANKLIN MEDICAL CENTRE,19309048,93561.98
Department of Health,NHS Isle Of Wight CCG,31/10/2017,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,SHANKLIN MEDICAL CENTRE,19309048,2931.67
Department of Health,NHS Isle Of Wight CCG,31/10/2017,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,SHANKLIN MEDICAL CENTRE,19309048,566.96
Department of Health,NHS Isle Of Wight CCG,31/10/2017,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,SHANKLIN MEDICAL CENTRE,19309048,13479.66
Department of Health,NHS Isle Of Wight CCG,31/10/2017,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,SOUTH WIGHT MEDICAL PRACTICE,19309050,833.33
Department of Health,NHS Isle Of Wight CCG,31/10/2017,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,SOUTH WIGHT MEDICAL PRACTICE,19309050,53600.12
Department of Health,NHS Isle Of Wight CCG,31/10/2017,C&M-GMS MPIG Correction Factor,PRC DELEGATED CO-COMMISSIONING,SOUTH WIGHT MEDICAL PRACTICE,19309050,2164.01
Department of Health,NHS Isle Of Wight CCG,31/10/2017,C&M-GMS PCO Other,PRC DELEGATED CO-COMMISSIONING,SOUTH WIGHT MEDICAL PRACTICE,19309050,377.17
Department of Health,NHS Isle Of Wight CCG,31/10/2017,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,SOUTH WIGHT MEDICAL PRACTICE,19309050,2861.66
Department of Health,NHS Isle Of Wight CCG,31/10/2017,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,SOUTH WIGHT MEDICAL PRACTICE,19309050,1306.71
Department of Health,NHS Isle Of Wight CCG,31/10/2017,C&M-GMS Prem Water Rates,PRC DELEGATED CO-COMMISSIONING,SOUTH WIGHT MEDICAL PRACTICE,19309050,203.55
Department of Health,NHS Isle Of Wight CCG,31/10/2017,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,SOUTH WIGHT MEDICAL PRACTICE,19309050,5652.55
Department of Health,NHS Isle Of Wight CCG,31/10/2017,C&M-GMS DES Extended Hours Access,PRC DELEGATED CO-COMMISSIONING,ST HELENS MEDICAL CENTRE,19309052,2954.98
Department of Health,NHS Isle Of Wight CCG,31/10/2017,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,ST HELENS MEDICAL CENTRE,19309052,1000
Department of Health,NHS Isle Of Wight CCG,31/10/2017,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,ST HELENS MEDICAL CENTRE,19309052,54890.57
Department of Health,NHS Isle Of Wight CCG,31/10/2017,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,ST HELENS MEDICAL CENTRE,19309052,3638.33
Department of Health,NHS Isle Of Wight CCG,31/10/2017,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,ST HELENS MEDICAL CENTRE,19309052,276.46
Department of Health,NHS Isle Of Wight CCG,31/10/2017,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,ST HELENS MEDICAL CENTRE,19309052,6878.34
Department of Health,NHS Isle Of Wight CCG,31/10/2017,C&M-GMS DES Minor Surgery,PRC DELEGATED CO-COMMISSIONING,VENTNOR MEDICAL CENTRE,19309054,1250
Department of Health,NHS Isle Of Wight CCG,31/10/2017,C&M-GMS Global Sum,PRC DELEGATED CO-COMMISSIONING,VENTNOR MEDICAL CENTRE,19309054,39770.76
Department of Health,NHS Isle Of Wight CCG,31/10/2017,C&M-GMS Prem Cost Rent,PRC DELEGATED CO-COMMISSIONING,VENTNOR MEDICAL CENTRE,19309054,2402.75
Department of Health,NHS Isle Of Wight CCG,31/10/2017,C&M-GMS Prem Notional Rent,PRC DELEGATED CO-COMMISSIONING,VENTNOR MEDICAL CENTRE,19309054,820.83
Department of Health,NHS Isle Of Wight CCG,31/10/2017,C&M-GMS Prem Rates,PRC DELEGATED CO-COMMISSIONING,VENTNOR MEDICAL CENTRE,19309054,1165
Department of Health,NHS Isle Of Wight CCG,31/10/2017,C&M-GMS QOF Aspiration,PRC DELEGATED CO-COMMISSIONING,VENTNOR MEDICAL CENTRE,19309054,4339.66
Department of Health,NHS Isle Of Wight CCG,31/10/2017,C&M-GMS DES Extended Hours Access,GP FORWARD VIEW,ONE WIGHT HEALTH LTD,19318911,27308.99
Department of Health,NHS Isle Of Wight CCG,31/10/2017,Charges from CCG,COMMISSIONING SCHEMES,NHS NORTH EAST HAMPSHIRE AND FARNHAM CCG,19318924,80769
Department of Health,NHS Isle Of Wight CCG,31/10/2017,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,SOUTH WIGHT MEDICAL PRACTICE,19386379,-73377.08
Department of Health,NHS Isle Of Wight CCG,31/10/2017,C&M-GMS PrscChrgsCll&RmttdbyGPCntra,PRC DELEGATED CO-COMMISSIONING,SOUTH WIGHT MEDICAL PRACTICE,19386379,-2279
Department of Health,NHS Isle Of Wight CCG,31/10/2017,C&M-GMS Cost of Drugs -Dispensing,LOCAL ENHANCED SERVICES,SOUTH WIGHT MEDICAL PRACTICE,19386380,126288.01
Department of Health,NHS Isle Of Wight CCG,31/10/2017,C&M-GMS Prof Fees Dispensing,PRC DELEGATED CO-COMMISSIONING,SOUTH WIGHT MEDICAL PRACTICE,19386380,24377.21
Department of Health,NHS Isle Of Wight CCG,31/10/2017,C&M-GMS PrscrptnChrgsColl&RmttdbyGP,LOCAL ENHANCED SERVICES,SOUTH WIGHT MEDICAL PRACTICE,19386380,2279
Department of Health,NHS Isle Of Wight CCG,31/10/2017,Non NHS Payables <1Yr,BALANCE SHEET,NHS SOUTH CENTRAL AND WEST COMMISSIONING SUPPORT UNIT,19398996,27591.7
Department of Health,NHS Isle Of Wight CCG,31/10/2017,Non NHS Payables <1Yr,BALANCE SHEET,NHS SOUTH CENTRAL AND WEST COMMISSIONING SUPPORT UNIT,19399146,-27591.7
Department of Health,NHS Isle Of Wight CCG,31/10/2017,Prepymnts <1Yr - Other WGA,BALANCE SHEET,ISLE OF WIGHT COUNCIL,19401503,10902027
