Year,Author,Title,citation,Type,Collaborators,Main subject,Subject,Keywords,URL,Notes
2012,Andreoletti O; Litaise C; SIMMONS H; Corbiere F; Lugan S; Costes P; Schelcher F; Vilette D; Grassi J; Lacroux C,Highly efficient prion transmission by blood transfusion.,PLoS Pathogens 8 (6) e1002782,Periodical article,"UMR INRA ENVT 1225, Interactions Hotes Agents Pathogenes, Ecole Nationale Veterinaire de Toulouse, Toulouse, France.
CEA, Service de Pharmacologie et d’Immunoanalyse, IBiTec-S, DSV, CEA/Saclay, Gif sur Yvette cedex, France.",SPONGIFORM ENCEPHALOPATHIES,SHEEP; LABORATORY ANIMALS,Creutzfeldt-Jakob disease,http://dx.doi.org/10.1371%2Fjournal.ppat.1002782,
2012,Angell J; Jones G; Grove-White D; Jones E; HIGGINS RJ; OTTER A,A prospective on-farm cohort study investigating the epidemiology and pathophysiology of drunken lamb syndrome.,Proceedings of the Sheep Veterinary Society (36) 67-69,Conference proceedings,"Veterinary Epidemiology, Institute of Infection and Global Health, University of Liverpool, Leahurst.",ANIMAL HUSBANDRY AND WELFARE,SHEEP,Sheep,,
2012,ARANDAY-CORTES E; HOGARTH PJ; KAVEH DA; WHELAN AO; VILLARREAL-RAMOS B; Lalvani A; VORDERMEIER HM,Transcriptional profiling of disease-induced host responses in bovine tuberculosis and the identification of potential diagnostic biomarkers.,PLoS ONE 7(2): e30626,Periodical article,"Tuberculosis Immunology Group, National Heart and Lung Institute, Imperial College London, London.",BOVINE TUBERCULOSIS,CATTLE AND RUMINANTS IN GENERAL,Bovine tuberculosis,http://dx.doi.org/10.1371/journal.pone.0030626,
2012,AYLING RD; BISGAARD-FRANTZEN S; Adler A; Blowey RW; BARLOW AM; MILLAR MF; VAN DER BURGT GM,"Detection of 'Candidatus Mycoplasma haemobos', Mycoplasma wenyonii and Anaplasma phagocytophilum from cattle in England.",Veterinary Record 170 (21) 543,Periodical article,"Synergy Farm Health, Dorchester.
Wood Veterinary Group, Gloucester.",BACTERIOLOGY,CATTLE AND RUMINANTS IN GENERAL,Mycoplasma,http://veterinaryrecord.bmj.com/content/170/21/543a.full.pdf+html,
2012,Backer JA; BERTO A; MCCREARY C; MARTELLI F; Van der Poel WHM,"Transmission dynamics of hepatitis E virus in pigs: Estimation from field data and effect of vaccination,",Epidemics 4 (2) 86-92,Periodical article,"Central Veterinary Institute of Wageningen UR, PO Box 65, 8200 AB Lelystad, The Netherlands.",VIROLOGY,PIGS,Viruses,,
2012,Bannach O; Birkmann E; Reinartz E; Jaeger KE; Langeveld JPM; Rohwer RG; Gregori L; TERRY LA; Willbold D; Riesner D,Detection of prion protein particles in blood plasma of scrapie infected sheep.,PLoS One 7 (5),Periodical article,"Institute of Physical Biology, Heinrich-Heine-University Dusseldorf, Dusseldorf, Germany.
Institute of Complex Systems (ICS-6), Research Center Julich, Julich, Germany.
Institute of Molecular Enzyme Technology, Heinrich-Heine-University Dusseldorf, Research Center Julich, Julich, Germany.
Central Veterinary Institute of Wageningen UR (CVI), Lelystad, The Netherlands.
VA Maryland Health Care System, Molecular Neurovirology Laboratory, Medical Research Service 151, VA Medical Center, Baltimore, Maryland, United States of America.
Department of Neurology, University of Maryland at Baltimore, Baltimore, Maryland, USA",SPONGIFORM ENCEPHALOPATHIES,SHEEP,,http://dx.doi.org/10.1371/journal.pone.0036620,
2012,BANYARD AC; Gordon CH; FOOKS AR; Sillero-Zubiri C; JOHNSON N,Conservation of canids: the impact of infectious viral disease.,"In: Maia AP (ed); Crussi HF (ed), Wolves: biology, behavior and conservation, Nova Science Publishers, New York, 2012, 49-77",Book chapter,"Wildlife Conservation Research Unit, Department of Zoology, University of Oxford, The Recanati-Kaplan Centre, Tubney House, Tubney OX13 5QL.
Ethiopian Wolf Conservation Programme, Bale, Robe, Ethiopia.
The National Centre for Zoonosis Research, University of Liverpool, Leahurst, Neston CH64 7TE.",VIROLOGY,WILDLIFE AND PESTS; OTHER ANIMALS,Rabies,,
2012,BARLOW A; Partridge T; CLARK C; EVEREST D,Oral candidiasis in European hedgehogs (letter).,Veterinary Record 171 (23) 602-603,Periodical article,"Vale Wildlife Hospital & Rehabilitation Centre, Station Raod, Beckford, Tewkesbury, Gloucestershire GL20 7AN.",MISCELLANEOUS,WILDLIFE AND PESTS,,http://veterinaryrecord.bmj.com/content/171/23/602.2.full.pdf+html,
2012,BARLOW AM; SCHOCK A; BRADSHAW J; Mullineaux E; DASTJERDI A; EVEREST DJ; MCGOWAN S; STEINBACH F; Cowen S,Parvovirus enteritis in Eurasian badgers (Meles meles).,Veterinary Record 170 (16) 416,Periodical article,"Quantock Veterinary Hospital, Bridgwater.
Secret World, Highbridge.",VIROLOGY,WILDLIFE AND PESTS,Wildlife,http://veterinaryrecord.bmj.com/content/170/16/416.1.full.pdf+html,
2012,Barraclough TG; Balbi KJ; ELLIS RJ,Evolving concepts of bacterial species.,Evolutionary Biology 39 (2) 148-157,Periodical article,Imperial College London,BACTERIOLOGY,GENERAL,Bacteriology,,
2012,Barranco I; Gomez-Laguna J; Rodriguez-Gomez IM; SALGUERO FJ; Pallares FJ; Carrasco L,Differential expression of proinflammatory cytokines in the lymphoid organs of porcine reproductive and respiratory syndrome virus-infected pigs.,Transboundary and Emerging Diseases 59 (2) 145-153,Periodical article,"Univ Cordoba, Fac Vet Med, Dept Anat and Comparat Pathol, Cordoba 14014, Spain.
CICAP, Cordoba, Spain.
Univ Murcia, Fac Vet Med, Dept Anat and Comparat Pathol, Murcia, Spain.",VIROLOGY,PIGS,Porcine reproductive and respiratory syndrome,,
2012,Barranco I; Gomez-Laguna J; Rodríguez-Gomez IM; Quereda JJ; SALGUERO FJ; Pallares FJ; Carrasco L,"Immunohistochemical expression of IL-12, IL-10, IFN-alpha and IFN-gamma in lymphoid organs of porcine reproductive and respiratory syndrome virus-infected pigs.",Veterinary Immunology and Immunopathology 149 (3–4) 262-271,Periodical article,"Department of Anatomy and Comparative Pathology, Faculty of Veterinary Medicine, Cordoba University, Agrifood Campus of International Excellence – CeiA3, 14071 Cordoba, Spain.
CICAP, 14400 Pozoblanco, Cordoba, Spain.
Department of Animal Production, Faculty of Veterinary Medicine, Murcia University, Mare Nostrum Excellence Campus – 3738, 30100 Murcia, Spain.
Department of Anatomy and Comparative Pathology, Faculty of Veterinary Medicine, Murcia University, Mare Nostrum Excellence Campus – 3738, 30100 Murcia, Spain.",VIROLOGY,PIGS,Porcine reproductive and respiratory syndrome virus,http://dx.doi.org/10.1016/j.vetimm.2012.07.011,
2012,BECK KE,Transmissible spongiform encephalopathy research in the original species and in laboratory mice.,"In: Hagen K (ed); Schnieke A (ed); Thiele F (ed), Large animals as biomedical models: ethical, societal, legal and biological aspects, Graue Reihe (51), Europaische Akademie, Bad Neuenahr-Ahrweiler, Germany, 2012, 135-149",Book chapter,,SPONGIFORM ENCEPHALOPATHIES,GENERAL,Spongiform encephalopathies; Transmissible spongiform encephalopathies,http://www.ea-aw.org/fileadmin/downloads/Graue_Reihe/GR_51_LargeAnimalModels_032012.pdf,
2012,BECK KE; SALLIS RE; LOCKEY R; VICKERY CM; Beringue V; Laude H; HOLDER TM; THORNE L; TERRY LA; TOUT AC; JAYASENA D; GRIFFITHS PC; CAWTHRAW S; ELLIS R; Balkema-Buschmann A; Groschup MH; SIMMONS MM; SPIROPOULOS J,Use of murine bioassay to resolve ovine transmissible spongiform encephalopathy cases showing a bovine spongiform encephalopathy molecular profile.,Brain Pathology 22 (3) 265-279,Periodical article,"Virologie Immunologie Moleculaires, U892, Institut National de la Recherche Agronomique, Jouy-en-Josas, France.
Friedrich-Loeffler-Institut, Federal Research Institute for Animal Health, Greifswald-Insel Riems, Germany.",SPONGIFORM ENCEPHALOPATHIES,SHEEP,Transmissible spongiform encephalopathy,http://onlinelibrary.wiley.com/doi/10.1111/j.1750-3639.2011.00526.x/pdf,
2012,BECK KE; Vickery CM; Lockey R; HOLDER T; THORNE L; Terry LA; DENYER M; WEBB P; SIMMONS MM; SPIROPOULOS J,The interpretation of disease phenotypes to identify TSE strains following murine bioassay: characterisation of classical scrapie.,Veterinary Research 43:77,Periodical article,"University of Southampton, University Road, Southampton SO17 1BJ.
Universite de Geneve, 1 Rue Michel Servet, 1211, Geneva 4, Switzerland.",SPONGIFORM ENCEPHALOPATHIES,LABORATORY ANIMALS; SHEEP,Scrapie,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC3503603/pdf/1297-9716-43-77.pdf,
2012,Bednarek D; AYLING RD; NICHOLAS RAJ; Dudek K; Szymanska-Czerwinska M,Serological survey to determine the occurrence of respiratory mycoplasma infections in the Polish cattle population.,Veterinary Record 171 (2) 45,Periodical article,"Department of Cattle and Sheep Diseases, National Veterinary Research Institute, Pulawy, Poland.",BACTERIOLOGY,CATTLE AND RUMINANTS IN GENERAL,Mycoplasma,http://veterinaryrecord.bmj.com/content/171/2/45.full.pdf+html,
2012,Bentley SD; Comas I; Bryant JM; Walker D; SMITH NH; Harris SR; Thurston S; Gagneux S; Wood J; Antonio M; Quail MA; Gehre F; Adegbola RA; Parkhill J; de Jong BC,The genome of Mycobacterium africanum West African 2 reveals a lineage-specific locus and genome erosion common to the M. tuberculosis complex.,PLoS Neglected Tropical Diseases 6 (2): e1552,Periodical article,,BOVINE TUBERCULOSIS,GENERAL,Bacteriology,http://dx.doi.org/10.1371/journal.pntd.0001552,
2012,"BERTO A, MARTELLI F, GRIERSON S, BANKS M","Hepatitis E virus in pork food chain, United Kingdom, 2009-2010.",Emerging Infectious Diseases 18 (8) 1358-1360,Periodical article,,VIROLOGY,PIGS,,http://dx.doi.org/10.3201/eid1808.111647,
2012,BERTO A; Backer JA; Mesquita JR; Nascimento MS; BANKS M; MARTELLI F; Ostanello F; Angeloni G; Di Bartolo I; Ruggeri FM; Vasickova P; Diez-Valcarce M; Hernandez M; Rodriguez-Lazaro D; van der Poel WH,Prevalence and transmission of hepatitis E virus in domestic swine populations in different European countries.,BMC Research Notes 5:190,Periodical article,"Central Veterinary Institute of Wageningen Univerisity and Research Centre, Lelystad, The Netherlands.
Agrarian Superior School of the Polytechnic Institute of Viseu, Department of Animal Science, Rural Engineering and Veterinary Science, Viseu, Portugal. 
Faculty of Pharmacy of Porto University, Department of Biological Sciences, Porto, Portugal. 
Department of Veterinary Medical Sciences, University of Bologna, Ozzano Emilia, Bologna, Italy. 
Department of Veterinary Public Health & Food Safety, Istituto Superiore di Sanita’, Rome, Italy 
Instituto Tecnologico Agrario de Castilla y Leon (ITACyL), Junta de Castilla y Leon, Valladolid, Spain. 
Veterinary Research Institute, Brno, Czech Republic 
National Centre for Zoonoses Research, University of Liverpool, Liverpool.",VIROLOGY,PIGS,Hepatitis E,http://dx.doi.org/10.1186/1756-0500-5-190,
2012,Bexton S; Thompson D; Brownlow A; Barley J; Milne R; BIDEWELL C,Unusual mortality of pinnipeds in the United Kingdom associated with helical (corkscrew) injuries of anthropogenic origin.,Aquatic Mammals 38 (3) 229-240,Periodical article,"Royal Society for Prevention of Cruelty to Animals.
Sea Mammal Research Unit, Univerity of St Andrews, Fife.
Scottish Agricultural College.
Agri-Food and Biosciences Institute - Veterinary Sciences Division, Stormont, Belfast.",MISCELLANEOUS,WILDLIFE AND PESTS,,,
2012,Bhuju S; ARANDAY-CORTES E; VILLARREAL-RAMOS B; Xing Z; Singh M; VORDERMEIER HM,Global gene transcriptome analysis in vaccinated cattle revealed a dominant role of IL-22 for protection against bovine tuberculosis.,PLoS Pathogens 8 (12) e1003077,Periodical article,"Helmholtz Centre for Infection Research, Braunschweig, Germany.
Lionex Diagnostics Ltd, Braunschweig, Germany.
McMaster University, Hamilton, Ontario, Canada.",BOVINE TUBERCULOSIS,CATTLE AND RUMINANTS IN GENERAL,Bovine tuberculosis,http://dx.doi.org/10.1371%2Fjournal.ppat.1003077,
2012,BIDEWELL CA; Drew JR; PAYNE JH; SAYERS AR; HIGGINS RJ; Livesey CT,Case study of copper poisoning in a British dairy herd.,Veterinary Record 170 (18) 464,Periodical article,"Mildmay Farm and Stud, Larksborough Farm, Whitchurch, RG28 7PN.
Givendale House, Leppington, Malton, YO17 9RL.",ANIMAL HUSBANDRY AND WELFARE,CATTLE AND RUMINANTS IN GENERAL,Cattle,http://veterinaryrecord.bmj.com/content/170/18/464.full.pdf+html,
2012,Billeter SA; HAYMAN DTS; Peel AJ; Baker K; Wood JLN; Cunningham A; Suu-Ire R; Dittmar K; Kosoy MY,Bartonella species in bat flies (Diptera: Nycteribiidae) from western Africa.,Parasitology 139 (3) 324-329,Periodical article,"Centre for Disease Control and Prevent, Division of Vector Borne Diseases, Fort Collins, CO 80521 USA.
University of Cambridge, Cambridge Infectious Diseases Consortium, Department of Veterinary Medciine, Cambridge.
Zoological Society of London, Institute of Zoology, London NW1 4RY. 
Forestry Commission, Wildlife Division, Accra, Ghana.
State Univeristy of New York Buffalo, Department of Biological Science, Buffalo, NY 14260 USA.",BACTERIOLOGY,WILDLIFE AND PESTS,Wildlife,,
2012,Blasche T; Schenck EV; Balachandran A; Miller MW; Langenberg J; Frolich K; STEINBACH F,Rapid detection of CWD PrP: comparison of tests designed for the detection of BSE or scrapie.,Transboundary and Emerging Diseases 59 (5) 405-415,Periodical article,"Institute for Zoo and Wildlife Research (IZW), Alfred-Kowalke-Str., Berlin, Germany.
National and OIE Reference Laboratory for Scrapie and CWD, Canadian Food Inspection Agency, Fallowfield Road, Ottawa, ON, Canada.
Colorado Division of Wildlife, Wildlife Research Center, West Prospect Road, Fort Collins, CO, USA.
Wisconsin Department of Natural Resources, Progress Road, Madison WI, USA.
Tierpark Arche Warder eV, Langenwedeler Weg, Warder, Germany.",SPONGIFORM ENCEPHALOPATHIES,DEER; WILDLIFE AND PESTS,,,
2012,Borriello SP; DREW T,Schmallenberg virus - killer in the womb.,Science in Parliament 69 (2) 45-46,Periodical article,Veterinary Medicines Directorate.,VIROLOGY,CATTLE AND RUMINANTS IN GENERAL; SHEEP; GOATS,Schmallenberg virus,,
2012,BOTH L; BANYARD AC; Dolleweerd C van; HORTON DL; Ma JKC; FOOKS AR,Passive immunity in the prevention of rabies.,Lancet Infectious Diseases 12 (5) 397-407,Periodical article,"Hotung Molecular Immunology Unit, Division of Clinical Sciences, St George's University of London, London.
Department of Zoology, University of Cambridge, Cambridge.",VIROLOGY,GENERAL,Rabies,http://dx.doi.org/10.1016/s1473-3099(11)70340-1,
2012,Boufana B; Stidworthy MF; BELL S; Chantrey J; Masters N; Unwin S; WOOD R; Lawrence RP; Potter A; McGarry J; Redrobe S; Killick R; FOSTER AP; MITCHELL S; Greenwood AG; Sako Y; Nakao M; Ito A; Wyatt K; Lord B; Craig PS,Echinococcus and Taenia spp. from captive mammals in the United Kingdom.,Veterinary Parasitology 190 (1-2) 95-103,Periodical article,"Cestode Zoonoses Research Group, University of Salford, Manchester M5 4WT.
International Zoo Veterinary Group, Parkwood Street, Keighley, West Yorkshire BD21 4NQ, UK
School of Veterinary Science, University of Liverpool, Neston CH64 7TE.
Conservation Medicine Division, Chester Zoo, Chester CH2 1LH.
West Midlands Safari & Leisure Park, Bewdley, Worcs DY12 1LF.
School of Veterinary Science, University of Liverpool, Liverpool L69 7ZJ.
Twycross Zoo & School of Veterinary Medicine and Science, University of Nottingham, LE12 5RD.
Bristol Zoo Gardens, Bristol BS8 3HA.
Department of Parasitology, Asahikawa Medical University, Asahikawa 078-8510, Japan.
The Royal School of Veterinary Studies, The University of Edinburgh, EH25 9RG.",PARASITOLOGY,OTHER ANIMALS; WILDLIFE AND PESTS,Zoo animals,http://dx.doi.org/10.1016/j.vetpar.2012.05.023,
2012,Boyd I; Gibbens N,The rights and wrongs of badger culling (letter).,"The Independent 25 September, 18",Periodical article,,BACTERIOLOGY,CATTLE AND RUMINANTS IN GENERAL; WILDLIFE AND PESTS,Badgers; Bovine tuberculosis,,
2012,BREED AC; IRVINE RM; DUNCAN D; RAE D; SNOW L; COOK AJC; BROWN IH,An evaluation of wild bird avian influenza surveillance in Great Britain.,Avian Diseases 56 (4S1) 986-991,Conference proceedings,,VIROLOGY,WILDLIFE AND PESTS,Avian influenza,http://www.aaapjournals.info/doi/abs/10.1637/10166-040912-Reg.1,"Proceedings of the Eighth International Symposium
on Avian Influenza, Royal Hollaway, University of London, London, UK, 1–4 April 2012"
2012,Brown EB; ADKIN A; FOOKS AR; STEPHENSON B; Medlock JM; SNARY EL,Assessing the risks of West Nile virus-infected mosquitoes from transatlantic aircraft: implications for disease emergence in the United Kingdom.,Vector-Borne and Zoonotic Diseases 12 (4) 310-320,Periodical article,"Royal Veterinary College, London.
UK National Centre for Zoonoses Research, University of Liverpool, Liverpool.
Health Protection Agency, Porton Down, Salisbury, Wiltshire.",VIROLOGY,GENERAL,Viral diseases; Arboviruses,http://dx.doi.org/10.1089/vbz.2010.0176,
2012,Brunker K; Hampson K; HORTON DL; Biek R,Integrating the landscape epidemiology and genetics of RNA viruses: rabies in domestic dogs as a model.,Parasitology 139 (14) 1899-1913,Periodical article,"Institute of Biodiversity, Animal Health and Comparative Medicine, Medical Research Council-University of Glasgow Centre for Virus Research, College of Medical, Veterinary and Life Sciences, Graham Kerr Building, University of Glasgow, Glasgow",VIROLOGY,OTHER ANIMALS,Parasitology; Rabies; Dogs,,
2012,BRUNTON LA; DUNCAN D; COLDHAM NG; SNOW LC; JONES JR,A survey of antimicrobial usage on dairy farms and waste milk feeding practices in England and Wales.,Veterinary Record 171 (12) 296,Periodical article,,BACTERIOLOGY,CATTLE AND RUMINANTS IN GENERAL,,http://veterinaryrecord.bmj.com/content/171/12/296.full.pdf+html,
2012,Buckley M; Penkman KEH; Wess TJ; REANEY S; Collins MJ,Protein and mineral characterisation of rendered meat and bone meal.,Food Chemistry 134 (3) 1267-1278,Periodical article,"BioArCh Departments of Biology, Archaeology and Chemistry, University of York, Wentworth Way, York YO10 5DD, United Kingdom.
School of Optometry and Vision Sciences, Cardiff University, Maindy Road, Cathays, Cardiff, CF24 4LU, United Kingdom.",MISCELLANEOUS,CATTLE AND RUMINANTS IN GENERAL; MEAT; PIGS; SHEEP; PIGS,Food safety,http://dx.doi.org/10.1016/j.foodchem.2012.02.167,
2012,Buczkowski H; Parida S; Bailey D; Barrett T; BANYARD AC,A novel approach to generating morbillivirus vaccines: negatively marking the rinderpest vaccine.,Vaccine 30 (11) 1927-1935,Periodical article,"Institute for Animal Health, Pirbright Laboratory, Ash Road, Woking, Surrey, GU24 0NF.
Imperial College – London, Department of Medicine, St. Mary's Campus, Paddington, W2 1PG.",VIROLOGY,GENERAL,Virus diseases; Rinderpest; Peste des petits,http://dx.doi.org/10.1016/j.vaccine.2012.01.029,
2012,Calcutt MJ; Foecking MF; ROSALES RS; ELLIS RJ; NICHOLAS RAJ,Genome sequence of Mycoplasma hyorhinis strain GDL-1.,Journal of Bacteriology 194 (7) 1848,Periodical article,"Department of Veterinary Pathobiology, University of Missouri, Columbia, Missouri, USA.",BACTERIOLOGY,PIGS,Mycoplasma,http://dx.doi.org/10.1128/jb.00033-12,
2012,Calzolari M; Ze-Ze L; Ruzek D; Vazquez A; JEFFRIES C; Defilippo F; Osorio HC; Kilian P; Ruiz S; FOOKS AR; Maioli G; Amaro F; Tlusty M; Figuerola J; Medlock JM; Bonilauri P; Alves MJ; Sebesta O; Tenorio A; Vaux AGC; Bellini R; Gelbic I; Sanchez-Seco MP; JOHNSON N; Dottori M,Detection of mosquito-only flaviviruses in Europe.,Journal of General Virology 93 (6) 1215-1225,Periodical article,"Istituto Zooprofilattico Sperimentale della Lombardia e dell’Emilia-Romagna 'B. Ubertini’ (IZSLER), via Bianchi 9, 25124, Brescia, Italy. 
Centro de Estudos de Vectores e Doencas Infecciosas (CEVDI), Instituto Nacional de Saude Dr. Ricardo Jorge, Avenida da Liberdade 5, 2965-575 Aguas de Moura, Portugal 
Institute of Parasitology, Biology Centre of the Academy of Sciences of the Czech Republic, Branišovská 31, CZ-37005 Ceske Budejovice, Czech Republic. 
Laboratory of Arboviruses and Imported Viral Diseases, National Center for Microbiology, Instituto de Salud Carlos III (ISCIII), Majadahonda, 28220, Madrid, Spain.
Institute of Parasitology, Biology Centre of the Academy of Sciences of the Czech Republic and Faculty of Science, University of South Bohemia, Branisovska 31, CZ-37005 Ceske Budejovice, Czech Republic.
Mosquito Control Service of Diputacion Provincial de Huelva, Andalucia, Spain.
Pierre de Coubertin High School in Tabor, Frantisek Krizik Sq. 860, CZ-39030 Tabor, Czech Republic. 
Estacion Biologica de Donana - CSIC. Avda. Americo Vespucio s/n, 41092-Sevilla, Spain. 
Medical Entomology and Zoonoses Ecology Group, Microbial Risk Assessment, Emergency Response Department, Health Protection Agency (HPA), Porton Down, Wiltshire, SP4 0JG. 
Institute of Vertebrate Biology, Academy of Sciences of the Czech Republic, Kvetna 8, CZ-603 65 Brno, Czech Republic. 
Centro Agricoltura Ambiente ‘G. Nicoli’, Via Argini Nord 3351, 40014 Crevalcore, Italy. 
Institute of Entomology, Biology Centre of the Academy of Sciences of the Czech Republic, Branisovska 31, CZ-37005 Ceske Budejovice, Czech Republic.",VIROLOGY,GENERAL; WILDLIFE AND PESTS,Virus; Aedes cinereus,http://dx.doi.org/10.1099/vir.0.040485-0,
2012,Carter SP; CHAMBERS MA; Rushton SP; Shirley MDF; Schuchert P; Pietravalle S; Murray A; Rogers F; Gettinby G; Smith GC; Delahay RJ; HEWINSON RG; McDonald RA,BCG vaccination reduces risk of tuberculosis infection in vaccinated badgers and unvaccinated badger cubs.,PLoS ONE 7(12): e49833,Periodical article,"The Food and Environment Research Agency, York.
School of Biology, University of Newcastle, Newcastle upon Tyne.
Department of Mathematics and Statistics, University of Strathclyde, Glasgow.
Environment and Sustainability Institute, University of Exeter, Penryn, Cornwall.",BOVINE TUBERCULOSIS,WILDLIFE AND PESTS,Bovine tubercolosis,http://dx.doi.org/doi:10.1371/journal.pone.0049833,
