Department,Entity,Transaction Date,Supplier Name ,Amount ,Expense Type,Expense Area,Expenses  Description
DFID,DFID,40961,MEHRA FURNITURES,£669,Furniture & Fittings,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40962,Foreign & Commonwealth Office,"£7,305",Furniture & Fittings,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40966,AGS Four Winds India Private Limited,£587,Furniture & Fittings,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40966,Corporate Travel Provider,£844,Hotels - Accommodation only,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40968,Corporate Travel Provider,£578,Hotels - Accommodation only,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40968,Corporate Travel Provider,£578,Hotels - Accommodation only,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40968,Corporate Travel Provider,£711,Hotels - Accommodation only,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40968,Corporate Travel Provider,£670,Hotels - Accommodation only,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40968,Corporate Travel Provider,"£2,901",Hotels - Accommodation only,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40968,Corporate Travel Provider,"£1,995",Hotels - Accommodation only,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40968,Corporate Travel Provider,£844,Hotels - Accommodation only,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40941,Recipient name withheld,£802,Hotels - Accommodation only,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40941,Foreign & Commonwealth Office,£563,Hotels - Accommodation only,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40942,Recipient name withheld,£507,Hotels - Accommodation only,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40942,Foreign & Commonwealth Office,"£1,173",Hotels - Accommodation only,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40942,Foreign & Commonwealth Office,£739,Hotels - Accommodation only,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40945,Summit Hotel Pvt Ltd,£580,Hotels - Accommodation only,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40948,Recipient name withheld,£604,Hotels - Accommodation only,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40953,Summit Hotel Pvt Ltd,£632,Hotels - Accommodation only,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40960,Foreign & Commonwealth Office,£532,Hotels - Accommodation only,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40967,Recipient name withheld,"£6,750",Hotels - Accommodation only,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40967,Recipient name withheld,£694,Hotels - Accommodation only,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40967,Recipient name withheld,£578,Hotels - Accommodation only,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40968,JAYPEE VASANT CONTINENTAL,"£1,199",Hotels - Accommodation only,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40941,Foreign & Commonwealth Office,"£6,128",Secure staff accommodation,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40941,Foreign & Commonwealth Office,"£7,542",Secure staff accommodation,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40942,Foreign & Commonwealth Office,"£3,278",Secure staff accommodation,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40945,Supplier Name withheld,"£1,891",Secure staff accommodation,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40945,Supplier Name withheld,"£2,128",Secure staff accommodation,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40946,Supplier Name withheld,"£6,422",Secure staff accommodation,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40953,Supplier Name withheld,£911,Secure staff accommodation,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40961,Foreign & Commonwealth Office,"£3,766",Secure staff accommodation,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40961,Foreign & Commonwealth Office,"£7,123",Secure staff accommodation,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40961,Foreign & Commonwealth Office,"£3,766",Secure staff accommodation,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40962,Foreign & Commonwealth Office,"£1,468",Secure staff accommodation,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40962,Foreign & Commonwealth Office,"£23,744",Secure staff accommodation,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40962,Foreign & Commonwealth Office,"£1,660",Secure staff accommodation,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40941,Foreign & Commonwealth Office,"£4,200",Aid Programme - Joint programme contribution,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40941,Foreign & Commonwealth Office,£875,Aid Programme - Joint programme contribution,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40941,Foreign & Commonwealth Office,"£4,900",Aid Programme - Joint programme contribution,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40941,Foreign & Commonwealth Office,"£2,076",Aid Programme - Joint programme contribution,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40941,Foreign & Commonwealth Office,"£1,145",Aid Programme - Joint programme contribution,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40942,Foreign & Commonwealth Office,"£6,110",Aid Programme - Joint programme contribution,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40942,Foreign & Commonwealth Office,"£10,820",Aid Programme - Joint programme contribution,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40960,Foreign & Commonwealth Office,"£1,544",Aid Programme - Joint programme contribution,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40960,Foreign & Commonwealth Office,"£4,811",Aid Programme - Joint programme contribution,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40960,Foreign & Commonwealth Office,"£1,711",Aid Programme - Joint programme contribution,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40960,Foreign & Commonwealth Office,"£4,811",Aid Programme - Joint programme contribution,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40960,The World Bank (EFO),"£135,000",Aid Programme - Joint programme contribution,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40961,Foreign & Commonwealth Office,"£3,499",Aid Programme - Joint programme contribution,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40962,Foreign & Commonwealth Office,"£2,969",Aid Programme - Joint programme contribution,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40967,UNDP CONTRIBUTIONS GBP,"£1,200,000",Aid Programme - Joint programme contribution,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40968,Foreign & Commonwealth Office,"£4,811",Aid Programme - Joint programme contribution,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40942,Foreign & Commonwealth Office,£523,Mobile telephones & accessories,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40955,Grameen Phone,£508,Mobile telephones & accessories,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40941,Foreign & Commonwealth Office,£614,Office Equipment - Maintenance,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40962,Foreign & Commonwealth Office,£611,Office Supplies,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40941,Foreign & Commonwealth Office,"£32,323",Other Admin Costs,"Asia, Caribbean and Overseas Territories", DONORS RETREAT AT BELFIELD ON 17 JAN 2012
DFID,DFID,40954,Foreign & Commonwealth Office,£568,Other Admin Costs,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40945,G4S FACILITY SERVICES (INDIA) PVT. L,"£3,282",Other non-passenger transportation,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40945,G4S FACILITY SERVICES (INDIA) PVT. L,"£3,174",Other non-passenger transportation,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40966,G4S FACILITY SERVICES (INDIA) PVT. L,"£3,158",Other non-passenger transportation,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40968,Foreign & Commonwealth Office,"£47,961",Secure staff accommodation,"Asia, Caribbean and Overseas Territories",DFID Rent and Management fee January - March 2012
DFID,DFID,40966,Bagha Club Dhaka,"£3,073",Other shared service charges,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40942,Foreign & Commonwealth Office,£575,Printer Consumables,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40959,Transearch Consultants Private Limited,"£2,083",Recruitment costs,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40959,Transearch Consultants Private Limited,"£2,222",Recruitment costs,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40946,CROWN RELOCATIONS  UK,"£3,471",Relocation costs,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40946,CROWN RELOCATIONS  UK,"£8,193",Relocation costs,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40959,CROWN RELOCATIONS  UK,"£2,878",Relocation costs,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40942,BOSE CORPORATION INDIA PRIVATE LIMITED,£770,Facilities Management payments,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40942,CB RICHARD ELLIS SOUTH ASIA PVT LTD,"£2,578",Facilities Management payments,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40945,R M B Engineers and Builders Pvt Ltd,£535,Facilities Management payments,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40945,R M B Engineers and Builders Pvt Ltd,"£1,152",Facilities Management payments,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40947,R M B Engineers and Builders Pvt Ltd,£720,Facilities Management payments,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40947,John Sanday Associates Pvt. Ltd,£792,Facilities Management payments,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40949,CB RICHARD ELLIS SOUTH ASIA PVT LTD,"£14,697",Facilities Management payments,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40954,CB RICHARD ELLIS SOUTH ASIA PVT LTD,"£1,203",Facilities Management payments,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40961,John Sanday Associates Pvt. Ltd,£818,Facilities Management payments,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40967,R M B Engineers and Builders Pvt Ltd,"£1,046",Facilities Management payments,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40941,Paradise Cables Limited,"£1,483","Repairs, Maint, Alter - Property & Constrct. Services","Asia, Caribbean and Overseas Territories",
DFID,DFID,40966,M N Khan & Co,"£1,028","Repairs, Maint, Alter - Property & Constrct. Services","Asia, Caribbean and Overseas Territories",
DFID,DFID,40954,Foreign & Commonwealth Office,£808,Reproduction & Printing Materials,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40953,Corporate Travel Provider,£795,Air fares,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40953,Corporate Travel Provider,£597,Air fares,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40966,Corporate Travel Provider,£917,Air fares,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40966,Corporate Travel Provider,£700,Air fares,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40966,Corporate Travel Provider,£700,Air fares,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40966,Corporate Travel Provider,£545,Air fares,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40966,Corporate Travel Provider,£673,Air fares,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40966,Corporate Travel Provider,£854,Air fares,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40966,Corporate Travel Provider,"£1,429",Air fares,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40966,Corporate Travel Provider,"£1,246",Air fares,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40966,Corporate Travel Provider,£729,Air fares,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40966,Corporate Travel Provider,"£1,298",Air fares,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40968,Corporate Travel Provider,"£1,253",Air fares,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40968,Corporate Travel Provider,£617,Air fares,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40968,Corporate Travel Provider,£737,Air fares,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40968,Corporate Travel Provider,"£1,361",Air fares,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40941,KUONI BUSINESS TRAVEL INDIA PVT LTD,"£3,542",Air fares,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40941,KUONI BUSINESS TRAVEL INDIA PVT LTD,£764,Air fares,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40941,Foreign & Commonwealth Office,£749,Air fares,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40941,Foreign & Commonwealth Office,£994,Air fares,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40945,KUONI BUSINESS TRAVEL INDIA PVT LTD,"£1,093",Air fares,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40942,Foreign & Commonwealth Office,£606,Air fares,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40948,Jaya Travels & Tours Ltd,£686,Air fares,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40948,Saimon Overseas Ltd,£853,Air fares,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40948,Saimon Overseas Ltd,"£2,018",Air fares,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40953,KUONI BUSINESS TRAVEL INDIA PVT LTD,£614,Air fares,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40953,KUONI BUSINESS TRAVEL INDIA PVT LTD,"£3,086",Air fares,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40953,MINISTRY OF DEFENCE - HQ BRITFOR,"£6,720",Air fares,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40954,Hanoi Toserco,"£2,695",Air fares,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40953,KUONI BUSINESS TRAVEL INDIA PVT LTD,£921,Air fares,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40953,KUONI BUSINESS TRAVEL INDIA PVT LTD,"£2,986",Air fares,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40953,KUONI BUSINESS TRAVEL INDIA PVT LTD,£789,Air fares,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40953,KUONI BUSINESS TRAVEL INDIA PVT LTD,"£1,657",Air fares,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40961,Foreign & Commonwealth Office,£723,Air fares,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40962,Foreign & Commonwealth Office,"£8,042",Air fares,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40962,Foreign & Commonwealth Office,"£1,539",Air fares,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40968,Jaya Travels & Tours Pvt Ltd. (US$),£753,Air fares,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40962,CROWN RELOCATIONS  UK,"£20,262",Storage & Distribution costs,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40942,BRITISH HIGH COMMISSION,"£1,018",Subscriptions,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40966,BRITISH HIGH COMMISSION,"£1,011",Subscriptions,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40941,HTSPE LTD,"£5,182",Technical and Advisory Services,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40940,Futures Group International India Pvt Ltd,"£100,082",Technical and Advisory Services,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40940,OPTIONS CONSULTANCY SERVICES LIMITED,"£54,367",Technical and Advisory Services,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40940,PRICEWATERHOUSECOOPERS DEVELOPMENT,"£38,045",Technical and Advisory Services,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40940,Coffey International Development (Do not use),"£14,790",Technical and Advisory Services,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40940,PRICEWATERHOUSECOOPERS DEVELOPMENT,"£12,855",Technical and Advisory Services,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40941,PRICEWATERHOUSECOOPERS DEVELOPMENT,"£38,045",Technical and Advisory Services,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40941,Dr Sanaul Mostafa,"£2,478",Technical and Advisory Services,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40941,Foreign & Commonwealth Office,"£1,489",Technical and Advisory Services,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40941,Foreign & Commonwealth Office,"£3,474",Technical and Advisory Services,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40941,Foreign & Commonwealth Office,"£1,648",Technical and Advisory Services,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40941,Foreign & Commonwealth Office,"£4,251",Technical and Advisory Services,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40945,CAPITA HELM CORPORATION LTD,"£256,341",Technical and Advisory Services,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40942,VIDYA BHAWAN SOCIETY,"£5,529",Technical and Advisory Services,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40942,Foreign & Commonwealth Office,"£5,435",Technical and Advisory Services,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40942,Foreign & Commonwealth Office,"£22,584",Technical and Advisory Services,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40945,BANASHREE BANERJEE,"£5,152",Technical and Advisory Services,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40948,BRITISH COUNCIL,"£98,879",Technical and Advisory Services,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40948,BRITISH COUNCIL,"£68,241",Technical and Advisory Services,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40946,MAXWELL STAMP PLC,"£200,000",Technical and Advisory Services,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40946,MAXWELL STAMP PLC,"£413,498",Technical and Advisory Services,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40948,BRITISH COUNCIL,"£181,694",Technical and Advisory Services,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40945,Teraquad Limited,"£9,936",Technical and Advisory Services,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40949,GHK CONSULTING LTD,"£5,095",Technical and Advisory Services,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40947,IMC Worldwide Ltd,"£116,735",Technical and Advisory Services,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40947,IMC Worldwide Ltd,"£724,395",Technical and Advisory Services,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40946,IMC Worldwide Ltd,"£356,792",Technical and Advisory Services,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40948,Absolute Return for Kids (ARK),"£7,316",Technical and Advisory Services,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40946,CARE INTERNATIONAL,"£100,630",Technical and Advisory Services,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40946,CARE INTERNATIONAL,"£67,290",Technical and Advisory Services,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40946,CARE INTERNATIONAL,"£67,290",Technical and Advisory Services,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40946,INFRASTRUCTURE PROFESSIONALS ENTERPRISE,"£27,575",Technical and Advisory Services,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40946,INFRASTRUCTURE PROFESSIONALS ENTERPRISE,"£27,575",Technical and Advisory Services,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40946,INFRASTRUCTURE PROFESSIONALS ENTERPRISE,"£27,575",Technical and Advisory Services,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40946,PRICEWATERHOUSECOOPERS PRIVATE LTD,"£8,442",Technical and Advisory Services,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40947,Re-emerging World Consulting Private Limited,"£30,000",Technical and Advisory Services,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40947,Re-emerging World Consulting Private Limited,£917,Technical and Advisory Services,"Asia, Caribbean and Overseas Territories",
DFID,DFID,40946,OPTIONS CONSULTANCY SERVICES LIMITED,"£70,032",Technical and Advisory Services,"Asia, Caribbean and Overseas Territories",
