Dep,Entity,Date, Expense Type, Expense Area,Supplier  ,Transaction Number, Amount, Invoice Description
DFID,DFID,03/01/2013,Technical and Advisory Services ,Asia  Caribbean and Overseas Territories ,Ginting & Reksodiputro ,201942-101 ,"£56,498.00",
DFID,DFID,03/01/2013,Aid Programme - Trust Funds contributions ,Policy Division ,FAO ,203034-109 ,"£50,000.00",
DFID,DFID,03/01/2013,Aid Programme - Accountable Grant Payments ,Asia  Caribbean and Overseas Territories ,Transparency International Berlin ,200621-101 ,"£47,657.44",
DFID,DFID,03/01/2013,Technical and Advisory Services ,Middle East & North Africa Division (MENAD) ,UPPER QUARTILE ,203620-101 ,"£30,498.59",
DFID,DFID,03/01/2013,Technical and Advisory Services ,Western Asia and Stabilisation Division ,OXFORD POLICY MANAGEMENT ,114153-101 ,"£28,752.67",
DFID,DFID,03/01/2013,Technical and Advisory Services ,West and Southern Africa ,PRICEWATERHOUSECOOPERS ,114178-102 ,"£25,396.13",
DFID,DFID,03/01/2013,Technical and Advisory Services ,Asia  Caribbean and Overseas Territories ,PRICEWATERHOUSECOOPERS ,114178-103 ,"£22,896.75",
DFID,DFID,03/01/2013,Technical and Advisory Services ,Western Asia and Stabilisation Division ,Supplier Name withheld ,201630-103 ,"£22,234.84",
DFID,DFID,03/01/2013,Technical and Advisory Services ,West and Southern Africa ,PRICEWATERHOUSECOOPERS ,104190-108 ,"£21,936.19",
DFID,DFID,03/01/2013,Technical and Advisory Services ,Middle East & North Africa Division (MENAD) ,UPPER QUARTILE ,203620-101 ,"£19,276.80",
DFID,DFID,03/01/2013,Technical and Advisory Services ,Policy Division ,KPMG Development Services ,100045-101 ,"£12,462.96",
DFID,DFID,03/01/2013,Technical and Advisory Services ,Asia  Caribbean and Overseas Territories ,ERNST &  YOUNG PRIVATE LTD ,200599-101 ,"£11,705.17",
DFID,DFID,03/01/2013,Technical and Advisory Services ,East and Central Africa ,HTSPE LTD ,103548-101 ,"£10,476.00",
DFID,DFID,03/01/2013,Technical and Advisory Services ,Western Asia and Stabilisation Division ,RIVER PATH ASSOCIATES ,101624-101 ,"£7,034.20",
DFID,DFID,03/01/2013,Research & Development costs ,Research and Evidence Division ,Atkins Limited ,203240-101 ,"£5,320.00",
DFID,DFID,03/01/2013,Other non-passenger transportation ,Asia  Caribbean and Overseas Territories ,G4S FACILITY SERVICES (INDIA) PVT. L ,201689-105 ,"£3,345.65",
DFID,DFID,03/01/2013,Technical and Advisory Services ,East and Central Africa ,Mekdim Enkossa Ayana ,203016-102 ,"£3,268.01",
DFID,DFID,03/01/2013,Gas ,Human Resources Security & Facilities Division ,CORONA ENERGY ,100106-101 ,"£2,940.00",
DFID,DFID,03/01/2013,Recruitment costs ,Human Resources Security & Facilities Division ,Penna Barkers ,100269-127 ,"£2,467.56",
DFID,DFID,03/01/2013,Recruitment costs ,Human Resources Security & Facilities Division ,Penna Barkers ,100269-127 ,"£2,467.56",
DFID,DFID,03/01/2013,Other Building Costs ,West and Southern Africa ,Eagle Air Conditioning and Engeneering ,101618-101 ,"£2,370.48",
DFID,DFID,03/01/2013,Telephone Usage & services ,East and Central Africa ,Ethio Telecom ,100082-101 ,"£1,859.72",
DFID,DFID,03/01/2013,Gas ,Human Resources Security & Facilities Division ,CORONA ENERGY ,100106-101 ,"£1,836.48",
DFID,DFID,03/01/2013,Contract & Agency Staff ,Finance and Corporate Performance Division ,MICHAEL PAGE INTERNATIONAL RECRUITMENT LIMITED ,100201-101 ,"£1,650.00",
DFID,DFID,03/01/2013,Telephone Usage & services ,East and Central Africa ,Ethio Telecom ,202913-104 ,"£1,621.90",
DFID,DFID,03/01/2013,Contract & Agency Staff ,Finance and Corporate Performance Division ,MICHAEL PAGE INTERNATIONAL RECRUITMENT LIMITED ,100201-101 ,"£1,150.02",
DFID,DFID,03/01/2013,Contract & Agency Staff ,Finance and Corporate Performance Division ,MICHAEL PAGE INTERNATIONAL RECRUITMENT LIMITED ,100201-101 ,"£1,150.02",
DFID,DFID,03/01/2013,Contract & Agency Staff ,Human Resources Security & Facilities Division ,MICHAEL PAGE INTERNATIONAL RECRUITMENT LIMITED ,100266-110 ,"£1,036.64",
DFID,DFID,03/01/2013,Air fares ,Asia  Caribbean and Overseas Territories ,Recipient name withheld ,101621-101 ,"£1,036.02",
DFID,DFID,03/01/2013,Hotels - Accommodation only ,West and Southern Africa ,Recipient name withheld ,101613-101 ,£802.06,
DFID,DFID,03/01/2013,Contract & Agency Staff ,Asia  Caribbean and Overseas Territories ,Hays Specialist Recruitment Ltd ,100084-101 ,£678.18,
DFID,DFID,03/01/2013,Hotels - Accommodation only ,International Finance Division ,Recipient name withheld ,100120-101 ,£621.25,
DFID,DFID,03/01/2013,Contract & Agency Staff ,Asia  Caribbean and Overseas Territories ,Hays Specialist Recruitment Ltd ,100084-101 ,£616.95,
DFID,DFID,03/01/2013,Technical and Advisory Services ,West and Southern Africa ,Ulendo Lodges ,201551-105 ,£572.63,
DFID,DFID,03/01/2013,Air fares ,Asia  Caribbean and Overseas Territories ,Recipient name withheld ,101621-101 ,£571.83,
DFID,DFID,03/01/2013,Hotels - Accommodation only ,Conflict Humanitarian and Security Division ,Recipient name withheld ,202410-101 ,£551.72,
DFID,DFID,04/01/2013,Aid Programme - Core contributions ,International Relations Division ,UNESCO (EURO) ,203794-101 ,"£8,741,368.25",
DFID,DFID,04/01/2013,Aid Programme - Core contributions ,International Relations Division ,UNESCO (USD) ,203794-101 ,"£5,748,970.86",
DFID,DFID,04/01/2013,Technical and Advisory Services ,Policy Division ,IMPERIAL COLLEGE LONDON ,200706-101 ,"£252,544.94",
DFID,DFID,04/01/2013,Technical and Advisory Services ,Western Asia and Stabilisation Division ,Supplier Name withheld ,114286-102 ,"£229,957.94",
DFID,DFID,04/01/2013,Aid Programme - Trust Funds contributions ,International Relations Division ,WFP CONTRIBUTIONS UNIT ,201399-101 ,"£87,373.00",
DFID,DFID,04/01/2013,Other rentals ,Asia  Caribbean and Overseas Territories ,Foreign & Commonwealth Office ,202403-101 ,"£47,375.55",Secure staff accommodation (shared) Global Partnerships Nov 2012
DFID,DFID,04/01/2013,Technical and Advisory Services ,Asia  Caribbean and Overseas Territories ,TURNER & TOWNSEND ,202433-108 ,"£49,534.14",
DFID,DFID,04/01/2013,Aid Programme - Accountable Grant Payments ,Policy Division ,Global Canopy Programme ,201724-114 ,"£45,120.76",
DFID,DFID,04/01/2013,Secure Staff Accommodation ,Asia  Caribbean and Overseas Territories ,Foreign & Commonwealth Office ,101615-101 ,"£74,806.20",36 months Secure Staff Accommodation (Oct 12 - Oct 15) Indonesia
DFID,DFID,04/01/2013,Technical and Advisory Services ,West and Southern Africa ,CAMBRIDGE EDUCATION LTD ,202623-115 ,"£23,973.70",
DFID,DFID,04/01/2013,Cleaning Costs ,Human Resources Security & Facilities Division ,MITIE Technical Facilities Management Ltd ,100187-101 ,"£20,291.78",
DFID,DFID,04/01/2013,Technical and Advisory Services ,Asia  Caribbean and Overseas Territories ,OXFORD CONSULTING PARTNERS ,203282-103 ,"£19,897.92",
DFID,DFID,04/01/2013,Facilities Management payments ,Human Resources Security & Facilities Division ,MITIE Technical Facilities Management Ltd ,100187-101 ,"£16,093.50",
DFID,DFID,04/01/2013,Technical and Advisory Services ,West and Southern Africa ,OXFORD POLICY MANAGEMENT ,202351-105 ,"£15,800.00",
DFID,DFID,04/01/2013,Technical and Advisory Services ,Asia  Caribbean and Overseas Territories ,TURNER & TOWNSEND ,100151-101 ,"£15,015.85",
DFID,DFID,04/01/2013,Technical and Advisory Services ,East and Central Africa ,RSM Tenon Limited ,103548-101 ,"£14,271.24",
DFID,DFID,04/01/2013,other information and communication technologies ,Western Asia and Stabilisation Division ,Supplier Name withheld ,101601-110 ,"£14,060.53",
DFID,DFID,04/01/2013,other information and communication technologies ,Western Asia and Stabilisation Division ,Supplier Name withheld ,101601-110 ,"£14,058.29",
DFID,DFID,04/01/2013,Other shared service charges ,Asia  Caribbean and Overseas Territories ,Foreign & Commonwealth Office ,202403-101 ,"£12,495.13",
DFID,DFID,04/01/2013,Cleaning Costs ,Human Resources Security & Facilities Division ,MITIE Technical Facilities Management Ltd ,100106-101 ,"£11,917.40",
DFID,DFID,04/01/2013,FCO shared service charges ,Western Asia and Stabilisation Division ,Foreign & Commonwealth Office ,101624-101 ,"£11,468.35",
DFID,DFID,04/01/2013,Secure Staff Accommodation ,Joint Trade Policy Division ,Foreign & Commonwealth Office ,201839-101 ,"£9,881.02",
DFID,DFID,04/01/2013,Facilities Management payments ,Human Resources Security & Facilities Division ,MITIE Technical Facilities Management Ltd ,100106-101 ,"£9,451.75",
DFID,DFID,04/01/2013,Repairs  Maint  Alter - Property & Constrct. Services ,Human Resources Security & Facilities Division ,MITIE Technical Facilities Management Ltd ,100106-101 ,"£8,625.37",
DFID,DFID,04/01/2013,Aid Programme - Joint programme contribution ,West and Southern Africa ,Foreign & Commonwealth Office ,202477-106 ,"£8,461.43",
DFID,DFID,04/01/2013,Repairs  Maint  Alter - Property & Constrct. Services ,Human Resources Security & Facilities Division ,MITIE Technical Facilities Management Ltd ,100187-101 ,"£8,155.72",
DFID,DFID,04/01/2013,Secure Staff Accommodation ,Asia  Caribbean and Overseas Territories ,Foreign & Commonwealth Office ,101605-101 ,"£7,981.54",
DFID,DFID,04/01/2013,Other shared service charges ,Asia  Caribbean and Overseas Territories ,Foreign & Commonwealth Office ,202403-101 ,"£7,970.52",
DFID,DFID,04/01/2013,Technical and Advisory Services ,West and Southern Africa ,Foreign & Commonwealth Office ,104229-101 ,"£7,928.26",
DFID,DFID,04/01/2013,Secure Staff Accommodation ,Asia  Caribbean and Overseas Territories ,Foreign & Commonwealth Office ,203038-101 ,"£7,790.73",
DFID,DFID,04/01/2013,Aid Programme - Joint programme contribution ,Asia  Caribbean and Overseas Territories ,Foreign & Commonwealth Office ,203478-101 ,"£7,600.00",
DFID,DFID,04/01/2013,Technical and Advisory Services ,West and Southern Africa ,IOD PARC ,113871-131 ,"£6,640.68",
DFID,DFID,04/01/2013,Aid Programme - Joint programme contribution ,Asia  Caribbean and Overseas Territories ,Foreign & Commonwealth Office ,203478-101 ,"£6,033.68",
DFID,DFID,04/01/2013,Aid Programme - Joint programme contribution ,Asia  Caribbean and Overseas Territories ,Foreign & Commonwealth Office ,203478-101 ,"£6,033.68",
DFID,DFID,04/01/2013,Other shared service charges ,Asia  Caribbean and Overseas Territories ,Foreign & Commonwealth Office ,202403-101 ,"£5,992.87",
DFID,DFID,04/01/2013,Technical and Advisory Services ,West and Southern Africa ,Foreign & Commonwealth Office ,104229-101 ,"£5,694.85",
DFID,DFID,04/01/2013,other information and communication technologies ,Western Asia and Stabilisation Division ,Supplier Name withheld ,100011-110 ,"£4,940.19",
DFID,DFID,04/01/2013,other information and communication technologies ,Western Asia and Stabilisation Division ,Supplier Name withheld ,100011-110 ,"£4,939.40",
DFID,DFID,04/01/2013,Furniture & Fittings ,Middle East & North Africa Division (MENAD) ,Foreign & Commonwealth Office ,100303-101 ,"£4,804.16",
DFID,DFID,04/01/2013,Conferences  Seminars & Meeting/Event Resource ,West and Southern Africa ,Elmina Beach Resorts ,201629-103 ,"£4,727.30",
DFID,DFID,04/01/2013,Technical and Advisory Services ,East and Central Africa ,Crown Agents Bank ,202692-101 ,"£4,605.00",
DFID,DFID,04/01/2013,Technical and Advisory Services ,West and Southern Africa ,Foreign & Commonwealth Office ,104229-101 ,"£4,483.44",
DFID,DFID,04/01/2013,Technical and Advisory Services ,Human Resources Security & Facilities Division ,MidlandHR ,100272-101 ,"£4,350.00",
DFID,DFID,04/01/2013,Secure Staff Accommodation ,Asia  Caribbean and Overseas Territories ,Foreign & Commonwealth Office ,101615-101 ,"£4,143.11",
DFID,DFID,04/01/2013,Secure Staff Accommodation ,International Relations Division ,Foreign & Commonwealth Office ,100262-101 ,"£3,714.49",
DFID,DFID,04/01/2013,Technical and Advisory Services ,West and Southern Africa ,Foreign & Commonwealth Office ,104229-101 ,"£3,486.01",
DFID,DFID,04/01/2013,Aid Programme - Joint programme contribution ,Asia  Caribbean and Overseas Territories ,Foreign & Commonwealth Office ,203478-101 ,"£3,116.62",
DFID,DFID,04/01/2013,Books & Publications ,East and Central Africa ,Foreign & Commonwealth Office ,101633-101 ,"£2,964.20",
DFID,DFID,04/01/2013,Computer software maintenance ,Business Solutions Division Level ,NORTHGATE HR LIMITED ,200002-105 ,"£2,780.80",
DFID,DFID,04/01/2013,Secure Staff Accommodation ,International Relations Division ,Foreign & Commonwealth Office ,100236-101 ,"£2,747.24",
DFID,DFID,04/01/2013,Training - Course Fees ,Asia  Caribbean and Overseas Territories ,Foreign & Commonwealth Office ,202403-101 ,"£2,733.58",
DFID,DFID,04/01/2013,Secure Staff Accommodation ,East and Central Africa ,Foreign & Commonwealth Office ,101616-101 ,"£2,352.99",
DFID,DFID,04/01/2013,Secure Staff Accommodation ,East and Central Africa ,Foreign & Commonwealth Office ,100218-101 ,"£2,352.99",
DFID,DFID,04/01/2013,Computer hardware maintenance ,Business Solutions Division Level ,Rufus Leonard Ltd ,200002-196 ,"£2,316.00",
DFID,DFID,04/01/2013,Vehicle Petrol & Oil ,East and Central Africa ,British Embassy ,100082-101 ,"£2,241.71",
DFID,DFID,04/01/2013,FCO shared service charges ,International Relations Division ,Foreign & Commonwealth Office ,201711-101 ,"£2,124.19",
DFID,DFID,04/01/2013,Secure Staff Accommodation ,East and Central Africa ,Foreign & Commonwealth Office ,200352-101 ,"£2,105.31",
DFID,DFID,04/01/2013,Secure Staff Accommodation ,Middle East & North Africa Division (MENAD) ,Foreign & Commonwealth Office ,202887-101 ,"£1,870.67",
DFID,DFID,04/01/2013,Aid Programme - Joint programme contribution ,Asia  Caribbean and Overseas Territories ,Foreign & Commonwealth Office ,203478-101 ,"£1,801.33",
DFID,DFID,04/01/2013,Technical and Advisory Services ,West and Southern Africa ,Foreign & Commonwealth Office ,104229-101 ,"£1,615.71",
DFID,DFID,04/01/2013,Contract & Agency Staff ,Policy Division ,Hays Specialist Recruitment Ltd ,100191-101 ,"£1,531.01",
DFID,DFID,04/01/2013,Furniture & Fittings ,East and Central Africa ,Foreign & Commonwealth Office ,101630-101 ,"£1,485.67",
DFID,DFID,04/01/2013,Technical and Advisory Services ,Asia  Caribbean and Overseas Territories ,Foreign & Commonwealth Office ,201942-101 ,"£1,441.98",
DFID,DFID,04/01/2013,Mobile telephones & accessories ,Middle East & North Africa Division (MENAD) ,Foreign & Commonwealth Office ,201705-101 ,"£1,436.99",
DFID,DFID,04/01/2013,Technical and Advisory Services ,Asia  Caribbean and Overseas Territories ,Foreign & Commonwealth Office ,201942-101 ,"£1,357.54",
DFID,DFID,04/01/2013,Hotels - Accommodation only ,Asia  Caribbean and Overseas Territories ,Foreign & Commonwealth Office ,201942-101 ,"£1,315.71",
DFID,DFID,04/01/2013,Vehicle Petrol & Oil ,East and Central Africa ,British Embassy ,100082-101 ,"£1,313.78",
DFID,DFID,04/01/2013,Aid Programme - Joint programme contribution ,Asia  Caribbean and Overseas Territories ,Foreign & Commonwealth Office ,201674-101 ,"£1,280.59",
DFID,DFID,04/01/2013,Technical and Advisory Services ,Research and Evidence Division ,Martin Prowse ,201014-102 ,"£1,245.00",
DFID,DFID,04/01/2013,Hotels - Accommodation only ,West and Southern Africa ,Supplier Name withheld ,104223-101 ,"£1,232.27",
DFID,DFID,04/01/2013,Training - Travel & Subsistence ,Asia  Caribbean and Overseas Territories ,Foreign & Commonwealth Office ,101605-101 ,"£1,214.07",
DFID,DFID,04/01/2013,Contract & Agency Staff ,Finance and Corporate Performance Division ,Search Consultancy Ltd ,100201-101 ,"£1,200.00",
DFID,DFID,04/01/2013,Air fares ,Asia  Caribbean and Overseas Territories ,Foreign & Commonwealth Office ,201942-101 ,"£1,180.92",
DFID,DFID,04/01/2013,Aid Programme - Joint programme contribution ,West and Southern Africa ,Foreign & Commonwealth Office ,202477-106 ,"£1,166.40",
DFID,DFID,04/01/2013,Contract & Agency Staff ,Finance and Corporate Performance Division ,Hays Specialist Recruitment Ltd ,100201-101 ,"£1,152.00",
DFID,DFID,04/01/2013,Conferences  Seminars & Meeting/Event Resource ,Western Asia and Stabilisation Division ,Foreign & Commonwealth Office ,203350-101 ,"£1,134.88",
DFID,DFID,04/01/2013,Repairs  Maint  Alter - Property & Constrct. Services ,East and Central Africa ,Foreign & Commonwealth Office ,100227-101 ,"£1,113.66",
DFID,DFID,04/01/2013,Books & Publications ,East and Central Africa ,Foreign & Commonwealth Office ,100227-101 ,£988.07,
DFID,DFID,04/01/2013,Furniture & Fittings ,Western Asia and Stabilisation Division ,Foreign & Commonwealth Office ,203336-101 ,£942.59,
DFID,DFID,04/01/2013,Travel - Subsistence ,Top Management Group ,Foreign & Commonwealth Office ,100232-102 ,£914.76,
DFID,DFID,04/01/2013,Training - Course Fees ,Asia  Caribbean and Overseas Territories ,Foreign & Commonwealth Office ,202403-101 ,£891.26,
DFID,DFID,04/01/2013,Recruitment costs ,East and Central Africa ,Harmony  Hotel ,202891-107 ,£850.02,
DFID,DFID,04/01/2013,Contract & Agency Staff ,Asia  Caribbean and Overseas Territories ,Hays Specialist Recruitment Ltd ,100084-101 ,£790.02,
DFID,DFID,04/01/2013,Other Admin Costs ,Middle East & North Africa Division (MENAD) ,Foreign & Commonwealth Office ,100303-101 ,£784.84,
DFID,DFID,04/01/2013,Contract & Agency Staff ,Finance and Corporate Performance Division ,Hays Specialist Recruitment Ltd ,100201-101 ,£777.00,
DFID,DFID,04/01/2013,FCO shared service charges ,International Relations Division ,Foreign & Commonwealth Office ,201711-101 ,£761.23,
DFID,DFID,04/01/2013,Technical and Advisory Services ,Research and Evidence Division ,CONMARA PARTNERSHIP LTD ,201014-102 ,£750.00,
DFID,DFID,04/01/2013,Data Network - land lines ,Business Solutions Division Level ,Foreign & Commonwealth Office ,200002-121 ,£698.83,
DFID,DFID,04/01/2013,Training - Travel & Subsistence ,Asia  Caribbean and Overseas Territories ,Foreign & Commonwealth Office ,101605-101 ,£694.02,
DFID,DFID,04/01/2013,Repairs  Maint  Alter - Removal & waste disposal services ,East and Central Africa ,Foreign & Commonwealth Office ,101630-101 ,£684.57,
DFID,DFID,04/01/2013,Aid Programme - Joint programme contribution ,Asia  Caribbean and Overseas Territories ,Foreign & Commonwealth Office ,203478-101 ,£654.97,
DFID,DFID,04/01/2013,Aid Programme - Joint programme contribution ,Asia  Caribbean and Overseas Territories ,Foreign & Commonwealth Office ,203478-101 ,£646.13,
DFID,DFID,04/01/2013,Technical and Advisory Services ,Human Resources Security & Facilities Division ,MITIE Technical Facilities Management Ltd ,100187-101 ,£639.05,
DFID,DFID,04/01/2013,Training - Travel & Subsistence ,Asia  Caribbean and Overseas Territories ,Foreign & Commonwealth Office ,100033-101 ,£629.17,
DFID,DFID,04/01/2013,Contract & Agency Staff ,Asia  Caribbean and Overseas Territories ,Hays Specialist Recruitment Ltd ,100084-101 ,£603.96,
DFID,DFID,04/01/2013,Aid Programme - Joint programme contribution ,Asia  Caribbean and Overseas Territories ,Foreign & Commonwealth Office ,203478-101 ,£594.22,
DFID,DFID,04/01/2013,Technical and Advisory Services ,Asia  Caribbean and Overseas Territories ,Foreign & Commonwealth Office ,200581-111 ,£592.79,
DFID,DFID,04/01/2013,Other rentals ,East and Central Africa ,Adika Tour and Travel PLC ,202913-104 ,£586.05,
DFID,DFID,04/01/2013,Vehicle Repairs & Maintenance ,Western Asia and Stabilisation Division ,Foreign & Commonwealth Office ,201699-101 ,£572.98,
DFID,DFID,04/01/2013,Air fares ,Middle East & North Africa Division (MENAD) ,Foreign & Commonwealth Office ,201705-101 ,£559.96,
DFID,DFID,04/01/2013,Air fares ,Middle East & North Africa Division (MENAD) ,Foreign & Commonwealth Office ,100303-101 ,£558.08,
DFID,DFID,04/01/2013,Aid Programme - Joint programme contribution ,Asia  Caribbean and Overseas Territories ,Foreign & Commonwealth Office ,203478-101 ,£551.56,
DFID,DFID,04/01/2013,Data network- remote working ,Business Solutions Division Level ,Foreign & Commonwealth Office ,200002-121 ,£530.83,
DFID,DFID,04/01/2013,Air fares ,Research and Evidence Division ,Foreign & Commonwealth Office ,202392-109 ,£530.45,
DFID,DFID,04/01/2013,Vehicle Repairs & Maintenance ,Middle East & North Africa Division (MENAD) ,Foreign & Commonwealth Office ,100303-101 ,£522.90,
DFID,DFID,04/01/2013,Air fares ,Human Resources Security & Facilities Division ,Claudia Nicole Briones ,100269-128 ,£510.78,
DFID,DFID,07/01/2013,Encashment of Promissory Notes ,International Finance Division ,International Bank for Reconstruction and Development,200018-103 ,"£26,100,000.00",
DFID,DFID,07/01/2013,Aid Programme - Humanitarian Material Relief Assistance and Services ,Western Asia and Stabilisation Division ,International Organization for Migration ,202930-102 ,"£2,000,000.00",
DFID,DFID,07/01/2013,Aid Programme - Core contributions ,Conflict Humanitarian and Security Division ,The Centre for Humanitarian Dialogue ,202602-101 ,"£800,000.00",
DFID,DFID,07/01/2013,Technical and Advisory Services ,East and Central Africa ,KPMG EAST AFRICA LTD ,200498-101 ,"£673,157.00",
DFID,DFID,07/01/2013,Aid Programme - Accountable Grant Payments ,Research and Evidence Division ,OVERSEAS DEVELOPMENT INSTITUTE ,203210-101 ,"£665,007.31",
DFID,DFID,07/01/2013,Technical and Advisory Services ,Western Asia and Stabilisation Division ,Supplier Name withheld ,114488-101 ,"£322,906.00",
DFID,DFID,07/01/2013,Technical and Advisory Services ,Western Asia and Stabilisation Division ,ADAM SMITH INTERNATIONAL  LTD ,202328-102 ,"£293,176.72",
DFID,DFID,07/01/2013,Technical and Advisory Services ,Asia  Caribbean and Overseas Territories ,DELOITTE TOUCHE TOHAMATSU INDIA PRIVATE LTD (DTTIPL) ,108003-101 ,"£244,702.00",
DFID,DFID,07/01/2013,Hardware - desktop PCs ,Business Solutions Division Level ,XMA Limited ,200003-154 ,"£169,478.40",
DFID,DFID,07/01/2013,Technical and Advisory Services ,Asia  Caribbean and Overseas Territories ,DELOITTE TOUCHE TOHAMATSU INDIA PRIVATE LTD (DTTIPL) ,108003-101 ,"£104,030.00",
DFID,DFID,07/01/2013,Computer Software Licenses ,Business Solutions Division Level ,TRUSTMARQUE SOLUTIONS LTD ,200002-102 ,"£61,203.00",Annual Software License (inc support and maintenance) for tuning/lifecycle management and partitioning software
DFID,DFID,07/01/2013,Aid Programme - Voluntary contributions ,East and Central Africa ,UNDP CONTRIBUTIONS GBP ,201295-101 ,"£50,000.00",
DFID,DFID,07/01/2013,Aid Programme - Accountable Grant Payments ,Research and Evidence Division ,The INTASAVE Partnership ,200529-103 ,"£50,000.00",
DFID,DFID,07/01/2013,Data Network - land lines ,Business Solutions Division Level ,Level 3 ,200002-117 ,"£61,453.16",Quarterly UK telephone and communication costs (Oct-Dec 2012) 
DFID,DFID,07/01/2013,Technical and Advisory Services ,Policy Division ,PRICEWATERHOUSECOOPERS ,202648-101 ,"£43,098.60",
DFID,DFID,07/01/2013,Technical and Advisory Services ,Western Asia and Stabilisation Division ,PRICEWATERHOUSECOOPERS ,202911-101 ,"£41,977.67",
DFID,DFID,07/01/2013,Technical and Advisory Services ,Asia  Caribbean and Overseas Territories ,PRICEWATERHOUSECOOPERS DEVELOPMENT ,107949-101 ,"£38,715.00",
DFID,DFID,07/01/2013,Technical and Advisory Services ,Asia  Caribbean and Overseas Territories ,PRICEWATERHOUSECOOPERS DEVELOPMENT ,107949-101 ,"£38,168.00",
DFID,DFID,07/01/2013,Other Admin Costs ,Middle East & North Africa Division (MENAD) ,Cabinet Office RM Shared Services ,100296-101 ,"£89,546.00",DFID contribution to the Iraq Inquiry July - September 2012 
DFID,DFID,07/01/2013,Technical and Advisory Services ,East and Central Africa ,PRICEWATERHOUSECOOPERS ,200250-111 ,"£34,540.01",
DFID,DFID,07/01/2013,Hardware -Laptop PCs ,Business Solutions Division Level ,XMA Limited ,200003-154 ,"£26,928.00",
DFID,DFID,07/01/2013,Technical and Advisory Services ,Western Asia and Stabilisation Division ,Supplier Name withheld ,201000-102 ,"£25,012.37",
DFID,DFID,07/01/2013,Technical and Advisory Services ,East and Central Africa ,PRICEWATERHOUSECOOPERS ,200250-111 ,"£24,917.60",
DFID,DFID,07/01/2013,Technical and Advisory Services ,Asia  Caribbean and Overseas Territories ,Foreign & Commonwealth Office ,202832-101 ,"£19,540.62",
DFID,DFID,07/01/2013,Research & Development costs ,Research and Evidence Division , Overseas Development Institute ,112079-101 ,"£17,949.58",
DFID,DFID,07/01/2013,Computer hardware maintenance ,Business Solutions Division Level ,ATTENDA LIMITED ,200002-196 ,"£17,376.48",
DFID,DFID,07/01/2013,Technical and Advisory Services ,East and Central Africa ,PUBLIC ADMINISTRATION INTERN ,200103-101 ,"£16,660.68",
DFID,DFID,07/01/2013,Technical and Advisory Services ,East and Central Africa ,RSM Tenon Limited ,103548-101 ,"£13,962.83",
DFID,DFID,07/01/2013,Secure Staff Accommodation ,Asia  Caribbean and Overseas Territories ,Foreign & Commonwealth Office ,100033-101 ,"£13,219.43",
DFID,DFID,07/01/2013,Technical and Advisory Services ,Asia  Caribbean and Overseas Territories ,PRICEWATERHOUSECOOPERS DEVELOPMENT ,107949-101 ,"£13,082.00",
DFID,DFID,07/01/2013,Secure Staff Accommodation ,Conflict Humanitarian and Security Division ,Foreign & Commonwealth Office ,202410-101 ,"£11,998.39",
