Table 1  Waste Collected,Jan-Mar 2010,Apr-Jun 2010,Jul-Sep 2010,Oct-Dec 2010,Jan-Mar 2011,Apr-Jun 2011,Jul-Sep 2011,Oct-Dec 2011,Jan-Mar 2012,Apr-Jun 2012,Jul-Sep 2012,Oct-Dec 2012,Jan-Mar 2013,Apr-Jun 2013,Jul-Sep 2013,Oct-Dec 2013,Jan-Mar 2014,Apr-Jun 2014,Jul-Sep 2014,Oct-Dec 2014
Sent for dry (recycling  reuse),"1,418","1,430","1,434","1,275","1,482","1,406","1,405","1,325","1,451","1,423","1,433","1,346","1,398","1,455","1,450","1,372","1,473","1,468","1,475","1,383"
of which glass ,291,279,284,252,292,275,270,259,288,280,273,258,283,274,283,263,286,279,282,269
of which paper and card ,643,613,626,615,666,603,620,620,643,610,618,627,614,580,588,611,623,581,588,600
of which metals ,55,54,53,50,58,53,51,51,56,54,53,52,55,54,55,54,58,61,62,61
of which plastic ,66,69,75,69,80,80,79,80,84,86,90,88,91,95,103,99,104,110,111,105
of which textiles ,36,28,30,24,33,27,29,24,31,27,29,25,31,28,29,26,32,28,30,27
of which WEEE & other scrap metals,135,151,142,101,134,133,125,105,118,123,127,99,103,134,125,101,116,135,130,106
of which other materials,192,236,224,164,220,234,231,186,230,243,244,198,220,288,266,218,254,273,273,215
Table 4  Waste disposal,Jan-Mar 2010,Apr-Jun 2010,Jul-Sep 2010,Oct-Dec 2010,Jan-Mar 2011,Apr-Jun 2011,Jul-Sep 2011,Oct-Dec 2011,Jan-Mar 2012,Apr-Jun 2012,Jul-Sep 2012,Oct-Dec 2012,Jan-Mar 2013,Apr-Jun 2013,Jul-Sep 2013,Oct-Dec 2013,Jan-Mar 2014,Apr-Jun 2014,Jul-Sep 2014,Oct-Dec 2014
Disposal rate (based on total collected waste),59.30%,52.30%,52.30%,55.10%,54.90%,48.90%,48.20%,50.50%,52.10%,45.80%,44.20%,48.50%,50.30%,43.50%,43.40%,45.60%,47.10%,40.50%,41.20%,45.60%
Recovery rate,6.40%,6.70%,7.60%,8.40%,8.40%,9.60%,11.70%,13.90%,13.20%,14.70%,15.60%,17.10%,17.90%,17.90%,18.00%,20.40%,20.90%,21.30%,22.00%,21.40%
total disposal,"3,040","3,173","3,083","2,780","2,957","2,875","2,790","2,589","2,651","2,653","2,651","2,461","2,393","2,551","2,513","2,350","2,418","2,490","2,437","2,356"
of which landfill,"2,517","2,627","2,549","2,217","2,392","2,303","2,157","1,904","1,992","1,986","1,967","1,730","1,734","1,896","1,806","1,550","1,584","1,585","1,470","1,313"
of which incineration,523,546,535,563,565,572,633,685,659,667,684,731,660,654,708,800,834,905,966,"1,044"
 IBA/IBA metals  CLO and RDF recovered,175,189,215,207,223,259,303,343,384,377,411,449,458,477,479,519,561,559,595,549
differences between input and output of processing and sorting,34,39,38,46,49,46,66,74,18,79,79,59,64,78,73,85,79,116,92,92
Table 5  LA managed waste,Jan-Mar 2010,Apr-Jun 2010,Jul-Sep 2010,Oct-Dec 2010,Jan-Mar 2011,Apr-Jun 2011,Jul-Sep 2011,Oct-Dec 2011,Jan-Mar 2012,Apr-Jun 2012,Jul-Sep 2012,Oct-Dec 2012,Jan-Mar 2013,Apr-Jun 2013,Jul-Sep 2013,Oct-Dec 2013,Jan-Mar 2014,Apr-Jun 2014,Jul-Sep 2014,Oct-Dec 2014
Total LA collected waste,"6,042","7,135","6,880","5,865","6,319","6,857","6,716","5,954","5,890","6,681","6,893","5,902","5,509","6,806","6,716","6,008","5,988","7,094","6,833","6,024"
Percentage that is waste from household,84.90%,85.00%,85.70%,86.00%,85.20%,85.70%,86.20%,86.10%,86.50%,86.70%,86.90%,86.00%,86.30%,86.10%,86.30%,85.80%,85.70%,86.70%,86.50%,85.80%
total disposal by LAs,"3,654","3,827","3,690","3,306","3,556","3,437","3,316","3,060","3,114","3,133","3,140","2,942","2,825","3,035","2,994","2,830","2,890","2,950","2,891","2,827"
of which landfill,"3,011","3,153","3,033","2,614","2,860","2,728","2,539","2,220","2,316","2,319","2,304","2,041","2,030","2,243","2,125","1,840","1,881","1,867","1,726","1,547"
of which incineration,643,674,657,692,696,709,777,840,798,814,836,901,795,792,870,990,"1,009","1,083","1,165","1,280"
recycling and reuse,"2,115","3,020","2,867","2,237","2,422","3,040","2,941","2,377","2,291","2,992","3,152","2,330","2,041","3,081","3,043","2,427","2,315","3,316","3,106","2,393"
 IBA/IBA metals  CLO and RDF recovered,230,242,274,266,283,324,380,425,465,457,503,558,564,594,587,645,681,678,722,681
