Newcastle City Council Invoices over £250 paid in September 2013,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Directorate,Service Area,Group Description,Paid Date,Supplier Name,Internal Ref,Cap/Rev,Cost Centre,Cost Centre Name,Total,,,,,,,,,
Environment & Regeneration,NS: District Heating       ,Supplies & Services,24/09/2013,ADC ELECTRICAL CO LTD(F),5998928,Revenue,1KR8E,Build Surv Team,417.48 ,,,,,,,,,
Children's Services,Childrens Services Support       ,Third Party Payments,26/09/2013,ADOPTION UK,6005350,Revenue,1MF12,Adoption Interagency,580.13 ,,,,,,,,,
Children's Services,Childrens Services Support       ,Third Party Payments,25/09/2013,ADOPTION UK,6005996,Revenue,1MF12,Adoption Interagency,445.00 ,,,,,,,,,
Children's Services,Childrens Services Support       ,Third Party Payments,25/09/2013,ADOPTION UK,6006056,Revenue,1MF12,Adoption Interagency,445.00 ,,,,,,,,,
Children's Services,Childrens Services Support       ,Third Party Payments,25/09/2013,ADOPTION UK,6006119,Revenue,1MF12,Adoption Interagency,445.00 ,,,,,,,,,
Children's Services,Childrens Services Support       ,Third Party Payments,25/09/2013,ADOPTION UK,6006128,Revenue,1MF12,Adoption Interagency,435.00 ,,,,,,,,,
Environment & Regeneration,NS: Asset Man              ,Capital Expenditure,26/09/2013,ADT FIRE & SECURITY,5995238,Capital,2FN02,Mansion House,"1,547.01 ",,,,,,,,,
Environment & Regeneration,NS: Asset Man              ,Capital Expenditure,26/09/2013,ADT FIRE & SECURITY,5995239,Capital,2FN02,Mansion House,"4,402.30 ",,,,,,,,,
Environment & Regeneration,NS: Asset Man              ,Capital Expenditure,26/09/2013,ADT FIRE & SECURITY,5995240,Capital,2FN02,Mansion House,740.57 ,,,,,,,,,
Environment & Regeneration,NS: Asset Man              ,Premises,27/09/2013,ADT FIRE & SECURITY,6002538,Revenue,1EEK5,Westerhope Childrens Centre,583.90 ,,,,,,,,,
HRA,HRA Planning QS            ,Capital Expenditure,04/09/2013,ADT FIRE & SECURITY,5991662,Capital,2HE01,Capital Citywide,424.92 ,,,,,,,,,
HRA,HRA Planning QS            ,Capital Expenditure,13/09/2013,ADT FIRE & SECURITY,5999546,Capital,2HE01,Capital Citywide,"1,191.62 ",,,,,,,,,
HRA,HRA Planning QS            ,Capital Expenditure,02/09/2013,ADT FIRE & SECURITY,5988968,Capital,2HE01,Capital Citywide,463.10 ,,,,,,,,,
Adult and Culture,AS - Westgate AE           ,Supplies & Services,06/09/2013,ADULT ENTERPRISE,5992936,Revenue,1EA15,Newcastle City Learning,"4,000.00 ",,,,,,,,,
Environment & Regeneration,Newcastle Warm Zone                    ,Third Party Payments,09/09/2013,ADVANCE INSTALLATIONS LTD,5993904,Revenue,3KS04,Newcastle Warm Zone,819.33 ,,,,,,,,,
Chief Executive's,CD - Exchequer Payroll Prep      ,Supplies & Services,11/09/2013,ADVANCED BUSINESS SOFTWARE & SOLUTIONS L,5975821,Revenue,1CF00,Payroll,"1,633.97 ",,,,,,,,,
Children's Services,Carefirst - Independant Foster payments,Third Party Payments,25/09/2013,ADVANCED CHILDCARE GROUP,6007955,Revenue,1MC02,Ind Sector Placements,"27,200.00 ",,,,,,,,,
Children's Services,Carefirst - Independant Foster payments,Third Party Payments,25/09/2013,ADVANCED CHILDCARE GROUP,6007956,Revenue,1MC02,Ind Sector Placements,"15,000.00 ",,,,,,,,,
Children's Services,Carefirst - Independant Foster payments,Third Party Payments,25/09/2013,ADVANCED CHILDCARE GROUP,6007957,Revenue,1MC12,Section 31A High Care Needs,"13,200.00 ",,,,,,,,,
Children's Services,Carefirst - Independant Foster payments,Third Party Payments,25/09/2013,ADVANCED CHILDCARE GROUP,6007958,Revenue,1MC02,Ind Sector Placements,"13,200.00 ",,,,,,,,,
Children's Services,Carefirst - Independant Foster payments,Third Party Payments,05/09/2013,ADVANCED CHILDCARE GROUP,5992299,Revenue,1MC02,Ind Sector Placements,"27,200.00 ",,,,,,,,,
Children's Services,Carefirst - Independant Foster payments,Third Party Payments,05/09/2013,ADVANCED CHILDCARE GROUP,5992300,Revenue,1MC02,Ind Sector Placements,"15,800.00 ",,,,,,,,,
Children's Services,Carefirst - Independant Foster payments,Third Party Payments,05/09/2013,ADVANCED CHILDCARE GROUP,5992301,Revenue,1MC02,Ind Sector Placements,"15,000.00 ",,,,,,,,,
Children's Services,Carefirst - Independant Foster payments,Third Party Payments,05/09/2013,ADVANCED CHILDCARE GROUP,5992302,Revenue,1MC12,Section 31A High Care Needs,"13,200.00 ",,,,,,,,,
Children's Services,Carefirst - Independant Foster payments,Third Party Payments,05/09/2013,ADVANCED CHILDCARE GROUP,5992303,Revenue,1MC02,Ind Sector Placements,"13,200.00 ",,,,,,,,,
Children's Services,Educ School Planning    ,Third Party Payments,11/09/2013,ADVANCED CHILDCARE GROUP,5997792,Revenue,1MC22,IND Sector Foster Carer Costs,"14,614.33 ",,,,,,,,,
Children's Services,Educ School Planning    ,Third Party Payments,11/09/2013,ADVANCED CHILDCARE GROUP,5997793,Revenue,1MC22,IND Sector Foster Carer Costs,"14,614.33 ",,,,,,,,,
Children's Services,Educ School Planning    ,Third Party Payments,11/09/2013,ADVANCED CHILDCARE GROUP,5997794,Revenue,1MC22,IND Sector Foster Carer Costs,"15,500.00 ",,,,,,,,,
Children's Services,Educ School Planning       ,Third Party Payments,09/09/2013,ADVANCED CHILDCARE GROUP,5979333,Revenue,1MC22,IND Sector Foster Carer Costs,"14,614.33 ",,,,,,,,,
Children's Services,Educ School Planning       ,Third Party Payments,09/09/2013,ADVANCED CHILDCARE GROUP,5979334,Revenue,1MC22,IND Sector Foster Carer Costs,"14,614.33 ",,,,,,,,,
Children's Services,Educ School Planning       ,Third Party Payments,09/09/2013,ADVANCED CHILDCARE GROUP,5979335,Revenue,1MC22,IND Sector Foster Carer Costs,"15,500.00 ",,,,,,,,,
Adult and Culture,Social Services - Social Care Payments ,Third Party Payments,27/09/2013,ADVANCED CLEANING & MAINTENANCE LTD,6008946,Revenue,1MM50,Ind Home - Spot Pur MH,455.00 ,,,,,,,,,
Adult and Culture,Social Services - Social Care Payments ,Third Party Payments,27/09/2013,ADVANCED CLEANING & MAINTENANCE LTD,6010028,Revenue,1MM50,Ind Home - Spot Pur MH,505.00 ,,,,,,,,,
Chief Executive's,CD - Legal Services              ,Supplies & Services,26/09/2013,ADVANCED LEGAL LTD,6002997,Revenue,1FA51,Coroner,900.00 ,,,,,,,,,
Environment & Regeneration,Fleet Management System                ,Supplies & Services,10/09/2013,AEBI SCHMIDT UK LTD,5984070,Revenue,1KESJ,Hort Workshops Routine Repair,284.92 ,,,,,,,,,
Environment & Regeneration,Fleet Management System                ,Supplies & Services,18/09/2013,AEBI SCHMIDT UK LTD,5993245,Revenue,3KES1,Fleetmaster Stores Account,257.75 ,,,,,,,,,
Environment & Regeneration,Fleet Management System                ,Supplies & Services,09/09/2013,AEBI SCHMIDT UK LTD,5979630,Revenue,3KES1,Fleetmaster Stores Account,516.77 ,,,,,,,,,
Environment & Regeneration,Fleet Management System                ,Supplies & Services,26/09/2013,AEBI SCHMIDT UK LTD,6000764,Revenue,3KES1,Fleetmaster Stores Account,720.38 ,,,,,,,,,
Environment & Regeneration,Fleet Management System                ,Supplies & Services,19/09/2013,AEBI SCHMIDT UK LTD,5988457,Revenue,1KESJ,Hort Workshops Routine Repair,284.92 ,,,,,,,,,
Environment & Regeneration,Fleet Management System                ,Supplies & Services,13/09/2013,AEBI SCHMIDT UK LTD,5988456,Revenue,3KES1,Fleetmaster Stores Account,701.48 ,,,,,,,,,
Environment & Regeneration,Fleet Management System                ,Supplies & Services,05/09/2013,AEBI SCHMIDT UK LTD,5979629,Revenue,3KES1,Fleetmaster Stores Account,281.10 ,,,,,,,,,
Chief Executive's,Council Tax & NNDR                     ,Supplies & Services,23/09/2013,AFFINITY SUTTON GROUP LIMITED,6004839,Revenue,3RC06,Council Tax Refunds Suspense,624.75 ,,,,,,,,,
Chief Executive's,Council Tax & NNDR                     ,Supplies & Services,12/09/2013,AFFINITY SUTTON GROUP LIMITED,5999094,Revenue,3RC06,Council Tax Refunds Suspense,659.60 ,,,,,,,,,
Chief Executive's,"CD - Policy, Strat & Comms NOR         ",Supplies & Services,18/09/2013,AFRICAN COMMUNITY ADVICE NORTH EAST,6002069,Revenue,1KN60,Byker Ward,950.00 ,,,,,,,,,
Environment & Regeneration,Highways                               ,Supplies & Services,06/09/2013,AGD SYSTEMS LTD,5993010,Revenue,1KELA,Traffic Sig General O/H,753.00 ,,,,,,,,,
Environment & Regeneration,Highways                               ,Supplies & Services,25/09/2013,AGD SYSTEMS LTD,6007885,Revenue,1KELA,Traffic Sig General O/H,30.00 ,,,,,,,,,
Environment & Regeneration,Highways                               ,Supplies & Services,25/09/2013,AGD SYSTEMS LTD,6007885,Revenue,3KIMF,Highways Stock Account,"7,360.00 ",,,,,,,,,
Environment & Regeneration,Highways                               ,Supplies & Services,25/09/2013,AGD SYSTEMS LTD,6007886,Revenue,1KELA,Traffic Sig General O/H,135.00 ,,,,,,,,,
Environment & Regeneration,Highways                               ,Supplies & Services,25/09/2013,AGD SYSTEMS LTD,6007886,Revenue,3KIMF,Highways Stock Account,"16,740.00 ",,,,,,,,,
Environment & Regeneration,Highways                               ,Supplies & Services,25/09/2013,AGD SYSTEMS LTD,6007887,Revenue,1KELA,Traffic Sig General O/H,30.00 ,,,,,,,,,
Environment & Regeneration,Highways                               ,Supplies & Services,25/09/2013,AGD SYSTEMS LTD,6007887,Revenue,3KIMF,Highways Stock Account,"3,040.00 ",,,,,,,,,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,23/09/2013,AGE UK NEWCASTLE,6004996,Revenue,1MH50,Ind Home Spot Pur PD,"6,366.78 ",,,,,,,,,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,23/09/2013,AGE UK NEWCASTLE,6005204,Revenue,1MH50,Ind Home Spot Pur PD,"5,165.88 ",,,,,,,,,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,09/09/2013,AGE UK NEWCASTLE,5993754,Revenue,1MH50,Ind Home Spot Pur PD,"1,460.48 ",,,,,,,,,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,03/09/2013,AGE UK NEWCASTLE,5990172,Revenue,1MH50,Ind Home Spot Pur PD,"5,408.34 ",,,,,,,,,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,06/09/2013,AGE UK NEWCASTLE,5992951,Revenue,1MH50,Ind Home Spot Pur PD,"1,780.00 ",,,,,,,,,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,06/09/2013,AGE UK NEWCASTLE,5992996,Revenue,1MH50,Ind Home Spot Pur PD,"1,369.20 ",,,,,,,,,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,06/09/2013,AGE UK NEWCASTLE,5993133,Revenue,1MH50,Ind Home Spot Pur PD,"1,295.06 ",,,,,,,,,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,19/09/2013,AGE UK NEWCASTLE,6002689,Revenue,1MH50,Ind Home Spot Pur PD,"1,506.12 ",,,,,,,,,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,19/09/2013,AGE UK NEWCASTLE,6002695,Revenue,1MG50,Ind Home Spot Pur Elderly,593.32 ,,,,,,,,,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,19/09/2013,AGE UK NEWCASTLE,6002752,Revenue,1MG50,Ind Home Spot Pur Elderly,444.99 ,,,,,,,,,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,19/09/2013,AGE UK NEWCASTLE,6002759,Revenue,1MH50,Ind Home Spot Pur PD,"1,842.75 ",,,,,,,,,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,19/09/2013,AGE UK NEWCASTLE,6002760,Revenue,1MH50,Ind Home Spot Pur PD,"1,460.48 ",,,,,,,,,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,19/09/2013,AGE UK NEWCASTLE,6003032,Revenue,1MH50,Ind Home Spot Pur PD,"1,837.04 ",,,,,,,,,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,19/09/2013,AGE UK NEWCASTLE,6003035,Revenue,1MG50,Ind Home Spot Pur Elderly,507.75 ,,,,,,,,,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,19/09/2013,AGE UK NEWCASTLE,6003118,Revenue,1MG50,Ind Home Spot Pur Elderly,649.46 ,,,,,,,,,
Adult and Culture,Adult Serv Finance         ,Third Party Payments,19/09/2013,AGE UK NEWCASTLE,6003126,Revenue,1MG50,Ind Home Spot Pur Elderly,775.88 ,,,,,,,,,
Adult and Culture,Social Services - Social Care Payments ,Third Party Payments,09/09/2013,AGE UK NEWCASTLE,5984324,Revenue,1MG55,Extra Care Housing,"21,454.13 ",,,,,,,,,
Adult and Culture,Social Services-Care Support           ,Supplies & Services,20/09/2013,AGE UK NEWCASTLE,6003911,Revenue,1MG91,Grants To Vol Orgs Elderly,"6,489.21 ",,,,,,,,,
Adult and Culture,Social Services-Care Support           ,Supplies & Services,20/09/2013,AGE UK NEWCASTLE,6003964,Revenue,1MG60,Ind Day Care Elderly,"67,641.52 ",,,,,,,,,
Adult and Culture,Social Services-Care Support           ,Supplies & Services,20/09/2013,AGE UK NEWCASTLE,6003964,Revenue,1MG88,Get Up And Go Older People,"9,999.99 ",,,,,,,,,
Adult and Culture,Social Services-Care Support           ,Supplies & Services,20/09/2013,AGE UK NEWCASTLE,6003964,Revenue,1FA23,Support To Elders Council,"32,657.17 ",,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,03/09/2013,AGE UK NEWCASTLE,5989506,Revenue,1MG51,Ind Home Per Care Elderly,"58,385.98 ",,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,03/09/2013,AGE UK NEWCASTLE,5989506,Revenue,1MH51,Ind Home Per Care PD,"5,431.72 ",,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,03/09/2013,AGE UK NEWCASTLE,5989506,Revenue,1MK51,Ind Home-Per Care LD,621.96 ,,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,03/09/2013,AGE UK NEWCASTLE,5989506,Revenue,1MM51,Ind Home-Per Care MH,"1,633.50 ",,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,03/09/2013,AGE UK NEWCASTLE,5989506,Revenue,3WH96,Continuing Care-Dom Payments,"1,183.44 ",,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,03/09/2013,AGE UK NEWCASTLE,5989522,Revenue,1MG50,Ind Home Spot Pur Elderly,"1,935.20 ",,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,03/09/2013,AGE UK NEWCASTLE,5989522,Revenue,1MH50,Ind Home Spot Pur PD,"11,434.20 ",,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,03/09/2013,AGE UK NEWCASTLE,5989522,Revenue,1MM50,Ind Home - Spot Pur MH,236.00 ,,,,,,,,,
Environment & Regeneration,NS: Asset Man              ,Premises,17/09/2013,AIR TECHNIQUE,6001576,Revenue,1KL1E,Elswick Pool,400.00 ,,,,,,,,,
Environment & Regeneration,NS: Asset Man              ,Premises,10/09/2013,AIR TECHNIQUE,5995224,Revenue,1KL2B,Eldon Leisure,645.00 ,,,,,,,,,
Environment & Regeneration,NS: Capital Works          ,Supplies & Services,03/09/2013,AIR TECHNIQUE,5990364,Revenue,1KBM0,Public & Educ O/H,560.00 ,,,,,,,,,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,04/09/2013,AKW MEDI-CARE LTD,5965736,Revenue,1KBAA,Building Contracts,452.66 ,,,,,,,,,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,26/09/2013,AKW MEDI-CARE LTD,5997998,Revenue,1KBAA,Building Contracts,339.50 ,,,,,,,,,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,06/09/2013,AKW MEDI-CARE LTD,5991055,Revenue,1KBAA,Building Contracts,543.18 ,,,,,,,,,
Environment & Regeneration,Allendale Rd                           ,Supplies & Services,06/09/2013,AKW MEDI-CARE LTD,5991239,Revenue,1KBAA,Building Contracts,543.18 ,,,,,,,,,
Adult and Culture,Social Services-Carefirst              ,Third Party Payments,10/09/2013,ALBANY HOUSE  (WHITLEY BAY),5995514,Revenue,1MM20,Ind Res Care MH,"5,375.90 ",,,,,,,,,
Adult and Culture,Adult Serv Admin Support   ,Supplies & Services,04/09/2013,ALBANY OFFICE FURNITURE SOLUTIONS,5991059,Revenue,1MP18,Shine Project (Womens HIV),475.00 ,,,,,,,,,
Chief Executive's,CD - SPAM Trading Account        ,Capital Expenditure,30/09/2013,ALBANY OFFICE FURNITURE SOLUTIONS,6012529,Capital,2KF01,Facility Services,"17,700.00 ",,,,,,,,,
Children's Services,Educ Perf Mon              ,Premises,03/09/2013,ALBANY OFFICE FURNITURE SOLUTIONS,5990298,Revenue,1MR24,Performance Management,325.00 ,,,,,,,,,
Children's Services,Int Childhood Services     ,Supplies & Services,26/09/2013,ALBANY OFFICE FURNITURE SOLUTIONS,6008346,Revenue,1E31P,General Admin Pool Children S,259.00 ,,,,,,,,,
