Department for Work and Pensions,,,
,,,
"Meetings with external organisations including meetings with newspaper and other media proprietors, editors and senior executives[i]",,,
,,Longhurst and Havelok Homes,
,,City of Lincoln Council,
,,North Kesteven District Council,
,,HMP North Sea Camp,
Lord Freud,March,Shelter,Housing reform
Lord Freud,March,Local Government Association,"Universal Credit , Universal Support and Housing"
Lord Freud,March,EEF the Manufacturers organisation,Health and safety and fit for work policy
Lord Freud,March,National Housing Association,Universal credit and housing
Lord Freud,March,Payments Council,Payment systems
Lord Freud,March,Islington Borough Council,Universal Support and Universal Credit
,,Citizens Advice Bureau,
,,Spirit Hospitality Group,
,,G4S,
,,Earl and Grey Accountants,
,,Gateway Housing Association,
,,Thai Express,
,,Asda,
