Department of Health,NHS Telford & Wrekin,21/05/2010,Out of Hours Medical Provision,Commissioning,THE SHROPSHIRE DOCTORS CO-OPERATIVE LTD,TW/069,140832.67,
Department of Health,NHS Telford & Wrekin,14/05/2010,Purchase of Healthcare General And Acute,Commissioning,UNIVERSITY HOSPITAL BIRMINGHAM NHS FOUNDATION TRUST,MAY10,100153,
Department of Health,NHS Telford & Wrekin,14/05/2010,Purchase of Healthcare General And Acute,Commissioning,UNIVERSITY HOSPITAL OF NORTH STAFFS NHS TRUST,MAY10,122249,
Department of Health,NHS Telford & Wrekin,21/05/2010,Purchase of Healthcare General And Acute,Commissioning,WALSALL HOSPITALS NHS TRUST,C029168,51395,
Department of Health,NHS Telford & Wrekin,11/05/2010,Laboratory Apparatus,Commissioning,ALERE LIMITED,0000051054,495.75,
Department of Health,NHS Telford & Wrekin,11/05/2010,Laboratory Apparatus,Commissioning,ALERE LIMITED,0000051054,24975,
Department of Health,NHS Telford & Wrekin,11/05/2010,Laboratory Apparatus,Commissioning,ALERE LIMITED,0000051054,3123.75,
Department of Health,NHS Telford & Wrekin,11/05/2010,Laboratory Apparatus,Commissioning,ALERE LIMITED,0000051054,86.76,
Department of Health,NHS Telford & Wrekin,11/05/2010,Laboratory Apparatus,Commissioning,ALERE LIMITED,0000051054,4370.63,
Department of Health,NHS Telford & Wrekin,11/05/2010,Laboratory Apparatus,Commissioning,ALERE LIMITED,0000051054,546.66,
Department of Health,NHS Telford & Wrekin,11/05/2010,Laboratory Apparatus,Commissioning,ALERE LIMITED,0000051054,-0.01,
Department of Health,NHS Telford & Wrekin,07/05/2010,Laboratory Apparatus,Commissioning,ALERE LIMITED,0000051055,475,
Department of Health,NHS Telford & Wrekin,07/05/2010,Laboratory Apparatus,Commissioning,ALERE LIMITED,0000051055,62160,
Department of Health,NHS Telford & Wrekin,07/05/2010,Laboratory Apparatus,Commissioning,ALERE LIMITED,0000051055,1535,
Department of Health,NHS Telford & Wrekin,07/05/2010,Laboratory Apparatus,Commissioning,ALERE LIMITED,0000051055,1206,
Department of Health,NHS Telford & Wrekin,07/05/2010,Laboratory Apparatus,Commissioning,ALERE LIMITED,0000051055,2632,
Department of Health,NHS Telford & Wrekin,07/05/2010,Laboratory Apparatus,Commissioning,ALERE LIMITED,0000051055,83.13,
Department of Health,NHS Telford & Wrekin,07/05/2010,Laboratory Apparatus,Commissioning,ALERE LIMITED,0000051055,10878,
Department of Health,NHS Telford & Wrekin,07/05/2010,Laboratory Apparatus,Commissioning,ALERE LIMITED,0000051055,268.63,
Department of Health,NHS Telford & Wrekin,07/05/2010,Laboratory Apparatus,Commissioning,ALERE LIMITED,0000051055,211.05,
Department of Health,NHS Telford & Wrekin,07/05/2010,Laboratory Apparatus,Commissioning,ALERE LIMITED,0000051055,460.6,
Department of Health,NHS Telford & Wrekin,07/05/2010,Laboratory Apparatus,Commissioning,ALERE LIMITED,0000051055,-0.01,
Department of Health,NHS Telford & Wrekin,14/05/2010,Purchase of Healthcare General And Acute,Commissioning,BIRMINGHAM CHILDRENS HOSPITAL NHS FOUNDATION TRUST,MAY10,60416,
Department of Health,NHS Telford & Wrekin,14/05/2010,Purchase of Healthcare General And Acute,Commissioning,ROBERT JONES& AGNES HUNT NHS TRUST,MAY10,394773,
Department of Health,NHS Telford & Wrekin,07/05/2010,Provision of Estates Services,Corporate,SOUTH STAFFORDSHIRE AND SHROPSHIRE HEALTHCARE NHS FOUNDATION TRUST,I0036568,35295.25,
Department of Health,NHS Telford & Wrekin,07/05/2010,Provision of Estates Services,Corporate,SOUTH STAFFORDSHIRE AND SHROPSHIRE HEALTHCARE NHS FOUNDATION TRUST,I0036569,35295.25,
Department of Health,NHS Telford & Wrekin,14/05/2010,Purchase of Healthcare Mental Illness,Commissioning,SOUTH STAFFORDSHIRE AND SHROPSHIRE HEALTHCARE NHS FOUNDATION TRUST,MAY10,1081702,
Department of Health,NHS Telford & Wrekin,07/05/2010,Purchase of Healthcare General And Acute,Commissioning,BIRMINGHAM EAST AND NORTH PCT,MAY10,1726494,
Department of Health,NHS Telford & Wrekin,07/05/2010,Prescription Charges,Provider Services,NHS BUSINESS SERVICES AUTHORITY,PHS1000022605,34745.7,
Department of Health,NHS Telford & Wrekin,14/05/2010,Purchase of Healthcare Mental Illness,Commissioning,IMPACT ALCOHOL ADVISORY SERVICES,03/10-11,42000,
Department of Health,NHS Telford & Wrekin,21/05/2010,Purchase of Healthcare Community Health Services,Commissioning,HEREFORDSHIRE PCT,0000130549,28719.62,
Department of Health,NHS Telford & Wrekin,21/05/2010,Purchase of Healthcare Community Health Services,Commissioning,HEREFORDSHIRE PCT,0000130570,28719.58,
Department of Health,NHS Telford & Wrekin,07/05/2010,Staff Uniforms & Clothing,Provider Services,COMPUTACENTER (UK) LIMITED,7050702,34728.42,
Department of Health,NHS Telford & Wrekin,07/05/2010,Staff Uniforms & Clothing,Provider Services,COMPUTACENTER (UK) LIMITED,7050702,6077.47,
Department of Health,NHS Telford & Wrekin,11/05/2010,Rent,Provider Services,SHROPSHIRE COUNCIL,SFF004450,32403,
Department of Health,NHS Telford & Wrekin,07/05/2010,Alternative Provider Medical Services,Commissioning,MALLING HEALTH LLP,585,53763,
Department of Health,NHS Telford & Wrekin,07/05/2010,Alternative Provider Medical Services,Commissioning,MALLING HEALTH LLP,MAY10 PRH PRACTICE,46372.55,
Department of Health,NHS Telford & Wrekin,07/05/2010,Alternative Provider Medical Services,Commissioning,MALLING HEALTH LLP,MAY10 TCENTRE HC,55974.09,
Department of Health,NHS Telford & Wrekin,14/05/2010,Audit Fees : External Non Statutory,Corporate,CARE QUALITY COMMISSION,ANN000029396,30000,
Department of Health,NHS Telford & Wrekin,04/05/2010,Dispensing drugs,Commissioning,Wellington Road Surgery,Dispensing drugs,66828.23,
Department of Health,NHS Telford & Wrekin,20/05/2010,Ophthalmic Services,Commissioning,Visionplus Telford,Ophthalmic,39367.89,
Department of Health,NHS Telford & Wrekin,25/05/2010,Personal Medical Services,Commissioning,Lawley Medical Services,Personal Medical Services,61151.79,
Department of Health,NHS Telford & Wrekin,28/05/2010,General Medical Services,Commissioning,Stirchley Medical Practice,General Medical Services,91784.75,
Department of Health,NHS Telford & Wrekin,28/05/2010,General Medical Services,Commissioning,Charlton Street Medical Practice,General Medical Services,67739.37,
Department of Health,NHS Telford & Wrekin,28/05/2010,General Medical Services,Commissioning,Dawley Medical Practice,General Medical Services,66066.96,
Department of Health,NHS Telford & Wrekin,28/05/2010,General Medical Services,Commissioning,Donnington Medical Practice,General Medical Services,74350.33,
Department of Health,NHS Telford & Wrekin,28/05/2010,General Medical Services,Commissioning,Sutton Hill Medical Practice,General Medical Services,55352.02,
Department of Health,NHS Telford & Wrekin,28/05/2010,General Medical Services,Commissioning,Wellington Road Medical Practice,General Medical Services,75450.05
Department of Health,NHS Telford & Wrekin,28/05/2010,General Medical Services,Commissioning,Oakengates Medical Practice,General Medical Services,109265.83
Department of Health,NHS Telford & Wrekin,28/05/2010,General Medical Services,Commissioning,Wellington Medical Practice,General Medical Services,135641.59
Department of Health,NHS Telford & Wrekin,28/05/2010,General Medical Services,Commissioning,Woodside Medical Practice,General Medical Services,47566.41
Department of Health,NHS Telford & Wrekin,28/05/2010,General Medical Services,Commissioning,Linden Hall Surgery,General Medical Services,81155.95
Department of Health,NHS Telford & Wrekin,28/05/2010,General Medical Services,Commissioning,Hollinswood & Priorslee Surgery,General Medical Services,26836.03
Department of Health,NHS Telford & Wrekin,28/05/2010,General Medical Services,Commissioning,Shawbirch Medical Practice,General Medical Services,68498.95
Department of Health,NHS Telford & Wrekin,28/05/2010,General Medical Services,Commissioning,Ironbridge Medical Practice,General Medical Services,26283.72
Department of Health,NHS Telford & Wrekin,28/05/2010,General Medical Services,Commissioning,Church Close Surgery,General Medical Services,32635.66
Department of Health,NHS Telford & Wrekin,28/05/2010,General Medical Services,Commissioning,Trinity Healthcare,General Medical Services,53676.02
