Data is Unweighted,,,Q8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Q9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
National NHS Staff Survey 2012,,,How satisfied are you with each of the following?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Do the following statements apply to you and your job?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
This sheet contains questions relating to: job satisfaction,,,a) The recognition I get for good work,,,,,,b) The support I get from my immediate manager,,,,,,c) The freedom I have to choose my own method of working,,,,,,d) The support I get from my work colleagues,,,,,,e) The amount of responsibility I am given,,,,,,f) The opportunities I have to use my skills,,,,,,g) The extent to which my organisation values my work,,,,,,h) My level of pay,,,,,,a) I am satisfied with the quality of care I give to patients / service users,,,,,,,b) I feel that my role makes a difference to patients / service users,,,,,,,c) I am able to deliver the patient care I aspire to,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: In order to the preserve anonymity of individual staff, where there were fewer than 11 responses to a question responses are not displayed",,,Very dissatisfied,Dissatisfied,Neither satis. Nor dissatisfied,Satisfied,Very satisfied,Base (number of respondents),Very dissatisfied,Dissatisfied,Neither satis. Nor dissatisfied,Satisfied,Very satisfied,Base (number of respondents),Very dissatisfied,Dissatisfied,Neither satis. Nor dissatisfied,Satisfied,Very satisfied,Base (number of respondents),Very dissatisfied,Dissatisfied,Neither satis. Nor dissatisfied,Satisfied,Very satisfied,Base (number of respondents),Very dissatisfied,Dissatisfied,Neither satis. Nor dissatisfied,Satisfied,Very satisfied,Base (number of respondents),Very dissatisfied,Dissatisfied,Neither satis. Nor dissatisfied,Satisfied,Very satisfied,Base (number of respondents),Very dissatisfied,Dissatisfied,Neither satis. Nor dissatisfied,Satisfied,Very satisfied,Base (number of respondents),Very dissatisfied,Dissatisfied,Neither satis. Nor dissatisfied,Satisfied,Very satisfied,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Not applicable to me,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Not applicable to me,Base (number of respondents),Strongly disagree,Disagree,Neither agree nor disagree,Agree,Strongly agree,Not applicable to me,Base (number of respondents),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBB,Royal National Hospital for Rheumatic Diseases NHS Foundation Trust,Q39,6,19,24,41,10,210,5,14,16,45,20,210,5,7,19,50,20,210,2,6,17,56,18,209,4,4,18,57,17,210,4,11,18,51,16,210,9,19,23,41,9,209,17,25,21,34,3,210,0,4,9,42,31,14,208,0,2,9,45,36,7,207,1,10,14,32,20,23,207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAN,Royal National Orthopaedic Hospital NHS Trust,Q36,7,17,23,43,10,328,5,9,19,42,25,332,2,7,25,46,19,330,3,5,17,55,21,333,4,5,18,55,17,330,4,9,17,52,18,329,8,18,29,35,11,330,16,24,31,25,4,328,1,2,4,36,41,16,335,0,0,4,35,51,10,332,1,6,9,26,35,22,328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RCU,Sheffield Children's NHS Foundation Trust,Q32,4,16,26,44,9,317,6,10,18,47,19,319,2,7,23,50,20,319,1,3,16,56,25,318,0,8,18,57,17,319,1,9,19,55,16,316,5,18,34,36,8,318,5,20,24,47,4,319,1,7,7,43,28,14,318,0,1,8,47,38,6,316,2,12,14,37,14,22,313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RBV,The Christie NHS Foundation Trust,Q31,5,15,24,45,11,430,4,9,17,44,26,428,2,7,19,51,21,428,1,4,16,53,26,429,1,6,14,60,18,428,3,10,15,53,19,428,4,18,31,35,12,429,8,23,25,39,5,429,0,4,6,37,35,18,428,0,2,6,46,36,11,427,1,7,9,30,19,34,427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REN,The Clatterbridge Cancer Centre NHS Foundation Trust,Q31,6,13,27,46,8,274,4,13,19,42,22,273,1,8,19,49,23,273,0,4,15,54,27,275,1,6,14,60,19,274,2,8,16,55,19,274,6,17,30,37,10,275,7,25,22,40,5,274,0,5,7,37,36,15,274,0,1,10,37,44,8,274,1,7,11,29,25,26,273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RL1,The Robert Jones and Agnes Hunt Orthopaedic Hospital NHS Foundation Trust,Q34,7,19,31,36,8,318,5,10,22,41,21,317,3,7,26,47,18,315,1,5,17,55,23,319,2,4,20,59,15,317,3,9,21,54,14,315,11,22,27,32,8,316,12,23,28,35,3,318,1,3,9,35,36,16,320,0,1,9,42,39,9,318,3,8,15,26,25,22,319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RPY,The Royal Marsden NHS Foundation Trust,Q36,5,13,26,45,12,484,4,9,20,40,27,485,2,8,23,47,21,484,1,5,13,56,26,486,1,5,16,59,19,484,3,9,15,55,18,483,6,17,28,39,9,482,10,26,25,33,5,484,1,4,6,39,40,10,485,1,2,5,42,44,6,482,3,7,10,32,28,20,482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RRJ,The Royal Orthopaedic Hospital NHS Foundation Trust,Q34,5,17,24,44,9,295,4,9,19,44,24,294,3,5,16,55,20,293,1,6,16,57,20,296,2,4,16,62,17,296,3,5,17,59,16,295,7,15,28,40,10,296,7,23,28,37,4,296,1,3,8,36,39,13,295,1,1,7,41,43,6,295,2,8,11,34,25,20,296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RET,The Walton Centre NHS Foundation Trust,Q31,9,18,27,39,7,315,6,10,17,45,22,315,3,10,26,46,15,314,2,4,19,52,23,316,3,8,21,55,14,316,4,10,18,53,14,316,9,17,28,37,8,315,8,23,29,34,7,316,2,3,6,37,42,11,315,1,3,7,38,45,7,315,3,9,9,37,26,16,316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,ACUTE TRUSTS,--,7,19,26,39,8,"56,895",5,12,19,43,21,"56,919",3,8,25,48,16,"56,808",1,6,16,55,22,"56,939",2,7,17,58,16,"56,916",3,9,18,55,16,"56,874",10,20,30,33,7,"56,815",12,25,25,33,4,"56,789",2,6,8,39,34,12,"56,757",1,1,7,42,41,7,"56,776",3,11,12,32,23,19,"56,612",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REM,Aintree University Hospital NHS Foundation Trust,Q31,6,23,26,38,6,372,5,13,20,42,20,373,2,10,26,50,12,370,1,7,15,57,20,372,2,6,20,57,15,370,2,8,20,56,13,372,8,22,30,34,5,372,13,28,26,28,5,372,2,3,6,41,37,12,372,1,1,6,46,39,7,371,3,9,8,37,24,19,371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RCF,Airedale NHS Foundation Trust,Q32,7,18,27,42,7,338,5,11,18,41,25,336,2,9,22,49,18,338,2,5,16,56,22,338,1,7,18,58,16,337,3,8,19,56,15,336,9,19,31,33,8,338,13,22,26,34,6,339,1,7,10,37,31,15,336,1,1,10,40,38,9,336,4,11,14,32,20,20,335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RTK,Ashford and St Peter's Hospitals NHS Foundation Trust,Q37,11,16,27,35,11,405,6,13,20,40,19,403,2,9,27,48,15,404,1,7,19,55,19,405,2,6,19,59,15,405,3,10,19,52,14,404,11,21,28,33,7,403,20,26,27,25,3,405,1,6,7,37,31,17,403,1,2,9,41,37,10,404,3,11,13,27,22,23,404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RF4,"Barking, Havering And Redbridge University Hospitals NHS Trust",Q36,8,21,28,36,7,329,4,13,21,44,18,326,4,9,27,47,13,322,1,8,18,53,19,325,1,8,19,57,15,326,3,9,19,56,13,326,10,19,35,32,5,326,13,30,28,27,2,323,2,5,7,42,32,12,328,1,0,6,43,40,10,327,2,10,13,32,25,17,327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RVL,Barnet And Chase Farm Hospitals NHS Trust,Q36,8,19,25,41,8,440,6,9,20,46,20,445,4,8,24,49,14,442,1,5,16,53,24,445,3,7,17,57,16,444,4,8,18,54,17,442,13,18,27,34,9,439,14,26,27,30,4,437,2,5,7,37,37,12,443,1,1,6,39,45,8,440,4,9,10,34,26,18,440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RFF,Barnsley Hospital NHS Foundation Trust,Q32,7,21,29,37,6,510,3,12,22,46,17,509,1,7,27,52,12,509,2,6,18,54,21,508,1,7,17,62,13,509,1,7,18,61,13,508,7,20,37,31,5,506,11,24,27,33,5,505,2,6,6,40,34,11,509,1,2,9,42,40,6,507,3,11,14,30,24,18,507,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
R1H,Barts Health NHS Trust,Q36,8,16,26,40,10,324,6,9,23,41,22,323,4,6,25,49,15,320,2,6,19,54,20,323,4,4,19,58,15,322,4,7,21,51,17,319,10,19,29,34,8,323,16,23,26,32,3,322,2,5,4,40,36,13,321,2,2,5,35,48,8,323,3,7,11,31,28,18,322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RDD,Basildon and Thurrock University Hospitals NHS Foundation Trust,Q35,9,20,21,41,9,287,7,11,18,45,18,288,5,7,24,48,16,287,2,5,16,55,21,287,3,6,18,58,15,288,3,9,15,59,14,288,10,23,26,34,7,287,20,32,19,25,4,287,2,5,11,34,34,14,288,0,1,10,41,40,8,286,4,10,14,30,24,19,287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RC1,Bedford Hospital NHS Trust,Q35,6,15,26,44,9,423,4,12,22,41,21,424,1,8,22,52,16,423,0,4,17,57,21,426,1,6,15,64,15,424,2,7,16,62,13,427,7,15,32,37,8,422,11,22,27,36,4,422,1,5,7,40,34,13,424,1,1,5,41,43,9,422,2,7,15,32,24,20,425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RXL,Blackpool Teaching Hospitals NHS Foundation Trust,Q31,5,17,29,37,11,395,4,8,22,43,23,395,2,7,25,48,17,396,0,7,12,54,27,394,1,6,15,58,20,394,2,6,15,57,20,396,6,21,28,34,11,396,11,25,21,38,5,395,2,6,7,38,36,12,397,1,3,6,39,45,6,397,3,8,12,33,23,20,397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RMC,Bolton NHS Foundation Trust,Q31,4,16,27,44,8,455,5,11,17,45,21,458,2,8,21,54,15,455,2,4,14,58,23,458,2,7,16,64,12,459,2,7,16,61,13,457,7,18,35,33,6,457,10,24,25,36,5,458,2,4,8,38,38,11,458,0,1,6,42,45,5,457,2,11,11,34,25,17,454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAE,Bradford Teaching Hospitals NHS Foundation Trust,Q32,6,18,23,42,11,310,5,11,19,45,20,311,3,8,19,49,21,311,2,6,15,53,24,310,1,9,11,59,20,309,2,9,15,54,20,310,7,17,27,41,7,308,11,23,22,37,7,310,3,5,8,33,38,13,311,1,2,9,40,41,9,311,3,10,12,30,26,20,311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RXH,Brighton And Sussex University Hospitals NHS Trust,Q37,5,21,25,40,9,370,6,12,18,44,20,369,1,10,27,44,18,369,1,5,14,59,21,367,1,6,17,59,17,371,1,11,16,54,18,371,8,20,34,31,7,369,14,26,23,32,4,370,0,6,6,39,33,17,369,0,0,7,40,43,10,368,2,12,11,33,18,25,367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RXQ,Buckinghamshire Healthcare NHS Trust,Q38,9,17,29,38,7,433,6,13,24,39,18,433,4,7,28,48,13,432,1,4,16,53,27,435,2,6,16,61,15,435,3,8,18,56,15,433,10,24,33,27,6,432,13,29,28,27,3,435,1,5,9,41,33,12,435,0,2,6,41,43,8,434,2,12,15,32,23,17,433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RJF,Burton Hospitals NHS Foundation Trust,Q34,7,23,27,36,6,383,8,13,20,41,19,384,3,8,24,50,14,382,1,7,19,52,22,384,1,7,18,59,15,383,3,6,18,58,14,383,12,24,32,27,5,383,13,21,24,37,5,381,3,6,9,37,31,14,383,1,3,10,44,34,8,384,5,11,11,31,21,21,383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RWY,Calderdale and Huddersfield NHS Foundation Trust,Q32,7,21,27,37,8,500,6,11,22,42,19,502,2,9,21,52,16,497,1,5,14,56,24,501,1,8,15,59,17,502,3,9,16,55,17,500,8,22,32,30,8,499,13,24,24,34,6,499,1,6,7,37,34,15,500,0,1,8,43,40,8,500,3,10,15,29,19,24,499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RGT,Cambridge University Hospitals NHS Foundation Trust,Q35,5,18,24,46,7,390,4,11,21,46,19,390,2,7,27,45,19,390,1,4,18,54,23,390,2,8,14,60,17,390,2,10,14,56,17,390,6,19,30,37,8,389,9,25,26,34,5,389,2,4,6,40,34,15,388,1,2,6,40,45,7,389,3,9,12,32,22,23,389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RW3,Central Manchester University Hospitals NHS Foundation Trust,Q31,8,16,29,38,9,390,6,11,19,43,21,388,2,10,22,48,17,389,3,7,14,54,23,390,3,9,16,56,17,388,5,8,19,52,17,386,10,15,30,36,9,386,11,26,23,36,5,385,2,7,7,38,32,14,390,1,2,9,39,41,9,388,4,10,13,31,22,20,385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
