Departmental Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number, Amount ,PO Line Description,Supplier Postcode,Supplier Type,Contract Number ,Project Code,Expenditure Type 
,,01-Aug-17,Security: contract,FINANCE AND GROUP OPERATIONS,EMCOR FACILITIES SERVICES LTD,00457835RI,"32,848.34",Security Fixed Costs Apr 2017 - Mar 2018 - WEL,SO53 3YE,LARGE,,,
,,01-Aug-17,Building repairs & maintenance,FINANCE AND GROUP OPERATIONS,EMCOR FACILITIES SERVICES LTD,00457836RI,"-15,274.62",Building Maint./Repairs Fixed Costs Apr 2017 - Mar 2018 - PRH,SO53 3YE,LARGE,,,
,,01-Aug-17,Cleaning: contract,FINANCE AND GROUP OPERATIONS,EMCOR FACILITIES SERVICES LTD,00457836RI,"4,742.10",Cleaning Fixed Costs Apr 2017 - Mar 2018 - PRH,SO53 3YE,LARGE,,,
,,01-Aug-17,Facilities management: contract,FINANCE AND GROUP OPERATIONS,EMCOR FACILITIES SERVICES LTD,00457836RI,"7,983.28",FM - Fixed Costs from Apr 2017 - Mar 2018 - PRH,SO53 3YE,LARGE,,,
,,01-Aug-17,Security: contract,FINANCE AND GROUP OPERATIONS,EMCOR FACILITIES SERVICES LTD,00457836RI,"2,549.24",Security Fixed Costs Apr 2017 - Mar 2018 - PRH,SO53 3YE,LARGE,,,
,,01-Aug-17,Provisions cash payment,ACUTE CARE AND WORKFORCE,NHS INJURY BENEFITS SCHEME,ERS-577642-142041,"4,419,803.64",Injury Benefit payments 1718,FY7 8LG,PUBLIC,,,
,,01-Aug-17,ENDPBs Admin Revenue Grant in Aid,Central Technical,HEALTH AND SOCIAL CARE INFORMATION CENTRE HSCIC,HAFS-23006,"45,000,000.00",,WF3 1WE,PUBLIC,,,
,,01-Aug-17,ENDPBs Admin Revenue Grant in Aid,Central Technical,HEALTH EDUCATION ENGLAND T1510,HAFS-23007,"450,000,000.00",,LS1 4PL,PUBLIC,,,
,,01-Aug-17,ENDPBs Admin Revenue Grant in Aid,Central Technical,HEALTH RESEARCH AUTHORITY,HAFS-23008,"1,100,000.00",,SE1 6LH,PUBLIC,,,
,,01-Aug-17,ENDPBs Admin Revenue Grant in Aid,Central Technical,MONITOR INDEPENDENT REGULATOR OF NHS FOUNDATION TRUSTS MIR033,HAFS-23009,"6,500,000.00",,,PUBLIC,,,
,,01-Aug-17,ENDPBs Admin Revenue Grant in Aid,Central Technical,NATIONAL INSTITUTE FOR CLINICAL EXCELLENCE (NICE),HAFS-23010,"6,300,000.00",,SE1 7NT,PUBLIC,,,
,,01-Aug-17,ENDPBs Admin Revenue Grant in Aid,Central Technical,NHS ENGLAND CBA033,HAFS-23012,"2,739,292,000.00",,LS2 7UE,PUBLIC,,,
,,01-Aug-17,ENDPBs Admin Revenue Grant in Aid,Central Technical,NHS ENGLAND CBA033,HAFS-23013,"5,928,681,000.00",,LS2 7UE,PUBLIC,,,
,,01-Aug-17,SpHAs Programme Revenue Parliamentary Funding,Central Technical,NHS BUSINESS SERVICES AUTHORITY (NHSBSA),HAFS-23011,"14,700,000.00",,NE1 6SN,PUBLIC,,,
,,01-Aug-17,SpHAs Programme Revenue Parliamentary Funding,Central Technical,NHS TRUST DEVELOPMENT AUTHORITY,HAFS-23014,"9,000,000.00",,SW1E 6QT,PUBLIC,,,
,,01-Aug-17,SpHAs Programme Revenue Parliamentary Funding,Central Technical,PUBLIC HEALTH ENGLAND PHE033,HAFS-23015,"100,000,000.00",,SP4 0JG,PUBLIC,,,
,,01-Aug-17,ENDPBs Admin Revenue Grant in Aid,Central Technical,HEALTH AND SOCIAL CARE INFORMATION CENTRE HSCIC,HAFS-23006,"45,000,000.00",,,PUBLIC,,,
,,01-Aug-17,Addition Clearing - SW LIC,COMMUNITY CARE,WALSALL HEALTHCARE NATIONAL HEALTH SERVICE TRUST,C042011,"44,833.79",Capital: FY 2015-16 STAF & LC Costs for Lorenzo Deployment,WS2 9PS,PUBLIC,,,
,,01-Aug-17,Service charge,COMMUNITY CARE,WALSALL HEALTHCARE NATIONAL HEALTH SERVICE TRUST,C042011,"-44,833.79",Revenue: FY 2015-16 STAF & LC Costs for Lorenzo Deployment,WS2 9PS,PUBLIC,,,
,,01-Aug-17,Capital policy payments,ACUTE CARE AND WORKFORCE,SAPIENT LTD,45539,"40,715.25",Advisory Committee for Clinical Excellence Awards - IT Project from April 1st 2017 - March 30th 2018,E1 6DU,LARGE,,,
,,01-Aug-17,Outsourcing Contract,GLOBAL AND PUBLIC HEALTH,RESPIREX INTERNATIONAL LTD,160489,"180,480.00","Powered Respirator Protective Suits (PRPS) Size - Variable, detail to be provided later  Consortium Framework Number: CFR1008/CPC/02.   ",RH1 4DP,SME,,,
,,01-Aug-17,Outsourcing Contract,GLOBAL AND PUBLIC HEALTH,RESPIREX INTERNATIONAL LTD,160523,"135,360.00","Powered Respirator Protective Suits (PRPS) Size - Variable, detail to be provided later  Consortium Framework Number: CFR1008/CPC/02.   ",RH1 4DP,SME,,,
,,01-Aug-17,Outsourcing Contract,GLOBAL AND PUBLIC HEALTH,NHS SUPPLY CHAIN,9048000024,"683,176.42",Schools Fruit and Vegetable scheme - reimbursement costs,DE55 4QJ,PUBLIC,,,
,,01-Aug-17,Policy Payments,GLOBAL AND PUBLIC HEALTH,HOMES AND COMMUNITIES AGENCY (HCA),S0013667,"572,500.00",Homelessness Change and Platform for Life programmes,NE11 0NA,PUBLIC,,,
,,02-Aug-17,School Fruit and Veg Scheme ,GLOBAL AND PUBLIC HEALTH,G W Price,503828,"52,443.07",,,SME,,,
,,02-Aug-17,School Fruit and Veg Scheme ,GLOBAL AND PUBLIC HEALTH,G W Price,503834,"37,604.74",,,SME,,,
,,02-Aug-17,School Fruit and Veg Scheme ,GLOBAL AND PUBLIC HEALTH,G W Price,503826,"27,909.99",,,SME,,,
,,02-Aug-17,School Fruit and Veg Scheme ,GLOBAL AND PUBLIC HEALTH,G W Price,503829,"71,060.54",,,SME,,,
,,02-Aug-17,School Fruit and Veg Scheme ,GLOBAL AND PUBLIC HEALTH,G W Price,503823,"42,661.00",,,SME,,,
,,02-Aug-17,School Fruit and Veg Scheme ,GLOBAL AND PUBLIC HEALTH,G W Price,503835,"44,836.12",,,SME,,,
,,02-Aug-17,School Fruit and Veg Scheme ,GLOBAL AND PUBLIC HEALTH,G W Price,503831,"31,494.62",,,SME,,,
,,02-Aug-17,School Fruit and Veg Scheme ,GLOBAL AND PUBLIC HEALTH,Total Produce (Bristol),B17050131933,"31,007.01",,,SME,,,
,,02-Aug-17,School Fruit and Veg Scheme ,GLOBAL AND PUBLIC HEALTH,Total Produce (Bristol),B17050131801,"28,770.33",,,SME,,,
,,02-Aug-17,School Fruit and Veg Scheme ,GLOBAL AND PUBLIC HEALTH,Total Produce (Bristol),B17050131865,"28,682.77",,,SME,,,
,,02-Aug-17,Outsourcing Contract,GLOBAL AND PUBLIC HEALTH,RESPIREX INTERNATIONAL LTD,160617,"144,384.00","Powered Respirator Protective Suits (PRPS) Size - Variable, detail to be provided later  Consortium Framework Number: CFR1008/CPC/02.   ",RH1 4DP,SME,,,
,,02-Aug-17,Outsourcing Contract,GLOBAL AND PUBLIC HEALTH,NHS SUPPLY CHAIN,9048000020,"114,001.72",Schools Fruit and Vegetable scheme - reimbursement costs,DE55 4QJ,PUBLIC,,,
,,02-Aug-17,Outsourcing Contract,GLOBAL AND PUBLIC HEALTH,NHS SUPPLY CHAIN,9048000021,"137,102.90",Schools Fruit and Vegetable scheme - reimbursement costs,DE55 4QJ,PUBLIC,,,
,,02-Aug-17,EEA medical costs (ST),GLOBAL AND PUBLIC HEALTH,PGO FOREIGN CURRENCY PAYMENTS,FT/17214/00289,"82,269,764.78",,RH10 1UH,PUBLIC,,,
,,03-Aug-17,Travel & subsistence staff,CHIEF SCIENTIFIC ADVISOR,LIVERPOOL UNIVERSITY OF,21697930,"28,544.14",PORTFOLIO SUPPORT ADVISER,L69 3GG,PUBLIC,,,
,,03-Aug-17,Research & development,CHIEF SCIENTIFIC ADVISOR,CANCER RESEARCH UK,ERS-577706-142103,"82,287.00",Experimental Cancer Research Secretariat,EC1V 4AD,VCS,,,
,,03-Aug-17,Research & development,CHIEF SCIENTIFIC ADVISOR,SHEFFIELD UNIVERSITY OF,ERS-577708-142102,"50,000.00",NIHR/HTA Clinical Trials Unit,S10 2UH,PUBLIC,,,
,,03-Aug-17,Research & development,CHIEF SCIENTIFIC ADVISOR,LEEDS UNIVERSITY OF,ERS-577709-142100,"310,774.00",NIHR/HTA Clinical Trials Unit,LS2 9JT,PUBLIC,,,
,,03-Aug-17,Research & development,CHIEF SCIENTIFIC ADVISOR,DUNDEE UNIVERSITY OF,ERS-577717-142097,"25,562.42",HTA - Public Health (Disease Prevention),DD1 4HN,PUBLIC,,,
,,03-Aug-17,Research & development,CHIEF SCIENTIFIC ADVISOR,UNIVERSITY HOSPITALS BRISTOL NHS FOUNDATION TRUST,ERS-577724-142084,"37,432.00",HTA Clinical Evaluation Trial,BS99 1YF,PUBLIC,,,
,,03-Aug-17,Research & development,CHIEF SCIENTIFIC ADVISOR,CAMBRIDGE UNIVERSITY OF,ERS-577731-142096,"31,991.00",Post Doctoral Fellowship PDF,CB2 1TN,PUBLIC,,,
,,03-Aug-17,Research & development,CHIEF SCIENTIFIC ADVISOR,LANCASTER UNIVERSITY,ERS-577732-142099,"64,341.00",Msc-Studentship,LA1 4YT,PUBLIC,,,
,,03-Aug-17,Research & development,CHIEF SCIENTIFIC ADVISOR,CANCER RESEARCH UK,ERS-577747-142141,"140,000.00",Experimental Cancer Research Secretariat,EC1V 4AD,VCS,,,
,,03-Aug-17,Building repairs & maintenance,FINANCE AND GROUP OPERATIONS,EMCOR FACILITIES SERVICES LTD,00459685ARI,"47,026.12",Richmond House - Variable Building Maintainance  costs Apr 2017 - Mar 2018,SO53 3YE,LARGE,,,
,,03-Aug-17,Building repairs & maintenance,FINANCE AND GROUP OPERATIONS,EMCOR FACILITIES SERVICES LTD,00459687ARI,"57,732.26",Wellington House - Variable Building Maintainance  costs Apr 2017 - Mar 2018 Apr 2017 - Mar 2018,SO53 3YE,LARGE,,,
,,03-Aug-17,Building repairs & maintenance,FINANCE AND GROUP OPERATIONS,EMCOR FACILITIES SERVICES LTD,00459689ARI,"84,651.56",Skipton House  - Variable Building Maintainance  costs Apr 2017 - Mar 2018,SO53 3YE,LARGE,,,
,,03-Aug-17,Addition Clearing - OLB,FINANCE AND GROUP OPERATIONS,EMCOR FACILITIES SERVICES LTD,00459726RI,"630,000.00",Wellington - Façade Works 2017 Phase 1,SO53 3YE,LARGE,,,
,,03-Aug-17,Addition Clearing - OLB,FINANCE AND GROUP OPERATIONS,EMCOR FACILITIES SERVICES LTD,00459727RI,"46,680.00",Wellington - Façade Works 2017 Phase 1- Advisors,SO53 3YE,LARGE,,,
,,03-Aug-17,Facilities management: contract,FINANCE AND GROUP OPERATIONS,EMCOR FACILITIES SERVICES LTD,00459730RI,"29,271.70",Richmond - Electrics Maintenance - Backup power,SO53 3YE,LARGE,,,
,,03-Aug-17,Secondees in invoiced costs,FINANCE AND GROUP OPERATIONS,NHS ENGLAND CBA033,7000024619,"349,240.80",IMS4 - Service Transition Programme  – Discovery Phase 1 ,LS2 7UE,PUBLIC,,,
,,03-Aug-17,School Fruit and Veg Scheme ,GLOBAL AND PUBLIC HEALTH,Fresh Direct,18783377,"62,829.02",,,SME,,,
,,03-Aug-17,School Fruit and Veg Scheme ,GLOBAL AND PUBLIC HEALTH,Fresh Direct,18783378,"27,033.06",,,SME,,,
,,03-Aug-17,Revenue Grants to non-profit institutions,COMMUNITY CARE,SHOOTING STAR CHASE,ERS-577700-142061,"36,647.00",2017/039 X Factor 2015 Xmas single to Shooting Star Chase,KT15 2UE,VCS,,,
,,03-Aug-17,Revenue Grants to non-profit institutions,COMMUNITY CARE,DEVON PARTNERSHIP NHS TRUST SPECIAL CHARITY,ERS-577741-142121,"43,670.00",2017/041 - Charity Concert VAT Reclaim - Devon Partnership Trust Special Charity,EX2 5AF,PUBLIC,,,
,,03-Aug-17,Outsourcing Contract,ACUTE CARE AND WORKFORCE,METHODS CONSULTING,SIN031794,"127,191.03","NHS Jobs Contract with Methods - This is a replacement PO, as the original PO 523988, was closed in error.",EC1A 4EN,SME,,,
,,03-Aug-17,Outsourcing Contract,ACUTE CARE AND WORKFORCE,METHODS CONSULTING,SIN031797,"39,827.00","NHS Jobs Contract with Methods - This is a replacement PO, as the original PO 523988, was closed in error.",EC1A 4EN,SME,,,
,,03-Aug-17,Outsourcing Contract,ACUTE CARE AND WORKFORCE,METHODS CONSULTING,SIN032270,"127,191.03","NHS Jobs Contract with Methods - This is a replacement PO, as the original PO 523988, was closed in error.",EC1A 4EN,SME,,,
,,03-Aug-17,Outsourcing Contract,ACUTE CARE AND WORKFORCE,METHODS CONSULTING,SIN032903,"127,191.03","NHS Jobs Contract with Methods - This is a replacement PO, as the original PO 523988, was closed in error.",EC1A 4EN,SME,,,
,,03-Aug-17,Capital policy payments,ACUTE CARE AND WORKFORCE,SAPIENT LTD,46006,"43,773.00",Advisory Committee for Clinical Excellence Awards - IT Project from April 1st 2017 - March 30th 2018,E1 6DU,LARGE,,,
,,03-Aug-17,Outsourcing Contract,GLOBAL AND PUBLIC HEALTH,RESPIREX INTERNATIONAL LTD,160739,"112,800.00","Powered Respirator Protective Suits (PRPS) Size - Variable, detail to be provided later  Consortium Framework Number: CFR1008/CPC/02.   ",RH1 4DP,SME,,,
,,04-Aug-17,Building repairs & maintenance,FINANCE AND GROUP OPERATIONS,Faithful and Gould,17014447,"36,860.24",39 Victoria Street - F&G Stage 5 Fees,NW1 3AT,LARGE,,,
,,04-Aug-17,Professional fees,FINANCE AND GROUP OPERATIONS,PETERS AND PETERS SOLICITORS LLP,36308,-0.01,,EC4A 1BW,LARGE,,,
,,04-Aug-17,Professional fees,FINANCE AND GROUP OPERATIONS,PETERS AND PETERS SOLICITORS LLP,36308,"518,527.04",Operation MONET - Legal & Professional Services,EC4A 1BW,LARGE,,,
,,04-Aug-17,Rates,FINANCE AND GROUP OPERATIONS,DEPARTMENT FOR WORK AND PENSIONS (DWP),3911630,"106,664.46",Quarry House - Business Rates for FY2017/18 ( 10 Months),FY5 3TA,PUBLIC,,,
,,04-Aug-17,Rent of Land & Buildings (non-PFI operating lease),FINANCE AND GROUP OPERATIONS,DEPARTMENT FOR WORK AND PENSIONS (DWP),3911630,"608,452.99",Quarry House - FUP for FY2017/18,FY5 3TA,PUBLIC,,,
,,04-Aug-17,Utilities,FINANCE AND GROUP OPERATIONS,DEPARTMENT FOR WORK AND PENSIONS (DWP),3911630,"2,945.83",Quarry House - utility charges for FY2017/18,FY5 3TA,PUBLIC,,,
,,04-Aug-17,Outsourcing Contract,FINANCE AND GROUP OPERATIONS,SOUTH WESTERN AMBULANCE SERVICE NHS FOUNDATION TRUST,6294243,"372,178.39",2017-18 Funding to cover direct costs of providing hosting services for  Ambulance Radio Programme,EX2 7HY,PUBLIC,,,
,,04-Aug-17,Addition Clearing - SW LIC,ACUTE CARE AND WORKFORCE,IBM UK LTD,5806172115,"274,843.92",ESR Roadmap Projects,PO6 3AU,LARGE,,,
,,07-Aug-17,Research & development,CHIEF SCIENTIFIC ADVISOR,YORK UNIVERSITY OF,ERS-574135-138579 PO CORRECTION,"25,000.00",TARs,YO10 5DD,PUBLIC,,,
,,07-Aug-17,Additions NHS FTs Capital Investment Loans,Central Technical,HARROGATE & DISTRICT NHS FOUNDATION TRUST,HAFS-23030,"3,189,000.00",,HG2 7UG,PUBLIC,,,
,,07-Aug-17,Additions NHS FTs Capital Investment Loans,Central Technical,HARROGATE & DISTRICT NHS FOUNDATION TRUST,HAFS-23031,"1,789,000.00",,HG2 7UG,PUBLIC,,,
,,07-Aug-17,Additions NHS FTs Capital Investment Loans,Central Technical,THE CHRISTIE NHS FOUNDATION TRUST,HAFS-23032,"3,000,000.00",,M20 4BX,PUBLIC,,,
,,07-Aug-17,Additions PDC Capital Support NHS FT Permanent,Central Technical,AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST,HAFS-23024,"1,000,000.00",,L9 7AL,PUBLIC,,,
,,07-Aug-17,Additions PDC Capital Support NHS FT Permanent,Central Technical,NORTH TEES AND HARTLEPOOL NHS FOUNDATION TRUST,HAFS-23025,"1,000,000.00",,TS24 9AH,PUBLIC,,,
,,07-Aug-17,Additions PDC Capital Support NHS FT Permanent,Central Technical,ROYAL FREE LONDON NHS FOUNDATION TRUST,HAFS-23026,"10,072,000.00",,NW3 2QG,PUBLIC,,,
,,07-Aug-17,Additions PDC Capital Support NHS FT Permanent,Central Technical,SOUTH TYNESIDE NHS FOUNDATION TRUST,HAFS-23027,"875,000.00",,NE34 0PL,PUBLIC,,,
,,07-Aug-17,Additions PDC Capital Support NHS FT Permanent,Central Technical,UNIVERSITY HOSPITAL SOUTHAMPTON NHS FOUNDATION TRUST,HAFS-23028,"250,000.00",,WF3 1we,PUBLIC,,,
,,07-Aug-17,Additions PDC Capital Support NHS FT Permanent,Central Technical,WRIGHTINGTON WIGAN AND LEIGH NHS FOUNDATION TRUST,HAFS-23029,"110,000.00",,WN1 1XX,PUBLIC,,,
,,07-Aug-17,School Fruit and Veg Scheme ,GLOBAL AND PUBLIC HEALTH,MWW (B'ham),SIN0124457,"112,058.76",,,SME,,,
,,07-Aug-17,School Fruit and Veg Scheme ,GLOBAL AND PUBLIC HEALTH,MWW (B'ham),SIN0124458,"32,959.86",,,SME,,,
,,07-Aug-17,School Fruit and Veg Scheme ,GLOBAL AND PUBLIC HEALTH,MWW (B'ham),SIN0124459,"27,996.87",,,SME,,,
,,07-Aug-17,School Fruit and Veg Scheme ,GLOBAL AND PUBLIC HEALTH,MWW (B'ham),SIN0124460,"36,306.27",,,SME,,,
,,07-Aug-17,School Fruit and Veg Scheme ,GLOBAL AND PUBLIC HEALTH,MWW (B'ham),SIN0124462,"28,747.28",,,SME,,,
,,07-Aug-17,School Fruit and Veg Scheme ,GLOBAL AND PUBLIC HEALTH,MWW (B'ham),SIN0124463,"26,374.76",,,SME,,,
,,07-Aug-17,School Fruit and Veg Scheme ,GLOBAL AND PUBLIC HEALTH,MWW (B'ham),SIN0124464,"61,046.96",,,SME,,,
,,07-Aug-17,School Fruit and Veg Scheme ,GLOBAL AND PUBLIC HEALTH,MWW (B'ham),SIN0124466,"46,905.31",,,SME,,,
,,07-Aug-17,School Fruit and Veg Scheme ,GLOBAL AND PUBLIC HEALTH,MWW (B'ham),SIN0124467,"35,100.28",,,SME,,,
,,07-Aug-17,School Fruit and Veg Scheme ,GLOBAL AND PUBLIC HEALTH,MWW (B'ham),SIN0124468,"69,166.58",,,SME,,,
,,07-Aug-17,School Fruit and Veg Scheme ,GLOBAL AND PUBLIC HEALTH,MWW (B'ham),SIN0124469,"25,927.23",,,SME,,,
,,07-Aug-17,School Fruit and Veg Scheme ,GLOBAL AND PUBLIC HEALTH,MWW (B'ham),SIN0124470,"41,446.76",,,SME,,,
,,07-Aug-17,School Fruit and Veg Scheme ,GLOBAL AND PUBLIC HEALTH,MWW (B'ham),SIN0124472,"31,509.60",,,SME,,,
,,07-Aug-17,School Fruit and Veg Scheme ,GLOBAL AND PUBLIC HEALTH,MWW (B'ham),SIN0124475,"25,226.47",,,SME,,,
,,07-Aug-17,School Fruit and Veg Scheme ,GLOBAL AND PUBLIC HEALTH,Total Produce Plc (Wigan),W17051531352,"41,338.96",,,SME,,,
,,07-Aug-17,Policy Payments,ACUTE CARE AND WORKFORCE,NHS BLOOD AND TRANSPLANT (NHSBT),954651,"163,089.39",CEA Awards first tranche,LS15 7TW,PUBLIC,,,
,,07-Aug-17,Policy Payments,ACUTE CARE AND WORKFORCE,NHS BLOOD AND TRANSPLANT (NHSBT),954652,"146,317.43",CEA Awards second tranche,LS15 7TW,PUBLIC,,,
,,07-Aug-17,Outsourcing Contract,ACUTE CARE AND WORKFORCE,IBM UK LTD,5807171684,"1,900,253.37",ESR FY17/18 Services Charges,PO6 3AU,LARGE,,,
,,07-Aug-17,Outsourcing Contract,ACUTE CARE AND WORKFORCE,IBM UK LTD,5807171685,"165,245.11",DH/IBM ESR Contract - Service Charges,PO6 3AU,LARGE,,,
,,07-Aug-17,Outsourcing Contract,ACUTE CARE AND WORKFORCE,IBM UK LTD,5807171686,"37,942.68",ESR FY17/18 Services Charges,PO6 3AU,LARGE,,,
,,07-Aug-17,Outsourcing Contract,GLOBAL AND PUBLIC HEALTH,NHS SUPPLY CHAIN,23001308,"33,487.40",Schools Fruit and Vegetable scheme - admin costs,DE55 4QJ,PUBLIC,,,
,,07-Aug-17,Outsourcing Contract,GLOBAL AND PUBLIC HEALTH,NHS SUPPLY CHAIN,9048000025,"1,574,887.51",Schools Fruit and Vegetable scheme - reimbursement costs,DE55 4QJ,PUBLIC,,,
,,08-Aug-17,Research & development,CHIEF SCIENTIFIC ADVISOR,PGO FOREIGN CURRENCY PAYMENTS,411120528,"125,668.21",NHR Research Methods Fellowships and internships,RH10 1UH,PUBLIC,,,
,,08-Aug-17,Policy Payments,ACUTE CARE AND WORKFORCE,NHS PENSIONS AGENCY,18267,"919,028.59",2017-18 Injury Benefits Liabilities (SHA & PCT Legacy),FY7 8LG,PUBLIC,,,
,,08-Aug-17,Professional fees,ACUTE CARE AND WORKFORCE,GOVERNMENT ACTUARYS DEPARTMENT GAD,SINV/00025699,"50,000.00",GAD Payments.Actuarial Services for period ending 30 June 2017,EC4A 1AB,PUBLIC,,,
,,08-Aug-17,Revenue Grants to non-profit institutions,COMMUNITY CARE,Amateur Swimming Association,ERS-577841-142221,"63,830.00",IESD 54078336 Dementia friendly swimming (year 3),LE11 3QF,VCS,,,
,,08-Aug-17,Outsourcing Contract,COMMUNITY CARE,SOCIAL CARE INSTITUTE FOR EXCELLENCE SCIE,INV361,"61,270.00","Care Pathways, Quality Standards Models of Care for LAC funding for April 2016 to March 2018",SWIY 6BP,VCS,,,
,,08-Aug-17,Outsourcing Contract,GLOBAL AND PUBLIC HEALTH,NHS BUSINESS SERVICES AUTHORITY (NHSBSA),37651,"60,200.16",HS Managament costs,NE99 1UQ,PUBLIC,,,
,,08-Aug-17,Outsourcing Contract,GLOBAL AND PUBLIC HEALTH,NHS SUPPLY CHAIN,9048000026,"510,389.91",Schools Fruit and Vegetable scheme - reimbursement costs,DE55 4QJ,PUBLIC,,,
,,09-Aug-17,Building repairs & maintenance,FINANCE AND GROUP OPERATIONS,Willmott Dixon Interiors Limited,8000239,"2,223,600.00",39VS - Construction Costs,EC4A 4HJ,LARGE,,,
,,09-Aug-17,Rates,FINANCE AND GROUP OPERATIONS,LEEDS CITY COUNCIL,901349235Q2,"49,434.11","Blenheim House Pt Grd, 1st, 2nd & 3rd floors business rates FY17/18 - £49,434.11 due on Qtrs 1/4/17, 1/7/17, 1/10/17 & 1/1/18 - Account reference 901349235",LS1 1UR,PUBLIC,,,
,,09-Aug-17,Outsourcing Contract,FINANCE AND GROUP OPERATIONS,ADVISEINC LTD,INV-0187,"200,000.00",Purchase Price Index and Benchmarking Services (PPIB 2nd Year License Fee),N1 7GU,SME,,,
,,09-Aug-17,Policy Payments,ACUTE CARE AND WORKFORCE,NHS PENSIONS AGENCY,2609729,"3,067,540.71",2017-18 Past Employee Pension Liabilities (redundancy),FY7 8LG,PUBLIC,,,
,,09-Aug-17,IT minor costs non capital,COMMUNITY CARE,ANSWER DIGITAL LTD,3834,"38,125.00",Capital: Development sprint - 8 milestones,LS11 5DD,SME,,,
,,09-Aug-17,Revenue Grants to non-profit institutions,COMMUNITY CARE,TOGETHER FOR SHORT LIVES,ERS-577875-142241,"36,647.00",2016-17 VAT Reclaim X Factor Single TFSL,BS2 9AG,VCS,,,
,,09-Aug-17,Outsourcing Contract,COMMUNITY CARE,SKILLS FOR CARE LTD,SINV.10068,"55,785.00",Skills for Care scoping study,LS1 2RP,VCS,,,
,,09-Aug-17,Outsourcing Contract,COMMUNITY CARE,SKILLS FOR CARE LTD,SINV.10068,90,Payment to Skills for Care to undertake a scpoping study to accurately assess the number of people in the social care workforce who are providing care and support to people with dementia  and to Identify relative levels of education and tra,LS1 2RP,VCS,,,
,,10-Aug-17,Outsourcing Contract,CHIEF SCIENTIFIC ADVISOR,PA CONSULTING SERVICES LTD,10119842,"164,640.00",NIHR Systems,SG8 6DP,LARGE,,,
,,10-Aug-17,Outsourcing Contract,CHIEF SCIENTIFIC ADVISOR,PA CONSULTING SERVICES LTD,10119843,"30,842.40",NIHR Systems,SG8 6DP,LARGE,,,
,,10-Aug-17,Utilities,FINANCE AND GROUP OPERATIONS,EDF ENERGY PLC,3145485,"43,522.70",Skipton House - Electricity Charges from July 2017 - March 2018 Replaces PO532314,PL3 5XQ,LARGE,,,
