 ,Entity, Transaction Date, Expense Type, Expense Area, Supplier Name,Transaction Number, Amount, Invoice Description
DFID,DFID,03/03/2014,Project delivery costs - supplier services ,Western Asia and Stabilisation Division ,Crown Agents. ,203942-101 ,"£1,231.20",
DFID,DFID,03/03/2014,Project delivery costs - supplier services ,Western Asia and Stabilisation Division ,Crown Agents. ,203939-103 ,"£3,333.00",
DFID,DFID,03/03/2014,Project delivery costs - supplier services ,Western Asia and Stabilisation Division ,Crown Agents. ,203939-102 ,"£5,248.12",
DFID,DFID,03/03/2014,Project delivery costs - supplier services ,Western Asia and Stabilisation Division ,Crown Agents. ,203938-103 ,"£7,070.00",
DFID,DFID,03/03/2014,Project delivery costs - supplier services ,Western Asia and Stabilisation Division ,Crown Agents. ,203939-102 ,"£7,575.00",
DFID,DFID,03/03/2014,Project delivery costs - supplier services ,Western Asia and Stabilisation Division ,Crown Agents. ,203942-103 ,"£8,157.60",
DFID,DFID,03/03/2014,Aid Programme - Programme Contribution ,International Relations Division ,CSC ,202861-101 ,"£450,000.00",
DFID,DFID,03/03/2014,Aid Programme - Humanitarian Material Relief Assistance and Services ,Middle East & North Africa Division (MENAD) ,Crown Agents. ,203216-110 ,"£3,327.60",
DFID,DFID,03/03/2014,Aid Programme - Humanitarian Material Relief Assistance and Services ,Middle East & North Africa Division (MENAD) ,Crown Agents. ,203216-110 ,"£17,605.20",
DFID,DFID,03/03/2014,Aid Programme - Accountable Grant Payments ,Middle East & North Africa Division (MENAD) ,HANDICAP INTERNATIONAL UK ,204007-126 ,"£19,805.00",
DFID,DFID,03/03/2014,Aid Programme - Accountable Grant Payments ,Middle East & North Africa Division (MENAD) ,HANDICAP INTERNATIONAL UK ,204007-132 ,"£200,827.00",
DFID,DFID,03/03/2014,Aid Programme - Voluntary contributions ,East and Central Africa ,Crown Agents. ,202974-108 ,£579.59,
DFID,DFID,03/03/2014,Aid Programme - Voluntary contributions ,East and Central Africa ,Crown Agents. ,202974-108 ,£937.68,
DFID,DFID,03/03/2014,Project delivery costs - supplier services ,East and Central Africa ,Crown Agents. ,203775-107 ,"£5,639.36",
DFID,DFID,03/03/2014,Project delivery costs - supplier services ,Policy Division ,TRIPLE LINE CONSULTING LTD ,202035-101 ,"£134,925.08",
DFID,DFID,03/03/2014,Project delivery costs - supplier services ,Policy Division ,OXFORD POLICY MANAGEMENT ,201055-102 ,"£8,900.50",
DFID,DFID,03/03/2014,Project delivery costs - supplier services ,East and Central Africa ,Crown Agents. ,114318-105 ,£602.50,
DFID,DFID,03/03/2014,Project delivery costs - supplier services ,East and Central Africa ,Crown Agents. ,203466-103 ,"£7,505.00",
DFID,DFID,03/03/2014,Project delivery costs - supplier services ,East and Central Africa ,COFFEY INTERNATIONAL DEVELOPMENT LTD ,203988-102 ,"£114,001.83",
DFID,DFID,03/03/2014,Project delivery costs - supplier services ,Western Asia and Stabilisation Division ,Crown Agents. ,204308-105 ,"£8,484.00",
DFID,DFID,03/03/2014,Legal costs ,Western Asia and Stabilisation Division ,Crown Agents. ,204309-101 ,"£22,536.00",
DFID,DFID,04/03/2014,Project delivery costs - supplier services ,East and Central Africa ,THE ENTERPRISE PARTNERSHIP ,100230-101 ,"£17,646.51",
DFID,DFID,04/03/2014,Medical/Health Services ,West and Southern Africa ,MediPlus ,100148-101 ,"£1,568.97",
DFID,DFID,04/03/2014,Hotels - Accommodation only ,Internal Audit ,Seico sarl/ Golf Hills Residence ,100121-101 ,£513.02,
DFID,DFID,04/03/2014,Hotels - Accommodation only ,Internal Audit ,Seico sarl/ Golf Hills Residence ,100121-101 ,£513.02,
DFID,DFID,04/03/2014,Hotels - Accommodation only ,Internal Audit ,Seico sarl/ Golf Hills Residence ,100121-101 ,£513.02,
DFID,DFID,04/03/2014,Hotels - Accommodation only ,Internal Audit ,Seico sarl/ Golf Hills Residence ,100121-101 ,£513.02,
DFID,DFID,04/03/2014,Contract & Agency Staff ,Business Solutions Division Level ,ALLEGIS GROUP LIMITED ,200001-101 ,"£4,368.00",
DFID,DFID,04/03/2014,Project delivery costs - supplier services ,Research and Evidence Division ,UNITED KINGDOM EVALUATION SOCIETY ,202444-101 ,"£21,600.00",
DFID,DFID,04/03/2014,Contract & Agency Staff ,Human Resources ,HUDSON GLOBAL RESOURCES LTD ,100270-102 ,"£2,891.92",
DFID,DFID,04/03/2014,Project delivery costs - supplier services ,Human Resources ,SODEXHO PASS LTD ,100269-139 ,"£1,290.70",
DFID,DFID,04/03/2014,Professional member subscriptions ,Human Resources ,ECA INTERNATIONAL ,100269-135 ,"£9,408.00",
DFID,DFID,04/03/2014,Contract & Agency Staff ,Finance and Corporate Performance Division ,HUDSON GLOBAL RESOURCES LTD ,100201-101 ,"£5,508.36",
DFID,DFID,04/03/2014,Conferences  Seminars & Meeting/Event Resource ,Research and Evidence Division ,Individual academic working at UCT  ACC ,202333-102 ,"£1,241.58",
DFID,DFID,04/03/2014,Repairs  Maintenance and Alterations - Other Building Costs ,Group Operations ,MITIE Technical Facilities Management Ltd ,203717-101 ,£500.86,
DFID,DFID,04/03/2014,Cleaning Costs ,Group Operations ,MITIE Technical Facilities Management Ltd ,203717-101 ,£545.90,
DFID,DFID,04/03/2014,Repairs  Maintenance and Alterations - Other Building Costs ,Group Operations ,MITIE Technical Facilities Management Ltd ,203717-101 ,£645.74,
DFID,DFID,04/03/2014,Hotels - Accommodation only ,West and Southern Africa ,Safari Beach Lodge ,101618-101 ,£534.19,
DFID,DFID,04/03/2014,Air fares ,West and Southern Africa ,Recipient name withheld ,101620-101 ,£898.24,
DFID,DFID,04/03/2014,Medical/Health Services ,West and Southern Africa ,MediPlus ,101620-101 ,"£3,789.85",
DFID,DFID,04/03/2014,Repairs  Maint  Alter - Property & Constrct. Services ,West and Southern Africa ,Recipient name withheld ,101622-105 ,£678.17,
DFID,DFID,04/03/2014,FCO shared service charges ,West and Southern Africa ,British  High Commission Abuja ,101622-105 ,£871.83,
DFID,DFID,04/03/2014,Hotels - Accommodation only ,West and Southern Africa ,Supplier Name withheld ,101622-105 ,"£2,930.51",
DFID,DFID,04/03/2014,Training - Travel & Subsistence ,East and Central Africa ,Safeway Travel and Tour ,101612-101 ,"£1,158.61",
DFID,DFID,04/03/2014,Facilities Management payments ,East and Central Africa ,General Technical Services Ltd ,101628-101 ,"£3,443.77",
DFID,DFID,04/03/2014,Secure Staff Accommodation ,East and Central Africa ,Supplier Name withheld ,101634-101 ,"£12,559.81",
DFID,DFID,04/03/2014,Project delivery costs - supplier services ,Asia  Caribbean and Overseas Territories ,Crown Agents. ,101605-101 ,"£5,378.86",
DFID,DFID,04/03/2014,Repairs  Maint  Alter - Property & Constrct. Services ,West and Southern Africa ,Oscle services Pvt Ltd ,100257-101 ,"£6,529.31",
DFID,DFID,04/03/2014,Vehicle Purchase Costs ,Asia  Caribbean and Overseas Territories ,GUAVA INTERNATIONAL LIMITED ,100151-101 ,"£28,923.71",
DFID,DFID,04/03/2014,Encashment of Promissory Notes ,Policy Division ,International Finance Corporation Catalyst Fund ,201733-112 ,"£451,616.79",
DFID,DFID,04/03/2014,Project delivery costs - supplier services ,East and Central Africa ,Crown Agents. ,203542-106 ,"£2,169.61",
DFID,DFID,04/03/2014,Aid Programme - Trust Funds contributions ,East and Central Africa ,IBRD HSBC T ,200239-112 ,"£250,000.00",
DFID,DFID,04/03/2014,Project delivery costs - supplier services ,East and Central Africa ,  CfBT Education Trust ,203213-103 ,"£5,310.00",
DFID,DFID,04/03/2014,Project delivery costs - supplier services ,East and Central Africa ,HEALTH PARTNERS INTERNATIONAL ,200250-115 ,"£106,578.98",
DFID,DFID,04/03/2014,Aid Programme - Accountable Grant Payments ,East and Central Africa ,REFUGEE LAW PROJECT ,200250-103 ,"£263,222.00",
DFID,DFID,04/03/2014,Project delivery costs - supplier services ,East and Central Africa ,HEALTH PARTNERS INTERNATIONAL ,200250-115 ,"£274,918.70",
DFID,DFID,04/03/2014,DFID Purchased Relief Supplies ,West and Southern Africa ,CHARLES KENDALL & PARTNERS LIMITED (PROCUREMENT) ,202214-106 ,£518.86,
DFID,DFID,04/03/2014,Project delivery costs - supplier services ,West and Southern Africa ,LTS International Ltd. ,201196-108 ,"£13,826.57",
DFID,DFID,04/03/2014,Project delivery costs - supplier services ,West and Southern Africa ,Nothemba Kula ,202295-102 ,"£5,935.91",
DFID,DFID,04/03/2014,Project delivery costs - supplier services ,West and Southern Africa ,Futures Group Europe ,202295-102 ,"£631,016.29",
DFID,DFID,04/03/2014,Aid Programme - Voluntary contributions ,West and Southern Africa ,Southern African Development Community Secretariat ,202541-103 ,"£110,524.75",
DFID,DFID,04/03/2014,Project delivery costs - supplier services ,West and Southern Africa ,Abt Associates ,202342-102 ,"£214,935.63",
DFID,DFID,04/03/2014,DFID Purchased Relief Supplies ,West and Southern Africa ,Crown Agents. ,104229-102 ,"£5,919.58",
DFID,DFID,04/03/2014,Project delivery costs - supplier services ,West and Southern Africa ,OXFORD POLICY MANAGEMENT ,201874-103 ,"£136,591.19",
DFID,DFID,04/03/2014,Project delivery costs - supplier services ,West and Southern Africa ,GRM INTERNATIONAL LTD (1) ,202098-101 ,"£480,180.45",
DFID,DFID,04/03/2014,Project delivery costs - supplier services ,West and Southern Africa ,HEALTH PARTNERS INTERNATIONAL ,202694-101 ,"£1,122,703.73",
DFID,DFID,04/03/2014,Fund monies to be managed and dispersed by the supplier ,Western Asia and Stabilisation Division ,Supplier Name withheld ,201000-102 ,"£2,000,000.00",
DFID,DFID,04/03/2014,Project delivery costs - supplier services ,Asia  Caribbean and Overseas Territories ,PATH ,202975-101 ,"£98,080.72",
DFID,DFID,04/03/2014,Project delivery costs - supplier services ,Asia  Caribbean and Overseas Territories ,SIDBI MUMBAI ,114293-103 ,"£102,620.98",
DFID,DFID,04/03/2014,Training - Course Fees ,International Relations Division ,Language Services Direct Ltd ,202319-101 ,£714.00,
DFID,DFID,04/03/2014,Joint programme contribution ,International Relations Division ,PRACTITIONERS NETWORK FOR EUROPEAN DEVELOPMENT COOPERATION ,201272-103 ,"£12,408.00",
DFID,DFID,04/03/2014,Project delivery costs - supplier services ,Research and Evidence Division ,Thomson ,203069-112 ,"£10,640.00",
DFID,DFID,04/03/2014,Project delivery costs - supplier services ,Policy Division ,KPMG Development Services ,114143-101 ,"£80,569.00",
DFID,DFID,04/03/2014,Project delivery costs - supplier services ,Policy Division ,LONDON SCHOOL OF ECONOMICS AND POLITICAL SCIENCE ,203286-101 ,"£983,941.08",
DFID,DFID,04/03/2014,Project delivery costs - supplier services ,Policy Division ,LONDON SCHOOL OF ECONOMICS AND POLITICAL SCIENCE ,203286-101 ,"£1,230,577.74",
DFID,DFID,04/03/2014,Aid Programme - Humanitarian Material Relief Assistance and Services ,Conflict Humanitarian and Security Division ,Crown Agents. ,203419-102 ,"£4,567.58",
DFID,DFID,04/03/2014,Project delivery costs - supplier services ,Conflict Humanitarian and Security Division ,Crown Agents. ,203416-101 ,"£7,999.70",
DFID,DFID,04/03/2014,Project delivery costs - supplier services ,Conflict Humanitarian and Security Division ,Crown Agents. ,203416-101 ,"£12,693.30",
DFID,DFID,04/03/2014,Project delivery costs - supplier services ,Western Asia and Stabilisation Division ,Crown Agents. ,203942-103 ,"£1,384.34",
DFID,DFID,04/03/2014,Project delivery costs - supplier services ,Western Asia and Stabilisation Division ,Crown Agents. ,203939-108 ,"£1,627.33",
DFID,DFID,04/03/2014,Project delivery costs - supplier services ,Western Asia and Stabilisation Division ,Crown Agents. ,203939-108 ,"£2,150.40",
DFID,DFID,04/03/2014,Project delivery costs - supplier services ,Western Asia and Stabilisation Division ,Crown Agents. ,203940-101 ,"£6,060.00",
DFID,DFID,04/03/2014,Aid Programme - Humanitarian Material Relief Assistance and Services ,Middle East & North Africa Division (MENAD) ,Crown Agents. ,203216-110 ,"£169,257.60",
DFID,DFID,04/03/2014,Aid Programme - Accountable Grant Payments ,International Relations Division ,Faculdades Católicas ,204124-102 ,"£5,373.00",
DFID,DFID,04/03/2014,Project delivery costs - supplier services ,Research and Evidence Division ,LONDON SCHOOL OF ECONOMICS AND POLITICAL SCIENCE ,203286-103 ,"£57,101.57",
DFID,DFID,04/03/2014,Aid Programme - Core contributions ,Policy Division ,IBRD HSBC T ,203211-101 ,"£134,600.00",
DFID,DFID,04/03/2014,Project delivery costs - supplier services ,Policy Division ,PATH ,202674-101 ,"£12,315.56",
DFID,DFID,04/03/2014,Project delivery costs - supplier services ,Middle East & North Africa Division (MENAD) ,Crown Agents. ,202486-103 ,"£10,085.60",
DFID,DFID,04/03/2014,Project delivery costs - supplier services ,Middle East & North Africa Division (MENAD) ,Crown Agents. ,202486-103 ,"£10,593.52",
DFID,DFID,04/03/2014,Project delivery costs - supplier services ,Middle East & North Africa Division (MENAD) ,Crown Agents. ,202486-103 ,"£14,761.20",
DFID,DFID,04/03/2014,Legal costs ,Western Asia and Stabilisation Division ,Crown Agents. ,204309-101 ,"£1,280.44",
DFID,DFID,04/03/2014,Project delivery costs - supplier services ,Western Asia and Stabilisation Division ,Crown Agents. ,204308-105 ,"£13,280.40",
DFID,DFID,05/03/2014,Vehicle Repairs & Maintenance ,East and Central Africa ,MOENCO LTD.S.C ,100082-101 ,£853.23,
DFID,DFID,05/03/2014,Vehicle Repairs & Maintenance ,Western Asia and Stabilisation Division ,Recipient name withheld ,100185-101 ,£570.55,
DFID,DFID,05/03/2014,Recruitment costs ,Finance and Corporate Performance Division ,Capita Resourcing Ltd ,100008-104 ,"£2,977.72",
DFID,DFID,05/03/2014,Contract & Agency Staff ,Group Operations ,MANPOWER PLC ,100161-101 ,"£3,054.02",
DFID,DFID,05/03/2014,Contract & Agency Staff ,Business Solutions Division Level ,ALLEGIS GROUP LIMITED ,200001-101 ,"£4,563.00",
DFID,DFID,05/03/2014,Mobile telephones & accessories ,Policy Division ,VODAFONE CORPORATE ,100191-101 ,£830.78,
DFID,DFID,05/03/2014,Other travel costs ,Conflict Humanitarian and Security Division ,Crown Agents. ,100049-101 ,"£15,773.82",
DFID,DFID,05/03/2014,Training Providers/Facilitation Services ,West and Southern Africa ,Capita  Business Services ,100189-101 ,£626.00,
DFID,DFID,05/03/2014,Training - Course Fees ,Human Resources ,Capita  Business Services ,100266-101 ,£747.00,
DFID,DFID,05/03/2014,Contract & Agency Staff ,Human Resources ,Anderson Knight Ltd ,100270-104 ,£597.18,
DFID,DFID,05/03/2014,Contract & Agency Staff ,Human Resources ,Anderson Knight Ltd ,100270-104 ,£597.18,
DFID,DFID,05/03/2014,Contract & Agency Staff ,Human Resources ,Anderson Knight Ltd ,100270-104 ,£597.18,
DFID,DFID,05/03/2014,Contract & Agency Staff ,Human Resources ,Anderson Knight Ltd ,100270-104 ,£597.18,
DFID,DFID,05/03/2014,Contract & Agency Staff ,Human Resources ,Anderson Knight Ltd ,100270-103 ,£597.18,
DFID,DFID,05/03/2014,Contract & Agency Staff ,Human Resources ,Anderson Knight Ltd ,100270-104 ,£597.18,
DFID,DFID,05/03/2014,Project delivery costs - supplier services ,Non-Departmental Public Body ,NATIONAL AUDIT OFFICE ,203064-101 ,"£8,254.31",
DFID,DFID,05/03/2014,Other travel costs ,Research and Evidence Division ,Recipient name withheld ,202348-104 ,"£1,112.98",
DFID,DFID,05/03/2014,Repairs  Maint  Alter - Property & Constrct. Services ,West and Southern Africa ,Clemto Investments Ltd ,101622-105 ,£624.15,
DFID,DFID,05/03/2014,Facilities Management payments ,West and Southern Africa ,Altech Engineering & Communictn syst ,101622-105 ,"£1,105.07",
DFID,DFID,05/03/2014,Training - Course Fees ,West and Southern Africa ,Getsmarter ,101631-101 ,£882.09,
DFID,DFID,05/03/2014,Hotels - Accommodation only ,West and Southern Africa ,Wood lands Guest Lodge ,101638-105 ,£647.87,
DFID,DFID,05/03/2014,Water charges ,West and Southern Africa ,Komawara ,101638-103 ,"£1,061.79",
DFID,DFID,05/03/2014,Training - Course Fees ,East and Central Africa ,Capita  Business Services ,101612-101 ,"£8,729.27",
DFID,DFID,05/03/2014,Electricity ,East and Central Africa ,Tanzania Electric supply company Ltd ,101634-101 ,£505.43,
DFID,DFID,05/03/2014,Electricity ,East and Central Africa ,Tanzania Electric supply company Ltd ,101634-101 ,"£2,880.67",
DFID,DFID,05/03/2014,Travel - Subsistence ,Asia  Caribbean and Overseas Territories ,Recipient name withheld ,101603-101 ,"£1,357.00",
DFID,DFID,05/03/2014,Training - Travel & Subsistence ,Western Asia and Stabilisation Division ,Recipient name withheld ,101624-101 ,£519.15,
DFID,DFID,05/03/2014,Recruitment costs ,Western Asia and Stabilisation Division ,Orient Advertising ,101624-101 ,£999.65,
DFID,DFID,05/03/2014,Air fares ,Western Asia and Stabilisation Division ,BONDS TRAVEL BUREAU ,101624-101 ,"£1,340.29",
DFID,DFID,05/03/2014,UK Staff overseas - Flexi Travel Allowance ,Western Asia and Stabilisation Division ,BONDS TRAVEL BUREAU ,101624-101 ,"£1,681.75",
DFID,DFID,05/03/2014,Air fares ,Asia  Caribbean and Overseas Territories ,Crown Agents. ,101605-101 ,"£2,005.12",
DFID,DFID,05/03/2014,Training - Travel & Subsistence ,East and Central Africa ,Recipient name withheld ,202594-101 ,"£1,171.77",
DFID,DFID,05/03/2014,Air fares ,East and Central Africa ,Recipient name withheld ,202594-101 ,"£1,510.36",
DFID,DFID,05/03/2014,other information and communication technologies ,Business Solutions Division Level ,NAYATEL (PVT) LTD ,203329-102 ,"£1,067.65",
DFID,DFID,05/03/2014,Hardware -monitors ,Business Solutions Division Level ,Truefix ,200003-168 ,"£10,123.43",
DFID,DFID,05/03/2014,Hardware -Laptop PCs ,Business Solutions Division Level ,COMPUTACENTER (UK) LTD ,200003-170 ,"£132,641.04",
